assay_class_id,l1,l2,l3,class_type,bao_id,source
378,NERVOUS SYSTEM,Effects on Behavior and Muscle Coordination,Combined Open Field Test,In vivo efficacy,,Vogel_2008
379,NERVOUS SYSTEM,Effects on Behavior and Muscle Coordination,EEG Electroencephalography Analysis From Rat Brain by Telemetry,In vivo efficacy,,Vogel_2008
380,NERVOUS SYSTEM,Effects on Behavior and Muscle Coordination,General Behavioural Responses,In vivo efficacy,,phenotype
381,NERVOUS SYSTEM,Effects on Behavior and Muscle Coordination,Grip Strength,In vivo efficacy,,Hock_2016
382,NERVOUS SYSTEM,Effects on Behavior and Muscle Coordination,Hole-Board Test,In vivo efficacy,,Hock_2016
383,NERVOUS SYSTEM,Effects on Behavior and Muscle Coordination,Inclined Plane,In vivo efficacy,,Vogel_2008
384,NERVOUS SYSTEM,Effects on Behavior and Muscle Coordination,Influence on Polysynaptic Reflexes,In vivo efficacy,,Vogel_2008
385,NERVOUS SYSTEM,Effects on Behavior and Muscle Coordination,Masticatory Muscle Reflexes,In vivo efficacy,,Vogel_2008
386,NERVOUS SYSTEM,Effects on Behavior and Muscle Coordination,Method of Intermittent Observations,In vivo efficacy,,Vogel_2008
387,NERVOUS SYSTEM,Effects on Behavior and Muscle Coordination,Observational Assessment,In vivo efficacy,,Hock_2016
388,NERVOUS SYSTEM,Effects on Behavior and Muscle Coordination,Open Field Test,In vivo efficacy,,Hock_2016
389,NERVOUS SYSTEM,Effects on Behavior and Muscle Coordination,Rotarod Method,In vivo efficacy,,Hock_2016
390,NERVOUS SYSTEM,Effects on Behavior and Muscle Coordination,Treadmill Performance,In vivo efficacy,,Vogel_2008
391,NERVOUS SYSTEM,General Anesthetics,Determination of Minimal Alveolar Anesthetic Concentration MAC,In vivo efficacy,,Vogel_2008
392,NERVOUS SYSTEM,General Anesthetics,Efficacy and Safety of Inhalation Anesthetics,In vivo efficacy,,Vogel_2008
393,NERVOUS SYSTEM,General Anesthetics,Electroencephalograph EEG Threshold Test in Rats,In vivo efficacy,,Vogel_2008
394,NERVOUS SYSTEM,General Anesthetics,Screening of Intravenous Anesthetics Righting Reflex,In vivo efficacy,,Hock_2016
395,NERVOUS SYSTEM,General Anesthetics,Screening of Volatile Anesthetics Inhalation,In vivo efficacy,,Vogel_2008
396,NERVOUS SYSTEM,Hypnotic Activity,Experimental Insomnia in Rats,In vivo efficacy,,Hock_2016
397,NERVOUS SYSTEM,Hypnotic Activity,General Hypnotic Activity,In vivo efficacy,,phenotype
398,NERVOUS SYSTEM,Hypnotic Activity,Potentiation of Hexobarbital Sleeping Time,In vivo efficacy,,Hock_2016
399,NERVOUS SYSTEM,Learning and Memory,Active Allothetic Place Avoidance Task Discrimination Learning,In vivo efficacy,,Vogel_2008
400,NERVOUS SYSTEM,Learning and Memory,General Active Avoidance Learning,In vivo efficacy,,phenotype
401,NERVOUS SYSTEM,Learning and Memory,General Anti-Alzheimer Activity,In vivo efficacy,,phenotype
402,NERVOUS SYSTEM,Learning and Memory,General Conditioned Avoidance Response,In vivo efficacy,,phenotype
403,NERVOUS SYSTEM,Learning and Memory,General Electrophysiological Methods,In vivo efficacy,,phenotype
404,NERVOUS SYSTEM,Learning and Memory,General Inhibitory (Passive) Avoidance Learning,In vivo efficacy,,phenotype
405,NERVOUS SYSTEM,Learning and Memory,General Learning and Memory Models,In vivo efficacy,,phenotype
406,NERVOUS SYSTEM,Learning and Memory,Jumping Active Avoidance Learning (One-Way Shuttle Box),In vivo efficacy,,Vogel_2008
407,NERVOUS SYSTEM,Learning and Memory,Long Latency Averaged Potentials Electrophysiological Method for Memory-Enhancing drugs,In vivo efficacy,,Vogel_2008
408,NERVOUS SYSTEM,Learning and Memory,Memory Deficits After Cerebral Lesions ,In vivo efficacy,,Vogel_2008
409,NERVOUS SYSTEM,Learning and Memory,Olfactory Discrimination Learning,In vivo efficacy,,Vogel_2008
410,NERVOUS SYSTEM,Learning and Memory,Runway Active Avoidance Learning,In vivo efficacy,,Vogel_2008
411,NERVOUS SYSTEM,Learning and Memory,Scopolamine Induced Amnesia in Mice Inhibitory-Avoidance Learning,In vivo efficacy,,Vogel_2008
412,NERVOUS SYSTEM,Learning and Memory,Shuttle Box Active Avoidance Learning (Two-Way Shuttle Box),In vivo efficacy,,Vogel_2008
413,NERVOUS SYSTEM,Learning and Memory,Sodium Nitrite Intoxication NaNO2 Metabolic Influence on Learning and Memory,In vivo efficacy,,Vogel_2008
414,NERVOUS SYSTEM,Learning and Memory,Spatial Discrimination Learning Y-Maze or T-Maze,In vivo efficacy,,Vogel_2008
415,NERVOUS SYSTEM,Learning and Memory,Spatial Discrimination Learning in the Radial Arm Maze,In vivo efficacy,,Vogel_2008
416,NERVOUS SYSTEM,Learning and Memory,Spatial Discrimination Learning in the Water Maze,In vivo efficacy,,Vogel_2008
417,NERVOUS SYSTEM,Learning and Memory,Spatial Habituation Discrimination Learning Open-Field,In vivo efficacy,,Vogel_2008
418,NERVOUS SYSTEM,Learning and Memory,Step down Inhibitory Avoidance Learning,In vivo efficacy,,Vogel_2008
419,NERVOUS SYSTEM,Learning and Memory,Step through Inhibitory Avoidance Learning,In vivo efficacy,,Vogel_2008
420,NERVOUS SYSTEM,Learning and Memory,Two Compartment Test Inhibitory Avoidance Learning,In vivo efficacy,,Vogel_2008
421,NERVOUS SYSTEM,Learning and Memory,Up Hill Avoidance Inhibitory-Avoidance Learning,In vivo efficacy,,Vogel_2008
422,NERVOUS SYSTEM,Learning and Memory,Visual Discrimination Learning,In vivo efficacy,,Vogel_2008
423,NERVOUS SYSTEM,Local Anesthetic Activity,Conduction Anesthesia in the Sciatic Nerve of the Rat,In vivo efficacy,,Vogel_2008
424,NERVOUS SYSTEM,Local Anesthetic Activity,Conduction Anesthesia on the Mouse Tail Tail-Flick Assay,In vivo efficacy,,Hock_2016
425,NERVOUS SYSTEM,Local Anesthetic Activity,Epidural Anesthesia Using Cannulation of the Thoracic Epidural Space,In vivo efficacy,,Vogel_2008
426,NERVOUS SYSTEM,Local Anesthetic Activity,General Models of Local Anesthetic Activity,In vivo efficacy,,phenotype
427,NERVOUS SYSTEM,Local Anesthetic Activity,Infiltration Anesthesia in Mouse Skin,In vivo efficacy,,Vogel_2008
428,NERVOUS SYSTEM,Local Anesthetic Activity,Infraorbital Nerve Block in the Rat Conduction Anesthesia,In vivo efficacy,,Vogel_2008
429,NERVOUS SYSTEM,Local Anesthetic Activity,Intrathecal it (Spinal) Anesthesia in Rat,In vivo efficacy,,Vogel_2008
430,NERVOUS SYSTEM,NMRI Methods in Psychoneuropharmacology,NMRI Studies of Brain Activation in Rats,In vivo efficacy,,Vogel_2008
431,NERVOUS SYSTEM,NMRI Methods in Psychoneuropharmacology,NMRI Study of 3-Nitropropionic Acid Induced Neurodegeneration in Rats,In vivo efficacy,,Vogel_2008
432,NERVOUS SYSTEM,NMRI Methods in Psychoneuropharmacology,NMRI Study of Experimental Allergic Encephalomyelitis in Rats,In vivo efficacy,,Hock_2016
433,NERVOUS SYSTEM,Neuroleptic Activity,Amphetamine Group Toxicity,In vivo efficacy,,Hock_2016
434,NERVOUS SYSTEM,Neuroleptic Activity,Antagonism Against Dizocilpine (MK-801) Induced Behavior,In vivo efficacy,,Hock_2016
435,NERVOUS SYSTEM,Neuroleptic Activity,Artificial Hibernation in Rats,In vivo efficacy,,Vogel_2008
436,NERVOUS SYSTEM,Neuroleptic Activity,Brain Self Stimulation,In vivo efficacy,,Hock_2016
437,NERVOUS SYSTEM,Neuroleptic Activity,Catalepsy in Rodents ,In vivo efficacy,,Hock_2016
438,NERVOUS SYSTEM,Neuroleptic Activity,General Psychotic and Neuroleptic Activity,In vivo efficacy,,phenotype
439,NERVOUS SYSTEM,Neuroleptic Activity,In Vivo Voltammetry,In vivo efficacy,,Vogel_2008
440,NERVOUS SYSTEM,Neuroleptic Activity,Influence on Behavior of the Cotton Rat,In vivo efficacy,,Vogel_2008
441,NERVOUS SYSTEM,Neuroleptic Activity,Inhibition of Amphetamine Stereotypy in Rats,In vivo efficacy,,Hock_2016
442,NERVOUS SYSTEM,Neuroleptic Activity,Inhibition of Apomorphine Climbing in Mice,In vivo efficacy,,Hock_2016
443,NERVOUS SYSTEM,Neuroleptic Activity,Inhibition of Apomorphine Induced Emesis in the Dog,In vivo efficacy,,Hock_2016
444,NERVOUS SYSTEM,Neuroleptic Activity,Inhibition of Apomorphine Stereotypy in Rats,In vivo efficacy,,Hock_2016
445,NERVOUS SYSTEM,Neuroleptic Activity,Inhibition of Mouse Jumping,In vivo efficacy,,Hock_2016
446,NERVOUS SYSTEM,Neuroleptic Activity,Latent Inhibition,In vivo efficacy,,Vogel_2008
447,NERVOUS SYSTEM,Neuroleptic Activity,Models of Tardive Dyskinesia,In vivo efficacy,,Vogel_2008
448,NERVOUS SYSTEM,Neuroleptic Activity,N40 Sensory Gating,In vivo efficacy,,Vogel_2008
449,NERVOUS SYSTEM,Neuroleptic Activity,Phencyclidine Model of Psychosis,In vivo efficacy,,Hock_2016
450,NERVOUS SYSTEM,Neuroleptic Activity,Pole Climb Avoidance in Rats,In vivo efficacy,,Hock_2016
451,NERVOUS SYSTEM,Neuroleptic Activity,Prepulse Inhibition of Startle Response,In vivo efficacy,,Vogel_2008
452,NERVOUS SYSTEM,Neuroleptic Activity,Purposeless Chewing in Rats,In vivo efficacy,,Vogel_2008
453,NERVOUS SYSTEM,Neuroleptic Activity,Single Unit Recording of A9 and A10 Midbrain Dopaminergic Neurons,In vivo efficacy,,Vogel_2008
454,NERVOUS SYSTEM,Neuroleptic Activity,Yawning-Penile Erection Syndrome in Rats,In vivo efficacy,,Hock_2016
455,NERVOUS SYSTEM,Peripheral Analgesic Activity,Antagonism Against Local Effects of Bradykinin for Analgesic Activity,In vivo efficacy,,Vogel_2008
456,NERVOUS SYSTEM,Peripheral Analgesic Activity,Mechanical Visceral Pain Model,In vivo efficacy,,Hock_2016
457,NERVOUS SYSTEM,Peripheral Analgesic Activity,Nerve Growth Factor Antagonism for Analgesic Activity,In vivo efficacy,,Vogel_2008
458,NERVOUS SYSTEM,Peripheral Analgesic Activity,Pain in Inflamed Tissue (Randall-Selitto Test) for Analgesic Activity,In vivo efficacy,,Hock_2016
459,NERVOUS SYSTEM,Peripheral Analgesic Activity,Writhing Test for Analgesic Activity,In vivo efficacy,,Hock_2016
460,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Acoustic Startle Response in Rats,In vivo efficacy,,Hock_2016
461,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Anti-Anxiety Test Light-Dark Model,In vivo efficacy,,Hock_2016
462,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Anticipatory Anxiety in Mice,In vivo efficacy,,Vogel_2008
463,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Anxiety Defense Test Battery in Rats,In vivo efficacy,,Vogel_2008
464,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Aversive Brain Stimulation,In vivo efficacy,,Vogel_2008
465,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Benzodiazepine Tolerance and Dependence in Rats,In vivo efficacy,,Vogel_2008
466,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Conditioned Defensive Burying in Rats,In vivo efficacy,,Vogel_2008
467,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Cork Gnawing Test in the Rat,In vivo efficacy,,Vogel_2008
468,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Cued and Contextual Fear Conditioning,In vivo efficacy,,Vogel_2008
469,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Distress Vocalization in Rat Pups,In vivo efficacy,,Vogel_2008
470,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Elevated Plus Maze Test,In vivo efficacy,,Hock_2016
471,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Experimental Anxiety in Mice,In vivo efficacy,,Vogel_2008
472,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Foot Shock Induced Aggression,In vivo efficacy,,Hock_2016
473,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Foot Shock Induced Freezing Behavior in Rats,In vivo efficacy,,Vogel_2008
474,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Four Plate Test in Mice,In vivo efficacy,,Vogel_2008
475,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Geller Conflict Paradigm,In vivo efficacy,,Vogel_2008
476,NERVOUS SYSTEM,Tests for Anxiolytic Activity,General Anti-Aggressive Activity,In vivo efficacy,,phenotype
477,NERVOUS SYSTEM,Tests for Anxiolytic Activity,General Anxiolytic Activity,In vivo efficacy,,phenotype
478,NERVOUS SYSTEM,Tests for Anxiolytic Activity,General Conditioned Behavioural Response,In vivo efficacy,,phenotype
479,NERVOUS SYSTEM,Tests for Anxiolytic Activity,General Locomotor Activity,In vivo efficacy,,phenotype
480,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Isolation Induced Aggression,In vivo efficacy,,Hock_2016
481,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Maternal Aggression in Rats,In vivo efficacy,,Vogel_2008
482,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Novelty Suppressed Feeding,In vivo efficacy,,Vogel_2008
483,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Plasma Catecholamine Levels During and After Stress,In vivo efficacy,,Vogel_2008
484,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Plasma Corticosterone Levels Influenced by Psychotropic Drugs,In vivo efficacy,,Vogel_2008
485,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Progressive Ratio Procedure,In vivo efficacy,,Vogel_2008
486,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Repetitive Transcranial Magnetic Stimulation,In vivo efficacy,,Vogel_2008
487,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Resident-Intruder Aggression Test,In vivo efficacy,,Vogel_2008
488,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Schedule Induced Polydipsia in Rats,In vivo efficacy,,Hock_2016
489,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Shock Probe Conflict Procedure,In vivo efficacy,,Vogel_2008
490,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Sidman Avoidance Paradigm,In vivo efficacy,,Vogel_2008
491,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Social Interaction in Rats,In vivo efficacy,,Vogel_2008
492,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Staircase Test,In vivo efficacy,,Vogel_2008
493,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Taste Aversion Paradigm,In vivo efficacy,,Vogel_2008
494,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Ultrasound Induced Defensive Behavior in Rats,In vivo efficacy,,Vogel_2008
495,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Unconditioned Conflict Procedure Vogel Test,In vivo efficacy,,Vogel_2008
496,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Water Competition Test,In vivo efficacy,,Vogel_2008
497,NERVOUS SYSTEM,Tests for Anxiolytic Activity,Water Maze Test,In vivo efficacy,,Hock_2016
498,NERVOUS SYSTEM,Tests for Anxiolytic Activity,mCPP trazadone 1-(3-chlorophenyl)piperazine Induced Anxiety in Rats,In vivo efficacy,,Vogel_2008
499,RESPIRATORY SYSTEM,Effects on Air Ways,Bleomycin Induced Pulmonary Fibrosis,In vivo efficacy,,Vogel_2008
500,RESPIRATORY SYSTEM,Effects on Air Ways,Bronchospasmolytic Activity in Anesthetized Guinea Pigs (Konzett Rossler method),In vivo efficacy,,Hock_2016
501,RESPIRATORY SYSTEM,Effects on Air Ways,Effect of Arachidonic Acid or PAF on Respiratory Function In Vivo,In vivo efficacy,,Hock_2016
502,RESPIRATORY SYSTEM,Effects on Air Ways,Emphysema Models,In vivo efficacy,,Vogel_2008
503,RESPIRATORY SYSTEM,Effects on Air Ways,General Airway Models,In vivo efficacy,,phenotype
504,RESPIRATORY SYSTEM,Effects on Air Ways,Isolated Larynx In Situ,In vivo efficacy,,Vogel_2008
505,RESPIRATORY SYSTEM,Effects on Air Ways,Models of Chronic Obstructive Pulmonary Disease COPD,In vivo efficacy,,Vogel_2008
506,RESPIRATORY SYSTEM,Effects on Air Ways,Prevention of Allergic Asthma Reaction,In vivo efficacy,,Vogel_2008
507,RESPIRATORY SYSTEM,Effects on Tracheal Cells and Bronchial Mucus Secretion and Transport,Acute Studies of Mucus Secretion,In vivo efficacy,,Vogel_2008
508,SENSORY ORGANS,Intraocular Pressure,Allergic Conjunctivitis Eye Inflammation,In vivo efficacy,,Vogel_2008
509,SENSORY ORGANS,Intraocular Pressure,Alpha-Chymotrypsin Induced Glaucoma,In vivo efficacy,,Vogel_2008
510,SENSORY ORGANS,Intraocular Pressure,Aqueous Humor Flow Rate,In vivo efficacy,,Vogel_2008
511,SENSORY ORGANS,Intraocular Pressure,Autoimmune Uveitis in Rats,In vivo efficacy,,Vogel_2008
512,SENSORY ORGANS,Intraocular Pressure,Diabetic Cataract Formation in Sprague Dawley Rats by Streptozocin,In vivo efficacy,,Vogel_2008
513,SENSORY ORGANS,Intraocular Pressure,Episcleral Venous Occlusion Induced Glaucoma in Rats,In vivo efficacy,,Vogel_2008
514,SENSORY ORGANS,Intraocular Pressure,Measurement of Intraocular Pressure,In vivo efficacy,,Hock_2016
515,SENSORY ORGANS,Intraocular Pressure,N-Methyl-N-Nitrosourea (MNU) Cataract Induction in Sprague-Dawley Rats,In vivo efficacy,,Vogel_2008
516,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Adrenal Steroid Hormones,Adrenal and Thymus Involution,In vivo efficacy,,Vogel_2008
517,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Adrenal Steroid Hormones,Adrenalectomy in Rats,In vivo efficacy,,Vogel_2008
518,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Adrenal Steroid Hormones,Breaking Strength of Bones Effects by Corticosteroids,In vivo efficacy,,Vogel_2008
519,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Adrenal Steroid Hormones,"Effect of Chronic Treatment on Thymus, Spleen, Adrenal, and Body Weight by Corticoid Hormone",In vivo efficacy,,Vogel_2008
520,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Adrenal Steroid Hormones,Effect on Epidermal DNA Synthesis by Topical Effects of Glucocorticosteroids on Skin,In vivo efficacy,,Vogel_2008
521,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Adrenal Steroid Hormones,Electrolyte Excretion to assess Corticosteroids,In vivo efficacy,,Vogel_2008
522,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Adrenal Steroid Hormones,Eosinopenia in Adrenalectomized Mice,In vivo efficacy,,Vogel_2008
523,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Adrenal Steroid Hormones,Increased Blood Glucose in Rats Hyperglycemia Induced by Corticoid Hormone,In vivo efficacy,,Vogel_2008
524,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Adrenal Steroid Hormones,Induction of Drug-Metabolizing Enzymes by Topical Effects of Glucocorticosteroids on Skin,In vivo efficacy,,Vogel_2008
525,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Adrenal Steroid Hormones,Liver Glycogen Depostion Test in Rats,In vivo efficacy,,Vogel_2008
526,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Adrenal Steroid Hormones,Skin Atrophy After Chronic Corticoid Application,In vivo efficacy,,Vogel_2008
527,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Adrenal Steroid Hormones,Skin Thickness and Tensile Strength by Topical Effects of Glucocorticosteroids on Skin,In vivo efficacy,,Vogel_2008
528,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Adrenal Steroid Hormones,Tensile Strength of Femoral Epiphyseal Cartilage in Rats by Corticosteroids,In vivo efficacy,,Vogel_2008
529,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Adrenal Steroid Hormones,Tensile Strength of Skin Strips in Rats by Corticosteroids,In vivo efficacy,,Vogel_2008
530,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Adrenal Steroid Hormones,Tensile Strength of Tail Tendons in Rats by Corticosteroids,In vivo efficacy,,Vogel_2008
531,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Adrenal Ascorbic Acid Depletion by Adrenocorticotropin (ACTH),In vivo efficacy,,Vogel_2008
532,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Ascorbic Acid Depletion of Ovaries in PMSG / hCG-Primed Rats by Luteinizing Hormone (LH) or Interstitial Cell Stimulating Hormone (ICSH),In vivo efficacy,,Vogel_2008
533,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Biological Assay of PMSG (Pregnant Mares Serum Gonadotropin) in Immature Female Rats,In vivo efficacy,,Vogel_2008
534,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Biological Assay of hCG (Human Chorionic Gonadotropin) in Immature Male Rats,In vivo efficacy,,Vogel_2008
535,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Biological Assay of hMG in Immature Rats (Human Menopausal Gonadotropin),In vivo efficacy,,Vogel_2008
536,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Corpus Luteum Formation in Immature Mice (Aschheim-Zondek Test) for Pituitary Gonadotropins,In vivo efficacy,,Vogel_2008
537,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Corticosterone Blood Levels in Dexamethasone-Blocked Rats by Adrenocorticotropin (ACTH),In vivo efficacy,,Vogel_2008
538,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,General Growth Hormone Activity,In vivo efficacy,,phenotype
539,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,General Luteinizing Hormone (LH) or Interstitial Cell Stimulating Hormone (ICSH) Activity,In vivo efficacy,,phenotype
540,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Inhibition of Fertility by Steroids that Inhibit Pituitary gonadotropin secretion or compete at the progesterone receptor ,In vivo efficacy,,Vogel_2008
541,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Inhibition of Gonadotropin Secretion,In vivo efficacy,,Vogel_2008
542,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Inhibition of Ovulation and Luteinization for Gonadotropin Inhibition,In vivo efficacy,,Vogel_2008
543,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Iodine Uptake for Thyroid Activation ,In vivo efficacy,,Vogel_2008
544,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Ovarian Weight in hCG-Primed Rats (Human Chorionic Gonadotropin) by Follicle-Stimulating Hormone (FSH),In vivo efficacy,,Vogel_2008
545,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Ovary-Spleen Transplantation for Gonadal Steroids,In vivo efficacy,,Vogel_2008
546,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Prostate Weight in Hypophysectomized Rats by Luteinizing Hormone (LH) or Interstitial Cell Stimulating Hormone (ICSH),In vivo efficacy,,Vogel_2008
547,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Superovulation in Immature Rats by Luteinizing Hormone (LH) or Interstitial Cell Stimulating Hormone (ICSH),In vivo efficacy,,Vogel_2008
548,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Thymus Involution by Corticotropin,In vivo efficacy,,Vogel_2008
549,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Tibia Test in Hypophysectomized Rats due to Growth Hormone Deficiency,In vivo efficacy,,Vogel_2008
550,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,Weight Gain in Female Rats (Growth Plateau Rats) by Growth Hormone (GH),In vivo efficacy,,Vogel_2008
551,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Anterior Pituitary Hormones,[35]S Sulphate Uptake into cartilage by Growth Hormone,In vivo efficacy,,Vogel_2008
552,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Effects on Different Peptide Hormones,Inhibition of Uterine Motility,In vivo efficacy,,Vogel_2008
553,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Effects on Different Peptide Hormones,Melatonin Effect on Circadian Rhythm,In vivo efficacy,,Vogel_2008
554,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Effects on Different Peptide Hormones,Melatonin Effect on Neophobia in Mice,In vivo efficacy,,Vogel_2008
555,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Effects on Different Peptide Hormones,Relaxin Bioassay in Mice,In vivo efficacy,,Vogel_2008
556,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Endocrine Safety Pharmacology,Endocrine Survey,In vivo efficacy,,Vogel_2008
557,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Hypothalamic Hormones,Anti-Ovulatory Activity in Rats by LH-RH (Luteinizing Hormone Releasing Hormone) Antagonists,In vivo efficacy,,Hock_2016
558,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Hypothalamic Hormones,Anti-Tumor Effect of LH-RH (Luteinizing Hormone Releasing Hormone) Antagonists,In vivo efficacy,,Vogel_2008
559,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Hypothalamic Hormones,Collection of Hypophyseal Portal Blood in Rats,In vivo efficacy,,Vogel_2008
560,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Hypothalamic Hormones,Effect of Repeated Administration of LH-RH (Luteinizing Hormone Releasing Hormone) Antagonists in Rats,In vivo efficacy,,Vogel_2008
561,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",Hypothalamic Hormones,Growth Hormone-Releasing Hormone (GH-RH) Bioassay by Growth Hormone Release in Rats,In vivo efficacy,,Vogel_2008
