cell_id,cell_name,cell_description,cell_source_tissue,cell_source_organism,cell_source_tax_id,clo_id,efo_id,cellosaurus_id,cl_lincs_id,chembl_id,cell_ontology_id
461,C20/A4,C20/A4 (Chondrocyte cells),Chondrocyte cells,Homo sapiens,9606,,,CVCL_6821,,CHEMBL3308083,
462,ScN2a,ScN2a (Scrapie-infected neuroblastoma cells),Scrapie-infected neuroblastoma cells,Mus musculus,10090,,,CVCL_6268,,CHEMBL3308084,
463,AT3B-1,AT3B-1 (Prostate carcinoma cells),Prostate carcinoma cells,Rattus norvegicus,10116,CLO_0001760,,CVCL_3489,,CHEMBL3308085,
464,BALB/3T3,BALB/3T3-A31 (Fibroblast cells),Fibroblast cells,Mus musculus,10090,CLO_0001859,,CVCL_0184,,CHEMBL3308086,
465,MCF10,MCF10 (Normal breast epithelial cells),Normal breast epithelial cells,Homo sapiens,9606,,,,,CHEMBL3308087,
466,FRTL-5,FRTL-5 (Thyroid differentiated epithelial cells),Thyroid differentiated epithelial cells,Rattus norvegicus,10116,CLO_0003396,,CVCL_0265,,CHEMBL3308088,
467,Huh-5-2,Huh-5-2 (Huh-7 with replicating HCV-RNA),Huh-7 with replicating HCV-RNA,Homo sapiens,9606,,,CVCL_X943,,CHEMBL3308089,
468,HEL,HEL (Embryonic lung cells),Erythroleukemia,Homo sapiens,9606,CLO_0003679,,CVCL_0001,LCL-1053,CHEMBL3308090,
469,HOP-92,HOP-92 (Non-small cell lung carcinoma cells),Non-small cell lung carcinoma cells,Homo sapiens,9606,,,CVCL_1286,,CHEMBL3308091,
470,TSU,TSU (Prostatic carcinoma cells),Prostatic carcinoma cells,Homo sapiens,9606,,,CVCL_8763,,CHEMBL3308092,
471,SF-268,SF-268 (Glioblastoma cells),Glioblastoma cells,Homo sapiens,9606,,EFO_0005451,CVCL_1689,,CHEMBL3307499,
472,HuT78,HuT78 (T-lymphoma cells),T-lymphoma cells,Homo sapiens,9606,CLO_0004304,EFO_0002209,CVCL_0337,LCL-2005,CHEMBL3307500,
473,HUVEC,HUVEC (Umbilical vein endothelial cells),Umbilical vein endothelial cells,Homo sapiens,9606,,EFO_0002795,,,CHEMBL3307501,
474,IGROV-1,IGROV-1 (Ovarian adenocarcinoma cells),Ovarian adenocarcinoma cells,Homo sapiens,9606,CLO_0006672,EFO_0005385,CVCL_1304,,CHEMBL3307502,
475,Keratinocyte,Keratinocytes (Keratinocytes),Keratinocytes,,,,,,,CHEMBL3307503,CL_0000312
476,L132,L132 (Alveolar cells),Alveolar cells,Homo sapiens,9606,CLO_0007159,,CVCL_1908,,CHEMBL3307504,
477,RG2,RG2 (Glioma cells),Glioma cells,Rattus norvegicus,10116,CLO_0008802,,CVCL_3581,,CHEMBL3307505,
478,A2780,A2780 (Ovarian carcinoma cells),Ovarian carcinoma cells,Homo sapiens,9606,CLO_0001571,,CVCL_0134,LCL-1518,CHEMBL3308421,
479,M19-MEL,M19-MEL (Melanoma cells),Melanoma cells,Homo sapiens,9606,,,CVCL_B415,,CHEMBL3307506,
480,Malme-3M,Malme-3M (Melanoma cells),Melanoma cells,Homo sapiens,9606,CLO_0007530,EFO_0002243,CVCL_1438,,CHEMBL3307507,
481,A2780 cisR,A2780 cisR (Cisplatin-resistant ovarian carcinoma cells),Cisplatin-resistant ovarian carcinoma cells,Homo sapiens,9606,,,CVCL_H745,,CHEMBL3307508,
482,Breast carcinoma cell,Breast carcinoma cells,Breast carcinoma cells,Homo sapiens,9606,,,,,CHEMBL3307509,
484,CEM-VM1,CEM-VM1 (Etoposide-resistant T-cell leukemia cells),Etoposide-resistant T-cell leukemia cells,Homo sapiens,9606,,,CVCL_1B35,,CHEMBL3307511,
485,CHO-K1,CHO-K1 (Ovarian cells),Ovarian cells,Cricetulus griseus,10029,CLO_0002463,,CVCL_0214,,CHEMBL3307512,
486,DMS-273,DMS-273 (Small cell lung carcinoma cells),Small cell lung carcinoma cells,Homo sapiens,9606,CLO_0002797,EFO_0002164,CVCL_1176,,CHEMBL3308487,
487,ECV-304,ECV-304 (Endothelial bladder carcinoma cells),Endothelial bladder carcinoma cells,Homo sapiens,9606,CLO_0002882,,CVCL_2029,,CHEMBL3307513,
488,G-361,G-361 (Melanoma cells),Melanoma cells,Homo sapiens,9606,CLO_0003433,,CVCL_1220,LCL-1246,CHEMBL3307514,
489,Huh-7 ,Huh-7  (Hepatocellular carcinoma),Hepatocellular carcinoma,Homo sapiens,9606,,,CVCL_0336,LCL-1926,CHEMBL3307515,
490,J774.A1,J774.A1 (Macrophage cells),Macrophage cells,Mus musculus,10090,CLO_0007005,,CVCL_0358,,CHEMBL3307516,
491,MCF7,MCF7 (Breast carcinoma cells),Breast carcinoma cells,Homo sapiens,9606,CLO_0007606,EFO_0002082,CVCL_0031,LCL-1460,CHEMBL3308403,
493,OVCAR-4,OVCAR-4 (Ovarian adenocarcinoma cells),Ovarian adenocarcinoma cells,Homo sapiens,9606,,EFO_0005442,CVCL_1627,LCL-1697,CHEMBL3307517,
494,SN12C,SN12C (Renal carcinoma cells),Renal carcinoma cells,Homo sapiens,9606,,,CVCL_1705,,CHEMBL3307518,
495,Caco-2,Caco-2 (Colon adenocarcinoma cells),Colon adenocarcinoma cells,Homo sapiens,9606,CLO_0002172,EFO_0001099,CVCL_0025,LCL-1170,CHEMBL3307519,
496,Vero,Vero (Kidney cells),Kidney cells,Chlorocebus aethiops,9534,CLO_0009524,,CVCL_0059,,CHEMBL3307520,
497,N2a,N2a (Neuroblastoma cells),Neuroblastoma cells,Mus musculus,10090,CLO_0008154,,CVCL_0470,,CHEMBL3307521,
498,CAKI-1,CAKI-1 (Kidney carcinoma cells),Kidney carcinoma cells,Homo sapiens,9606,CLO_0002176,EFO_0002149,CVCL_0234,LCL-1774,CHEMBL3307522,
499,MDCK,MDCK (Kidney cells),Kidney cells,Canis lupus familiaris,9615,CLO_0007647,,CVCL_0422,,CHEMBL3308370,
500,A-431,A-431 (Epidermoid carcinoma cells),Epidermoid carcinoma cells,Homo sapiens,9606,CLO_0001592,,CVCL_0037,,CHEMBL3307523,
501,HBL,HBL (Melanoma cells),Melanoma cells,Homo sapiens,9606,,,CVCL_J075,,CHEMBL3307524,
502,HFF,HFF (Foreskin fibroblasts),Foreskin fibroblasts,Homo sapiens,9606,,,,,CHEMBL3307525,CL_1001608
503,Jurkat,Jurkat (Acute leukemic T-cells),Acute leukemic T-cells,Homo sapiens,9606,CLO_0007043,EFO_0002796,CVCL_0065,,CHEMBL3307526,
504,M109,M109 (Lung carcinoma cells),Lung carcinoma cells,Mus musculus,10090,,,CVCL_H602,,CHEMBL3307527,
505,V79,V79 (Lung fibroblasts),Lung fibroblasts,Cricetulus griseus,10029,CLO_0009500,,CVCL_2234,,CHEMBL3307528,
506,1A9,1A9 (Ovarian adenocarcinoma cells),Ovarian adenocarcinoma cells,Homo sapiens,9606,,,CVCL_H619,,CHEMBL3307529,
507,Monocyte,Monocytes (Monocytic cells),Monocytic cells,Homo sapiens,9606,,,,,CHEMBL3307530,CL_0000576
509,MDA-N,MDA-N (Breast carcinoma cells),Breast carcinoma cells,Homo sapiens,9606,,,CVCL_1910,,CHEMBL3307532,
510,Panel leukemia (Carcinoma cell lines),Panel leukemia (Carcinoma cell lines),Carcinoma cell lines,Homo sapiens,9606,,,,,CHEMBL3307533,
511,LM,LM (Fibroblast cells),Fibroblast cells,Mus musculus,10090,,,,,CHEMBL3307534,
512,LOX IMVI ,LOX IMVI  (Melanoma cells),Melanoma cells,Homo sapiens,9606,,,CVCL_1381,,CHEMBL3307535,
513,LS174T,LS174T (Colon adencocarcinoma cells),Colon adencocarcinoma cells,Homo sapiens,9606,CLO_0007403,EFO_0002227,CVCL_1384,LCL-1182,CHEMBL3307536,
515,LXFL 529,LXFL 529 (Non-small cell lung carcinoma cells),Non-small cell lung carcinoma cells,Homo sapiens,9606,,,CVCL_D085,,CHEMBL3307537,
516,M5076,M5076 (Ovarian sarcoma cells),Ovarian sarcoma cells,Mus musculus,10090,CLO_0007484,,CVCL_3997,,CHEMBL3307538,
517,MAC15A,MAC15A (Colon adenocarcinoma cells),Colon adenocarcinoma cells,Mus musculus,10090,,,CVCL_H587,,CHEMBL3307539,
518,J774,J774 (Macrophage cells),Macrophage cells,Mus musculus,10090,CLO_0007003,,CVCL_4692,,CHEMBL3307540,
519,MDR,MDR (Multi-drug resistant cells),Multi-drug resistant cells,,,,,,,CHEMBL3308422,
520,Melanoma cell,Melanoma cells,Melanoma cells,Homo sapiens,9606,,,,,CHEMBL3307541,
521,MEXF276L,MEXF276L (Xenograft melanoma cells),Xenograft melanoma cells,Homo sapiens,9606,,,CVCL_D132,,CHEMBL3307542,
522,MT4,MT4 (Lymphocytes),Lymphocytes,Homo sapiens,9606,CLO_0007891,,CVCL_2632,,CHEMBL3308375,
523,NCI-H358,NCI-H358 (Lung carcinama cells),Lung carcinoma cells,Homo sapiens,9606,CLO_0008085,EFO_0002291,CVCL_1559,LCL-1671,CHEMBL3307543,
524,P338,P338 (Lymphocytic leukemia cells),Lymphocytic leukemia cells,Mus musculus,10090,,,,,CHEMBL3307544,
525,PANC-1,PANC-1 (Pancreatic carcinoma cells),Pancreatic carcinoma cells,Homo sapiens,9606,CLO_0008381,EFO_0002713,CVCL_0480,LCL-1726,CHEMBL3307545,
526,R30dm-CCRF-CEM,R30dm-CCRF-CEM (Lymphoblastic leukemia),Lymphoblastic leukemia,Homo sapiens,9606,,,CVCL_V325,,CHEMBL3307546,
527,RD,RD (Rhabdomyosarcoma cells),Rhabdomyosarcoma cells,Homo sapiens,9606,CLO_0008770,EFO_0002315,CVCL_1649,LCL-1411,CHEMBL3307547,
528,E6SM,E6SM (Embryonic skin-muscle fibroblast cells),Embryonic skin-muscle fibroblast cells,Homo sapiens,9606,,,CVCL_W081,,CHEMBL3307548,
529,HASMC,HASMC (Aortic smooth muscle cells),Aortic smooth muscle cells,Homo sapiens,9606,,,,,CHEMBL3307549,CL_0002539
530,H35R0.3,H350.3 (MTX-resistant Reuber hepatoma cells),MTX-resistant Reuber hepatoma cells,Rattus norvegicus,10116,,,CVCL_1B44,,CHEMBL3307550,
531,SK-N-MC,SK-N-MC (Neuroepithelioma cells),Neuroepithelioma cells,Homo sapiens,9606,CLO_0009058,EFO_0002860,CVCL_0530,,CHEMBL3307551,
532,SNB-19,SNB-19 (Glioma cells),Glioma cells,Homo sapiens,9606,CLO_0009093,EFO_0002342,CVCL_0535,LCL-1363,CHEMBL3307552,
533,St-4,St-4 (Stomach carcinoma cells),Stomach carcinoma cells,Homo sapiens,9606,,,CVCL_H265,,CHEMBL3307553,
534,T-lymphocyte,T-lymphocytes,T-lymphocytes,,,,,,,CHEMBL3307554,CL_0000084
535,MM96L,MM96L (Melanoma cells),Melanoma cells,Homo sapiens,9606,,,CVCL_D853,,CHEMBL3307555,
536,MOLT-3,MOLT-3 (T-lymphoblastic leukemia cells),T-lymphoblastic leukemia cells,Homo sapiens,9606,CLO_0007824,EFO_0005265,CVCL_0624,,CHEMBL3307556,
537,MOLT-4,MOLT-4 (Acute T-lymphoblastic leukemia cells),Acute T-lymphoblastic leukemia cells,Homo sapiens,9606,CLO_0007825,EFO_0001220,CVCL_0013,LCL-1019,CHEMBL3307557,
538,MRC5,MRC5 (Embryonic lung fibroblast cells),Embryonic lung fibroblast cells,Homo sapiens,9606,CLO_0007865,EFO_0002835,CVCL_0440,,CHEMBL3308499,
539,MT2,MT2 (Lymphocytes),Lymphocytes,Homo sapiens,9606,CLO_0007888,,CVCL_2631,,CHEMBL3307558,
540,NALM-6,NALM-6 (Pre-B-cell line),Pre-B-cell line,Homo sapiens,9606,CLO_0007938,EFO_0002245,CVCL_0092,LCL-1007,CHEMBL3307559,
541,NB-4,NB-4 (Promyelocytic leukemia cells),Promyelocytic leukemia cells,Homo sapiens,9606,CLO_0007947,EFO_0002798,CVCL_0005,LCL-1084,CHEMBL3308423,
542,Panel NCI-60 (60 carcinoma cell lines),Panel NCI-60 (60 carcinoma cell lines),Carcinoma cell lines,Homo sapiens,9606,,,,,CHEMBL3307560,
543,NFF,NFF (Fibroblast cells),Fibroblast cells,Homo sapiens,9606,,,,,CHEMBL3307561,
544,NT2,NT2 (Teratocarcinoma cells),Teratocarcinoma cells,Homo sapiens,9606,CLO_0008208,EFO_0002959,CVCL_0034,,CHEMBL3308505,
545,NUGC-3,NUGC-3 (Gastric carcinoma cells),Gastric carcinoma cells,Homo sapiens,9606,,,CVCL_1612,LCL-1887,CHEMBL3307562,
546,OST,OST (Osteosarcoma cells),Osteosarcoma cells,Homo sapiens,9606,,,CVCL_8399,,CHEMBL3307563,
547,OVCAR-3,OVCAR-3 (Ovarian adenocarcinoma cells),Ovarian adenocarcinoma cells,Homo sapiens,9606,CLO_0008279,EFO_0003061,CVCL_0465,,CHEMBL3307564,
548,OVCAR-5,OVCAR-5 (Ovarian adenocarcinoma cells),Ovarian adenocarcinoma cells,Homo sapiens,9606,CLO_0008280,EFO_0005443,CVCL_1628,,CHEMBL3307565,
549,P388,P388 (Lymphoma cells),Lymphoma cells,Mus musculus,10090,CLO_0008321,,CVCL_7222,,CHEMBL3308401,
550,P388/ADR,P388/ADR (Lymphoma cells),Lymphoma cells,Mus musculus,10090,,,CVCL_IZ75,,CHEMBL3307566,
551,P388CPT45,P388CPT45 (Lymphoma cells),Lymphoma cells,Mus musculus,10090,,,CVCL_D638,,CHEMBL3307567,
552,P815,P815 (Mastocytoma cells),Mastocytoma cells,Mus musculus,10090,CLO_0008341,,CVCL_2154,,CHEMBL3307568,
553,WEHI-164,WEHI-164 (Fibrosarcoma cells),Fibrosarcoma cells,Mus musculus,10090,CLO_0009573,,CVCL_2251,,CHEMBL3308344,
554,PBL,PBL (Peripheral blood lymphocytes),Peripheral blood lymphocytes,,,,,,,CHEMBL3307569,
555,PC-3,PC-3 (Prostate carcinoma cells),Prostate carcinoma cells,Homo sapiens,9606,CLO_0008395,EFO_0002074,CVCL_0035,LCL-1299,CHEMBL3307570,
556,PC-6,PC-6 (Small cell lung carcinoma cells),Small cell lung carcinoma cells,Homo sapiens,9606,,EFO_0002845,CVCL_C002,,CHEMBL3307571,
557,PHA-Ly,PHA-Ly (T-lymphocyte cells),T-lymphocyte cells,Homo sapiens,9606,,,,,CHEMBL3307572,
558,SW1088,SW1088 (Astrocytoma cells),Astrocytoma cells,Homo sapiens,9606,CLO_0009182,EFO_0002358,CVCL_1715,LCL-1398,CHEMBL3307573,
559,THP-1,THP-1 (Acute monocytic leukemia cells),Acute monocytic leukemia cells,Homo sapiens,9606,CLO_0009348,EFO_0001253,CVCL_0006,LCL-1072,CHEMBL3307574,
560,U-87 MG,U-87 MG (Glioblastoma cells),Glioblastoma cells,Homo sapiens,9606,CLO_0009464,EFO_0001256,CVCL_0022,LCL-1364,CHEMBL3307575,
561,2008/R,2008/R (Ovarian carcinoma cells),Ovarian carcinoma cells,Homo sapiens,9606,,,,,CHEMBL3307576,
562,COLO 320,COLO 320 (Colon adenocarcinoma cells),Colon adenocarcinoma cells,Homo sapiens,9606,CLO_0002571,,CVCL_1989,,CHEMBL3307577,
563,AG1523,AG1523 (Fibroblast cells),Fibroblast cells,Homo sapiens,9606,,,CVCL_F697,,CHEMBL3307578,
564,Daudi,Daudi (Burkitts lymphoma cells),Burkitts lymphoma cells,Homo sapiens,9606,CLO_0002708,EFO_0002169,CVCL_0008,LCL-2018,CHEMBL3307579,
565,DLD-1,DLD-1 (Colon adenocarcinoma cells),Colon adenocarcinoma cells,Homo sapiens,9606,CLO_0002785,,CVCL_0248,LCL-1175,CHEMBL3307580,
566,DMS-79,DMS-79 (Small cell lung carcinoma cells),Small cell lung carcinoma cells,Homo sapiens,9606,CLO_0002802,EFO_0002166,CVCL_1178,,CHEMBL3307581,
567,DO4,DO4 (Melanoma cells),Melanoma cells,Homo sapiens,9606,,,CVCL_H604,,CHEMBL3307582,
568,EJ,EJ (Bladder carcinoma cells),Bladder carcinoma cells,Homo sapiens,9606,CLO_0002906,,CVCL_2443,,CHEMBL3307583,
569,EL4,EL4 (Thymoma cells),Thymoma cells,Mus musculus,10090,CLO_0002913,,CVCL_0255,,CHEMBL3308380,
570,EMT6,EMT6 (Mammary carcinoma cells),Mammary carcinoma cells,Mus musculus,10090,CLO_0002926,,CVCL_1923,,CHEMBL3307584,
571,FM3A,FM3A (Breast carcinoma cells),Breast carcinoma cells,Mus musculus,10090,CLO_0003370,,CVCL_3869,,CHEMBL3307585,
572,SR,SR (Leukemia cells),Leukemia cells,Homo sapiens,9606,CLO_0009126,EFO_0002352,CVCL_1711,LCL-1129,CHEMBL3307586,
573,Src-transformed,Src-transformed (Fibroblast cells),Fibroblast cells,,,,,,,CHEMBL3307587,
574,T-cell,T-cells,T-cells,,,,,,,CHEMBL3307588,CL_0000084
575,Melanophore,Melanophores (Melanophore cells),Melanophore cells,Xenopus laevis,8355,,,,,CHEMBL3307589,CL_0000148
576,HT-22,HT-22 (Hippocampal cells),Hippocampal cells,Mus musculus,10090,,,CVCL_0321,,CHEMBL3307590,
577,M14,M14 (Melanoma cells),Melanoma cells,Homo sapiens,9606,,EFO_0003056,CVCL_1395,,CHEMBL3307591,
579,MCF7R,MCF7R (Breast carcinoma cells),Breast carcinoma cells,Homo sapiens,9606,,,CVCL_Y493,,CHEMBL3307593,
580,MCF7S,MCF7S (Breast carcinoma cells),Breast carcinoma cells,Homo sapiens,9606,,,,,CHEMBL3307594,
581,MCR,MCR (Frog skin melanocyte cells),Frog skin melanocyte cells,Anura,8342,,,,,CHEMBL3307595,
582,MDA-MB-453,MDA-MB-453 (Breast adenocarcinoma cells),Breast adenocarcinoma cells,Homo sapiens,9606,CLO_0007640,EFO_0001215,CVCL_0418,LCL-1485,CHEMBL3307596,
583,MDA-MB-468,MDA-MB-468 (Breast adenocarcinoma),Breast adenocarcinoma,Homo sapiens,9606,CLO_0007641,EFO_0001216,CVCL_0419,LCL-1471,CHEMBL3308424,
584,MDBK441 ,MDBK441  (Kidney cells),Kidney cells,Bos taurus,9913,,,CVCL_IZ74,,CHEMBL3307597,
585,MEF,MEF (Embryonic fibroblast cells),Embryonic fibroblast cells,Mus musculus,10090,,EFO_0004037,,,CHEMBL3307598,
586,MES-SA ,MES-SA  (Uterine sarcoma cells),Uterine sarcoma cells,Homo sapiens,9606,CLO_0007677,EFO_0002233,CVCL_1404,LCL-1509,CHEMBL3307599,
587,MEXF989,MEXF989 (Xenograft melanoma cells),Xenograft melanoma cells,Homo sapiens,9606,,,,,CHEMBL3307600,
588,NCI-H1975,NCI-H1975 (Bronchoalveolar carcinoma cells),Bronchoalveolar carcinoma cells,Homo sapiens,9606,CLO_0008035,EFO_0002271,CVCL_1511,LCL-1663,CHEMBL3307601,
589,MKN-28,MKN-28 (Gastric epithelial carcinoma cells),Gastric epithelial carcinoma cells,Homo sapiens,9606,,EFO_0002831,CVCL_1416,,CHEMBL3307602,
590,MKN-45,MKN-45 (Gastric adenocarcinoma cells),Gastric adenocarcinoma cells,Homo sapiens,9606,CLO_0007733,EFO_0002832,CVCL_0434,,CHEMBL3307603,
591,ML-2 ,ML-2 (Myeloblastic leukemia cells),Myeloblastic leukemia cells,Homo sapiens,9606,CLO_0007736,EFO_0002238,CVCL_1418,LCL-1060,CHEMBL3307604,
592,Beta-TC6,Beta-TC6 (Pancreatic insulinoma cells),Pancreatic insulinoma cells,Mus musculus,10090,CLO_0001933,,CVCL_0605,,CHEMBL3308358,
593,Osteoclast-like,Osteoclast-like (Bone marrow cells),Bone marrow cells,,,,,,,CHEMBL3307605,
594,T47D,T47D (Breast carcinoma cells),Breast carcinoma cells,Homo sapiens,9606,CLO_0009251,EFO_0001247,CVCL_0553,LCL-1486,CHEMBL3307606,
595,Panel breast (Carcinoma cell lines),Panel breast (Carcinoma cell lines),Carcinoma cell lines,Homo sapiens,9606,,,,,CHEMBL3307607,
596,Burkitts lymphoma cell,Burkitts lymphoma cells,Burkitts lymphoma cells,,,,,,,CHEMBL3307608,
597,TRAMP-C2H,TRAMP-C2H (Prostate carcinoma cells),Prostate carcinoma cells,Mus musculus,10090,,,CVCL_H591,,CHEMBL3307609,
598,C3H/3T3,C3H/3T3 (Embryonic fibroblast cells),Embryonic fibroblast cells,Mus musculus,10090,,,,,CHEMBL3307610,
599,R1-CCRF-CEM,R1-CCRF-CEM (Lymphoblastic leukemia),Lymphoblastic leukemia,Homo sapiens,9606,,,CVCL_S649,,CHEMBL3307611,
600,NCI-H522,NCI-H522 (Non-small cell lung carcinoma cells),Non-small cell lung carcinoma cells,Homo sapiens,9606,CLO_0008094,EFO_0002295,CVCL_1567,LCL-1622,CHEMBL3308392,
601,UO-31,UO-31 (Renal carcinoma cells),Renal carcinoma cells,Homo sapiens,9606,,,CVCL_1911,,CHEMBL3307612,
602,LX-1,LX-1 (Lung carcinoma cells),Lung carcinoma cells,Homo sapiens,9606,,,CVCL_5791,,CHEMBL3307613,
603,WI-38,WI-38 (Embryonic lung fibroblast cells),Embryonic lung fibroblast cells,Homo sapiens,9606,CLO_0009594,EFO_0001260,CVCL_0579,,CHEMBL3307614,
604,HaCaT,HaCaT (Keratinocytes),Keratinocytes,Homo sapiens,9606,,EFO_0002056,CVCL_0038,,CHEMBL3308509,
605,ZR-75-1,ZR-75-1 (Breast carcinoma cells),Breast carcinoma cells,Homo sapiens,9606,CLO_0009727,EFO_0001262,CVCL_0588,LCL-1321,CHEMBL3307615,
606,SNB-75,SNB-75 (Glioblastoma cells),Glioblastoma cells,Homo sapiens,9606,,,CVCL_1706,,CHEMBL3307616,
607,Cerebellar granule neurone,Cerebellar granule neurones,Cerebellar granule neurones,,,,,,,CHEMBL3307617,
608,AhR+/+5L,AhR+/+5L (Hepatoma cells),Hepatoma cells,Mus musculus,10090,,,,,CHEMBL3307618,
609,SNU-398,SNU-398 (Hepatocellular carcinoma cells),Hepatocellular carcinoma cells,Homo sapiens,9606,CLO_0009098,EFO_0002347,CVCL_0077,LCL-1934,CHEMBL3307619,
610,CH1,CH1 (Ovarian carcinoma cells),Ovarian carcinoma cells,Homo sapiens,9606,CLO_0002408,,CVCL_4992,,CHEMBL3307620,
611,Panel CNS (Carcinoma cell lines),Panel CNS (Carcinoma cell lines),Carcinoma cell lines,Homo sapiens,9606,,,,,CHEMBL3307621,
612,Col2,Col2 (Colon carcinoma cells),Colon carcinoma cells,Homo sapiens,9606,,,CVCL_D645,,CHEMBL3307622,
613,Colon 26,Colon 26 (Colon adenocarcinoma cells),Colon adenocarcinoma cells,Mus musculus,10090,,,CVCL_0240,,CHEMBL3307623,
614,Panel colon (Carcinoma cell lines),Panel colon (Carcinoma cell lines),Carcinoma cell lines,Homo sapiens,9606,,,,,CHEMBL3307624,
615,Colon cell,Colon cells,Colon cells,Homo sapiens,9606,,,,,CHEMBL3307625,
616,EKVX ,EKVX  (Non-small cell lung carcinoma cells),Non-small cell lung carcinoma cells,Homo sapiens,9606,,,CVCL_1195,LCL-2054,CHEMBL3307626,
617,Epithelial cell,Epithelial cells,Epithelial cells,,,,,,,CHEMBL3307627,CL_0000066
618,bEND,bEND (Brain endothelial cells),Brain endothelial cells,Mus musculus,10090,,,,,CHEMBL3307628,
619,1A9/ptx-10,1A9/ptx-10 (Ovarian adenocarcinoma cells),Ovarian adenocarcinoma cells,Homo sapiens,9606,,,CVCL_H620,,CHEMBL3307629,
620,3T3-L1,3T3-L1 (Fibroblast cells),Fibroblast cells,Mus musculus,10090,CLO_0001352,EFO_0001223,CVCL_0123,,CHEMBL3307630,
621,41M,41M (Ovarian carcinoma cells),Ovarian carcinoma cells,Homo sapiens,9606,,,CVCL_4993,,CHEMBL3307631,
622,A 172,A 172 (Glioblastoma cells),Glioblastoma cells,Homo sapiens,9606,CLO_0001560,EFO_0002101,CVCL_0131,,CHEMBL3308491,
623,A204,A204 (Rhabdomyosarcoma cells),Rhabdomyosarcoma cells,Homo sapiens,9606,CLO_0001565,EFO_0002102,CVCL_1058,LCL-1409,CHEMBL3308354,
624,A498,A498 (Renal carcinoma cells),Renal carcinoma cells,Homo sapiens,9606,CLO_0001596,EFO_0002105,CVCL_1056,LCL-1761,CHEMBL3308425,
625,A9,A9 (Fibroblast cells),Fibroblast cells,Mus musculus,10090,CLO_0001620,,CVCL_3984,,CHEMBL3307632,
626,ACHN,ACHN (Renal adenocarcinoma cells),Renal adenocarcinoma cells,Homo sapiens,9606,CLO_0001654,EFO_0002108,CVCL_1067,LCL-1756,CHEMBL3307633,
627,BaF3,BaF3 (IL-3-dependent pro-B-cells),IL-3-dependent pro-B-cells,Mus musculus,10090,CLO_0001842,,CVCL_0161,,CHEMBL3307634,
628,BGC-823,BGC-823 (Stomach adenocarcinoma cells),Stomach adenocarcinoma cells,Homo sapiens,9606,CLO_0001952,,CVCL_3360,,CHEMBL3307635,
629,BHK-21,BHK-21 (Kidney cells),Kidney cells,Cricetulus griseus,10029,CLO_0001967,,CVCL_1915,,CHEMBL3308360,
630,BT-474,BT-474 (Breast ductal carcinoma cells),Breast ductal carcinoma cells,Homo sapiens,9606,CLO_0002042,EFO_0001093,CVCL_0179,LCL-1308,CHEMBL3307636,
631,BXPC-3,BXPC-3 (Pancreatic adenocarcinoma cells),Pancreatic adenocarcinoma cells,Homo sapiens,9606,CLO_0002065,EFO_0002709,CVCL_0186,LCL-1731,CHEMBL3307637,
632,C8166,C8166 (Leukemic T-cells),Leukemic T-cells,Homo sapiens,9606,CLO_0002149,,CVCL_1099,LCL-1011,CHEMBL3307638,
633,Calu-6,Calu-6 (Lung adenocarcinoma cells),Lung adenocarcinoma cells,Homo sapiens,9606,CLO_0002193,EFO_0002152,CVCL_0236,LCL-1626,CHEMBL3307639,
634,CAPAN-1,CAPAN-1 (Pancreatic adenocarcinoma cells),Pancreatic adenocarcinoma cells,Homo sapiens,9606,CLO_0002197,EFO_0002153,CVCL_0237,LCL-1732,CHEMBL3307640,
635,CCRF-CEM,CCRF-CEM (T-cell leukemia),T-cell leukemia,Homo sapiens,9606,CLO_0002334,EFO_0002128,CVCL_0207,LCL-1012,CHEMBL3307641,
636,CCRF-HSB-2,CCRF-HSB-2 (T-cell leukemia cells),T-cell leukemia cells,Homo sapiens,9606,CLO_0004258,,CVCL_1859,LCL-1914,CHEMBL3307642,
637,CCRF-SB,CCRF-SB (Lymphoblastic leukemia cells),Lymphoblastic leukemia cells,Homo sapiens,9606,CLO_0002336,,CVCL_1860,LCL-1006,CHEMBL3307643,
638,CEM-SS,CEM-SS (T-cell leukemia),T-cell leukemia,Homo sapiens,9606,,,CVCL_J318,,CHEMBL3307644,
639,CEM-VLB,CEM-VLB (Vinblastine-resistant T-cell leukemia cells),Vinblastine-resistant T-cell leukemia cells,Homo sapiens,9606,,,CVCL_4V08,,CHEMBL3307645,
640,CHO-MG,CHO-MG (Ovarian cells),Ovarian cells,Cricetulus griseus,10029,,,CVCL_7181,,CHEMBL3307646,
641,COLO 205,COLO 205 (Colon adenocarcinoma cells),Colon adenocarcinoma cells,Homo sapiens,9606,CLO_0002544,EFO_0003082,CVCL_0218,LCL-1173,CHEMBL3308348,
642,COLO 320DM,COLO 320DM (Colon adenocarcinoma cells),Colon adenocarcinoma cells,Homo sapiens,9606,CLO_0002546,EFO_0002136,CVCL_0219,LCL-1197,CHEMBL3307647,
643,COS-7,COS-7 (Kidney cells),Kidney cells,Chlorocebus aethiops,9534,CLO_0002597,,CVCL_0224,,CHEMBL3307648,
644,CTLL,CTLL (Cytotoxic T-cells),Cytotoxic T-cells,Mus musculus,10090,CLO_0002635,,,,CHEMBL3307649,
645,A704,A704 (Renal carcinoma cells),Renal carcinoma cells,Homo sapiens,9606,CLO_0001610,,CVCL_1065,LCL-1762,CHEMBL3307650,
