who_name,level1,level2,level3,level4,level5,level1_description,level2_description,level3_description,level4_description
etonogestrel,G,G03,G03A,G03AC,G03AC08,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,Progestogens
desogestrel,G,G03,G03A,G03AC,G03AC09,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,Progestogens
drospirenone,G,G03,G03A,G03AC,G03AC10,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,Progestogens
levonorgestrel,G,G03,G03A,G03AD,G03AD01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,Emergency contraceptives
ulipristal,G,G03,G03A,G03AD,G03AD02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,Emergency contraceptives
fluoxymesterone,G,G03,G03B,G03BA,G03BA01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANDROGENS,3-oxoandrosten (4) derivatives
methyltestosterone,G,G03,G03B,G03BA,G03BA02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANDROGENS,3-oxoandrosten (4) derivatives
testosterone,G,G03,G03B,G03BA,G03BA03,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANDROGENS,3-oxoandrosten (4) derivatives
mesterolone,G,G03,G03B,G03BB,G03BB01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANDROGENS,5-androstanon (3) derivatives
androstanolone,G,G03,G03B,G03BB,G03BB02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANDROGENS,5-androstanon (3) derivatives
ethinylestradiol,G,G03,G03C,G03CA,G03CA01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Natural and semisynthetic estrogens, plain"
estradiol,G,G03,G03C,G03CA,G03CA03,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Natural and semisynthetic estrogens, plain"
estriol,G,G03,G03C,G03CA,G03CA04,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Natural and semisynthetic estrogens, plain"
chlorotrianisene,G,G03,G03C,G03CA,G03CA06,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Natural and semisynthetic estrogens, plain"
estrone,G,G03,G03C,G03CA,G03CA07,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Natural and semisynthetic estrogens, plain"
promestriene,G,G03,G03C,G03CA,G03CA09,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Natural and semisynthetic estrogens, plain"
"estradiol, combinations",G,G03,G03C,G03CA,G03CA53,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Natural and semisynthetic estrogens, plain"
conjugated estrogens,G,G03,G03C,G03CA,G03CA57,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Natural and semisynthetic estrogens, plain"
dienestrol,G,G03,G03C,G03CB,G03CB01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Synthetic estrogens, plain"
diethylstilbestrol,G,G03,G03C,G03CB,G03CB02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Synthetic estrogens, plain"
methallenestril,G,G03,G03C,G03CB,G03CB03,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Synthetic estrogens, plain"
moxestrol,G,G03,G03C,G03CB,G03CB04,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Synthetic estrogens, plain"
dienestrol,G,G03,G03C,G03CC,G03CC02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Estrogens, combinations with other drugs"
methallenestril,G,G03,G03C,G03CC,G03CC03,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Estrogens, combinations with other drugs"
estrone,G,G03,G03C,G03CC,G03CC04,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Estrogens, combinations with other drugs"
diethylstilbestrol,G,G03,G03C,G03CC,G03CC05,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Estrogens, combinations with other drugs"
estriol,G,G03,G03C,G03CC,G03CC06,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Estrogens, combinations with other drugs"
conjugated estrogens and bazedoxifene,G,G03,G03C,G03CC,G03CC07,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Estrogens, combinations with other drugs"
tibolone,G,G03,G03C,G03CX,G03CX01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,Other estrogens
gestonorone,G,G03,G03D,G03DA,G03DA01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Pregnen (4) derivatives
medroxyprogesterone,G,G03,G03D,G03DA,G03DA02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Pregnen (4) derivatives
hydroxyprogesterone,G,G03,G03D,G03DA,G03DA03,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Pregnen (4) derivatives
progesterone,G,G03,G03D,G03DA,G03DA04,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Pregnen (4) derivatives
dydrogesterone,G,G03,G03D,G03DB,G03DB01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Pregnadien derivatives
megestrol,G,G03,G03D,G03DB,G03DB02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Pregnadien derivatives
medrogestone,G,G03,G03D,G03DB,G03DB03,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Pregnadien derivatives
nomegestrol,G,G03,G03D,G03DB,G03DB04,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Pregnadien derivatives
demegestone,G,G03,G03D,G03DB,G03DB05,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Pregnadien derivatives
chlormadinone,G,G03,G03D,G03DB,G03DB06,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Pregnadien derivatives
promegestone,G,G03,G03D,G03DB,G03DB07,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Pregnadien derivatives
dienogest,G,G03,G03D,G03DB,G03DB08,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Pregnadien derivatives
allylestrenol,G,G03,G03D,G03DC,G03DC01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Estren derivatives
norethisterone,G,G03,G03D,G03DC,G03DC02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Estren derivatives
lynestrenol,G,G03,G03D,G03DC,G03DC03,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Estren derivatives
ethisterone,G,G03,G03D,G03DC,G03DC04,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Estren derivatives
etynodiol,G,G03,G03D,G03DC,G03DC06,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Estren derivatives
methylestrenolone,G,G03,G03D,G03DC,G03DC31,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Estren derivatives
methyltestosterone and estrogen,G,G03,G03E,G03EA,G03EA01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION,Androgens and estrogens
testosterone and estrogen,G,G03,G03E,G03EA,G03EA02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION,Androgens and estrogens
prasterone and estrogen,G,G03,G03E,G03EA,G03EA03,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION,Androgens and estrogens
methyltestosterone,G,G03,G03E,G03EK,G03EK01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION,Androgens and female sex hormones in combination with other drugs
norethisterone and estrogen,G,G03,G03F,G03FA,G03FA01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
hydroxyprogesterone and estrogen,G,G03,G03F,G03FA,G03FA02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
ethisterone and estrogen,G,G03,G03F,G03FA,G03FA03,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
progesterone and estrogen,G,G03,G03F,G03FA,G03FA04,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
methylnortestosterone and estrogen,G,G03,G03F,G03FA,G03FA05,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
etynodiol and estrogen,G,G03,G03F,G03FA,G03FA06,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
lynestrenol and estrogen,G,G03,G03F,G03FA,G03FA07,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
megestrol and estrogen,G,G03,G03F,G03FA,G03FA08,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
noretynodrel and estrogen,G,G03,G03F,G03FA,G03FA09,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
norgestrel and estrogen,G,G03,G03F,G03FA,G03FA10,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
levonorgestrel and estrogen,G,G03,G03F,G03FA,G03FA11,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
medroxyprogesterone and estrogen,G,G03,G03F,G03FA,G03FA12,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
norgestimate and estrogen,G,G03,G03F,G03FA,G03FA13,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
dydrogesterone and estrogen,G,G03,G03F,G03FA,G03FA14,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
dienogest and estrogen,G,G03,G03F,G03FA,G03FA15,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
trimegestone and estrogen,G,G03,G03F,G03FA,G03FA16,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
drospirenone and estrogen,G,G03,G03F,G03FA,G03FA17,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
norgestrel and estrogen,G,G03,G03F,G03FB,G03FB01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, sequential preparations"
lynestrenol and estrogen,G,G03,G03F,G03FB,G03FB02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, sequential preparations"
chlormadinone and estrogen,G,G03,G03F,G03FB,G03FB03,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, sequential preparations"
megestrol and estrogen,G,G03,G03F,G03FB,G03FB04,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, sequential preparations"
norethisterone and estrogen,G,G03,G03F,G03FB,G03FB05,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, sequential preparations"
medroxyprogesterone and estrogen,G,G03,G03F,G03FB,G03FB06,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, sequential preparations"
medrogestone and estrogen,G,G03,G03F,G03FB,G03FB07,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, sequential preparations"
dydrogesterone and estrogen,G,G03,G03F,G03FB,G03FB08,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, sequential preparations"
levonorgestrel and estrogen,G,G03,G03F,G03FB,G03FB09,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, sequential preparations"
desogestrel and estrogen,G,G03,G03F,G03FB,G03FB10,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, sequential preparations"
trimegestone and estrogen,G,G03,G03F,G03FB,G03FB11,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, sequential preparations"
nomegestrol and estrogen,G,G03,G03F,G03FB,G03FB12,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, sequential preparations"
chorionic gonadotrophin,G,G03,G03G,G03GA,G03GA01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GONADOTROPINS AND OTHER OVULATION STIMULANTS,Gonadotropins
human menopausal gonadotrophin,G,G03,G03G,G03GA,G03GA02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GONADOTROPINS AND OTHER OVULATION STIMULANTS,Gonadotropins
serum gonadotrophin,G,G03,G03G,G03GA,G03GA03,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GONADOTROPINS AND OTHER OVULATION STIMULANTS,Gonadotropins
urofollitropin,G,G03,G03G,G03GA,G03GA04,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GONADOTROPINS AND OTHER OVULATION STIMULANTS,Gonadotropins
follitropin alfa,G,G03,G03G,G03GA,G03GA05,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GONADOTROPINS AND OTHER OVULATION STIMULANTS,Gonadotropins
follitropin beta,G,G03,G03G,G03GA,G03GA06,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GONADOTROPINS AND OTHER OVULATION STIMULANTS,Gonadotropins
lutropin alfa,G,G03,G03G,G03GA,G03GA07,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GONADOTROPINS AND OTHER OVULATION STIMULANTS,Gonadotropins
choriogonadotropin alfa,G,G03,G03G,G03GA,G03GA08,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GONADOTROPINS AND OTHER OVULATION STIMULANTS,Gonadotropins
corifollitropin alfa,G,G03,G03G,G03GA,G03GA09,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GONADOTROPINS AND OTHER OVULATION STIMULANTS,Gonadotropins
follitropin delta,G,G03,G03G,G03GA,G03GA10,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GONADOTROPINS AND OTHER OVULATION STIMULANTS,Gonadotropins
combinations,G,G03,G03G,G03GA,G03GA30,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GONADOTROPINS AND OTHER OVULATION STIMULANTS,Gonadotropins
cyclofenil,G,G03,G03G,G03GB,G03GB01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GONADOTROPINS AND OTHER OVULATION STIMULANTS,"Ovulation stimulants, synthetic"
clomifene,G,G03,G03G,G03GB,G03GB02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GONADOTROPINS AND OTHER OVULATION STIMULANTS,"Ovulation stimulants, synthetic"
epimestrol,G,G03,G03G,G03GB,G03GB03,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GONADOTROPINS AND OTHER OVULATION STIMULANTS,"Ovulation stimulants, synthetic"
cyproterone,G,G03,G03H,G03HA,G03HA01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANTIANDROGENS,"Antiandrogens, plain"
cyproterone and estrogen,G,G03,G03H,G03HB,G03HB01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANTIANDROGENS,Antiandrogens and estrogens
danazol,G,G03,G03X,G03XA,G03XA01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,Antigonadotropins and similar agents
gestrinone,G,G03,G03X,G03XA,G03XA02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,Antigonadotropins and similar agents
mifepristone,G,G03,G03X,G03XB,G03XB01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,Progesterone receptor modulators
ulipristal,G,G03,G03X,G03XB,G03XB02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,Progesterone receptor modulators
"mifepristone, combinations",G,G03,G03X,G03XB,G03XB51,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,Progesterone receptor modulators
raloxifene,G,G03,G03X,G03XC,G03XC01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,Selective estrogen receptor modulators
bazedoxifene,G,G03,G03X,G03XC,G03XC02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,Selective estrogen receptor modulators
lasofoxifene,G,G03,G03X,G03XC,G03XC03,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,Selective estrogen receptor modulators
ormeloxifene,G,G03,G03X,G03XC,G03XC04,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,Selective estrogen receptor modulators
ospemifene,G,G03,G03X,G03XC,G03XC05,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,Selective estrogen receptor modulators
prasterone,G,G03,G03X,G03XX,G03XX01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,Other sex hormones and modulators of the genital system
ammonium chloride,G,G04,G04B,G04BA,G04BA01,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,Acidifiers
calcium chloride,G,G04,G04B,G04BA,G04BA03,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,Acidifiers
emepronium,G,G04,G04B,G04BD,G04BD01,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,Drugs for urinary frequency and incontinence
flavoxate,G,G04,G04B,G04BD,G04BD02,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,Drugs for urinary frequency and incontinence
meladrazine,G,G04,G04B,G04BD,G04BD03,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,Drugs for urinary frequency and incontinence
oxybutynin,G,G04,G04B,G04BD,G04BD04,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,Drugs for urinary frequency and incontinence
terodiline,G,G04,G04B,G04BD,G04BD05,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,Drugs for urinary frequency and incontinence
propiverine,G,G04,G04B,G04BD,G04BD06,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,Drugs for urinary frequency and incontinence
tolterodine,G,G04,G04B,G04BD,G04BD07,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,Drugs for urinary frequency and incontinence
solifenacin,G,G04,G04B,G04BD,G04BD08,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,Drugs for urinary frequency and incontinence
trospium,G,G04,G04B,G04BD,G04BD09,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,Drugs for urinary frequency and incontinence
