patent_use_code,definition
U-2272,TREATMENT OF NASAL POLYPS IN PATIENTS >=18 YEARS OF AGE WHO HAVE HAD ETHMOID SINUS SURGERY USING A CORTICOSTEROID-ELUTING (MOMETASONE FUROATE) IMPLANT
U-2273,"A METHOD FOR TREATING EPITHELIAL OVARIAN, FALLOPIAN TUBE, OR PRIMARY PERITONEAL CANCER, WHEREIN THE CANCER IS ASSOCIATED WITH A DELETERIOUS BRCA MUTATION"
U-2274,"MAINTAINING SERUM 25-HYDROXYVITAMIN D AT A LEVEL OF AT LEAST 30 NG/ML WITH ORAL, SUSTAINED RELEASE 25-HYDROXYVITAMIN D"
U-2275,"TREATING CYSTIC FIBROSIS PATIENTS AGES 12 AND OLDER, WHO ARE HOMOZYGOUS FOR F508DEL OR HAVE AT LEAST 1 CFTR GENE MUTATION RESPONSIVE TO TEZACAFTOR/IVACAFTOR, WITH TEZACAFTOR AND A SOLID COMPOSITION COMPRISING AMORPHOUS (<30% CRYSTALLINE) IVACAFTOR"
U-2276,METHOD OF TREATING CYSTIC FIBROSIS IN A PATIENT AGE 6 OR OLDER HOMOZYGOUS FOR THE F508DEL MUTATION IN THE CFTR GENE USING LUMACAFTOR AND A SOLID COMPOSITION COMPRISING AMORPHOUS (LESS THAN ABOUT 30% CRYSTALLINE) IVACAFTOR
U-2277,IMPROVEMENT IN GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS INADEQUATELY CONTROLLED BY LIXISENATIDE
U-2278,IMPROVEMENT IN GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS INADEQUATELY CONTROLLED BY LIXISENATIDE IN COMBINATION WITH METFORMIN
U-2279,IMPROVEMENT IN GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS INADEQUATELY CONTROLLED BY LIXISENATIDE IN COMBINATION WITH METFORMIN AND A SECOND ORAL ANTIDIABETIC DRUG
U-228,ASTHMA
U-2280,ADJUNCTIVE TREATMENT OF PATIENTS WITH TSC-ASSOCIATED PARTIAL-ONSET SEIZURES
U-2281,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING BROMOCRIPTINE MESYLATE AND A FIRST-PHASE INSULIN SECRETAGOGUE AS RECITED IN CLAIM 1 AND WHEREIN THE EFFECTS ARE AS RECITED IN CLAIM 1
U-2282,ADJUNCT TO DIET AND EXERCISE TO TREAT GLUCOSE INTOLERANCE IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING BROMOCRIPTINE MESYLATE AND A FIRST-PHASE INSULIN SECRETAGOGUE AS RECITED IN CLAIM 2 AND WHEREIN THE EFFECTS ARE AS RECITED IN CLAIM 2
U-2283,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING BROMOCRIPTINE MESYLATE AND A FIRST-PHASE INSULIN SECRETAGOGUE AS RECITED IN CLAIMS 3-7 AND WHEREIN THE EFFECTS ARE AS RECITED IN CLAIMS 3-7
U-2284,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING BROMOCRIPTINE MESYLATE AND A FIRST-PHASE INSULIN SECRETAGOGUE AS RECITED IN CLAIM 8 AND WHEREIN THE EFFECTS ARE AS RECITED IN CLAIM 8
U-2285,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING BROMOCRIPTINE MESYLATE AND A FIRST-PHASE INSULIN SECRETAGOGUE AS RECITED IN CLAIM 11 AND WHEREIN THE EFFECTS ARE AS RECITED IN CLAIM 11
U-2286,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING BROMOCRIPTINE MESYLATE AND A FIRST-PHASE INSULIN SECRETAGOGUE AS RECITED IN CLAIM 14 AND WHEREIN THE EFFECTS ARE AS RECITED IN CLAIM 14
U-2287,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING BROMOCRIPTINE MESYLATE AND A FIRST-PHASE INSULIN SECRETAGOGUE AS RECITED IN CLAIMS 16-19 AND WHEREIN THE EFFECTS ARE AS RECITED IN CLAIMS 16-19
U-2288,TREATMENT OF TYPE 2 DIABETES MELLITUS WITH EXENATIDE AS AN ADD-ON TO BASIL INSULIN OR BASAL INSULIN PLUS METFORMIN THERAPY
U-2289,TREATMENT OF PATIENTS WITH METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WHOSE TUMORS HAVE EPIDERMAL GROWTH FACTOR RECEPTOR (EGFR) EXON 19 DELETIONS OR EXON 21L858R MUTATIONS
U-229,CARDIAC INSUFFICIENCY (CONGESTIVE HEART FAILURE)
U-2290,METHOD OF TREATING TYPE 2 DIABETES MELLITUS IN A PATIENT WITH RENAL IMPAIRMENT (45 ML/MIN/1.73 M2<=EGFR<60 ML/MIN/1.73 M2) BY ONCE DAILY ADMINISTRATION OF 10 MG OR 25 MG OF EMPAGLIFLOZIN
U-2291,REDUCTION OF THROMBOTIC CARDIOVASCULAR EVENTS IN PATIENTS WITH A HISTORY OF MYOCARDIAL INFARCTION (MI) OR WITH PERIPHERAL ARTERIAL DISEASE (PAD)
U-2292,METHOD OF REDUCING THE RISK OF CARDIOVASCULAR DEATH IN ADULT PATIENTS WITH TYPE 2 DIABETES MELLITUS AND CARDIOVASCULAR DISEASE BY ONCE DAILY ADMINISTRATION OF 10 MG OR 25 MG OF EMPAGLIFLOZIN
U-2293,"USE IN COMBINATION WITH DEXAMETHASONE IN ADULTS FOR THE PREVENTION OF ACUTE AND DELAYED NAUSEA AND VOMITING ASSOCIATED WITH INITIAL AND REPEAT COURSES OF CANCER CHEMOTHERAPY, INCLUDING, BUT NOT LIMITED TO, HIGHLY EMETOGENIC CHEMOTHERAPY"
U-2294,TREATMENT OF THROMBOCYTOPENIA IN ADULT PATIENTS WITH CHRONIC IMMUNE THROMBOCYTOPENIA (ITP) WHO HAVE HAD AN INSUFFICIENT RESPONSE TO A PREVIOUS TREATMENT
U-2295,TREATMENT OF PARTIAL-ONSET SEIZURES IN PATIENTS 4 YEARS OF AGE AND OLDER
U-2296,"TAFINLAR IS INDICATED, IN COMBINATION WITH TRAMETINIB, FOR THE ADJUVANT TREATMENT OF PATIENTS WITH MELANOMA WITH BRAF V600E OR V600K MUTATIONS, AS DETECTED BY AN FDA-APPROVED TEST, AND INVOLVEMENT OF LYMPH NODE(S), FOLLOWING COMPLETE RESECTION"
U-2297,IMPROVEMENT OF GLYCEMIC CONTROL IN TYPE 2 DIABETES PATIENTS BY ADMINISTERING A STARTING DOSE OF 10 MCG FOR 14 DAYS AND INCREASING TO A MAINTENANCE DOSE OF 20 MCG ON DAY 15
U-2298,"TAFINLAR IS INDICATED, IN COMBINATION WITH TRAMETINIB, FOR THE TREATMENT OF PATIENTS WITH LOCALLY ADVANCED OR METASTATIC ANAPLASTIC THYROID CANCER (ATC) WITH BRAF V600E MUTATION AND WITH NO SATISFACTORY LOCOREGIONAL TREATMENT OPTIONS"
U-2299,TAFINLAR IS INDICATED AS A SINGLE AGENT FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA WITH BRAF V600E MUTATION
U-23,METHOD FOR TREATING PROSTATIC CARCINOMA COMPRISING ADMINISTERING FLUTAMIDE
U-230,PREVENTION OF ACUTE CARDIAC ISCHEMIC EVENTS
U-2300,"USE IN COMBINATION WITH THE MUSCARINIC ANTAGONIST SOLIFENACIN SUCCINATE FOR THE TREATMENT OF OVERACTIVE BLADDER (OAB) WITH SYMPTOMS OF URGE URINARY INCONTINENCE, URGENCY, AND URINARY FREQUENCY"
U-2301,USE IN COMBINATION WITH DEXAMETHASONE IN ADULTS FOR THE PREVENTION OF ACUTE AND DELAYED NAUSEA AND VOMITING ASSOCIATED WITH INITIAL AND REPEAT COURSES OF HIGHLY EMETOGENIC CANCER CHEMOTHERAPY
U-2302,"MEKINIST IS INDICATED, IN COMBINATION WITH DABRAFENIB, FOR THE ADJUVANT TREATMENT OF PATIENTS WITH MELANOMA WITH BRAF V600E OR V600K MUTATIONS,  AS DETECTED BY AN FDA-APPROVED TEST, AND INVOLVEMENT OF LYMPH NODE(S), FOLLOWING COMPLETE RESECTION"
U-2303,"MEKINIST IS INDICATED, IN COMBINATION WITH DABRAFENIB, FOR THE ADJUVANT TREATMENT OF PATIENTS WITH MELANOMA WITH BRAF V600E OR V600K MUTATIONS AND INVOLVEMENT OF LYMPH NODE(S), FOLLOWING COMPLETE RESECTION"
U-2304,"MEKINIST IS INDICATED, IN COMBINATION WITH DABRAFENIB, FOR THE TREATMENT OF PATIENTS WITH METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WITH BRAF V600E MUTATION"
U-2305,"MEKINIST IS INDICATED, IN COMBINATION WITH DABRAFENIB, FOR THE TREATMENT OF PATIENTS WITH LOCALLY ADVANCED OR METASTATIC ANAPLASTIC THYROID CANCER (ATC) WITH BRAF V600E MUTATION AND WITH NO SATISFACTORY LOCOREGIONAL TREATMENT OPTIONS"
U-2306,ONCE DAILY TOPICAL TREATMENT OF PERSISTENT FACIAL ERYTHEMA ASSOCIATED WITH ROSACEA IN ADULTS WITH 1% OXYMETAZOLINE HYDROCHLORIDE CREAM
U-2307,TREATMENT OF AUTOSOMAL DOMINANT POLYCYSTIC KIDNEY DISEASE
U-2308,TREATMENT OF ADULT PATIENTS WITH SHORT BOWEL SYNDROME WHO ARE DEPENDENT ON PARENTERAL SUPPORT
U-2309,"USE IN THE TREATMENT OF MAJOR DEPRESSIVE DISORDER TO IMPROVE PROCESSING SPEED, AN ASPECT OF COGNITIVE FUNCTION"
U-231,USE IN PARKINSON'S DISEASE
U-2310,FOR CLEANSING OF THE COLON IN PREPARATION FOR COLONOSCOPY IN ADULTS
U-2311,TREATMENT OF HYPERURICEMIA ASSOCIATED WITH GOUT IN PATIENTS WHO HAVE NOT ACHIEVED TARGET SERUM URIC ACID LEVELS WITH A XANTHINE OXIDASE INHIBITOR ALONE
U-2312,TREATMENT OF HYPERKALEMIA IN ADULTS
U-2313,"METHOD OF REDUCING THE RISK OF CARDIOVASCULAR DEATH, NON-FATAL MYOCARDIAL INFARCTION, AND/OR NON-FATAL STROKE IN ADULTS WITH TYPE 2 DIABETES MELLITUS AND ESTABLISHED CARDIOVASCULAR DISEASE BY ADMINISTERING LIRAGLUTIDE"
U-2314,TREATMENT OF THROMBOCYTOPENIA IN AN ADULT PATIENT WITH CHRONIC LIVER DISEASE WHO IS SCHEDULED TO UNDERGO A PROCEDURE USING DOPTELET
U-2315,TREATMENT OF MULTIPLE SCLEROSIS IN THE PEDIATRIC PATIENT POPULATION WITH 0.25 MG FINGOLIMOD
U-2316,TREATMENT OF DYSPAREUNIA
U-2317,TREATMENT OF A SYMPTOM OF VULVAR AND VAGINAL ATROPHY
U-2318,"TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 12 AND OLDER, WHO ARE HOMOZYGOUS FOR THE F508DEL MUTATION OR HAVE AT LEAST ONE CFTR GENE MUTATION THAT IS RESPONSIVE TO TEZACAFTOR/IVACAFTOR, WITH TEZACAFTOR AND IVACAFTOR"
U-2319,KYPROLIS IS INDICATED IN COMBINATION WITH DEXAMETHASONE OR WITH LENALIDOMIDE PLUS DEXAMETHASONE FOR THE TREATMENT OF PATIENTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA WHO HAVE RECEIVED ONE TO THREE LINES OF THERAPY
U-232,METHOD OF TREATING MIGRAINE
U-2320,KYPROLIS IS INDICATED AS A SINGLE AGENT FOR THE TREATMENT OF PATIENTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA WHO HAVE RECEIVED ONE OR MORE LINES OF THERAPY
U-2321,A METHOD OF APPLYING TRYPAN BLUE ONTO AN OUTER SURFACE OF THE ANTERIOR LENS CAPSULE TO FACILITATE REMOVAL OF THE LENS SUBSTANCE
U-2322,TREATMENT OF ADULT PATIENTS WITH MODERATELY TO SEVERELY ACTIVE ULCERATIVE COLITIS (UC)
U-2323,"TREATMENT OF PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA (CLL) OR SMALL LYMPHOCYTIC LYMPHOMA (SLL), WITH OR WITHOUT 17P DELETION, WHO HAVE RECEIVED AT LEAST ONE PRIOR THERAPY"
U-2324,FOR SECONDARY PREVENTION OF CARDIOVASCULAR AND CEREBROVASCULAR EVENTS IN PATIENTS AT RISK OF DEVELOPING ASPIRIN-ASSOCIATED GASTRIC ULCERS
U-2325,"EMERGENCY TREATMENT OF ALLERGIC REACTIONS (TYPE 1), INCLUDING ANAPHYLAXIS; A METHOD OF TREATING ALLERGIC REACTION, ANAPHYLAXIS, ANAPHYLACTIC SHOCK, OR COMBINATION THEREOF BY AN INJECTION OF AT LEAST ONE DOSAGE OF THE INJECTABLE LIQUID PHARMACEUTICAL"
U-2326,TREATMENT OF NOCTURIA DUE TO NOCTURNAL POLYURIA IN ADULTS
U-2327,"TREATMENT OF NOCTURIA DUE TO NOCTURNAL POLYURIA IN ADULTS, COMPRISING MONITORING A PATIENT'S SERUM SODIUM CONCENTRATION"
U-2328,METHOD OF USING PLAZOMICIN TO TREAT BACTERIAL INFECTIONS
U-2329,METHOD OF ADMINISTERING A LOCAL ANESTHETIC PRIOR TO PERFORMING A DIAGNOSTIC OR SURGICAL PROCEDURE ON A SUBJECT WITH HEPATIC OR RENAL IMPAIRMENT
U-233,DECREASING MORTALITY CAUSED BY CONGESTIVE HEART FAILURE
U-2330,METHOD OF TREATING MELANOMA
U-2331,INDICATED IN COMBINATION WITH ENCORAFENIB FOR THE TREATMENT OF MELANOMA
U-2332,INDICATED IN COMBINATION WITH ENCORAFENIB FOR THE TREATMENT OF MELANOMA MEDIATED BY A B-RAF PROTEIN KINASE
U-2333,INDICATED IN COMBINATION WITH ENCORAFENIB FOR THE TREATMENT OF MELANOMA WITH A BRAF MUTATION
U-2334,TREATMENT OF MELANOMA WITH A BRAF MUTATION
U-2335,TREATMENT OF MELANOMA
U-2336,TREATMENT OF MELANOMA MEDIATED BY A B-RAF PROTEIN KINASE
U-2337,INDICATED IN COMBINATION WITH BINIMETINIB FOR THE TREATMENT OF MELANOMA WITH A BRAF MUTATION
U-2338,MAINTAINING MEAN ARTERIAL PRESSURE OF ABOUT 65 MMHG OR ABOVE WITH ABOUT 1 NG/KG/MIN TO ABOUT 40 NG/KG/MIN ANGIOTENSIN II IN HYPOTENSIVE PATIENTS TREATED WITH VASOPRESSIN OR A VASOPRESSIN ANALOGUE AND REDUCING VASOPRESSIN OR VASOPRESSIN ANALOGUE USE
U-2339,"USE OF A PHARMACEUTICAL COMPOSITION COMPRISING LINAGLIPTIN, METFORMIN AND A BASIC AMINO ACID TO TREAT TYPE 2 DIABETES MELLITUS"
U-234,METHOD OF USING RIBAVIRIN TO TREAT VIRAL INFECTIONS IN MAMMALS
U-2340,TREATMENT OF POSTOPERATIVE INFLAMMATION
U-2341,METHOD OF RECONSTITUTING A LYOPHILIZED LIPOSOMAL COMPOSITION FOR ADMINISTERING CYTARABINE AND DAUNORUBICIN TO TREAT ADULTS WITH NEWLY-DIAGNOSED THERAPY-RELATED ACUTE MYELOID LEUKEMIA (T-AML) OR AML WITH MYELODYSPLASIA-RELATED CHANGES (AML-MRC)
U-2342,METHOD OF ADMINISTERING A RECONSTITUTED LIPOSOMAL COMPOSITION CONTAINING CYTARABINE AND DAUNORUBICIN TO TREAT ADULTS WITH NEWLY-DIAGNOSED THERAPY-RELATED ACUTE MYELOID LEUKEMIA (T-AML) OR AML WITH MYELODYSPLASIA-RELATED CHANGES (AML-MRC)
U-2343,"TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 12 YEARS AND OLDER, WHO ARE HOMOZYGOUS FOR THE F508DEL MUTATION OR HETEROZYGOUS FOR F508DEL AND A SECOND CFTR MUTATION PREDICTED TO BE RESPONSIVE TO TEZACAFTOR/IVACAFTOR, WITH TEZACAFTOR AND IVACAFTOR"
U-2344,TREATMENT OF THROMBOCYTOPENIA IN ADULT PATIENTS WITH CHRONIC LIVER DISEASE WHO ARE SCHEDULED TO UNDERGO A PROCEDURE
U-2345,TREATMENT OF PATIENTS WITH CASTRATION-RESISTANT PROSTATE CANCER (CRPC)
U-2346,TREATMENT OF HUMAN SMALLPOX DISEASE CAUSED BY VARIOLA VIRUS IN ADULTS AND PEDIATRIC PATIENTS WEIGHING AT LEAST 13 KG
U-2347,TREATMENT OF TYPE 2 DIABETES MELLITUS IN A PATIENT WITH RENAL IMPAIRMENT AND FOR WHOM METFORMIN THERAPY IS INAPPROPRIATE BY ADMINISTERING LINAGLIPTIN WITHOUT DOSE ADJUSTMENT
U-2348,A METHOD FOR PREVENTION OF PREGNANCY
U-2349,FOR ONCE-DAILY MAINTENANCE TREATMENT OF ASTHMA AS PROPHYLACTIC THERAPY IN PATIENTS AGED 5 YEARS AND OLDER
U-235,METHOD OF MODULATING TH1 AND TH2 RESPONSE IN ACTIVATED T CELLS OF A HUMAN COMPRISING ADMINISTERING RIBAVIRIN TO THE T CELLS IN A DOSAGE WHICH PROMOTES THE TH1 RESPONSE AND SUPPRESSES THE TH2 RESPONSE
U-2350,A METHOD OF TREATING A CANCER CHARACTERIZED BY AN IDH1 MUTATION WHERE THE CANCER IS ACUTE MYELOGENOUS LEUKEMIA (AML)
U-2351,TREATMENT OF ACUTE MYELOID LEUKEMIA (AML) WITH AN IDH1 MUTATION
U-2352,TREATMENT OF HIV-1 INFECTION IN ADULTS WHO HAVE NO PRIOR ANTIRETROVIRAL TREATMENT HISTORY OR ARE VIROLOGICALLY SUPPRESSED ON A STABLE ANTIRETROVIRAL REGIMEN FOR AT LEAST 6 MONTHS
U-2353,TX OF HIV-1 INFECTION USING A COMPOSITION CONTAINING A PK ENHANCER THAT INHIBITS CYTOCHROME P450 MONOOXYGENATES IN ADULTS WHO HAVE NO PRIOR ANTIRETROVIRAL TX HISTORY OR ARE VIROLOGICALLY SUPPRESSED ON A STABLE ANTIRETROVIRAL REGIMEN FOR AT LEAST 6 MONTHS
U-2354,COMBINATION WITH OTHER ANTIRETROVIRALS (ATV) FOR TREATMENT OF HIV-1 IN ATV TREATMENT-EXPERIENCED PATIENTS 2 YEARS AND OLDER WITH EVIDENCE OF VIRAL REPLICATION AND HIV-1 STRAINS RESISTANT TO NON-NUCLEOSIDE REVERSE TRANSCRIPTASE INHIBITOR AND OTHER ATV
U-2355,"IN COMBINATION WITH AN AROMATASE INHIBITOR FOR THE TREATMENT OF PRE/PERIMENOPAUSAL OR POSTMENOPAUSAL WOMEN WITH HR-POSITIVE, HER2-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER, AS INITIAL ENDOCRINE-BASED THERAPY"
U-2356,"IN COMBINATION WITH FULVESTRANT FOR THE TREATMENT OF POSTMENOPAUSAL WOMEN WITH HR-POSITIVE, HER2-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER, AS INITIAL ENDOCRINE BASED THERAPY OR FOLLOWING DISEASE PROGRESSION ON ENDOCRINE THERAPY"
U-2357,METHOD OF TREATING ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD)
U-2358,"TREATMENT OF PATIENTS WITH HORMONE RECEPTOR (HR)-NEGATIVE BREAST CANCER WITH DELETERIOUS OR SUSPECTED DELETERIOUS GBRCAM, HER2-NEGATIVE METASTATIC BREAST CANCER, WHO HAVE BEEN TREATED WITH CHEMOTHERAPY IN NEOADJUVANT, ADJUVANT, OR METASTATIC SETTING"
U-2359,TREATMENT OF PATIENTS WITH HORMONE RECEPTOR (HR)-POSITIVE BREAST CANCER WHO SHOULD HAVE BEEN TREATED WITH PRIOR ENDOCRINE THERAPY OR BE CONSIDERED INAPPROPRIATE FOR ENDOCRINE THERAPY
U-236,TREATING MALE PATTERN BALDNESS WITH 0.05 TO 3.0MG/DAY
U-2360,MANAGEMENT OF MODERATE TO SEVERE PAIN ASSOCIATED WITH ENDOMETRIOSIS
U-2361,"METHOD OF ADMINISTERING A GRANULATE FORMULATION OF 5-METHYL-1-PHENYL-2-(1H)-PYRIDONE AS RECITED IN CLAIM 1, TO TREAT IDIOPATHIC PULMONARY FIBROSIS"
U-2362,"TREATMENT OF HEPATITIS C VIRUS (HCV) GENOTYPE 1, 2, 3, 4, 5, OR 6"
U-2363,ADMINISTRATION OF RISPERIDONE
U-2364,TREATMENT OF HIV-1 INFECTION USING A COMPOSITION CONTAINING A PHARMACOKINETIC ENHANCER THAT INHIBITS CYTOCHROME P450 MONOOXYGENASE IN ADULTS WHO HAVE NO PRIOR ANTIRETROVIRAL TREATMENT HISTORY
U-2365,TREATMENT OF HIV-1 INFECTION USING A COMPOSITION CONTAINING A PHARMACOKINETIC ENHANCER THAT INIBITS CYTOCHROME P450 MONOOXYGENASE IN ADULTS WHO ARE VIROLOGICALLY SUPPRESSED ON A STABLE ANTIRETROVIRAL REGIMEN FOR AT LEAST 6 MONTHS
U-2366,TREATMENT OF LIVER DISEASE THROUGH NUTRITION FOR PATIENTS UNDER THE AGE OF 12
U-2367,USE FOR PATIENTS WITH PARENTERAL NUTRITION ASSOCIATED CHOLESTASIS OR PARENTERAL NUTRITION ASSOCIATED LIVER DISEASE
U-2368,TOPICAL TREATMENT OF ACNE VULGARIS IN PATIENTS 9 YEARS OF AGE AND OLDER
U-2369,"FOR THE TREATMENT OF GENOTYPE 1, 4, 5 OR 6 CHRONIC HEPATITIS C VIRUS (HCV) INFECTION"
U-237,METHOD OF PERFORMING NMR IMAGING WITH A PATIENT COMPRISING ADMINISTERING TO THE PATIENT AN EFFECTIVE AMOUNT OF CONTRAST AGENT DISCLOSED IN THE CLAIMS
U-2370,FOR TREATMENT-NAIVE GENOTYPE 1 PATIENTS WITH CHRONIC HEPATITIS C VIRUS (HCV) INFECTION FOR A DURATION OF 8-WEEKS
U-2371,THE TREATMENT OF FABRY PATIENTS
U-2372,A METHOD OF REDUCING LEFT VENTRICULAR MASS INDEX (LVMI) IN A FABRY PATIENT BY ADMINISTERING MIGALASTAT
U-2373,A METHOD OF REDUCING PODOCYTE GLOBOTRIAOSYLCERAMIDE (GL-3) IN A FABRY PATIENT BY ADMINISTERING MIGALASTAT
U-2374,TREATMENT OF CYSTIC FIBROSIS IN A PATIENT AGE 2-5 YEARS WHO IS HOMOZYGOUS FOR THE F508DEL MUTATION IN THE CFTR GENE USING LUMACAFTOR AND IVACAFTOR
U-2375,TREATMENT OF CYSTIC FIBROSIS IN A PATIENT AGE 2-5 YEARS WHO IS HOMOZYGOUS FOR THE F508DEL MUTATION IN THE CFTR GENE USING LUMACAFTOR FORM I AND IVACAFTOR
U-2376,TREATMENT OF CYSTIC FIBROSIS IN A PATIENT AGE 2-5 YEARS WHO IS HOMOZYGOUS FOR THE F508DEL MUTATION IN THE CFTR GENE USING LUMACAFTOR AND A SOLID COMPOSITION COMPRISING AMORPHOUS AND LESS THAN ABOUT 30% CRYSTALLINE IVACAFTOR
U-2377,USE OF VITAL DYE FOR FACILITATING SURGICAL PROCEDURES FOR VITREO-RETINAL SURGERY
U-2378,TREATMENT OF POLYNEUROPATHY OF HEREDITARY TRANSTHYRETIN-MEDIATED AMYLOIDOSIS
U-2379,USE IN IDENTIFICATION OF INTRAOCULAR MEMBRANES TO FACILITATE REMOVAL DURING OPHTHALMIC SURGERY
U-238,"IMAGING A BODY TISSUE AND SUBJECTING TO NMR TOMOGRAPHY, ADMINISTERING AN AMOUNT OF PHARMACEUTICAL AGENT FOR AFFECTING THE RELAXATION TIMES OF ATOMS IN BODY TISSUES UNDERGOING NMR DIAGNOSIS, WHEREBY THE IMAGE CONTRAST IN ENHANCED...."
U-2380,TREATMENT OF COMPLICATED INTRA-ABDOMINAL INFECTIONS IN PATIENTS 18 YEARS OF AGE AND OLDER
U-2381,"TREATMENT IN COMBINATION WITH A GNRH AGONIST OF NON-METASTATIC, CASTRATION-RESISTANT PROSTATE CANCER (NM-CRPC)"
U-2382,"TREATMENT IN COMBINATION WITH A GNRH AGONIST OF HIGH RISK NON-METASTATIC, CASTRATION-RESISTANT PROSTATE CANCER (NM-CRPC)"
U-2383,"METHOD OF CONTROLLING GLYCEMIA IN A DIABETIC PATIENT WITH DELAYED OR PROLONGED FOOD ABSORPBTION BY ADMINISTERING 50 TO 75% OF A PREDETERMINED DOSE OF INSULIN-FDKP AT MEALTIME, AND ADMINISTERING REMAINDER OF DOSE 30-120 MINUTES AFTER BEGINNING OF MEAL"
U-2384,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING A DOSAGE FORM COMPRISING MICRONIZED BROMOCRIPTINE AND ONE OR MORE EXCIPIENTS AS RECITED IN CLAIMS 1 AND 10
U-2385,"ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING A DOSAGE FORM COMPRISING MICRONIZED BROMOCRIPTINE AND ONE OR MORE EXCIPIENTS AS RECITED IN CLAIMS 1,10 AND 11"
U-2386,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING A DOSAGE FORM COMPRISING BROMOCRIPTINE AND ONE OR MORE EXCIPIENTS AS RECITED IN CLAIMS 12 AND 19
U-2387,"ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING A DOSAGE FORM COMPRISING BROMOCRIPTINE AND ONE OR MORE EXCIPIENTS AS RECITED IN CLAIMS 12, 19 AND 20"
U-2388,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING A DOSAGE FORM COMPRISING BROMOCRIPTINE AND ONE OR MORE EXCIPIENTS AS RECITED IN CLAIMS 21 AND 28
U-2389,"ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING A DOSAGE FORM COMPRISING BROMOCRIPTINE AND ONE OR MORE EXCIPIENTS AS RECITED IN CLAIMS 21, 28, AND 29"
U-239,"TREATING OR CONTROLLING OCULAR INFLAMMATION WHICH COMPRISES TOPICALLY ADMINISTERING TO AFFECTED EYE A COMPOSITION COMPRISING AN NSAID, A POLYMERIC QUATERNARY AMMONIUM COMPOUND AND BORIC ACID"
U-2390,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING A DOSAGE FORM COMPRISING BROMOCRIPTINE AND ONE OR MORE EXCIPIENTS AS RECITED IN CLAIMS 30 AND 41
U-2391,"ADJUNCT TO DIET AND EXCERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING A DOSAGE FORM COMPRISING BROMOCRIPTINE AND ONE OR MORE EXCIPIENTS AS RECITED IN CLAIMS 30, 41, AND 42"
U-2392,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING A DOSAGE FORM COMPRISING BROMOCRIPTINE AND ONE OR MORE EXCIPIENTS AS RECITED IN CLAIMS 43 AND 50
