authors,originalPublicationYear,originalTitle,title,languageCode
Sherrilyn Kenyon,2006,Dark Side of the Moon,"Dark Side of the Moon (Dark-Hunter #9, Were-Hunter #3)",en-US
"Carol Tavris, Elliot Aronson",2007,"Mistakes Were Made (But Not by Me): Why We Justify Foolish Beliefs, Bad Decisions, and Hurtful Acts","Mistakes Were Made (But Not by Me): Why We Justify Foolish Beliefs, Bad Decisions, and Hurtful Acts",en-US
T.R. Ragan,2011,Abducted,Abducted (Lizzy Gardner #1),eng
"Richard Bachman, Stephen King",1981,Roadwork,Roadwork,en-US
Clive Cussler,2001,"Valhalla Rising (Dirk Pitt, #16)","Valhalla Rising (Dirk Pitt, #16)",en-US
Jared Diamond,1991,The Third Chimpanzee: The Evolution and Future of the Human Animal,The Third Chimpanzee: The Evolution and Future of the Human Animal,eng
Dennis Lehane,2008,The Given Day,The Given Day (Coughlin #1),en-US
"Gina Mayer, Mercer Mayer",1994,Just Me in the Tub (Mercer Mayer's Little Critter),Just Me in the Tub (Mercer Mayer's Little Critter),
Nicole  Williams,2013,Crush,"Crush (Crash, #3)",en-US
Mira Grant,2011,Deadline,"Deadline (Newsflesh Trilogy, #2)",en-US
Harlan Coben,2009,Long Lost,Long Lost  (Myron Bolitar #9),eng
Karin Slaughter,2005,Faithless,"Faithless (Grant County, #5)",en-US
Jill Bolte Taylor,2006,My Stroke of Insight,My Stroke of Insight: A Brain Scientist's Personal Journey,en-US
"Robert Kirkman, Charlie Adlard, Cliff Rathburn",2007,The Walking Dead 6,"The Walking Dead, Vol. 06: This Sorrowful Life",eng
"Isabel Allende, Margaret Sayers Peden",2006,Inés del alma mía,Inés of My Soul,en-US
Dean Koontz,1991,Cold Fire,Cold Fire,
Emma Donoghue,2014,Frog Music,Frog Music,eng
Iain Pears,1997,An Instance of the Fingerpost,An Instance of the Fingerpost,eng
Donny Dhirgantoro,2005,5 cm,5 cm,ind
"Geoffrey A. Moore, Regis McKenna",1991,Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,en-US
Peach-Pit,2006,Shugo Chara! 1 (Shugo Chara!),"Shugo Chara!, Vol. 1: Who Do You Want to Be? (Shugo Chara!, #1)",
Harlan Coben,2005,The Innocent,The Innocent,eng
Isaac Asimov,1985,Robots and Empire,Robots and Empire (Robot #4),eng
Aldous Huxley,1962,Island,Island,eng
Neil Shubin,2008,Your Inner Fish: A Journey into the 3.5-Billion-Year History of the Human Body,Your Inner Fish: A Journey into the 3.5-Billion-Year History of the Human Body,
Jean-Paul Sartre,1944,Huis clos,No Exit,eng
Seth Godin,2007,The Dip: A Little Book That Teaches You When to Quit (and When to Stick),The Dip: A Little Book That Teaches You When to Quit (and When to Stick),
Alison Bechdel,2012,Are You My Mother?: A Comic Drama,Are You My Mother?,eng
Bob Ong,2001,ABNKKBSNPLAKo?! (Mga Kwentong Chalk ni Bob Ong),ABNKKBSNPLAKo?! (Mga Kwentong Chalk ni Bob Ong),fil
Robin Hobb,2011,,The Farseer Trilogy (Farseer Trilogy #1-3),eng
Elin Hilderbrand,2005,The Blue Bistro,The Blue Bistro,en-US
Darynda Jones,2012,Third Grave Dead Ahead,"Third Grave Dead Ahead (Charley Davidson, #3)",eng
"Milan Kundera, Linda Asher",1997,L'identité,Identity,eng
Mary E. Pearson,2015,The Heart of Betrayal,"The Heart of Betrayal (The Remnant Chronicles, #2)",eng
Loung Ung,2000,First They Killed My Father: A Daughter of Cambodia Remembers ,First They Killed My Father: A Daughter of Cambodia Remembers,en-US
"Owen  West, Dean Koontz",1980,The Funhouse,The Funhouse,eng
Stephen M.R. Covey,2006,The SPEED of Trust: The One Thing that Changes Everything,The Speed of Trust: The One Thing that Changes Everything,en-US
Mary Higgins Clark,1998,You Belong to Me,You Belong To Me,en-US
Betty Mahmoody,1987,Not Without My Daughter,Not Without My Daughter,eng
Lisa Gardner,2003,The Killing Hour,"The Killing Hour (Quincy & Rainie, #4)",en-US
Piers Anthony,1979,Castle Roogna,"Castle Roogna (Xanth, #3)",eng
Mary Higgins Clark,1989,While My Pretty One Sleeps,While My Pretty One Sleeps,eng
Joseph Kesselring,1939,Arsenic and Old Lace,Arsenic and Old Lace,
Ellen Schreiber,2007,"Dance with a Vampire (Vampire Kisses, #4)","Dance with a Vampire (Vampire Kisses, #4)",eng
Ken Kesey,1964,Sometimes a Great Notion,Sometimes a Great Notion,
Tamora Pierce,1998,Tris's Book,"Tris's Book (Circle of Magic, #2)",eng
Sam Harris,2010,The Moral Landscape: How Science Can Determine Human Values,The Moral Landscape: How Science Can Determine Human Values,en-US
Darcie Chan,2014,The Mill River Recluse,The Mill River Recluse,eng
Douglas Coupland,2003,Hey Nostradamus!,Hey Nostradamus!,eng
Jon Lee Anderson,1997,Che Guevara: A Revolutionary Life,Che Guevara: A Revolutionary Life,eng
Scott Westerfeld,2004,The Secret Hour,"The Secret Hour (Midnighters, #1)",eng
C.C. Hunter,2014,,"Chosen at Nightfall (Shadow Falls, #5)",en-CA
Paulo Coelho,2000,Ser Como o Rio que Flui,Like the Flowing River ,eng
Brandon Mull,2007,The Candy Shop War,"The Candy Shop War (The Candy Shop War, #1)",
Kelley Armstrong,2006,Broken,"Broken (Women of the Otherworld, #6)",eng
Maggie Stiefvater,2008,"Lament: The Faerie Queen's Deception (Books of Faerie, #1) ","Lament: The Faerie Queen's Deception (Books of Faerie, #1)",eng
"Verna Aardema, Leo Dillon, Diane Dillon",1975,Why Mosquitoes Buzz in People's Ears: A West African Tale,Why Mosquitoes Buzz in People's Ears,
Sophie Kinsella,2014,"Shopaholic to the Stars (Shopaholic, #7)","Shopaholic to the Stars (Shopaholic, #7)",eng
Nora Roberts,2007,High Noon,High Noon,eng
Tom Rob Smith,2014,The Farm,The Farm,eng
Rebecca Solnit,2014,Men Explain Things to Me,Men Explain Things to Me,eng
Kristen Proby,2013,Rock With Me,"Rock with Me (With Me in Seattle, #4)",eng
"Carlos Ruiz Zafón, Lucia Graves",1986,El príncipe de la niebla,"The Prince of Mist (Niebla, #1)",eng
Alfred Uhry,1986,Driving Miss Daisy,Driving Miss Daisy,eng
Meredith Wild,2013,,"Hardpressed (Hacker, #2)",eng
J.D. Robb,1999,Conspiracy in Death,"Conspiracy in Death (In Death, #8)",eng
Alexander McCall Smith,2004,In the Company of Cheerful Ladies,"In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency, #6)",eng
"Laura Ingalls Wilder, Garth Williams",1953,The First Four Years,"The First Four Years  (Little House, #9)",eng
R.D. Ronald,2010,,The Elephant Tree,eng
Kathy Reichs,2007,Bones to Ashes,"Bones to Ashes (Temperance Brennan, #10)",eng
"Jacob Grimm, Wilhelm Grimm, منى الخميسي",1857,Grimms Märchen,Grimm's Fairy Tales,eng
"Allan Pease, Barbara Pease",2004,The Definitive Book of Body Language,The Definitive Book of Body Language,eng
Tammara Webber,2011,Between the Lines,"Between the Lines (Between the Lines, #1)",eng
Farley Mowat,1963,Never Cry Wolf : The Amazing True Story of Life Among Arctic Wolves,Never Cry Wolf,eng
"James Patterson, Michael Ledwidge",2010,Tick Tock,"Tick Tock (Michael Bennett, #4)",eng
Michelle Moran,2009,Cleopatra's Daughter,Cleopatra's Daughter,eng
Kathy Reichs,2002,Grave Secrets,"Grave Secrets (Temperance Brennan, #5)",en-US
Kevin Hearne,2014,Shattered,"Shattered (The Iron Druid Chronicles, #7)",eng
John Scalzi,2008,Zoe's Tale,"Zoe's Tale (Old Man's War, #4)",eng
Brad Thor,2007,The First Commandment,"The First Commandment (Scot Harvath, #6)",eng
"Oscar Wilde, Merlin Holland",1908,Collected Works,Complete Works of Oscar Wilde,eng
"Cook's Illustrated Magazine, John Burgoyne, Carl Tremblay",1995,"The New Best Recipe: All-New Edition with 1,000 Recipes",The New Best Recipe,
Renee Ahdieh,2016,The Rose & the Dagger,"The Rose & the Dagger (The Wrath & the Dawn, #2)",eng
Peter Clines,2015,The Fold,The Fold,eng
Louise Penny,2015,The Nature of the Beast,The Nature of the Beast (Chief Inspector Armand Gamache #11),eng
Laura C. Schlessinger,2003,The Proper Care and Feeding of Husbands,The Proper Care and Feeding of Husbands,
Ted Dekker,2009,Green,"Green: The Beginning and the End (The Circle, #0)",eng
Yana Toboso,2007,黒執事 III [Kuroshitsuji III],"Black Butler, Vol. 3 (Black Butler, #3)",ind
Michael J. Sullivan,2013,The Crown Tower,"The Crown Tower (The Riyria Chronicles, #1)",eng
"Fábio Moon, Gabriel Bá, Craig Thompson, Dave Stewart, Sean Konot",2011,Daytripper,Daytripper,eng
Cherise Sinclair,2009,"Club Shadowlands (Masters of the Shadowlands, #1)","Club Shadowlands (Masters of the Shadowlands, #1)",eng
"Orhan Pamuk, Maureen Freely",2008,Masumiyet Müzesi,The Museum of Innocence,eng
Brit Bennett,2016,The Mothers,The Mothers,eng
"Johann Wolfgang von Goethe, Walter Kaufmann",1832, Faust. Der Tragödie erster und zweiter Teil ,Faust,eng
Cora Carmack,2013,Faking It,"Faking It (Losing It, #2)",eng
Jenny Nimmo,2005,"Charlie Bone and the Castle of Mirrors (The Children of the Red King, # 4)","Charlie Bone and the Castle of Mirrors (The Children of the Red King, #4)",
Shelly Crane,2011,Accordance,"Accordance (Significance, #2)",eng
Andrea Cremer,2012,Bloodrose,Bloodrose (Nightshade #3; Nightshade World #6),eng
Agatha Christie,1936,Cards on the Table,"Cards on the Table (Hercule Poirot, #15)",eng
Rachel Renée Russell,2012,Tales From a Not-So-Smart Miss Know-it-all,"Tales from a Not-So-Smart Miss Know-It-All (Dork Diaries, #5)",eng
Beverly Cleary,1980,Ramona and Her Mother,"Ramona and Her Mother (Ramona, #5)",eng
Agatha Christie,1938,Appointment with Death,"Appointment with Death (Hercule Poirot, #19)",eng
Susan Elizabeth Phillips,2004,Natural Born Charmer,"Natural Born Charmer (Chicago Stars, #7)",en-US
Maxine Hong Kingston,1975,The Woman Warrior: Memoirs of a Girlhood Among Ghosts,The Woman Warrior,en-US
"Masha, Marie Simchow Stern",1942,The Three Little Kittens (A First Little Golden Book),Three Little Kittens,eng
Charles Bukowski,1978,"Erections, Ejaculations, Exhibitions and General Tales of Ordinary Madness",Tales of Ordinary Madness,eng
Samantha Young,2014,,"Before Jamaica Lane (On Dublin Street, #3)",eng
Terry Brooks,1979,The Sword of Shannara Trilogy,"The Sword of Shannara Trilogy (Shannara, #1-3)",
Taylor Jenkins Reid,2015,Maybe In Another Life,Maybe in Another Life,
Glennon Doyle Melton,2013," Carry On, Warrior: Thoughts on Life Unarmed ","Carry On, Warrior: Thoughts on Life Unarmed",eng
"Arthur Conan Doyle, David Timson",1914,The Valley of Fear,The Valley of Fear,eng
Nora Roberts,2008,The Pagan Stone,"The Pagan Stone (Sign of Seven, #3)",en-US
Charles Dickens,,,A Tale of Two Cities / Great Expectations,en-US
Stephen R. Covey,1991,Principle Centered Leadership,Principle-Centered Leadership,en-US
Larry Correia,2009,Monster Hunter International,"Monster Hunter International (Monster Hunter International, #1)",eng
Rae Carson,2013,The Bitter Kingdom,"The Bitter Kingdom (Fire and Thorns, #3)",eng
Tom Clancy,2003,The Teeth of the Tiger,"The Teeth of the Tiger (Jack Ryan Universe, #12)",eng
Anne McCaffrey,1983,Moreta: Dragonlady Of Pern,"Moreta: Dragonlady of Pern (Pern, #7)",eng
Diane Muldrow,1992,Frosty the Snowman (Little Golden Book),Frosty the Snowman (Frosty the Snowman),
"Garth Ennis, Steve Dillon, Peter Snejbjerg",1999,Preacher: War in the Sun,"Preacher, Volume 6: War in the Sun",eng
Megan Whalen Turner,2000,The Queen of Attolia,"The Queen of Attolia (The Queen's Thief, #2)",
Christopher Isherwood,1964,A Single Man,A Single Man,eng
Christopher Hitchens,2012,Mortality,Mortality,eng
Chris d'Lacey,2003,Icefire,"Icefire (The Last Dragon Chronicles, #2)",eng
Neil Gaiman,2017,Norse Mythology,Norse Mythology,eng
Stephen E. Ambrose,1997,Citizen Soldiers: The U. S. Army from the Normandy Beaches to the Bulge to the Surrender of Germany,Citizen Soldiers: The U. S. Army from the Normandy Beaches to the Bulge to the Surrender of Germany,
Julie Garwood,1987,Honor's Splendour,Honor's Splendour,eng
Kody Keplinger,2011,Shut Out,Shut Out,en-US
A. Meredith Walters,2012,,"Bad Rep (Bad Rep, #1)",en-GB
Nora Roberts,2006,Valley of Silence,"Valley of Silence (Circle Trilogy, #3)",en-GB
Jeanne DuPrau,2006,The Prophet of Yonwood,"The Prophet of Yonwood (Book of Ember, #3)",en-US
James Patterson,2014,Hope to Die,"Hope to Die (Alex Cross, #22)",eng
"Kresley Cole, Gena Showalter",2009,Deep Kiss Of Winter ,"Deep Kiss of Winter (Includes: Immortals After Dark, #8; Alien Huntress, #3.5)",en-US
"Holly Black, Eliza Wheeler",2013,Doll Bones,Doll Bones,eng
Patricia Cornwell,2011,Red Mist,"Red Mist (Kay Scarpetta, #19)",eng
Alan Bradley,2011,I Am Half-Sick of Shadows ,"I Am Half-Sick of Shadows (Flavia de Luce, #4)",en-US
Kristen Ashley,2011,Wild Man,"Wild Man (Dream Man, #2)",en-GB
"Joseph Fink, Jeffrey Cranor",2015,Welcome to Night Vale,Welcome to Night Vale,eng
"Michael Teitelbaum, Walt Disney Company",1986,,Sleeping Beauty: a Little Golden Book (Disney Princess),eng
Julia Quinn,2001,An Offer From a Gentleman,"An Offer From a Gentleman (Bridgertons, #3)",en-US
Julie   Murphy,2015,Dumplin',"Dumplin' (Dumplin', #1)",eng
Ann Leckie,2015,Ancillary Mercy,Ancillary Mercy (Imperial Radch #3),eng
Gena Showalter,2011,The Darkest Surrender,The Darkest Surrender  (Lords of the Underworld #8),eng
Stephen King,1981,Danse Macabre,Danse Macabre,eng
Gina L. Maxwell,2012,Seducing Cinderella,"Seducing Cinderella (Fighting for Love, #1)",eng
Alexander McCall Smith,2006,Blue Shoes and Happiness ,"Blue Shoes and Happiness (No. 1 Ladies' Detective Agency, #7)",eng
"Eve Ensler, Gloria Steinem",1996,The Vagina Monologues,The Vagina Monologues,
Charles Dickens,1865,Our Mutual Friend,Our Mutual Friend,eng
Evelyn Waugh,1934,A Handful of Dust,A Handful of Dust,en-US
Francine Rivers,1999,Leota's Garden,Leota's Garden,eng
Barbara Delinsky,2009,Not My Daughter,Not My Daughter,
Paul Auster,2002,The Book of Illusions,The Book of Illusions,eng
Karen Marie Moning,1999,To Tame a Highland Warrior,"To Tame a Highland Warrior (Highlander, #2)",eng
Wendy Mass,2005,A Mango-Shaped Space,A Mango-Shaped Space,eng
Maeve Binchy,2002,Quentins,Quentins,
"George Eliot, Edmund White",1876,Daniel Deronda,Daniel Deronda,eng
Elin Hilderbrand,2016,,Here's to Us,eng
Susan Mallery,2010,Chasing Perfect,"Chasing Perfect (Fool's Gold, #1)",eng
Plum Sykes,2006,The Debutante Divorcée,The Debutante Divorcee,en-US
"Anonymous, Ronald A. Beers, Ronald A. Beers",1992,,Life Application Study Bible: NIV,eng
"Douglas Preston, Lincoln Child",2007,"The Wheel of Darkness (Pendergast, #8)","The Wheel of Darkness (Pendergast, #8)",en-US
Sylvain Neuvel,2016,Sleeping Giants,"Sleeping Giants (Themis Files, #1)",eng
Julianne Donaldson,2013,Blackmoore,Blackmoore,eng
"Neil Gaiman, Barron Storey, Bill Sienkiewicz, Glenn Fabry, Dave McKean, P. Craig Russell, Milo Manara, Miguelanxo Prado, Frank Quitely, Todd Klein",2003,The Sandman: Endless Nights,The Sandman: Endless Nights,eng
Olivia Goldsmith,1992,The First Wives Club,The First Wives Club,eng
Maggie O'Farrell,2006,The Vanishing Act of Esme Lennox,The Vanishing Act of Esme Lennox,eng
Sarah Waters,2006,The Night Watch,The Night Watch,en-US
Jeffrey Archer,2015,Mightier Than the Sword,"Mightier Than the Sword (The Clifton Chronicles, #5)",eng
Anne Rice,2003,Blood Canticle,"Blood Canticle (The Vampire Chronicles, #10)",en-GB
Carl Hiaasen,2006,Nature Girl,Nature Girl,eng
Robert McCammon,1991,Boy's Life,Boy's Life,eng
"George Eliot, Joanna Trollope, Hugh Osborne",1859,Adam Bede,Adam Bede,
Chitra Banerjee Divakaruni,1997,Sister of My Heart,Sister of My Heart,eng
"Yōko Ogawa, Stephen Snyder",2003,博士の愛した数式 ,The Housekeeper and the Professor,eng
Sue Grafton,1991,H is for Homicide,"H is for Homicide (Kinsey Millhone, #8)",eng
Douglas Coupland,2006,JPod,JPod,en-US
Dean Koontz,2003,The Face,The Face,eng
Niall Ferguson,2007,The Ascent of Money: A Financial History of the World,The Ascent of Money: A Financial History of the World,en-US
Jim Gaffigan,2014,Food: A Love Story,Food: A Love Story,eng
Laurie Halse Anderson,2014,The Impossible Knife of Memory,The Impossible Knife of Memory,eng
"Dante Alighieri, Robert M. Durling",1320,Purgatorio,"Purgatorio (The Divine Comedy, #2)",ita
David Baldacci,2010,Deliver Us From Evil,"Deliver Us from Evil (A. Shaw, #2)",en-US
Jonathan Tropper,2009,One Last Thing Before I Go,One Last Thing Before I Go,
"Julie Anne Peters, C.J. Bott",2009,"By The Time You Read This, I'll Be Dead","By the Time You Read This, I'll Be Dead",
Denise Kiernan,2013,,The Girls of Atomic City: The Untold Story of the Women Who Helped Win World War II,eng
"Dean Koontz, Ed Gorman, John Bedford Lloyd",2005,Dean Koontz's Frankenstein: City of Night ,"City of Night (Dean Koontz's Frankenstein, #2)",
D.J. MacHale,2005,The Quillan Games,"The Quillan Games (Pendragon, #7)",eng
David Mitchell,2001,number9dream,number9dream,
Douglas Coupland,1998,Girlfriend in a Coma,Girlfriend in a Coma,eng
Stephen King,1996,"The Green Mile, Part 1: The Two Dead Girls","The Green Mile, Part 1: The Two Dead Girls",eng
Mark Dunn,2001,Ella Minnow Pea: A Novel in Letters,Ella Minnow Pea: A Novel in Letters,eng
Steven Erikson,2008,Toll the Hounds,"Toll the Hounds (The Malazan Book of the Fallen, #8)",en-US
Tess Gerritsen,2007,The Bone Garden,The Bone Garden ,eng
Dee Lestari,2001,"Supernova: Ksatria, Puteri, dan Bintang Jatuh","Supernova: Ksatria, Puteri, dan Bintang Jatuh",ind
Paul Tremblay,2015,A Head Full of Ghosts,A Head Full of Ghosts,eng
Gretchen Rubin,2015,Better Than Before: Mastering the Habits of Our Everyday Lives,Better Than Before: Mastering the Habits of Our Everyday Lives,en-GB
Ben Aaronovitch,2013,Broken Homes,"Broken Homes (Peter Grant, #4)",eng
Raymond E. Feist,1992,The King's Buccaneer,"The King's Buccaneer (Krondor's Sons, #2)",en-US
"Isabel Allende, Anne McLean",2011,El cuaderno de Maya,Maya's Notebook,eng
Rita Williams-Garcia,2010,One Crazy Summer,"One Crazy Summer (Gaither Sisters, #1)",eng
Robin Hobb,2010,Dragon Haven,"Dragon Haven (Rain Wild Chronicles, #2)",en-US
P.G. Wodehouse,1934,"Right Ho, Jeeves","Right Ho, Jeeves (Jeeves, #6)",eng
"Pseudonymous Bosch, Gilbert Ford",2008,"If You're Reading This, It's Too Late","If You're Reading This, It's Too Late (Secret, #2)",en-US
Erin Hunter,2005,Moonrise,"Moonrise (Warriors: The New Prophecy, #2)",en-US
Jason F. Wright,2007,The Wednesday Letters,The Wednesday Letters,en-US
"Lili St. Crow, Lilith Saintcrow",2009,Betrayals,"Betrayals (Strange Angels, #2)",en-US
"James Patterson, Howard Roughan",2007,You've Been Warned,You've Been Warned,eng
"Blue Balliett, Brett Helquist",2004,Chasing Vermeer,"Chasing Vermeer (Chasing Vermeer, #1)",en-US
Philip Yancey,1995,The Jesus I Never Knew,The Jesus I Never Knew,en-US
Greg Iles,2005,Turning Angel,Turning Angel,eng
Alice Clayton,2010,The Unidentified Redhead,"The Unidentified Redhead (Redhead, #1)",eng
"Dav Pilkey, George Beard, Harold Hutchins",2010,,"The Adventures of Ook and Gluk, Kung-Fu Cavemen from the Future",en-US
"Robert Louis Stevenson, Tasha Tudor",1885,A Child's Garden of Verses,A Child's Garden of Verses,eng
Bret Easton Ellis,1994,The Informers,The Informers,en-GB
Kiera Cass,2014,The Queen,"The Queen (The Selection, #0.4)",eng
James Rollins,2010,The Devil Colony,"The Devil Colony (Sigma Force, #7)",eng
"Robert Kirkman, Charlie Adlard",2010,The Walking Dead Volume 12,"The Walking Dead, Vol. 12: Life Among Them",eng
Jane Smiley,2014,Some Luck,"Some Luck (Last Hundred Years: A Family Saga, #1)",eng
"Paulo Freire, Myra Bergman Ramos, Donaldo Macedo, Richard Shaull",1968,Pedagogia do Oprimido,Pedagogy of the Oppressed,eng
Ian Doescher,2013,"William Shakespeare's Star Wars: Verily, a New Hope","William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars, #4)",eng
"Brad Meltzer, Rags Morales, Michael Bair, Joss Whedon",2004,Identity Crisis,Identity Crisis,eng
Sarah Rees Brennan,2012,Unspoken,"Unspoken (The Lynburn Legacy, #1)",eng
"Arthur C. Clarke, Gentry Lee",1989,Rama II,"Rama II (Rama, #2)",fre
José Saramago,1991,O Evangelho segundo Jesus Cristo,The Gospel According to Jesus Christ,eng
"Lemony Snicket, Seth",2012,"""Who Could That Be at This Hour?""","Who Could That Be at This Hour? (All the Wrong Questions, #1)",en-US
Kelley Armstrong,2012,The Calling,"The Calling (Darkness Rising, #2)",eng
"Bryan Konietzko, Michael Dante DiMartino, Aaron Ehasz, Alison Wilgus, Amy Kim Ganter, Brian Ralph, Corey Lewis, Dave Roman, Elsa Garagarza, Ethan Spaulding, Frank Pittarese, Gurihiru, J. Torres, Joaquim Dos Santos, Johane Matte, John O'Bryan, Joshua Hamilton, Justin Ridge, Kaite Mattila, May Chan, Rawles Marie Lumumba, Reagan Lodge, Tim Hedrick, Tom McWeeney",2011,Avatar The Last Airbender: The Lost Adventures,Avatar: The Last Airbender: The Lost Adventures,en-US
Catherine McKenzie,2013,Hidden,Hidden,eng
Margaret Sidney,1881,Five Little Peppers and How They Grew,Five Little Peppers and How They Grew,eng
Jessica Day George,2009,Princess of the Midnight Ball,"Princess of the Midnight Ball (The Princesses of Westfalin Trilogy, #1)",eng
"Radwa Ashour, رضوى عاشور",2010,الطنطورية ,الطنطورية,ara
Barbara Cooney,1981,Miss Rumphius,Miss Rumphius,eng
Jim Bouton,1970,Ball Four,Ball Four,eng
"Bill Willingham, Mark Buckingham, Steve Leialoha, James Jean",2004,"Fables, Volume 3: Storybook Love","Fables, Vol. 3: Storybook Love",eng
Carlos Fuentes,1962,Aura,Aura,eng
Harriet Lerner,1985,The Dance of Anger: A Woman's Guide to Changing the Patterns of Intimate Relationships,The Dance Of Anger: A Woman's Guide to Changing the Patterns of Intimate Relationships,en-US
Burton G. Malkiel,1973,,A Random Walk Down Wall Street,eng
Jennifer Echols,2010,Forget You,Forget You,eng
Kelly Elliott,2012,,"Wanted (Wanted, #1)",en-US
William Goldman,1974,Marathon Man,Marathon Man,eng
Julie Klassen,2008,The Apothecary's Daughter,The Apothecary's Daughter,eng
Michelle A. Valentine,2012,Rock the Heart,"Rock the Heart (Black Falcon, #1)",eng
Piers Anthony,1984,Bearing an Hourglass,"Bearing an Hourglass (Incarnations of Immortality, #2)",en-US
"Claire Huchet Bishop, Kurt Wiese",1938,The Five Chinese Brothers,The Five Chinese Brothers,eng
Jamie McGuire,2010,Providence,"Providence (Providence, #1)",eng
Piers Anthony,1979,"The Source of Magic (Xanth, #2)","The Source of Magic (Xanth, #2)",
Arnold Lobel,1979,Days with Frog and Toad,"Days with Frog and Toad (Frog and Toad, #4)",eng
Cormac McCarthy,1996,Cities of the Plain ,"Cities of the Plain (The Border Trilogy, #3)",
C.S. Pacat,2015,Captive Prince,"Captive Prince (Captive Prince, #1)",eng
Megan Whalen Turner,2006,The King of Attolia,"The King of Attolia (The Queen's Thief, #3)",eng
"Ridley Pearson, David Frankland",2004,The Kingdom Keepers,"Disney after Dark (Kingdom Keepers, #1)",
Richard Feynman,1988,What Do You Care What Other People Think? Further Adventures of a Curious Character,What Do You Care What Other People Think?,eng
Paul Murray,2010,Skippy Dies,Skippy Dies,eng
David Weber,1993,The Honor of the Queen,"The Honor of the Queen (Honor Harrington, #2)",
V.C. Andrews,1982,My Sweet Audrina,"My Sweet Audrina (Audrina, #1)",
A.G. Riddle,2014,The Atlantis World,"The Atlantis World (The Origin Mystery, #3)",eng
Jessica Shirvington,2010,Embrace,"Embrace (The Violet Eden Chapters, #1)",eng
Dorothy L. Sayers,1927,Unnatural Death,"Unnatural Death (Lord Peter Wimsey, #3)",eng
Tony Kushner,1992,Angels in America: A Gay Fantasia on National Themes: Millennium Approaches (Part One),"Angels in America, Part One: Millennium Approaches",en-US
Dorothy Koomson,2006,My Best Friend's Girl,My Best Friend's Girl,
Lisa Kleypas,1994,Dreaming of You ,"Dreaming of You (The Gamblers, #2)",en-US
Ruth Reichl,2001,Comfort Me with Apples: More Adventures at the Table,Comfort Me with Apples: More Adventures at the Table,eng
John Keats,1820,John Keats : The Complete Poems,The Complete Poems,eng
Judith McNaught,1989,Almost Heaven,"Almost Heaven (Sequels, #3)",eng
Joseph Boyden,2005,Three Day Road,Three Day Road,eng
Dashiell Hammett,1929,Red Harvest,Red Harvest,eng
"J. Lynn, Jennifer L. Armentrout",2013,Trust in Me,"Trust in Me (Wait for You, #1.5)",eng
"Masashi Kishimoto, Frances Wall",2002,NARUTO -ナルト- 巻ノ十一 ,"Naruto, Vol. 11: Impassioned Efforts (Naruto, #11)",eng
David Baldacci,2011,One Summer,One Summer,en-US
Judith McNaught,1985,"Whitney, My Love","Whitney, My Love (Westmoreland, #2)",eng
Khushwant Singh,1956,Train to Pakistan,Train to Pakistan,en-US
Craig Silvey,2009,Jasper Jones,Jasper Jones,eng
Michael A. Singer,2007,The Untethered Soul,The Untethered Soul: The Journey Beyond Yourself,
Marlon James,2014,A Brief History of Seven Killings,A Brief History of Seven Killings,eng
Nina LaCour,2009,Hold Still,Hold Still,en-US
Julie Garwood,1991,The Prize,The Prize,eng
Jami Attenberg,2012,The Middlesteins,The Middlesteins,eng
"Thomas Piketty, Arthur Goldhammer",2013,Le capital au XXIe siècle ,Capital in the Twenty-First Century,eng
James D. Bradley,2003,Flyboys: A True Story of Courage,Flyboys: A True Story of Courage,
"Kay Thompson, Hilary Knight",1955,Eloise,Eloise ,eng
Jonathan Stroud,2013,The Screaming Staircase,"The Screaming Staircase (Lockwood & Co., #1)",eng
Herman Koch,2011,Zomerhuis met zwembad,Summer House with Swimming Pool,eng
Peter Carey,2000,True History of the Kelly Gang,True History of the Kelly Gang,en-US
Elmore Leonard,1990,Get Shorty,"Get Shorty (Chili Palmer, #1)",eng
K.A. Tucker,2013,One Tiny Lie,"One Tiny Lie (Ten Tiny Breaths, #2)",eng
"Nathanael West, Alfred Kazin",1939,The Day of the Locust,The Day of the Locust,eng
James Gleick,1992,Genius: The Life and Science of Richard Feynman,Genius: The Life and Science of Richard Feynman,eng
Alan Brennert,2009,Honolulu,Honolulu,
Keri Arthur,2006,Full Moon Rising,Full Moon Rising (Riley Jenson Guardian #1),eng
Richard Russo,2007,Bridge of Sighs,Bridge of Sighs,
Rosamunde Pilcher,2000,Winter Solstice,Winter Solstice,eng
Ally Carter,2013,United We Spy,"United We Spy (Gallagher Girls, #6)",eng
Rachel Caine,2009,"The Morganville Vampires, Volume 1","The Morganville Vampires, Volume 1 (The Morganville Vampires, #1-2)",eng
Anthony Horowitz,2005,Raven's Gate,"Raven's Gate (The Gatekeepers, #1)",
John Darnielle,2014,Wolf in White Van,Wolf in White Van,eng
Erich Maria Remarque,1936,Drei Kameraden,Three Comrades,eng
Melissa de la Cruz,2010,Bloody Valentine,"Bloody Valentine (Blue Bloods, #5.5)",en-US
Maya Angelou,1981,The Heart of a Woman,The Heart of a Woman,eng
