GeneID,Essential,Class,Complex,Phenotype,Motif,Chromosome,Function,Localization
G235158,Non-Essential,?,Cytoskeleton,"Cell morphology and organelle mutants",?,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton
G235158,Non-Essential,?,Cytoskeleton,"Cell morphology and organelle mutants",?,2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoskeleton
G235158,Non-Essential,?,Cytoskeleton,"Cell morphology and organelle mutants",?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoskeleton
G235158,Non-Essential,?,Cytoskeleton,"Conditional phenotypes",?,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton
G235158,Non-Essential,?,Cytoskeleton,"Conditional phenotypes",?,2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoskeleton
G235158,Non-Essential,?,Cytoskeleton,"Conditional phenotypes",?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoskeleton
G235158,Non-Essential,?,Cytoskeleton,"Mating and sporulation defects",?,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton
G235158,Non-Essential,?,Cytoskeleton,"Mating and sporulation defects",?,2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoskeleton
G235158,Non-Essential,?,Cytoskeleton,"Mating and sporulation defects",?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoskeleton
G235159,Essential,?,"Replication complexes","Cell cycle defects",PS00847,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235159,Essential,?,"Replication complexes","Cell cycle defects",PS00847,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235159,Essential,?,"Replication complexes","Nucleic acid metabolism defects",PS00847,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235159,Essential,?,"Replication complexes","Nucleic acid metabolism defects",PS00847,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235161,Non-Essential,?,"Pyruvate dehydrogenase",?,?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",mitochondria
G235161,Non-Essential,?,"Pyruvate dehydrogenase",?,?,2,ENERGY,mitochondria
G235161,Non-Essential,?,"Pyruvate dehydrogenase",?,?,2,METABOLISM,mitochondria
G235163,Essential,?,"RNA processing complexes",?,PS00039,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235163,Essential,?,"RNA processing complexes",?,PS00039,2,"PROTEIN DESTINATION",nucleus
G235163,Essential,?,"RNA processing complexes",?,PS00039,2,TRANSCRIPTION,nucleus
G235165,Essential,?,"Intracellular transport complexes",?,?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",golgi
G235165,Essential,?,"Intracellular transport complexes",?,?,2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",golgi
G235170,Non-Essential,?,"Transcription complexes/Transcriptosome",?,?,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235170,Non-Essential,?,"Transcription complexes/Transcriptosome",?,?,2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235170,Non-Essential,?,"Transcription complexes/Transcriptosome",?,?,2,METABOLISM,nucleus
G235170,Non-Essential,?,"Transcription complexes/Transcriptosome",?,?,2,TRANSCRIPTION,nucleus
G235171,Non-Essential,?,"Acetolactate synthase",?,?,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",mitochondria
G235171,Non-Essential,?,"Acetolactate synthase",?,?,3,METABOLISM,mitochondria
G235172,Non-Essential,?,?,"Cell cycle defects",PS00845,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235172,Non-Essential,?,?,"Cell cycle defects",PS00845,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235172,Non-Essential,?,?,"Cell morphology and organelle mutants",PS00845,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235172,Non-Essential,?,?,"Cell morphology and organelle mutants",PS00845,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235172,Non-Essential,?,?,"Conditional phenotypes",PS00845,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235172,Non-Essential,?,?,"Conditional phenotypes",PS00845,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235172,Non-Essential,?,Cytoskeleton,"Cell cycle defects",PS00845,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235172,Non-Essential,?,Cytoskeleton,"Cell cycle defects",PS00845,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235172,Non-Essential,?,Cytoskeleton,"Cell morphology and organelle mutants",PS00845,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235172,Non-Essential,?,Cytoskeleton,"Cell morphology and organelle mutants",PS00845,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235172,Non-Essential,?,Cytoskeleton,"Conditional phenotypes",PS00845,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235172,Non-Essential,?,Cytoskeleton,"Conditional phenotypes",PS00845,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235173,Non-Essential,?,Cytoskeleton,?,PS00378,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G235173,Non-Essential,?,Cytoskeleton,?,PS00378,3,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",cytoplasm
G235173,Non-Essential,?,Cytoskeleton,?,PS00378,3,ENERGY,cytoplasm
G235173,Non-Essential,?,Cytoskeleton,?,PS00378,3,METABOLISM,cytoplasm
G235177,Non-Essential,?,"Glucan synthases","Carbohydrate and lipid biosynthesis defects",PS00225,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",ER
G235177,Non-Essential,?,"Glucan synthases","Carbohydrate and lipid biosynthesis defects",PS00225,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",ER
G235177,Non-Essential,?,"Glucan synthases","Carbohydrate and lipid biosynthesis defects",PS00225,3,METABOLISM,ER
G235177,Non-Essential,?,"Glucan synthases","Carbohydrate and lipid biosynthesis defects",PS01188,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",ER
G235177,Non-Essential,?,"Glucan synthases","Carbohydrate and lipid biosynthesis defects",PS01188,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",ER
G235177,Non-Essential,?,"Glucan synthases","Carbohydrate and lipid biosynthesis defects",PS01188,3,METABOLISM,ER
G235177,Non-Essential,?,"Glucan synthases","Cell morphology and organelle mutants",PS00225,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",ER
G235177,Non-Essential,?,"Glucan synthases","Cell morphology and organelle mutants",PS00225,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",ER
G235177,Non-Essential,?,"Glucan synthases","Cell morphology and organelle mutants",PS00225,3,METABOLISM,ER
G235177,Non-Essential,?,"Glucan synthases","Cell morphology and organelle mutants",PS01188,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",ER
G235177,Non-Essential,?,"Glucan synthases","Cell morphology and organelle mutants",PS01188,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",ER
G235177,Non-Essential,?,"Glucan synthases","Cell morphology and organelle mutants",PS01188,3,METABOLISM,ER
G235177,Non-Essential,?,"Glucan synthases","Conditional phenotypes",PS00225,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",ER
G235177,Non-Essential,?,"Glucan synthases","Conditional phenotypes",PS00225,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",ER
G235177,Non-Essential,?,"Glucan synthases","Conditional phenotypes",PS00225,3,METABOLISM,ER
G235177,Non-Essential,?,"Glucan synthases","Conditional phenotypes",PS01188,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",ER
G235177,Non-Essential,?,"Glucan synthases","Conditional phenotypes",PS01188,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",ER
G235177,Non-Essential,?,"Glucan synthases","Conditional phenotypes",PS01188,3,METABOLISM,ER
G235177,Non-Essential,?,"Glucan synthases","Mating and sporulation defects",PS00225,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",ER
G235177,Non-Essential,?,"Glucan synthases","Mating and sporulation defects",PS00225,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",ER
G235177,Non-Essential,?,"Glucan synthases","Mating and sporulation defects",PS00225,3,METABOLISM,ER
G235177,Non-Essential,?,"Glucan synthases","Mating and sporulation defects",PS01188,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",ER
G235177,Non-Essential,?,"Glucan synthases","Mating and sporulation defects",PS01188,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",ER
G235177,Non-Essential,?,"Glucan synthases","Mating and sporulation defects",PS01188,3,METABOLISM,ER
G235177,Non-Essential,?,"Glucan synthases","Sensitivity to immunosuppressants",PS00225,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",ER
G235177,Non-Essential,?,"Glucan synthases","Sensitivity to immunosuppressants",PS00225,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",ER
G235177,Non-Essential,?,"Glucan synthases","Sensitivity to immunosuppressants",PS00225,3,METABOLISM,ER
G235177,Non-Essential,?,"Glucan synthases","Sensitivity to immunosuppressants",PS01188,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",ER
G235177,Non-Essential,?,"Glucan synthases","Sensitivity to immunosuppressants",PS01188,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",ER
G235177,Non-Essential,?,"Glucan synthases","Sensitivity to immunosuppressants",PS01188,3,METABOLISM,ER
G235177,Non-Essential,?,"Glucan synthases","Stress response defects",PS00225,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",ER
G235177,Non-Essential,?,"Glucan synthases","Stress response defects",PS00225,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",ER
G235177,Non-Essential,?,"Glucan synthases","Stress response defects",PS00225,3,METABOLISM,ER
G235177,Non-Essential,?,"Glucan synthases","Stress response defects",PS01188,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",ER
G235177,Non-Essential,?,"Glucan synthases","Stress response defects",PS01188,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",ER
G235177,Non-Essential,?,"Glucan synthases","Stress response defects",PS01188,3,METABOLISM,ER
G235181,Essential,?,"RSC complex (Remodel the structure of chromatin)",?,?,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235181,Essential,?,"RSC complex (Remodel the structure of chromatin)",?,?,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235181,Essential,?,"RSC complex (Remodel the structure of chromatin)",?,?,3,TRANSCRIPTION,nucleus
G235182,Non-Essential,?,"Transcription complexes/Transcriptosome","Cell morphology and organelle mutants",PS00678,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235182,Non-Essential,?,"Transcription complexes/Transcriptosome","Cell morphology and organelle mutants",PS00678,3,TRANSCRIPTION,nucleus
G235184,Non-Essential,?,"Transcription complexes/Transcriptosome","Nucleic acid metabolism defects",PS00017,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235184,Non-Essential,?,"Transcription complexes/Transcriptosome","Nucleic acid metabolism defects",PS00017,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235184,Non-Essential,?,"Transcription complexes/Transcriptosome","Nucleic acid metabolism defects",PS00486,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235184,Non-Essential,?,"Transcription complexes/Transcriptosome","Nucleic acid metabolism defects",PS00486,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235185,Essential,?,"Transcription complexes/Transcriptosome","Cell cycle defects",?,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235185,Essential,?,"Transcription complexes/Transcriptosome","Cell cycle defects",?,3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235185,Essential,?,"Transcription complexes/Transcriptosome","Cell cycle defects",?,3,TRANSCRIPTION,nucleus
G235187,Essential,?,"RNA processing complexes","Conditional phenotypes",PS00566,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235187,Essential,?,"RNA processing complexes","Conditional phenotypes",PS00566,4,TRANSCRIPTION,nucleus
G235188,Non-Essential,?,Proteasome,?,PS00018,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235188,Non-Essential,?,Proteasome,?,PS00018,4,"PROTEIN DESTINATION",nucleus
G235189,Essential,?,"RNA processing complexes",?,PS00028,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235189,Essential,?,"RNA processing complexes",?,PS00028,4,TRANSCRIPTION,nucleus
G235191,Essential,?,"RNA processing complexes",?,?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235191,Essential,?,"RNA processing complexes",?,?,4,TRANSCRIPTION,nucleus
G235200,Non-Essential,?,"Assembly complexes","Cell morphology and organelle mutants",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",vacuole
G235200,Non-Essential,?,"Assembly complexes","Cell morphology and organelle mutants",?,4,"PROTEIN DESTINATION",vacuole
G235201,Non-Essential,?,"Translation complexes",?,?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G235201,Non-Essential,?,"Translation complexes",?,?,4,"PROTEIN SYNTHESIS",cytoplasm
G235204,Non-Essential,?,Prenyltransferases,"Cell cycle defects",?,4,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G235204,Non-Essential,?,Prenyltransferases,"Cell cycle defects",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G235204,Non-Essential,?,Prenyltransferases,"Cell cycle defects",?,4,METABOLISM,cytoplasm
G235204,Non-Essential,?,Prenyltransferases,"Cell cycle defects",?,4,"PROTEIN DESTINATION",cytoplasm
G235204,Non-Essential,?,Prenyltransferases,"Conditional phenotypes",?,4,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G235204,Non-Essential,?,Prenyltransferases,"Conditional phenotypes",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G235204,Non-Essential,?,Prenyltransferases,"Conditional phenotypes",?,4,METABOLISM,cytoplasm
G235204,Non-Essential,?,Prenyltransferases,"Conditional phenotypes",?,4,"PROTEIN DESTINATION",cytoplasm
G235205,Non-Essential,?,Translocon,"Conditional phenotypes",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G235205,Non-Essential,?,Translocon,"Conditional phenotypes",?,4,"PROTEIN DESTINATION",cytoplasm
G235207,Non-Essential,?,"Nuclear pore complex (NPC)","Cell morphology and organelle mutants",?,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235207,Non-Essential,?,"Nuclear pore complex (NPC)","Cell morphology and organelle mutants",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235207,Non-Essential,?,"Nuclear pore complex (NPC)","Cell morphology and organelle mutants",?,4,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",nucleus
G235207,Non-Essential,?,"Nuclear pore complex (NPC)","Conditional phenotypes",?,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235207,Non-Essential,?,"Nuclear pore complex (NPC)","Conditional phenotypes",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235207,Non-Essential,?,"Nuclear pore complex (NPC)","Conditional phenotypes",?,4,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",nucleus
G235207,Non-Essential,?,"Nuclear pore complex (NPC)","Mating and sporulation defects",?,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235207,Non-Essential,?,"Nuclear pore complex (NPC)","Mating and sporulation defects",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235207,Non-Essential,?,"Nuclear pore complex (NPC)","Mating and sporulation defects",?,4,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",nucleus
G235213,Non-Essential,?,"Transcription complexes/Transcriptosome","Conditional phenotypes",PS00017,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235213,Non-Essential,?,"Transcription complexes/Transcriptosome","Conditional phenotypes",PS00017,4,TRANSCRIPTION,nucleus
G235213,Non-Essential,?,"Transcription complexes/Transcriptosome","Conditional phenotypes",PS00039,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235213,Non-Essential,?,"Transcription complexes/Transcriptosome","Conditional phenotypes",PS00039,4,TRANSCRIPTION,nucleus
G235213,Non-Essential,?,"Transcription complexes/Transcriptosome","Sensitivity to aminoacid analogs and other drugs",PS00017,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235213,Non-Essential,?,"Transcription complexes/Transcriptosome","Sensitivity to aminoacid analogs and other drugs",PS00017,4,TRANSCRIPTION,nucleus
G235213,Non-Essential,?,"Transcription complexes/Transcriptosome","Sensitivity to aminoacid analogs and other drugs",PS00039,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235213,Non-Essential,?,"Transcription complexes/Transcriptosome","Sensitivity to aminoacid analogs and other drugs",PS00039,4,TRANSCRIPTION,nucleus
G235214,?,?,"Replication complexes","Cell cycle defects",PS00333,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235214,?,?,"Replication complexes","Cell cycle defects",PS00333,4,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus
G235214,?,?,"Replication complexes","Cell cycle defects",PS00333,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235214,?,?,"Replication complexes","Cell cycle defects",PS00697,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235214,?,?,"Replication complexes","Cell cycle defects",PS00697,4,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus
G235214,?,?,"Replication complexes","Cell cycle defects",PS00697,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235214,?,?,"Replication complexes",Unknown,PS00333,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235214,?,?,"Replication complexes",Unknown,PS00333,4,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus
G235214,?,?,"Replication complexes",Unknown,PS00333,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235214,?,?,"Replication complexes",Unknown,PS00697,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235214,?,?,"Replication complexes",Unknown,PS00697,4,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus
G235214,?,?,"Replication complexes",Unknown,PS00697,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235216,Non-Essential,?,Cytoskeleton,?,?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoskeleton
G235222,Essential,?,"Mitochondrial translocase complex",?,?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",mitochondria
G235222,Essential,?,"Mitochondrial translocase complex",?,?,4,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",mitochondria
G235222,Essential,?,"Mitochondrial translocase complex",?,?,4,"PROTEIN DESTINATION",mitochondria
G235222,Essential,?,"Mitochondrial translocase complex",?,?,4,"TRANSPORT FACILITATION",mitochondria
G235225,Non-Essential,?,"Transcription complexes/Transcriptosome",?,?,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235225,Non-Essential,?,"Transcription complexes/Transcriptosome",?,?,4,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus
G235225,Non-Essential,?,"Transcription complexes/Transcriptosome",?,?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235228,Non-Essential,?,"Translation complexes","Conditional phenotypes",PS00056,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G235228,Non-Essential,?,"Translation complexes","Conditional phenotypes",PS00056,4,"PROTEIN SYNTHESIS",cytoplasm
G235228,Non-Essential,?,"Translation complexes","Sensitivity to antibiotics",PS00056,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G235228,Non-Essential,?,"Translation complexes","Sensitivity to antibiotics",PS00056,4,"PROTEIN SYNTHESIS",cytoplasm
G235229,Essential,?,"Replication complexes","Cell cycle defects",?,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235229,Essential,?,"Replication complexes","Cell cycle defects",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235229,Essential,?,"Replication complexes","Conditional phenotypes",?,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235229,Essential,?,"Replication complexes","Conditional phenotypes",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235231,Non-Essential,?,"Transcription complexes/Transcriptosome",?,?,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235231,Non-Essential,?,"Transcription complexes/Transcriptosome",?,?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235231,Non-Essential,?,"Transcription complexes/Transcriptosome",?,?,4,METABOLISM,nucleus
G235231,Non-Essential,?,"Transcription complexes/Transcriptosome",?,?,4,TRANSCRIPTION,nucleus
G235234,Non-Essential,?,"Assembly complexes","Cell morphology and organelle mutants",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",vacuole
G235234,Non-Essential,?,"Assembly complexes","Cell morphology and organelle mutants",?,4,"PROTEIN DESTINATION",vacuole
G235235,Essential,?,Translocon,?,PS01067,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",ER
G235235,Essential,?,Translocon,?,PS01067,4,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",ER
G235235,Essential,?,Translocon,?,PS01067,4,"PROTEIN DESTINATION",ER
G235235,Essential,?,Translocon,?,PS01067,4,"TRANSPORT FACILITATION",ER
G235239,Non-Essential,?,"Intracellular transport complexes","Mating and sporulation defects",?,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",golgi
G235239,Non-Essential,?,"Intracellular transport complexes","Mating and sporulation defects",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",golgi
G235239,Non-Essential,?,"Intracellular transport complexes","Mating and sporulation defects",?,4,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",golgi
G235239,Non-Essential,?,"Intracellular transport complexes","Nucleic acid metabolism defects",?,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",golgi
G235239,Non-Essential,?,"Intracellular transport complexes","Nucleic acid metabolism defects",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",golgi
G235239,Non-Essential,?,"Intracellular transport complexes","Nucleic acid metabolism defects",?,4,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",golgi
G235240,Essential,?,"Sister chromatid cohesion regulation complex","Cell cycle defects",?,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235240,Essential,?,"Sister chromatid cohesion regulation complex","Cell cycle defects",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235240,Essential,?,"Sister chromatid cohesion regulation complex","Conditional phenotypes",?,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235240,Essential,?,"Sister chromatid cohesion regulation complex","Conditional phenotypes",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235241,Essential,?,"Anaphase promoting complex (APC)","Conditional phenotypes",?,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235241,Essential,?,"Anaphase promoting complex (APC)","Conditional phenotypes",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235241,Essential,?,"Anaphase promoting complex (APC)","Conditional phenotypes",?,4,"PROTEIN DESTINATION",nucleus
G235242,Non-Essential,?,Cytoskeleton,"Cell morphology and organelle mutants",PS00019,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton
G235242,Non-Essential,?,Cytoskeleton,"Cell morphology and organelle mutants",PS00019,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoskeleton
G235242,Non-Essential,?,Cytoskeleton,"Cell morphology and organelle mutants",PS00019,4,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",cytoskeleton
G235242,Non-Essential,?,Cytoskeleton,"Cell morphology and organelle mutants",PS00020,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton
G235242,Non-Essential,?,Cytoskeleton,"Cell morphology and organelle mutants",PS00020,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoskeleton
G235242,Non-Essential,?,Cytoskeleton,"Cell morphology and organelle mutants",PS00020,4,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",cytoskeleton
G235243,Non-Essential,?,"Transcription complexes/Transcriptosome","Auxotrophies, carbon and",?,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235243,Non-Essential,?,"Transcription complexes/Transcriptosome","Auxotrophies, carbon and",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235243,Non-Essential,?,"Transcription complexes/Transcriptosome","Auxotrophies, carbon and",?,4,TRANSCRIPTION,nucleus
G235243,Non-Essential,?,"Transcription complexes/Transcriptosome","Conditional phenotypes",?,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235243,Non-Essential,?,"Transcription complexes/Transcriptosome","Conditional phenotypes",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235243,Non-Essential,?,"Transcription complexes/Transcriptosome","Conditional phenotypes",?,4,TRANSCRIPTION,nucleus
G235243,Non-Essential,?,"Transcription complexes/Transcriptosome","Nucleic acid metabolism defects",?,4,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G235243,Non-Essential,?,"Transcription complexes/Transcriptosome","Nucleic acid metabolism defects",?,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G235243,Non-Essential,?,"Transcription complexes/Transcriptosome","Nucleic acid metabolism defects",?,4,TRANSCRIPTION,nucleus
G235244,Essential,?,"Histone acetyltransferase complexes",?,?,4,TRANSCRIPTION,nucleus
G235244,Essential,?,"Transcription complexes/Transcriptosome",?,?,4,TRANSCRIPTION,nucleus
G235245,Non-Essential,?,"2-oxoglutarate dehydrogenase",?,PS00189,4,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",mitochondria
