bookrank,id,title,bookauthor,publicationyear,publisher,languagecode,numpages,averagerating,ratingscount
2377,24751676,"Aracne y La muerte viene a cenar (Carter & West, #1)",Ana Bolox,2015,Amazon Media,spa,258,3.87,27
2377,23990505,Lioness,Matt Stanton,2015,Matthew Stanton,eng,508,4.4,6
2377,24928477,Losing Your Head (The Charlie Davies Mysteries Book 1),Clare Kauter,,,eng,,4.02,189
2377,10821314,The Strange Fate of Kitty Easton,Elizabeth Speller,2011,Virago Press (UK),eng,408,3.67,977
2377,24238513,Knot of the Slain: Part One: TWISTED (Blood Angels Book 1),T.C. Archer,,,en-CA,,4,2
2377,25028866,Killer Scent (John Twait Mysterys #3),Tony Rehor,2015,,eng,79,4.83,4
2377,24822065,Curse of the Purple Delhi Sapphire (Temple of Indra Series),Rachael Stapleton,,,eng,,4.4,20
2377,25081388,Blood Recruit,Murphy Morrison,,,eng,,3.95,10
2377,23487387,Collision Course (A  Josh Williams Novel),Joe Broadmeadow,2014,JEBWizard Publishing,eng,378,4,10
2377,22046983,Bring It (Sabel Security #2) (Trench Coats #1-6 omnibus),Seeley James,,,eng,,4.02,158
2377,23434555,Paper Dolls,Cory  Toth,,,eng,,3.74,104
2377,17834925,The Blood Promise (Hugo Marston #3),Mark Pryor,2014,Seventh Street Books,eng,284,3.89,806
2377,15795957,"The Bookseller (Hugo Marston, #1)",Mark Pryor,2012,Seventh Street Books,eng,300,3.73,2936
2377,20749814,Mestaclocan,R. Lawson Gamble,2014,Rich Gamble Associates,eng,212,4.27,4
2377,10477647,Trashy Chic: A Bertie Mallowan Mystery (Bertie Mallowan #1),Cathy Lubenski,2012,Vantage Point,hun,244,4.09,22
2377,22604333,Bloodhound,Sigrid Salucop,,,eng,,5,4
2377,25379604,The Naked Killer,Clem Maddox,2015,,eng,155,5,3
2377,25334403,May All Your Names Be Forgotten,Michael Connor,2015,,eng,266,0,0
2377,22891962,"Dark City Lights: New York Short Stories (Have a NYC, #4)",Lawrence Block,2015,Three Rooms Press,eng,390,4,35
2377,25098862,Crooked Road,Tom Bertke,2015,Createspace Independent Publishing Platform,eng,262,4.08,10
2377,25318986,By the Lake,Ainsley Peace,2015,Createspace Independent Publishing Platform,eng,228,5,1
2377,24196899,Jack Bleacher: a parody,Stephen Arnott,2014,Ketingas Press,en-US,,4.78,9
2377,25467529,Further Complications,Bryn Schurman,2015,,eng,,3.27,11
2377,24937024,Curveball (Curveball #1),Teresa Michaels,2014,,eng,413,4.58,90
2377,23074892,"Lonely Graves (Pieter Posthumus Trilogy, #1)",Britta Bolt,2015,Mulholland Books,eng,311,3.31,96
2377,15992106,Deadly Heirs,Mike Ricksecker,2011,Mike Ricksecker,eng,182,4.14,5
2377,72744,"The Hyde Park Headsman (Charlotte & Thomas Pitt, #14)",Anne Perry,,,eng,343,3.94,2537
2377,18179259,Bodie,Anne Sweazy-Kulju,2013,Tate Publishing & Enterprises,eng,308,4.15,40
2377,25611280,"Harmony, USA",Lewis Bryan,,,eng,,3.87,6
2377,25337672,The Malevolent Twin,Mary Sage Nguyen,2015,Mary Sage Nguyen Books,eng,126,3.54,8
2377,25762564,Shining Target,David Elliott,,,eng,,4.4,4
2377,17432056,"The Disillusioned (Guardian, #1)",D.J.  Williams,2013,"Forgotten Stories, LLC",eng,324,4.33,37
2377,25683952,"The Key to the Ranch (An Alexander Wright Mystery Adventure, #6)",William L. Mansfield,2015,Jason Mansfield,eng,204,4,0
2377,16071701,"Bad Monkey (Andrew Yancy, #1)",Carl Hiaasen,2013,Knopf,eng,317,3.69,31041
2377,24946652,Persona Non Grata: End of the Great Game: A Mark Jamison Mystery,Avery Mann,,,eng,,4.67,9
2377,23214326,"Time of Death (Tom Thorne,#13)",Mark Billingham,2015,Atlantic Monthly Press,eng,436,4.06,1422
2377,23299081,Sweet Things Dying,Dana S. Feldman,2014,21st Century Lion Books,eng,308,4.08,5
2377,25857264,Transformed Into A Dog,Cozy M.,2015,Cozy Mystery,eng,31,3,3
2377,25748573,Brutal,Uday Satpathy,2015,Bloody Good Book and Westland Books,en-US,270,3.83,293
2377,21019603,Red Light (Katie Maguire #3),Graham Masterton,2014,Head of Zeus,eng,440,3.96,871
2377,25624910,Anything for Her,Jack   Jordan,2015,CreateSpace,en-CA,340,3.83,110
2377,24314578,A Time of Secrets,Deborah Burrows,2015,Pan Macmillan Australia,eng,432,3.8,121
2377,25956373,Worm,Erica S. Watson,,,eng,,3,9
2377,23594984,Justifiable Homicide: A Political Thriller,Robert W. McGee,2014,,eng,,3.84,9
2377,25859656,"Screw Friendship (Frank Friendship, #1)",R.G. Manse,2014,Metacircular Limited,eng,332,3.68,0
2377,25815256,Ocean City Cover-up: A Jamie August Novel,Kim Kash,,,eng,,4.25,24
2377,25904361,Body of Proof: Tainted Evidence In The Murder Of Jessica O'Grady?,John Ferak,,,en-CA,238,3.67,251
2377,26020130,"Why Me? (The Revenge Series, #1)",I.N. Jewels,2015,I.N. Jewels,en-US,,4.67,3
2377,25214828,Savage Summer (Curt Savage Mysteries #1),Ruth Bainbridge,,,eng,,3.82,25
2377,25166326,Blood and Bone,Chris Bathory,,,eng,,4.48,17
2377,25844919,Badge of Evil,Craig Horowitz,,,eng,,4.13,101
2377,26081600,"The Oxmarket Aspal Murder Mystery  (A John Handful Novel, #2)",Andrew Hixson,2015,createspace,en-GB,214,3.79,5
2377,26058286,Countdown to Death,Bryan Cassiday,2015,Createspace Independent Publishing Platform,eng,352,3.5,7
2377,17889724,Clementine's Shadow,Peggy Rothschild,2013,Moonstone Publishing,eng,354,4.04,25
2377,23607748,The Day Before (Time & Shadows Mystery #1),Liana Brooks,2015,Harper Voyager Impulse,eng,304,3.99,22
2377,26107283,"Rotten Peaches (The Thelonious T. Bear Chronicles, #2)",Mitzi Szereto,2015,,en-CA,,4.23,12
2377,25029015,The Lemoncholy Life of Annie Aster,Scott Wilbanks,2015,Sourcebooks Landmark,eng,379,3.72,1450
2377,26403846,Made For Murder,Paul McGoran,2015,New Pulp Press,eng,284,5,3
2377,15810862,"Murder, She Barked (Paws and Claws Mystery, #1)",Krista Davis,2013,Berkley,eng,284,4.02,2277
2377,23398430,A Killer Past,Maris Soule,2015,Robert Hale,eng,224,4.2,19
2377,24550090,The Book of the Dead (The Kaires Scrolls 1),Paul Davis,,,eng,,3.73,11
2377,25439754,"Before Life Happened (Before, #1)",Isabel Curtis,2015,Createspace Independent Publishing Platform,eng,200,3.67,57
2377,25104320,Hooligans,Chaz Fenwick,2015,CreateSpace Independent Publishing,eng,292,3.94,6
2377,24734688,COLD LICK (Atlanta Homicide Squad #2),Cortez Law III,2015,Metro Black & Blue Books,eng,415,3.75,8
2377,22238178,"Night Life (Michael Cassidy, #1)",David C.  Taylor,2015,Forge Books,eng,336,3.91,320
2377,26627840,"Game (DS Morgan Callaghan Crime Fiction, #1)",A.C. Efverman,2015,Createspace Independent Publishing Platform,eng,358,4.07,25
2377,24331423,The Spy House (Spycatcher #5),Matthew  Dunn,2015,William Morrow,eng,339,4.05,365
2377,25630039,"Monarchs and Mendicants (Gifford Ulrich, #1)",Dan Groat,2015,,eng,283,4.49,21
2377,25362878,The Finger Trap,Johnny Worthen,2015,Jolly Fish Press,eng,416,4.46,33
2377,22551891,"Gun Street Girl (Detective Sean Duffy, #4)",Adrian McKinty,2015,Seventh Street Books (US/Canada),eng,313,4.24,2425
2377,613483,"A Cold Mind (Stuart Haydon, #1)",David L. Lindsey,1994,Bantam,eng,350,3.77,262
2377,17333403,Deadline,Sandra Brown,2013,Grand Central Publishing,eng,410,4.08,11590
2377,13539495,A Death in Italy: The Definitive Account of the Amanda Knox Case,John Follain,2012,St. Martin's Press,eng,,3.77,337
2377,22608290,Twelve Minutes till Midnight,Oliver Phipps,,,eng,,3.76,25
2377,4778224,The Best of Mystery 63 Short Stories By the Master of Suspense,Alfred Hitchcock,1982,Gallahad Books,eng,636,4.11,21
2377,26170552,NEVER AGAIN,Alex Le Val,,,eng,,5,2
2377,27404675,Ghost in the Net,Lotta Smith,,,eng,,3.39,2
2377,23588764,Cold Blood (Aidan Snow #1),Alex   Shaw,,Endeavour Press,eng,,3.74,180
2377,26851406,Framed With Google Maps: The Truth About the Brad Cooper Case,Lynne Blanchard,,,eng,,3.44,44
2377,27476201,Afta-U,Jennifer-Lynn Keniston,2015,Tate Publishing & Enterprises,eng,212,4.62,15
2377,25705430,3 DOWN,Chris Grams,2015,Double Dragon ebooks,eng,223,4.42,12
2377,27073769,Golden,Kathryn Robson,,,eng,,4.43,7
2377,27967722,Crime Fiction: Murder: Hope and Justice (Noir Mystery Suspense Amateur Sleuths Police Procedurals) (Private Investigator Violence in Society Investigation Detective Family Relationships Book 1),Vicki R. Pond,,,eng,,3.62,8
2377,28194265,Relentless: A Striker Mystery Novel,Marcus Bruning,2015,Riverfeet Press,eng,210,4.2,4
2377,28008733,"BULLETS (Jon Big Slick Elder Book 1)",Elijah Drive,,,eng,,4.47,210
2377,23508201,Deadly Connections,Plain Jane,2014,Plain Jane Stories Ltd,eng,,4.05,22
2377,26856951,Acts Beyond Redemption (Unintended Consequences #1),S. Burke,,,eng,,4.62,19
2377,23647122,Center of Gravity,Laura McNeill,2015,Thomas Nelson,eng,320,3.93,812
2377,27175540,Uncontrolled Spin: The Power and Danger of Spin,Jerry Summers,2015,Xlibris,eng,216,3.88,7
2377,28102300,The Magus Covenant,Toni Pike,2015,Toni Pike,eng,,3.69,11
2377,28595024,Smile of the Rictus (Book #1),Julius Talen,2016,First Edition Design Publishing,eng,263,4.8,10
2377,28805082,Cocaine Kingpins: 'El Chapo' Edition,Sybil Jensen,,,eng,,3.75,12
2377,11847152,"Stirred (Jack Daniels Mystery, #8)",J.A. Konrath,,,eng,504,4.06,2048
2377,28108224,Must be Murder (To Love a Witch #2),D.J. Jouett,,,eng,,4.14,7
2377,25310640,"Crash & Burn (Tessa Leoni, #3)",Lisa Gardner,2015,Dutton,eng,480,4.02,245
2377,28790797,Who You Work For (Thomas Moore Book 1),Anthony David Mitchell,,,eng,,3.73,14
2377,27811288,S is for Serial,D.K. Greene,2015,Kawaii Times,eng,356,4,12
2377,28960987,Sin mirar atrás,Audrey Dry,2016,Amazon Media,spa,210,4.24,23
2377,18309552,NOT A BOOK,Beck Robertson,2013,Smashwords Edition,eng,,3.8,7
2377,29065896,Just Punishment,David R. Payne,2016,"Page Publishing, Inc.",eng,384,4.75,6
2377,21285934,The Secret of the Sphinx,Samuel Bavli,,,eng,,3.83,3
2377,29278655,"The Knot (Dr. Edge, #2)",J.A. Alldredge,2016,Joseph A. Alldredge,eng,,5,2
2377,27111075,Shattered Trust (Shattered #2),Magda Alexander,2016,Montlake Romance,eng,266,4.01,100
2377,23664710,"Make Me (Jack Reacher, #20)",Lee Child,2015,,en-US,,3.98,31733
2377,26079584,Beautiful Strangers Don't Care About Owls,Barbara Sea,2015,Kindle,eng,,4.2,10
2377,29971829,Pot Luck,Nick  Fisher,2016,Peridot Press,eng,296,3.63,24
2377,21770750,Till Tomorrow,Patrick Manzai,2013,Smashwords Edition,eng,,3.88,17
2377,18050844,"Stealing Power (Detectives India Kane & AJ Colt, #1)",Bo Brennan,2013,,eng,450,4.21,124
2377,28203259,The Strangers We Know,R M Mulkey,2015,Createspace Independent Publishing Platform,eng,222,4,2
2377,27177732,Deal Master,Adam Gittlin,2016,Oceanview Publishing,eng,416,4.21,18
2377,30221852,"Failure of Justice: A Brutal Murder, an Obsessed Cop, Six Wrongful Convictions",John Ferak,2016,Wildblue Press,eng,452,4.31,13
2377,23783904,THE COALFIELD EXPRESS,Susmit Sarkar,2014,PARTRIDGE PUBLISHING INDIA,eng,104,4.86,7
2377,30109400,Gray Street,Annie Wood,,,en-US,,4.35,17
2377,431332,The Guest List,Fern Michaels,2002,Zebra,eng,400,4.02,1013
2377,29746038,Shroud,Marisa Mohdi,2016,,eng,310,4.87,15
2377,29355161,Cosmic Callisto Caprica & The Missing Rings Of Saturn,Sophia Chester,,,eng,,4.12,11
2377,30302829,Small Town Justice (A Janice Berne Mystery) (Volume 1),Emily S Webster,,,eng,,5,1
2377,30349150,"The Disappearance of Anna Popov (Jack Rogan Mysteries, #2)",Gabriel Farago,2016,Bear & King Publishing,eng,479,4.51,39
2377,30195576,Poison Branches (Perri Seamore Book 1),Cynthia Raleigh,,,eng,,4,78
2377,26870904,The Lost Property Office,James R. Hannibal,2016,Simon & Schuster Books for Young Readers,eng,400,3.76,68
2377,31197289,Abandoned: A Collection of Great Stories,Guy de Maupassant,2016,CreateSpace Independent Publishing Platform,eng,194,3.27,2
2377,30829851,Truce of Two Polars,Audrey Yang,2016,,eng,,3.5,12
2377,30162079,Mermaid Jewels,Frank  Grady,2016,"Moonshine Cove Publishing, LLC",eng,274,4.88,6
2377,26105876,The Dark Inside,Rod Reynolds,2015,Faber and Faber,eng,400,3.78,115
2377,30626259,"Brownstone (Jack Elliot, #1)",Dean Kutzler,2016,Ironclad Bindings,eng,312,4.08,42
2377,129534,"A Vision of Murder (Psychic Eye Mystery, #3)",Victoria Laurie,2005,Berkley Books,eng,296,3.96,5941
2377,31911399,Vanished,G.W. Boileau,2016,G. W. Boileau,eng,59,3.88,8
2377,28189945,Unwanted: A Murder Mystery of the Gilded Age,Andrew      Young,2016,Westholme Publishing,eng,288,3.41,55
2377,32273880,Stone Cold Christmas,Larry Bergsgaard,2016,Dog Ear Publishing,eng,256,3.36,10
2377,27974144,Falling Walrus,Robert J. Wolfe,2015,Createspace Independent Publishing Platform,eng,376,4,3
2377,29238130,"Mystery :Raw and Personal: Mystery, Thriller, Suspense,Romance and Crime story (Mystery,Thriller, Suspense ,Romance and Crime story:Raw and Personal Book 1)",Yolanda Taylor,,,eng,,3.38,13
2377,32760468,While My Back Was Turned,R.M. Blackwell,2016,CreateSpace,eng,356,3.53,4
2377,29914878,Doomsday: A Remy Jones Adventure,Heather Elizabeth King,,,eng,,4.5,7
2377,28943766,Culloden: Scotland's Last Battle and the Forging of the British Empire,Trevor Royle,2016,Pegasus Books,eng,432,3.22,25
2377,6878453,The Anatomy Murders: Being the True and Spectacular History of Edinburgh's Notorious Burke and Hare and of the Man of Science Who Abetted Them in the Commission of Their Most Heinous Crimes,Lisa Rosner,2009,University of Pennsylvania Press,eng,328,3.63,107
2377,33124888,Rellik,Lucita Jr,2016,White Pages,eng,472,0,0
2377,2856565,Blood Secrets,Craig  Jones,1979,Ballantine Books,eng,0,3.87,139
2377,31566732,Finishing Machine,Mike  Arnold,2016,Versus Publishing,eng,362,4.08,21
2377,29220701,The Art of Holding On and Letting Go,Kristin Bartley Lenz,2016,Elephant Rock Books,eng,308,4.12,406
2377,33371712,Murder: Bayou Style: Death in the Swamps,Gary Graybill,2016,Createspace Independent Publishing Platform,eng,,3.75,2
2377,7064801,The Pier: A Folly Beach Mystery,Bill Noel,2009,iUniverse Star,eng,236,3.84,78
2377,30189552,"Famished (Ash Park, #1)",Meghan O'Flynn,,,eng,,3.67,1021
2377,25587112,The Secondary Target,Diane Lynn,2015,CreateSpace Independent Publishing Platform,eng,325,4.33,14
2377,32599526,The Last Longshoreman: A Chilling Tale of Crime and Corruption on the Boston Waterfront,Marc Zappulla,,,eng,,4.2,50
2377,28451352,The Bicycle Gang,Ricky Corum,2016,Ricky Corum,eng,256,4.14,4
2377,34114897,Fatal Gift,H. Michael Frase,2017,Claren Books,eng,464,3.63,1
2377,33876808,Realmgolds (The Gryphon Clerks #1),Mike Reeves-McMillan,,,eng,,3.99,33
2377,32178256,The Murder of Manny Grimes,Angela  Kay,,,eng,,4.72,33
2377,31578642,A Glitch in the System,Adam Aust,2016,CreateSpace Independent Publishing Platform,eng,252,3.94,24
2377,33003426,Tell Me No Lies (An Ava Logan Mystery #1),Lynn Chandler Willis,2017,Henery Press,eng,238,4.24,76
2377,33026565,Rainbirds,Clarissa Goenawan,2018,Soho Press,eng,323,3.39,3185
2377,34428593,The Last Ditto,Frank Maddish,2017,Lulu.com,eng,,4.62,8
2377,32996854,Made Safe,Francis Sparks,2017,Pandamoon Publishing,eng,222,4.38,39
2377,34814551,The Gospel of Lie: A Grieving Christian Searches the Bible for a New Jesus,Joshua Lie,2017,Abraxas House,eng,264,3.72,16
2377,27314787,Dead to Rights,Robert L. Gold,2015,Marcinson Press,eng,486,4.5,8
2377,32775291,"The Thirst (Harry Hole, #11)",Jo Nesbø,,,eng,,4.18,8858
2377,29939239,The Mentor,Lee Matthew Goldberg,2017,Thomas Dunne Books,eng,320,3.64,236
2377,23602562,Our Souls at Night,Kent Haruf,2015,Alfred A. Knopf,eng,179,3.94,39863
2377,34350640,The Irrationalist: The Tragic Murder of René Descartes,Andrew Pessin,2017,Open Books,eng,504,4.05,30
2377,21403928,"Thorns of Rosewood (Rosewood Series, #1)",G.M. Barlean,,,eng,,4.09,1085
2377,18351871,Limestone Gumption (Brad Pope and Sisterfriends Mystery #1),Bryan E. Robinson,2014,Five Star (ME),eng,317,3.6,29
2377,35270051,The Woods (Berry Springs #1),Amanda McKinney,,,eng,,4.09,155
2377,35445445,Finding Your Colors: Fine Art Adult Coloring Book,Hertz Nazaire,2017,Indigo Book,eng,114,5,7
2377,34833532,Child of Paradise: Listen to Your Dreams,Pratibha R.D.H.,2017,Flugel Publishing House,eng,348,4.23,17
2377,25953347,Lot 28: A Lucky Marks Mystery,G.W. Pomichter,2015,Createspace,eng,120,4.27,9
2377,348241,La pesquisa,Juan José Saer,2017,Seix Barral,spa,206,3.92,396
2377,24021279,A Pius Stand (The Pius Trilogy #3),Declan Finn,2014,Createspace,eng,250,4.57,13
2377,35681134,A Teaspoon of Death,Sarthak Khurana,2017,CreateSpace Independent Publishing Platform,eng,96,5,2
2377,35629523,"Missing (Lyn Kramer Mystery, #1)",Ann   Jones,2017,Annjonesbooks,eng,191,4.37,148
2377,26851116,False Witness,Anita Rodgers,,,eng,,4.29,14
2377,31944809,Oakland Noir,Jerry Thompson,2017,Akashic Books,eng,278,3.81,148
2377,35911613,Coattails and Cocktails: Murder Straight Up with a Twist,Rumer Haven,2017,Fallen Monkey Press,eng,,3.98,29
2377,35961483,The Master of the Name,Tavi Florescu,2017,Tavi Florescu,eng,210,4.55,10
2377,19256975,Journey Under the Midnight Sun,Keigo Higashino,2015,"Little, Brown",eng,539,4.31,4517
2377,36310929,The Menacing House,K.G. Petrone,,,eng,,4.5,1
2377,29499703,Witches in West Memphis: The West Memphis Three and Another False Confession,George Jared,,,eng,,4.11,68
2377,33539069,The Three-Headed Dog,Laura María Agustín,2016,Laura Maria Agustín,eng,164,4.52,23
2377,36495539,The Forgotten Lands,Justin Warren,2017,,eng,312,3.56,0
2377,32830930,The Body Next Door,Gay Yellen,2016,Gydr Press,eng,285,4.24,19
2377,36617668,सिंडिकेट: Action Crime Thriller,Niranjan Oak,,,mar,191,3.43,30
2377,36337130,Madness and Magnolias,T.F. Cravens,,,eng,,4.2,4
2377,32670737,A Deep Thing,A.K.  Smith,2016,The Wild Rose Press,eng,372,4.21,127
2377,22418642,A Dying Fall,John Paulits,2014,Champagne Books,eng,,0,0
2377,37242713,Without,Brian Dennis Hartford,,,eng,,4.23,158
2377,25097180,mohamed adel s SMS,محمد   عادل,2010,,eng,,2.8,15
2377,33099401,A Time to Stand,Robert Whitlow,2017,Thomas Nelson,eng,402,4.21,438
2377,31450665,"LoveMurder (Valerie Hart, #2)",Saul Black,2017,St. Martin's Press,eng,345,3.81,85
2377,38219005,White Night (Detective Connors) (Volume 1),J.J.  Holt,,,eng,,3.91,3
2377,36873986,The Chalk Man,C.J. Tudor,2018,Random House,eng,,3.7,14
2377,36471909,Guilt,David Taylor Black,,,eng,,4.09,18
2377,34484722,Poison Girls,Cheryl L. Reed,2017,Diversion Publishing,eng,,4.25,41
2377,38768786,A Wall Is Just A Wall,James Ogunjimi,2018,"Bahati Books, UK",eng,152,3,2
2377,35756063,"Worth Killing For (Julia Gooden Mystery, #3)",Jane Haseldine,2018,Kensington Publishing Corporation,eng,341,3.91,121
2377,21936809,The Kind Worth Killing,Peter  Swanson,2015,William Morrow,eng,311,4.03,60304
2377,38492247,Illusionary,LeAnn Mason,2018,Amazon Digital Services LLC,eng,342,4.42,80
2377,38447,The Handmaid's Tale,Margaret Atwood,1998,Anchor Books,eng,312,4.11,1130840
2377,35195257,"A Cold Day in Hell (Cold Case Investigation, #1)",Lissa Marie Redmond,,,eng,390,4.14,518
2377,36856057,Chased by Thunder,Jeff Schober,2017,No Frills Buffalo,eng,256,5,4
2377,39353479,The Mirror Shop,Nicholas Bundock,,,eng,,4.17,24
2377,182012,"Indelible (Grant County, #4)",Karin Slaughter,2005,HarperTorch,eng,384,4.19,26956
2377,39887831,Stripper! (Natalie McMasters #1),Thomas A. Burns Jr.,2018,Self published,eng,274,3.72,16
2377,434229,Cape Fear,John D. MacDonald,1965,"Fawcett Publications, Inc.",eng,224,4.08,11678
2377,28193597,Bad Day in a Banana Hammock,Stuart R. West,2015,Books We Love Ltd.,eng,131,4.46,28
2377,31363573,Pigment: The Limbs of the Mukuyu Tree,Renee Topper,,,eng,,4.01,116
2377,34857300,"The Revelations of August Barton (August Barton, #2)",Jennifer LeBlanc,2018,CreateSpace Independent Publishing Platform,eng,225,4.74,18
2377,39908555,A Gentleman's Murder,Christopher  Huang,2018,"Inkshares, Inc.",eng,352,3.85,596
2377,39979553,The Girl Who Can Cook,Mike Wehner,2018,Progressive Thoth,eng,290,3.94,36
2377,39964873,Caught in a Web,Joseph   Lewis,2018,Black Rose Writing,eng,366,4.27,124
2377,40178388,Twisted Sister,Gwendolyn Cahill,,,eng,,5,3
2377,33810737,"The Case for Jamie (Charlotte Holmes, #3)",Brittany Cavallaro,2018,Katherine Tegen Books,eng,349,4.02,6742
2377,39876113,Tied to Deceit,Neena H. Brar,2018,Neena H. Brar,eng,328,4.05,78
2377,39721638,"The Rockefeller Murders (The Cleveland Mysteries, #1)",River Smith,2018,Liberation Brew Publications,eng,279,5,4
2377,34321096,Class A Felony,Deena Lee Davis,2015,"Dog Ear Publishing, LLC",eng,219,5,1
2377,36109432,Last Will (Best Defence #6),William H.S. McIntyre,2017,Sandstone Press,eng,320,4.28,10
2377,30422590,The Devil's Library,Tom Pugh,,,eng,,3.61,180
2377,36381029,The Devil's Half Mile,Paddy Hirsch,2018,Forge Books,eng,304,3.7,397
2377,40502709,The Line Is Dead,R.J. Crawley,,,eng,,5,1
2377,36205064,Alter Ego (Jonathan Stride #9),Brian Freeman,2018,Quercus,eng,400,4.28,1031
2377,32861576,Sub-Sahara,Ethan Arkwright,,,eng,,4.31,196
2377,40643628,They Called Me Wyatt,Natasha Tynes,2019,Rare Bird Books,eng,280,1.61,145
2377,36526445,Retribution: Serendipity,Samuel Wardwell,2018,MCP Books,eng,558,4.75,8
2377,36498652,Leonard P Valentine: A House Divided Cannot Stand (Short Order Cook & Chief Bottle Washer),Paul G.  Buckner,,,eng,,5,1
2377,28790257,...And Of The Son,John S. Skinner Jr.,,,eng,,4.67,3
2377,13077049,A Will to Murder,Hilary  Thomson,2011,The Pongid Press,eng,319,3.57,7
2377,36118983,Doctor of Veterinary Murder,Nishi Giefer,2017,High Plains Fiction,eng,192,5,3
2377,89668,"The Japanese Corpse (Grijpstra & De Gier Mystery, #5)",Janwillem van de Wetering,2003,Soho Crime,en-US,352,3.82,301
2377,24929435,8 Ball Trick Shot,Francis J. Coyle,,,en-CA,,4.57,7
2377,35276908,Inherit The Whirlwind: The Final Showdown Between Science And Religion,D.R. Pope,,,eng,,4.55,53
2377,36594385,Horn-Horn (The Horn-Horn Series),A.D.T. McLellan,2017,Amazon Digital Services,eng,265,4.58,44
2377,41184315,In Servitude,Heleen Kist,2018,Pollok Glen Publishing,eng,337,4.09,89
2377,42076761,The Apartment Above,LC Claar,,,eng,,4.4,5
2377,41453385,One Night Only,G.P. Ritchie,,,eng,,4.15,8
2377,42186115,Sins of the Son (The Frank Lucianus Mafia #1),Frank Lucianus,,,eng,,4.11,11
2377,42378782,Professor K: The Final Quest (Jack Rogan Mysteries #4),Gabriel Farago,,,eng,,4.72,89
2377,31193811,"The Hidden Genes of Professor K (Jack Rogan Mysteries, #3)",Gabriel Farago,,,eng,,4.41,59
2377,18270938,"Silent City (Pete Fernandez, #1)",Alex Segura,2016,Polis Books,eng,304,3.76,315
2377,39880749,"What Doesn't Kill Her (Cape Charade, #2)",Christina Dodd,,,eng,,4.07,1362
2377,32709441,The World of Adam Dunne,Tobor Eichmann,2016,Createspace,eng,192,3.87,11
2377,25716724,Perfect Days,Raphael Montes,2016,Penguin Press,eng,272,3.63,2520
2377,1071087,"The Majors (Brotherhood of War, #3)",W.E.B. Griffin,1986,G.P. Putnam's Sons,eng,384,4.28,3113
2377,43233635,Evonta's Revenge (A Jacobs Family Novel),Danyelle Scroggins,,,eng,,4.67,6
2377,43286371,The Orchid Mantis,Robert James Townsend,2018,Amazon,eng,258,4.53,14
2377,42063845,Temper,Layne Fargo,2019,Gallery/Scout Press,eng,352,3.37,1609
2377,43126252,Murder at Melrose Court: A Country House Christmas Murder (Heathcliff Lennox Book 1),Karen Baugh Menuhin,,,eng,,4.15,548
2377,29938376,A Simple Favor,Darcey Bell,2017,Harper,eng,304,3.23,32937
2377,36263042,And So It Began (Delaney #1),Owen Mullen,2017,Bloodhound Books,eng,246,4.3,56
2377,43069989,Everything is fair,Azim Bachani,,,eng,,4.67,3
2377,40653318,A Deadly Divide (Rachel Getty & Esa Khattak #5),Ausma Zehanat Khan,2019,Minotaur Books,eng,368,4.1,232
2377,39733282,"I, Beauty",Lashone Vs Shaneek,2018,Createspace Independent Publishing Platform,eng,226,5,4
2377,34864678,Go Fast: A Simon Ellice Adventure,Rod Humphris,,,eng,,2.86,7
2377,42904213,Aldaraia,Clinchandhill,,TCS Publishing,eng,,4.81,44
2377,39025783,The Forbidden Door,Dean Koontz,2018,Bantam,eng,467,4.2,723
2377,21489683,"Die Again (Rizzoli & Isles, #11)",Tess Gerritsen,2014,Ballantine Books,eng,330,4.18,14323
2377,31705897,Undercover Amish (Covert Police Detectives Unit #1),Ashley Emma,,,eng,,4.01,801
2377,38888885,Amish Under Fire (Covert Police Detectives Unit #2),Ashley Emma,,,eng,,4.38,220
2377,29589074,"Truly Devious (Truly Devious, #1)",Maureen Johnson,2018,HarperCollins,eng,416,4.03,31193
2377,42946306,Neon Empire,Drew Minh,2019,,eng,,3.38,52
2377,43581127,"Dog Gone (Sam Holden, #1)",Diane Moat,2018,,eng,220,4.15,12
2377,43547790,Hiding in the Bayou (Miss Fortune World: Bayou Cozy),Riley Blake,,,eng,,3.95,50
2377,41743264,"Reina roja (Antonia Scott, #1)",Juan Gomez-Jurado,2018,Ediciones B,spa,568,4.12,7086
2377,42765699,Skull Flowers,Jazon Dion Fletcher,2019,Tryptamine Press,eng,192,2.49,36
2377,43894917,Ruthless,Alex   Nelson,,,eng,,3.8,10
2377,40051168,Bounty Hunter Rancor Maleficent (Gunslinger #1),Ash Lingam,,,eng,,4.11,92
2377,41885431,The Lobster Lake Bandits: Mystery at Moosehead,Tommy Carbone,2018,Burnt Jacket Publishing,eng,316,4.33,8
2377,41859042,Infallible,Bailey Quinn,,,eng,,4.4,7
2377,43373350,The Will of the Raspberries,Michael   James,2018,Kingston Publishing Company,eng,,4.83,4
2377,43790688,The Vegan Embargo,L.F. Mascarenhas,2019,Lionnel Mascarenhas,eng,372,4.21,16
2377,34892405,Dig Two Graves (Detective Solomon Gray #1),Keith Nixon,,,eng,,4.06,290
2377,43391173,If it Weren't for You,Dorothea Neamonitos,,Amazon Digital Services LLC,eng,415,4.77,38
2377,43258641,Figure Eight. A Northern Lakes Mystery,Jeff Nania,,,eng,,4.38,24
