id,title,authors,language,categories,averageRating,maturityRating,publisher,publishedDate,pageCount
440,American Furniture in the Metropolitan Museum of Art,"['Frances Gruber Safford', 'Metropolitan Museum of Art (New York, N.Y.)']",en,['Furniture'],,NOT_MATURE,Metropolitan Museum of Art,2007,451
441,Catalog of Copyright Entries. Third Series,['Library of Congress. Copyright Office'],en,['Copyright'],,NOT_MATURE,"Copyright Office, Library of Congress",1961,2054
442,American Furniture,,en,['Furniture'],,NOT_MATURE,,2002,
443,American furniture 1997,['Luke Beckerdite'],en,['Antiques & Collectibles'],,NOT_MATURE,,1997,407
444,Register of Retirement Benefit Plans Reported Under the Welfare and Pension Plans Disclosure Act,,en,['Old age pensions'],,NOT_MATURE,,,
445,The Jamestown Furniture Industry,['Clarence Carlson'],en,['History'],,NOT_MATURE,Arcadia Publishing,28/01/2014,192
446,National Hardwood Magazine,,en,['Hardwoods'],,NOT_MATURE,,1985,
447,MacRae's Blue Book,,en,['Manufacturing industries'],,NOT_MATURE,,1997,
448,New Orleans. Ediz. inglese,['Rosanna Cirigliano'],en,['Travel'],,NOT_MATURE,Bonechi,01/01/1989,60
449,Advances in Information Security and Assurance,"['James (Jong Hyuk) Park', 'Hsiao-Hwa Chen', 'Mohammed Atiquzzaman', 'Changhoon Lee', 'Sang-Soo Yeo']",en,['Computers'],,NOT_MATURE,Springer,18/06/2009,841
450,The Complete Guide to Physical Security,"['Paul R. Baker', 'Daniel J. Benny']",en,['Business & Economics'],5,NOT_MATURE,CRC Press,19/04/2016,360
451,Enterprise 2.0,['Jessica Keyes'],en,['Business & Economics'],,NOT_MATURE,CRC Press,19/04/2016,425
452,The Official (ISC)2 Guide to the SSCP CBK,"['Adam Gordon', 'Steven Hernandez']",en,['Computers'],,NOT_MATURE,John Wiley & Sons,16/05/2016,928
453,NET Security and Cryptography,"['Peter Thorsteinson', 'G. Gnana Arun Ganesh']",en,['Computers'],2,NOT_MATURE,Prentice Hall Professional,2004,466
454,Maximum Windows 2000 Security,"['Anonymous', 'Mark Burnett', 'Chris Amaris', 'Chris Doyle', 'L. J. Locher', 'Rand Morimoto']",en,['Computers'],,NOT_MATURE,Sams Publishing,2002,596
455,Information Security and Cryptology - ICISC 2011,['Howon Kim'],en,['Computers'],,NOT_MATURE,Springer,16/07/2012,512
456,Engineering Information Security,['Stuart Jacobs'],en,['Technology & Engineering'],,NOT_MATURE,John Wiley & Sons,31/10/2011,728
457,"The Complete Book of Home, Site and Office Security",['Bill Phillips'],en,['Architecture'],4,NOT_MATURE,McGraw Hill Professional,2006,309
458,High-Rise Security and Fire Life Safety,['Geoff Craighead'],en,['Business & Economics'],,NOT_MATURE,Elsevier,15/04/2003,548
459,Analyzing the Hospital Life Safety Survey,['Brad Keyes'],en,['Medical'],,NOT_MATURE,"HC Pro, Inc.",01/01/2011,201
460,Halo: The Cole Protocol,"['Eric Nylund', 'Tobias S. Buckell']",en,['Fiction'],4.5,NOT_MATURE,Pan Macmillan,13/05/2011,352
461,Role Development in Professional Nursing Practice,['Kathleen Masters'],en,['Medical'],,NOT_MATURE,Jones & Bartlett Publishers,18/11/2015,450
462,A Question of Identity,['Susan Hill'],en,['Fiction'],,NOT_MATURE,Random House,25/10/2012,368
463,"The Chapter Leader's Guide to Life Safety, Third Edition",['Brad Keyes'],en,,,NOT_MATURE,,2017-09,150
464,Cumulated Index Medicus,,en,['Medicine'],,NOT_MATURE,,1972,
465,"Business Law, Principles and Practices","['Arnold J. Goldman', 'William D. Sigismond']",en,['Business law'],,NOT_MATURE,Houghton Mifflin School,1982,598
466,Technical Digest,,en,['Industrial engineering'],,NOT_MATURE,,1983,
467,Chameleon Christianity,['Dick Keyes'],en,['Religion'],,NOT_MATURE,Destinee S.A.,01/11/2014,98
468,Sammy Keyes and the Kiss Goodbye,['Wendelin Van Draanen'],en,['Juvenile Fiction'],5,NOT_MATURE,Knopf Books for Young Readers,09/09/2014,240
469,Stolen Away,['Michael Newton'],en,['True Crime'],,NOT_MATURE,Simon and Schuster,2000,402
470,"Billy Wilder, Movie-Maker",['Karen McNally'],en,['Performing Arts'],,NOT_MATURE,McFarland,10/01/2014,254
471,The Astrology of Film,"['Bill Streett', 'Jeffrey Kishner']",en,['Biography & Autobiography'],,NOT_MATURE,iUniverse,2004,218
472,"Soulsville, U.S.A.: The Story of Stax Records",['Rob Bowman'],en,['Music'],,NOT_MATURE,Omnibus Press,01/08/2011,416
473,Three Classic Thrillers 3-Book Bundle,['John Grisham'],en,['Fiction'],5,NOT_MATURE,Dell,19/12/2011,1744
474,West's Southern Reporter,,en,"['Law reports, digests, etc']",,NOT_MATURE,,1999,
475,American Movie Critics,['Phillip Lopate'],en,['Performing Arts'],5,NOT_MATURE,,2006,720
476,Sammy Keyes and the Kiss Goodbye,['Wendelin Van Draanen'],en,['Juvenile Fiction'],5,NOT_MATURE,Knopf Books for Young Readers,09/09/2014,240
477,"Fisher, Churchill and the Dardanelles",['Geoffrey Penn'],en,['Biography & Autobiography'],,NOT_MATURE,Leo Cooper Books,1999,280
478,"Self-government, the American Theme",['Will Morrisey'],en,['History'],,NOT_MATURE,,2004,279
479,Literary Readings of Billy Wilder,['Georges-Claude Guilbert'],en,['Performing Arts'],,NOT_MATURE,Cambridge Scholars Publishing,26/03/2009,215
480,Love Inspired Suspense December 2014 - Box Set 1 of 2,"['Shirlee McCoy', 'Sharon Dunn', 'Alison Stone']",en,['Fiction'],,NOT_MATURE,Harlequin,01/12/2014,224
481,L.A. Rex,['Will Beall'],en,['Fiction'],,NOT_MATURE,Penguin,04/09/2007,400
482,Cold Case Justice,['Sharon Dunn'],en,['Fiction'],,NOT_MATURE,Harlequin,02/12/2014,224
483,Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4,NOT_MATURE,Yearling,16/01/2009,304
484,Sammy Keyes and the Wedding Crasher,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4,NOT_MATURE,"Random House Digital, Inc.",2011,296
485,Catwoman (2011-) #27,['Ann Nocenti'],en,['Comics & Graphic Novels'],,NOT_MATURE,DC,,
486,Sammy Keyes and the Night of Skulls,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3,NOT_MATURE,Knopf Books for Young Readers,11/10/2011,320
487,Sammy Keyes and the Search for Snake Eyes,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.5,NOT_MATURE,Yearling Books,2003,277
488,Southern California Quarterly,,en,"['California, Southern']",,NOT_MATURE,,2004,
489,Mastering Windows XP Home Edition,['Hart-Davis'],en,['Computers'],,NOT_MATURE,John Wiley & Sons,20/02/2006,1009
490,Special Edition Using Filemaker 8,"['Steve Lane', 'Scott Love', 'Bob Bowers']",en,['Computers'],4,NOT_MATURE,Que Publishing,2006,890
491,Rehab Brief,,en,['Rehabilitation'],,NOT_MATURE,,1982,
492,Knowledge-Based Intelligent Information and Engineering Systems,['Bruno Apolloni'],en,['Computers'],,NOT_MATURE,Springer,12/09/2007,882
493,Alan Simpson's Windows Vista Bible,"['Alan Simpson', 'Bradley L. Jones']",en,['Computers'],,NOT_MATURE,John Wiley & Sons,10/07/2007,860
494,How to Do Everything with Windows Vista,['Curt Simmons'],en,['Computers'],,NOT_MATURE,McGraw Hill Professional,08/01/2007,384
495,"MICROPROCESSORS, PC HARDWARE AND INTERFACING",['N. MATHIVANAN'],en,['Computers'],4,NOT_MATURE,PHI Learning Pvt. Ltd.,01/01/2003,340
496,"Activity Catalog Tool (ACT) User Manual, Version 2.0",,en,,,NOT_MATURE,,1994,25
497,Advances in Information Technology Research and Application: 2013 Edition,,en,['Computers'],,NOT_MATURE,ScholarlyEditions,21/06/2013,1052
498,Asset Protection through Security Awareness,['Tyler Justin Speed'],en,['Business & Economics'],,NOT_MATURE,CRC Press,19/04/2016,337
499,الإسلام الديمقراطي المدني,['شيريل بينارد'],ar,,,NOT_MATURE,تنوير للنشر والإعلام,15/12/2013,134
500,"Al-Muhit-English-Arabic Oxford Study Dictionary, Dr. Mohamad Badawi, 1996",['Academia Internatinal Publication'],ar,['Reference'],,NOT_MATURE,Bukupedia ,16/07/1996,1249
501,"Oxford English-Arabic Dictionary, Al-Muhit, 1996",['Dr. Mohamad Badawi'],ar,['Reference'],,NOT_MATURE,Bukupedia ,06/06/1996,1249
502,Senouhi Cumulative Book Index for Egyptian Region UAR,,en,,,NOT_MATURE,,1956,
503,رؤيتي,,ar,['Dubayy (United Arab Emirates : Emirate)'],5,NOT_MATURE,,2006,223
504,Iraqi Constitutional Studies,['DePaul University. International Human Rights Law Institute'],en,['Civil rights'],,NOT_MATURE,,2005,524
505,الحب والجمال عند العرب,['أحمد تيمور باشا'],ar,['Literary Criticism'],,NOT_MATURE,Al Manhal,01/01/2015,203
506,اللؤلؤة,['جون شتاينبك'],ar,['Fiction'],,NOT_MATURE,ktab INC.,06/12/2018,104
507,Mudhakarat talib,['Jeff Kinney'],en,['Diaries'],5,NOT_MATURE,,2011,224
508,الطائفة، الطائفية، الطوائف المتخيلة,['عزمي بشارة'],ar,['Religion'],,NOT_MATURE,المركز العربي للأبحاث ودراسة السياسات,01/01/2018,927
509,وحوش من الماضي,['ميشيل حنا'],ar,,,NOT_MATURE,Oxygen Books,31/01/2012,174
510,Iraqi Constitutional Studies,['DePaul University. International Human Rights Law Institute'],en,['Civil rights'],,NOT_MATURE,,2005,524
511,الطائفة، الطائفية، الطوائف المتخيلة,['عزمي بشارة'],ar,['Religion'],,NOT_MATURE,المركز العربي للأبحاث ودراسة السياسات,01/01/2018,927
512,رسائل فلسفية,['فولتير'],ar,['Philosophy'],,NOT_MATURE,ktab INC.,,194
513,موسوعة تاريخ الأديان,['فراس السواح'],ar,['Religion'],,NOT_MATURE,Al Manhal,01/01/2017,330
514,مصادر تطوير تعليم الرياضيات,['ميرفت محمود محمد'],ar,['Education'],,NOT_MATURE,Al Manhal,01/01/2015,231
515,أضواء على الطرق الصوفية في القارة الأفريقية,,ar,['Africa'],,NOT_MATURE,,1990,180
516,Khor Rori (Sumhuram),,en,,,NOT_MATURE,,05/05/2009,66
517,قضية الشعر الجاهلى فى كتاب ابن سلام,['Maḥmūd Muḥammad Shākir'],ar,['Literary Criticism'],,NOT_MATURE,,1997,131
518,الجمع والتصنيف لمقاصد الشرع الحنيف,,ar,['Maqāṣid (Islamic law)'],,NOT_MATURE,,2016,276
519,عصر القرود,['مصطفى محمود'],ar,['Religion'],,NOT_MATURE,ktab INC.,,90
520,Iraqi Constitutional Studies,['DePaul University. International Human Rights Law Institute'],en,['Civil rights'],,NOT_MATURE,,2005,524
521,رواية : البحث عن الجذور,['مؤمنة أبو صالح'],ar,['Fiction'],,NOT_MATURE,العبيكان للنشر,17/10/2006,126
522,سيره امين المؤمنين عمر بن الخطاب شخصيته وعصره,['صلابي، علي محمد محمد،'],ar,['Caliphs'],,NOT_MATURE,,2005,583
523,من جماليات التصوير في القرآن الكريم,['محمد قطب عبد العال'],ar,['RELIGION'],,NOT_MATURE,وكالة الصحافة العربية,01/12/2018,135
524,موسوعة تاريخ الأديان,['فراس السواح'],ar,['Religion'],,NOT_MATURE,Al Manhal,01/01/2017,330
525,الطائفة، الطائفية، الطوائف المتخيلة,['عزمي بشارة'],ar,['Religion'],,NOT_MATURE,المركز العربي للأبحاث ودراسة السياسات,01/01/2018,927
526,الاستبداد من الخلافة للرئاسة,['عبد العزيز، محسن'],ar,['History'],,NOT_MATURE,,2007,286
527,"Finance and Development, December 2013",['International Monetary Fund. External Relations Dept.'],en,['Business & Economics'],,NOT_MATURE,International Monetary Fund,03/01/2014,60
528,الله والإنسان في القرآن: علم دلالة الرؤية القرآنية للعالم,,ar,['God (Islam)'],,NOT_MATURE,,2007,406
529,The Minds of Billy Milligan,['Daniel Keyes'],en,['Psychology'],5,NOT_MATURE,Bantam,1995,426
530,أساسيات تصميم المنطق والحاسب,,ar,,,NOT_MATURE,KSUP,,
531,يوميات آن فرانك,,en,,,NOT_MATURE,,2009,
532,The Red Badge of Courage (Arabic Edition),['Stephen Crane'],en,,,NOT_MATURE,Createspace Independent Publishing Platform,30/05/2016,134
533,Stand By Me,"[""Sheila O'Flanagan""]",en,['Fiction'],4.5,NOT_MATURE,Hachette UK,09/02/2010,496
534,خمسة عقول لأجل المستقبل,['Howard Gardner'],ar,['Philosophy'],,NOT_MATURE,العبيكان للنشر,01/01/2008,257
535,نقطة التحول,['مالكولم غلادويل'],ar,,,NOT_MATURE,,2006,240
536,You Can Heal Your Life,['Louise L. Hay'],en,['Health & Fitness'],4.5,NOT_MATURE,ReadHowYouWant.com,2009-12,346
537,The E-Myth Revisited (Limadha tafshal mu’dham al-sharikat al-saghira?),['Michael E. Gerber'],en,['Business & Economics'],,NOT_MATURE,Bloomsbury Qatar Foundation Publishing,07/04/2016,268
538,ʻĀʼid ilá Ḥayfā,['Ghassān Kanafānī'],en,,,NOT_MATURE,,2004,76
539,قواعد اللغة الإنكليزية,['محمد أحمد'],ar,['Foreign Language Study'],,NOT_MATURE,Al Manhal,01/01/2011,400
540,‏لغة العربية للشئون التجارية : المرحلة المتقدمة,['Raji M. Rammuny'],ar,['Business & Economics'],,NOT_MATURE,University of Michigan Press,2000,392
541,اللغة العربية للمراحل المتقدمة من خلال نصوص ومواد سمعية بصرية أصيلة,['Raji M. Rammuny'],ar,['Foreign Language Study'],,NOT_MATURE,University of Michigan Press,1994,344
542,"Al-Muhit-English-Arabic Oxford Study Dictionary, Dr. Mohamad Badawi, 1996",['Academia Internatinal Publication'],ar,['Reference'],,NOT_MATURE,Bukupedia ,16/07/1996,1249
543,"Oxford English-Arabic Dictionary, Al-Muhit, 1996",['Dr. Mohamad Badawi'],ar,['Reference'],,NOT_MATURE,Bukupedia ,06/06/1996,1249
544,دائرة المعارف,['Fuʼād Afrām Bustānī'],ar,"['Encyclopedias and dictionaries, Arabic']",,NOT_MATURE,,1977,
545,al-Thaqāfah,,ar,['Arabic literature'],,NOT_MATURE,,1981,
546,الإسلام الديمقراطي المدني,['شيريل بينارد'],ar,,,NOT_MATURE,تنوير للنشر والإعلام,15/12/2013,134
547,رؤيتي,,ar,['Dubayy (United Arab Emirates : Emirate)'],5,NOT_MATURE,,2006,223
548,Senouhi Cumulative Book Index for Egyptian Region UAR,,en,,,NOT_MATURE,,1956,
549,Happiness Key,['Emilie Richards'],en,['Fiction'],4,NOT_MATURE,MIRA,01/06/2010,400
550,Three Prescriptions for Happiness,"['Ken Keyes, Jr.']",en,['Self-Help'],5,NOT_MATURE,Axios Press,01/07/2010,126
551,Handbook of Research Methods and Applications in Happiness and Quality of Life,"['Luigino Bruni', 'Pier Luigi Porta']",en,['Business & Economics'],,NOT_MATURE,Edward Elgar Publishing,29/04/2016,552
552,Hypnofacts 7,['Trevor Eddolls'],en,,,NOT_MATURE,Lulu.com,,
553,Discovering the Secrets of Happiness,['Ken Keyes'],en,['Psychology'],,NOT_MATURE,,1989,231
554,The Routledge Handbook of Positive Communication,"['José Antonio Muñiz Velázquez', 'Cristina M. Pulido']",en,['Language Arts & Disciplines'],,NOT_MATURE,Routledge,17/12/2018,410
555,"How to make your life work, or, Why aren't you happy?","['Ken Keyes', 'Tolly Burkan']",en,['Self-Help'],,NOT_MATURE,,1980,190
556,Presidential Follies,,en,['Presidential candidates'],,NOT_MATURE,Boru Books,1995,249
557,Person to Person,['Sharon L. Hanna'],en,['Psychology'],,NOT_MATURE,,01/07/2002,452
558,Small Press Record of Books in Print,['Len Fulton'],en,['Books'],,NOT_MATURE,,1994,
559,The Internal Revenue Record and Customs Journal,,en,['Customs administration'],,NOT_MATURE,,1884,
560,"The Tryals of Robert Charnock, Edward King, and Thomas Keyes, Etc",,en,,,NOT_MATURE,,1696,
561,"The Tryals and Condemnation of Robert Charnock, Edward King, and Thomas Keyes, for the Horrid and Execrable Conspiracy to Assassinate His Sacred Majesty, King William, in Order to a French Invasion of this Kingdom ... Together with a True Copy of the Papers Delivered Them to the Sheriffs of London and Middlesex at the Time of Their Execution",,en,,,NOT_MATURE,,1696,76
562,"Hearing on H.R. 1231, the Davis-Bacon Reform Bill of 1993","['United States', 'United States. Congress. House. Committee on Education and Labor. Subcommittee on Labor Standards, Occupational Health, and Safety']",en,['Digital images'],,NOT_MATURE,,1993,143
563,Naval War College Review,['Naval War College (U.S.)'],en,['International relations'],,NOT_MATURE,,1982,
564,The life of Elisha Williams Keyes,['Richard Watson Hantke'],en,['Biography & Autobiography'],,NOT_MATURE,,1942,692
565,International Record of Medicine and General Practice Clinics,"['Edward Swift Dunster', 'Frank Pierce Foster', 'James Bradbridge Hunter', 'Charles Eucharist de Medicis Sajous', 'Gregory Stragnell', 'Henry J. Klaunberg', 'Félix Martí-Ibáñez']",en,['Medicine'],,NOT_MATURE,,1888,
566,The Mechanical Engineer's Pocket-book,['William Kent'],en,['Engineering'],,NOT_MATURE,,1895,1100
567,Carroll's State Directory,,en,['Government executives'],,NOT_MATURE,,2006,
568,Milton and This Pendant World,['George W. Whiting'],en,['Literary Criticism'],,NOT_MATURE,University of Texas Press,11/11/2014,282
569,General McClellan's Peninsula Campaign,['Hiram Ketchum'],en,['Campaign literature'],,NOT_MATURE,,1864,72
570,Journal,['Military Service Institution of the United States'],en,,,NOT_MATURE,,1884,
571,Journal of the Military Service Institution of the United States,['Military Service Institution of the United States'],en,['Military art and science'],,NOT_MATURE,,1884,
572,The Story of One Regiment in the War of the Rebellion,['Maine volunteer infantry. 11th regiment'],en,,,NOT_MATURE,,1896,
573,The War of the Rebellion,['United States. War Department'],en,['Confederate States of America'],,NOT_MATURE,,1884,
574,"Fifty Years' Observations of Men and Events, Civil and Military",['Erasmus Darwin Keyes'],en,"['Fair Oaks (Henrico County, Va.), Battle of, 1862']",,NOT_MATURE,,1884,515
575,"Fifty Years' Observation of Men and Events, Civil and Military",['Erasmus Darwin Keyes'],en,"['Pacific Coast Indians, Wars with, 1847-1865']",,NOT_MATURE,,1884,515
576,Report of Major-General B. McClellan,['George Brinton McClellan'],en,"['Maryland Campaign, 1862']",,NOT_MATURE,,1864,147
577,Reports of Committees,,en,['United States'],,NOT_MATURE,,1863,
578,All for the Union,['Elisha Hunt Rhodes'],en,['History'],4.5,NOT_MATURE,Vintage,17/11/2010,272
579,The Keyed Bugle,['Ralph Thomas Dudgeon'],en,['Music'],,NOT_MATURE,Scarecrow Press,2004,370
580,Network-Aware Security for Group Communications,"['Yan Sun', 'Wade Trappe', 'K. J. Ray Liu']",en,['Technology & Engineering'],,NOT_MATURE,Springer Science & Business Media,17/10/2007,304
581,Bluescreen Compositing,['John Jackman'],en,['Performing Arts'],,NOT_MATURE,Taylor & Francis,17/04/2007,248
582,"Advances in Computing and Communications, Part IV","['Ajith Abraham', 'Jaime Lloret Mauri', 'John Buford', 'Junichi Suzuki', 'Sabu M. Thampi']",en,['Computers'],,NOT_MATURE,Springer,06/07/2011,624
583,Basic Blueprint Reading and Sketching,"['Thomas P. Olivo', 'C. Thomas Olivo']",en,['Technology & Engineering'],,NOT_MATURE,Cengage Learning,2004,256
584,Basic TV Technology,['Robert L Hartwig'],en,['Performing Arts'],,NOT_MATURE,CRC Press,12/11/2012,208
585,Basic Radio,,en,['Electricity'],,NOT_MATURE,,1961,
586,InfoWorld,,en,,,NOT_MATURE,,16/02/1981,36
587,The Gamification of Work,['Emmanuelle Savignac'],en,['Business & Economics'],,NOT_MATURE,John Wiley & Sons,21/02/2017,198
588,NS Basic Programming for Palm OS,['Michael J. Verive'],en,['BASIC (Computer program language)'],,NOT_MATURE,,2002,317
589,"Commerce, Justice, Science, and Related Agencies Appropriations for 2014","['United States. Congress. House. Committee on Appropriations. Subcommittee on Commerce, Justice, Science, and Related Agencies']",en,['Administrative agencies'],,NOT_MATURE,,2013,
590,The Iron Age,,en,['Hardware'],,NOT_MATURE,,1890,
591,Chilton Automobile Directory,,en,['Automobiles'],,NOT_MATURE,,1919-10,
592,American Machinist,,en,['Mechanical engineering'],,NOT_MATURE,,1925-02,
593,Directory of Environmental Life Scientists: Ohio River Valley region,['Institute of Ecology'],en,['Biologists'],,NOT_MATURE,,1974,
594,Thomas Register of American Manufacturers,,en,['Manufactures'],,NOT_MATURE,,2002,
595,The Eclectic Library Catalog,,en,['American periodicals'],,NOT_MATURE,,1910,
596,Current Policies and Practices in European Social Anthropology Education,"['Drackle Dorle', 'Dorle Dracklé', 'Iain R. Edgar', 'Thomas K. Schippers']",en,['Education'],,NOT_MATURE,Berghahn Books,2004,260
597,Human Development in the Indian Context,['Margaret Khalakdina'],en,['Business & Economics'],,NOT_MATURE,SAGE Publications India,01/10/2008,392
598,Key Debates in Anthropology,['Tim Ingold'],en,['Social Science'],,NOT_MATURE,Routledge,16/12/2003,320
599,Social Adaptation to Food Stress,['Paul E. Minnis'],en,['Social Science'],,NOT_MATURE,University of Chicago Press,01/04/1985,239
600,Karma,"['Charles F. Keyes', 'E. Valentine Daniel']",en,['Religion'],,NOT_MATURE,Univ of California Press,01/01/1983,313
601,Anthropological Practice,['Judith Okely'],en,['Social Science'],,NOT_MATURE,Berg,12/09/2013,224
602,"Cultural Differences, the Nation State, and Rethinking Ethnicity Theory",['Charles F. Keyes'],en,['Indigenous peoples'],,NOT_MATURE,,2001,31
603,Current Policies and Practices in European Social Anthropology Education,['Drackle Edgar'],en,['Education'],2,NOT_MATURE,Berghahn Books,2004,256
604,Applications of Anthropology,['Sarah Pink'],en,['Social Science'],,NOT_MATURE,Berghahn Books,01/12/2005,256
605,Southeast Asian Research Tools: Thailand,['University of Hawaii at Manoa. Southeast Asian Studies Program'],en,['Reference books'],5,NOT_MATURE,,1979,
606,NASA technical note,,en,['Aeronautics'],,NOT_MATURE,,1961,
607,Technology Review,,en,['Technology'],,NOT_MATURE,,2005,
608,"Adams' New Musical Dictionary of Fifteen Thousand Technical Words, Phrases, Abbreviations, Initials, and Signs Employed in Musical and Rhythmical Art and Science, in Nearly Fifty Ancient and Modern Languages",['John Stowell Adams'],en,['Music'],,NOT_MATURE,,1865,271
609,Technical Research Note,['United States. Dept. of the Army'],en,['Military research'],,NOT_MATURE,,1958,
610,Refrigeration Engineering,,en,,,NOT_MATURE,,1924,
611,Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4,NOT_MATURE,Yearling,16/01/2009,304
612,AB Bookman's Weekly,,en,['Antiquarian booksellers'],,NOT_MATURE,,1996,
613,Sammy Keyes and the Search for Snake Eyes,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.5,NOT_MATURE,Yearling,24/12/2008,320
614,ACSA Annual Directory,['Association of Collegiate Schools of Architecture'],en,['Architecture'],,NOT_MATURE,,1991,
615,The Play of Daniel Keyes' Flowers for Algernon,"['Bert Coules', 'Daniel Keyes']",en,['English drama'],4.5,NOT_MATURE,Heinemann,1993,128
616,The Southern Frontier 1670-1732,['Verner Crane'],en,['History'],,NOT_MATURE,University of Alabama Press,1928,391
617,Spanish Peaks Wilderness Area,['United States. Congress. Senate. Committee on Interior and Insular Affairs. Subcommittee on Public Lands'],en,['Spanish Peaks Wilderness (Colo.)'],,NOT_MATURE,,1972,156
618,Spanish Peaks Wilderness Area,['United States. Congress. Senate. Interior and Insular Affairs'],en,,,NOT_MATURE,,1972,156
619,Journal of the Iowa Archeological Society,['Iowa Archeological Society'],en,['Indians of North America'],,NOT_MATURE,,1988,
620,School Achievement and Failure in Portuguese and Spanish Speaking Countries,"['Edgar Galindo', 'Adelinda  A. Candeias', 'Heldemerina S. Pires', 'Miguel Ángel Carbonero']",en,,,NOT_MATURE,Frontiers Media SA,31/08/2018,
621,World war in Spain,['Arthur Frederic Loveday'],en,['History'],,NOT_MATURE,,1939,206
622,"The Southern Frontier, 1670-1732",['Verner Winslow Crane'],en,['British'],,NOT_MATURE,,1929,389
623,"A Dictionarie in Spanish and English, first published ... by R. Percivale ... Now enlarged ... by J. Minsheu ... Hereunto ... is annexed an ample English Dictionarie, ... with the Spanish words ... adjoyned, etc. L.P.",['Richard PERCYVALL'],en,,,NOT_MATURE,,1623,
624,The Booklist,,en,['Books'],,NOT_MATURE,,1960,
625,Rhode Island Historical Society Collections,,en,['Local history'],,NOT_MATURE,,1902,
626,Biographical Memoirs,"['National Academy of Sciences', 'Office of the Home Secretary']",en,['Biography & Autobiography'],,NOT_MATURE,National Academies Press,01/07/1998,388
627,Journal of the Executive Proceedings of the Senate of the United States of America,['United States. Congress. Senate'],en,['Legislative journals'],,NOT_MATURE,,1931,
628,Journal of the Executive Proceedings of the Senate,['United States. Congress. Senate'],en,['Legislation'],,NOT_MATURE,,1961,
629,Who Owns Whom,,en,['Corporations'],,NOT_MATURE,,1999,
630,Journal of the Executive Proceedings of the Senate of the United States of America,['United States. Congress. Senate'],en,['Legislative journals'],,NOT_MATURE,,,
631,All this is Louisiana,['Frances Parkinson Keyes'],en,['Louisiana'],,NOT_MATURE,,1950,317
632,Southern Writers,"['Joseph M. Flora', 'Amber Vogel']",en,['Reference'],,NOT_MATURE,LSU Press,21/06/2006,504
633,The Chess Players,['Frances Parkinson Keyes'],en,,4,NOT_MATURE,Ishi Press,25/01/2015,544
634,The Career of David Noble,['Frances Parkinson Keyes'],en,['Fiction in English'],,NOT_MATURE,,1921,301
635,Joy Street,['Frances Parkinson Keyes'],en,,,NOT_MATURE,,2013-10,510
636,Apple parers,['Don Thornton'],en,['Antiques & Collectibles'],,NOT_MATURE,Thornton House Pub & Graphics,1997-08,239
637,Holstein-Friesian Herd-book,['Holstein-Friesian Association of America'],en,['Cattle'],,NOT_MATURE,,1959,
638,The Canadian Record of Performance for Purebred Dairy Cattle,['Canada. Dept. of Agriculture. Production Service'],en,['Cattle'],,NOT_MATURE,,1947,
639,"Holstein-Friesian Herd-book, Containing a Record of All Holstein-Friesian Cattle ...",['Holstein-Friesian Association of America'],en,['Cattle'],,NOT_MATURE,,1959,
640,Holstein-Friesian Herd Book,['Holstein-Friesian Association of Canada'],en,['Cattle'],,NOT_MATURE,,1956,
641,InfoWorld,,en,,,NOT_MATURE,,17/10/1988,106
642,The Azusa Street Mission and Revival,['Cecil M. Robeck'],en,['History'],4,NOT_MATURE,Thomas Nelson,04/03/2006,354
643,InfoWorld,,en,,,NOT_MATURE,,10/02/1986,60
644,Sammy Keyes and the Search for Snake Eyes,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.5,NOT_MATURE,Yearling,24/12/2008,320
645,Apple TV Portable Genius,['Guy Hart-Davis'],en,['Computers'],,NOT_MATURE,John Wiley & Sons,17/12/2012,288
646,AFPTRC-TN.,,en,,,NOT_MATURE,,195?,
647,AFPTRC-TN.,,en,,,NOT_MATURE,,1955,
648,Advances in Cryptology – EUROCRYPT 2001,['Birgit Pfitzmann'],en,['Computers'],,NOT_MATURE,Springer,29/06/2003,544
649,Manuals Combined: U.S. Army Special Forces And Navy Operational Obstetrics & Gynecology With Physical Exam Techniques,,en,,,NOT_MATURE,Jeffrey Frank Jones,,4299
650,AFHRL-TR.,['Air Force Human Resources Laboratory'],en,"['Aeronautics, Military']",,NOT_MATURE,,1968,
651,"Huffed Masculinity. The Female Threat in Cain's ""Double Indemnity""",['Stephan Riedl'],en,['Literary Criticism'],,NOT_MATURE,GRIN Verlag,23/05/2017,17
652,Teaching Students with Mental Retardation,['Deanna J. Sands'],en,['Education'],,NOT_MATURE,Paul H Brookes Publishing Company,2002,308
653,Bibliographic Guide to Dance,,en,['Dance'],,NOT_MATURE,G K Hall,1992,
654,Human Motivation and Interpersonal Relationships,['Netta Weinstein'],en,['Psychology'],,NOT_MATURE,Springer Science & Business Media,08/07/2014,360
