id,compound_id,species_text,species_accession,component_text,component_accession,strain_text,source_type,source_accession,comments
16043,90016,Homo sapiens,NCBI:txid9606,saliva,UBERON:0001836,,PubMed Id,24421258,
16044,90017,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16045,90018,Homo sapiens,NCBI:txid9606,saliva,UBERON:0001836,,PubMed Id,24421258,
16047,90019,Homo sapiens,NCBI:txid9606,saliva,UBERON:0001836,,PubMed Id,24421258,
16051,90020,Homo sapiens,NCBI:txid9606,saliva,UBERON:0001836,,PubMed Id,24421258,
16052,90020,Homo sapiens,NCBI:txid9606,faeces,UBERON:0001988,,PubMed Id,17314143,
16053,90021,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16061,90022,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,8330610,
16065,3899,Homo sapiens,NCBI:txid9606,urine,BTO:0001419,,PubMed Id,11085621,
16066,90023,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16067,90024,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16069,90025,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16070,90026,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16076,55501,Homo sapiens,NCBI:txid9606,urine,BTO:0001419,,PubMed Id,19812218,
16077,55501,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,19812218,
16078,55501,Homo sapiens,NCBI:txid9606,saliva,UBERON:0001836,,PubMed Id,21190195,
16079,90027,Homo sapiens,NCBI:txid9606,saliva,UBERON:0001836,,PubMed Id,24421258,
16080,90028,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16081,90029,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16083,90030,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16088,90031,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,12391605,
16089,90031,Homo sapiens,NCBI:txid9606,cerebrospinal fluid,UBERON:0001359,,PubMed Id,12391605,
16090,90032,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16091,90033,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16098,90034,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16099,90035,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16100,90036,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16101,90037,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16109,90039,Homo sapiens,NCBI:txid9606,blood serum,BTO:0000133,,PubMed Id,6401750,
16112,90040,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16114,90041,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16126,90042,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16127,90043,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16129,90044,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16130,90045,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16144,34350,Homo sapiens,NCBI:txid9606,urine,BTO:0001419,,PubMed Id,11085621,
16147,90046,Homo sapiens,NCBI:txid9606,faeces,UBERON:0001988,,PubMed Id,24029555,
16149,90047,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16150,5993,Homo sapiens,NCBI:txid9606,saliva,UBERON:0001836,,PubMed Id,24421258,
16151,90048,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16152,90049,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16154,90050,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16155,90051,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16157,90052,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16160,90053,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16161,90054,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16164,90055,Homo sapiens,NCBI:txid9606,urine,BTO:0001419,,PubMed Id,4030756,
16165,90055,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,4030756,
16167,90056,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,22626821,
16171,90057,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16174,90058,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16176,90059,Homo sapiens,NCBI:txid9606,saliva,UBERON:0001836,,PubMed Id,24421258,
16177,90060,Homo sapiens,NCBI:txid9606,saliva,UBERON:0001836,,PubMed Id,24421258,
16179,90061,Homo sapiens,NCBI:txid9606,saliva,UBERON:0001836,,PubMed Id,24421258,
16180,90062,Homo sapiens,NCBI:txid9606,saliva,UBERON:0001836,,PubMed Id,24421258,
16182,90063,Homo sapiens,NCBI:txid9606,saliva,UBERON:0001836,,PubMed Id,24421258,
16183,90064,Homo sapiens,NCBI:txid9606,saliva,UBERON:0001836,,PubMed Id,24421258,
16187,90066,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16190,90067,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16191,90068,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16192,90069,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16193,90070,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16194,90071,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16195,90072,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16196,90073,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,20671299,
16200,90074,Homo sapiens,NCBI:txid9606,urine,BTO:0001419,,PubMed Id,19812218,
16201,90074,Homo sapiens,NCBI:txid9606,blood,UBERON:0000178,,PubMed Id,19812218,
16202,87980,Mycobacterium tuberculosis H37Ra,NCBI:txid419947,,,H37Ra,PubMed Id,97292,
16203,90084,Mycobacterium tuberculosis H37Ra,NCBI:txid419947,,,H37Ra,PubMed Id,97292,
16204,87987,Mycobacterium tuberculosis H37Ra,NCBI:txid419947,,,H37Ra,PubMed Id,12055308,
16205,90087,Mycobacterium tuberculosis H37Ra,NCBI:txid419947,,,H37Ra,PubMed Id,12055308,
16206,90088,Mycobacterium tuberculosis H37Ra,NCBI:txid419947,,,H37Ra,PubMed Id,12055308,
16207,87991,Mycobacterium tuberculosis H37Ra,NCBI:txid419947,,,H37Ra,PubMed Id,12055308,
16208,90089,Mycobacterium tuberculosis H37Ra,NCBI:txid419947,,,H37Ra,PubMed Id,12055308,
16209,90095,Pseudomonas putida,NCBI:txid303,,,SQ1,PubMed Id,26195800,
16210,17826,Homo sapiens,NCBI:txid9606,,,,PubMed Id,10698679,
16211,90104,Pseudomonas putida,NCBI:txid303,,,SQ1,PubMed Id,26195800,
16212,88298,Preussia minima,NCBI:txid93984,,,15604,PubMed Id,15217189,
16213,51686,Haematoxylum campechianum,NCBI:txid321551,,,,PubMed Id,12751322,
16214,90127,Scytonema sp.,NCBI:txid1542952,,,R77DM,PubMed Id,25226055,
16215,90127,Lyngbya,NCBI:txid28073,,,CU2555,PubMed Id,24111939,
16216,90152,Homo sapiens,NCBI:txid9606,,,,PubMed Id,20953171,
16217,90152,Rattus norvegicus,NCBI:txid10116,,,,PubMed Id,24085302,
16218,90159,Homo sapiens,NCBI:txid9606,,,,PubMed Id,18062565,
16219,90194,Dactylopius coccus,NCBI:txid765876,,,,PubMed Id,24267092,
16220,90235,Pseudomonas,NCBI:txid286,,,,Article,"Y. Masuoka, A. Nagai, K. Shin-ya, K. Furihata, K. Nagai, K. Suzuki, Y. Hayakawa, H. Seto, Tetrahedron Lett. 2001 , 42 , 41?44",isolated from culture broth
16221,90236,Rattus norvegicus,NCBI:txid10116,,,,PubMed Id,9606952,
16222,90236,Arabidopsis thaliana,NCBI:txid3702,,,,PubMed Id,21395888,
16223,90154,Homo sapiens,NCBI:txid9606,,,,PubMed Id,6510415,
16224,90155,Homo sapiens,NCBI:txid9606,,,,PubMed Id,6510415,
16225,90325,Mycobacterium tuberculosis,NCBI:txid1773,,,,PubMed Id,26466957,
16226,90345,Mycobacterium tuberculosis,NCBI:txid1773,,,,PubMed Id,26466957,
16227,90348,Mycobacterium tuberculosis,NCBI:txid1773,,,,PubMed Id,26466957,
16228,90362,Homo sapiens,NCBI:txid9606,,,,PubMed Id,7698750,
16229,90366,Mycobacterium tuberculosis,NCBI:txid1773,,,,PubMed Id,26466957,
16230,90367,Mycobacterium tuberculosis,NCBI:txid1773,,,,PubMed Id,26466957,
16231,90230,Homo sapiens,NCBI:txid9606,,,,PubMed Id,21049984,
16232,90233,Homo sapiens,NCBI:txid9606,,,,PubMed Id,21049984,
16233,90396,Dictyostelium,NCBI:txid5782,,,,PubMed Id,9446571,
16234,64598,Dictyostelium,NCBI:txid5782,,,,PubMed Id,9446571,
16235,90525,Staphylococcus aureus,NCBI:txid1280,,,,PubMed Id,26536114,
16236,472805,Strophanthus gratus,NCBI:txid141614,,,,PubMed Id,14311759,
16237,90630,Conus geographus,NCBI:txid6491,,,,PubMed Id,7925595,
16238,90776,Homo sapiens,NCBI:txid9606,,,,PubMed Id,23945567,
16239,90833,Homo sapiens,NCBI:txid9606,,,,PubMed Id,8615788,
16240,4553,Anthriscus sylvestris,NCBI:txid48027,,,,PubMed Id,12956064,
16241,4553,Austrocedrus chilensis,NCBI:txid103964,,,,PubMed Id,25420758,
16242,4553,Chamaecyparis obtusa,NCBI:txid13415,,,,PubMed Id,16540181,
16243,90896,Syringa pinnatifolia,NCBI:txid149022,,,var. alashanensis,PubMed Id,25769897,
16244,90896,Bupleurum salicifolium,NCBI:txid199751,,,,PubMed Id,7964800,
16245,4429,Anthriscus sylvestris,NCBI:txid48027,,,,PubMed Id,25608854,
16246,4429,Dysosma versipellis,NCBI:txid93611,,,,PubMed Id,25712646,
16247,4429,Juniperus communis,NCBI:txid58039,,,,PubMed Id,24913660,
16248,1729,Dysosma versipellis,NCBI:txid93611,root,BTO:0001188,,PubMed Id,17256902,
16249,1729,Polygala macradenia,NCBI:txid174543,,,,PubMed Id,853371,
16250,90888,Stigmatella aurantiaca Sg a15,NCBI:txid675526,,,Sg a15,PubMed Id,3106289,
16251,90924,Stigmatella aurantiaca Sg a15,NCBI:txid675526,,,Sg a15,PubMed Id,18989924,
16252,90924,Stigmatella aurantiaca,NCBI:txid41,,,MYX-030,PubMed Id,24367422,
16253,90893,Bursera simaruba,NCBI:txid80326,bark,BTO:0001301,,PubMed Id,19329133,
16254,90893,Stellera chamaejasme,NCBI:txid142738,root,BTO:0001188,,Article,"Zhong cao yao = Chinese traditional and herbal drugs 2004, 35, 12-14",
16255,90893,Bupleurum salicifolium,NCBI:txid199751,,,,PubMed Id,24242108,
16256,90893,Anthriscus sylvestris,NCBI:txid48027,root,BTO:0001188,,PubMed Id,10230514,
16257,90893,Hernandia nymphaeifolia,NCBI:txid121082,,,,PubMed Id,14987061,
16258,90976,Homo sapiens,NCBI:txid9606,,,,PubMed Id,15364545,
16259,90978,Homo sapiens,NCBI:txid9606,,,,PubMed Id,15364545,
16260,90979,Homo sapiens,NCBI:txid9606,,,,PubMed Id,15364545,
16261,90982,Homo sapiens,NCBI:txid9606,,,,PubMed Id,15364545,
16262,90990,Homo sapiens,NCBI:txid9606,,,,PubMed Id,15364545,
16263,90995,Homo sapiens,NCBI:txid9606,,,,PubMed Id,22984144,
16264,90407,Mus musculus,NCBI:txid10090,,,,MetaboLights,MTBLS173,
16265,57349,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16266,29123,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16267,17482,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16268,28067,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16269,15354,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16270,58628,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16271,58367,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16272,52402,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16273,17588,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16274,28938,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16275,58369,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16276,16905,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16277,50606,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16278,58365,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16279,50611,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16280,58223,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16281,58228,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16282,26708,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16283,27689,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16284,17380,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16285,29919,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16286,58614,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16287,25646,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16288,58613,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16289,57356,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16290,58210,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16291,52960,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16292,16007,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16293,52961,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16294,52962,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16295,52615,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16296,15343,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16297,52965,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16298,28053,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16299,52966,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16300,17596,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16301,52968,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16302,29033,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16303,29032,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16304,50619,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16305,58354,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16306,58351,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16307,36242,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16308,49000,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16309,50626,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16310,27596,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16311,50622,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16312,58212,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16313,16004,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16314,58213,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16315,17295,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16316,62414,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16317,17460,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16318,16928,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16319,53005,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16320,53004,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16321,58101,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16322,15927,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16323,58380,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16324,28718,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16325,27380,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16326,27668,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16327,46970,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16328,28711,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16329,58207,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16330,57360,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16331,58201,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16332,17268,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16333,27466,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16334,456216,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16335,456215,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16336,17266,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16337,57379,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16338,15934,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16339,29159,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16340,29158,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16341,29157,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16342,29156,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16343,58478,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16344,29155,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16345,29154,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16346,29153,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16347,29152,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16348,40673,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16349,58085,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16350,15936,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16351,58370,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16352,43474,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16353,27868,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16354,58373,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16355,58374,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16356,50603,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16357,145989,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16358,58475,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16359,57375,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16360,128769,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16361,28726,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16362,58762,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16363,58121,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16364,57288,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16365,14649,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16366,15905,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16367,60471,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16368,58053,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16369,57483,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16370,58324,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16371,58057,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16372,57484,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16373,16643,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16374,16235,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16375,46398,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16376,60344,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16377,58467,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16378,58263,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16379,52381,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16380,58264,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16381,57387,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16382,52380,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16383,57589,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16384,52384,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16385,57384,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16386,52385,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16387,57385,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16388,52382,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16389,57386,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16390,52383,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16391,58462,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16392,52388,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16393,57586,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16394,52389,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16395,57381,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16396,52386,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16397,16236,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16398,17240,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16399,29959,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16400,58320,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16401,57286,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
16402,58126,Saccharomyces cerevisiae,NCBI:txid4932,,,,PubMed Id,24678285,Source: yeast.sf.net
