DIAMETER_MM;INSTALLATION_DATE;MATERIAL;Geom
150;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.02756322838826, 49.24251233185311], [-123.02754682054466, 49.24250557134848]]}"
300;1928-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16338031384167, 49.244935491364856], [-123.16338600352154, 49.24494428965669]]}"
300;1928-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16255588470469, 49.242363251020315], [-123.16255754715517, 49.24231722902156]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06350921640077, 49.27653757075593], [-123.06350884865469, 49.2765616780519]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06639849260262, 49.27659392055997], [-123.06737465746251, 49.27660359201713]]}"
150;1959-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0676102046065, 49.27644171202232], [-123.06760807136229, 49.27658086877371]]}"
150;1930-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06372627284739, 49.27656933018415], [-123.06374419218234, 49.27582673181219]]}"
150;1958-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06944833343213, 49.25771387636292], [-123.06919551429004, 49.2577115723602]]}"
200;2004-07-12;Ductile Iron Concrete Lined;"{""type"": ""LineString"", ""coordinates"": [[-123.07111485802544, 49.25429577771061], [-123.07103115334108, 49.25429441695328]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0683952778737, 49.27744367327175], [-123.06839416707035, 49.2775053718891]]}"
150;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05469063614073, 49.27744902956561], [-123.05469386516594, 49.27745977728047]]}"
150;1969-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19828805251713, 49.22827788839815], [-123.19828854126644, 49.228228413591275]]}"
100;1966-01-01;Asbestos Cement;"{""type"": ""LineString"", ""coordinates"": [[-123.20225306713373, 49.235590044867216], [-123.20223491257998, 49.235584679496576], [-123.2022168935617, 49.23557886412304], [-123.20219928554872, 49.23557277816963], [-123.20218195080648, 49.23556633192507], [-123.20216475233494, 49.23555961558175], [-123.20214796450215, 49.235552538707054], [-123.20213158727161, 49.235545092306005], [-123.20211534634909, 49.235537384801724], [-123.20209965380023, 49.23552940647814], [-123.20208423452338, 49.235521067864155], [-123.20206922625296, 49.235512458671494], [-123.20205449162172, 49.235503579140605], [-123.20204030499748, 49.23549433883915], [-123.20202652974669, 49.23548491791144], [-123.20201302813513, 49.235475226645875], [-123.20200007489734, 49.235465264562194], [-123.2019875330328, 49.23545512185262], [-123.20197553954183, 49.235444708325254], [-123.20196395705709, 49.2354340242204], [-123.20196232646161, 49.23540470253656], [-123.20196261863913, 49.23537528753853], [-123.20196497168652, 49.23534595888997], [-123.20196911086657, 49.235316717071086], [-123.20197517390959, 49.23528765179347], [-123.20198329817896, 49.235258762816585], [-123.20199320893795, 49.23523005062044], [-123.20200490728402, 49.23520178506033], [-123.2020186672136, 49.23517378575144], [-123.2020340773581, 49.23514623331759], [-123.20205141244773, 49.23511912727763], [-123.20207052174388, 49.23509255784692], [-123.20209129535144, 49.23506652521682], [-123.20211371989886, 49.23504111936245], [-123.20213793275043, 49.23501634004244], [-123.20216365953964, 49.234992277688434], [-123.20219103799838, 49.23496902201087], [-123.2022197933941, 49.234946573489566], [-123.20225020009052, 49.23492484169053], [-123.20228184709168, 49.234904097189876]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06370500812102, 49.27658293363325], [-123.0635085994451, 49.27658173744971]]}"
200;1966-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.20589736379851, 49.270138158813005], [-123.20590055716605, 49.270049982151384]]}"
200;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16303778189733, 49.24419035991538], [-123.16312571823251, 49.24419194487873]]}"
150;1969-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19844632164599, 49.227164011468865], [-123.1986363432922, 49.22711376113654]]}"
300;1966-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15437720556615, 49.21959518913253], [-123.15433532046917, 49.21959479533812]]}"
25;1991-01-01;Copper;"{""type"": ""LineString"", ""coordinates"": [[-123.20738145170705, 49.27010724174722], [-123.20737957639005, 49.27015177136384]]}"
50;1991-01-01;Copper;"{""type"": ""LineString"", ""coordinates"": [[-123.20739997272628, 49.269606607488434], [-123.20739866974905, 49.26962370071291]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05971842650577, 49.28652755710485], [-123.05971868153608, 49.286511005862856]]}"
150;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19367474924219, 49.23476203339454], [-123.1936769032749, 49.23466650015989]]}"
200;1954-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06762692789627, 49.207657669097046], [-123.06741463807363, 49.20759952169072]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05968760904166, 49.287414865380406], [-123.0596878166175, 49.2874045568116]]}"
150;1969-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16263293169652, 49.236443172710494], [-123.16262050488321, 49.236423850413345]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.04599048474226, 49.229879576633394], [-123.04598417289294, 49.22951645860323]]}"
40;1966-01-01;Copper;"{""type"": ""LineString"", ""coordinates"": [[-123.04162685105183, 49.22919715112567], [-123.04162673499349, 49.22920614642539]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15740371177326, 49.262975245639005], [-123.15670889433903, 49.26296404658663]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0683940007782, 49.277514367170426], [-123.06839400824101, 49.277519764275745]]}"
400;1965-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.06594267806885, 49.259602370343885], [-123.06601093322182, 49.2595648213382]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06850654092655, 49.22029872473763], [-123.06858550458954, 49.2202995774079]]}"
150;1949-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06852230613964, 49.219633344041846], [-123.06850751692767, 49.22022989233374]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06762444645459, 49.27568655789607], [-123.06762525465574, 49.275644190098134]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05671783721705, 49.28658781628606], [-123.05755651995314, 49.28658362362153]]}"
100;1966-01-01;Asbestos Cement;"{""type"": ""LineString"", ""coordinates"": [[-123.20667180114312, 49.23614309640482], [-123.20567661482215, 49.23681591850555]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06768036302344, 49.27201145989688], [-123.06769527649607, 49.27136704460194]]}"
250;;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.14911416596698, 49.23079729003634], [-123.14906677619543, 49.23079655061944]]}"
200;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15269444822621, 49.26637316295428], [-123.15125934447762, 49.26634997196863]]}"
150;1957-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15024595219818, 49.272596876787766], [-123.15024571760054, 49.27261468757728], [-123.15024537445642, 49.27264654900113], [-123.15024441754271, 49.272752432674395], [-123.15024365649074, 49.2728458577476], [-123.15024347422998, 49.272862795934515]]}"
150;1912-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15048458205965, 49.26717135517178], [-123.15048631733377, 49.26711369366216]]}"
150;1929-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.18190136715477, 49.23289255447554], [-123.18188882599823, 49.232892529246]]}"
150;1947-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.09104008117187, 49.26610885102003], [-123.09104044146378, 49.26609549286194]]}"
150;1969-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05977974265134, 49.28386634914171], [-123.05978073306048, 49.283798426079684]]}"
150;1986-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0597900566447, 49.283082711289744], [-123.05979044592623, 49.283063506391905]]}"
150;1908-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05979340619105, 49.28289623959753], [-123.05980542981871, 49.28205994296977]]}"
150;1956-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05643363961443, 49.24877575922197], [-123.05639296652241, 49.24877469965505]]}"
200;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06576788942343, 49.26502272960502], [-123.06567097225275, 49.2650219121963]]}"
150;1932-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14553590886494, 49.27056266903859], [-123.14557856761463, 49.26988166984354]]}"
150;1932-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14558352839856, 49.26965219608345], [-123.14560549035416, 49.2689920107522]]}"
150;1912-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15041658012831, 49.2688526378605], [-123.15044581022208, 49.26820359608347]]}"
150;1926-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15984245510487, 49.26481677879386], [-123.16002118116788, 49.2648211279527]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15094649024218, 49.258240308454766], [-123.15092587452465, 49.258239975578164]]}"
150;1927-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17212105431608, 49.263320219575235], [-123.17211919287185, 49.26337779169272]]}"
150;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14632112362625, 49.273926986500655], [-123.14632826368305, 49.27375675244507]]}"
450;1939-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.17764924730918, 49.25784816746935], [-123.17764920524256, 49.257836446763555]]}"
300;1928-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17878104533362, 49.25636172458248], [-123.17875667065974, 49.2563402007515]]}"
150;1947-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17619453633345, 49.25798395608031], [-123.17619507928363, 49.25797047141938]]}"
150;1947-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17619507928363, 49.25797047141938], [-123.17619145622172, 49.25791785491445]]}"
150;1960-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1676965670905, 49.255408291365924], [-123.16770377614526, 49.25470080663283]]}"
300;1932-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07142796466597, 49.236803553429425], [-123.07142178229152, 49.23680310748947]]}"
200;1930-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06617221257142, 49.20877386479778], [-123.06615963339603, 49.20952272088589]]}"
150;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1760932219735, 49.26338013284636], [-123.17607900930633, 49.26337991163611]]}"
150;1972-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05709490102299, 49.28475160849046], [-123.05703192337435, 49.28475127978356]]}"
200;1949-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05465734791673, 49.2397240879785], [-123.05461544677034, 49.239723837937795]]}"
100;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14903250068417, 49.27265852718177], [-123.14902903004082, 49.27264728766563]]}"
150;1924-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14473643063573, 49.23246934635593], [-123.14467014862271, 49.23427827625734]]}"
200;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15058923772538, 49.26633917150448], [-123.15056382391911, 49.26634415198633]]}"
200;1959-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15048798916409, 49.266348190681505], [-123.15045389682538, 49.266355988945854]]}"
150;1958-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07006454266006, 49.25772453245416], [-123.06993049958815, 49.25771906361639]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06975436786371, 49.26685486398062], [-123.06984097941579, 49.26685558524702]]}"
150;1969-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0675303021453, 49.220368122406896], [-123.06715058889459, 49.22036356727586]]}"
150;1913-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16770613317215, 49.25455687963687], [-123.16770657171008, 49.2545119028825]]}"
150;1932-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10221644796539, 49.21589574981723], [-123.10210108748961, 49.21589425068257]]}"
150;1945-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19576283085361, 49.240554046755584], [-123.19536921895933, 49.240551114974025]]}"
150;1952-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19463281270626, 49.240545170779214], [-123.1938414797497, 49.24053885530733]]}"
100;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15000864591524, 49.27246879670812], [-123.14904493304535, 49.27245027240023]]}"
100;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14902903004082, 49.27264728766563], [-123.14902901378238, 49.272641890570156]]}"
200;1928-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19093734226766, 49.25982206607654], [-123.19092959194336, 49.25993990723027]]}"
150;1948-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05666343787566, 49.28658750115767], [-123.05671783721705, 49.28658781628606]]}"
100;1911-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10327462361181, 49.26020833105338], [-123.10321813450011, 49.260207086222174]]}"
100;1911-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10484201638758, 49.260238429626924], [-123.10328835410222, 49.26020859763107]]}"
200;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05460294510648, 49.239723753894914], [-123.05460716797515, 49.23901831801687]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05452551149902, 49.27133244311602], [-123.05455103922907, 49.27133243106678]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06853072677549, 49.278415432507664], [-123.06873421266431, 49.27841875679898]]}"
300;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05658194997945, 49.28668413120464], [-123.05658801311446, 49.286587070369485]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0597312883612, 49.28580289063712], [-123.0597342116879, 49.28570719850999]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05973516748496, 49.285667457355395], [-123.05973586896489, 49.28562208535559]]}"
300;1932-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07143197166458, 49.23672439278052], [-123.0714319833392, 49.23673248849544]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06400284094143, 49.267714122229386], [-123.06561833096124, 49.2677288407277]]}"
200;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.2061309721466, 49.26017016824775], [-123.20605125379493, 49.260168961162584]]}"
200;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.20307362132098, 49.260122978363185], [-123.20302411390257, 49.260122309770125]]}"
200;1958-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07100098716562, 49.25441729219941], [-123.07100577480603, 49.25430609035746]]}"
150;1960-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07083865069481, 49.25429145877889], [-123.06987126018703, 49.25427723274427]]}"
150;1958-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07032907894211, 49.257713127712684], [-123.07006454266006, 49.25772453245416]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0566198560898, 49.28565857341486], [-123.05660287381262, 49.285658482787795]]}"
150;1926-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17989999413705, 49.264199192011155], [-123.1798889973841, 49.264198939276575]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07450707041592, 49.268705195673185], [-123.07468309043794, 49.2687065392567]]}"
200;1953-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15323646964892, 49.26899608495722], [-123.152872330366, 49.268990180719676]]}"
150;1957-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15026182291851, 49.27238178105254], [-123.15029570624561, 49.27171102825477]]}"
150;1957-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15026182297316, 49.27238179904285], [-123.15026182291851, 49.27238178105254]]}"
200;1926-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.18325973966739, 49.24992197783273], [-123.1820513959651, 49.249913777577845]]}"
200;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.18202179993413, 49.249903029932305], [-123.18189264737396, 49.24990233381804]]}"
300;1914-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.18009884802227, 49.24990891303737], [-123.17888417813657, 49.24990658139505]]}"
150;1988-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19084395066542, 49.24148388520158], [-123.1908384553049, 49.24148389427949]]}"
200;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19086086995253, 49.240530343143824], [-123.19080179423148, 49.240529990965356]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07311063544132, 49.26597764597555], [-123.07337715968829, 49.26597986974548]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07154612900419, 49.26596461081886], [-123.07175313539523, 49.26596637144304]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17586673666275, 49.266883418518525], [-123.17586463293802, 49.26674787297761]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1758639909127, 49.26670646003072], [-123.17586314036569, 49.266645051059825]]}"
150;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17589061696177, 49.265863766616334], [-123.17589127384548, 49.26585522017024]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15311764146898, 49.26010519103459], [-123.15311814974824, 49.26009178749224]]}"
200;1956-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07037000957672, 49.28474802874526], [-123.07036808427709, 49.28483483332323]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05696069543397, 49.28475095510949], [-123.05664027967612, 49.28474945749823]]}"
150;1940-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19576389253311, 49.24151430553417], [-123.19666175622147, 49.24152069640235]]}"
150;1940-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1966809769313, 49.24152083459093], [-123.19668509845334, 49.24152082757409]]}"
150;1973-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19673867966914, 49.24152109614912], [-123.19668509845334, 49.24152082757409]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14866055792335, 49.216053447096755], [-123.14864407972554, 49.216053288397006]]}"
300;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05652983156077, 49.290639483744826], [-123.05653348745584, 49.29060150438204]]}"
200;1928-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07377639968203, 49.257678487137774], [-123.073793157709, 49.25664040165132]]}"
150;1949-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05942937209745, 49.220139263825956], [-123.05942780532382, 49.22009239926237]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06177978627021, 49.26769684712661], [-123.06173827377935, 49.267696599459484]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06204359755708, 49.26860889973839], [-123.06364905528231, 49.268613837399215]]}"
150;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07505682735305, 49.25775663140795], [-123.07505792450915, 49.25769168524976], [-123.07505792437277, 49.25769159529771]]}"
150;1961-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07507828809548, 49.25669271742551], [-123.07507841242452, 49.25668408193767]]}"
100;1928-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14900524389583, 49.27347220456209], [-123.14901686571773, 49.27312711597966]]}"
150;1957-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15023172204867, 49.273420153394675], [-123.15023299888092, 49.27338338838102]]}"
150;1949-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0683068458253, 49.22037170470188], [-123.06827319968, 49.22037082506568]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1530885939395, 49.260880437008424], [-123.15311764146898, 49.26010519103459]]}"
200;1954-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06741463807363, 49.20759952169072], [-123.0669327336125, 49.20746749918597]]}"
150;1964-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07155097171945, 49.22856075805654], [-123.07150115401257, 49.22855989837149]]}"
200;1950-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06939439679088, 49.20815634519686], [-123.06927903910535, 49.208123581630176]]}"
300;1958-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15267619928606, 49.27156893153569], [-123.152677214084, 49.2715414048951]]}"
150;1964-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15249999503374, 49.27370149302188], [-123.15250380728111, 49.273600292072665]]}"
100;1926-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15139434050688, 49.274472908431065], [-123.151396226456, 49.27441533673522]]}"
150;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15145656469085, 49.27262818270293], [-123.15145712183217, 49.27261708190296]]}"
300;1970-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15292632070587, 49.219577347425954], [-123.15292634568455, 49.21958544314243]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0701497711861, 49.219930299617914], [-123.0702334816785, 49.219899215059414], [-123.07176947367189, 49.21991726896752]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05969012010787, 49.28728508180994], [-123.05969532638798, 49.287018615271236]]}"
300;;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06136447052393, 49.2865793884088], [-123.06135539475568, 49.28657930327637]]}"
150;1949-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06081858671708, 49.21523837297346], [-123.06213472616808, 49.215252190887355]]}"
150;1949-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06010605794914, 49.21523599337885], [-123.06075325298717, 49.21523783165639]]}"
150;1929-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17558549860179, 49.25195943285232], [-123.17448971878646, 49.251967272724535]]}"
150;1925-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15458265891083, 49.21617037528061], [-123.15458432213833, 49.21612249116467]]}"
200;1925-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15460660371899, 49.215482644833685], [-123.15460791739703, 49.215441570609414]]}"
150;1925-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14931348288276, 49.21716873051098], [-123.14909723884412, 49.21716988237275]]}"
300;1958-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15270182117901, 49.27087787768748], [-123.15270219942751, 49.27086681309524]]}"
150;1964-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1526540815634, 49.27263400985117], [-123.15265028119316, 49.27251617782563]]}"
200;1958-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15265028119316, 49.27251617782563], [-123.15265059899296, 49.27251224650581]]}"
150;1930-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15866009447392, 49.219507915667556], [-123.15908622069276, 49.219416927046005], [-123.15914123756696, 49.21940137938504], [-123.1591941856055, 49.21938304601282], [-123.15924479044497, 49.219362017263194], [-123.15929264068971, 49.21933847361204], [-123.1593375855705, 49.21931250522354], [-123.15935676911353, 49.21929952555992]]}"
150;1988-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15039879363859, 49.26946343506552], [-123.1504006067406, 49.26938157639302]]}"
200;1960-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07162547250785, 49.252568352932535], [-123.07162613160422, 49.25254901279657]]}"
150;1975-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.18575254741666, 49.265185952709594], [-123.18572071163535, 49.26518536522688]]}"
150;1908-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1503914673219, 49.26976657380826], [-123.15039207099542, 49.26973905670985]]}"
150;1925-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16007357236639, 49.22910911829223], [-123.16007188215009, 49.2291556351382]]}"
150;1961-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06987800695774, 49.22532764362005], [-123.06988132438603, 49.225245334941576]]}"
150;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15069912740374, 49.25915205363023], [-123.1505603411187, 49.25915022863659]]}"
150;1964-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14846025314237, 49.25911285455532], [-123.14843963707712, 49.25911252123548]]}"
650;1952-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.19723090127182, 49.25814325869287], [-123.1948809572516, 49.25810952038386]]}"
300;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15500265110268, 49.22502323278578], [-123.15389169576838, 49.22500843670769]]}"
300;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14864983989976, 49.249579239956255], [-123.14861918458053, 49.24957474579906], [-123.14856447347672, 49.249567080268065], [-123.14850962633216, 49.24955986464751], [-123.14845464287566, 49.2495530089853], [-123.14839966051277, 49.24954651310471], [-123.14834454210512, 49.24954046713416], [-123.14828915024465, 49.24953487124978], [-123.14823389661117, 49.24952954501841], [-123.14817836952233, 49.24952466887283], [-123.14812284378989, 49.24952024246035], [-123.14806731914335, 49.24951617582899], [-123.14801165844382, 49.249512559106755], [-123.14795599855876, 49.24950921221356], [-123.14790020288679, 49.249506405181194], [-123.14784440829551, 49.24950395792972], [-123.14778847737712, 49.24950187063488], [-123.14773268521192, 49.24950023289705], [-123.14767675671698, 49.24949895511576]]}"
150;1938-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.2139652257946, 49.261209760305405], [-123.21248571696394, 49.26118454258246]]}"
