CODI;TIPUS_VIA;PARTICULES;NOM;DATA_APROV;NOTES_DATA;DESCRIPCIO1;DESCRIPCIO2;FONTS_DOC;ALTRES_NOMS
260001;carrer;de la;Plata;;Abans de 1865;L'argent element metàl·lic. Se suposa l'existència antiga d'un establiment en el qual es venia la plata destinada a l'orfebreria.;;{n80}.;
700714;carrer;del;Platí;11/03/1991;;Element metàl·lic de transició.;;{PC:en}.;
260307;carrer;de;Platja d'Aro;;Any 1900;Nucli turístic de la Costa Brava i actual cap del municipi de Castell d'Aro (Baix Empordà).;;{n80}.;"Playa de Aro; Núm. 7; Aro"
157705;carrer;de l';Hortènsia;30/12/1953;;La planta. Forma part d'un conjunt de carrers amb noms de plantes i de flors, a la barriada de la Font de la Guatlla.;;{n80*}.;
189304;passatge;de;Magarola;;Abans de 1900;Passatge obert al trànsit en els terrenys del que havia estat una capella dedicada a la Mare de Déu de Montserrat, que funcionà intermitentment del segle XVII al XIX, fins que els Magarola construïren el seu palau reformant i habilitant la casa de la qual la capella formava part. La porta del passatge és la de l'antic palau, amb l'escut del llinatge a la llinda. La casa era la procura a Barcelona de Montserrat.;;"{PC:MPV,fn;JMO}.";
009708;carrer;dels;Magatzems;;Abans de 1900;Els antics magatzems del Port o dipòsits del Port, en els quals es dipositaven temporalment els gèneres que, per alguna circumstància, no podien ser autoritzats a entrar fins a l'acompliment de la normativa que exigia la Duana.;;{PC:MPV,fn}.;Almacenes
701540;passatge;de;Magdalena Giralt;07/04/2006;;Magdalena Giralt, senyora de Bressui (Sort, ? - ?, 1727). A conseqüència de la invasió de Felip V, l'any 1714, hagué de suportar que el seu marit, el general Josep Moragues i Mas, fos perseguit, condemnat i executat, i que el seu cap fos penjat en una gàbia de ferro, dalt del Portal de Mar de Barcelona, durant dotze anys. Fou empresonada gairebé deu anys per defensar els ideals del seu marit. Un any després de la signatura de la pau de Viena, 30 d'abril de 1725, va enviar una carta a l'emperador Carles de l'Imperi austrohongarès en què li pregava que li deixés recuperar les despulles del seu espòs. Morí poc després d'haver enterrat el cap del seu espòs en un lloc sagrat.;;;
700833;plaça;de;Joan Cornudella;08/02/1993;;Joan Cornudella i Barberà (les Borges Blanques, 1904 - Barcelona, 1985). Polític. Llicenciat en ciències econòmiques. Diputat al Parlament de Catalunya (1980).;;{PC:en}.;
176700;carrer;del;Llorer;04/12/1941;;L'arbre. N'hi havia un de gros a l'indret abans de ser urbanitzat.;;{PC:MPV,fn}.;Laurel
186204;carrer;de;Lloret de Mar;22/09/1981;;Municipi de la Selva, a la Costa Brava.;;{n80}.;"Lloret, 05/09/1907; San Joaquín; Priorato; Monjas; Hermanas"
186306;carrer;de la;Llosa;30/12/1953;;Antic poble del municipi de Lles (Baixa Cerdanya).;;{n80}.;Núm. 4
186500;carrer;de;Lluc;27/07/1950;;Pel santuari de Lluc, situat al municipi d'Escorca, a Mallorca. Forma part d'un conjunt de carrers amb noms de llocs i pobles de les illes Balears, a la barriada de Porta.;;{n80*}.;Lluch
186907;carrer;de;Lluçà;23/12/1946;;Municipi d'Osona.;;{n80}.;"Llussá; T. de Perales; Núm. 14, 29/01/1925"
186805;carrer;del;Lluçanès;29/03/1922;;Subcomarca de l'altiplà central català. Situada al nord-oest d'Osona i en sectors fronterers del Berguedà i del Bages.;;{n80*}.;"Llusanés; Londres, 05/09/1907; San Gervasio, abans de 1884"
181404;carrer;de;Llucena;31/10/1955;;Municipi de l'Alcalatén, a la vall del riu de Llucena.;;{n80}.;"Lucena; Lletra E, grup V (b. Verdún)"
182101;carrer;de;Lluís Bonifaç;16/05/1939;;Lluís Bonifaç (Marsella, ? - Riudoms, 1696). Escultor anomenat Lluís Bonifaç el Vell. Es considera la figura cabdal de l'escultura barroca catalana. Fundador d'una nissaga d'escultors: el seu fill, Lluís Bonifaç i Sastre (Barcelona, 1683 - Valls, 1765), i el seu nét, Lluís Bonifaç i Massó (Valls, 1730 - 1786), que fou un dels més prolífics.;;{n80*}.;"Luis Bonifas; Lletra E (urb. Casa Móra)"
213409;carretera;de;Miramar;;;Condueix al mirador de la falda de Montjuïc.;;{n80}.;
118408;plaça;d';Eusebi Güell;14/04/1909;;Eusebi Güell i Bacigalupi (Barcelona, 1846 - 1918). Industrial, economista i publicista. Regidor de Barcelona (1875), diputat provincial (1878) i senador. Protector i mecenes de l'arquitecte Gaudí i propulsor de la cultura catalana. Fou president del Centre Català, així com president i mantenidor dels Jocs Florals (1900). Acadèmic de l'Acadèmia de Sant Jordi de Barcelona. El 1908 se li concedí el comtat de Güell. Propietari dels terrenys on sol·licità l'obertura d'una via que comuniqués el monestir de Pedralbes amb la Diagonal (avinguda de Pedralbes).;;{n80*}.;"Eusebio Güell; Reina Elisenda"
118500;carrer;d';Eusebi Planas;05/09/1907;;Eusebi Planas i Franquesa (Barcelona, 1833 - 1897). Dibuixant, aquarel·lista i litògraf.;;{n80}.;"Eusebio Planas; León"
118601;carrer;d';Euterpe;;;Musa grega de la música. Filla de Zeus i de Mnemòsine.;;{n80*}.;
118703;carrer;d';Evarist Arnús;05/09/1907;;Evarist Arnús i de Ferrer (Barcelona, 1820 - 1890). Financer. Fundador del Teatre Líric de Barcelona (1881), president de la Casa de Caritat i un dels promotors de l'Exposició Universal de 1888.;;{n80*}.;"Evaristo Arnús; Mercaders, 11/02/1873"
700041;moll;d';Evaristo Fernández;;;Evaristo Fernández y Martínez (Bilbao, 1910 - Barcelona, 1969). Contramestre de molls. Se li dedicà el carrer per la seva trajectòria exemplar com a treballador.;;;
007305;avinguda;de l';Exèrcit;20/12/1979;;En homenatge a les forces armades.;;{n80}.;C. del Alcázar de Toledo
118805;passeig;de l';Exposició;07/07/1942;;Per l'Exposició Internacional de 1929.;;{n80}.;Exposición
118827;carrer;d';Extremadura;11/10/1972;;La comunitat autònoma.;;{n80}.;
118907;carrer;d';Ezequiel Boixet;21/12/1921;;Ezequiel Boixet i Castells (Lleida, 1849 - Barcelona, 1914). Periodista i narrador conegut amb el pseudònim de Juan Buscón. Director de La Vanguardia.;;{n80}.;
118940;carrer;;F;;;Carrer del polígon industrial del Consorci de la Zona Franca. Amb alguna excepció, els carrers anomenats amb lletres segueixen la direcció nord-sud i els anomenats amb nombres segueixen la direcció est-oest.;;{DIU:s139}.;
701418;jardins;de;Fabià Puigserver;01/03/2002;;Fabià Puigserver i Plana (Olot, 1938 - Barcelona, 1991). Escenògraf i director teatral. Passà la seva infantesa a França i des del 1951 visqué a Polònia, on obtingué la llicenciatura d'escenografia a l'Escola Superior de Belles Arts de Varsòvia. El 1959, tornà a Barcelona, on finalment s'establí pel seu compte i realitzà decoracions per a grups teatrals. Obtingué el títol de llicenciat en escenografia per l'Institut del Teatre de Barcelona. Posteriorment, en fou director del Departament d'Escenografia i membre de la Comissió d'Estudis. Obtingué el Premi Nacional d'Escenografia, el 1975, la Internacional Medalla Los Angeles, la Medalla d'Or de Valladolid i del Cicle de Teatre Llatí de Barcelona. Fundà el Teatre Lliure de Barcelona, el 1976. Rebé el Premi FAD per les seves escenografies. L'any 1985 obtingué el premi Ciutat de Barcelona.;;;
365804;plaça;de la;Mare de Déu de la Pau;30/01/1952;;Per la pau d'abril de 1939, acabada la Guerra Civil.;;{n80}.;Virgen de la Paz
366002;carrer;de la;Mare de Déu de la Salut;15/04/1949;;Per la proximitat a la capella, o santuari, establerta en una casa o torre de l'indret, oberta al culte l'any 1864, que donà nom a la barriada, iniciada entre 1866 i 1870 al seu entorn. Al maig de 1904 es festejaren els quaranta anys del santuari. El carrer es digué, però, simplement de la Salut fins a l'any 1949.;;{PC:MPV,fn}.;"Virgen de la Salud; Salut"
230408;carrer;de la;Mare de Déu de les Neus;19/11/1929;;Per la Mare de Déu de les Neus.;;{n80}.;"Virgen de las Nieves; Tàrrega; Virgen de las Nieves, abans de 1900"
262958;carrer;del;Port de la Selva;26/05/1965;;Municipi de l'Alt Empordà.;;{n80}.;
701514;carrer;del;Port de Lagos;18/05/2005;;Lagos, ciutat de Nigèria. Primer port del país, centre comercial, cultural i industrial.;;;
701525;carrer;del;Port de Miami;18/05/2005;;Miami, ciutat dels Estats Units, al sud de la península de Florida. Port fonamentalment obert al turisme, conjuntament amb Miami Beach, gran centre d'esports nàutics.;;;
701521;carrer;del;Port de Ningbo;18/05/2005;;Ningbo (Yinxian), port de la Xina eminentment pesquer i comercial.;;;
701526;carrer;del;Port de Tianjin;18/05/2005;;Ciutat de la Xina, amb el nucli urbà allunyat de la costa, però el seu port és dels més importants del país, per la seva proximitat a la capital de l'Estat.;;;
700760;parc;del;Port Olímpic;01/08/1991;;Per la proximitat del Port del qual pren el nom.;;{PC:en}.;
701182;jardins;del;Port Romà;22/05/1995;;Per l'assentament iberoromà amb port situat al sud de Montjuïc. D'aquest assentament s'han trobat nombroses restes: les sitges, una pedrera romana, forns per a la fabricació d'àmfores, etc.;;{en}.;
701195;mirador;del;Port Vell;11/06/1996;;Espai urbà creat amb la remodelació del Port de Barcelona.;;{en}.;
263101;passatge;de;Porta;;;Travessia del carrer de Porta.;;{n80}.;
264705;carrer;del;Pou de l'Estany;;Abans de 1865;Citat amb el mateix nom l'any 1658. És molt possible que l'indret tingui aquest nom des de l'any 1320, car hi ha constància d'un permís atorgat per mudar un forn que tenia un ciutadà prop del pou de l'estany.;;{PC:MPV,fn}.;"Pou del Estany; Pallols"
264501;carrer;del;Pou Dolç;;Abans de 1865;Fa referència a un de tants pous que existiren entre la xarxa urbana de Ciutat Vella.;;{n80*}.;Pou Dols
265300;carrer;de;Prada;;Abans de 1900;Vila de la Catalunya Nord, al Conflent. Carrer del barri del sud-oest del Besòs, on un grup de carrers són dedicats a pobles i ciutats de la Catalunya Nord.;;{n80*}.;Prades
265402;carrer;de;Praga;17/01/1923;;Ciutat de Bohèmia, capital de la República Txeca.;;{n80}.;Núm. 7 (urb. Sampera i Baró)
265504;carretera;del;Prat;;;El Prat de Llobregat, municipi del Baix Llobregat.;;{n80}.;
265708;rambla;de;Prat;;Abans de 1900;Joaquim de Prat i de Roca (1804 - 1872). Propietari de la finca la Fontana, situada en aquell indret. Regidor honorari  i cavaller mestrant de la Reial de Ronda.;;{RP15:20.102}.;Fontana
265800;carrer;del;Prat d'en Rull;01/07/1929;;Joan Rull i Arnabach (segles XVIII - XIX). Fabricant d'indianes i especialista en tints i colors. El 1786 instal·là a les Corts el primer establiment de tints. Continuà el negoci el seu fill Joan Rull i Camarasa.;;{RP7:20.229.}.;
248403;carrer;de;Prats de Molló;20/12/1979;;Municipi del Vallespir. Fets de Prats de Molló. Invasió frustrada de catalans el 1926, pel grup d'Estat Català dirigit per Francesc Macià.;;{n80}.;Pedralbes, 05/01/1876
266008;carrer;dels;Prats de Rei;;Abans de 1900;Municipi de l'Anoia.;;{n80}.;Prats de Rey
266100;carrer;de;Prats i Roquer;07/03/1939;;Joaquim Prats i Roquer (Sant Martí Sarroca, 1821 - Barcelona, 1894). Donà 80.000 pessetes a la Caixa de Barcelona per a la construcció d'un grup de cases barates en aquest indret. Durant la dictadura de Primo de Rivera, es proposà canviar el nom del carrer pel de carrer del Marquès de Caldes de Montbui. Consta que la Caixa d'Estalvis s'oposà al canvi.;;"{PC:MPV,fn;JMH}.";"Prats y Roqué; Pablo Sabater, 26/08/1931; Prats y Roqué, 16/08/1927; Prats"
266201;carrer;de;Premià;05/09/1907;;Premià de Mar, municipi del Maresme i carrer de Barcelona. Aquesta ciutat demanà el 1480 la unió a Barcelona amb la fórmula del carreratge, per la qual era considerada com un carrer de Barcelona i els seus habitants gaudien dels mateixos drets i privilegis que els de la capital.;;{MTFM.}.;Zurbano, abans de 1900
349579;carrer;del;Presseguer;10/04/1981;;L'arbre. Forma part d'un conjunt de carrers amb noms d'arbres i d'arbustos.;;{n80}.;Urani
349604;passatge;d';Ureña;;;Obert en terrenys que foren d'Anselm Riu Fontanillas. En tancar aquesta edició, no s'havia identificat encara el suposat personatge a què fa referència el nom del passatge.;;{RP5:64.235.}.;
232902;plaça;d';Urquinaona;03/09/1982;;José María Urquinaona y Bidot (Cadis, 1813 - Barcelona, 1883). Bisbe de Barcelona de 1878 a 1883. La plaça es construí després d'enderrocar els baluards de Sant Pere i de Jonqueres (1857). Per la seva proximitat, el nom inicial de la plaça fou plaça nova de Jonqueres.;;{PC:MPV,fn}.;"Bisbe Urquinaona; Obispo Urquinaona, 07/08/1942; Urquinaona, 07/03/1939; Ferrer y Guardia, 19/11/1936; Francisco Ferrer y Guardia; Urquinaona; Obispo Urquinaona; Nueva de Junqueras"
349808;passeig;d';Urrutia;19/11/1929;;José de Urrutia y de las Casas (Zalla-La Herrera, 1739 - Madrid, 1803). Militar. Capità general de Catalunya de 1794 a 1796. Fou el reorganitzador dels sometents armats del Principat. Aconseguí posar fi a la Guerra Gran (1795).;;{PC:MPV,fn*}.;Cº de Casa Carreras
349900;carrer;de l';Uruguai;13/01/1933;;República sud-americana. Forma conjunt amb el carrer del Riu de la Plata, situat al mateix barri del Coll.;;{n80*}.;"Uruguay; Lletra B"
350104;passatge;d';Utset;;;Josep Utset i Fonullà (Mataró, 1839 - Barcelona, 1904). Argenter. Marit d'Anna Romans i Jordà, propietària dels terrenys adjudicats per la seva mare, Francesca Jordà i Gelabert, i el seu germà, Eugeni, l'any 1873. Els terrenys que pertanyien a la finca Torre Xica foren propietat de Ramon de Sentmenat i de Saenz, marquès de Castelldosrius.;;"{AHPB:FF.1873;rc}.";
350206;carrer;de;Vacarisses;;;Municipi del Vallès Occidental. Carrer del barri de Torre Baró, on hi ha diversos carrers dedicats a poblacions catalanes.;;{n80*}.;
700809;plaça;de;Valdivia;25/05/1992;;Ciutat de Xile, capital de la província homònima. Els propietaris de Can Segalar havien tingut relació amb aquesta ciutat.;;{PC:en}.;
097206;carrer;de;Vallès i Ribot;20/12/1979;;Josep Maria Vallès i Ribot (Barcelona, 1849 - 1911). Advocat i polític republicà federalista. Diputat a les Corts constituents (1873) i president del Centre Federalista. Fundador dels diaris El Federalista, La Voz de Cataluña i La Región Catalana.;;{n80*}.;"Dalmacio de Mur; Vallès y Ribot, 29/03/1922; Santa Lucía"
352904;carrer;de;Vallespir;07/07/1942;;En recordança del vescomtat de Vallespir, del qual fou representant Guillem I (mort després de 1028), vescomte de Vallespir i de Castellnou.;;"{n80;JPI}.";"Ctra. de les Corts; Colón (abans de 1877)"
353000;carrer;de;Vallfogona;;Abans de 1900;Vallfogona de Riucorb. Municipi de la Conca de Barberà.;;{n80}.;
353306;carrer;de;Vallhonrat;;Abans de 1874;Nissaga de propietaris de les terres de l'indret. Se suposa que el carrer està dedicat a Gabriel Vallhonrat, ja que el nom del carrer es troba documentat molt poc temps després de la seva mort. Foren membres d'aquesta nissaga, Pau Vallhonrat i Font (1763 - 1838), Gabriel Vallhonrat i Casas (1797 - 1870) i Joan Vallhonrat i Soler (Cornellà de Llobregat, 1839 - 1910).;;;
353408;carrer;de;Vallirana;05/09/1907;;Municipi del Baix Llobregat.;;{n80}.;"Cruz; San Joaquín"
353500;carrer;de;Vallmajor;05/01/1876;;Rosa Vallmajor i Canet (Dosrius, 1778 - ?). Muller de Magí Modolell i Negrevernis, propietari del terreny on s'obrí el carrer.;;{RP6:6.40.}.;
353601;carrer;de;Vallmitjana;17/03/1908;;Agapit Vallmitjana i Barbany (Barcelona, 1833 - 1905). Escultor. Realitzà obres per al cementiri Vell o del Poblenou. Segons Roca i Comas, el carrer es deia inicialment carrer dels Vallmitjana i honrava Agapit Vallmitjana i el seu germà Venanci (Barcelona, 1829 - 1919), autor, entre d'altres, de les estàtues de Ramon Llull, sant Isidor i Averrois del vestíbul de la Universitat de Barcelona.;;"{n80;AMD10;PC:fn}.";Muntaner
353703;carrer;de;Vallpar;;;Toponímic per la font de Vallpar, de gran anomenada per la qualitat de l'aigua.;;{n80}.;
353656;carrer;de;Valls;05/09/1907;;Capital de la comarca de l'Alt Camp.;;{n80}.;"Campamento (2n tram); Salud"
700098;pas;de;Valls;;Abans de 1960;Per la mateixa dedicació que el carrer de Valls.;;;
351107;carrer;de;Vallseca;10/12/1929;;Gabriel de Vallseca (Barcelona, ? - Mallorca, segle XV). Cartògraf i pintor d'origen jueu. Es conserven mapamundis amb la seva signatura a Barcelona (1439), a París (1447) i a Florència (1449).;;{AMAB:en,c.14}.;"Valseca; Salud (prolongació)"
351209;passatge;de;Vallseca;07/07/1942;;Per la mateixa dedicació que el carrer de Vallseca.;;{n80}.;"Valseca; Salud"
353805;avinguda;de;Vallvidrera;25/09/1931;;Mena a la barriada barcelonina situada a la serralada de Collserola.;;{n80}.;"C. Ortons; C. San Carlos"
353907;camí;de;Vallvidrera;;;Antic poble de Vallvidrera.;;{n80}.;
027404;drecera;de;Vallvidrera;07/03/1939;;Condueix a l'antic poble de Vallvidrera del municipi de Barcelona, a la serra de Collserola.;;{n80*}.;"Atajo de Vallvidrera; Vallvidrera; Vallvidrera (Ajuntament de Sarrià); Cº de la Costa"
066701;plaça;de;Vallvidrera;20/12/1979;;La plaça central del barri, antic municipi incorporat a Sarrià l'any 1890 i, amb aquest, a Barcelona l'any 1921. El topònim Vallvidrera data almenys del segle X (987): uns documents d'aquest any esmenten Sancta Maria Vallis Vitrariae.;;{PC:MPV,fn}.;Carlos de Llar
354003;carretera;de;Vallvidrera a Barcelona;;;Enllaça amb la de Sant Cugat abans de baixar cap a la ciutat de Barcelona.;;{n80*}.;
700059;carretera;de;Vallvidrera a les Planes;28/06/1985;;Condueix del nucli de Vallvidrera cap a les Planes i a la barriada del Rectoret.;;{PC:en}.;
335654;carretera;de;Vallvidrera al Tibidabo;;;Segueix per la carena de la serra de Collserola.;;{n80}.;
353769;camí;de;Vallvidrera al Tibidabo;;;Camí de la carena.;;{n80}.;
700952;passatge;del;Vapor Vell;06/03/2001;;Fàbrica del Vapor Vell, que posà en marxa Joan Güell, el 1846. Era una fàbrica de teixits de pana que funcionava amb màquines de vapor. Va ser coneguda com el vell, en oposició a la fàbrica de l'Espanya Industrial que fou construïda posteriorment. Va funcionar fins al 1891, any en què, a causa de conflictes amb els treballadors, va haver de tancar i es traslladà a Santa Coloma de Cervelló.;;;
354502;carrer;de;Varsòvia;17/01/1923;;Ciutat polonesa, capital de l'Estat.;;{n80}.;"Tramvia; Teléfono"
354706;carrer;de;Vayreda;;;"Joaquim Vayreda i Vila (Girona, 1843 - Olot, 1894). Pintor. Fundador de l'escola d'Olot i del Centre Catalanista; president de la primera Assemblea Catalanista de Manresa (1892) i regidor de Barcelona.";;{n80*}.;
354808;plaça;de;Vázquez de Mella;19/11/1929;;Juan Vázquez de Mella y Fanjul (Cangas de Onís, 1861 - Madrid, 1928). Advocat, polític tradicionalista i escriptor.;;{n80}.;"Mariscal Joffre; Estanislao Figueras"
701499;plaça;de;Vázquez Montalbán;08/01/2009;;"Manuel Vázquez Montalbán (Barcelona, 1939 - Bangkok, 2003). Escriptor. Conreà gairebé tots els gèneres, però l'assaig i la novel·la foren els eixos centrals de la seva activitat literària. Destaca el cicle de novel·la negra protagonitzat pel detectiu Pepe Carvalho. Entre altres guardons, obtingué: el Premi Nacional de Narrativa 1991; el premi Europa de literatura 1992; el premi de la Crítica 1994; el premi Scanno 1997; el Premi Nacional de les Lletres Espanyoles 1995; el premi Ciutat de Barcelona 1998, i el Grinzane Cavour 2000 per la seva carrera literària. Li fou atorgada la Creu de Sant Jordi pel conjunt de la seva obra. Fou membre del Comitè Central del PSUC.";;;
225306;carrer;de la;Nau Santa Maria;07/07/1942;;La nau almirall amb la qual Colom féu el seu primer viatge a Amèrica.;;{n80}.;"Nao de Santa María; Lletra B (eixample de les Corts); Luis Ulloa, 1936; Lletra B (eixample de les Corts)"
701361;carrer;de les;Naus de La Maquinista;17/10/2000;;Per les naus de l'empresa de maquinària i arquitectura del ferro que es va instal·lar en aquest lloc de Sant Andreu des del 1917 fins al 1991.;;{en}.;
226003;carrer;de;Navarra;;Abans de 1900;Coexisteixen dues explicacions sobre la dedicació del carrer. Segons el nomenclàtor de 1980 la dedicació es deu a la comunitat autònoma. Segons una altra versió, el carrer fou dedicat a Josep Oriol Navarra i Valentí (1808 - 1856). Metge, casat amb Vicenta Felipa Linés i Badia, propietària de l'indret.;;{RP14:1.136.}.;
226207;carrer;de;Navarro i Reverter;22/04/1897;;Joan Navarro i Reverter (València, 1844 - Madrid, 1924). Enginyer forestal i polític. Vicepresident de l'Exposició Internacional de Barcelona de 1888. Ministre d'Hisenda (1895, 1897 i 1906). Membre de l'Acadèmia de Ciències i de l'Acadèmia Espanyola. L'Ajuntament de Sarrià el nomenà fill adoptiu i li dedicà un carrer per haver aconseguit que no s'inclogués el poble de Sarrià en el Reial decret d'agregació de 1897.;;{AMD5*}.;
226502;carrer;de;Navata;;;Municipi de l'Alt Empordà.;;{AHCB:RiC,m}.;
226659;carrer;de les;Nebuloses;30/12/1979;;Situat a la barriada del Rectoret, a Vallvidrera, on diversos carrers són dedicats a temes d'astronomia.;;{n80*}.;Nebulosas
226706;passatge;del;Negociant;;Abans de 1940;Pren el nom d'una casa coneguda com a casa del negociant, anomenat Salvador Civil i Llopart (segle XVIII - Barcelona, 1804), propietat al segle XIX de Bartomeu Cortés i Planas.;;;Negociante
227006;carrer;de;Negrell;19/11/1929;;Cognom d'una família propietària del castell de Port al segle XVIII. El 1879 Eulàlia Negrell va reclamar les terres del castell.;;"{AMAB:en.c14;JMH}.";
227108;carrer;de;Negrevernís;07/03/1939;;Família sarrianenca. Aquest cognom apareix entre consellers, jurats i propietaris de la històrica vila.;;{PC:MPV,fn}.;"Jurados; Negrevernís, 1927; Jurados; Letamendi; Recreo"
700449;plaça;de;Nemesi Ponsati;18/04/1989;;Nemesi Ponsati i Solà (Barcelona, 1897 - 1980). Farmacèutic. Impulsor de l'esport: president del Club Natació Barcelona.;;{PC:en}.;
269607;plaça;del;Nen de la Rutlla;16/06/1999;;L'escultura El nen de la rutlla, a la part baixa del parc del Guinardó, que ha esdevingut un símbol del barri.;;;Puig i Alfonso
227200;carrer;de la;Nena Casas;05/03/1903;;Per l'heretat Ca la Nena Casas, de 178.715 m2, en el segle XIX. Fou propietat de Ramona Castellnou Sabater Serra i Capalà, qui rebé el renom de Nena Casas, per la gran quantitat de propietats que tenia.;;{AHPB:JB.1703}.;
227301;carrer;de;Neopàtria;05/09/1907;;El ducat conquerit per Alfons Frederic d'Aragó (1319) amb tropes catalanes, que es mantingué fins a l'any 1390. Un dels títols del rei d'Espanya.;;{n80*}.;Santa Rosa, abans de 1900
227403;carrer;de;Neptú;;Abans de 1900;Nom llatí de Posidó, déu grec dels mars.;;{n80}.;Neptuno
227505;plaça;de;Neptú;;Abans de 1940;Per la mateixa dedicació que el carrer de Neptú.;;{n80}.;Neptuno
227607;carrer;del;Nerbion;15/01/1958;;Riu del País Basc que passa per Bilbao.;;{n80}.;Nervión
227709;carrer;de la;Neu de Sant Cugat;;Abans de 1900;Pels dipòsits subterranis adequats per guardar-hi la neu que es baixava a vendre a Barcelona. El qualificatiu de Sant Cugat prové de la proximitat de la parròquia de Sant Cugat del Rec.;;{AHCB:RiC,m}.;"Neu de San Cucufate; Neu; Aderó"
228406;carrer;de;Niça;;Abans de 1940;Ciutat de Provença, Occitània. Del grec Nicea, fou fundada pels foceus cap al segle V aC.;;{n80*}.;Niza
227800;carrer;de;Nicaragua;07/07/1942;;República de l'Amèrica Central.;;{n80}.;"Llansá (2n tram); Núm. 13 (Pla Cerdà)"
701246;pla;de;Nicolás Salmerón;01/12/1997;;"Nicolás Salmerón y Alonso (Alhama la Seca, 1830 - Pau, 1908). Polític republicà. Membre dirigent del Partit Democràtic. Diputat i un dels defensors de la Primera Internacional a les Corts; ministre de Gràcia i Justícia en el Govern republicà de Figueres (1873); president del Congrés i, més tard, president del Govern executiu, càrrec del qual dimití en negar-se a firmar algunes penes de mort. En proclamar-se la Restauració, hagué d'exiliar-se a París. Tornà a Madrid l'any 1884, fou elegit diputat i recuperà la càtedra de filosofia. Fundà el Partit Republicà Centralista, de tendència antifederal. Gràcies a la seva política d'unió republicana, aconseguí repetir el triomf electoral de la seva candidatura a Gràcia. Fou un dels principals promotors de la creació, el 1906, de Solidaritat Catalana.";;;
231502;carrer;de;Numància;07/07/1942;;La ciutat celtibèrica famosa per la seva resistència a Roma, al segle II aC.;;{n80}.;Tarragona (2n tram), abans de 1900
364404;carrer;de la;Vinya Llarga;;Abans de 1940;Per una peça de terra de l'indret.;;{*}.;Viña Larga
364506;carrer;de;Vinyals;;Abans de 1940;Magí Vinyals i Sabaté (Barcelona, 1856 - 1928). Propietari. Comprà els terrenys el 1900. Era casat amb Teresa Graells.;;{RP5:277.}.;"Viñals; Desengaño"
364700;carrer;del;Vinyar;;Abans de 1940;Pel paisatge de l'antic indret. Proper als carrers del Pou, del Molí i dels Nou Pins.;;{n80*}.;Viñeda
364608;passatge;de la;Vinyassa;;Abans de 1940;Per haver-se format en les proximitats de la sèquia de la Vinyassa.;;{AMD10}.;Viñaza
364903;passatge;de la;Vinyeta;;Abans de 1940;Diminutiu familiar de vinya. Passatge situat al vessant nord de la muntanya de Montjuïc.;;{*}.;Viñeta
365000;carrer;de;Violant d'Hongria Reina d'Aragó;16/03/1943;;Andreua Arpád de Courtenay (Hongria, 1216 - Osca, 1251). Reina de Catalunya i Aragó, senyora de Montpeller, baronessa d'Omeladès i vescomtessa de Millau. Segona muller de Jaume I. Es donà aquest nom al carrer per substituir el de Yolanda (1943). Fou una petició de l'hispanòfil hongarès Oliver Brachfeld, amb motiu de la publicació d'una biografia de la reina i com a homenatge a Hongria.;;"{PC:MPV,fn;AFE*}.";"Violante de Hungria ""Reina de Aragón""; Yolanda, 29/03/1922; Rolanda; Sadurní (un tram)"
048765;carrer;del;Violer;20/12/1979;;El gènere de la planta herbàcia. Forma conjunt amb els carrers dels Geranis i del Presseguer, en els quals desemboca.;;{n80*}.;Brillants
009071;passatge;del;Violer;27/07/1990;;El gènere de la planta herbàcia. Forma part d'un conjunt de carrers amb noms de plantes i de flors.;;{PC:en}.;
366104;carrer;de;Virgili;05/09/1907;;Pere Virgili i Bellver (Vilallonga del Camp, 1699 - Barcelona, 1776). Cirurgià. Fundador i primer director del Col·legi de Cirurgia de Barcelona (1760). Fou cirurgià de cambra de Ferran VI.;;{n80}.;"San Juan; Indústria"
366206;carrer;de;Viriat;05/09/1907;;Viriat (serra da Estrêla, ? - ?, 139 aC). Pastor i capitost lusità en la lluita contra la dominació romana.;;{n80*}.;"Viriato; San Ignacio; Séneca (un tram)"
366501;plaça;del;Virrei Amat;06/05/1941;;"Manuel d'Amat i de Junyent (Vacarisses, 1704/1707 - Barcelona, 1782). Militar. Virrei del Perú de 1761 a 1776. Militar de l'orde de Sant Joan de Jerusalem; participà en les campanyes d'Àfrica i d'Itàlia, i promogué expedicions d'exploració a les illes de Pasqua i Tahití.";;{n80*}.;"Virrey Amat; Salvat-Papasseit, 16/11/1933"
366308;passatge;de la;Virreina;;;Pel palau construït pel virrei Amat i que oferí a la virreina, la seva esposa, Maria Francesca Fiveller de Clasquerí i de Bru. Fou enderrocat l'any 1877 per construir-hi l'església de Sant Joan, començada el 1878 i acabada el 1884.;;{PC:fn}.;
213500;jardins;de;Miramar;;;Situats en el lloc de Montjuïc anomenat Miramar.;;{n80}.;
216407;carrer;de;Monjo;05/09/1907;;Joan Monjo i Pons (Maó, 1818 - Barcelona, 1884). Constructor naval. Autor del primer tractat d'arquitectura naval publicat a Espanya (1856).;;{AHCB:RiC,m}.;San Pedro, 1865
216509;carrer;de;Monlau;05/09/1907;;Pere Felip Monlau i Roca (Barcelona, 1808 - Madrid, 1871). Científic, metge i publicista.;;{n80}.;"Víctor Díaz; Purísima Concepción, abans de 1900"
