form,route,strength,parent_key
Shampoo,Topical,1.2 g/100mL,DB06815
Shampoo,Topical,10 mL/1000mL,DB06815
Shampoo,Topical,65.7 g/1000mL,DB06815
Liquid,Topical,3 mg/1mL,DB06815
Liquid,Topical,0.05 g/1mL,DB06815
Shampoo,Topical,5.28 mg/1mL,DB06815
Liquid,Topical,0.0036 mg/1mL,DB06815
Liquid,Topical,0.00528 g/1mL,DB06815
Liquid,Topical,0.011 mg/1mL,DB06815
Liquid,Topical,0.0034 mg/1mL,DB06815
Shampoo,Topical,10 mg/10mL,DB06815
Shampoo,Topical,1 g/100mL,DB06815
Shampoo,Topical,0.000048 g/100mL,DB06815
Shampoo,Topical,1.008 g/100mL,DB06815
Shampoo,Topical,1.8 mg/300mL,DB06815
Shampoo,Topical,2 g/100mL,DB06815
Shampoo,Topical,1 kg/100kg,DB06815
Shampoo,Topical,12 mg/1mL,DB06815
Shampoo,Topical,2.5 g/250g,DB06815
Lotion,Topical,,DB06815
Shampoo,Topical,6 mg/300mL,DB06815
Shampoo,Topical,6.4 g/320mL,DB06815
Shampoo,Topical,0.1 mL/100mL,DB06815
Solution,Topical,0.1 mL/100mL,DB06815
Shampoo,Topical,0.0095 g/1mL,DB06815
Lotion / shampoo,Topical,10 mg/1mL,DB06815
Liquid,Topical,0.1 g/100mL,DB06815
Lotion / shampoo,Topical,0.5 g/1mL,DB06815
Lotion,Topical,0.5 g/100mL,DB06815
Lotion,Topical,5 mg/1mL,DB06815
,Topical,,DB06815
Lotion / shampoo,Topical,2 g/100mL,DB06815
Lotion / shampoo,Topical,20 mg/1mL,DB06815
Lotion / shampoo,Topical,1 g/1mL,DB06815
Shampoo,Topical,0.01 g/1mL,DB06815
Lotion,Topical,0.5 mg/100mL,DB06815
Lotion / shampoo,Topical,1 g/100mL,DB06815
Lotion / shampoo,Topical,.01 g/1mL,DB06815
Lotion / shampoo,Topical,0.01 g/1mL,DB06815
Cream,Topical,0.1 g/100mL,DB06815
Cream,Topical,0.5 g/100mL,DB06815
Lotion,Topical,0.1 g/100mL,DB06815
Lotion,Topical,1 g/100mL,DB06815
Cream,Topical,0.1 g/100g,DB06815
Gel,Topical,0.1 g/100mL,DB06815
Cream,Topical,1 g/100mL,DB06815
Lotion / shampoo,Topical,7.5 mg/1mL,DB06815
Shampoo,Topical,1.5 g/100g,DB06815
Shampoo,Topical,15 mg/1mL,DB06815
Emulsion,Topical,1.0 g/100g,DB06815
Shampoo,Topical,15.4 g/1L,DB06815
Shampoo,Topical,1.1 g/100g,DB06815
Shampoo,Topical,1.0 g/100g,DB06815
Liquid,Topical,1 g/100mL,DB06815
Lotion,Topical,2 mg/1mL,DB06815
Liquid,Topical,2.1 g/100mL,DB06815
Shampoo,Topical,0.00336 g/1mL,DB06815
Shampoo,Topical,0.3 mg/100mL,DB06815
Shampoo,Topical,0.3 g/100mL,DB06815
Shampoo,Topical,.01 g/1g,DB06815
"Shampoo, suspension",Topical,.01 g/1g,DB06815
Shampoo,Topical,1.8 g/100mL,DB06815
Shampoo,Topical,15.0 g/1.0L,DB06815
Shampoo,Topical,3.0 g/300g,DB06815
Lotion,Topical,10 mg/1mL,DB06815
Shampoo,Topical,1.20000 mg/240mL,DB06815
Shampoo,Topical,10.5 mg/1mL,DB06815
Shampoo,Topical,2.52000 mg/240mL,DB06815
Shampoo,Topical,1 g/100g,DB06815
Shampoo,Topical,10.0 g/500mL,DB06815
Gel,Topical,0.48 g/100mL,DB06815
Kit,Topical,,DB06815
Lotion / shampoo,Topical,1 mg/1mL,DB06815
Liquid,Topical,0.97 mg/1mL,DB06815
Lotion / shampoo,Topical,0.1 g/100mL,DB06815
Solution,Topical,,DB06815
Cream,Topical,1 mL/100mL,DB06815
Shampoo,Topical,1 g/1mL,DB06815
Liquid,Topical,20 mg/1mL,DB06815
Gel,Topical,2.0 g/100g,DB06815
Shampoo,Topical,4.04 g/400mL,DB06815
"Shampoo, suspension",Topical,1 g/100mL,DB06815
"Shampoo, suspension",Topical,0.45 mL/100mL,DB06815
"Shampoo, suspension",Topical,1 mL/100mL,DB06815
Shampoo,Topical,1 mg/100mL,DB06815
Cream,Topical,3 mg/1000mL,DB06815
Liquid,Topical,29 mg/1mL,DB06815
Shampoo,Topical,2.41 g/237mL,DB06815
Shampoo,Cutaneous,0.6 mL/360mL,DB06815
Shampoo,Topical,2.1 g/100mL,DB06815
Shampoo,Topical,1 mL/100mL,DB06815
Liquid,Topical,10 mg/1mL,DB06815
Liquid,Topical,1 mL/100mL,DB06815
Liquid,Topical,1.0 mL/100mL,DB06815
Cream,Topical,95 mg/1mL,DB06815
Shampoo,Topical,0.95 %,DB06815
Shampoo,Topical,9.5 mg/1mL,DB06815
Shampoo,Topical,5 g/250g,DB06815
Shampoo,Topical,10 mg/1g,DB06815
Shampoo,Topical,3 mg/300mL,DB06815
Solution,Topical,0.95 g/100mL,DB06815
Aerosol,Topical,,DB06815
Shampoo,Topical,6 mg/1mL,DB06815
Shampoo,Topical,0.5 mL/100mL,DB06815
Shampoo,Topical,1.0 mL/100mL,DB06815
Suspension,Topical,0.5 mL/100mL,DB06815
Cream,Topical,1 mg/1g,DB06815
"Shampoo, suspension",Topical,10 mg/1mL,DB06815
Lotion,Topical,1 mg/1mL,DB06815
Lotion / shampoo,Topical,1.2 g/1mL,DB06815
Shampoo,Topical,.01 g/.01g,DB06815
Rinse,Topical,.005 g/1g,DB06815
Rinse,Topical,1 g/100mL,DB06815
Rinse,Topical,5 mg/1mL,DB06815
Cream,Topical,0.125 g/100mL,DB06815
Soap,Topical,2 g/100g,DB06815
Shampoo,Topical,5 g/500g,DB06815
Cream,Topical,250 mg/100g,DB06815
Liquid,Topical,5 g/1000g,DB06815
Shampoo,Topical,2 g/100g,DB06815
Lotion / shampoo,Topical,20 mg/400mg,DB06815
Shampoo,Topical,20 mg/400mg,DB06815
Liquid,Topical,2 g/100mL,DB06815
Soap,Topical,0.020 g/1,DB06815
Suspension,Oral,,DB06816
"Tablet, film coated",Oral,,DB06817
"Granule, for suspension",Oral,100 mg/1,DB06817
Tablet,Oral,400 mg,DB06817
"Tablet, chewable",Oral,100 mg,DB06817
"Tablet, chewable",Oral,100 mg/1,DB06817
"Tablet, chewable",Oral,25 mg,DB06817
"Tablet, chewable",Oral,25 mg/1,DB06817
"Tablet, film coated",Oral,400 mg/1,DB06817
"Tablet, film coated",Oral,600 mg/1,DB06817
Tablet,Oral,,DB06817
Powder,Not applicable,1 kg/1kg,DB06817
Granule,Oral,940 mg/g,DB06819
Tablet,Oral,500 mg,DB06819
Powder,Oral,0.94 g/1g,DB06819
Tablet,Oral,500 mg/1,DB06819
Granule,Oral,,DB06819
Cream,Topical,10 mg/1g,DB06820
Solution,Topical,10 mg/1mL,DB06820
Injection,Subcutaneous,20000 [iU]/1mL,DB06822
"Injection, solution",Subcutaneous,20000 [iU]/1mL,DB06822
Solution,Subcutaneous,10000 unit,DB06822
Solution,Subcutaneous,12000 unit,DB06822
Solution,Subcutaneous,16000 unit,DB06822
Solution,Subcutaneous,20000 unit,DB06822
Solution,Subcutaneous,8000 unit,DB06822
Liquid,Subcutaneous,,DB06822
"Tablet, sugar coated",Oral,100 mg/1,DB06823
"Tablet, delayed release",Oral,100 mg/1,DB06823
"Tablet, delayed release",Oral,300 mg/1,DB06823
Capsule,Oral,250 mg/1,DB06824
"Capsule, gelatin coated",Oral,250 mg/1,DB06824
Solution,Subcutaneous,,DB06825
,Intramuscular,11.25 mg/2mL,DB06825
,Intramuscular,22.5 mg/2mL,DB06825
,Intramuscular,3.75 mg/2mL,DB06825
"Injection, powder, for suspension, extended release",Intramuscular,11.25 mg,DB06825
"Injection, powder, for suspension, extended release",Intramuscular,22.5 mg,DB06825
"Injection, powder, for suspension, extended release",Intramuscular,3.75 mg,DB06825
"Injection, powder, lyophilized, for suspension",Intramuscular,11.25 mg/2mL,DB06825
"Injection, powder, lyophilized, for suspension",Intramuscular,22.5 mg/2mL,DB06825
"Injection, powder, lyophilized, for suspension",Intramuscular,3.75 mg/2mL,DB06825
Kit,Intramuscular,11.25 mg/2mL,DB06825
Kit,Intramuscular,22.5 mg/2mL,DB06825
Kit,Intramuscular,3.75 mg/2mL,DB06825
Solution,Ophthalmic,0.15 %,DB06826
Solution / drops,Ophthalmic,1.5 mg/1mL,DB06826
"Injection, powder, lyophilized, for solution",Intravenous,1 g/10mL,DB07565
Injection,Intravenous,100 mg/1mL,DB07565
"Tablet, coated",Oral,,DB07776
Liquid,Topical,,DB08231
Injectable foam,Topical,,DB08231
"Injection, powder, for solution",Intramuscular; Intravenous,40 mg,DB08439
"Injection, powder, for solution",Intramuscular; Intravenous,40 mg/1,DB08439
Soap,Topical,0.003 mg/1mL,DB08604
Solution,Topical,11.7 g/100mL,DB08604
Lotion,Topical,,DB08604
Solution,Topical,1.15 mg/1mL,DB08604
Liquid,Topical,0.3 g/10mL,DB08604
Liquid,Topical,0.8 mL/1L,DB08604
Liquid,Topical,0.3 g/100g,DB08604
Solution,Topical,0.15 g/100g,DB08604
Gel; soap,Topical,,DB08604
Solution,Topical,2 mg/1mL,DB08604
Soap,Topical,3 mg/1g,DB08604
Soap,Topical,0.1 mL/100mL,DB08604
Lotion,Topical,3 mg/1g,DB08604
Soap,Topical,.3 g/100mL,DB08604
Lotion,Topical,0.3 g/100mL,DB08604
Solution,Topical,0.70 g/1mL,DB08604
Liquid,Topical,0.70 g/1mL,DB08604
Liquid,Topical,0.30 mL/100mL,DB08604
Liquid,Topical,0.115 mL/100mL,DB08604
Liquid,Topical,0.476 mL/340mL,DB08604
Liquid,Topical,1.15 mg/100mL,DB08604
Soap,Topical,.1 mL/100mL,DB08604
Soap,Topical,.888 mL/444mL,DB08604
Soap,Topical,0.15 mL/100L,DB08604
Liquid,Topical,2 g/1L,DB08604
Liquid,Topical,.04 mL/100mL,DB08604
Soap,Topical,0.3 g/100g,DB08604
Liquid,Topical,0.15 %,DB08604
Soap,Topical,.115 kg/100L,DB08604
Liquid,Topical,0.46 mL/100mL,DB08604
Solution,Topical,0.869 mL/289.82mL,DB08604
Liquid,Topical,0.60 mL/100mL,DB08604
Liquid,Topical,0.4600 mL/100mL,DB08604
Soap,Topical,3.0 mg/1mL,DB08604
Solution,Topical,0.46 mL/100mL,DB08604
Liquid,Topical,0.15 kg/100L,DB08604
Soap,Topical,.886 mL/443mL,DB08604
Soap,Topical,0.15 mg/1000mL,DB08604
Soap,Topical,1.5 mg/1mL,DB08604
Soap,Topical,0.15 g/100g,DB08604
Lotion,Topical,0.3 %,DB08604
Solution,Topical,0.994 mL/331.22mL,DB08604
Lotion / shampoo,Topical,0.1150 mL/100mL,DB08604
Lotion,Topical,0.1150 mL/100mL,DB08604
Liquid,Topical,0.115 L/100L,DB08604
Liquid,Extracorporeal,2.5 mg/500mL,DB08604
Liquid,Topical,.115 kg/100L,DB08604
Solution,Topical,0.6 mL/100mL,DB08604
Liquid,Topical,0.1500 mL/100mL,DB08604
Soap,Topical,3.0 g/946mL,DB08604
Soap,Topical,0.75 g/237mL,DB08604
Soap,Topical,0.3000 mL/100.0000mL,DB08604
Liquid,Topical,0.15 L/100L,DB08604
Soap,Topical,0.2 mg/100mL,DB08604
Solution,Topical,0.15 mL/100mL,DB08604
Spray,Topical,,DB08604
Swab,Topical,0.2 g/100g,DB08604
Soap,Topical,0.375 mg/100mL,DB08604
Soap,Topical,0.375 g/100mL,DB08604
Soap,Topical,,DB08604
Cream,Topical,0.3 g/100g,DB08604
Liquid,Topical,0.15 g/100g,DB08604
Liquid,Topical,0.025 mL/100mL,DB08604
Lotion,Topical,0.15 g/100g,DB08604
Soap,Topical,25 g/100g,DB08604
Soap,Topical,3 mL/1000mg,DB08604
Liquid,Topical,3 mL/1000mL,DB08604
Gel,Topical,2.5 mg/1mL,DB08604
Spray,Topical,0.3 %,DB08604
Liquid,Topical,0.0189 L/3.78L,DB08604
Liquid,Topical,,DB08604
Liquid,Topical,0.3 %,DB08604
Solution,Topical,3.06 mg/1mL,DB08604
Soap,Topical,0.25 g/100g,DB08604
Soap,Topical,0.2 g/100mL,DB08604
Liquid,Topical,0.5 mL/100mL,DB08604
Solution,Topical,0.15 mL/1000mL,DB08604
Soap,Topical,0.16 g/100g,DB08604
Lotion,Topical,1.7 mg/1mL,DB08604
Liquid,Topical,1.545 mg/1mL,DB08604
Cream,Topical,0.30 mL/100mL,DB08604
Liquid,Topical,.30 mL/100mL,DB08604
Gel,Topical,0.30 mL/100mL,DB08604
Liquid,Topical,0.003 mL/1mL,DB08604
Liquid,Topical,3 mg/1mL,DB08604
Soap,Topical,6.0 mg/1mL,DB08604
Liquid,Topical,0.025 g/10mL,DB08604
Solution,Topical,0.3 mg/100mL,DB08604
Soap,Topical,.15 g/100mL,DB08604
Suspension,Topical,,DB08604
Gel,Topical,0.5 mL/125mL,DB08604
Liquid,Topical,1 g/100mL,DB08604
"Paste, dentifrice",Oral,,DB08604
"Gel, dentifrice",Dental,,DB08604
"Paste, dentifrice",Dental,,DB08604
Liquid,Topical,0.2 mg/100mL,DB08604
Liquid,Topical,2 mg/100mL,DB08604
Soap,Topical,0.46 mL/100mL,DB08604
Soap,Topical,1 mg/1g,DB08604
Soap,Topical,0.1 g/100g,DB08604
Liquid,Topical,1 mg/1mL,DB08604
Liquid,Topical,.70 mL/100mL,DB08604
Liquid,Topical,7 mg/100mL,DB08604
Liquid,Topical,0.70 mL/100mL,DB08604
Liquid,Topical,7.57 mL/3.78L,DB08604
Soap,Topical,1.0 mg/1mL,DB08604
Aerosol,Topical,,DB08604
Gel,Topical,,DB08604
Soap,Topical,.03 g/1g,DB08604
Liquid,Topical,0.375 mL/100mL,DB08604
Liquid,Topical,0.3 mg/100mL,DB08604
Cream,Topical,,DB08604
Liquid,Topical,3.1 mg/1mL,DB08604
Solution,Topical,0.15 g/100mL,DB08604
Solution,Topical,0.46 g/100mL,DB08604
Solution,Topical,4.6 mg/1mL,DB08604
Solution,Topical,0.46 mL/1000mL,DB08604
Solution,Topical,0.46 mg/1000mL,DB08604
"Aerosol, foam",Topical,2.94 ug/1mL,DB08604
Liquid,Topical,0.15 mL/100mL,DB08604
Liquid,Topical,0.30 %,DB08604
Solution,Topical,0.3 mL/100mL,DB08604
Solution,Topical,10 mg/1mL,DB08604
Kit,Topical,,DB08604
Liquid,Topical,0.2 g/100g,DB08604
Liquid,Topical,0.2 %,DB08604
Solution,Topical,2.05 mg/1mL,DB08604
Liquid,Topical,1 %,DB08604
Solution,Topical,10.35 mg/1mL,DB08604
Solution,Topical,10.3 mg/1mL,DB08604
Liquid,Topical,.46 g/100mL,DB08604
Soap,Topical,4.5 mg/1mL,DB08604
Lotion,Topical,7.5 mg/1mL,DB08604
Liquid,Topical,0.46 mg/100mL,DB08604
Soap,Topical,0.15 g/100mL,DB08604
Liquid,Topical,0.46 g/100mL,DB08604
Liquid,Topical,0.5 mg/100mL,DB08604
Liquid,Topical,0.6 mL/100mL,DB08604
Soap,Topical,0.4600 mL/100.0000mL,DB08604
Soap,Topical,0.6000 mL/100mL,DB08604
Liquid,Topical,.46 mg/1mL,DB08604
Liquid,Topical,6 mg/1mL,DB08604
Soap,Topical,0.004 g/1g,DB08604
Liquid,Topical,0.3 g/100mL,DB08604
Soap,Topical,.003 g/1g,DB08604
Lotion,Vaginal,0.12 g/100g,DB08604
Liquid,Topical,5 mg/1mL,DB08604
Aerosol,Topical,3 mg/1mL,DB08604
Shampoo,Topical,3 mg/1mL,DB08604
Soap,Topical,0.0057 g/1g,DB08604
Soap,Topical,1.0 g/100g,DB08604
Soap,Topical,2.0 g/100g,DB08604
Solution,Topical,0.06 g/1000g,DB08604
Liquid,Topical,0.003 mg/1mL,DB08604
"Aerosol, spray",Topical,,DB08604
Gel,Topical,0.15 mg/1mL,DB08604
Gel,Topical,7.5 mg/500mg,DB08604
Soap,Topical,0.5 mg/100mL,DB08604
Gel,Percutaneous,2 mL/100mL,DB08604
Cloth,Topical,0.5 %,DB08604
Liquid,Topical,1 mL/100mL,DB08604
Solution,Topical,0.15 mg/100mL,DB08604
Liquid,Topical,0.375 g/100mL,DB08604
Liquid,Topical,.9 g/300g,DB08604
Liquid,Topical,3.15 g/1000mL,DB08604
Solution,Topical,20.8 g/100mL,DB08604
Soap,Topical,0.007 g/1mL,DB08604
Soap,Topical,0.003 g/1mL,DB08604
Soap,Topical,0.1500 mL/100.0000mL,DB08604
Soap,Topical,0.0005 g/1g,DB08604
Liquid,Topical,.01 g/10mL,DB08604
Lotion,Extracorporeal,2 g/500mL,DB08604
Cloth,Topical,,DB08604
Liquid,Topical,7.5 mg/1mL,DB08604
Liquid,Topical,0.75 g/100mL,DB08604
Liquid,Topical,0.2 g/100mL,DB08604
Solution,Topical,2.5 g/1L,DB08604
Solution,Topical,0.005 g/0.001L,DB08604
Liquid,Extracorporeal,0.176 mg/100mL,DB08604
Liquid,Extracorporeal,0.176 mg/80mL,DB08604
Liquid,Topical,.2 mL/100mL,DB08604
Liquid,Topical,0.25 g/100mL,DB08604
Gel,Topical,10 mg/500mg,DB08604
Solution,Topical,0.575 mL/500mL,DB08604
Soap,Topical,0.2 g/100g,DB08604
Liquid,Topical,0.1 mL/100mL,DB08604
Liquid,Topical,1.5 g/1L,DB08604
Soap,Topical,6 mg/1mL,DB08604
Solution,Topical,0.3 g/100mL,DB08604
Solution,Topical,0.1 g/100mL,DB08604
Soap,Topical,3.75 mg/1mL,DB08604
Soap,Topical,0.375 g/100g,DB08604
Liquid,Topical,0.5 g/1000mL,DB08604
Liquid,Topical,5 mg/1g,DB08604
Liquid,Topical,7.5 mg/1g,DB08604
Soap,Topical,3 mL/1000mL,DB08604
Liquid,Topical,0.5 mL/250mL,DB08604
Liquid,Topical,2 mg/1mL,DB08604
Soap,Topical,3 mg/1mL,DB08604
Soap,Topical,0.003 g/1g,DB08604
Gel,Topical,0.55 mL/100mL,DB08604
Liquid,Topical,0.25 mL/100mL,DB08604
Soap,Topical,0.3 mg/100mL,DB08604
Liquid,Dental,,DB08604
Solution,Topical,.46 g/100mL,DB08604
Soap,Topical,.46 g/100mL,DB08604
Soap,Topical,318.975 mL/2126.5mL,DB08604
Gel,Topical,1.5 mg/1mL,DB08604
Soap,Percutaneous,4.5 mg/1mL,DB08604
Soap,Topical,0.5 g/100g,DB08604
Liquid,Topical,0.50 mg/100mL,DB08604
Liquid,Topical,.55 mL/100mL,DB08604
Soap,Topical,0.115 g/100g,DB08604
Solution,Topical,0.1 mg/100mL,DB08604
Liquid,Topical,0.4 mL/100mL,DB08604
Soap,Topical,0.2 mL/100mL,DB08604
Liquid,Topical,0.115 g/100g,DB08604
Solution,Topical,18.9 g/100mL,DB08604
Soap,Topical,.562 mL/562mL,DB08604
Soap,Topical,0.15 L/100L,DB08604
Soap,Topical,0.003 mL/1mL,DB08604
Liquid,Topical,3 mg/0.001L,DB08604
Liquid,Topical,0.30 kg/100kg,DB08604
Liquid,Topical,0.30 mg/100mL,DB08604
Soap,Topical,5 mg/1mL,DB08604
Cream,Topical,1.5 g/1L,DB08604
Liquid,Topical,0.0015 mg/1mL,DB08604
Liquid,Topical,.003 mg/1mL,DB08604
Soap,Topical,0.3 g/1L,DB08604
Solution,Topical,,DB08604
Swab,Topical,,DB08604
Solution,Topical,0.00025 g/1g,DB08604
Soap,Topical,0.002 g/1mL,DB08604
Soap,Topical,0.115 mL/100mL,DB08604
Soap,Topical,0.6 mL/100mL,DB08604
Soap,Topical,0.15 mL/100mL,DB08604
Liquid,Topical,0.15 mg/100mL,DB08604
Liquid,Topical,1.5 mg/1mL,DB08604
Liquid,Topical,3.54 mL/118mL,DB08604
Soap,Cutaneous,2 mg/1mL,DB08604
Soap,Topical,0.25 g/100mL,DB08604
Liquid,Topical,.15 g/100mL,DB08604
Liquid,Topical,1.08 g/1L,DB08604
Liquid,Topical,1.5 mg/100mL,DB08604
Gel,Topical,0.15 mL/100mL,DB08604
Solution,Topical,0.25 g/100mL,DB08604
Solution,Topical,0.25 %,DB08604
Liquid,Topical,2.5 mg/1mL,DB08604
Liquid,Topical,0.3 mL/100mL,DB08604
Gel,Topical,0.2 mL/100mL,DB08604
Gel,Topical,3 mg/1mL,DB08604
Liquid,Topical,3 g/1000mL,DB08604
Soap,Topical,4.6 mg/1mL,DB08604
Soap,Topical,0.46 g/100mL,DB08604
Soap,Topical,0.3 g/100mL,DB08604
Liquid,Topical,1.15 mg/1mL,DB08604
Soap,Topical,0.5 mL/100mL,DB08604
Liquid,Topical,115 mg/100mL,DB08604
Liquid,Topical,11.7 g/100mL,DB08604
Liquid,Topical,0.55 %,DB08604
Liquid,Topical,5 g/1L,DB08604
Liquid,Topical,0.55 g/100mL,DB08604
Liquid,Topical,5.5 g/1L,DB08604
Solution,Topical,5 g/1L,DB08604
Liquid,Topical,1.15 g/1L,DB08604
Liquid,Topical,0.46 mg/1mL,DB08604
Soap,Topical,0.12 mL/100mL,DB08604
Lotion,Topical,0.15 mL/100mL,DB08604
Lotion,Topical,.79 g/293g,DB08604
Shampoo,Topical,,DB08604
Soap,Topical,0.5 g/100mL,DB08604
Liquid,Topical,3 g/1L,DB08604
Gel,Topical,1 mg/1mL,DB08604
Liquid; shampoo,Topical,,DB08604
Soap,Topical,2 g/1L,DB08604
Solution,Topical,3 mg/1mL,DB08604
Cream,Topical,0.3 g/100mL,DB08604
Cream,Cutaneous,,DB08604
Soap,Topical,0.6 mL/100.0000mL,DB08604
Liquid,Topical,4.6 mg/1mL,DB08604
Liquid,Topical,0.5 g/100mL,DB08604
Paste,Dental,,DB08604
Sponge,Topical,5 mg/1mL,DB08604
Liquid,Topical,29 mg/1mL,DB08604
Soap,Topical,1.15 mg/1mL,DB08604
Gel,Topical,0.3 g/100g,DB08604
Liquid,Topical,300 mg/100mL,DB08604
Soap,Topical,6 1/1mL,DB08604
Liquid,Topical,1.2 mL/1L,DB08604
Spray,Topical,1.2 mL/10mL,DB08604
Soap,Topical,.002 g/1mL,DB08604
Soap,Topical,6.6 1/443mL,DB08604
Soap,Topical,3.3 mg/221mL,DB08604
Gel,Topical,1 mg/237mg,DB08604
Liquid,Topical,1.5 g/100g,DB08604
Liquid,Topical,0.01 g/10mL,DB08604
Soap,Topical,0.1 g/100mL,DB08604
Liquid,Topical,0.1 %,DB08604
Kit,Oral; Respiratory (inhalation); Topical,,DB08797
Kit,Ophthalmic; Oral; Respiratory (inhalation); Topical,,DB08797
Kit,Ophthalmic; Oral; Topical,,DB08797
"Capsule, gelatin coated",Oral,,DB08797
Tablet,Oral,,DB08797
Liquid,Ophthalmic,,DB08799
"Capsule, gelatin coated",Oral,,DB08799
Solution / drops,Ophthalmic,,DB08799
Solution,Ophthalmic,,DB08799
Solution,Intramuscular,,DB08804
Liquid,Intramuscular,,DB08804
Injection,Intramuscular,100 mg/1mL,DB08804
Injection,Intramuscular,200 mg/1mL,DB08804
"Injection, solution",Intramuscular,200 mg/1mL,DB08804
Liquid,Topical,,DB08809
Solution,Intravenous; Subcutaneous,,DB08813
Tablet,Oral,120 mg,DB08815
Tablet,Oral,20 mg,DB08815
Tablet,Oral,40 mg,DB08815
Tablet,Oral,60 mg,DB08815
Tablet,Oral,80 mg,DB08815
"Tablet, film coated",Oral,120 mg/1,DB08815
"Tablet, film coated",Oral,20 mg/1,DB08815
"Tablet, film coated",Oral,40 mg/1,DB08815
"Tablet, film coated",Oral,60 mg/1,DB08815
"Tablet, film coated",Oral,80 mg/1,DB08815
"Tablet, coated",Oral,120 mg/1,DB08815
"Tablet, coated",Oral,20 mg/1,DB08815
"Tablet, coated",Oral,40 mg/1,DB08815
"Tablet, coated",Oral,60 mg/1,DB08815
"Tablet, coated",Oral,80 mg/1,DB08815
Tablet,Oral,60 mg,DB08816
Tablet,Oral,90 mg,DB08816
"Tablet, film coated",Oral,60 mg,DB08816
"Tablet, film coated",Oral,90 mg,DB08816
Tablet,Oral,60 mg/1,DB08816
Tablet,Oral,90 mg/1,DB08816
Patch,Topical,0.4298 mg/100mg,DB08818
Gel,Topical,,DB08818
Patch,Topical,,DB08818
Cream,Topical,0.00006 g/30mL,DB08818
Gel,Topical,0.000015 g/15mL,DB08818
Cream,Topical,,DB08818
Liquid,Topical,20 mg/500mL,DB08818
"Film, extended release",Topical,,DB08818
Patch,Topical,99.97 mg/100mg,DB08818
Patch,Topical,94.39 mg/100mg,DB08818
Patch,Topical,6.1 g/100mg,DB08818
Lotion,Topical,,DB08818
Kit,Topical,,DB08818
Lotion / shampoo,Topical,0.05 g/50mL,DB08818
Lotion / shampoo,Topical,0.23 g/230mL,DB08818
Granule,Oral,,DB08818
Cream,Topical,0.15 g/50mL,DB08818
Injection,Intraepidermal,2.5 g/1,DB08818
"Injection, solution",Intra-articular,,DB08818
Gel,Topical,3.5 mg/1mL,DB08818
Patch,Topical,1.14 g/41,DB08818
Gel,Topical,0.25 g/10g,DB08818
Gel,Topical,2.5 g/100g,DB08818
Lotion,Topical,1 mg/1mL,DB08818
Patch,Topical,99.97 g/100g,DB08818
Emulsion,Topical,,DB08818
Patch,Topical,67.9 mg/70mg,DB08818
Gel,Topical,0.005 g/100g,DB08818
Cream,Topical,0.0014 g/28g,DB08818
Solution,Topical,0.01 g/100mL,DB08818
Solution,Topical,0.01 mL/100mL,DB08818
Patch,Topical,6.14 g/100g,DB08818
Gel,Topical,1000 g/20mL,DB08818
Liquid,Topical,100 g/100mL,DB08818
Liquid,Topical,6 g/100mL,DB08818
Patch,Topical,0.056 g/100mL,DB08818
Patch,Topical,99 g/100g,DB08818
Gel,Topical,0.1 mg/1mL,DB08818
Solution,Ophthalmic,,DB08819
Solution,Ophthalmic,0.0045 mg/0.3mL,DB08819
Solution / drops,Ophthalmic,0.0045 mg/0.3mL,DB08819
Granule,Oral,25 mg/1,DB08820
Granule,Oral,50 mg,DB08820
Granule,Oral,50 mg/1,DB08820
Granule,Oral,75 mg,DB08820
Granule,Oral,75 mg/1,DB08820
Tablet,Oral,150 mg,DB08820
"Tablet, film coated",Oral,150 mg/1,DB08820
Granule,Oral,,DB08820
Tablet,Oral,,DB08820
"Tablet, film coated",Oral,,DB08820
,Oral,,DB08820
Tablet,Oral,40 mg,DB08822
Tablet,Oral,40 mg/1,DB08822
Tablet,Oral,80 mg,DB08822
Tablet,Oral,80 mg/1,DB08822
Tablet,Oral,,DB08822
Suspension,Topical,9 mg/1mL,DB08823
"Injection, solution",Intravenous,2 mCi/1mL,DB08824
"Injection, solution",Intravenous,74 MBq/ml,DB08824
Tablet,Oral,500 mg/1,DB08826
Solution,Oral,100 mg/1mL,DB08826
Solution,Oral,100 mg/ml,DB08826
Solution,Oral,100 mg,DB08826
Tablet,Oral,1000 mg,DB08826
Tablet,Oral,1000 mg/1,DB08826
Tablet,Oral,500 mg,DB08826
"Tablet, film coated",Oral,1000 mg/1,DB08826
"Tablet, film coated",Oral,1000 mg,DB08826
"Tablet, film coated",Oral,500 mg/1,DB08826
"Tablet, film coated",Oral,500 mg,DB08826
Capsule,Oral,10 mg,DB08827
Capsule,Oral,10 mg/1,DB08827
Capsule,Oral,20 mg,DB08827
Capsule,Oral,20 mg/1,DB08827
Capsule,Oral,30 mg/1,DB08827
Capsule,Oral,40 mg/1,DB08827
Capsule,Oral,5 mg,DB08827
Capsule,Oral,5 mg/1,DB08827
Capsule,Oral,60 mg/1,DB08827
Capsule,Oral,150 mg,DB08828
Capsule,Oral,150 mg/1,DB08828
Cream,Topical,,DB08847
Cream,Topical,0.5 mL/100mL,DB08847
Cream,Topical,0.5 1/100mL,DB08847
Emulsion,Topical,0.5 mL/100mL,DB08847
Cream,Topical,0.51 1/100mL,DB08847
Liquid,Topical,,DB08847
Cream,Topical,0.525 mL/100mL,DB08847
