kind,value,source,parent_key
logP,-0.74,"HANSCH,C ET AL. (1995)",DB01329
Melting Point,165-167,"Christiansen, B.G. and Firestone, R.A.; US. Patent 3,775,410; November 27, 1973; assigned Hazen, G.C.; U.S. Patent 3,780,033; December 18, 1973; assigned  to Merck & Company, Inc.",DB01331
logP,-0.02,SANGSTER (1993),DB01331
Melting Point,277,"Takaya, T., Masugi, T., Takasugi, H. and Kochi, H.;U.S. Patent 4,166,115; assigned to Fuji-
sawa Pharmaceutical & ., Ltd.",DB01332
Water Solubility,2.13E+004 mg/L,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01333
Melting Point,140 °C,PhysProp,DB01333
Water Solubility,5E+005 mg/L,MERCK INDEX (1996),DB01337
Melting Point,215 °C,PhysProp,DB01337
Melting Point,228 °C,PhysProp,DB01339
Water Solubility,Water (25 ºC) 0.5 g/100 mL ,,DB01340
Melting Point,98 ºC with decomposition ,,DB01340
logP,0.8,,DB01340
Water Solubility,110 g/l (20°C) (potassium sulfate),MSDS,DB01345
Melting Point,1067 °C (potassium sulfate),MSDS,DB01345
Boiling Point,1689 °C (potassium sulfate),MSDS,DB01345
Water Solubility,603 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01351
Melting Point,157 °C,PhysProp,DB01351
logP,2.07,"HANSCH,C ET AL. (1995)",DB01351
logS,-2.57,"ADME Research, USCD",DB01351
pKa,7.84,SANGSTER (1994),DB01351
Water Solubility,4080 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01352
Melting Point,141 °C,PhysProp,DB01352
logP,1.15,"HANSCH,C ET AL. (1995)",DB01352
pKa,7.99 (at 25 °C),"KORTUM,G ET AL (1961)",DB01352
Water Solubility,4880 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01353
Melting Point,128.5 °C,PhysProp,DB01353
logP,1.73,"HANSCH,C ET AL. (1995)",DB01353
logS,-1.64,"ADME Research, USCD",DB01353
pKa,7.86,SANGSTER (1994),DB01353
Water Solubility,250 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01354
Melting Point,174,"U.S. Patent 2,501,551.",DB01354
logP,2.03,"HANSCH,C ET AL. (1995)",DB01354
Water Solubility,435 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01355
Melting Point,146.5 °C,PhysProp,DB01355
logP,1.98,SANGSTER (1994),DB01355
logS,-2.74,"ADME Research, USCD",DB01355
pKa,8.2,SANGSTER (1994),DB01355
Water Solubility,Violent reaction,International Labour Organization,DB01356
Melting Point,180.5,International Labour Organization,DB01356
Boiling Point,1336,International Labour Organization,DB01356
Melting Point,150.5 °C,PhysProp,DB01357
Boiling Point,438.2,http://www.chemnet.com/cas/fr/38363-40-5/Penbutolol.html,DB01359
logP,4.15,"HANSCH,C ET AL. (1995)",DB01359
Melting Point,174-180 °C,PhysProp,DB01362
logP,-3.05,"HANSCH,C & LEO,AJ (1985)",DB01362
Water Solubility,6.36E+004 mg/L (at 30 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01364
Melting Point,34 °C,PhysProp,DB01364
Boiling Point,255 °C,PhysProp,DB01364
logP,1.13,"AVDEEF,A (1997)",DB01364
pKa,10.3 (at 0 °C),"PERRIN,DD (1965)",DB01364
Melting Point,< 25 °C,PhysProp,DB01365
Melting Point,2.375 g·cm −3,,DB01370
Melting Point,839°C,MSDS,DB01373
Boiling Point,1484°C,MSDS,DB01373
logP,-1.85,"YOKEL,RA & MCNAMARA,PJ (1988)",DB01375
Melting Point,651 °C,PhysProp,DB01378
Boiling Point,1100 °C,PhysProp,DB01378
Water Solubility,20 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01380
Melting Point,227-229,"Reichstein,T.; US. Patent 2,403,683; July 9, 1946.
Gallagher,T.F.; US. Patent 2,447,325; August 17,1948; assigned to Research Corporation.
Sarett, L.H.; U.S. Patent 2,541,104; February 13, 1951; assigned to Merck & Co., Inc. ",DB01380
logP,2.10,"HANSCH,C ET AL. (1995)",DB01380
Melting Point,220-223,"U.S. Patent 3,275,635.",DB01382
caco2 Permeability,-4.87,"ADME Research, USCD",DB01388
Water Solubility,1E+005 mg/L (at 25 °C),MERCK INDEX (1996),DB01390
Melting Point,Decomposes around 50 °C,,DB01390
pKa,6.3,,DB01390
Melting Point,241 °C,PhysProp,DB01392
logP,2.73,"HANSCH,C ET AL. (1995)",DB01392
Melting Point,186 °C,PhysProp,DB01393
Water Solubility,10 mg/mL,https://www.chemicalbook.com/ChemicalProductProperty_US_CB6391144.aspx,DB01394
Melting Point,150-160,https://www.chemicalbook.com/ChemicalProductProperty_US_CB6391144.aspx,DB01394
Boiling Point,522.37,https://www.chemicalbook.com/ChemicalProductProperty_US_CB6391144.aspx,DB01394
logP,1.07,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL107/,DB01394
pKa,12.36,https://www.chemicalbook.com/ChemicalProductProperty_US_CB6391144.aspx,DB01394
Melting Point,196-200,https://www.chemicalbook.com/ChemicalProductProperty_US_CB8695608.aspx,DB01395
Boiling Point,552.2,https://www.lookchem.com/Drospirenone/,DB01395
logP,3.08,https://pdf.hres.ca/dpd_pm/00042999.PDF,DB01395
logS,-5.2,http://www.hmdb.ca/metabolites/HMDB0015467,DB01395
pKa,-5,http://www.hmdb.ca/metabolites/HMDB0015467,DB01395
Water Solubility,3.9 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01396
Melting Point,255.5 °C,PhysProp,DB01396
logP,1.85,SANGSTER (1993),DB01396
Melting Point,147 °C,PhysProp,DB01399
Water Solubility,20 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01403
logP,4.68,"HANSCH,C ET AL. (1995)",DB01403
logS,-4.22,"ADME Research, USCD",DB01403
pKa,9.19,SANGSTER (1994),DB01403
logP,-0.20,BIOBYTE (1995),DB01405
Melting Point,224.2-226.8,"Clinton, R. and Hanson, A.; US. Patent 3,135,743; June 2, 1964; assigned to Sterling Drug.",DB01406
logP,0.51,"PERRISSOUD,D & TESTA,B (1986)",DB01406
Melting Point,174-175.5,"Keck, J., Kruger, G., Machleidt, H., Noll, K., Engelhardt, G. and Eckenfels, A.; U S . Patent
3,536,712; October 27,1970: assigned to Boehringer lngelheim G.m.b.H. (Germany).",DB01407
Water Solubility,330 mg/L (at 25 °C),"YALKOWSKY,SH & HE,Y (2003)",DB01412
Melting Point,357 °C,PhysProp,DB01412
logP,-0.78,"HANSCH,C ET AL. (1995)",DB01412
pKa,9.9,"KORTUM,G ET AL (1961)",DB01412
Melting Point,168-170,"Bickel, H., Bosshardt, R., Fechtig, B., Schenker, K. and Urech, J.; U.S. Patent 3,483,197;
December 9,1969; assigned to Ciba Corporation.",DB01414
logP,-0.45,"HANSCH,C ET AL. (1995)",DB01414
Water Solubility,practically insoluble,MSDS,DB01418
Melting Point,196-199,Merck Index 23,DB01418
logP,1.98,SANGSTER (1994),DB01418
Melting Point,88-90,"Giudicelli, D.P.R.L., Najer, H., Manory, P.M.J. and Dumas, A.P.F.; January 27,1976; assigned to Synthelabo US. Patent 3,935,229.",DB01419
Water Solubility,1.48 mg/L (at 25ºC),"Yalkowsky, SH & Dannenfelser, RM. (1992)",DB01420
Melting Point,118-123 °C,Elks. The Dictionary of Drugs. (1990),DB01420
logS,-5.37,"ADME Research, USCD",DB01420
Melting Point,180 °C,PhysProp,DB01422
logP,1.99,"HANSCH,C ET AL. (1995)",DB01422
Water Solubility,5.44E+004 mg/L (at 30 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01424
Melting Point,134.5 °C,PhysProp,DB01424
logP,1.00,"HANSCH,C ET AL. (1995)",DB01424
logS,-0.63,"ADME Research, USCD",DB01424
caco2 Permeability,-4.44,"ADME Research, USCD",DB01424
pKa,5,SANGSTER (1994),DB01424
Melting Point,139 °C,"Bulteau, G., Acher, J., Collignon, C. and Monier, J.C.; U S . Patent 4,039,672; August 2,1977; assigned to Societe D'Etudes Scientifiques et lndustrielles de I'lle-de-France.",DB01425
logP,1.79,"MANNHOLD,R ET AL. (1990)",DB01425
Water Solubility,490 mg/L (at 30 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01426
Melting Point,206 °C,PhysProp,DB01426
logP,1.81,"HANSCH,C ET AL. (1995)",DB01426
logS,-2.82,"ADME Research, USCD",DB01426
Melting Point,294-297,"Lesher,G.Y. and Opalka, C.J.; US. Patent 4,004,012; January 18,1977; assigned to Sterling
Drug Inc.
Lesher, G.Y. and Opalka, C.J.; U.S. Patent 4,107,315; August 15,1978; assigned to Sterling
Drug Inc.",DB01427
Melting Point,65.5 °C,PhysProp,DB01428
Boiling Point,155 °C at 5.00E+00 mm Hg,PhysProp,DB01428
logP,3.79,CHEM INSPECT TEST INST (1992),DB01428
Melting Point,120-121 °C,"Vanhoof, P. and Clarebout, P.; British Patent 1,321,424; June 27, 1973; assigned to Manufacture de Produits Pharmaceutiques A. Christiaens, SA",DB01429
logP,4.86,"HANSCH,C ET AL. (1995)",DB01429
Melting Point,80 °C,PhysProp,DB01431
Water Solubility,Insoluble,,DB01432
logP,4.27,"HANSCH,C ET AL. (1995)",DB01433
Water Solubility,5.19E+004 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01435
Melting Point,114 °C,PhysProp,DB01435
Boiling Point,319 °C,PhysProp,DB01435
logP,0.38,"HANSCH,C ET AL. (1995)",DB01435
caco2 Permeability,-4.55,"ADME Research, USCD",DB01435
pKa,1.4,SANGSTER (1994),DB01435
Melting Point,136 °C,PhysProp,DB01436
Water Solubility,999 mg/L (at 30 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01437
Melting Point,78-81,"Hoffmann, K. and Tagmann, E.; U.S. Patent 2,673,205; March 23, 1954; assigned to Ciba Pharmaceutical Products, Inc.",DB01437
logP,1.90,"HANSCH,C ET AL. (1995)",DB01437
logS,-2.34,"ADME Research, USCD",DB01437
pKa,9.2,SANGSTER (1994),DB01437
Melting Point,139,https://www.lookchem.com/Phenazopyridine-hydrochloride/,DB01438
Boiling Point,442.3 ºC ,https://www.lookchem.com/Phenazopyridine-hydrochloride/,DB01438
logP,2.62,https://pdfs.semanticscholar.org/182c/23f8f9a5935f172b01241dd7c06d8d72b6f3.pdf,DB01438
logS,3.83,https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/phenazopyridine,DB01438
pKa,5.05,https://pdfs.semanticscholar.org/182c/23f8f9a5935f172b01241dd7c06d8d72b6f3.pdf,DB01438
Melting Point,181 °C,,DB01441
Melting Point,< 25 °C,PhysProp,DB01444
Boiling Point,157.5 °C at 3.00E+00 mm Hg,PhysProp,DB01444
Melting Point,146.5 °C,PhysProp,DB01445
Melting Point,98-100 °C,PhysProp,DB01446
Water Solubility,600 mg/L (at 25 °C),"SEIDELL,A (1941)",DB01452
Melting Point,173 °C,PhysProp,DB01452
Boiling Point,272-274 °C at 1.20E+01 mm Hg,PhysProp,DB01452
logP,1.58,"AVDEEF,A ET AL. (1996)",DB01452
pKa,7.95 (at 25 °C),"AVDEEF,A ET AL. (1996)",DB01452
Water Solubility,Poor water solubility ,"Meijer, D. K. F., et al. ""Pharmacokinetics of the oral narcotic analgesic bezitramide and preliminary observations on its effect on experimentally induced pain."" European journal of clinical pharmacology 27.5 (1984): 615-618.",DB01459
Melting Point,145-149 °C,PhysProp,DB01459
logP,4.80,SANGSTER (1993),DB01459
Melting Point,169–171 °C,,DB01460
logP,3.20,SANGSTER (1994),DB01463
Melting Point,28 °C,PhysProp,DB01464
Boiling Point,210 °C at 5.00E-01 mm Hg,PhysProp,DB01464
pKa,7.48,MERCK INDEX (1996),DB01464
logP,1.72,"HANSCH,C ET AL. (1995)",DB01465
Water Solubility,2610 mg/L (at 20 °C),"SEIDELL,A (1941)",DB01466
Melting Point,199-201 °C,PhysProp,DB01466
logP,2.81,"HANSCH,C ET AL. (1995)",DB01467
Melting Point,164 °C,PhysProp,DB01471
Water Solubility,2.6E+005 mg/L,MERCK INDEX (1996); approx.,DB01477
Melting Point,260 °C,PhysProp,DB01477
Melting Point,227-229,"Kohlstaedt, E. and Klingler, K.H.; U.S. Patent 3,029,239; April 10, 1962; assigned to Chemiewerke Homburg.",DB01482
Water Solubility,7460 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01483
Melting Point,190 °C,PhysProp,DB01483
Boiling Point,250 °C at 2.20E+01 mm Hg,PhysProp,DB01483
logP,0.65,"HANSCH,C ET AL. (1995)",DB01483
logS,-1.39,"ADME Research, USCD",DB01483
pKa,8.14 (at 15 °C),"KORTUM,G ET AL (1961)",DB01483
logP,2.58,"HANSCH,C & LEO,AJ (1985)",DB01484
Water Solubility,2E+004 mg/L (at 25 °C),BEILSTEIN,DB01486
Melting Point,77.5-78 °C,,DB01486
logP,0.83,SANGSTER (1994),DB01486
Melting Point,46 °C,PhysProp,DB01488
pKa,8.68,MERCK INDEX (1996),DB01488
Melting Point,173-174,"Ferrari, G. and Casagrande, C.; U.S. Patent 3,799,920; March 26,1974; assigned to Siphar SA.",DB01489
Melting Point,137 °C,PhysProp,DB01490
Melting Point,about 50,"Szpilfogel, S.A. and de Winter, M.S.; U.S. Patent 2,878,267; March 17, 1959; assigned to Organon Inc.
Szpilfogel, S.A., Hanegraaf, J.A. and van Dijck, L.A.; U.S. Patent 3,112,328; Nov. 26, 1963 assigned to Organon Inc.",DB01493
Melting Point,122.5-124.4,"Petrow, V., Thomas, A.J. and Stephenson, O.; U.S. Patent 3,028,420; April 3,1962; assigned to The British Drug Houses Limited, England.",DB01494
Melting Point,68 °C,PhysProp,DB01495
Melting Point,214-217 °C,PhysProp,DB01497
logP,2.79,SANGSTER (1993),DB01497
Melting Point,189 °C,PhysProp,DB01500
Melting Point,< 25 °C,PhysProp,DB01502
Boiling Point,176 °C at 5.00E-01 mm Hg,PhysProp,DB01502
logP,1.64,"HANSCH,C & LEO,AJ (1985)",DB01509
pKa,9.67 (at 25 °C),"PERRIN,DD (1965)",DB01509
logP,3.15,"HANSCH,C & LEO,AJ (1985)",DB01511
Melting Point,152,"Ohta, G., Takegoshi,T., Onodera, T., Kasahara, A., Oshima, Y., Shimizu, M. and Ueno, K.; U.S. Patent 3,245,988; April 12,1966; assigned to Daiichi Seiyaku KK, Japan.",DB01514
Melting Point,195 °C,PhysProp,DB01515
logP,1.21,"HANSCH,C & LEO,AJ (1985)",DB01516
Melting Point,189 °C,PhysProp,DB01521
Melting Point,75.5 °C,PhysProp,DB01523
Water Solubility,1.78E+005 mg/L,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01525
Melting Point,205 °C,PhysProp,DB01525
logS,-0.02,"ADME Research, USCD",DB01525
Melting Point,245-246,"Finocchio, D.V.and Heubner, C.F.; U.S. Patent 3,415,937; December 10,1968; assigned to
Ciba Corporation.",DB01527
logP,2.24,"HANSCH,C ET AL. (1995)",DB01528
Melting Point,182 °C,PhysProp,DB01529
logP,3.61,SANGSTER (1994),DB01529
Melting Point,103 °C,PhysProp,DB01534
Boiling Point,304.7°Cat760mmHg,,DB01534
Water Solubility,57.8 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01536
Melting Point,158 °C,PhysProp,DB01536
logP,2.75,"HANSCH,C ET AL. (1995)",DB01536
logS,-3.69,"ADME Research, USCD",DB01536
Melting Point,165 °C,PhysProp,DB01541
logP,2.97,BIOBYTE (1995),DB01542
Melting Point,166-167 °C,"Kariss, J. and Newmark, H.L.; U.S. Patent 3,116,203; December 31, 1963; assigned to Hoffmann-la Roche Inc.  Kariss, J. and Newmark, H.L.; US. Patent 3,123,529; March 3,1964; assigned to Hoffmann-La Roche Inc.  Keiler, O., Steiger, N. and Sternbach, L.H.; U.S. Patent 3,203,990; August 31, 1965; assigned to Hoffmann-La Roche Inc.",DB01544
logP,2.06,"HANSCH,C ET AL. (1995)",DB01544
Melting Point,196,"British Patent 1,538,165.",DB01545
Water Solubility,510 mg/L,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01546
Melting Point,221,"Young, E.H.P.; British Patent 933,786; August 14,1963; assigned to Imperial Chemical Industries Ltd.",DB01546
logS,-2.57,"ADME Research, USCD",DB01546
Melting Point,146,"Rohrbach, P. and Blum, J.; U.S. Patent 3,485,924; December 23, 1969; assigned to Manufactures J.R. Bottu (France).",DB01550
Melting Point,112.5 °C,PhysProp,DB01551
Water Solubility,1.43 mg/L at 25°C,"ChemIDplus, http://chem.sis.nlm.nih.gov/chemidplus/jsp/common/PhysicalProperties.jsp",DB01552
Boiling Point,354.295 °C at 760 mmHg ,"Chemspider, http://www.chemspider.com/Chemical-Structure.55066.html",DB01552
logP,3.61,"CRAIG,PN (1990)",DB01552
Melting Point,202-204,"Tachikawa, R., Takagi, H., Kamioka, T., Fukunaga, M., Kawano, Y. and Miyadera, T.; US. Patents 3,696,094; October 3,1972; and 3,772,371; November 13, 1973; both assigned to Sankyo Company Limited, Japan.",DB01553
Boiling Point,100-102 °C at 2.00E+00 mm Hg,,DB01556
logP,2.60,"HANSCH,C ET AL. (1995)",DB01556
logP,2.05,SANGSTER (1994),DB01558
Melting Point,105-106,"Nakanishi, M., Araki, K.,Tahara, T. and Shiroki, M.; US. Patent 3,849,405; November 19, 1974; assigned to Yoshitomi Pharmaceutical Industries, Ltd. ",DB01559
logP,3.18,"MARUYAMA,T ET AL. (1992)",DB01559
Water Solubility,7.93E+005 mg/L (at 25 °C),"YALKOWSKY,SH & HE,Y (2003)",DB01563
Melting Point,57 °C,PhysProp,DB01563
Boiling Point,98 °C,PhysProp,DB01563
logP,0.99,"HANSCH,C ET AL. (1995)",DB01563
Melting Point,128 °C,PhysProp,DB01564
Melting Point,157 dec °C,PhysProp,DB01565
Melting Point,218.5-219,"Yamamato, H., Inaba, S.,Okamoto, T., Hirohashi, T., Ishizumi, K., Yamamoto, M., Maruyama, l., Mori, K. and Kobayashi, T.; U.S. Patents 3,723,461; March 27, 1973; 3,828,027; August 6, 1974 and 3,925,364; December 9, 1975; all assigned to Sumitomo Chemical Co., Ltd.",DB01567
logP,2.75,"HANSCH,C ET AL. (1995)",DB01567
Melting Point,231.5 °C,PhysProp,DB01568
Melting Point,210.5 °C,PhysProp,DB01569
Boiling Point,543.6 °C,,DB01569
Water Solubility,400 mg/L,MERCK INDEX (1996),DB01573
Melting Point,132 °C,PhysProp,DB01573
Water Solubility,Moderately Soluble,[MSDS],DB01576
Melting Point,-98,[MSDS],DB01576
Boiling Point,64.7,[MSDS],DB01576
logP,2.07,"HANSCH,C ET AL. (1995)",DB01577
pKa,9.87 (at 25 °C),"PERRIN,DD (1965)",DB01577
Water Solubility,5E+005 mg/L (at 25 °C),MERCK INDEX (1996),DB01578
Melting Point,223 dec °C,PhysProp,DB01578
logP,-1.89,"HANSCH,C ET AL. (1995)",DB01578
Boiling Point,134.5 °C at 1.20E+01 mm Hg,,DB01579
logP,2.10,"HANSCH,C ET AL. (1995)",DB01580
caco2 Permeability,-4.68,"ADME Research, USCD",DB01580
Water Solubility,202 mg/L (at 20 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01581
Melting Point,236 °C,PhysProp,DB01581
logP,0.14,"HANSCH,C ET AL. (1995)",DB01581
Water Solubility,1500 mg/L (at 29 °C),MERCK INDEX (1983); at pH 7,DB01582
Melting Point,198.5 °C,PhysProp,DB01582
logP,0.89,BIOBYTE (1995),DB01582
pKa,7.59,SANGSTER (1994),DB01582
Molecular Weight,660.0,,DB01584
Water Solubility,20 mg/L (at 20 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01586
Melting Point,203 °C,PhysProp,DB01586
logP,3.00,"RODA,A ET AL. (1990)",DB01586
Melting Point,174-176,"U.S. Patent 3,575,965.",DB01587
Melting Point,145-146 °C,PhysProp,DB01588
logP,3.73,"HANSCH,C ET AL. (1995)",DB01588
Melting Point,137.5-139 °C,PhysProp,DB01589
logP,4.03,SANGSTER (1994),DB01589
Melting Point,134-136,https://www.trc-canada.com/product-detail/?S676701,DB01591
Melting Point,1538 °C,,DB01592
Melting Point,419,MSDS,DB01593
Boiling Point, 907,MSDS,DB01593
Melting Point,225 °C,PhysProp,DB01595
logP,2.25,"HANSCH,C ET AL. (1995)",DB01595
logS,-3.8,"ADME Research, USCD",DB01595
Melting Point,655.5,ChemSpider: Cilastatin,DB01597
Water Solubility,1E+004 mg/L,MERCK INDEX (1996),DB01598
pKa,3.2,MERCK INDEX (1996),DB01598
Melting Point,125 °C,PhysProp,DB01599
Melting Point,96 °C,PhysProp,DB01600
Water Solubility,Practically insoluble,Health Canada Monograph,DB01601
Melting Point,171-176,"Ekstrom, B.A. and Sjoberg, B.O.H.; U S . Patents 3,873,521; March 25, 1975; and 3,939,270; February 17, 1976; both assigned to Astra Lakemedal A.B.",DB01602
logP,1.22,"HANSCH,C ET AL. (1995)",DB01603
pKa,2.77,SANGSTER (1994),DB01603
Melting Point,119 °C,PhysProp,DB01605
Water Solubility,50 mg/mL,https://www.chemicalbook.com/ChemicalProductProperty_US_CB3181854.aspx,DB01606
Melting Point,140-147,https://www.caymanchem.com/msdss/17185m.pdf,DB01606
Boiling Point,77,https://www.chemicalbook.com/ChemicalProductProperty_US_CB3181854.aspx,DB01606
pKa,2.1,,DB01606
Water Solubility,38 mg/L (at 37 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01608
Melting Point,116-117 °C,PhysProp,DB01608
logP,3.52,"HANSCH,C ET AL. (1995)",DB01608
logS,-3.98,"ADME Research, USCD",DB01608
Water Solubility,0.038 mg/mL at 37 °C,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01609
Melting Point,116-117 °C,,DB01609
logP,3.52,"HANSCH,C ET AL. (1995)",DB01609
Melting Point,89-91,"U.S. Patent 2,546,658.",DB01611
pKa,9.67,https://watermark.silverchair.com/dkg319.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAjkwggI1BgkqhkiG9w0BBwagggImMIICIgIBADCCAhsGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMINydGQAq9Ykq8ITSAgEQgIIB7KN6oy2fz4KHncExNPnuAQKYKCeJ2g-83oHmwqGXYloWqkUp7V_gNgs5P23NTTIZEIF_Tkfp9eBMlYlDl9YykaAzqA5UdihXdzBCxmyGaNX6adn_ov0d4hq2omPSpPVCW2dnKAaalROUpR1cm7FYyTXdiDdOn2LWFKDKmA7uuEFJ1ma7-5iCQKV86x7H1W4HOu7WEBQ_dgJPGZVH64g4KrC5SEw-ekFVVL4w40J_LDqVn5mR8sS57huG_Y7d4CWhtyc6Ko27hCp_nBEeaAo95nB4odR0zFGSEASSQZXGMaO2D8zHqk1wCTDVrTLJuyzjEFMel6T-k3yZQwIVdoNxcEY1bh8VwnEz0ugIrqAkimv5xjB9m8en6H1VhrEIhOVmW2GNJGF3No03F01vn3ePhKCXzgu7v3591flqV46i7r2ZnUYNDmE39IbXww4fqX_551wAPap6lMJ0fMsD_z2l3OzHUVis9cMUJm-nC3LtunwGotVRT4Xf8s7Y-La-5NGHI9KoQPfonM-jJcQ5C9sJFkQHasuB2_a3Inu_DFo-KMOAevqW4txzmR-QnwwV13kIHkcEP03vP0ByDKcsQM2mf2py_K2JxTENhiK0B2xc30W2W4fC1HbkrT-Jd9YStj2-A83nNX0_GMFSn4DT3A,DB01611
Melting Point,61 °C,PhysProp,DB01613
Melting Point,< 25 °C,PhysProp,DB01614
Boiling Point,230 °C at 5.00E-01 mm Hg,PhysProp,DB01614
Melting Point,< 25 °C,PhysProp,DB01616
Boiling Point,212.5 °C at 1.30E+01 mm Hg,PhysProp,DB01616
Melting Point,180.5 °C,PhysProp,DB01618
Melting Point,91 °C,PhysProp,DB01619
Melting Point,107,Cameo Chemicals,DB01620
Boiling Point,181 °C at 1.30E+01 mm Hg,PhysProp,DB01620
Melting Point,140 °C,PhysProp,DB01622
Water Solubility,slight,http://www.lundbeck.com/upload/ca/en/files/pdf/product_monograph/Clopixol_PM_MKT_ctrl_148975_13SEPT2011_CLN_eng.pdf,DB01624
Melting Point,~50,http://www.lundbeck.com/upload/ca/en/files/pdf/product_monograph/Clopixol_PM_MKT_ctrl_148975_13SEPT2011_CLN_eng.pdf,DB01624
Melting Point,182-184,"U.S. Patent 2,823,233.",DB01625
logP,0.56,"HANSCH,C ET AL. (1995)",DB01627
Melting Point,182 °C,MSDS,DB01629
Water Solubility,2.75E+006 mg/L (at 30 °C),"MULLIN,JW (1972)",DB01638
Melting Point,111,http://pubchem.ncbi.nlm.nih.gov/compound/5780?from=summary,DB01638
logP,-2.20,SANGSTER (1994),DB01638
logS,1.09,"ADME Research, USCD",DB01638
pKa,13.6,"BENSON,FR (1978)",DB01638
Melting Point,301.5 dec °C,PhysProp,DB01645
Water Solubility,3.07E+005 mg/L (at 25 °C),BEILSTEIN,DB01646
Melting Point,105.5 °C,PhysProp,DB01646
Melting Point,217 dec °C,PhysProp,DB01650
Water Solubility,insoluble (0.52-0.56 mg/L at 22°C),,DB01656
Melting Point,159.7,,DB01656
pKa,8.74,,DB01656
Water Solubility,Insoluble,,DB01667
Melting Point,300 °C,PhysProp,DB01667
logP,-0.71,"HANSCH,C ET AL. (1995)",DB01667
Water Solubility,Poorly soluble in water,,DB01669
Water Solubility,1.89E+004 mg/L (at 20 °C),"STEPHEN,H & STEPHEN,T (1963)",DB01670
Melting Point,-93 °C,PhysProp,DB01670
Boiling Point,101.5 °C,PhysProp,DB01670
logP,1.24,"HANSCH,C ET AL. (1995)",DB01670
Melting Point,204 °C,PhysProp,DB01672
logP,1.20,"HANSCH,C ET AL. (1995)",DB01672
pKa,2.91 (at 25 °C),"SERJEANT,EP & DEMPSEY,B (1979)",DB01672
Water Solubility,115 mg/L (at 23 °C),"PHELAN,JM & BARNETT,JL (2001)",DB01676
Melting Point,80.1 °C,PhysProp,DB01676
logP,1.60,"HANSCH,C ET AL. (1995)",DB01676
Water Solubility,7000 mg/L (at 25 °C),US EPA (1981),DB01677
Melting Point,287 dec °C,PhysProp,DB01677
Boiling Point,522 °C,PhysProp,DB01677
logP,0.46,"HANSCH,C ET AL. (1995)",DB01677
pKa,3.03 (at 18 °C),"LIDE,DR (1996)",DB01677
Melting Point,287 dec °C,PhysProp,DB01681
logP,1.50,"AVDEEF,A (1993)",DB01681
pKa,0.8 (at 25 °C),"KORTUM,G ET AL (1961)",DB01681
Water Solubility,2.15E+004 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01688
Melting Point,35.5 °C,PhysProp,DB01688
Boiling Point,201.9 °C,PhysProp,DB01688
logP,1.94,"HANSCH,C ET AL. (1995)",DB01688
logS,-0.7,"ADME Research, USCD",DB01688
pKa,10.3 (at 25 °C),"PEARCE,PJ & SIMKINS,RJJ (1968)",DB01688
Melting Point,83 °C,PhysProp,DB01692
Water Solubility,1E+006 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB01694
Melting Point,172.5 °C,PhysProp,DB01694
Water Solubility,125 mg/L,MERCK (1989),DB01698
Melting Point,125 °C,PhysProp,DB01698
Water Solubility,2800 mg/L (at 25 °C),"HORVATH,AL (1982)",DB01701
Melting Point,-100 °C,PhysProp,DB01701
Boiling Point,95.5 °C,PhysProp,DB01701
logP,1.98,SANGSTER (1994),DB01701
Melting Point,128.5 °C,PhysProp,DB01702
logP,0.98,SANGSTER (1994),DB01702
