atc_code,level_1,code_1,level_2,code_2,level_3,code_3,level_4,code_4,drugbank-id
R01AD13,Corticosteroids,R01AD,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01A,NASAL PREPARATIONS,R01,RESPIRATORY SYSTEM,R,DB01410
R03DC02,Leukotriene receptor antagonists,R03DC,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB01411
C03BD01,Xanthine derivatives,C03BD,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03B,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C,DB01412
R03DA07,Xanthines,R03DA,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB01412
R03DA57,Xanthines,R03DA,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB01412
J01DE01,Fourth-generation cephalosporins,J01DE,OTHER BETA-LACTAM ANTIBACTERIALS,J01D,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01413
J01RA06,Combinations of antibacterials,J01RA,COMBINATIONS OF ANTIBACTERIALS,J01R,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01413
J01DB10,First-generation cephalosporins,J01DB,OTHER BETA-LACTAM ANTIBACTERIALS,J01D,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01414
J01DD14,Third-generation cephalosporins,J01DD,OTHER BETA-LACTAM ANTIBACTERIALS,J01D,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01415
J01DD13,Third-generation cephalosporins,J01DD,OTHER BETA-LACTAM ANTIBACTERIALS,J01D,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01416
B01AA07,Vitamin K antagonists,B01AA,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01,BLOOD AND BLOOD FORMING ORGANS,B,DB01418
A07AA06,Antibiotics,A07AA,INTESTINAL ANTIINFECTIVES,A07A,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07,ALIMENTARY TRACT AND METABOLISM,A,DB01421
J01XX07,Other antibacterials,J01XX,OTHER ANTIBACTERIALS,J01X,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01422
R05CB11,Mucolytics,R05CB,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05C,COUGH AND COLD PREPARATIONS,R05,RESPIRATORY SYSTEM,R,DB01423
N02BB53,Pyrazolones,N02BB,OTHER ANALGESICS AND ANTIPYRETICS,N02B,ANALGESICS,N02,NERVOUS SYSTEM,N,DB01424
N02BB03,Pyrazolones,N02BB,OTHER ANALGESICS AND ANTIPYRETICS,N02B,ANALGESICS,N02,NERVOUS SYSTEM,N,DB01424
N02BB73,Pyrazolones,N02BB,OTHER ANALGESICS AND ANTIPYRETICS,N02B,ANALGESICS,N02,NERVOUS SYSTEM,N,DB01424
A03FA05,Propulsives,A03FA,PROPULSIVES,A03F,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03,ALIMENTARY TRACT AND METABOLISM,A,DB01425
C01BA05,"Antiarrhythmics, class Ia",C01BA,"ANTIARRHYTHMICS, CLASS I AND III",C01B,CARDIAC THERAPY,C01,CARDIOVASCULAR SYSTEM,C,DB01426
C01CE01,Phosphodiesterase inhibitors,C01CE,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01C,CARDIAC THERAPY,C01,CARDIOVASCULAR SYSTEM,C,DB01427
C01BB04,"Antiarrhythmics, class Ib",C01BB,"ANTIARRHYTHMICS, CLASS I AND III",C01B,CARDIAC THERAPY,C01,CARDIOVASCULAR SYSTEM,C,DB01429
R07AB07,Respiratory stimulants,R07AB,OTHER RESPIRATORY SYSTEM PRODUCTS,R07A,OTHER RESPIRATORY SYSTEM PRODUCTS,R07,RESPIRATORY SYSTEM,R,DB01430
G03DC01,Estren derivatives,G03DC,PROGESTOGENS,G03D,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB01431
C10AC01,Bile acid sequestrants,C10AC,"LIPID MODIFYING AGENTS, PLAIN",C10A,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB01432
N02BB51,Pyrazolones,N02BB,OTHER ANALGESICS AND ANTIPYRETICS,N02B,ANALGESICS,N02,NERVOUS SYSTEM,N,DB01435
N02BB71,Pyrazolones,N02BB,OTHER ANALGESICS AND ANTIPYRETICS,N02B,ANALGESICS,N02,NERVOUS SYSTEM,N,DB01435
N02BB01,Pyrazolones,N02BB,OTHER ANALGESICS AND ANTIPYRETICS,N02B,ANALGESICS,N02,NERVOUS SYSTEM,N,DB01435
S02DA03,Analgesics and anesthetics,S02DA,OTHER OTOLOGICALS,S02D,OTOLOGICALS,S02,SENSORY ORGANS,S,DB01435
A11CC03,Vitamin D and analogues,A11CC,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",A11C,VITAMINS,A11,ALIMENTARY TRACT AND METABOLISM,A,DB01436
M05BB06,"Bisphosphonates, combinations",M05BB,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,M05B,DRUGS FOR TREATMENT OF BONE DISEASES,M05,MUSCULO-SKELETAL SYSTEM,M,DB01436
N05CE01,Piperidinedione derivatives,N05CE,HYPNOTICS AND SEDATIVES,N05C,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01437
G04BX06,Other urologicals,G04BX,UROLOGICALS,G04B,UROLOGICALS,G04,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB01438
N07BC06,Drugs used in opioid dependence,N07BC,DRUGS USED IN ADDICTIVE DISORDERS,N07B,OTHER NERVOUS SYSTEM DRUGS,N07,NERVOUS SYSTEM,N,DB01452
N02AC05,Diphenylpropylamine derivatives,N02AC,OPIOIDS,N02A,ANALGESICS,N02,NERVOUS SYSTEM,N,DB01459
N06BA06,Centrally acting sympathomimetics,N06BA,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06B,PSYCHOANALEPTICS,N06,NERVOUS SYSTEM,N,DB01463
S01XA06,Other ophthalmologicals,S01XA,OTHER OPHTHALMOLOGICALS,S01X,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB01466
R05DA01,Opium alkaloids and derivatives,R05DA,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",R05D,COUGH AND COLD PREPARATIONS,R05,RESPIRATORY SYSTEM,R,DB01466
N06BA10,Centrally acting sympathomimetics,N06BA,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06B,PSYCHOANALEPTICS,N06,NERVOUS SYSTEM,N,DB01482
N05CA04,"Barbiturates, plain",N05CA,HYPNOTICS AND SEDATIVES,N05C,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01483
A08AA07,Centrally acting antiobesity products,A08AA,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08A,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08,ALIMENTARY TRACT AND METABOLISM,A,DB01486
N05BA15,Benzodiazepine derivatives,N05BA,ANXIOLYTICS,N05B,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01489
A14AB02,Estren derivatives,A14AB,ANABOLIC STEROIDS,A14A,ANABOLIC AGENTS FOR SYSTEMIC USE,A14,ALIMENTARY TRACT AND METABOLISM,A,DB01493
N05CC04,Aldehydes and derivatives,N05CC,HYPNOTICS AND SEDATIVES,N05C,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01495
A07DA04,Antipropulsives,A07DA,ANTIPROPULSIVES,A07D,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07,ALIMENTARY TRACT AND METABOLISM,A,DB01501
N02AC01,Diphenylpropylamine derivatives,N02AC,OPIOIDS,N02A,ANALGESICS,N02,NERVOUS SYSTEM,N,DB01529
N05CC02,Aldehydes and derivatives,N05CC,HYPNOTICS AND SEDATIVES,N05C,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01534
R05DA12,Opium alkaloids and derivatives,R05DA,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",R05D,COUGH AND COLD PREPARATIONS,R05,RESPIRATORY SYSTEM,R,DB01538
N05CD03,Benzodiazepine derivatives,N05CD,HYPNOTICS AND SEDATIVES,N05C,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01544
N05BA18,Benzodiazepine derivatives,N05BA,ANXIOLYTICS,N05B,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01545
N02AA58,Natural opium alkaloids,N02AA,OPIOIDS,N02A,ANALGESICS,N02,NERVOUS SYSTEM,N,DB01551
N02AA08,Natural opium alkaloids,N02AA,OPIOIDS,N02A,ANALGESICS,N02,NERVOUS SYSTEM,N,DB01551
N02AJ02,Opioids in combination with non-opioid analgesics,N02AJ,OPIOIDS,N02A,ANALGESICS,N02,NERVOUS SYSTEM,N,DB01551
N02AJ01,Opioids in combination with non-opioid analgesics,N02AJ,OPIOIDS,N02A,ANALGESICS,N02,NERVOUS SYSTEM,N,DB01551
N05BA22,Benzodiazepine derivatives,N05BA,ANXIOLYTICS,N05B,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01553
N05BA08,Benzodiazepine derivatives,N05BA,ANXIOLYTICS,N05B,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01558
N05BA21,Benzodiazepine derivatives,N05BA,ANXIOLYTICS,N05B,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01559
N05CC01,Aldehydes and derivatives,N05CC,HYPNOTICS AND SEDATIVES,N05C,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01563
N05BA17,Benzodiazepine derivatives,N05BA,ANXIOLYTICS,N05B,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01567
A07BC54,Other intestinal adsorbents,A07BC,INTESTINAL ADSORBENTS,A07B,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07,ALIMENTARY TRACT AND METABOLISM,A,DB01574
A07BC04,Other intestinal adsorbents,A07BC,INTESTINAL ADSORBENTS,A07B,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07,ALIMENTARY TRACT AND METABOLISM,A,DB01574
A07BC02,Other intestinal adsorbents,A07BC,INTESTINAL ADSORBENTS,A07B,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07,ALIMENTARY TRACT AND METABOLISM,A,DB01575
N06BA02,Centrally acting sympathomimetics,N06BA,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06B,PSYCHOANALEPTICS,N06,NERVOUS SYSTEM,N,DB01576
N06BA03,Centrally acting sympathomimetics,N06BA,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06B,PSYCHOANALEPTICS,N06,NERVOUS SYSTEM,N,DB01577
V08AB01,"Watersoluble, nephrotropic, low osmolar X-ray contrast media",V08AB,"X-RAY CONTRAST MEDIA, IODINATED",V08A,CONTRAST MEDIA,V08,VARIOUS,V,DB01578
C07BA02,"Beta blocking agents, non-selective, and thiazides",C07BA,BETA BLOCKING AGENTS AND THIAZIDES,C07B,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C,DB01580
C07AA02,"Beta blocking agents, non-selective",C07AA,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C,DB01580
C07CA02,"Beta blocking agents, non-selective, and other diuretics",C07CA,BETA BLOCKING AGENTS AND OTHER DIURETICS,C07C,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C,DB01580
J01ED07,Long-acting sulfonamides,J01ED,SULFONAMIDES AND TRIMETHOPRIM,J01E,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01581
G01AE10,Sulfonamides,G01AE,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01A,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB01581
D06BA06,Sulfonamides,D06BA,CHEMOTHERAPEUTICS FOR TOPICAL USE,D06B,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06,DERMATOLOGICALS,D,DB01581
J01EE07,"Combinations of sulfonamides and trimethoprim, incl. derivatives",J01EE,SULFONAMIDES AND TRIMETHOPRIM,J01E,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01581
J01EB03,Short-acting sulfonamides,J01EB,SULFONAMIDES AND TRIMETHOPRIM,J01E,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01582
G01AE10,Sulfonamides,G01AE,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01A,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB01582
J01EE05,"Combinations of sulfonamides and trimethoprim, incl. derivatives",J01EE,SULFONAMIDES AND TRIMETHOPRIM,J01E,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01582
A05AA02,Bile acids and derivatives,A05AA,BILE THERAPY,A05A,BILE AND LIVER THERAPY,A05,ALIMENTARY TRACT AND METABOLISM,A,DB01586
N05BA10,Benzodiazepine derivatives,N05BA,ANXIOLYTICS,N05B,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01587
N05BA11,Benzodiazepine derivatives,N05BA,ANXIOLYTICS,N05B,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01588
N05CD10,Benzodiazepine derivatives,N05CD,HYPNOTICS AND SEDATIVES,N05C,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01589
L01XE10,Protein kinase inhibitors,L01XE,OTHER ANTINEOPLASTIC AGENTS,L01X,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB01590
L04AA18,Selective immunosuppressants,L04AA,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB01590
G04BD08,Drugs for urinary frequency and incontinence,G04BD,UROLOGICALS,G04B,UROLOGICALS,G04,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB01591
G04CA53,Alpha-adrenoreceptor antagonists,G04CA,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,G04C,UROLOGICALS,G04,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB01591
B03AE02,Iron in other combinations,B03AE,IRON PREPARATIONS,B03A,ANTIANEMIC PREPARATIONS,B03,BLOOD AND BLOOD FORMING ORGANS,B,DB01592
A11AA01,Multivitamins with minerals,A11AA,"MULTIVITAMINS, COMBINATIONS",A11A,VITAMINS,A11,ALIMENTARY TRACT AND METABOLISM,A,DB01592
B03AE01,Iron in other combinations,B03AE,IRON PREPARATIONS,B03A,ANTIANEMIC PREPARATIONS,B03,BLOOD AND BLOOD FORMING ORGANS,B,DB01592
B03AE04,Iron in other combinations,B03AE,IRON PREPARATIONS,B03A,ANTIANEMIC PREPARATIONS,B03,BLOOD AND BLOOD FORMING ORGANS,B,DB01592
B03AE03,Iron in other combinations,B03AE,IRON PREPARATIONS,B03A,ANTIANEMIC PREPARATIONS,B03,BLOOD AND BLOOD FORMING ORGANS,B,DB01592
C05AX04,Other agents for treatment of hemorrhoids and anal fissures for topical use,C05AX,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05A,VASOPROTECTIVES,C05,CARDIOVASCULAR SYSTEM,C,DB01593
N05CD13,Benzodiazepine derivatives,N05CD,HYPNOTICS AND SEDATIVES,N05C,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01594
N05CD02,Benzodiazepine derivatives,N05CD,HYPNOTICS AND SEDATIVES,N05C,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01595
J01DH51,Carbapenems,J01DH,OTHER BETA-LACTAM ANTIBACTERIALS,J01D,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01597
J01DH51,Carbapenems,J01DH,OTHER BETA-LACTAM ANTIBACTERIALS,J01D,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01598
C10AX02,Other lipid modifying agents,C10AX,"LIPID MODIFYING AGENTS, PLAIN",C10A,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB01599
M01AE11,Propionic acid derivatives,M01AE,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01A,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01,MUSCULO-SKELETAL SYSTEM,M,DB01600
J05AR10,"Antivirals for treatment of HIV infections, combinations",J05AR,DIRECT ACTING ANTIVIRALS,J05A,ANTIVIRALS FOR SYSTEMIC USE,J05,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01601
J01CR50,"Combinations of penicillins, incl. beta-lactamase inhibitors",J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01C,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01602
J01CA06,Penicillins with extended spectrum,J01CA,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01C,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01602
J01CR50,"Combinations of penicillins, incl. beta-lactamase inhibitors",J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01C,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01603
J01CF03,Beta-lactamase resistant penicillins,J01CF,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01C,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01603
J01CR50,"Combinations of penicillins, incl. beta-lactamase inhibitors",J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01C,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01604
J01CA02,Penicillins with extended spectrum,J01CA,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01C,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01604
J01CR50,"Combinations of penicillins, incl. beta-lactamase inhibitors",J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01C,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01605
J01CA08,Penicillins with extended spectrum,J01CA,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01C,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01605
J01CG02,Beta-lactamase inhibitors,J01CG,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01C,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01606
J01CR50,"Combinations of penicillins, incl. beta-lactamase inhibitors",J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01C,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01607
J01CA13,Penicillins with extended spectrum,J01CA,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01C,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01607
N05AC01,Phenothiazines with piperidine structure,N05AC,ANTIPSYCHOTICS,N05A,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01608
V03AC03,Iron chelating agents,V03AC,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03,VARIOUS,V,DB01609
J05AB14,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,J05AB,DIRECT ACTING ANTIVIRALS,J05A,ANTIVIRALS FOR SYSTEMIC USE,J05,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01610
P01BA02,Aminoquinolines,P01BA,ANTIMALARIALS,P01B,ANTIPROTOZOALS,P01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P,DB01611
V03AB22,Antidotes,V03AB,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03,VARIOUS,V,DB01612
C01DA63,Organic nitrates,C01DA,VASODILATORS USED IN CARDIAC DISEASES,C01D,CARDIAC THERAPY,C01,CARDIOVASCULAR SYSTEM,C,DB01613
C01DA13,Organic nitrates,C01DA,VASODILATORS USED IN CARDIAC DISEASES,C01D,CARDIAC THERAPY,C01,CARDIOVASCULAR SYSTEM,C,DB01613
N05AA04,Phenothiazines with aliphatic side-chain,N05AA,ANTIPSYCHOTICS,N05A,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01614
A03AX08,Other drugs for functional gastrointestinal disorders,A03AX,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03,ALIMENTARY TRACT AND METABOLISM,A,DB01616
A03AX58,Other drugs for functional gastrointestinal disorders,A03AX,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03,ALIMENTARY TRACT AND METABOLISM,A,DB01616
N05AE02,Indole derivatives,N05AE,ANTIPSYCHOTICS,N05A,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01618
R06AX04,Other antihistamines for systemic use,R06AX,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06,RESPIRATORY SYSTEM,R,DB01619
R06AB05,Substituted alkylamines,R06AB,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06,RESPIRATORY SYSTEM,R,DB01620
D04AA16,Antihistamines for topical use,D04AA,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04,DERMATOLOGICALS,D,DB01620
N05AC04,Phenothiazines with piperidine structure,N05AC,ANTIPSYCHOTICS,N05A,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01621
N05AB08,Phenothiazines with piperazine structure,N05AB,ANTIPSYCHOTICS,N05A,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01622
N05AF04,Thioxanthene derivatives,N05AF,ANTIPSYCHOTICS,N05A,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01623
N05AF05,Thioxanthene derivatives,N05AF,ANTIPSYCHOTICS,N05A,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB01624
A03CA01,Synthetic anticholinergic agents in combination with psycholeptics,A03CA,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,A03C,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03,ALIMENTARY TRACT AND METABOLISM,A,DB01625
A03AB09,"Synthetic anticholinergics, quaternary ammonium compounds",A03AB,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03,ALIMENTARY TRACT AND METABOLISM,A,DB01625
C02LL01,MAO inhibitors and diuretics,C02LL,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02L,ANTIHYPERTENSIVES,C02,CARDIOVASCULAR SYSTEM,C,DB01626
C02KC01,MAO inhibitors,C02KC,OTHER ANTIHYPERTENSIVES,C02K,ANTIHYPERTENSIVES,C02,CARDIOVASCULAR SYSTEM,C,DB01626
J01FF02,Lincosamides,J01FF,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",J01F,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB01627
M01AH05,Coxibs,M01AH,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01A,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01,MUSCULO-SKELETAL SYSTEM,M,DB01628
B05CX02,Other irrigating solutions,B05CX,IRRIGATING SOLUTIONS,B05C,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B,DB01638
V04CC01,Tests for bile duct patency,V04CC,OTHER DIAGNOSTIC AGENTS,V04C,DIAGNOSTIC AGENTS,V04,VARIOUS,V,DB01638
A06AD18,Osmotically acting laxatives,A06AD,DRUGS FOR CONSTIPATION,A06A,DRUGS FOR CONSTIPATION,A06,ALIMENTARY TRACT AND METABOLISM,A,DB01638
A06AG07,Enemas,A06AG,DRUGS FOR CONSTIPATION,A06A,DRUGS FOR CONSTIPATION,A06,ALIMENTARY TRACT AND METABOLISM,A,DB01638
R03DX07,Other systemic drugs for obstructive airway diseases,R03DX,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB01656
D05AX01,Other antipsoriatics for topical use,D05AX,ANTIPSORIATICS FOR TOPICAL USE,D05A,ANTIPSORIATICS,D05,DERMATOLOGICALS,D,DB01677
C05CA01,Bioflavonoids,C05CA,CAPILLARY STABILIZING AGENTS,C05C,VASOPROTECTIVES,C05,CARDIOVASCULAR SYSTEM,C,DB01698
C05CA51,Bioflavonoids,C05CA,CAPILLARY STABILIZING AGENTS,C05C,VASOPROTECTIVES,C05,CARDIOVASCULAR SYSTEM,C,DB01698
G03EA03,Androgens and estrogens,G03EA,ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION,G03E,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB01708
