Organisation Name,Dept,Service Cat Label,Purpose of Spend,Supplier,Supplier Reference,Pay Date,Net Amount,Transaction Number,Grant to VCSE?,Charity Number,Card Transaction,Irrecoverable VAT,
Pendle Borough Council,Financial Services,Capital Costs,Capital : Payments,LIBERATA UK LTD,A0051618, 02/07/2015,"�2,900.00",AAS0263043,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Capital Costs,Capital : Payments,LIBERATA UK LTD,A0051618, 02/07/2015,"�17,868.93",AAS0263044,No,N/A,N,n/A,
Pendle Borough Council,Human Resources,Supplies and Services,Other Expenses,FIDELITI LIMITED,A0052058, 16/07/2015,�135.11,PER0263433,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,C B PRICE & SONS BUILDERS,A0052117, 30/07/2015,"�3,600.00",PCO0263708,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,C B PRICE & SONS BUILDERS,A0052117, 30/07/2015,�200.00,PCO0263631,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Capital Costs,Capital : Payments,STRAIGHT PLC,A0052536, 02/07/2015,"�3,090.00",OPS0262985,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Capital Costs,Capital : Payments,STRAIGHT PLC,A0052536, 02/07/2015,"�6,180.00",OPS0262985,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,COMPASS DISPLAY SYSTEMS LTD,A0053219, 02/07/2015,�60.00,DAL0262959,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Indirect Employee Expenses,Training,MYERSCOUGH COLLEGE,A0053390, 09/07/2015,�420.00,PCO0262998,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,O2 (UK) LIMITED,A0053660, 16/07/2015,�9.00,AAS0263411,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,O2 (UK) LIMITED,A0053660, 16/07/2015,�9.00,AAS0263411,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,O2 (UK) LIMITED,A0053660, 16/07/2015,�13.65,AAS0263411,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,O2 (UK) LIMITED,A0053660, 16/07/2015,�13.40,AAS0263411,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,O2 (UK) LIMITED,A0053660, 16/07/2015,�13.50,AAS0263411,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,O2 (UK) LIMITED,A0053660, 16/07/2015,�9.30,AAS0263411,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,O2 (UK) LIMITED,A0053660, 16/07/2015,�11.50,AAS0263411,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,O2 (UK) LIMITED,A0053660, 16/07/2015,�20.30,AAS0263411,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,O2 (UK) LIMITED,A0053660, 16/07/2015,�9.64,AAS0263411,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,O2 (UK) LIMITED,A0053660, 16/07/2015,�9.00,AAS0263411,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,O2 (UK) LIMITED,A0053660, 16/07/2015,�9.34,AAS0263411,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,O2 (UK) LIMITED,A0053660, 16/07/2015,�9.00,AAS0263411,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,O2 (UK) LIMITED,A0053660, 16/07/2015,�9.00,AAS0263411,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Capital Financing Costs,Lease costs:Computer (Orchard),O2 (UK) LIMITED,A0053660, 16/07/2015,�7.00,AAS0263411,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Capital Financing Costs,Lease costs:Computer (Orchard),O2 (UK) LIMITED,A0053660, 16/07/2015,�7.00,AAS0263411,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,FARMHOUSE BISCUITS LTD,A0054438, 02/07/2015,�65.04,REG0262992,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,FARMHOUSE BISCUITS LTD,A0054438, 02/07/2015,�143.08,REG0262992,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,NPOWER,A0054545, 30/07/2015,�1.58,HMR0263654,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,NPOWER,A0054545, 23/07/2015,�10.35,HMR0263508,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,NPOWER,A0054545, 23/07/2015,�12.48,HMR0263505,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,NPOWER,A0054545, 23/07/2015,�14.62,HMR0263516,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,NPOWER,A0054545, 23/07/2015,�18.69,HMR0263508,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,NPOWER,A0054545, 23/07/2015,�42.52,HMR0263509,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,NPOWER,A0054545, 09/07/2015,�42.85,HMR0263184,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,NPOWER,A0054545, 09/07/2015,�43.83,HMR0263186,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,NPOWER,A0054545, 09/07/2015,�45.91,HMR0263187,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,NPOWER,A0054545, 09/07/2015,�47.36,HMR0263188,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,NPOWER,A0054545, 23/07/2015,�53.83,HMR0263510,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,NPOWER,A0054545, 23/07/2015,�143.24,HMR0263512,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,NPOWER,A0054545, 23/07/2015,�143.47,HMR0263514,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,NPOWER,A0054545, 23/07/2015,�150.30,HMR0263515,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,NPOWER,A0054545, 23/07/2015,�464.65,HMR0263516,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,BELL GROUP UK,A0054618, 23/07/2015,"�1,168.00",EST0263554,No,N/A,N,n/A,
Pendle Borough Council,Environmental Health Services,Transport Related Expense,Diesel Oil,Redacted - Personal information,A0054677, 02/07/2015,�33.38,ENV0263020,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,"Monitoring, Console etc",HOUSING PENDLE LIMITED,A0055008, 16/07/2015,�24.37,HMR0263352,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Office and computer equipment,PORTABLE APPLIANCE SAFETY SERVICES LTD,A0055912, 02/07/2015,�14.94,OPS0262922,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Office and computer equipment,PORTABLE APPLIANCE SAFETY SERVICES LTD,A0055912, 16/07/2015,�14.94,OPS0263295,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Printing & Stationery,MR P ROBINSON T/A FINE FRAMES,A0055991, 02/07/2015,�188.00,DAL0262955,No,N/A,N,n/A,
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,ZEN INTERNET,A0056321, 23/07/2015,�15.31,COR0263526,No,N/A,N,n/A,
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,ZEN INTERNET,A0056321, 16/07/2015,�15.31,COR0263364,No,N/A,N,n/A,
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,ZEN INTERNET,A0056321, 09/07/2015,�29.78,COR0263160,No,N/A,N,n/A,
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,ZEN INTERNET,A0056321, 09/07/2015,�15.31,COR0263159,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Other Expenses,SCOTT DAWSON ADVERTISING LTD,A0056526, 30/07/2015,"�5,000.00",REG0263661,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�160.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�500.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�190.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�200.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�500.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�560.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�60.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�70.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�70.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�70.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�70.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�110.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�125.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�145.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�160.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�340.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�350.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,A BINNS & CO,A0057121, 02/07/2015,�300.00,PCO0262960,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Supplies and Services,Other Expenses,PHS TEACRATE,A0057192, 16/07/2015,�65.95,EST0263385,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,BRITISH GAS BUSINESS,A0057202, 30/07/2015,-�29.47,AAS4004680,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,BRITISH GAS BUSINESS,A0057202, 23/07/2015,�29.47,AAS0263532,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,BRITISH GAS BUSINESS,A0057202, 30/07/2015,�40.27,AAS0263698,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,BRITISH GAS BUSINESS,A0057202, 23/07/2015,�15.63,EST0263564,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,BRITISH GAS BUSINESS,A0057202, 30/07/2015,�19.59,AAS0263696,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,BRITISH GAS BUSINESS,A0057202, 23/07/2015,�19.92,EST0263565,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,BRITISH GAS BUSINESS,A0057202, 30/07/2015,�125.49,AAS0263694,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,Miscellaneous : Other,CIVICA UK LIMITED,A0057596, 30/07/2015,"�6,208.50",OPS0263606,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Subscriptions & Donations,NATIONAL PLAYING FIELDS ASSOCIATION,A0057791, 09/07/2015,�95.00,PCO0263000,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,Redacted - Personal information,A0057968, 02/07/2015,�141.40,DAL0262958,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,EQUIFAX LIMITED,A0058121, 16/07/2015,�6.50,AAS0263395,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,TAYLORMADE CASTINGS LTD,A0059071, 16/07/2015,�730.00,PCO0263193,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Premises Related Expense,Water & Sewerage,UNITED UTILITIES,A0059246, 16/07/2015,�131.25,OPS0263294,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Premises Related Expense,Water & Sewerage,UNITED UTILITIES,A0059246, 16/07/2015,�131.25,OPS0263294,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Premises Related Expense,Water & Sewerage,UNITED UTILITIES,A0059246, 16/07/2015,�171.60,OPS0263294,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Premises Related Expense,Water & Sewerage,UNITED UTILITIES,A0059246, 16/07/2015,�134.61,OPS0263294,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Premises Related Expense,Water & Sewerage,UNITED UTILITIES,A0059246, 16/07/2015,�159.83,OPS0263294,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Agency Costs,Lancashire C C,NSL LIMITED,A0059256, 09/07/2015,"�1,505.25",HED0263095,No,N/A,N,n/A,
Pendle Borough Council,Directorate,Supplies and Services,Adverts : Statutory Notice,JOHNSTON PUBLISHING LIMITED,A0059640, 16/07/2015,�152.82,MAN0263251,No,N/A,N,n/A,
Pendle Borough Council,Directorate,Supplies and Services,Adverts : Statutory Notice,JOHNSTON PUBLISHING LIMITED,A0059640, 23/07/2015,�229.23,MAN0263504,No,N/A,N,n/A,
Pendle Borough Council,Directorate,Supplies and Services,Adverts : Statutory Notice,JOHNSTON PUBLISHING LIMITED,A0059640, 16/07/2015,�254.70,MAN0263252,No,N/A,N,n/A,
Pendle Borough Council,Directorate,Supplies and Services,Adverts : Statutory Notice,JOHNSTON PUBLISHING LIMITED,A0059640, 16/07/2015,�280.17,MAN0263253,No,N/A,N,n/A,
Pendle Borough Council,Directorate,Supplies and Services,Adverts : Statutory Notice,JOHNSTON PUBLISHING LIMITED,A0059640, 30/07/2015,�331.11,MAN0263651,No,N/A,N,n/A,
Pendle Borough Council,Directorate,Supplies and Services,Adverts : Statutory Notice,JOHNSTON PUBLISHING LIMITED,A0059640, 02/07/2015,�356.58,MAN0262944,No,N/A,N,n/A,
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,JOHNSTON PUBLISHING LIMITED,A0059640, 23/07/2015,�95.00,ENV0263546,No,N/A,N,n/A,
Pendle Borough Council,Directorate,Supplies and Services,Other Expenses,JOHNSTON PUBLISHING LIMITED,A0059640, 02/07/2015,�203.76,MAN0262943,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Miscellaneous : Other,JOHNSTON PUBLISHING LIMITED,A0059640, 02/07/2015,"�1,806.53",DAL0262986,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,JAMES ALPE SIGN & DESIGN,A0061107, 02/07/2015,�104.55,PCO0262930,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,JAMES ALPE SIGN & DESIGN,A0061107, 30/07/2015,�321.00,PCO0263667,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,JAMES ALPE SIGN & DESIGN,A0061107, 30/07/2015,�461.04,PCO0263626,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,NORTH VALLEY RESIDENTS ASSOCIATION,A0061108, 16/07/2015,�500.00,HED0263435,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,CONTAINER CARE SOLUTIONS,A0061112, 02/07/2015,"�1,600.00",OPS0262923,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD FENCING,A0061274, 09/07/2015,�814.56,HED0263180,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Capital Costs,Capital : Payments,ELYSIUM URBAN DAY SPA,A0061411, 09/07/2015,�672.60,REG0263198,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,C CHAPMAN,A0061688, 23/07/2015,�30.00,HED0263591,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,C CHAPMAN,A0061688, 23/07/2015,�213.00,HED0263591,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,C CHAPMAN,A0061688, 23/07/2015,�213.00,HED0263591,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,C CHAPMAN,A0061688, 23/07/2015,�30.00,HED0263591,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,C CHAPMAN,A0061688, 30/07/2015,�45.00,OPS0263640,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Premises Related Expense,Grounds : R & M : Day to Day : Routine,C CHAPMAN,A0061688, 09/07/2015,�90.00,REG0263137,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,C CHAPMAN,A0061688, 09/07/2015,�120.00,HED0263060,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,C CHAPMAN,A0061688, 16/07/2015,�150.00,HED0263231,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,C CHAPMAN,A0061688, 30/07/2015,�172.00,OPS0263639,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Premises Related Expense,Grounds : R & M : Day to Day : Routine,C CHAPMAN,A0061688, 16/07/2015,�247.00,REG0263317,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Premises Related Expense,Service Charge,PENDLE ENTERPRISE & REGENERATION LTD,A0061803, 09/07/2015,"�3,041.00",AAS0263153,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Premises Related Expense,Premises Insurance,PENDLE ENTERPRISE & REGENERATION LTD,A0061803, 16/07/2015,"�2,706.56",AAS0263404,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,PENDLE ENTERPRISE & REGENERATION LTD,A0061803, 16/07/2015,"�2,622.61",REG0263268,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Other Expenses,LIBRA TEXTILES LTD,A0062627, 09/07/2015,"�3,804.38",REG0263242,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/07/2015,�290.76,AAS0263462,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/07/2015,�290.76,AAS0263462,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Premises Related Expense,Bldgs : R & M : Day To Day,KEYPLUS SECURITY LIMITED,A0062723, 16/07/2015,�37.50,OPS0263314,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BOUNCEBACK SAFETY SERVICES LTD,A0063002, 09/07/2015,"�1,292.00",PCO0263057,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,BOUNCEBACK SAFETY SERVICES LTD,A0063002, 09/07/2015,�240.00,PCO0263058,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,BOUNCEBACK SAFETY SERVICES LTD,A0063002, 23/07/2015,�340.00,PCO0263453,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Capital Costs,Capital : Payments,BOUNCEBACK SAFETY SERVICES LTD,A0063002, 23/07/2015,"�1,200.00",PCO0263457,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Capital Costs,Capital : Payments,HARRY GARLICK LIMITED,A0063327, 23/07/2015,�838.00,REG0263511,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Premises Related Expense,Bldgs : R & M : Day To Day,NORTH WEST TRADING COMPANY,A0063527, 02/07/2015,�150.00,OPS0262925,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,DONALD HOLDEN,A0063707, 02/07/2015,�60.00,REG0262993,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),PHOENIX COMMERCIAL COLLECTIONS LTD,A0064046, 16/07/2015,-�502.50,HED0263338,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),PHOENIX COMMERCIAL COLLECTIONS LTD,A0064046, 16/07/2015,-�310.00,HED0263336,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),PHOENIX COMMERCIAL COLLECTIONS LTD,A0064046, 16/07/2015,-�310.00,HED0263339,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),PHOENIX COMMERCIAL COLLECTIONS LTD,A0064046, 16/07/2015,-�75.00,HED0263337,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),PHOENIX COMMERCIAL COLLECTIONS LTD,A0064046, 30/07/2015,-�75.00,HED0263646,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),PHOENIX COMMERCIAL COLLECTIONS LTD,A0064046, 30/07/2015,-�75.00,HED0263647,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),PHOENIX COMMERCIAL COLLECTIONS LTD,A0064046, 16/07/2015,�75.00,HED0263337,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),PHOENIX COMMERCIAL COLLECTIONS LTD,A0064046, 30/07/2015,�75.00,HED0263646,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),PHOENIX COMMERCIAL COLLECTIONS LTD,A0064046, 30/07/2015,�75.00,HED0263647,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),PHOENIX COMMERCIAL COLLECTIONS LTD,A0064046, 16/07/2015,�310.00,HED0263339,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),PHOENIX COMMERCIAL COLLECTIONS LTD,A0064046, 16/07/2015,�502.50,HED0263338,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),PHOENIX COMMERCIAL COLLECTIONS LTD,A0064046, 16/07/2015,�310.00,HED0263336,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,HORMANN UK LTD,A0064448, 02/07/2015,�140.00,EST0263024,No,N/A,N,n/A,
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM : Other Equipment,ENVIRO TECHNOLOGY SERVICES PLC,A0064449, 02/07/2015,�450.00,ENV0263011,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,WHISTL NORTH LIMITED,A0064458, 16/07/2015,�1.76,DAL0263359,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,WHISTL NORTH LIMITED,A0064458, 09/07/2015,�2.47,DAL0263124,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,WHISTL NORTH LIMITED,A0064458, 02/07/2015,�5.27,DAL0262957,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,WHISTL NORTH LIMITED,A0064458, 23/07/2015,�5.63,DAL0263560,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,WHISTL NORTH LIMITED,A0064458, 30/07/2015,�11.59,DAL0263683,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,WHISTL NORTH LIMITED,A0064458, 23/07/2015,�0.35,DAL0263560,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,WHISTL NORTH LIMITED,A0064458, 09/07/2015,�3.16,DAL0263124,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,WHISTL NORTH LIMITED,A0064458, 23/07/2015,�0.38,DAL0263560,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,WHISTL NORTH LIMITED,A0064458, 02/07/2015,�1.69,DAL0262957,No,N/A,N,n/A,
