OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,StartDate,EndDate,ReviewDate,Appraisaldate,Displayuntildate,ExtensionPeriod,ExtensionsTaken,EstimatedValue,IrrecoverableVAT,SupplierName,ContactName,ProcessType,OJEU,Framework type,Keywords
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198342 (CONTRACT-A7QJ-F4IKBL),"LCCITS160006 The Provision of the Tracker Suite Software, Annual Licence, Support and Related Services",Environment and Neighbourhoods,"Supply and support of the �Tracker� suite software for communication with 
housing tenants and housing groups",01/08/2016,31/07/2017,31/03/2017,,31/08/2017,12,0,"�11,000.00",�0.00,Please view tab 2 on excel sheet,Mrs Karen Batty,RFQ,No,N/A,"Survey, Consultation, Engagement"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN199195 (CONTRACT-A9FB-7ENZPD),LCCITS160007 Data Mill Hosting Agreement,Resources - ICT,Data Mill Hosting and Support Services,10/05/2016,09/05/2018,05/01/2018,,09/06/2018,0,0,"�30,000.00",�0.00,Please view tab 2 on excel sheet,Ian M Jones,Not provided,No,N/A,ict
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198979 (CONTRACT-A95B-A6FOUC),LCCITS160008 Microsoft Premier Support,Resources - ICT,Provision of Support and Problem Resolution Services.,10/05/2016,29/04/2018,29/10/2016,,29/05/2018,12,0,"�94,866.00",�0.00,Please view tab 2 on excel sheet,Mr Roy Banks,Other (Negotiated Procedure),Yes,N/A,"problem, online, resolution, assistance, account, management"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198450 (CONTRACT-A7XE-2HMF4M),LCCITS160009 Support and Maintenance of the Walkabout Management Information System,Environment and Neighbourhoods,"Support and Maintenance of the Walkabout Housing Management Information 
system for an interim period pending the procurement and implementation of a 
new Housing ICT Solution.
Extension Periods agreed are as follows: 
 The period from 1st� 
May 2017 to 30th April 2018
The period from 1st May 2018 to 31st December 
2018
The period from 1st January 2019 to 30th June 2019
The period 
from 1st July 2019 to 31st December 2019",01/05/2016,30/04/2018,31/01/2017,,30/05/2018,N/A,1,"�3,770.00",�0.00,Please view tab 2 on excel sheet,Mrs Karen Batty,RFQ,No,N/A,"ICT, Sytsems, Housing, Software, Database, Computer"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198513 (CONTRACT-A84F-VR89QS),LCCITS160010 Support and maintenance for the M3Housecall and M3Locator Plus Software Programs and Services,Environment and Neighbourhoods,"Support and maintenance for the M3Housecall and M3Locator Plus Software 
Programs and Services",01/10/2016,30/09/2017,30/06/2017,,30/10/2017,27,0,"�8,100.00",�0.00,Please view tab 2 on excel sheet,Mrs Karen Batty,RFQ,No,N/A,"Tenants, Repairs"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198557 (CONTRACT-A86A-XHES0T),LCCITS160011 Support and Maintenance of the Civic Keystone Asset Management Software System,Environment and Neighbourhoods,Support and Maintenance of the Civic Keystone Asset Management Software System,01/05/2016,31/12/2018,30/06/2018,,31/01/2019,6,0,"�83,333.00",�0.00,Please view tab 2 on excel sheet,Mrs Karen Batty,RFQ,No,N/A,ict
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198586 (CONTRACT-A89C-WZYFLB),LCCITS160012 PASS Annual Maintenance,Strategy and Resources,Support and maintenance of Trapeze PASS system,01/04/2016,30/06/2017,01/07/2016,,30/07/2017,0,0,"�88,400.00",�0.00,Please view tab 2 on excel sheet,Dylan Owen,Not provided,No,N/A,ICT
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198853 (CONTRACT-A8TH-W802G0),LCCITS160013 Sophos Enterprise Licenses,Strategy and Resources,Sophos Enterprise Licenses and Support,06/05/2016,09/03/2021,01/10/2020,,30/04/2021,0,0,"�60,800.00",�0.00,Please view tab 2 on excel sheet,Phil Elvidge,Not provided,No,N/A,"Sophos, Enterprise, Licenses"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN199699 (CONTRACT-AAAK-5KI03Y),LCCITS160016: Scanning Services Framework,Resources - ICT,"This Framework is for the supply of Scanning Services and software. The Services to be provided against this Framework Agreement shall include but not be limited to:


  Bulk scanning services
 Specified level of scanning standards
 Metadata creation, naming and indexing of images
 Use of Optical Character Recognition software
 Secure transportation of filing cabinets, files, records and documents
 Secure storage facilities for filing cabinets, files, records and documents
 Scan on demand services
 File retrieval and return service
 Disposal and destruction of filing cabinets 
 Disposal and destruction of files, records and documents 
 Provision of ad-hoc software requirements in support of the required services


  The Framework will take the form of a catalogue of individually listed prices for services required, and allow for the pricing of specific unique requirements which will be based upon the agreed catalogue pricing structure.
  Requests to participate in this procurement must be made electronically at www.yortender.co.uk by searching for reference AAAK-5KI03Y or the title: LCCITS160016: Scanning Services Framework.",24/10/2016,23/10/2020,23/10/2019,,23/11/2020,0,0,"�6,000,000.00",�0.00,Please view tab 2 on excel sheet,Mr Stephen Gillespie,ITT,Yes,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN246404,LCCITS160016: Scanning Services Framework - Call-off Order,Environment & Housing,LCCITS160016: Scanning Services Framework - Call-off Order,08/03/2017,31/03/2018,28/02/2018,,31/03/2018,0,0,"�105,936.00",�0.00,Please view tab 2 on excel sheet,Mr Stephen Gillespie,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN199578 (CONTRACT-AA3H-ZAD7Y0),LCCITS160017 Oracle Technical Support Agreement,Resources - ICT,Provision of Oracle�Technical Support Services,01/06/2016,31/05/2017,01/02/2017,,30/06/2017,0,0,"�112,442.00",�0.00,Please view tab 2 on excel sheet,Stephanie Dunn,Not provided,No,N/A,"Enterprise, Maintenance, Licence"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN199075 (CONTRACT-A98B-HAV43Y),LCCITS160018: Integrated Digital Care Record Platform Development,Strategy and Resources,"The management and delivery of five, two week agile development sprints 
(scrum based) over a maximum of six months based on clinically led, user 
centred design principles. 
The establishment of code custodian mechanisms and documented processes to 
manage the gold version of Ripple, allowing for multiple contributors to submit 
code and for QA processes�to be�in place to ensure code quality 
standards, safety and security of the accepted contributions.",02/06/2016,01/12/2017,01/12/2017,,01/01/2018,0,0,"�77,000.00",�0.00,Please view tab 2 on excel sheet,Phil Barrett,Not provided,No,Framework,"scrum, agile, code, custodian"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN200199 (CONTRACT-AAVB-8LKF1P),"LCCITS160021: Autodesk products, support and training/consultancy.",Resources - ICT,"The provision of Autodesk products, support and training/consultancy on a range 
of Autodesk products",25/06/2016,24/06/2017,24/06/2017,,24/07/2017,0,0,"�100,000.00",�0.00,Please view tab 2 on excel sheet,Stephanie Dunn,Not provided,No,N/A,"systems, ict, computer, software"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN199915 (CONTRACT-AANK-72XTWW),LCCITS160022: Code Custodianship Services - Ripple Programme,Strategy and Resources,"Provision of Code Custodianship Services to support continuation of services 
during the next phase of platform developments.",14/06/2016,13/06/2017,13/06/2017,,13/07/2017,0,0,"�78,000.00",�0.00,Please view tab 2 on excel sheet,Phil Barrett,Not provided,No,N/A,"ict, computer, database, software, systems"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN216444,LCCITS160036 TotalMobile Optimise Resource Management Solution,Environment & Housing,TotalMobile Optimise Resource Management Solution,01/11/2016,09/05/2018,09/03/2017,,09/05/2018,12,0,"�102,700.00",�0.00,Please view tab 2 on excel sheet,Mr Stephen Gillespie,RFQ,No,N/A,"Scheduling, Tool"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201635 (CONTRACT-ADJC-VQ8TFL),LCCITS160037 Clearswift Software (Call Off under Software Framework (A44D-AKACE6)),Resources - ICT,Clearswift Secure Email Gateway,01/10/2016,30/09/2019,30/09/2018,,30/09/2019,0,0,"�113,300.00",�0.00,Please view tab 2 on excel sheet,Mr Roy Banks,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201566 (CONTRACT-ADDB-29BZC2),LCCITS160037 Master Data Management Consultancy Mini Competition,Resources - ICT,Consultancy Services for the MDM solution for Childrens Services,16/11/2016,15/11/2017,15/06/2017,,15/12/2017,0,0,"�50,640.00",�0.00,Please view tab 2 on excel sheet,Mr Roy Banks,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201701 (CONTRACT-ADMC-JUWG3Z),LCCITS160039 BT ISDN/Exchange Lines (Legacy Contracts),Resources - ICT,"BT�ISDN/Exchange lines�to be decommissioned or migrated to Virgin 
Media (PSN) during 2016/2017",15/09/2016,31/12/2017,30/09/2017,,31/01/2018,0,0,"�300,000.00",�0.00,Please view tab 2 on excel sheet,Roy Banks,Not provided,No,N/A,"ict, communication"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN215261,LCCITS160040: Aastra MX-One TSW (Ericsson PABX) Maintenance and Support,Strategy and Resources,Aastra MX-One TSW (Ericsson PABX) Maintenance and Support,01/11/2016,31/10/2017,31/07/2017,,30/11/2017,0,0,"�18,998.00",�0.00,Please view tab 2 on excel sheet,Mr John Gash,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN216878,LCCITS160042 Care and Health Information Data Management Solution,Adult Social Care,LCCITS160042 Care and Health Information Data Management Solution,01/11/2016,30/07/2017,31/03/2017,,30/08/2017,3,0,"�27,500.00",�0.00,Please view tab 2 on excel sheet,Mr Peter Harding,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN241711,LCCITS200063 Provision of MiCase hosted Case Management System,Public Health,Provision of MiCase hosted Case Management System,01/04/2017,31/03/2018,31/12/2017,,31/03/2018,N/A,0,"�10,800.00",�0.00,Please view tab 2 on excel sheet,Ms Sarah Loughman,Other (Direct Award),No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN227828,LCCITS200111 Bulk SMS Messaging Service,Strategy and Resources,SMS Messaging Service,10/12/2016,09/12/2017,09/10/2017,,09/01/2018,0,0,"�20,000.00",�0.00,Please view tab 2 on excel sheet,Mr Steve Bedford,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN219055,LCCITS200121 Management Information System for Migration Yorkshire,Citizens and Communities,LCCITS200121 Management Information System for Migration Yorkshire,20/02/2017,19/08/2019,19/02/2019,,19/08/2019,N/A,0,"�38,700.00",�0.00,Please view tab 2 on excel sheet,Mr Roy Banks,RFQ,No,N/A,MIS
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN247182,LCCITS200141 Quality Assurance Gas/Electrical Inspection Work Solution,Environment & Housing,LCCITS200141 Quality Assurance Gas/Electrical Inspection Work Solution,25/01/2017,27/01/2019,27/12/2018,,27/02/2019,0,0,"�80,616.00",�0.00,Please view tab 2 on excel sheet,Mr Roy Banks,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN215013,"LCCITS200186 Enterprise Server and Storage Support, Goods and Services",Strategy and Resources,"LCCITS200186 Enterprise Server and Storage Support, Goods and Services",10/04/2017,09/04/2021,09/04/2020,,09/05/2021,0,0,"�513,789.18",�0.00,Please view tab 2 on excel sheet,Mr Roy Banks,ITT,Yes,Framework,"Oracle, HP, Netapp, Hardware, Maintenance, Wintel"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN239631,"LCCITS200186b Enterprise Server and Storage Support, Goods and Services (Storage)",Strategy and Resources,Support of the Council�s Storage estate together with the provision of new hardware and technical/professional services that may be required throughout the term of the framework.,10/04/2017,09/04/2021,01/04/2020,,09/05/2021,0,0,"�600,000.00",�0.00,Please view tab 2 on excel sheet,Mr Roy Banks,ITT,Yes,N/A,"Enterprise, Server, Storage"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN253767,LCCITS200186d Hardware Break/Fix Support (Legacy Equipment),Resources - ICT,Break fix maintenance of Legacy server hardware equipment,10/04/2017,10/04/2018,01/02/2018,,10/05/2018,0,0,"�4,500.00",�0.00,Please view tab 2 on excel sheet,Mr Roy Banks,Other (Direct Award),No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN204839 (CONTRACT-DSIN-93VB7R),LCCW23368 - Organisation of Leeds Half Marathon,City Development,Organisation of Leeds Half Marathon,15/08/2011,15/08/2021,15/08/2020,,15/09/2021,0,0,"�135,000.00",�0.00,Please view tab 2 on excel sheet,Sara Birkinshaw,Not provided,No,N/A,"Half, Marathon, Leeds"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN202762 (CONTRACT-DSIN-93V96U),LCCW26578  - Supply of Waterless Urinal Cartridges,"Projects, Programmes & Procurement Unit",Supply of Waterless Urinal Cartridges,01/08/2012,31/07/2017,04/01/2017,,31/08/2017,12,1,"�91,000.00",�0.00,Please view tab 2 on excel sheet,Mr David Galloway,RFQ,No,N/A,"Waterless, Urinal, Cartridges"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN207005 (CONTRACT-YORE-97PH9U),LCR Green Deal & ECO Scheme,Environment and Neighbourhoods,"The Leeds City Region Green Deal project aims to establish a long-term 
partnership with a leading Green Deal Provider/consortium in order to offer 
high quality and good value energy efficiency improvements to 
residents.  
The project will cover the whole of the Leeds City Region (and potentially 
parts of N Yorkshire and East Riding) with equal access, value for money and 
terms and conditions for all residents, regardless of location.  
The project will be available to any resident regardless of tenure or 
housing design, construction type, size and fuel type used for heating and hot 
water.  
The project will be open to all private sector households and the winning 
tender will be encouraged to design marketing approaches that the private 
sector will respond to. Many of the LCR housing authorities and housing 
associations have indicated that they are also interested in working with the 
winning tenderer to deliver social housing projects in specific 
estates. These are likely to be predominantly system built properties, 
solid walled Victorian properties and multi-storey blocks and properties with 
narrow cavities.   
Bidders will also be encouraged to consider opportunities within the non 
domestic market. 
The winning tenderer/consortia will have ultimate responsibility for turnkey 
project delivery. Upon appointment, they will be required to market and 
manage a LCR wide private sector Green Deal/ECO scheme. This will provide, 
as a minimum, the following three broad types of offer, to be delivered 
throughout the LCR area:  
A.       Delivery of a free HHCRO 
scheme, including free HHCRO fully GD accredited assessments and installation 
of free HHCRO measures; 
B.       Delivery of a full range of 
Green Deal measures, including Green Deal Assessments, within CSCO areas. This 
will aim to maximise the CSCO component to reduce the cost to households; 
and 
C.       Delivery of a full range of 
Green Deal measures, including Green Deal Assessments, to all households in LCR 
not eligible for HHCRO and CSCO. This will offer customers a choice of 
loans or customer contributions and will aim to maximise CERO funding;",19/12/2014,18/12/2018,01/12/2017,,18/12/2018,0,0,"�200,000,000.00",�0.00,Please view tab 2 on excel sheet,Mr Neil Diamond,RFQ,No,Framework,"Green Deal, Construction, Energy Efficiency, Works, Sustainability"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN194784 (CONTRACT-9YVH-W9NX56),LCR Green Deal Leeds City Council Call-Off,Environment and Neighbourhoods,LCR Green Deal Leeds City Council Call-Off,18/12/2014,17/12/2017,01/01/2017,,17/12/2017,60,0,"�200,000,000.00",�0.00,Please view tab 2 on excel sheet,George Munson,Not provided,No,N/A,"Energy, Efficiency"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN192185 (CONTRACT-9TZL-RMT61W),Learning Disabilities Community Support Service,N/A,"Provision of Day Care, Respite and Crisis Care and Supported Living services to 
adults with learning disabilities within Leeds.",01/08/2015,31/07/2020,31/07/2016,,31/08/2020,12,0,"�102,221,960.00",�0.00,Please view tab 2 on excel sheet,Tony Bailey,Not provided,No,N/A,"Aspire, Community benefits, Day opportunities"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN211301 (CONTRACT-YORE-9FVLL4),Learning Disability Specialist Advice Service,Adult Social Care,Learning Disability Specialist Advice Service,01/04/2014,31/03/2018,30/09/2017,,30/04/2018,12,0,"�293,709.98",�0.00,Please view tab 2 on excel sheet,Ms Lisa Keenan,RFQ,No,N/A,"learning, disability, specialist, advice"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN194464 (CONTRACT-9Y7N-AZUJKB),Lease for Leeds City Academy - Artforms (Quasi),N/A,Lease of rooms at�Leeds City Academy - Artforms�(Quasi),01/08/2014,31/07/2017,31/07/2017,,31/08/2017,0,0,"�319,800.00",�0.00,Please view tab 2 on excel sheet,Iain Dunn,Not provided,No,N/A,"Lease, Rent, Artforms, Academy"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN193133 (CONTRACT-9VSK-TW31CG),Leasing of Council house boilers (LCC501704(ML)) (Quasi),N/A,Leasing of Council house boilers (LCC501704(ML)) (Quasi),01/01/2013,31/03/2018,30/04/2018,,28/02/2018,0,0,"�8,000,000.00",�0.00,Please view tab 2 on excel sheet,Philippa Elliott,Not provided,No,N/A,"Leasing, Boilers, Lombard, Heatlease"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN249088,Leaving Care Service,Public Health,Housing Support for Young People Leaving Care,01/04/2017,30/06/2018,01/03/2018,,31/07/2018,0,0,"�351,246.06",�0.00,Please view tab 2 on excel sheet,Mr Ian Street,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN250500,Leeds Action to Create Homes Short Term Contract,Public Health,Accommodation and support to homeless families and single people.,01/04/2017,30/06/2017,26/06/2017,,01/08/2017,N/A,0,"�31,489.00",�0.00,Please view tab 2 on excel sheet,Mr Simon Pickering,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN208795 (CONTRACT-YORE-9BFLFQ),Leeds Advice Service,Strategy and Resources,"To provide an efficient, effective high quality service for the people of Leeds 
with a single point of access.",01/04/2014,31/03/2018,01/10/2017,,30/04/2018,12,0,"�6,469,822.00",�0.00,Please view tab 2 on excel sheet,Mr Andrew Cameron,RFQ,No,N/A,"advice service, citywide, Leeds, advisory"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN205432 (CONTRACT-YORE-942EMA),Leeds Arena Insurance,Strategy and Resources,"Provision of insurance cover for Leeds Arena, a multi-purpose entertainment 
venue in the centre of Leeds, in respect of Property, Business Interruption 
Loss of Rent, Terrorism and Property Owners Liability.",25/03/2013,24/03/2018,24/09/2017,,24/04/2018,0,0,"�200,000.00",�0.00,Please view tab 2 on excel sheet,Frank Morrison,Not provided,No,N/A,"Arena, Insurance, Liability"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN195431 (CONTRACT-A28K-CTL6LB),Leeds' Bid for European Capital of Culture,City Development,,18/11/2015,31/10/2017,31/07/2017,,30/11/2017,12,0,"�116,250.00",�0.00,Please view tab 2 on excel sheet,Dinah Clark,Not provided,No,N/A,"Consultant, European Capital, Culture, Bid, 2023"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN249463,Leeds Central Cordon Mode Split Surveys 2017,City Development,Leeds Central Cordon Mode Split Surveys 2017,24/03/2017,24/06/2017,31/05/2017,,24/07/2017,N/A,0,"�20,000.00",�0.00,Please view tab 2 on excel sheet,Mrs Anne Sweeting,RFQ,No,N/A,survey
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN234573,Leeds Centre for Integrated Living,Public Health,LCIL provides support for disabled people parent/carers and young people with SEN/disabilities that are in receipt of a personal budget,01/02/2017,31/10/2017,01/05/2017,,30/11/2017,0,0,"�584,800.00",�0.00,Please view tab 2 on excel sheet,Ms Shazia Nazir,RFQ,No,N/A,Adult
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198249 (CONTRACT-A7MC-77U3GL),Leeds Children's Charity (Silverdale),Childrens Services,"5 day residential experiences/short breaks/respite care aimed at 
disadvantaged children and young people living in Leeds. Children and young 
people aged between 7 and 11 years.",01/04/2016,31/03/2018,02/01/2018,,30/04/2018,12,0,"�78,886.00",�0.00,Please view tab 2 on excel sheet,Ms Michelle Whippey,RFQ,No,N/A,"Social service, Respite, Residential"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN210260 (CONTRACT-YORE-9DMN34),Leeds City Council - Insurance Policies 2014-2019,Strategy and Resources,,01/04/2014,31/03/2019,30/09/2018,,30/04/2019,0,0,"�13,309,462.95",�0.00,Please view tab 2 on excel sheet,Frank Morrison,Not provided,No,Framework,"insurance, policies"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN194614 (CONTRACT-9YHP-H9UDKG),"Leeds City Council Council Tax, Business Rates & Benefits printing service requirements",Citizens and Communities,"Leeds City Council Council Tax, Business Rates & Benefits printing 
service requirements.  
CCS Framework RM1687",01/04/2016,30/09/2019,01/04/2018,,30/10/2019,0,0,"�335,000.00",�0.00,Please view tab 2 on excel sheet,Loraine Gater,Not provided,No,N/A,"Print, Printing, Mail, Delivery"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN189720 (CONTRACT-9P7F-E4QI77),Leeds City Council Single Person Discount Review,Resources - ICT,Single person discount review,17/02/2015,16/02/2018,16/09/2017,,16/03/2018,12,0,"�154,000.00",�0.00,Please view tab 2 on excel sheet,Miss Philippa Elliott,RFQ,No,Framework,"single, person, doscoun t"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN206396 (CONTRACT-YORE-965BUN),Leeds Directory Service,Adult Social Care,"Background 
� 
With increasing demands on the local authority to provide for people with 
the highest levels of care needs, the �Keeping House� project was established 
in 2005 to create new ways to continue to address basic, but all-important, 
domestic needs of older people and disabled people.  
� 
One of Keeping House�s primary functions was to develop and maintain a list 
of domestic services, which could assist Leeds� strategic objective to help 
older people and disabled people to live independently in their own homes for 
as long as they wish to do so. 
� 
Alongside the Directory, a quality assurance function for domestic providers 
was established. This gave assurance that providers of services in the home or 
garden who were listed in the Directory met specific quality assurance criteria 
to allow them to become �Green Tick� providers. 
� 
Since April 2009, the Keeping House Directory and the Quality Assurance 
function have been contracted out from the local authority to an external 
provider that has developed and run the service. 
� 
In 2010 the directory was rebranded as the �Leeds Directory� and its remit 
expanded to list all services that enabled people to remain independent in 
their own home. The target audience for the directory was also expanded to 
include people with a learning disability and a mental health problem, in-line 
with the personalisation agenda. 
� 
Since its inception the Directory has continued to expand and now lists over 
1,700 organisations and services. 6,721 people accessed the Directory in the 
last month (January 2013 stats) which is an increase of 242 compared to last 
January. 
� 
Leeds Directory provides information on services, but does not allow for 
online purchasing. Alongside the continuing growth of the Leeds Directory, a 
separate website has been developed (Connect to Support Leeds) to allow 
customers to purchase care and support services on line. This is being provided 
as part of a regional project with all the Yorkshire and Humber local 
authorities by an organisation called Shop4Support. 
� 
It is intended that the increasing popularity of the Directory as a method 
for providers advertising services and customers accessing information can be 
harnessed and coupled with the Connect to Support functionality to allow people 
to research and purchase services online. Leeds Directory will continue to 
provide the directory of services available and the quality assurance function, 
while customers will be able to purchase goods and services from the Connect to 
Support site. To allow this to happen, close links will need to be forged and 
maintained between the provider of the Leeds Directory and the provider of the 
Connect to Support site (Shop4Support). 
� 
� 
Scope of the service to be provided 
� 
The aim of the Leeds Directory service is: 
� 
a). To provide, maintain and further develop the Leeds Directory, an online 
Directory of services which support people to remain independent (www.leedsdirectory.org)  
b). To run a Leeds Directory helpline to answer customer queries and give 
customers information on services where they do not have internet access 
c). To provide the Quality Assurance function for services listed in the 
Leeds Directory that deliver services in the home or garden  
� 
� 
d). To ensure links are formed and maintained with the �Connect to Support� 
website which provides customers with the ability to purchase services from 
providers listed on-line 
� 
Service outcomes 
� 
i)������������ 
� Provision of information which enables individuals to choose� the 
support they need to max the opportunity for independent living 
ii)������������ 
Contribute to informing as many target client groups in Leeds about services 
and opportunities in a local, accessible, and comprehensive way 
iii)����������� 
Enable health and social care professionals to access information which 
supports them to promote services to individuals  
iv)���������� Enable 
service providers to effectively promote themselves to citizens in Leeds  
v)����������� 
Awareness and reputation of the directory service increases amongst all target 
stakeholders  
� 
Current usage of the service 
� 
The latest statistics available for the Leeds Directory service showed that 
in one month: 
-������ There were 6,824 individual hits to 
the website 
-������ There were 188 calls to the 
helpline 
-������ 168 service leaflets sent to 
clients 
� 
Currently there are: 
-������ 1713 providers listed on the 
directory 
-������ 168 providers listed that have been 
taken through the Green Tick Quality Assurance process. 
� 
� 
Contract value and timescales 
� 
The maximum amount available for this contract is �120,000 - 
�140,000 per annum. The contract will be for three years, with the option 
to extend for a further 2 x 12 month periods. 
� 
Potential provider issues 
� 
TUPE may apply to this service/contract. Individual bidders will need to 
seek their own legal advice. 
� 
The provider will be required to ensure that its members of staff providing 
the service are CRB checked.",01/04/2014,31/03/2018,01/10/2017,,30/04/2018,12,0,"�541,608.91",�0.00,Please view tab 2 on excel sheet,Ms Emma Carter,RFQ,No,N/A,"leeds, directory, keeping, house, domestic"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN190881 (CONTRACT-9RLG-STKYJH),LEEDS EARLY START SERVICE INCORPORATING: THE FAMILY NURSE PARTNERSHIP (FNP) AND (0-5) HEALTH VISITOR SERVICE (HV),Environment and Neighbourhoods,"The services which will transfer comprise the Leeds Health Visiting service 
and the Family Nurse Partnership programme which together deliver the national 
0-5 Healthy Child Programme.  
These services are currently provided by Leeds Community Healthcare NHS 
Trust",01/10/2015,31/03/2018,01/10/2017,,30/04/2018,12,0,"�14,934,000.00",�0.00,Please view tab 2 on excel sheet,Ms Kate Daly,RFQ,No,Framework,"Nurse, Community, Children"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN201313 (CONTRACT-ACQD-DQOOME),Leeds East SEMH Provision,"Projects, Programmes & Procurement Unit",Works to provide a new SEMH facility in the east of the city.,14/11/2016,01/12/2017,01/08/2017,,01/01/2018,0,0,"�13,001,889.64",�0.00,Please view tab 2 on excel sheet,Ms Laura Whitehead,RFQ,No,N/A,"SEMH, East"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN191605 (CONTRACT-9SYK-38HDF8),Leeds Flood Alleviation Scheme - Waste Management,City Development,Leeds Flood Alleviation - Waste Management,31/01/2015,31/01/2018,31/01/2018,,28/02/2018,0,0,"�977,000.00",�0.00,Please view tab 2 on excel sheet,Richard Dennis,Not provided,No,N/A,flood
