RATEPAYER,Property Address,PROPREF,RV,Property Description,RELIEF_CODE
Bizspace Ltd,"Unit 1B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628849,17500,Warehouse And Premises,12
Bizspace Ltd,"Unit 1C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628850,15500,Warehouse And Premises,12
Bizspace Ltd,"Unit 5A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628852,6300,Warehouse And Premises,12
Bizspace Ltd,"Unit 4D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628853,9100,Warehouse And Premises,21
Bizspace Ltd,"Unit 2A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628854,4750,Warehouse And Premises,21
Bizspace Ltd,"Unit 18B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628860,1975,Offices And Premises,13
Bizspace Ltd,"Unit 18C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628861,2350,Offices And Premises,13
Bizspace Ltd,"Unit 18D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628862,1375,Offices And Premises,13
Bizspace Ltd,"Unit 18E, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628863,2300,Offices And Premises,13
Bizspace Ltd,"Unit 18F, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628864,2450,Offices And Premises,13
Bizspace Ltd,"Unit 18G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628865,4600,Offices And Premises,21
Bizspace Ltd,"Unit 18H, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628866,3900,Offices And Premises,21
Bizspace Ltd,"Unit 18I, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628867,1075,Offices And Premises,13
Anglo Canadian Alloys Ltd (In Liquidation),"2 The Old Vicarage, Coley Road, Northowram, Halifax             HX3 7SA",64656705,8600,Offices and Premises,21
Johnson Cleaners Uk Ltd,"10 Commercial Street, Halifax, HX1 1TA",64660010,6800,Offices and Premises,21
Max Bars Lp,"Abc Cinema, Commercial Street, Halifax, HX1 1BX",64660702,72000,Club and Premises,6
Johnson Cleaners Uk Ltd,"10 Commercial Street, Halifax, HX1 1TA",64660712,19000,Shop and Premises,21
Carter Towler,"1ST Floor, 20/26 Commercial Street, Halifax, HX1 1TA",64660732,14500,Offices and Premises,21
Ascon Investments [Hx] Ltd,"3RD Floor, 39/47 Commercial Street, Halifax, HX1 1BE",64660745,23000,Offices And Premises,21
Blackshaw Holdings Ltd,"Cooper House, Cooper Lane, Shelf, Halifax              HX3 7RJ",64672702,3300,Workshop And Premises,21
Stonefield Estate Ltd,"5 Corn Market, Halifax, HX1 1TH",64688005,23250,Shop And Premises,21
,"4 Cross Hills, Halifax, HX1 1XQ",64716004,2350,Shop and Premises,18
Dean Clough Ltd,"29 Cross Hills, Halifax, HX1 1XQ",64716029,2050,Store And Premises,18
,"Cross Roads, Wainstalls, Halifax, HX2 7TE",64724700,1475,Sports Ground And Premises,13
Landowne Ltd,"7 Crossley Street, Halifax, HX1 1UG",64748007,9700,Offices and Premises,6
City Centre Restaurants (Uk) Ltd,"21 Crossley Street, Halifax, HX1 1UG",64748021,12750,Offices and Premises,6
,"3 Wesley Court, Halifax, HX1 1UH",64748701,1700,Shop and Premises,13
Monte Carlo Cafe,"1st 2nd & 3rd Floors, 19 Crossley Street, Halifax, HX1 1UG",64748705,2475,Store And Premises,6
,"8,10 ,12 Crossley Street, Halifax, HX1 1UG",64748714,36000,Offices and Premises,6
Mayfair Carpet Gallery Limited,"2 Crown Street, Halifax, HX1 1TT",64756002,40250,Shop and Premises,6
,"13 Crown Street, Halifax, HX1 1TT",64756013,19500,Shop and Premises,21
,"18 Crown Street, Halifax, HX1 1TT",64756018,10250,Shop and Premises,21
,"39/41 Crown Street, Halifax, HX1 1HY",64756041,20500,Shop and Premises,21
,"45 Crown Street, Halifax, HX1 1JB",64756045,6000,Restaurant And Premises,6
,"47/49 Crown Street, Halifax, HX1 1JB",64756047,10000,Shop and Premises,6
,"1ST Floor, 43A Crown Street, Halifax, HX1 1JB",64756719,2275,Offices and Premises,6
Trustees Of B Holmes Discretionary Settlement,"Part 7th Floor, 60 Crown Street, Halifax, HX1 1HY",64756728,15500,Offices and Premises,21
,"Second & Third Floors, 51 Crown Street, Halifax, HX1 1JB",64756737,1825,Offices and Premises,6
,"First Floor, 41A Crown Street, Halifax, HX1 1JB",64756744,9100,Offices And Premises,6
,"2ND Floor, 41A Crown Street, Halifax, HX1 1JB",64756745,5500,Offices And Premises,6
,"Dam Head, Shibden, Halifax, HX3 7UL",64773700,1475,Livery Stables And Premises,6
Dean Clough Ltd,"Office Suites D25 & D35, Dean Clough Office Park, Halifax, HX3 5AX",64778775,12000,Stores And Premises,6
Dean Clough Ltd,"Office Suite D 258, Dean Clough Mills, Halifax, HX3 5AX",64778778,3100,Office,6
Dean Clough Ltd,"Office Suite E 208/210, Dean Clough Mills, Halifax, HX3 5AX",64778790,5800,Offices and Premises,6
Dean Clough Ltd,"Office Suite G 438, Dean Clough Mills, Halifax, HX3 5AX",64778794,7100,Offices and Premises,6
Dean Clough Ltd,"Office Suite G 444, Dean Clough Mills, Halifax, HX3 5AX",64778796,4100,Offices and Premises,6
Dean Clough Ltd,"Part 4TH Floor F Mill, Dean Clough Mills, Halifax, HX3 5AX",64778797,128000,Offices and Premises,6
Dean Clough Ltd,"Office Suite G7, Dean Clough Mills, Halifax, HX3 5AX",64778801,105000,Offices and Premises,6
Dean Clough Ltd,"Office Suite E328, Dean Clough Mills, Halifax, HX3 5AX",64778818,6000,Office,6
Dean Clough Ltd,"Office Suite E342, Dean Clough Mills, Halifax, HX3 5AX",64778819,4850,Office,6
,"1 Deal Street, Halifax, HX1 1QX",64780001,3550,Warehouse And Premises,6
,"2/3/4 Deal Street, Halifax, HX1 1QX",64780700,34750,Showroom And Premises,6
,"29 Church Street, Halifax, HX1 1QY",64780701,10250,Warehouse And Premises,6
Dean Clough Ltd,"Unit DY/1, Dean Clough Mills, Halifax, HX3 5AX",64784751,5100,Warehouse And Premises,6
Dean Clough Ltd,"Unit J1, Dean Clough Industrial Park, Halifax, HX3 5WF",64784790,16000,Warehouse And Premises,6
Dean Clough Ltd,"Unit K2 (Second Floor), K Mill, Dean Clough Mills, Halifax, HX3 5AX",64784816,8900,Offices,6
Dean Clough Ltd,"Office Suite LG34, Dean Clough Industrial Park, Halifax, HX3 5AZ",64784827,9800,Store,6
Dean Clough Ltd,"Office Suite L G 44, Dean Clough Mills, Halifax, HX3 5AX",64784832,1700,Office,18
Dean Clough Ind Park Ltd,"Unit D Mill Annexe, Dean Clough Industrial Park, Halifax, HX3 5AX",64784833,1400,Store,6
Dean Clough Ltd,"Office Suite E 145, Dean Clough Mills, Halifax, HX3 5AX",64784842,1625,Office,6
Dean Clough Ltd,"Office Suite E 107, Dean Clough Mills, Halifax, HX3 5AX",64784848,8100,Offices and Premises,21
Dean Clough Ltd,"Office Suite D110, Clough Mills, Halifax, HX3 5AX",64784855,2350,Office,6
Dean Clough Ltd,"Unit L3, L Block, Dean Clough Office Park, Halifax              HX3 5AX",64784867,800,Store,6
Dean Clough Ltd,"Fearnley Mill, Dean Clough Mills, Halifax, HX3 5AX",64784882,219000,Offices and Premises,6
Dean Clough Ltd,"Unit A1 ( Adj Unit B1A ), Dean Clough Industrial Park, Halifax, HX1 1XG",64784886,1575,Store,6
Dean Clough Ltd,"Office Suite D131 / D133, Dean Clough Mills, Halifax, HX3 5AX",64784887,10000,Offices,6
Dean Clough Ltd,"Office Suite G B, Dean Clough Mills, Halifax, HX3 5AX",64784894,8100,Store And Premises,6
Dean Clough Ltd,"Office Suite D255, Dean Clough, Halifax, HX3 5AX",64784895,12500,Offices And Premises,6
Dean Clough Ltd,"Office Suite D238, Dean Clough Office Park, Halifax, HX3 5AX",64788705,2275,Office,3
Dean Clough Ltd,"Office Suite D 39, Dean Clough Mills, Halifax, HX3 5AX",64788727,4050,Offices,6
Dean Clough Ltd,"Office Suite D176, Dean Clough Office Park, Halifax, HX3 5AX",64788758,1650,Office,13
Dean Clough Ltd,"Unit B M Y 3 Bowling Mill, Dean Clough Industrial Park, Halifax, HX3 5AX",64788778,33250,Restaurant and Premises,3
Dean Clough Ltd,"Crossleys Mill 2ND Floor, Dean Clough Mills, Halifax, HX3 5AX",64788792,34250,Offices and Premises,6
Dean Clough Ltd,"Office Suite D175, Dean Clough, Halifax, HX3 5AX",64788805,10750,Office,6
Dean Clough Ltd,"Office Suites D156/158 &D171, Dean Clough, Halifax, HX3 5AX",64788815,18500,Offices and Premises,6
Dean Clough Ltd,"Office Suite D256, Dean Clough Mills, Halifax, HX3 5AX",64788826,2100,Office,18
Dean Clough Ltd,"Crossleys Mill (Grd Flr), Dean Clough Mills, Halifax, HX3 5AX",64788834,7500,Store And Premises,6
Dean Clough Ltd,"Office Suite D101/103, Dean Clough Mills, Halifax, HX3 5AX",64788839,6500,Offices and Premises,6
Dean Clough Ltd,"Office Suite D 261, Dean Clough Mills, Halifax, HX3 5AX",64788847,6600,Office,6
Dean Clough Ltd,"Office Suite D5, Dean Clough Mills, Halifax, HX3 5AX",64788850,120000,Offices and Premises,6
Dean Clough Ltd,"Office Suite D5 5TH Floor, Dean Clough Mills, Halifax, HX3 5AX",64788851,46500,Offices and Premises,6
Dean Clough Ltd,"Office Suite G 426, Dean Clough Mills, Halifax, HX3 5AX",64788853,7600,Offices and Premises,6
Dean Clough Ltd,"Unit E.001  E Mill, Dean Clough, Halifax, HX3 5AX",64788854,4000,Office,6
,"22 Dean Street, Greetland, Halifax, HX4 8DW",64800022,2550,Workshop And Premises,18
Pennine Housing 2000 Ltd,"31 Dene Place, Halifax, HX1 5TL",64808031,3100,Shop and Premises,21
Tefonica O2 (Uk) Ltd,"Telecommunication Mast, Site Ref H X 0006, Denholmegate Road, Hipperholme          HX3 8LF",64812746,8700,Communication Station and Premises,17
Bamford Developments Limited Pension Scheme,"Unit 6 (Remainder), Dispensary Walk, Halifax, HX1 1QR",64824704,5900,Offices And Premises,6
Bamford Developments Limited Pension Scheme,"Unit 4 Causey Hall, Dispensary Walk, Halifax, HX1 1QL",64824708,10000,Offices And Premises,6
Bamford Developments Limited Pension Scheme,"Units 1, 2 & 3 Causey Hall, Dispensary Walk, Halifax, HX1 1QL",64824710,8900,Offices And Premises,6
,"4 Dodge Holme Drive, Mixenden, Halifax, HX2 8PE",64832703,2550,Shop and Premises,13
,"Dog Lane Mills, Dog Lane, Stainland, Halifax              HX4 9PZ",64836702,3850,Workshop And Premises,21
Granuplas Reclamation,"Dog Lane Mills, Stainland, Halifax, HX4 9PZ",64836703,1725,Workshop And Premises,13
Ppc Uk Ltd (In Administration),"Unit 1A 2ND Floor, Dunkirk Mills, Dunkirk Lane, Halifax              HX1 3TA",64852700,1850,Warehouse And Premises,13
Ppc Uk Ltd (In Administration),"Ground Floor, Unit 1B Dunkirk Mills, Dunkirk Lane, Halifax              HX1 3TA",64852702,2150,Warehouse And Premises,13
Ppc Uk Ltd (In Administration),"Basement, 1B Dunkirk Mills, Dunkirk Lane, Halifax              HX1 3TA",64852703,2075,Warehouse And Premises,13
Ppc Uk Ltd (In Administration),"First And Second Floors, Unit 1b Dunkirk Mills, Dunkirk Lane, Halifax             HX1 3TA",64852706,2175,Warehouse And Premises,13
Binns & Sons (Greetland) Ltd,"Office 5 Second Floor, Brian Royd Mills, Brian Royd Lane, Greetland            HX4 8PE",64873711,1000,Office,3
Binns & Sons (Greetland) Ltd,"Second Floor, Brian Royd Mills, Brian Royd Lane, Greetland            HX4 8PE",64873713,1825,Warehouse And Premises,13
Dean Clough Ltd,"Office Suite D 07, Dean Clough Mills, Halifax, HX3 5AX",64885703,3900,Warehouse And Premises,6
Dean Clough Ltd,"Office Suite D 09, Dean Clough Mills, Halifax, HX3 5AX",64885704,3350,Warehouse And Premises,6
Dean Clough Ltd,"Unit BMG/W1, Dean Clough Mills, Halifax, HX3 5AX",64885720,10250,Restaurant And Premises,3
Dean Clough Ltd,"3RD Flr, Bowling Dyke Mill, Dean Clough Industrial Park, Halifax              HX3 5AX",64885724,139000,Offices And Premises,6
Dean Clough Ltd,"Ground Flr, Bowling Dyke Mill, Dean Clough Industrial Park, Halifax              HX3 5AX",64885725,17500,Offices And Premises,6
,"Unit 6, Fairlea Mill, Ellen Holme Lane, Luddendenfoot       HX2 6EP",65020708,1500,Garage And Premises,13
,"Exley Gardens, Halifax, HX3 9EE",65048700,1175,Shop and Premises,13
,"3 Fenton Road, Halifax, HX1 3PP",65072003,1175,Store And Premises,13
,"Part 1st Floor, Fenton Road, Halifax, HX1 3SQ",65072709,2650,Stores,21
,"Part 1ST Floor, Thornton Works, Fenton Road, Halifax             HX1 3PP",65072710,3200,Workshop And Premises,21
,"First Floor, 32 Fenton Road, Halifax, HX1 3PP",65072724,1250,Store And Premises,18
A T C Properties Ltd,"Suite 2C First Floor, Fountain Chambers, Fountain Street, Halifax              HX1 1LW",65100022,2050,Office,13
A T C Properties Ltd,"Suite 2A First Floor, Fountain Chambers, Fountain Street, Halifax              HX1 1LW",65100715,1200,Office,18
Assn Of Islamic Charitable Projects,"Second Floor, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",65104703,12000,Offices And Premises,6
Assn Of Islamic Charitable Projects,"Ground Floor, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",65104713,15000,Offices And Premises,6
City Estates (Uk) Ltd,"2ND Floor, District Bank Chambers, George Square, Halifax              HX1 1HF",65140704,13250,Offices and Premises,21
City Estates (Uk) Ltd,"Office 2 3rd Floor, District Bank Chambers, George Square, Halifax             HX1 1HF",65140705,7400,Offices and Premises,21
City Estates (Uk) Ltd,"Office 1,3rd Floor, District Bank Chambers, George Square, Halifax             HX1 1HF",65140707,6300,Offices and Premises,21
E T R Leisure Ltd (Company Dissolved),"George Square, Halifax, HX1 1HS",65140709,6800,"Store, Store and Premises",21
,"278 Gibbet Street, Halifax, HX1 4LT",65164278,2550,Shop and Premises,13
Westfield Properties,"Unit 1, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164729,2350,Workshop And Premises,18
Westfield Properties,"Unit 10, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164730,1850,Workshop And Premises,13
Westfield Properties Ltd,"Unit 11, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164731,1400,Offices and Premises,13
,"Unit 12b, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164733,880,Store And Premises,13
Westfield Properties Ltd,"Unit 15, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164738,1775,Store And Premises,13
Westfield Properties Ltd,"Unit 28, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164748,1675,Workshop And Premises,13
,"Unit 29, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164749,790,Workshop And Premises,13
,"Unit 31 (Boiler House), Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164751,950,Workshop And Premises,13
Westfield Properties Ltd,"Units 4 & 5, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164753,1625,Workshop And Premises,13
,"Unit 7, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164755,600,Workshop And Premises,13
Dawat-E-Islami,"Unit 7/8, Queens Road Mills, Gibbet Street, Halifax             HX1 4JX",65164756,3250,Workshop And Premises,16
Dawat-E-Islami,"Unit 9 (1st Floor), Queens Road Mills, Gibbet Street, Halifax             HX1 4JX",65164759,2425,Warehouse And Premises,18
Dawat-E-Islami,"Unit 9 (2nd Floor), Queens Road Mills, Gibbet Street, Halifax             HX1 4JX",65164760,1500,Warehouse And Premises,18
Dawat-E-Islami,"Unit 9 (Ground Floor), Queens Road Mills, Gibbet Street, Halifax             HX1 4JX",65164761,3550,Warehouse And Premises,16
,"Units 1&3 (3rd Floor), Queens Road Mills, Gibbet Street, Halifax             HX1 4JX",65164764,7300,Warehouse And Premises,21
Dawat-E-Islami,"Units 10,10a &11, Queens Road Mills, Gibbet Street, Halifax             HX1 4JX",65164766,14250,Showroom And Premises,16
Westfield Properties Ltd,"Unit 2A, Calder Workshops, Halifax, HX1 4JQ",65164803,2025,Store And Premises,18
Westfield Properties,"Unit 16B Calder Workshops, Gibbet Street, Halifax, HX1 4JQ",65164847,1100,Offices and Premises,13
,"260 Gibbet Street, Halifax, HX1 4LT",65164850,2750,Shop and Premises,21
Specialised Coatings Holdings Ltd,"Unit 6B Mile Cross Works, Gibbet Street, Halifax, HX1 4JQ",65164851,8100,Offices and Premises,21
Calderdale Mbc Land & Property Services,"Former Music School, Wellesley Park, Gibbet Street, Halifax              HX2 0BA",65164854,5900,Offices and Premises,6
,"Unit 2 1ST Flr, Calder Workshop, Gibbet Street, Halifax              HX1 4JQ",65164886,2550,Store And Premises,13
European Food Brokers Ltd,"Atlas Works, Gibbet Street, Halifax, HX1 4DB",65164887,80000,Warehouse And Premises,21
,"135 Gibraltar Road, Halifax, HX1 3UH",65168135,3400,Garage And Premises,21
,"Buckland Place, Gibraltar Road, Halifax, HX1 4HJ",65168705,2200,Vehicle Repair Workshop And Premises,13
,"Gordon Street, Boothtown, Halifax, HX3 6NU",65188700,1575,Workshop And Premises,13
,"Adj Central Ironworks, Gordon Street, Boothtown, Halifax              HX3 6NU",65188704,1800,Workshop And Premises,13
,"Adj Central Ironworks, Gordon Street, Boothtown, Halifax              HX3 6NU",65188705,1275,Warehouse And Premises,13
Grantham House Properties Ltd,"Unit 5b, Grantham House, Grantham Road, Halifax             HX3 6PL",65192712,1150,Offices and Premises,13
Grantham House Properties Ltd,"Grantham House, Grantham Road, Halifax, HX3 6PL",65192713,9300,Offices and Premises,21
,"111 Haley Hill, Halifax, HX3 6EE",65224111,1725,Shop and Premises,13
,"Haley Hill Works, Haley Hill, Halifax, HX3 6EA",65224729,7500,Communication Station and Premises,17
,"Ground Floor Store, Haley Hill Mills, Haley Hill, Halifax              HX3 6ED",65224731,1500,Store And Premises,18
R S Investments Yorkshire Ltd,"Halifax Road, Hipperholme, Halifax, HX3 8ER",65232701,1675,Workshop And Premises,12
Blackshaw Holdings Ltd,"Unit 2E, Hipperholme Business Park, Halifax Road, Hipperholme          HX3 8ER",65232768,2075,Offices And Premises,13
Marshalls Mono Ltd,"Hall Ings, Southowram, Halifax, HX3 9RQ",65240700,2425,Store And Premises,13
,"First Floor, 6-8 Hall Street, Halifax, HX1 5AY",65248714,5600,Warehouse And Premises,21
,"21 Hanson Lane, Halifax, HX1 5NX",65264021,1525,Shop and Premises,13
,"39 Hanson Lane, Halifax, HX1 5NX",65264039,1875,Shop and Premises,18
,"67 Hanson Lane, Halifax, HX1 5NX",65264067,4900,Shop and Premises,21
,"120 Hanson Lane, Halifax, HX1 5PG",65264120,1375,Shop and Premises,13
,"43 Hanson Lane, Halifax, HX1 5NX",65264720,1275,Shop and Premises,13
Halifax Opportunities Trust,"Unit 1, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",65264729,2000,Workshop And Premises,12
,"59 Hanson Lane, Halifax, HX1 5NX",65264757,2075,Shop and Premises,13
Halifax Opportunities Trust,"Office 27, Hansonlane Enterprise Centre, Hanson Lane, Halifax              HX1 5PG",65264790,1575,Offices And Premises,18
Sky Diy Supercentre Ltd,"Unit 3, 148/150 Hanson Lane, Halifax, HX1 5PQ",65264809,15250,Warehouse And Premises,12
,"15 Harrison Road, Halifax, HX1 2AF",65276015,9900,Offices and Premises,6
Calderdale Mbc Land & Property Services,"Carlton Street, Halifax, HX1 2AF",65276700,2950,Workshop And Premises,6
,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276703,5300,Offices and Premises,6
,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276704,3950,Offices and Premises,6
,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276705,1375,Offices and Premises,6
,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276706,1150,Offices and Premises,6
,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276707,540,Office,6
,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276708,10000,Offices and Premises,6
,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276709,4550,Lecture Hall,6
Enterprise Inns Plc,"Bar Eleven, 11 Harrison Road, Halifax, HX1 2AF",65276710,50000,Public House and Premises,6
,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276712,3800,Shop and Premises,6
Finn Gledhill & Co,"2 Harrison Road, Halifax, HX1 2AG",65276724,23500,Offices And Premises,6
,"62 Haugh Shaw Road, Halifax, HX1 3LE",65284062,2500,Store &  Premises,13
Swinton Group Ltd,"Lakeside House, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",65288706,24000,Offices and Premises,21
Swinton Colonnade,"Fellside House, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",65288707,22750,Offices and Premises,21
Kino & Co,"Unit Hm 1.04, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SW",65344501,1125,Store &  Premises,18
Kino & Co,"12C/E Holdsworth Road, Holmfield, Halifax, HX3 6SN",65344509,3650,Warehouse And Premises,12
Kino & Co,"12D Holdsworth Road, Holmfield, Halifax, HX3 6SN",65344510,1725,Offices And Premises,3
Leeds Roman Catholic Diocese,"St Catherines, Catholic High School, Holdsworth Road, Holmfield            HX2 9TH",65344701,138000,School and Premises,21
Kino & Co,"Office 3.7 First Floor, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN",65344745,2050,Office and Premises,18
Kino & Co,"Office 3.8, 1ST Floor, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN",65344746,630,Office,18
Kino & Co,"Office 3.6 & 3.9, 1ST Floor, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344754,2450,Workshop And Premises,18
Kino & Co,"Unit 9 White Rose Mill, Holdsworth Road, Halifax, HX3 6SN",65344766,2500,Store And Premises,13
Kino & Co,"Unit 10 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",65344768,1975,Workshop And Premises,18
Kino & Co,"Unit 13 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",65344770,1475,Workshop And Premises,18
Kino & Co,"Unit HM4 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",65344792,4100,Workshop And Premises,12
Kino & Co,"Unit HM30 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",65344816,3400,Workshop And Premises,12
Kino & Co,"Unit 8 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",65344825,1750,Store And Premises,18
Kino & Co,"Office H M 3.0, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344854,1050,Offices and Premises,13
Kino & Co,"Office H M 2.9, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344880,830,Office,18
Kino & Co,"Office H M 2.10, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344881,1200,Office,13
Kino & Co,"Suite H M 2.17, Holmfield Mill, Holdsworth Road, Halifax              HX3 6SN",65344958,780,Office,3
Kino & Co,"Frmr Part Heritage Cashmere, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344972,6500,Warehouse And Premises,21
Kino & Co,"Unit 1.09/1.10, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344981,1225,Store & Premises,18
Kino & Co,"Unit 1.02/1.03, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344982,1600,Warehouse And Premises,18
Kino & Co,"Unit 1.01, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344983,970,Store And Premises,18
Kino & Co,"Unit 1.04/1.05, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344984,890,Store And Premises,18
Kino & Co,"Unit 1.08, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344987,430,Store And Premises,12
Kino & Co,"Unit Hm 21, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SW",65344992,2050,Store And Premises,13
Kino & Co,"Unit Hm 1.02, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SW",65344999,520,Store &  Premises,18
A - Z Motor Factors Ltd,"Hope Street, Halifax, HX1 5DW",65356701,29500,Tyre And Exhaust Centre And Premises,21
,"8 Hopwood Lane, Halifax, HX1 5HW",65364008,8700,Offices and Premises,21
,"45 Hopwood Lane, Halifax, HX1 5ER",65364045,1875,Shop and Premises,13
,"70 Hopwood Lane, Halifax, HX1 4DG",65364070,2475,Shop and Premises,13
,"73 Hopwood Lane, Halifax, HX1 4DG",65364073,2800,Shop and Premises,21
Homes & Communities Agency,"Crown Works, Hopwood Lane, Halifax, HX1 5HW",65364701,2550,Workshop And Premises,18
Homes & Communities Agency,"Crown Works, Hopwood Lane, Halifax, HX1 5HW",65364702,1125,Workshop And Premises,13
Homes & Communities Agency,"Crown Works, Hopwood Lane, Halifax, HX1 5HW",65364703,2225,Workshop And Premises,13
Roundabout Properties Ltd,"Unit 8, Margram Business Centre, Horne Street, Halifax             HX1 5UA",65376705,5200,Store And Premises,12
Due West Ltd,"Part Ground Floor, 14 Horton Street, Halifax, HX1 1PU",65388014,730,Store And Premises,13
The Royal London Mutual Insurance Society,"60 Horton Street, Halifax, HX1 1QE",65388060,46500,Showroom And Premises,21
The Administrators Of Unibrook Ltd,"62 Horton Street, Halifax, HX1 1QE",65388062,41500,Showroom And Premises,15
O & C Management Services Ltd,"16 Horton Street, Halifax, HX1 1PU",65388702,2800,Dance Studio And Premises,6
Due West Ltd,"Offices (1st Floor ), 26 Horton Street, Halifax, HX1 1QE",65388704,3900,Offices and Premises,6
Cullingworth Commercials & Freight Services Ltd,"Storage Land, Hubert Street, Halifax, HX2 0AS",65410701,18750,Land Used For Storage,17
Leodis Properties Ltd,"Punch Bowl Inn, 389 Huddersfield Road, Halifax, HX3 9LJ",65412706,4750,Public House and Premises,21
Tesco Stores Ltd,"Adj.Hss Hire Shop, Huddersfield Road, Halifax, HX3 0AA",65412716,3450,Store And Premises,21
,"Adj Chilli Lounge, Huddersfield Road, Halifax, HX3 0NS",65412724,2175,Offices And Premises,13
Qafs Property Ltd,"33A Keighley Road, Halifax, HX2 8BA",65484754,2325,Shop and Premises,18
,"Adj 9 Kent Street, Halifax, HX1 2SR",65500700,930,Store And Premises,13
,"King Cross Road, Halifax, HX1 3JL",65516150,17250,Car Sales Site and Premises,21
,"166 King Cross Road, Halifax, HX1 3LN",65516166,3000,Shop and Premises,21
,"179 King Cross Road, Halifax, HX1 3LN",65516179,1950,Hairdressing Salon and Premises,13
Mackereth Opticians Ltd,"204 King Cross Road, Halifax, HX1 3JP",65516204,5400,Shop and Premises,21
,"Office 4, 159 King Cross Road, Halifax, HX1 3LN",65516708,750,Offices and Premises,18
,"Woodgate, 164 King Cross Road, Halifax, HX1 3LN",65516712,2150,Surgery And Premises,13
,"239/241 King Cross Road, Halifax, HX1 3JL",65516732,7300,Shop and Premises,21
,"161B First Floor, King Cross Road, Halifax, HX1 3LN",65516760,1050,Offices and Premises,13
,"Office First Floor, 161A King Cross Road, Halifax, HX1 3LN",65516786,1750,Offices and Premises,18
,"Office 2 1ST Floor, 159 King Cross Road, Halifax, HX1 3LN",65516789,2025,Offices And Premises,18
Homes & Communities Agency,"8 King Cross Street, Halifax, HX1 2SH",65520006,6300,Surgery And Premises,6
Homes & Communities Agency,"8 King Cross Street, Halifax, HX1 2SH",65520008,2750,Surgery And Premises,6
Homes & Communities Agency,"8 King Cross Street, Halifax, HX1 2SH",65520709,6800,Showroom And Premises,6
,"Adj 8 King Cross Street, Halifax, HX1 2SH",65520710,10000,Showroom And Premises,6
Homes & Communities Agency,"8 King Cross Street, Halifax, HX1 2SH",65520715,2250,Offices and Premises,6
