Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Rateable Value 2017,VO Code,Property Description,Empty,Empty From,Charity,Disc,Mand,SBRR
Ref: 30163400010087,,,01.04.2005                                               ,                                ,                                ,2 BENFIELD STREET                  ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1BB,3350,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30172191141519,KAVANAGH & COATES FUNERAL       ,SERVICE LTD                     ,01.03.2013                                               ,                                ,                                ,GND FLR 10 BETHEL STREET           ,HEYWOOD                            ,                                ,                                ,OL10 1HU,7300,IF3  ,STORES AND PREMISES                                         ,     ,                                                         , ,0,0,Y
Ref: 30172192345904,KAVANAGH & COATES FUNERAL       ,SERVICE LTD                     ,31.07.2015                                               ,                                ,                                ,JAYNE DANCE & FITNESS              ,1ST FLR 45 FOX STREET              ,HEYWOOD                         ,                                ,OL10 1EJ,5600,LX   ,DANCE STUDIO AND PREMISES                                   ,Y    ,31.07.2015                                               , ,0,0, 
Ref: 30172193926114,ST VINCENT DE PAUL FOODBANK     ,                                ,22.04.2013                                               ,                                ,                                ,6 BETHEL STREET                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1HU,7100,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
Ref: 30175600010085,,,13.03.2017                                               ,WOOLPACK 15                     ,                                ,BIRCH STREET                       ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1DF,7800,CL   ,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0,Y
Ref: 30229975563131,PLANET PLAY LTD                 ,                                ,01.04.2005                                               ,                                ,                                ,2 BRADSHAW STREET                  ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1PJ,24750,LX   ,CHILDRENS PLAY CENTRE AND PREMISES                          ,     ,                                                         , ,0,0, 
Ref: 30229993747139,,,01.04.2015                                               ,                                ,                                ,PT 1ST FLR FRONT BRADSHAW CENTRE   ,BRADSHAW STREET                    ,HEYWOOD                         ,                                ,OL10 1PB,5100,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
Ref: 30229993747140,,,01.04.2017                                               ,                                ,                                ,GND & PT 1ST FLR BRADSHAW CENTRE   ,BRADSHAW STREET                    ,HEYWOOD                         ,                                ,OL10 1PB,8600,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
Ref: 30229993747141,,,01.03.2015                                               ,                                ,                                ,UNIT 1 BRADSHAW CENTRE             ,BRADSHAW STREET                    ,HEYWOOD                         ,                                ,OL10 1PB,10750,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 30229993747142,,,01.04.2017                                               ,                                ,                                ,81 MANCHESTER STREET               ,HEYWOOD                            ,                                ,                                ,OL10 1PB,5200,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 30229993747143,,,01.03.2015                                               ,                                ,                                ,UNIT 3 BRADSHAW CENTRE             ,BRADSHAW STREET                    ,HEYWOOD                         ,                                ,OL10 1PB,8400,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 30229995986883,,,01.04.2005                                               ,                                ,                                ,83 MANCHESTER STREET               ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1PB,3900,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 30229999159708,J C DECAUX UK LTD               ,                                ,01.04.2005                                               ,MILLS AND ALLEN BETWEEN         ,                                ,BRADSHAW STREET/WELL STREET        ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1PJ,4200,CA   ,ADVERTISING RIGHT AND PREMISES                              ,     ,                                                         , ,0,0, 
Ref: 30238600010087,THEO BELLO TAKEAWAY LIMITED     ,                                ,04.11.2016                                               ,                                ,                                ,1 BRIDGE STREET                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JB,7300,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30238600020055,,,16.07.2016                                               ,                                ,                                ,3 BRIDGE STREET                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JB,6200,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30238600060048,,,01.04.2005                                               ,                                ,                                ,11 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JB,5700,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30238600080094,,,12.11.2012                                               ,                                ,                                ,17 BRIDGE STREET                   ,HEYWOOD                            ,                                ,                                ,OL10 1JB,6100,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30238600140045,,,01.04.2005                                               ,                                ,                                ,39 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,4800,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30238600210074,JCDECAUX UK LIMITED             ,                                ,01.04.2005                                               ,ADJ 47                          ,                                ,BRIDGE STREET                      ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,1475,CA1  ,ADVERTISING STATION AND PREMISES                            ,     ,                                                         , ,0,0, 
Ref: 30238631868691,,,01.04.2005                                               ,                                ,                                ,35-37 BRIDGE STREET                ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,8900,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30238642320922,,,12.12.2005                                               ,                                ,                                ,13 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JB,7100,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30238647249456,,,01.04.2005                                               ,                                ,                                ,15 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JB,7100,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30238690180033,,,01.10.2015                                               ,                                ,                                ,45 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,5200,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30238692891175,SAVAS & SAVAGE LTD              ,                                ,01.04.2015                                               ,                                ,                                ,CAR PARK ADJACENT TO               ,31 BRIDGE STREET                   ,HEYWOOD                         ,                                ,OL10 1JF,1500,CP   ,Car Park                                                    ,     ,                                                         , ,0,0, 
Ref: 30238692891176,SAVAS & SAVAGE LTD              ,                                ,01.04.2015                                               ,                                ,                                ,31 BRIDGE STREET                   ,HEYWOOD                            ,                                ,                                ,OL10 1JF,13750,CO   ,Offices and Premises                                        ,     ,                                                         , ,0,0, 
Ref: 30238699166840,SOCIAL CARE NETWORK SOLUTIONS   ,LTD                             ,01.04.2016                                               ,                                ,                                ,49 BRIDGE STREET                   ,HEYWOOD                            ,                                ,                                ,OL10 1JF,19000,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
Ref: 30238699171644,,,01.06.2017                                               ,                                ,                                ,41-43 BRIDGE STREET                ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,15500,CL1  ,WINE BAR AND PREMISES                                       ,Y    ,04.08.2017                                               , ,0,0, 
Ref: 30241190280081,,,21.11.2011                                               ,                                ,                                ,52 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,6800,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241400020059,,,13.02.2016                                               ,                                ,                                ,4 BRIDGE STREET                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JB,5300,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241400030027,,,07.01.2015                                               ,                                ,                                ,6 BRIDGE STREET                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JB,6100,CS3  ,HAIRDRESSING SALON AND PREMISES                             ,     ,                                                         , ,0,0,Y
Ref: 30241400050073,HEYWOOD CAR & COMMERCIAL LTD    ,                                ,01.04.2005                                               ,                                ,                                ,14 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JB,5500,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 30241400080098,,,04.06.2016                                               ,                                ,                                ,18 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JB,5400,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241400140049,TRANSIT+ FORWARDING LTD         ,                                ,31.03.2015                                               ,                                ,                                ,28 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JB,4250,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241400150017,,,27.10.2015                                               ,                                ,                                ,30 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,6900,CS   ,SHOP AND PREMISES                                           ,Y    ,27.10.2015                                               , ,0,0, 
Ref: 30241400160095,,,03.05.2012                                               ,                                ,                                ,32 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,5400,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241400180031,,,09.12.2013                                               ,                                ,                                ,34 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,6500,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241400210078,,,01.04.2005                                               ,                                ,                                ,38 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,5800,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241400220046,,,01.04.2005                                               ,                                ,                                ,40 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,3350,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241400230014,,,01.08.2010                                               ,                                ,                                ,42 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,5900,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241400240092,,,27.02.2011                                               ,                                ,                                ,44 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,6300,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241400260039,,,26.07.2010                                               ,                                ,                                ,48 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,4600,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241400290053,,,01.04.2010                                               ,                                ,                                ,54 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,8000,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241400300043,,,01.10.2007                                               ,                                ,                                ,56 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,6200,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241400310011,,,23.02.2013                                               ,                                ,                                ,58 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,4400,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241400316041,,,01.04.2005                                               ,                                ,                                ,60 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,4400,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241400330068,,,01.04.2005                                               ,                                ,                                ,62 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,4050,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241400400097,PEEL GRAPHICS LTD               ,                                ,01.04.2005                                               ,                                ,                                ,104-106 BRIDGE STREET              ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JG,9600,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241400430001,,,01.04.2005                                               ,                                ,                                ,118-120 BRIDGE STREET              ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4QA,7700,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
Ref: 30241400450058,,,01.04.2005                                               ,                                ,                                ,134-136 BRIDGE STREET              ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4QA,2150,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241492928922,HEYWOOD VETERINARY CENTRE LTD   ,                                ,01.07.2013                                               ,HEYWOOD VETERINARY CENTRE       ,                                ,100 BRIDGE STREET                  ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JG,14500,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
Ref: 30241493482030,,,10.08.2009                                               ,                                ,                                ,22-24 BRIDGE STREET                ,HEYWOOD                            ,LANCS                           ,                                ,OL10 1JB,11000,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241494138404,VELADGE LIMITED                 ,                                ,01.12.2009                                               ,                                ,                                ,26 BRIDGE STREET                   ,HEYWOOD                            ,                                ,                                ,OL10 1JB,7500,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241494766380,,,01.04.2005                                               ,UNIT 8                          ,                                ,SHEPHERD STREET                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JF,4500,CG1  ,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0,Y
Ref: 30241497380639,STEAK AN SHAKES LIMITED         ,                                ,04.08.2017                                               ,                                ,                                ,16 BRIDGE STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1JB,4250,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30241499159699,PRIMESIGHT LIMITED              ,                                ,01.09.2009                                               ,BETWEEN                         ,120-138                         ,BRIDGE STREET                      ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4QA,4450,CA1  ,ADVERTISING STATION AND PREMISES                            ,     ,                                                         , ,0,0, 
Ref: 30289100090069,,,23.03.2013                                               ,                                ,                                ,19 BURY STREET                     ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 3HH,4800,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30289100090143,PRIMESIGHT LIMITED              ,                                ,01.09.2009                                               ,GABLE                           ,17-19                           ,BURY STREET                        ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 3HH,1050,CA   ,ADVERTISING RIGHT AND PREMISES                              ,     ,                                                         , ,0,0, 
Ref: 30289100100059,,,17.12.2013                                               ,                                ,                                ,35 BURY STREET                     ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 3HH,3900,CS3  ,HAIRDRESSING SALON AND PREMISES                             ,     ,                                                         , ,0,0,Y
Ref: 30289100110027,,,11.07.2006                                               ,CROWN INN                       ,                                ,37 BURY STREET                     ,HEYWOOD                            ,                                ,                                ,OL10 3HH,11650,CL   ,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0,Y
Ref: 30289100140041,EDWARD JONES (PAINTERS) LTD     ,                                ,01.04.2005                                               ,                                ,                                ,73 BURY STREET                     ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 3HR,700,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
Ref: 30289191026288,,,01.04.2006                                               ,                                ,                                ,71 BURY STREET                     ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 3HR,4100,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30289199190425,TFGM LTD                        ,                                ,01.04.2005                                               ,GMPTE (NE3488) ADJ ROSE         ,                                ,HILL STREET BURY STREET            ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 3HP,600,CA   ,ADSHEL                                                      ,     ,                                                         , ,0,0, 
Ref: 30295400730047,,,15.08.2017                                               ,                                ,                                ,137 BURY NEW ROAD                  ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 3JN,2650,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30295400740015,,,01.04.2005                                               ,                                ,                                ,139 BURY NEW ROAD                  ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 3JX,4550,CS3  ,HAIRDRESSING SALON AND PREMISES                             ,     ,                                                         , ,0,0,Y
Ref: 30295493273007,CROWN OIL LTD                   ,                                ,09.01.2011                                               ,CROWN HOUSE                     ,                                ,HEAP BROW                          ,BURY                               ,LANCS                           ,                                ,BL9 7JR ,110000,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
Ref: 30295493598433,CROWN OIL LTD T/A CROWN GAS &   ,POWER                           ,01.05.2016                                               ,                                ,                                ,2ND FLR CROWN POINT                ,HEAP BROW                          ,BURY                            ,LANCASHIRE                      ,BL9 7JP ,44000,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
Ref: 30295495314175,EURO GARAGES LTD                ,                                ,18.06.2010                                               ,HEAP BRIDGE FILLING STATION     ,                                ,BURY NEW ROAD                      ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4RF,66000,CG   ,PETROL FILLING STATION AND PREMISES                         ,     ,                                                         , ,0,0, 
Ref: 30295496794316,,,01.12.2013                                               ,                                ,                                ,TONY MEGSON                        ,SUMMIT SERVICE STATION             ,BURY NEW ROAD                   ,HEYWOOD                         ,OL10 4RE,10750,CG1  ,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0,Y
Ref: 30295496794317,,,01.12.2013                                               ,                                ,                                ,PAUL ANTHONY VAN SALES             ,SUMMIT SERVICE STATION             ,BURY NEW ROAD                   ,HEYWOOD                         ,OL10 4RE,4450,CX   ,LAND USED FOR CAR SALES                                     ,     ,                                                         , ,0,0,Y
Ref: 30295497964613,CROWN OIL LTD                   ,                                ,01.05.2016                                               ,                                ,                                ,1ST FLR CROWN POINT                ,HEAP BROW                          ,BURY                            ,                                ,BL9 7JP ,45500,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
Ref: 30295498642315,CROWN ENERGY LTD                ,                                ,01.05.2016                                               ,                                ,                                ,GND FLR CROWN POINT                ,HEAP BROW                          ,BURY                            ,                                ,BL9 7JP ,44000,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
Ref: 30295498666864,EURO GARAGES LTD                ,                                ,18.06.2010                                               ,ATM AT HEAP BRIDGE FILLING      ,STATION                         ,BURY NEW ROAD                      ,HEYWOOD                            ,LANCS                           ,                                ,OL10 4RF,8300,CX   ,AUTOMATIC TELLER MACHINE AND PREMISES                       ,     ,                                                         , ,0,0, 
Ref: 30295499170071,CROWN OIL LTD                   ,                                ,01.04.2005                                               ,CROWN OIL LTD                   ,                                ,BURY NEW ROAD                      ,HEYWOOD                            ,LANCASHIRE                      ,                                ,BL9 7HY ,30500,IX   ,STORAGE DEPOT AND PREMISES                                  ,     ,                                                         , ,0,0, 
Ref: 30298900190002,BRIAN HILL MOTORS LTD           ,                                ,01.04.2005                                               ,                                ,                                ,68 BURY NEW ROAD                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4RF,28750,CG3  ,CAR SHOWROOM AND PREMISES                                   ,     ,                                                         , ,0,0, 
Ref: 30298984832926,FLEETGRACE LTD T/A EMM BEE      ,CARAVANS                        ,01.04.2005                                               ,EMM BEE CARAVANS                ,                                ,BURY NEW ROAD HEAP BRIDGE          ,BURY                               ,LANCASHIRE                      ,                                ,BL9 7HX ,44750,CX   ,LAND USED FOR CARAVAN SALES                                 ,     ,                                                         , ,0,0, 
Ref: 30298990340028,,,01.04.2010                                               ,                                ,                                ,96 BURY NEW ROAD                   ,HEYWOOD                            ,                                ,                                ,OL10 4RF,10750,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30298990450039,LIRBAI MAA COSTCUTTER LTD T/A   ,COSTCUTTER                      ,03.12.2014                                               ,                                ,                                ,ATM SITE AT                        ,96 BURY NEW ROAD                   ,HEYWOOD                         ,                                ,OL10 4RF,3750,CX   ,SITE OF ATM                                                 ,     ,                                                         , ,0,0, 
Ref: 30298991855275,INTERNET PHARMACY LTD           ,                                ,16.08.2005                                               ,                                ,                                ,118 & 120 BURY NEW ROAD            ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4RG,25750,CS   ,PHARMACY AND PREMISES                                       ,     ,                                                         , ,0,0, 
Ref: 30298996917069,HEADY HILL SURGERY              ,                                ,01.04.2014                                               ,                                ,                                ,114/116 BURY NEW ROAD              ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4RG,13750,MH   ,SURGERY AND PREMISES                                        ,     ,                                                         , ,0,0,Y
Ref: 30298997935681,SUSANBROWN LIMITED              ,                                ,24.03.2016                                               ,                                ,                                ,SUMMIT HOTEL                       ,152 BURY NEW ROAD                  ,HEYWOOD                         ,                                ,OL10 4RG,11450,CL   ,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
Ref: 30298998198745,ROCHDALE MBC                    ,                                ,01.04.2010                                               ,                                ,                                ,BOWLING GREEN                      ,SUMMIT STREET                      ,HEYWOOD                         ,                                ,OL10 4RH,860,LX   ,BOWLING GREEN AND PREMISES                                  ,     ,                                                         , ,0,0, 
Ref: 30309501310087,,,01.04.2005                                               ,WAGGON AT BIRTLE                ,                                ,131 BURY AND ROCHDALE OLD ROAD     ,HEYWOOD                            ,LANCASHIRE                      ,                                ,BL9 6UE ,11750,CL   ,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0,Y
Ref: 30310700250064,,,01.04.2005                                               ,BLUE BELL GARAGE                ,205-207                         ,BURY AND ROCHDALE OLD ROAD         ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4BQ,9400,CG2  ,GARAGE AND PREMISES                                         ,     ,                                                         , ,0,0,Y
Ref: 30310700440083,FRENCH CONNECTION (NORDEN) LTD  ,                                ,21.11.2014                                               ,BIRD I'TH'HAND                  ,                                ,239 BURY AND ROCHDALE OLD ROAD     ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4BQ,49250,CR   ,RESTAURANT AND PREMISES                                     ,     ,                                                         , ,0,0, 
Ref: 30312399144688,,,01.04.2005                                               ,                                ,                                ,22 BURY AND ROCHDALE OLD ROAD      ,HEYWOOD                            ,LANCASHIRE                      ,                                ,BL9 7TZ ,11750,EN1  ,DAY NURSERY AND PREMISES                                    ,     ,                                                         , ,0,0,Y
Ref: 30313100160097,ST MICHAELS C OF E PRIMARY      ,                                ,01.04.2005                                               ,ST MICHAEL'S C OF E PRIMARY     ,SCHOOL                          ,BURY AND ROCHDALE OLD ROAD         ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4BB,25500,EL   ,SCHOOL AND PREMISES                                         ,     ,                                                         ,Y,0,80, 
Ref: 30316600150017,,,16.08.2016                                               ,H3039 1342                      ,                                ,15 BUTTERMERE AVENUE               ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2BH,2400,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30316600210078,,,19.01.2016                                               ,H3039 1342                      ,                                ,21 BUTTERMERE AVENUE               ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2BH,2400,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30316692487391,,,01.11.2014                                               ,H0020 1341                      ,                                ,19 BUTTERMERE AVENUE               ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2BH,2400,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30316699584260,,,01.12.2017                                               ,                                ,                                ,17 BUTTERMERE AVENUE               ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2BH,2400,CS3  ,HAIRDRESSING SALON AND PREMISES                             ,     ,                                                         , ,0,0,Y
Ref: 30358495137659,IBEX MARINA ROPES LTD           ,                                ,01.04.2008                                               ,MARINA ROPES LTD                ,                                ,BRUNSWICK STREET                   ,HEYWOOD                            ,LANCS                           ,                                ,OL10 1HA,56000,IF   ,FACTORY AND PREMISES                                        ,     ,                                                         , ,0,0, 
Ref: 30397800020053,,,01.04.2014                                               ,ADJ 6                           ,                                ,CHARLES STREET                     ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2HR,1725,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30421894820002,BIRTLE LEISURE LTD T/A THE      ,CHURCH INN                      ,03.10.2009                                               ,CHURCH INN                      ,                                ,CHURCH ROAD                        ,BIRTLE                             ,BURY                            ,LANCS                           ,BL9 6UZ ,68700,CL   ,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
Ref: 30424200030029,,,26.09.2017                                               ,                                ,                                ,61 CHURCH STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1LJ,6300,CR   ,RESTAURANT AND PREMISES                                     ,     ,                                                         , ,0,0,Y
Ref: 30424290010088,,,15.09.2012                                               ,                                ,                                ,THE WILLOWS 3                      ,LANCE CORPORAL STEPHEN SHAW MC WAY ,                                ,                                ,OL10 1LW,13200,CL   ,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0,Y
Ref: 30424295573156,HUTCHISON 3G UK LTD             ,                                ,01.04.2017                                               ,HUTCHISON 3G SITE REF           ,                                ,OL0043 ON ROOF OF BT CHURCH STREET ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1LW,12000,MT1  ,COMMUNICATION STATION AND PREMISES                          ,Y    ,01.04.2017                                               , ,0,0, 
Ref: 30427700030027,,,01.04.2005                                               ,                                ,                                ,66 CHURCH STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1LJ,6100,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 30427795994533,,,01.12.2011                                               ,                                ,                                ,72 CHURCH STREET                   ,HEYWOOD                            ,                                ,                                ,OL10 1LJ,4400,CS3  ,BEAUTY SALON AND PREMS                                      ,     ,                                                         , ,0,0,Y
