PROPREF,PROPERTY_DESCRIPTION,PROPERTY_ADDRESS,RATEPAYER,RV,LIABILITY_START,RELIEF_AS_AT_TODAY
65264150,Vehicle Repair Workshop And Premises,"150 Hanson Lane, Halifax, HX1 5PQ",,5700,02/03/1996,SBR
65264226,Shop and Premises,"226 Hanson Lane, Halifax, HX1 4QU",,2200,17/06/2013,SBR
65264228,Shop and Premises,"228 Hanson Lane, Halifax, HX1 4QW",,2950,21/10/2012,SBR
65264700,Warehouse And Premises,"Hanson Lane, Halifax, HX1 5PG",B.T Plc,11500,01/04/1995,SBR
65264701,Factory and Premises,"Aquarius Building, 190 Hanson Lane, Halifax, HX1 4SD",M.K Consultants [U.K] Ltd,89500,12/06/2012,
65264708,Garage And Premises,"Unit 4 Windsor Business Park, Hanson Lane, Halifax, HX1 4SD",,3950,01/05/2013,SBR
65264709,Workshop And Premises,"Ryburn Mills, Hanson Lane, Halifax, HX1 4SD",Ryburne Estates Ltd,27250,02/04/2003,
65264710,Store And Premises,"Ryburn Mills, Ryburn Terrace, Hanson Lane, Halifax             HX1 4SD",,1550,05/06/2004,SBR
65264711,School and Premises,"St Augustines Ce J&I School, Hanson Lane, Halifax, HX1 5PG",St Augustine's Ce (Va) Junior & Infant School,19750,01/04/2001,MCR
65264713,Shop and Premises,"55 Hanson Lane, Halifax, HX1 5NX",Heating Spares Halifax Ltd,2500,05/01/2015,SBR
65264720,Shop and Premises,"43 Hanson Lane, Halifax, HX1 5NX",,1275,17/09/2005,EX
65264721,Youth Centre And Premises,"36 Hanson Lane, Halifax, HX1 5NX",,15250,01/03/1994,MCR
65264722,Workshop And Premises,"Unit 2, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",,3400,01/12/2012,SBR
65264723,Workshop And Premises,"Units 3 & 10, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",Halifax Opportunities Trust,6300,02/11/2011,DCR MCR
65264724,Workshop And Premises,"Unit 7, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",S & P Supplies Ltd,2150,01/09/2005,SBR
65264725,Workshop And Premises,"Unit 8, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",,2075,01/12/2013,SBR
65264726,Workshop And Premises,"Unit 9, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",,3250,01/04/2011,SBR
65264728,Day Nursery and Premises,"Community Enterprise Centre, Hanson Lane, Halifax, HX1 5PG",Halifax Opportunities Trust,7100,19/04/2005,DCR MCR
65264729,Workshop And Premises,"Unit 1, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",Halifax Opportunities Trust,2000,01/04/2015,EX
65264731,Workshop And Premises,"Unit 6, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",,2000,23/06/2014,SBR
65264733,Workshop And Premises,"Unit 11, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",Mishri Foods Ltd,3400,18/01/2016,SBR
65264734,Workshop And Premises,"Unit 12, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",Scoffers (Yorkshire) Ltd,3450,01/06/2000,SBR
65264735,Workshop And Premises,"Unit 13, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",Halifax Opportunities Trust,1475,12/08/2002,DCR MCR
65264737,Offices and Premises,"Community Enterprise Centre, Hanson Lane, Halifax, HX1 5PG",Halifax Opportunities Trust,3700,31/03/2002,DCR MCR
65264740,Workshop And Premises,"Workspace Unit 17, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",Halifax Opportunities Trust,5600,02/06/2012,DCR MCR
65264741,Workshop And Premises,"Workspace Unit 19, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",The Hive [Halifax] Ltd,3200,01/04/2013,DCR MCR
65264742,Workshop And Premises,"Workspace Unit 20, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",Jack Threapleton Ltd,3200,20/02/2005,SBR
65264745,Workshop And Premises,"Workspace Unit 16, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",,5700,01/12/2014,SBR
65264746,Workshop And Premises,"Unit 18, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",The Hive [Halifax] Ltd,5900,01/11/2013,DCR MCR
65264755,Shop and Premises,"53 Hanson Lane, Halifax, HX1 5NX",,2475,15/12/2012,SBR
65264757,Shop and Premises,"59 Hanson Lane, Halifax, HX1 5NX",,2075,15/12/2012,EX
65264760,Workshop And Premises,"Unit 4, The Market Business Centre, Hanson Lane, Halifax              HX1 5PF",,11000,30/10/2014,SBR
65264761,Store And Premises,"Unit G6, The Market Business Centre, Hanson Lane, Halifax              HX1 5PF",,5100,08/01/2010,SBR
65264762,Shop and Premises,"31 Hanson Lane, Halifax, HX1 5NX",,1450,20/11/2002,SBR
65264764,Communication Station and Premises,"Telecommunications Mast, Site Ref Wyo 081A, Hanson Lane, Halifax              HX1 4SD",Airwave Solutions Ltd,8400,01/06/2003,SBR
65264765,Workshop And Premises,"Unit 2 Windsor Business Park, Hanson Lane, Halifax, HX1 4SE",Architectural Glass Systems Ltd,10750,14/04/2008,SBR
65264766,Workshop And Premises,"Unit 3 Windsor Business Park, Hanson Lane, Halifax, HX1 4SE",,4200,01/06/2011,SBR
65264767,Warehouse And Premises,"Units 1 & 2, The Market Business Centre, Hanson Lane, Halifax              HX1 5PF",Rsk Fastenings Ltd,13250,13/10/2003,SBR
65264770,Offices and Premises,"Communal Areas, Hansonlane Enterprise Centre, Hanson Lane, Halifax              HX1 5PG",Halifax Opportunities Trust,7800,01/04/2003,DCR MCR
65264772,Warehouse And Premises,"Unit 3, The Market Business Centre, Hanson Lane, Halifax              HX1 5PF",Specialist Glazing Services Ltd,7700,03/04/2015,SBR
65264774,Community Centre And Premises,"St Augustines Vicarage, Hanson Lane, Halifax, HX1 5PG",St. Augustine's Support Centre,3400,01/04/2005,DCR MCR
65264775,Offices and Premises,"Hansonlane Enterprise Centre, Hanson Lane, Halifax, HX1 5PG",The Calderdale Parent And Carer's Council,20250,03/08/2011,MCR
65264776,Vehicle Repair Workshop And Premises,"Unit 7, The Market Business Centre, Hanson Lane, Halifax              HX1 5PF",,8700,01/09/2007,SBR
65264777,Workshop And Premises,"Unit 5, Hansonlane Enterprise Centre, Hanson Lane, Halifax              HX1 5PG",Halifax Opportunities Trust,3500,01/12/2011,DCR MCR
65264778,Workshop And Premises,"Unit 4, Hansonlane Enterprise Centre, Hanson Lane, Halifax              HX1 5PG",The Halifax Renewable Energy Co Ltd,3850,01/12/2013,SBR
65264782,Warehouse And Premises,"Unit 14, Hansonlane Enterprise Centre, Halifax, HX1 5PG",,5600,01/04/2011,SBR
65264783,Warehouse And Premises,"Unit 15, Hansonlane Enterprise Centre, Halifax, HX1 5PG",,5800,01/09/2015,SBR
65264784,Advertising Right And Premises,"Adv Rt Bus Shelter 0702 0148, Adj 228 Hanson Lane, Halifax, HX1 4QW",Clear Channel (Uk) Ltd,240,01/04/2010,SBR
65264789,Offices And Premises,"Office 28/29 First Floor, Hansonlane Enterprise Centre, Hanson Lane, Halifax              HX1 5PG",Gns (Halifax) Ltd,2225,01/07/2014,SBR
65264790,Offices And Premises,"Office 27, Hansonlane Enterprise Centre, Hanson Lane, Halifax              HX1 5PG",Gns (Halifax) Ltd,1575,01/04/2016,SBR
65264794,Communication Station And Premises,"T Mobile (77765), Ryburne Mill, Hanson Lane, Halifax              HX1 4SD",Mobile Broadband Network Ltd,8400,27/07/2010,SBR
65264796,Superstore And Premises,"Asda, Hanson Lane, Halifax, HX1 4PG",Asda Stores Ltd,1900000,01/04/2010,
65264799,Site Of Atm And Premises,"Atm Site (Barclays) At Asda, Hanson Lane, Halifax, HX1 4PG",Asda Stores Ltd,24750,01/05/2012,
65264802,Offices And Premises,"Halifax Opportunities Trust, Hansonlane Enterprise Centre, Hanson Lane, Halifax              HX1 5PG",Halifax Opportunities Trust,17000,01/06/2013,DCR MCR
65264807,Warehouse And Premises,"Unit 1, 148/150 Hanson Lane, Halifax, HX1 5PQ",,4300,01/03/2014,SBR
65264808,Warehouse And Premises,"Unit 2, 148/150 Hanson Lane, Halifax, HX1 5PQ",,5700,01/03/2014,SBR
65264810,Shop and Premises,"129 Hanson Lane, Halifax, HX1 4SD",,1525,06/02/2016,SBR
65264811,Workshop And Premises,"Unit 3, 148/150 Hanson Lane, Halifax, HX1 5PQ",,9600,01/08/2015,SBR
65264812,Workshop And Premises,"Unit 4, 148/150 Hanson Lane, Halifax, HX1 5PQ",,8300,01/08/2015,SBR
65264813,Warehouse And Premises,"Unit 5 First Floor, 148/150 Hanson Lane, Halifax, HX1 5PQ",,6200,01/08/2015,SBR
65264814,Offices And Premises,"Offices 19-23, Hanson Lane Ent Centre, Hanson Lane, Halifax              HX1 5PG",Select 4 Ltd,8600,01/08/2015,SBR
65268048,Workshop And Premises,"48 Hare Street, Halifax, HX1 4DJ",Risuda Fabrications Ltd,7700,01/04/1990,SBR
65268700,Warehouse And Premises,"Hare Street, Halifax, HX1 4DJ",Pennine Engineering Services Ltd,78500,17/09/2005,
65268721,Workshop And Premises,"29A Hare Street, Halifax, HX1 4DJ",,3100,01/04/2008,SBR
65276004,Offices And Premises,"4 Harrison Road, Halifax, HX1 2AG",,7700,05/09/2014,SBR
65276005,Offices and Premises,"5 Harrison Road, Halifax, HX1 2AG",Finn Gledhill [Solicitors],22750,01/04/2003,
65276015,Offices and Premises,"15 Harrison Road, Halifax, HX1 2AF",,9900,29/11/2014,EX
65276017,Offices and Premises,"17 Harrison Road, Halifax, HX1 2AF",Covea Insurance Plc,38250,26/10/1992,
65276025,Offices and Premises,"25 Harrison Road, Halifax, HX1 2AF",,14750,18/08/2014,SBR
65276027,Offices And Premises,"27 Harrison Road, Halifax, HX1 2AF",,16000,14/02/2013,SBR
65276033,Offices and Premises (Empty),"33 Harrison Road, Halifax, HX1 2AF",Accountancy Extra Ltd,8100,01/04/2012,SBR
65276037,Offices and Premises,"37 Harrison Road, Halifax, HX1 2AF",,16000,01/04/1990,DCR MCR
65276700,Workshop And Premises,"Carlton Street, Halifax, HX1 2AF",Calderdale Mbc Land & Property Services,2950,01/09/2005,EX
65276701,Law Court And Premises,"Halifax Magistrates Court, Harrison Road, Halifax, HX1 2AF",H M Courts Service,130000,01/04/2005,
65276703,Offices and Premises,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",,5300,07/04/2014,EX
65276704,Offices and Premises,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",,3950,07/04/2014,EX
65276705,Offices and Premises,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",,1375,07/04/2014,EX
65276706,Offices and Premises,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",,1150,09/04/2014,EX
65276707,Office,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",,540,07/04/2014,EX
65276708,Offices and Premises,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",,10000,07/04/2014,EX
65276709,Lecture Hall,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",,4550,07/04/2014,EX
65276710,Public House and Premises,"Unofficial Address, Harrison Social, 11 Harrison Road, Halifax              HX1 2AF",Mls Venues Ltd,50000,10/08/2015,
65276711,Offices and Premises,"1/3 Harrison Road, Halifax, HX1 2AG",,25500,01/04/1990,
65276712,Shop and Premises,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",,3800,07/04/2014,EX
65276713,Offices and Premises,"29 Harrison Road, Halifax, HX1 2AF",The Samaritans Of Halifax & Calderdale,10250,17/06/2013,MCR
65276714,Offices and Premises,"6/8 Harrison Road, Halifax, HX1 2AF",Ramsdens Solicitors Llp,34250,05/03/2007,
65276717,Offices and Premises,"35 Harrison Road, Halifax, HX1 2AF",Tracsis Traffic Data Ltd,11500,01/01/2008,SBR
65276722,Offices And Premises,"9A Harrison Road, Halifax, HX1 2AF",Keith Cannon & Co Ltd,2325,01/04/2010,SBR
65276723,Offices And Premises,"9 Harrison Road, Halifax, HX1 2AF",Due West Limited,18500,01/04/2010,
65276724,Offices And Premises,"2 Harrison Road, Halifax, HX1 2AG",Finn Gledhill & Co,23500,05/09/2014,EX
65284062,Store &  Premises,"62 Haugh Shaw Road, Halifax, HX1 3LE",,2500,22/04/2006,EX
65284151,Library And Premises,"King Cross Library, 151 Haugh Shaw Road, Halifax, HX1 3BG",Director Of Leisure Services,67500,23/08/2010,
65284152,Shop and Premises,"152 Haugh Shaw Road, Halifax, HX1 3BG",,4500,21/09/2009,SBR
65284701,Warehouse And Premises,"Trafalgar Works, 49 Haugh Shaw Road, Halifax, HX1 3AR",,8400,01/04/2009,SBR
65284702,Public House (And Premises),"The Oddfellows Arms, 158 Haugh Shaw Road, Halifax, HX1 3BG",,8600,16/06/2014,SBR
65284709,Superstore And Premises,"Tesco, Haugh Shaw Road, Halifax, HX1 3TU",Tesco Stores Ltd,1230000,15/09/1997,
65284712,Hand Car Wash And Premises,"New Car Wash At Tescos, Haugh Shaw Road, Halifax, HX1 3LF",,10000,01/10/2011,SBR
65284713,Site Of Atm And Premises,"Atm Site At Tesco, Haugh Shaw Road, Halifax, HX1 3TU",Tesco Personal Finance Ltd,16500,01/04/2010,SBR
65288703,Offices and Premises,"Lwr Grd Flr & Grd Flr, Colonnade Hse, H B Bsn Pk, Hays Lane, Halifax              HX2 8UL",Colonnade Insurance Brokers Ltd,66500,01/04/2005,
65288704,Restaurant and Premises,"Restaurant 1ST Floor, Colonnade Hse, H B Bsn Pk, Hays Lane, Halifax              HX2 8UL",Swinton Group Ltd,13750,22/08/2009,SBR
65288705,Offices and Premises,"Moorside House, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",Colonnade Insurance Brokers Ltd,26500,01/04/2005,
65288706,Offices and Premises,"Lakeside House, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",Swinton Group Ltd,24000,31/05/2010,ER
65288707,Offices and Premises,"Fellside House, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",Swinton Colonnade,22750,30/08/2010,ER
65288708,Offices and Premises,"Fieldhead House, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",Swinton Group Ltd,30500,31/08/2015,ER
65288709,Car Park and Premises,"Car Park, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",Colonnade Insurance Brokers Ltd,13000,01/04/2005,SBR
65288710,Store And Premises,"Store Near Fellside House, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",Colonnade Insurance Brokers Ltd,1475,01/04/2005,SBR
65288711,Garage And Premises,"Garage & Gen Nr Colonnade Hs, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",Colonnade Insurance Brokers Ltd,1300,01/04/2005,SBR
65296700,Public House and Premises,"New Inn, Heath Hill Road, Halifax, HX2 0UT",New Inn (Mount Tabor) Limited,6700,06/01/2014,SBR
65300015,Surgery And Premises,"15 Heath Mount, Free School Lane, Halifax, HX1 2YR",,8600,15/01/2000,SBR
65304003,Shop and Premises,"3 Heathy Lane, Holmfield, Halifax, HX2 9UN",,1325,01/07/2001,SBR
65316701,Communication Station and Premises,"Higgin Lane, Southowram, Halifax, HX3 9PQ",Arqiva Ltd,24250,01/04/1990,
65320700,Sports Ground And Premises,"High Lee Green, Luddendenfoot, Halifax, HX2 6LD",,2325,01/04/1990,SBR
65324019,Shop and Premises,"19 High Street, Halifax, HX1 2ST",,3900,19/09/2013,SBR
65324700,Car Park,"Car Park, High Street, Halifax, HX1 2ST",Calderdale Mbc,52500,01/04/1990,
65328704,Public House and Premises,"Lord Nelson Inn, 15 High Street, Luddenden, Halifax             HX2 6PX",,8800,27/11/2003,DVR
65336029,Hairdressing Salon and Premises,"29 Highroad Well Lane, Halifax, HX2 0LY",Revive Hair Design Ltd,2500,01/04/2014,SBR
65336031,Surgery And Premises,"31 Highroad Well Lane, Halifax, HX2 0LY",Walrus Dental Care Ltd,14000,01/10/2009,SBR
65336701,Shop and Premises,"Pellon Stores, Weatherhouse, Highroad Well Lane, Halifax              HX2 0QF",Martin Mc Coll Ltd,14500,24/06/2008,SBR
65344501,Store &  Premises,"Unit Hm 1.04, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SW",Kino & Co,1125,01/09/2015,EX
65344502,Offices And Premises,"Office Hm 3.11-3.15, Holmfield Mills, Holdsworth Road, Holmfield",Together Housing Group,43250,01/04/2012,
65344506,Offices And Premises,"Office Hm 2.14-2.16, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",Aspire Developments Ltd,6200,01/01/2015,SBR
65344507,Warehouse And Premises,"Unit 19 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SW",Bushido Juitsu Halifax,4550,01/09/2014,SBR
65344508,Offices And Premises,"Unit 19A Holmfield Mills, Holdsworth Road, Halifax, HX3 6SW",,4800,01/09/2014,SBR
65344510,Offices And Premises,"12D Holdsworth Road, Holmfield, Halifax, HX3 6SN",Kino & Co,1725,01/06/2015,EX
65344513,Land Used For Storage And Premises,"Thornton Breakers Scrapyard, Holdsworth Road, Halifax, HX3 6SN",,12750,21/08/2015,SBR
65344514,Vehicle Repair Workshop And Premises,"Holmfield Auto Spares Ltd, Holdsworth Road, Halifax, HX3 6SN",,7200,21/08/2015,SBR
65344515,Store And Premises,"Unit 5C, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",Kino & Co,870,01/01/2016,EX
65344516,Warehouse And Premises,"Unit 5B, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",Kino & Co,4950,01/01/2016,ER
65344517,Offices And Premises,"Unit 12C, Holdsworth Road, Halifax, HX3 6SW",Kai Trades Ltd,1300,01/11/2015,SBR
65344518,Warehouse And Premises,"Unit 12E, Holdsworth Road, Halifax, HX3 6SW",Kino & Co,3600,15/06/2015,ER
65344520,Offices And Premises,"""Unauth Address""  Staywarm, Holmfield Industrial Estate, Holmfield, Halifax              HX2 9TN",Staywarm,1050,01/04/2010,SBR
65344522,Workshop And Premises,"Benchmaster Machine Tool Co, Holmfield Industrial Estate, Holmfield, Halifax              HX2 9TN",Benchmaster Machine Tool Co,5400,01/06/2011,SBR
65344523,Workshop And Premises,"D Midgley & Sons, Holmfield Industrial Estate, Holmfield, Halifax              HX2 9TN",D Midgley & Sons Ltd,7400,01/06/2011,SBR
65344701,School and Premises,"St Catherines, Catholic High School, Holdsworth Road, Holmfield            HX2 9TH",The Forge Entertainment Company Ltd,138000,05/06/2015,
65344702,Hotel And Premises,"Holdsworth House Hotel, Holdsworth Road, Holmfield, Halifax             HX2 9TG",Cavalier Country House Hotel Ltd,127000,01/04/1990,
65344709,Garage And Premises,"Popples Garage, Holdsworth Road, Holmfield, Halifax             HX2 9TH",,8600,01/04/2005,SBR
65344710,Land Used For Storage And Premises,"White House Farm, 44 Holdsworth Road, Holmfield, Halifax             HX2 9SZ",,15250,01/04/1990,SBR
65344712,Warehouse And Premises,"White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",,11750,01/06/2002,SBR
65344720,Workshop And Premises,"Holmfield Industrial Estate, Holdsworth Road, Halifax, HX2 9TH",Bond A Band Transmissions Ltd,56000,13/02/2006,
65344736,Warehouse And Premises,"The Old Boiler House, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",Foxvale Ltd,6100,01/04/2008,SBR
65344737,Warehouse And Premises,"Holmfield Industrial Estate, Holdsworth Road, Halifax, HX2 9TN",Retail Services (Merchandising) Ltd,75500,26/05/2011,
65344745,Office and Premises,"Office 3.7 First Floor, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN",Kino & Co,2050,01/04/2015,EX
65344746,Office,"Office 3.8, 1ST Floor, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN",Kino & Co,630,01/04/2015,EX
65344747,Factory and Premises,"The Focus Centre, Holdsworth Road, Holmfield, Halifax              HX3 6SN",Alliance Office Systems Ltd,60000,01/11/2004,
65344749,Workshop And Premises,"Unit 1F South Mill, Holdsworth Road, Halifax, HX3 6SN",,2100,01/04/2016,EX
65344753,Workshop And Premises,"Unit 6A White Rose Mill, Holdsworth Road, Halifax, HX3 6SN",P.D.S Plastics Ltd,5100,01/10/2007,SBR
65344754,Workshop And Premises,"Office 3.6 & 3.9, 1ST Floor, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",Monthly Media Limited,2450,01/02/2014,SBR
65344758,Warehouse And Premises,"Unit 6, Grd Floor, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",Side Curtain Services Ltd,4600,01/06/2009,SBR
65344762,Workshop And Premises,"Unit SM1 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",,2100,01/04/2003,SBR
65344763,Factory and Premises,"Sidhil Business Park, Holmfield Industrial Estate, Holdsworth Road, Halifax              HX2 9TN",Advanced Supply Chain (Hf) Ltd,262500,10/02/2016,
65344764,Factory and Premises,"Sidhil Business Park, Holmfield Industrial Park, Holdsworth Road, Halifax              HX2 9TN",Siddall & Hilton Ltd,315000,01/08/2002,
65344766,Store And Premises,"Unit 9 White Rose Mill, Holdsworth Road, Halifax, HX3 6SN",Kino & Co,2500,01/12/2014,EX
65344767,Workshop And Premises,"Unit 8B White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",,1125,01/01/2012,SBR
65344768,Workshop And Premises,"Unit 10 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",,1975,01/09/2014,SBR
65344769,Store And Premises,"Unit 11 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",,690,01/10/2011,SBR
65344770,Workshop And Premises,"Unit 13 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",,1475,16/04/2015,SBR
65344771,Warehouse And Premises,"Unit SM4 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",Gateway 2 Finance Ltd,1650,01/09/2012,SBR
65344776,Warehouse And Premises,"Holmefield Estate, Holdsworth Road, Halifax, HX2 9TN",Metalco Ltd,38250,01/04/2005,
65344778,Warehouse And Premises,"Unit 7B White Rose Mill, Holdsworth Road, Halifax, HX3 6SN",P. D. S Plastics Warehousing Ltd,3450,28/02/2011,SBR
65344780,Factory and Premises,"Holmfield Industrial Estate, Holdsworth Road, Holmfield, Halifax              HX2 9TN",Colourco Ltd,39750,01/04/2005,
65344781,Communication Station and Premises,"Telecommunications Mast, Site Ref 32153 White Rose, Holdsworth Road, Halifax              HX3 6SN",Vodafone Ltd,8400,01/04/2005,SBR
65344784,Workshop And Premises,"Unit HM23 Holmfield Mills, Business Park, Holdsworth Road, Halifax              HX3 6SN",,1650,15/09/2005,SBR
65344789,Workshop And Premises,"Unit HM1 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",Calder Scaffolding Ltd,7100,15/09/2005,SBR
65344790,Workshop And Premises,"Unit HM2 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,5900,01/04/2015,SBR
65344791,Workshop And Premises,"Unit HM3 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",Green Sky Distribution Ltd,6900,01/08/2014,SBR
65344792,Workshop And Premises,"Unit HM4 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,4100,01/01/2016,SBR
65344793,Workshop And Premises,"Unit HM5 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,3000,02/01/2013,SBR
65344794,Workshop And Premises,"Unit HM6 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,3000,01/04/2011,SBR
65344795,Workshop And Premises,"Unit HM7 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,3000,14/07/2011,SBR
65344796,Workshop And Premises,"Unit HM8 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",4 X 4 Overlander Ltd,3000,01/11/2006,SBR
65344797,Workshop And Premises,"Unit HM9 Holmfield Mills, Holdsworth Road, Holmfield, Halifax              HX3 6SN",,1650,23/06/2006,SBR
65344798,Workshop And Premises,"Unit HM10 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",S & J Bentley & Sons Ltd,1650,01/03/2014,SBR
65344799,Workshop And Premises,"Unit HM11 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",C & R Maintenance Services Ltd,1650,16/11/2008,SBR
65344800,Workshop And Premises,"Unit HM12 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",A V Interiors Ltd,1650,01/04/2011,SBR
65344801,Workshop And Premises,"Unit HM13 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SF",Dalmec Ltd,1650,14/07/2011,SBR
65344802,Workshop And Premises,"Unit HM14 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",Yorkshire Photonic Technology Ltd,2900,01/03/2009,SBR
65344803,Workshop And Premises,"Unit HM15 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",B & B Properties Ltd,2700,01/04/2014,SBR
65344804,Workshop And Premises,"Unit HM16 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,2700,01/07/2009,SBR
65344805,Workshop And Premises,"Unit HM17 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,2700,01/12/2007,SBR
65344806,Store And Premises,"Unit HM18 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,5000,01/04/2011,SBR
65344812,Workshop And Premises,"Unit HM26 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,3000,01/10/2014,SBR
65344816,Workshop And Premises,"Unit HM30 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,3400,01/05/2016,SBR
65344818,Offices and Premises,"Office 3.1, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",A V Interiors Ltd,3000,11/04/2011,SBR
65344821,Workshop And Premises,"12A Holdsworth Road (Front), Holmfield, Halifax, HX3 6SN",K. B. Industries Uk Ltd,4600,01/02/2015,SBR
65344822,Workshop And Premises,"12B Holdsworth Road (Back), Holmfield, Halifax, HX3 6SN",,3750,01/10/2015,SBR
65344824,Store,"Unit 8A White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",Saturn Services (Uk) Ltd,870,01/07/2013,SBR
65344825,Store And Premises,"Unit 8 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",Arcadia Fabrication Limited,1750,29/07/2015,SBR
65344829,Store And Premises,"Unit 1E Lwr Grd Flr Sth Mill, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN",Kino & Co,830,01/01/2016,EX
65344837,Office,"Office H M 3.4, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",Ifreight Ltd,1975,01/10/2013,SBR
65344838,Office,"Office H M 3.5, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",Fairmont Polymers (Uk) Ltd,3350,02/09/2012,SBR
65344854,Offices and Premises,"Office H M 3.0, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",Kino & Co,1050,01/01/2015,EX
65344855,Offices and Premises,"Office H M 3.2, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",C & R Maintenance Services Ltd,3950,01/05/2007,SBR
65344856,Offices and Premises,"Office H M 3.3, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",Gacs Europe Ltd,1325,01/01/2015,SBR
65344858,Offices and Premises,"Office, Old Boardroom, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",Oddy Ltd,3500,01/03/2007,SBR
65344864,Workshop And Premises,"Unit H M 24 Holmfield Mills, Holdsworth Road, Holmfield, Halifax              HX3 6SN",,1075,01/11/2012,SBR
