Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N),
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,285.45,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,34.25,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,49.39,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,52.12,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,99.29,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,127.21,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,159.95,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,169.45,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,169.64,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,202.65,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,141.89,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,155.41,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,170.59,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,176.69,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,240.80,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,136.28,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,171.50,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,183.55,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,193.49,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,197.41,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,44.19,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,81.49,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,45.57,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,65.28,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,83.68,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,109.89,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,141.48,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,11.90,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,26.83,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,43.46,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,48.66,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,61.87,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,63.20,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,64.30,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,68.53,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,72.68,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,94.24,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,109.92,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,124.58,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,135.96,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,143.57,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,148.83,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,167.05,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,45.50,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,81.89,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,84.96,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,88.38,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,97.25,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,116.98,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,124.44,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,130.28,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,132.60,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,132.87,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,12.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,60.38,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,60.73,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,90.71,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,97.09,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,126.51,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,129.74,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,129.98,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,147.52,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,164.24,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,83.59,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,100.97,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,110.30,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,61.49,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,62.34,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,62.50,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,49.05,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,41.49,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,43.16,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,43.82,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,72.59,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,46.01,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,30.40,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,38.34,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,56.08,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,57.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,60.16,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,60.21,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,20.73,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,25.46,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,40.35,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,41.19,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,54.84,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,37.04,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,38.57,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,44.09,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,36.35,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,43.53,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,47.65,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,50.26,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,62.64,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,46.92,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,50.69,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,65.15,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,66.94,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,54.15,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,57.82,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,90.31,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,94.70,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,97.53,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,42.94,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,28.21,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,33.96,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,37.53,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,40.86,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,50.84,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,42.44,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,49.08,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,47.97,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,33.84,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,37.42,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,66.48,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,67.80,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,67.94,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,51.66,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,52.28,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,52.63,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,57.14,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,44.42,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,46.74,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,50.22,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,52.82,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,55.20,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,49.80,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,51.13,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,53.14,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,51.71,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,52.72,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,57.65,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,51.13,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,32.66,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,47.02,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,17.89,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,25.21,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,33.47,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,39.75,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,46.20,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,48.69,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,84.67,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,65.53,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,67.64,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,72.12,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,G B SIGNS SOLUTIONS LIMITED,A0001202, 10/08/2017,HED0282155,73.10,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,G B SIGNS SOLUTIONS LIMITED,A0001202, 10/08/2017,HED0282155,59.50,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,G B SIGNS SOLUTIONS LIMITED,A0001202, 10/08/2017,HED0282155,22.20,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,G B SIGNS SOLUTIONS LIMITED,A0001202, 10/08/2017,HED0282155,18.70,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Support Services,Bank Charges,7201,G4S CASH SOLUTIONS (UK) LIMITED,A0002616, 17/08/2017,AAS0282267,188.21,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Seminars etc All Costs,4601,REDACTED - PERSONAL DATA,A0002785, 24/08/2017,DAL0282339,7.50,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Seminars etc All Costs,4601,REDACTED - PERSONAL DATA,A0002785, 24/08/2017,DAL0282339,35.66,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,GEORGE BOOCOCK DECORATORS LTD,A0000427, 31/08/2017,EST0282548,639.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,GIBSONS GARDEN MACHINERY LTD,A0001201, 10/08/2017,PCO0282047,119.85,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,GIBSONS GARDEN MACHINERY LTD,A0001201, 10/08/2017,PCO0282034,43.20,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,GIBSONS GARDEN MACHINERY LTD,A0001201, 03/08/2017,PCO0281945,52.19,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,4401,GLOBAL PAYMENTS,A0072461, 16/08/2017,AAS0282596,7.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,4401,GLOBAL PAYMENTS,A0072461, 16/08/2017,AAS0282596,1278.43,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Credit card and online charges,4421,GLOBAL PAYMENTS,A0072461, 16/08/2017,AAS0282597,7.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Credit card and online charges,4421,GLOBAL PAYMENTS,A0072461, 16/08/2017,AAS0282598,7.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Credit card and online charges,4421,GLOBAL PAYMENTS,A0072461, 16/08/2017,AAS0282598,1262.89,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Credit card and online charges,4421,GLOBAL PAYMENTS,A0072461, 16/08/2017,AAS0282597,1578.22,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,3105,GO PLANT LIMITED,A0045105, 24/08/2017,OPS0282419,116.54,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,3105,GO PLANT LIMITED,A0045105, 24/08/2017,OPS0282416,117.24,N,N/A,N,N/A,
