ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (�),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,16/12/2016,1711.8,DIRECT PAYMENTS,V001075637
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,16/12/2016,747.6,INDIVIDUAL SERVICE FUND,V001075639
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,16/12/2016,747.6,INDIVIDUAL SERVICE FUND,V001075640
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,16/12/2016,1589.53,DIRECT PAYMENTS,V001075641
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,16/12/2016,1711.8,DIRECT PAYMENTS,V001075642
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,16/12/2016,1711.8,DIRECT PAYMENTS,V001075643
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,16/12/2016,774.68,INDIVIDUAL SERVICE FUND,V001075644
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,CREATIVE SUPPORT LIMITED,16/12/2016,2380,SUPPORTED LIVING,V001075645
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,16/12/2016,686.4,INDIVIDUAL SERVICE FUND,V001075646
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,16/12/2016,686.4,INDIVIDUAL SERVICE FUND,V001075647
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,TORDAN HEALTHCARE,16/12/2016,2553.6,PERSONAL BUDGETS - MANAGED,V001075651
ROCHDALE BOROUGH COUNCIL,16/12/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,16/12/2016,560,INDIVIDUAL SERVICE FUND,V001075654
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,16/12/2016,761.52,INDIVIDUAL SERVICE FUND,V001075657
ROCHDALE BOROUGH COUNCIL,16/12/2016,PHYSICAL DIS & OLDER PEOPLE,FUTURE DIRECTIONS CIC,16/12/2016,3962,INDIVIDUAL SERVICE FUND,V001075659
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,SELECT SUPPORT PARTNERSHIPS,16/12/2016,1313.36,SUPPORTED LIVING,V001075660
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,SELECT SUPPORT PARTNERSHIPS,16/12/2016,1935.48,SUPPORTED LIVING,V001075661
ROCHDALE BOROUGH COUNCIL,16/12/2016,PHYSICAL DIS & OLDER PEOPLE,POSSABILITIES CIC ISF,16/12/2016,680,PERSONAL BUDGETS - MANAGED,V001075663
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,16/12/2016,952.4,INDIVIDUAL SERVICE FUND,V001075664
ROCHDALE BOROUGH COUNCIL,16/12/2016,PHYSICAL DIS & OLDER PEOPLE,SELECT SUPPORT PARTNERSHIPS,16/12/2016,2425.48,SUPPORTED LIVING,V001075665
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,16/12/2016,1711.8,DIRECT PAYMENTS,V001075666
ROCHDALE BOROUGH COUNCIL,16/12/2016,PHYSICAL DIS & OLDER PEOPLE,BELVOIR CARE HOME LIMITED,16/12/2016,859.52,PERSONAL BUDGETS - MANAGED,V001075667
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,16/12/2016,1416.24,INDIVIDUAL SERVICE FUND,V001075673
ROCHDALE BOROUGH COUNCIL,16/12/2016,PHYSICAL DIS & OLDER PEOPLE,NEWBARN LTD,16/12/2016,1110.68,INDIVIDUAL SERVICE FUND,V001075676
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,PROTEA CARE MANCHESTER LTD,16/12/2016,2864.68,SUPPORTED LIVING,V001075677
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,16/12/2016,1288,INDIVIDUAL SERVICE FUND,V001075678
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,16/12/2016,1176,INDIVIDUAL SERVICE FUND,V001075679
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,16/12/2016,552,INDIVIDUAL SERVICE FUND,V001075680
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,16/12/2016,1960,PERSONAL BUDGETS - MANAGED,V001075681
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,SELECT SUPPORT PARTNERSHIPS,16/12/2016,1935.48,SUPPORTED LIVING,V001075683
ROCHDALE BOROUGH COUNCIL,16/12/2016,PHYSICAL DIS & OLDER PEOPLE,POSSABILITIES CIC TRADING,16/12/2016,1711.8,DIRECT PAYMENTS,V001075684
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,16/12/2016,851.04,INDIVIDUAL SERVICE FUND,V001075685
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,16/12/2016,2162,PERSONAL BUDGETS - MANAGED,V001075686
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,16/12/2016,774.68,INDIVIDUAL SERVICE FUND,V001075687
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,16/12/2016,682.4,INDIVIDUAL SERVICE FUND,V001075688
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,SELECT SUPPORT PARTNERSHIPS,16/12/2016,1690.5,PERSONAL BUDGETS - MANAGED,V001075693
ROCHDALE BOROUGH COUNCIL,16/12/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,16/12/2016,746.84,INDIVIDUAL SERVICE FUND,V001075696
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,16/12/2016,560,SUPPORTED LIVING,V001075698
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,16/12/2016,760,PERSONAL BUDGETS - MANAGED,V001075700
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,16/12/2016,760,PERSONAL BUDGETS - MANAGED,V001075701
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,16/12/2016,1148.28,PERSONAL BUDGETS - MANAGED,V001075703
ROCHDALE BOROUGH COUNCIL,23/12/2016,PHYSICAL DIS & OLDER PEOPLE,THE PENNINE ACUTE HOSPITALS NHS TRUST,23/12/2016,3088.31,AGENCY STAFF,V001075718
ROCHDALE BOROUGH COUNCIL,16/12/2016,EARLY HELP AND SCHOOLS,THE AWARDS SCHEME LTD,16/12/2016,1520,ACTIVITIES,V001075721
ROCHDALE BOROUGH COUNCIL,15/12/2016,EARLY HELP AND SCHOOLS,RELATE GREATER MANCHESTER SOUTH,15/12/2016,9995,ACTIVITIES,V001075729
ROCHDALE BOROUGH COUNCIL,22/12/2016,EARLY HELP AND SCHOOLS,PSYCHOLOGY PEOPLE,22/12/2016,1425,BASIC SALARIES,V001075733
ROCHDALE BOROUGH COUNCIL,16/12/2016,EARLY HELP AND SCHOOLS,INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,16/12/2016,1030,NEW CONSTRUCTION,V001075734
ROCHDALE BOROUGH COUNCIL,14/12/2016,CHILDREN�S SOCIAL CARE,QUAYSIDE CHILDCARE LTD,14/12/2016,1276.5,PUBLIC TRANSPORT,V001075735
ROCHDALE BOROUGH COUNCIL,16/12/2016,PUBLIC HEALTH,GORGEMEAD LTD,16/12/2016,554.88,PH LCS PAYMENTS,V001075738
ROCHDALE BOROUGH COUNCIL,15/12/2016,EARLY HELP AND SCHOOLS,INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,15/12/2016,97976.79,NEW CONSTRUCTION,V001075739
ROCHDALE BOROUGH COUNCIL,20/12/2016,PHYSICAL DIS & OLDER PEOPLE,NIJI SERVICES LTD,20/12/2016,520.11,EXPENSES - GENERAL,V001075740
ROCHDALE BOROUGH COUNCIL,16/12/2016,PHYSICAL DIS & OLDER PEOPLE,NIJI SERVICES LTD,16/12/2016,520.11,EXPENSES - GENERAL,V001075741
ROCHDALE BOROUGH COUNCIL,15/12/2016,EARLY HELP AND SCHOOLS,PSYCHOLOGY PEOPLE,15/12/2016,1425,BASIC SALARIES,V001075742
ROCHDALE BOROUGH COUNCIL,14/12/2016,FINANCE SERVICES,JGM AGENCY,14/12/2016,770,REPROGRAPHIC EXPENSES,V001075744
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,COMPASS FOSTERING NORTH LTD,16/12/2016,3342.9,FOSTER PARENTS BASIC ALLOWANCE,V001075759
ROCHDALE BOROUGH COUNCIL,14/12/2016,FINANCE SERVICES,REDACTED-PERSONAL DATA,14/12/2016,528.21,RENT ALLOWS-PRIVATE TENANTS ST,V001075777
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,COMPASS FOSTERING NORTH LTD,16/12/2016,-1782.88,FOSTER PARENTS BASIC ALLOWANCE,V001075785
ROCHDALE BOROUGH COUNCIL,19/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,WHEELDON BROTHERS WASTE LIMITED,19/12/2016,610,EQUIPMENT - GENERAL,V001075803
ROCHDALE BOROUGH COUNCIL,19/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,WHEELDON BROTHERS WASTE LIMITED,19/12/2016,1368.2,EQUIPMENT - GENERAL,V001075803
ROCHDALE BOROUGH COUNCIL,15/12/2016,PUBLIC HEALTH,DECIPHER IMPACT LIMITED,15/12/2016,15000,EQUIPMENT - GENERAL,V001075833
ROCHDALE BOROUGH COUNCIL,16/12/2016,PUBLIC HEALTH,DISCLOSURE & BARRING SERVICE,16/12/2016,2992,CRB CHECKS - LICENSING,V001075837
ROCHDALE BOROUGH COUNCIL,15/12/2016,ECONOMY DIRECTORATE,BOULTING ENVIRONMENTAL SERVICES LTD.,15/12/2016,75000,GRANTS TO THE NON VOLUNTARY SECTOR,V001075843
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,FOSTER CARE ASSOCIATES LIMITED,16/12/2016,2970,FOSTER PARENTS BASIC ALLOWANCE,V001075850
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,FOSTER CARE ASSOCIATES LIMITED,16/12/2016,3432.6,FOSTER PARENTS BASIC ALLOWANCE,V001075851
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,FOSTER CARE ASSOCIATES LIMITED,16/12/2016,3302.85,FOSTER PARENTS BASIC ALLOWANCE,V001075852
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,FOSTER CARE ASSOCIATES LIMITED,16/12/2016,5238.08,FOSTER PARENTS BASIC ALLOWANCE,V001075854
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,FOSTER CARE ASSOCIATES LIMITED,16/12/2016,4027.05,FOSTER PARENTS BASIC ALLOWANCE,V001075855
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,FOSTER CARE ASSOCIATES LIMITED,16/12/2016,3302.85,FOSTER PARENTS BASIC ALLOWANCE,V001075856
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,FOSTER CARE ASSOCIATES LIMITED,16/12/2016,4111.83,FOSTER PARENTS BASIC ALLOWANCE,V001075857
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,FOSTER CARE ASSOCIATES LIMITED,16/12/2016,3503.35,FOSTER PARENTS BASIC ALLOWANCE,V001075858
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,FOSTERING OUTCOMES LTD,16/12/2016,2829.6,FOSTER PARENTS BASIC ALLOWANCE,V001075859
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,FOSTERING SOLUTIONS LTD,16/12/2016,3364.2,FOSTER PARENTS BASIC ALLOWANCE,V001075861
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,FOSTERING SOLUTIONS LTD,16/12/2016,3251.85,FOSTER PARENTS BASIC ALLOWANCE,V001075862
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,FOSTERING SOLUTIONS LTD,16/12/2016,3024.22,FOSTER PARENTS BASIC ALLOWANCE,V001075863
ROCHDALE BOROUGH COUNCIL,16/12/2016,EARLY HELP AND SCHOOLS,INCREDIBLE YEARS,16/12/2016,2952.92,ACTIVITIES,V001075864
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,FOSTERING SOLUTIONS LTD,16/12/2016,2861.63,FOSTER PARENTS BASIC ALLOWANCE,V001075865
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,FOSTERING SOLUTIONS LTD,16/12/2016,3251.85,FOSTER PARENTS BASIC ALLOWANCE,V001075866
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,FUSION FOSTERING LTD,16/12/2016,3900,FOSTER PARENTS BASIC ALLOWANCE,V001075867
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,GBA CARE,16/12/2016,14528.57,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001075868
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,HEXAGON CARE SERVICES LTD,16/12/2016,10907.15,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001075869
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,HEXAGON CARE SERVICES LTD,16/12/2016,14314.29,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001075870
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,HEXAGON CARE SERVICES LTD,16/12/2016,15290,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001075871
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,HOLISTIC APPROACH LTD,16/12/2016,10590,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001075872
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,LANDSKER CHILD CARE,16/12/2016,16928.57,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001075873
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,LIFETIME OPPORTUNITIES,16/12/2016,9424,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001075874
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,LIFETIME OPPORTUNITIES,16/12/2016,9424,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001075875
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,LORIMER FOSTER SERVICES,16/12/2016,3373.07,FOSTER PARENTS BASIC ALLOWANCE,V001075876
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,ORANGE GROVE FOSTERCARE LTD,16/12/2016,3097.2,FOSTER PARENTS BASIC ALLOWANCE,V001075877
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,ORANGE GROVE FOSTERCARE LTD,16/12/2016,3376.2,FOSTER PARENTS BASIC ALLOWANCE,V001075878
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,ORANGE GROVE FOSTERCARE LTD,16/12/2016,4645.8,FOSTER PARENTS BASIC ALLOWANCE,V001075879
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,PERPETUAL FOSTERING LTD,16/12/2016,3257.1,FOSTER PARENTS BASIC ALLOWANCE,V001075880
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,ROC NORTHWEST LTD,16/12/2016,17296.8,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001075881
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,ROC NORTHWEST LTD,16/12/2016,17296.8,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001075882
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,SAFEHOUSES FOSTERING,16/12/2016,3660.3,FOSTER PARENTS BASIC ALLOWANCE,V001075883
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,SAFEHOUSES FOSTERING,16/12/2016,1152.3,FOSTER PARENTS BASIC ALLOWANCE,V001075884
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,SAFEHOUSES FOSTERING,16/12/2016,3660.3,FOSTER PARENTS BASIC ALLOWANCE,V001075886
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,SAFEHOUSES FOSTERING,16/12/2016,3456.6,FOSTER PARENTS BASIC ALLOWANCE,V001075887
ROCHDALE BOROUGH COUNCIL,16/12/2016,CHILDREN�S SOCIAL CARE,TIME OUT CHILDRENS HOMES LTD,16/12/2016,14900,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001075888
ROCHDALE BOROUGH COUNCIL,23/12/2016,LEARNING DIS & MENTAL HEALTH,CROSSROADS CARE IN GREATER MANCHESTER,23/12/2016,1318.68,PERSONAL BUDGETS - MANAGED,V001075889
ROCHDALE BOROUGH COUNCIL,20/12/2016,FINANCE SERVICES,NORTHGATE PUBLIC SERVICES (UK) LTD,20/12/2016,1554.8,EXTERNAL CONTRACTED PRINTING,V001075896
ROCHDALE BOROUGH COUNCIL,20/12/2016,FINANCE SERVICES,NORTHGATE PUBLIC SERVICES (UK) LTD,20/12/2016,1000,SOFTWARE,V001075897
ROCHDALE BOROUGH COUNCIL,23/12/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,23/12/2016,698094.14,PFI SCHEMES RPIX,V001075898
ROCHDALE BOROUGH COUNCIL,16/12/2016,LEARNING DIS & MENTAL HEALTH,REDACTED-PERSONAL DATA,16/12/2016,748,PERSONAL BUDGETS - MANAGED,V001075900
ROCHDALE BOROUGH COUNCIL,15/12/2016,EARLY HELP AND SCHOOLS,ENTERPRISE FLEX-E-RENT,15/12/2016,783.77,EXTERNAL HIRE,V001075903
ROCHDALE BOROUGH COUNCIL,15/12/2016,FINANCE SERVICES,SLATER GORDON,15/12/2016,1852,PROVISIONS UTILISED IN YEAR,V001075906
ROCHDALE BOROUGH COUNCIL,15/12/2016,FINANCE SERVICES,SLATER GORDON,15/12/2016,5556,TRANSACTIONS-EXPENDITURE,V001075906
ROCHDALE BOROUGH COUNCIL,22/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,22/12/2016,1810.2,AGENCY STAFF,V001075921
ROCHDALE BOROUGH COUNCIL,23/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,XMA LIMITED,23/12/2016,17376,PURCHASE OF FURNITURE AND EQUIPMENT,V001075923
ROCHDALE BOROUGH COUNCIL,23/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,XMA LIMITED,23/12/2016,7964,PURCHASE OF ICT HARDWARE,V001075923
ROCHDALE BOROUGH COUNCIL,19/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,SOFTCAT LTD,19/12/2016,6000,IT MAINTENANCE,V001075924
ROCHDALE BOROUGH COUNCIL,19/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,SOFTCAT LTD,19/12/2016,13500,IT MAINTENANCE,V001075924
ROCHDALE BOROUGH COUNCIL,19/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,RESTORE DOCUMENT MANAGEMENT,19/12/2016,3305,DATA COLLECTION,V001075927
ROCHDALE BOROUGH COUNCIL,15/12/2016,EARLY HELP AND SCHOOLS,PSYCHOLOGY PEOPLE,15/12/2016,950,BASIC SALARIES,V001075935
ROCHDALE BOROUGH COUNCIL,22/12/2016,ECONOMY DIRECTORATE,SAFEGARD SECURITY SOLUTIONS,22/12/2016,7838.49,REPAIRS & ALTS OF BUILDINGS,V001075936
ROCHDALE BOROUGH COUNCIL,20/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,H BELL & SONS ROCHDALE LTD,20/12/2016,14304.8,PROPERTY - WORKS ELEMENT,V001075967
ROCHDALE BOROUGH COUNCIL,15/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,C A PROPERTIES,15/12/2016,650,GRANTS TO OTHER BODIES,V001075981
ROCHDALE BOROUGH COUNCIL,16/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,ORCHARD  RECYCLING SERVICE LTD,16/12/2016,559,CONTRACTS,V001075982
ROCHDALE BOROUGH COUNCIL,20/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,SSI SCHAEFER LIMITED,20/12/2016,14238,PURCHASE OF OTHER EQUIPMENT,V001075993
ROCHDALE BOROUGH COUNCIL,15/12/2016,PHYSICAL DIS & OLDER PEOPLE,HEALTHWATCH ROCHDALE,15/12/2016,39016.9,SERVICE LEVEL AGREEMENTS,V001076003
ROCHDALE BOROUGH COUNCIL,20/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,EDF ENERGY 1 LIMITED,20/12/2016,1654.21,ELECTRICITY,V001076004
ROCHDALE BOROUGH COUNCIL,15/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,WHICH,15/12/2016,585,BOOKS/NEWSPAPERS/PERIODICALS,V001076009
ROCHDALE BOROUGH COUNCIL,20/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,20/12/2016,550.52,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V001076016
ROCHDALE BOROUGH COUNCIL,15/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,586.95,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,601.39,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,628.86,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,828.07,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,902.41,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,950.3,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,959.9,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,985.24,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,1002.31,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,1034.13,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,1034.13,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,1034.13,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,1034.15,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,1034.15,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,1034.15,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,CHILDREN�S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,1540.62,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,EARLY HELP AND SCHOOLS,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,1034.13,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,EARLY HELP AND SCHOOLS,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,1034.13,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,652.31,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,665.26,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,1236.26,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,LEARNING DIS & MENTAL HEALTH,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,801.86,AGENCY STAFF,V001076019
ROCHDALE BOROUGH COUNCIL,15/12/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,15/12/2016,511.42,AGENCY STAFF,V001076019
