PROPREF,PROPERTY_DESCRIPTION,PROPERTY_ADDRESS,RATEPAYER,RV,LIABILITY_START,RELIEF_XMPT_PKG.GET_RELIEFS_AS
65484755,Hairdressing Salon and Premises,"103-107 Keighley Road, Halifax, HX2 8JE",,6600,11/04/2013,SBR
65484756,Pharmacy and Premises,"Ovenden Pharmacy, Beechwood Medical Centre, 60A Keighley Road, Halifax              HX2 8AL",Halifax Healthcare Ltd,20250,14/10/2012,SBR
65484757,Surgery And Premises,"Beechwood Medical Centre, 60A Keighley Road, Halifax, HX2 8AL","Drs Mayland, Rastall & Cameron",34500,14/10/2012,SBR
65484759,Site Of Atm And Premises,"Atm Site (Lloyds), W M Morrison, Keighley Road, Halifax              HX2 8HY",Lloyds Bank Plc,11250,01/04/2010,SBR
65484761,Site Of Atm And Premises,"Atm Site At Tesco Express, Keighley Road, Halifax, HX2 8BA",Tesco Personal Finance Ltd,16500,01/04/2010,SBR
65488700,Public House and Premises,"Moorlands Inn, Keighley Road, Ogden, Halifax             HX2 8XD",Hire Class Events Ltd,82000,05/01/2016,
65488701,Mountain Boarding Course and Premises,"Moss Farm Nurseries, Keighley Road, Causeway Foot, Halifax             HX2 8XD",,2025,01/04/2000,SBR
65492700,School and Premises,"Abbey Park J & I School, Keighley Road West, Illingworth, Halifax             HX2 9LJ",Abbey Park Primary Academy,37000,01/12/2013,MCR
65496700,School and Premises,"Salterlee J & I School, Kell Lane, Stump Cross, Halifax             HX3 7AY",Salterlee Academy Trust Ltd,13500,01/09/2011,MCR
65500700,Store And Premises,"Adj 9 Kent Street, Halifax, HX1 2SR",,1000,17/11/2006,EX
65504009,Shop and Premises,"5-9 Kershaw Crescent, Luddendenfoot, Halifax, HX2 6NR",Martin Mc Coll Ltd,24750,25/07/2011,SBR
65504701,Shop and Premises,"3 Kershaw Crescent, Luddendenfoot, Halifax, HX2 6NR",,2900,16/06/2001,SBR
65508700,Community Centre And Premises,"Luddenden Youth Centre, Kershaw Drive, Luddendenfoot, Halifax             HX2 6PD",Calderdale Mbc Children & Young People's Services,9200,01/04/1990,SBR
65508701,Health Centre and Premises,"Health Clinic, Kershaw Drive, Luddendenfoot, Halifax             HX2 6PD",Nhs Property Services Ltd,6000,01/04/2013,SBR
65512701,Shop and Premises,"Stainland Road, Stainland, Halifax, HX4 9PD",,3550,27/02/2006,SBR
65516146,Advertising Right and Premises,"Bus Shelter 0702 0156 Front, 146 King Cross Road, Halifax, HX1 3JZ",Clear Channel (Uk) Ltd,250,01/04/2010,SBR
65516150,Car Sales Site and Premises,"King Cross Road, Halifax, HX1 3JL",Eclipse Property (HFX1) Limited,16750,13/05/2016,ER
65516160,Offices and Premises,"Greycourt House, 160 King Cross Road, Halifax, HX1 3LN",Second Halifax Housing Ltd,1350,01/04/2004,SBR
65516161,Shop and Premises,"161 King Cross Road, Halifax, HX1 3LN",,5400,21/11/2014,SBR
65516163,Showroom And Premises,"163 King Cross Road, Halifax, HX1 3LN",,21750,01/01/2016,SBR
65516166,Shop and Premises,"166 King Cross Road, Halifax, HX1 3LN",,3000,27/10/2016,ER
65516168,Shop and Premises,"168 King Cross Road, Halifax, HX1 3LN",,3000,30/09/2015,SBR
65516169,Shop and Premises,"167/169 King Cross Road, Halifax, HX1 3LN",Itec Components Ltd,8000,01/12/1999,SBR
65516170,Shop and Premises,"170 King Cross Road, Halifax, HX1 3LN",,4800,31/03/2014,SBR
65516172,Shop and Premises,"172 King Cross Road, Halifax, HX1 3LN",Direct Accident & Injury Centre Uk Ltd,3000,10/09/2012,SBR
65516174,Shop and Premises,"174 King Cross Road, Halifax, HX1 3LN",Yorkshire Auto Assist Ltd,3250,03/06/2016,SBR
65516176,Shop and Premises,"176 King Cross Road, Halifax, HX1 3LN",,3150,22/09/2015,SBR
65516179,Hairdressing Salon and Premises,"179 King Cross Road, Halifax, HX1 3LN",,1950,01/04/2015,EX
65516180,Shop and Premises,"180 King Cross Road, Halifax, HX1 3LN",,4400,01/07/2014,SBR
65516182,Shop and Premises,"182 King Cross Road, Halifax, HX1 3LN",,3700,30/06/2014,SBR
65516184,Shop and Premises,"184 King Cross Road, Halifax, HX1 3LN",,3900,02/11/2004,SBR
65516189,Shop and Premises,"189 King Cross Road, Halifax, HX1 3LN",,6300,10/11/2016,ER
65516194,Restaurant and Premises,"194 King Cross Road, Halifax, HX1 3JP",,7800,10/07/2012,SBR
65516195,Shop and Premises,"193/195 King Cross Road, Halifax, HX1 3LN",,10750,01/12/2003,SBR
65516196,Shop and Premises,"196 King Cross Road, Halifax, HX1 3JP",,11500,03/12/2013,SBR
65516198,Shop and Premises,"198 King Cross Road, Halifax, HX1 3JP",,5500,01/04/1990,SBR
65516200,Shop and Premises,"200 King Cross Road, Halifax, HX1 3JP",,6800,21/11/2005,SBR
65516202,Shop and Premises,"202 King Cross Road, Halifax, HX1 3JP",,6400,02/11/2015,SBR
65516203,Bank And Premises,"203 King Cross Road, Halifax, HX1 3JL",Barclays Bank Plc,13500,01/04/1990,SBR
65516204,Shop and Premises,"204 King Cross Road, Halifax, HX1 3JP",,5400,23/07/2015,ER
65516206,Shop and Premises,"206 King Cross Road, Halifax, HX1 3JP",,6900,31/01/2008,SBR
65516208,Shop and Premises,"208 King Cross Road, Halifax, HX1 3JP",A D L Solicitors Ltd,8000,01/03/2017,SBR
65516211,Shop and Premises,"211 King Cross Road, Halifax, HX1 3JL",Total Bathroom Design Ltd,11000,26/03/2002,SBR
65516213,Shop and Premises,"213 King Cross Road, Halifax, HX1 3JL",M H Castle Ltd,6600,01/10/2008,SBR
65516214,Shop and Premises,"214 King Cross Road, Halifax, HX1 3JP",,5200,29/11/2005,SBR
65516215,Shop and Premises,"215 King Cross Road, Halifax, HX1 3JL",,7600,01/04/2011,SBR
65516216,Cafe and Premises,"216 King Cross Road, Halifax, HX1 3JP",,6200,01/04/2016,SBR
65516219,Shop and Premises,"219 King Cross Road, Halifax, HX1 3JL",Bargain Booze Ltd,7300,23/08/2016,SBR
65516220,Shop and Premises,"220 King Cross Road, Halifax, HX1 3JP",,7100,01/06/2011,SBR
65516221,Shop and Premises,"221 King Cross Road, Halifax, HX1 3JL",,7800,21/11/2011,SBR
65516222,Hairdressing Salon and Premises,"222 King Cross Road, Halifax, HX1 3JP",,8100,12/09/2003,SBR
65516225,Shop and Premises,"225 King Cross Road, Halifax, HX1 3JL",F M N T Trading Ltd,9200,01/01/2010,MCR
65516229,Shop and Premises,"229 King Cross Road, Halifax, HX1 3JL",Yolo Express Ltd,8900,17/10/2016,ER
65516230,Shop and Premises,"230 King Cross Road, Halifax, HX1 3JP",,4800,01/09/2013,SBR
65516231,Shop and Premises,"231 King Cross Road, Halifax, HX1 3JL",Kitchen Elements Ltd,7800,06/01/2003,SBR
65516232,Shop and Premises,"232 King Cross Road, Halifax, HX1 3JP",,5500,20/07/2015,SBR
65516233,Shop and Premises,"233 King Cross Road, Halifax, HX1 3JL",The Mayfield Trust,9400,01/04/2015,DCR MCR
65516242,Takeaway And Premises,"242 King Cross Road, Halifax, HX1 3JP",,5300,01/04/2009,SBR
65516243,Shop and Premises,"243 King Cross Road, Halifax, HX1 3JL",,5700,05/02/2014,SBR
65516244,Shop and Premises,"244 King Cross Road, Halifax, HX1 3JP",P.Wilkinson [Bakers] Ltd,6100,01/04/1992,SBR
65516245,Shop and Premises,"245 King Cross Road, Halifax, HX1 3JL",,4300,17/10/2016,SBR
65516246,Shop and Premises,"246 King Cross Road, Halifax, HX1 3JP",,7800,01/04/2016,SBR
65516255,Shop and Premises,"255 King Cross Road, Halifax, HX1 3JL",,3550,17/12/2014,SBR
65516259,Shop and Premises,"259 King Cross Road, Halifax, HX1 3JL",,7800,01/02/2017,SBR
65516700,Advertising Right and Premises,"Boards 1026 & 4022, Co-Op Supermarket, King Cross Road, Halifax              HX1 3RJ",Primesight Ltd,1200,01/09/2009,SBR
65516701,Surgery And Premises,"6 Edward House, King Cross Road, Halifax, HX1 3JL",,1925,01/05/2008,SBR
65516702,Shop and Premises,"251 King Cross Road, & 2 Gledhills Yard, Halifax, HX1 3JL",,5500,03/07/1998,SBR
65516703,Shop and Premises,"252 King Cross Road, Halifax, HX1 3JP",One Stop Stores Ltd,29000,30/10/1999,SBR
65516708,Offices and Premises,"Office 4, 159 King Cross Road, Halifax, HX1 3LN",T & C Property Search Ltd,750,01/01/2016,SBR
65516712,Surgery And Premises,"Woodgate, 164 King Cross Road, Halifax, HX1 3LN",,2475,01/04/2006,EX
65516713,Shop and Premises,"Palladium Buildings, 165 King Cross Road, Halifax, HX1 3LN",,2200,01/07/2016,SBR
65516714,Shop and Premises,"Valeson House, 190 King Cross Road, Halifax, HX1 3LN",,7700,29/06/2000,SBR
65516715,Public House and Premises,"Junction Hotel, 192 King Cross Road, Halifax, HX1 3JP",,11500,11/01/2017,ER
65516716,Surgery And Premises,"King Cross Surgery, 199 King Cross Road, Halifax, HX1 3LW",,33000,01/04/1990,SBR
65516718,Shop and Premises,"Shop (Ground Floor ), 209 King Cross Road, Halifax, HX1 3JL",,7700,11/02/2013,SBR
65516720,Shop and Premises,"218 King Cross Road, Halifax, HX1 3JP",Overgate Hospice,6900,16/07/2010,DCR MCR
65516722,Public House and Premises,"William The Fourth Inn, 247/249 King Cross Road, Halifax, HX1 3JL",,39250,15/11/2006,SBR
65516723,Public House and Premises,"Feathers Inn, 263 King Cross Road, Halifax, HX1 3JL",,17250,28/02/2011,SBR
65516727,Shop and Premises,"210/212 King Cross Road, Halifax, HX1 3JP",,15250,22/04/1994,SBR
65516728,Shop and Premises,"224 King Cross Road, Halifax, HX1 3JP",Just Give It A Go Ltd,6700,01/04/2016,SBR
65516729,Betting Shop And Premises,"226/228 King Cross Road, Halifax, HX1 3JP",Done Brothers [Cash Betting] Ltd,12750,16/06/2009,SBR
65516730,Offices and Premises,"235 King Cross Road, Halifax, HX1 3JL",Loans 2 Go Ltd,10750,01/03/2014,SBR
65516732,Shop and Premises,"239/241 King Cross Road, Halifax, HX1 3JL",,7300,29/01/2016,SBR
65516734,Shop and Premises,"227/227a King Cross Road, Halifax, HX1 3JL",Kaiwen Uk Ltd,6500,01/10/2016,SBR
65516739,Advertising Right,"Advertising Right, 195 King Cross Road, Halifax, HX1 3LN",,740,13/12/2016,EX
65516740,Advertising Right,"Board No. 0702 0010, King Cross Road, Halifax, HX1 3JP",Clear Channel (Uk) Ltd,250,01/04/2000,SBR
65516743,Advertising Right,"Board No 0702-0042, King Cross Road, Halifax, HX1 3JP",Clear Channel (Uk) Ltd,450,01/04/2000,SBR
65516746,Betting Shop And Premises,"234 King Cross Road, Halifax, HX1 3JP",Coral Racing Ltd,14500,08/09/1995,SBR
65516747,Car Park and Premises,"Land At, 157 King Cross Road, Halifax, HX1 3LN",,2000,01/03/2013,SBR
65516748,Offices and Premises,"Offices 1,2,7 & 8, Edward House, King Cross Road, Halifax             HX1 3JS",,7400,01/01/2010,SBR
65516751,Restaurant and Premises,"250 King Cross Road, Halifax, HX1 3JP",,19500,13/07/2013,SBR
65516754,Shop and Premises,"238-240 King Cross Road, Halifax, HX1 3JP",,6900,24/10/2008,SBR
65516755,Site of Automatic Teller Machine and Premises,"Day & Nite Store, King Cross Road, Halifax, HX1 3JR",Tesco Personal Finance Ltd,5900,01/04/2014,SBR
65516760,Offices and Premises,"161B First Floor, King Cross Road, Halifax, HX1 3LN",,1050,02/10/2010,EX
65516768,Offices and Premises,"Offices 6 & 7 2ND Floor, 159 King Cross Road, Halifax, HX1 3LN",T & C Property Search Ltd,1825,07/09/2009,SBR
65516773,Shop and Premises,"217 King Cross Road, Halifax, HX1 3JL",Sunbridge Road Investments Ltd,8000,02/07/2011,SBR
65516775,Store And Premises,"Rear Of, 159 King Cross Road, Halifax, HX1 3LN",Thor Homecare Ltd,2550,01/04/2010,SBR
65516776,Offices and Premises,"162 King Cross Road, Halifax, HX1 3LN",The Next Step Trust,33000,01/06/2010,MCR
65516777,Shop and Premises,"207/207A King Cross Road, Halifax, HX1 3JL",,9000,20/09/2016,SBR
65516778,Restaurant And Premises,"223 King Cross Road, Halifax, HX1 3JL",Hubbards Halifax Ltd,15000,15/04/2014,SBR
65516779,Offices and Premises,"223A King Cross Road, Halifax, HX1 3JL",,6400,10/05/2014,SBR
65516780,Advertising Right,"Advertising Right, Bus Shelter 0702 0145, King Cross Road, Halifax              HX1 3JZ",Clear Channel (Uk) Ltd,250,01/04/2010,SBR
65516781,Shop and Premises,"257 King Cross Road, Halifax, HX1 3JL",All Canvas Uk Ltd,6500,01/02/2017,SBR
65516782,Offices and Premises,"Offices 3 - 5, Edward House, 217 King Cross Road, Halifax              HX1 3JL",Bcs Detailing Ltd,4700,01/06/2012,SBR
65516783,Shop and Premises,"261 King Cross Road, Halifax, HX1 3JL",,7500,02/01/2016,SBR
65516786,Offices and Premises,"Office First Floor, 161A King Cross Road, Halifax, HX1 3LN",Community Voice Ltd,2000,01/01/2016,SBR
65516788,Offices and Premises,"Office 1 1ST Floor, 159 King Cross Road, Halifax, HX1 3LN",Dpt Consulting Ltd,1575,01/04/2015,SBR
65516789,Offices and Premises,"Office 2 1ST Floor, 159 King Cross Road, Halifax, HX1 3LN",Mistry Maths Limited,2325,16/05/2016,SBR
65516790,Shop and Premises,"Front, 159 King Cross Road, Halifax, HX1 3LN",,4900,15/12/2014,SBR
65516791,Offices and Premises,"Rear, 159 King Cross Road, Halifax, HX1 3LN",Thor Homecare Ltd,1950,01/04/2015,SBR
65516792,Shop and Premises,"253 King Cross Road, Halifax, HX1 3JL",,7700,30/06/2016,SBR
65516794,Offices And Premises,"233A King Cross Road, Halifax, HX1 3JL",Spectrum Vehicle Recovery Ltd & Uk Insurance Solutions Ltd,5500,01/04/2015,SBR
65520003,Shop and Premises,"3/5 King Cross Street, Halifax, HX1 2SG",,12500,16/11/2010,SBR
65520006,Surgery And Premises,"8 King Cross Street, Halifax, HX1 2SH",Homes & Communities Agency,6300,01/04/2012,EX
65520007,Shop and Premises,"7 King Cross Street, Halifax, HX1 2SH",,5300,01/02/2014,SBR
65520008,Surgery And Premises,"8 King Cross Street, Halifax, HX1 2SH",Homes & Communities Agency,2900,16/11/2010,EX
65520020,Hand Car Wash And Premises,"20 King Cross Street, Halifax, HX1 2SH",,7800,19/03/2012,SBR
65520022,Shop and Premises,"22 King Cross Street, Halifax, HX1 2SH",,5000,15/08/2016,SBR
65520024,Shop and Premises,"24 King Cross Street, Halifax, HX1 2SH",,4750,20/03/2017,SBR
65520700,Public House and Premises,"Beehive & Cross Keys Inn, King Cross Street, Halifax, HX1 2SH",,11500,21/01/2002,SBR
65520701,Offices and Premises,"1 Park Road, Halifax, HX1 2TU",Calderdale Mbc Adults Health And Social Care,100000,26/10/2002,
65520702,School and Premises,"St Marys Rc (A) J & I School, King Cross Street, Halifax, HX1 2ER",St Mary's Catholic Primary School (Halifax),34250,01/04/2001,MCR
65520703,Theatre And Premises,"The Playhouse, King Cross Street, Halifax, HX1 2SH",,10500,01/04/1990,MCR
65520706,Offices and Premises,"West House, 98 King Cross Street, Halifax, HX1 2TU",,35750,11/08/2000,SBR
65520709,Showroom And Premises,"8 King Cross Street, Halifax, HX1 2SH",Homes & Communities Agency,7100,01/06/2007,EX
65520710,Showroom And Premises,"Adj 8 King Cross Street, Halifax, HX1 2SH",,10000,01/07/1997,EX
65520711,Advertising Right and Premises,"Adj 22 King Cross Street, Halifax, HX1 2SH",Jc Decaux Uk Ltd,1175,01/04/1996,SBR
65520713,Advertising Right and Premises,"Advertising Right, Board No. 689/01402, 19 King Cross Street, Halifax              HX1 2SH",Clear Channel (Uk) Ltd,2375,01/04/1991,SBR
65520715,Offices and Premises,"8 King Cross Street, Halifax, HX1 2SH",Homes & Communities Agency,2375,01/03/2013,EX
65520716,Showroom And Premises,"6 King Cross Street, Halifax, HX1 2SH",Joseph & Khan Solicitors,5200,01/07/2016,SBR
65520721,Offices and Premises,"1st Floor, 6 King Cross Street, Halifax, HX1 2SH",Homes & Communities Agency,6200,01/06/2007,EX
65520723,Offices and Premises,"1st Floor, 8 King Cross Street, Halifax, HX1 2SH",The Pain & Injury Clinic Ltd,3400,01/04/2012,SBR
65520724,Advertising Right and Premises,"Advertising Right, Adj Beehive & Cross Keys, King Cross Street, Halifax              HX1 2SH",Primesight Ltd,200,01/04/2001,SBR
65520725,Offices and Premises,"19A King Cross Street, Halifax, HX1 2SH",,5200,02/05/2016,SBR
65520726,Offices and Premises,"17A King Cross Street, Halifax, HX1 2SH",,4500,02/05/2016,SBR
65520727,Hairdressing Salon and Premises,"19 King Cross Street, Halifax, HX1 2SH",,5700,01/01/2017,ER
65520728,Offices and Premises,"17 King Cross Street, Halifax, HX1 2SH",,7900,01/09/2005,SBR
65520729,Offices and Premises,"Part First Floor, 8 King Cross Street, Halifax, HX1 2SH",A P N Business Consultants Ltd,2175,01/05/2006,SBR
65520730,Offices and Premises,"Part Ground Floor, 8 King Cross Street, Halifax, HX1 2SH",Homes & Communities Agency,2800,27/09/2011,EX
65520732,Offices and Premises,"Courier Office, 9 King Cross Street, Halifax, HX1 2SH",Courier House Limited,127000,14/06/2016,ER
65520734,Offices and Premises,"First Floor, 6 King Cross Street, Halifax, HX1 2SH",Homes & Communities Agency,2325,01/04/2012,EX
65520738,Car Parking Spaces,"Car Parking Spaces, R/O 17A King Cross Street, Halifax, HX1 2SH",,4200,01/01/2009,SBR
65520739,Site of Electronic Delivery Lockers,"Electronic Delivery Locker, King Cross Street, Halifax, HX1 2SH",Inpost Uk Ltd,1200,31/03/2015,SBR
65524009,Shop and Premises,"9 King Edward Street, Halifax, HX1 1BW",The Towel Rail Ltd,30500,09/08/1999,SBR
65524016,Offices and Premises,"16 King Edward Street, Halifax, HX1 1BW",S Hayhurst Ltd,14500,21/06/2010,SBR
65524017,Shop and Premises,"17 King Edward Street, Halifax, HX1 1BW",Card City Retail Ltd,9400,24/08/2012,SBR
65524019,Shop and Premises,"19 King Edward Street, Halifax, HX1 1BW",Halifax Jeans Co Ltd,8600,01/11/2011,SBR
65528001,Showroom And Premises,"1 King Street, Halifax, HX1 1SR",Clarence Smith Flooring Ltd - In Liquidation,16000,27/09/2008,SBR
65528002,Surgery And Premises,"2 King Street, Halifax, HX1 1SR",Hird & Partners L L P,63500,14/05/2015,
65528003,Car Showroom And Premises,"3 King Street, Halifax, HX1 1SR",Hepworths Honda Ltd,29000,01/06/1994,SBR
65528700,Car Park,"King Street, Halifax, HX1 1SR",Calderdale Mbc,18000,01/04/1990,SBR
65528701,Vehicle Repair Workshop And Premises,"King Street, Halifax, HX1 1SR",Kwik Fit (Uk) Ltd,39500,01/09/2000,SBR
65528708,Car Park and Premises,"Hutchinson Construction, Car Park, King Street, Halifax              HX1 1SA",Hutchinson Construction [Northern] Ltd,58500,01/04/2014,
65532700,Shop and Premises,"1 Kingsley Place, Halifax, HX1 3YQ",,2200,11/11/2014,SBR
65548700,Golf Course And Premises,"Lightcliffe Golf Club, Knowle Top Road, Lightcliffe, Halifax             HX3 8SW",Lightcliffe Golf Club Ltd,21250,01/04/1990,
65556703,Workshop And Premises,"Richmond Works, Lake View, Halifax, HX3 6EP",James H Heal & Co Ltd,48750,01/04/2011,SBR
65560700,Warehouse And Premises,"Lambert Street, Greetland, Halifax, HX4 8AA",William Wood's Exors Ltd,8800,01/04/1990,SBR
65560701,Car Park and Premises,"N/R Kingdom Hall, Lambert Street, Greetland, Halifax              HX4 8AA",Calderdale Mbc,2600,01/04/1990,SBR
65560702,Garage And Premises,"Lambert Street Garage, Lambert Street, Greetland, Halifax              HX4 8AA",,13750,16/11/2005,SBR
65566005,Self Catering Holiday Unit And Premises,"5 Lane Ends, Shibden, Halifax, HX3 7UW",,2850,17/06/1997,SBR
65568700,Public House and Premises,"Brown Horse Inn, Lane Ends, Northowram, Halifax             HX3 7SD",,18500,31/05/2013,SBR
65572700,Shop and Premises,"Unofficial Address, The Old Fruit Shop, Lane Ends, Wheatley             HX2 8TW",,1550,01/04/2013,EX
65576013,Hairdressing Salon and Premises,"13 Lane Ends Green, Hipperholme, Halifax, HX3 8EZ",,4600,12/08/2003,SBR
65576700,Advertising Right and Premises,"Corner Halifax Road, Of Lane Ends Green, Hipperholme, Halifax              HX3 8HL",Primesight Ltd,2450,01/09/2009,SBR
65576701,Beauty Salon And Premises,"13A Lane Ends Green, Hipperholme, Halifax, HX3 8EZ",,2800,01/06/2010,SBR
65580009,Offices and Premises,"9 Lane Ends Terrace, Halifax Road, Hipperholme, Halifax              HX3 8HJ",,6300,01/08/1998,SBR
65584700,Sports Ground And Premises,"Langlea Terrace, Hipperholme, Halifax, HX3 8LG",Hipperholme Grammar School Foundation,2750,02/04/1991,MCR
65588700,Bowling Club And Premises,"Laurel Crescent, Halifax, HX2 8DF",,960,01/04/1990,SBR
65592001,Shop and Premises,"1/3 Law Lane, Southowram, Halifax, HX3 9QU",,9400,14/04/2014,SBR
65592014,Post Office And Premises,"14 Law Lane, Southowram, Halifax, HX3 9QU",,3200,01/10/2016,SBR
65592016,Shop and Premises,"Ground Floor, 16 Law Lane, Southowram, Halifax              HX3 9QU",,4300,02/02/2011,SBR
65592018,Shop and Premises,"18 Law Lane, Southowram, Halifax, HX3 9QU",,3200,01/04/2012,SBR
65592020,Shop and Premises,"20 Law Lane, Southowram, Halifax, HX3 9QU",,5000,01/06/1999,SBR
65592701,Community Centre And Premises,"Southowram Community Centre, Law Lane, Southowram, Halifax             HX3 9QL",,5100,01/04/1990,MCR
65592703,Library And Premises,"Southowram Branch Library, 14 Law Lane, Southowram, Halifax             HX3 9QU",Calderdale Mbc Leisure Services,2500,01/04/1990,SBR
65592705,Surgery And Premises,"Law Lane, Southowram, Halifax, HX3 9QU",,9800,13/09/1990,SBR
65592706,Shop and Premises,"Ingfield Farm Shop, Law Farm, Law Lane, Southowram, Halifax              HX3 9UG",Ingfield Farm Shop Ltd,5000,17/06/2003,SBR
65592707,Shop and Premises,"Ingfield Farm Shop, Law Farm, Law Lane, Southowram           HX3 9UG",Ingfield Farm Shop Ltd,11750,28/05/2010,ER
65592708,Shop and Premises,"Livingcare Pharmacy, Southowram Surgery, Law Lane, Southowram           HX3 9QB",T H P Southowram Ltd,11250,01/07/2016,SBR
65592709,Childrens Centre And Premises,"Southowram Sure Start, Childrens Centre, Law Lane, Southowram           HX3 9QJ",Halifax Opprtunities Trust Sure Start Project,9500,29/03/2011,MCR
65596700,Factory and Premises,"Leafland Street, Halifax, HX1 4LX",William B Swift Ltd,14250,01/04/1990,SBR
65600700,Factory and Premises,"Lee Mills, Lee Bridge, Halifax, HX3 5AT",M R G Fabrications (Yorkshire) Ltd,11500,10/02/2014,SBR
65600701,Workshop And Premises,"Units 2 & 16, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",Bead & Shotblasting Ltd,13500,30/05/1990,
65600702,Factory and Premises,"Unit 3, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",,17250,01/04/1990,SBR
65600703,Warehouse And Premises,"Unit 4, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",Henderson Fabrications Ltd,8800,23/03/2002,SBR
65600704,Warehouse And Premises,"Unit 9, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",Haven Building & Maintenance Ltd,20250,01/04/2013,SBR
65600705,Public House and Premises,"1904 @ Dean Clough, 36 Lee Bridge, Halifax, HX3 5AT",,15250,08/10/2012,SBR
65600707,Workshop And Premises,"Unit 1, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",Bead & Shot Blasting Ltd,6600,17/09/1997,
65600708,Workshop And Premises,"Unit 5, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",,5100,21/07/2014,EX
65600709,Warehouse And Premises,"Unit 10, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",Halifax Metal Spinning Ltd,13000,22/07/2015,SBR
65600710,Factory and Premises,"Unit 11/12, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",Haven Building & Maintenance Ltd,4150,27/09/2004,SBR
65600712,Workshop And Premises,"Unit 13, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",Haven Building & Maintenance Ltd,2700,27/09/2004,SBR
65600713,Store And Premises,"Unit 14, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",Eurofill Ltd,3800,17/09/2005,SBR
65600714,Workshop And Premises,"Unit 15, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",Haven Building & Maintenance Ltd,2650,18/01/2006,SBR
65600715,Workshop And Premises,"Unit 19, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",,5400,01/01/2016,SBR
65600716,Warehouse And Premises,"Unit 6, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",J & R Electrical Ltd,8000,01/04/1990,SBR
65600718,Workshop And Premises,"Unit 20, Lee Bridge Industrial Estate, 4 Lee Bridge, Halifax             HX3 5AT",,5900,01/01/2005,SBR
65600720,Workshop And Premises,"Unit 8, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",,8000,26/05/1998,
65600721,Workshop And Premises,"Unit 17, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 6RE",Hi-Tech Security And Fire Systems (Halifax) Ltd,7500,01/04/2000,SBR
65600722,Warehouse And Premises,"Unit 18, Lee Bridge Industrial Estate, Lee Bridge, Halifax              HX3 5AT",Reynard Electronics Ltd,6300,01/03/2011,SBR
65605701,Swimming Pool And Premises,"Lee Lane, Shibden, Halifax, HX3 6UJ",,34500,01/04/1998,SBR
65608047,Shop and Premises,"47 Lee Mount Road, Lee Mount, Halifax, HX3 5BQ",,2250,12/10/2003,SBR
65608700,Club and Premises,"Lee Mount Club, Lee Mount Road, Lee Mount, Halifax             HX3 5EQ",Lee Mount Club,16000,01/04/1990,SBR
65608702,School and Premises,"Lee Mount Primary School, Lee Mount Road, Lee Mount, Halifax              HX3 5EB",Lee Mount Primary School,44500,01/04/2001,SBR
65612011,Shop and Premises,"11 Leeds Road, Hipperholme, Halifax, HX3 8ND",,8400,10/01/2016,SBR
65612701,Shop and Premises,"Leeds Road, Halifax, HX3 7AE",,2300,05/08/1995,SBR
65612707,Garage And Premises,"Leeds Road, Halifax, HX3 7AE",Holmeward Car Sales Ltd,6100,01/04/2000,SBR
65612708,Offices and Premises,"Office 16/17 The Spire, Leeds Road, Halifax, HX3 8NU",The Spire Halifax Ltd,4800,07/03/2016,SBR
65612711,Showroom And Premises,"Unit 1 Lower Brear, Leeds Road, Halifax, HX3 7AG",Purity Bridal (Halifax) Ltd,13000,01/09/2016,SBR
65612713,Showroom And Premises,"Unit 2 Lower Brear, Leeds Road, Halifax, HX3 7AG",Brighouse Upvc Windows Ltd,9700,16/09/2010,SBR
65612715,Store,"Unit 1 Lower Brea, Leeds Road, Halifax, HX3 7AQ",W W Leese [Hx] Ltd,800,01/04/2014,EX
65612716,Warehouse And Premises,"Unit 2 Lower Brea, Leeds Road, Halifax, HX3 7AQ",,3050,01/04/2015,SBR
65612717,Warehouse And Premises,"Unit 3 Lower Brea, Leeds Road, Halifax, HX3 7AQ",Taylor Art Stone Ltd,5700,10/11/2010,SBR
65612718,Workshop And Premises,"Unit 4 Lower Brea, Leeds Road, Halifax, HX3 7AQ",Mpv Motors Ltd (Company Ceased To Trade No Assets 11 08 09),2900,23/07/2010,SBR
65612719,Store And Premises,"Unit 5 Lower Brea, Leeds Road, Halifax, HX3 7AQ",W W Leese [Hx] Ltd,1775,02/01/2013,EX
65612720,Warehouse And Premises,"Unit 6 Lower Brea, Leeds Road, Halifax, HX3 7AQ",W W Leese [Hx] Ltd,3600,01/12/2016,EX
