LIABILITY_TYPE,RATEPAYER,Property Address,Billing Address,PROPREF,2010 Rating list value,Rates Payable,LIABILITY_START
I,,"Lower Grd Floor & Basement, 354 Pellon Lane, Halifax, HX1 4QD","Cliffe Hill, Towngate, Midgeley, Halifax, HX2 6UH",68236781,1925,906.68,01/06/2006
C,Due West Ltd,"Part Ground Floor, 14 Horton Street, Halifax, HX1 1PU","C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",65388014,730,343.83,01/07/2009
C,Kino & Co,"Office H M 2.10, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN","Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",65344881,1200,565.2,01/07/2009
C,Units To Let [Northern] Ltd,"Unit 17a, Mill House Works, Mill House Lane, Sowerby Bridge      HX6 3LN","Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",77352708,405,190.76,01/07/2009
I,,"First Floor, 6-8 Hall Street, Halifax, HX1 5AY","6 Hall Street, Halifax, HX1 5AY",65248714,5600,2637.6,01/04/2005
C,Dean Clough Ind Park Ltd,"Unit D Mill Annexe, Dean Clough Industrial Park, Halifax, HX3 5AX","Unit OP14-20, Dean Clough Office Park, Halifax, HX3 5AY",64784833,1400,659.4,08/12/2009
C,Y C P D (Shaw Lodge) Limited (In Administration),"Level 1 The 1850 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET","12th Floor, The Basilica, 2 King Charles Street, Leeds, LS1 6LS",68526732,8700,4097.7,18/09/2009
C,Y C P D (Shaw Lodge) Limited (In Administration),"Level - 1 The 1862 Warehouse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET","12th Floor, The Basilica, 2 King Charles Street, Leeds, LS1 6LS",68526734,9200,4333.2,21/02/2008
C,Y C P D (Shaw Lodge) Limited (In Administration),"Level 4 The 1862 Warehouse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET","12th Floor, The Basilica, 2 King Charles Street, Leeds, LS1 6LS",68526733,5100,2402.1,21/02/2008
C,Y C P D (Shaw Lodge) Limited (In Administration),"Level 3 The 1862 Warehouse, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET","12th Floor, The Basilica, 2 King Charles Street, Leeds, LS1 6LS",68526735,5100,2402.1,21/02/2008
C,Dean Clough Ltd,"Office Suite D 458, Dean Clough Mills, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",64788843,7200,3391.2,31/10/2009
I,Tia Greyhound & Lurcher Rescue,"Moorside Hayloft, Moorside Farm, Coppy Nook Lane, Cragg Vale           HX7 5TY","Moorside Farm, Coppy Nook Lane, Cragg Vale, Hebden Bridge, HX7 5RJ",76677701,1500,706.5,01/04/2009
I,,"Wellington Street South, Halifax, HX1 2LU","Bridle Hall Farm, Bradshaw, Halifax, HX2 9PD",69324709,1975,930.23,02/04/2011
C,Sue Ryder Care,"1 & 2 Regent Parade, Wharf Street, Sowerby Bridge, HX6 2EH","Capita Symonds, 25 Sackville Street, London, W1S 3HQ",77444706,11250,5298.75,10/09/2010
C,Greenbank Crane Services Ltd,"Unit 3, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL","2 Lower Sandal Farm, Deep Lane, Thornton, Bradford, BD13 3SR",68536834,1800,847.8,01/06/2011
I,,"Dog & Partridge Restaurant, Sourhall Road, Todmorden, OL14 7JA","Hanlith Hall, Hanlith, Kirby Malham, Skipton, BD23 4BP",78352703,7300,3438.3,24/07/2009
C,Hutchinson Construction [Northern] Ltd,"Empire House, Mulcture Hall Road, Halifax, HX1 1SP","5 Lydgate Park, Lightcliffe, Halifax, HX3 8TB",65900710,12000,5652,01/02/2010
I,,"149 Shay Lane, Halifax, HX3 6RR","29 Crossley Hill, Salterhebble, Halifax, HX3 0PL",68536149,5800,2731.8,14/10/2009
C,Marshalls Mono Ltd,"Hall Ings, West Lane, Southowram, Halifax              HX3 9RG","Asst Prop Manager, Marshalls Plc, Birkby Grange, Birkby Hall Road, Huddersfield, HD2 2XB",69352706,9300,4380.3,01/06/2009
C,Marshalls Mono Ltd,"Remote Store, Hall Ings, West Lane, Southowram, Halifax              HX3 9RG","Asst Prop Manager, Marshalls Plc, Birkby Grange, Birkby Hall Road, Huddersfield, HD2 2XB",69352708,8200,3862.2,01/06/2009
C,Marshalls Mono Ltd,"Hall Ings, West Lane, Southowram, Halifax              HX3 9RG","Asst Prop Manager, Marshalls Plc, Birkby Grange, Birkby Hall Road, Huddersfield, HD2 2XB",69352707,10500,4945.5,01/06/2009
C,Pennine Housing 2000 Ltd,"31 Dene Place, Halifax, HX1 5TL","Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",64808031,3100,1460.1,01/03/2010
C,The White Ribbon Campaign (Uk) Limited,"Elphin House, 1 New Road, Mytholmroyd, Hebden Bridge       HX7 5DZ","White Ribbon House, 1 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",76408705,11250,5298.75,04/01/2010
C,Units To Let ( Northern ) Ltd,"Unit 17B Mill House Works, Mill House Lane, Triangle, Sowerby Bridge      HX6 3LN","Suthers Street, Oldham, OL9 7TQ",77352736,770,362.67,01/09/2009
C,Units To Let ( Northern ) Ltd,"Unit 17B, Mill House Works, Mill House Lane, Sowerby Bridge      HX6 3LN","Suthers Street, Oldham, OL9 7TQ",77352715,1200,565.2,01/09/2009
C,Hutchinson Construction [Northern] Ltd,"Empire House, 11 Mulcture Hall Road, Halifax, HX1 1SP","5 Lydgate Park, Lightcliffe, Halifax, HX3 8TB",65900704,4000,1884,01/02/2010
I,,"Part Basement, 2 Wards End, Halifax, HX1 1DD","2 Wards End, Halifax, HX1 1DD",69264730,880,414.48,11/08/2009
C,Units To Let [Northern] Ltd,"Unit 23, Mill House Lane, Triangle, Sowerby Bridge       HX6 3LN","Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",77352741,1750,824.25,12/12/2009
C,F M N T Trading Ltd,"225 King Cross Road, Halifax, HX1 3JL","14b Longbow Close, Pennine Business Park, Bradley, Huddersfield, HD2 1GQ",65516225,9200,4333.2,01/01/2010
I,,"The Old Fire Station, Quality Works, Rochdale Road, Todmorden           OL14 7NA","5 Wood Cottages, Todmorden, OL14 6PS",78400846,7600,3579.6,01/10/2009
C,Y C P D (Shaw Lodge) Limited (In Administration),"Level 3 The 1850 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET","12th Floor, The Basilica, 2 King Charles Street, Leeds, LS1 6LS",68526710,5300,2496.3,18/09/2009
C,,"Whinney Royd Lane, Northowram, Halifax, HX3 7TF","Lower Bould Shaw Farm, Whinney Royd Lane, Northowram, Halifax, HX3 7TF",69591701,5,25.91,19/10/2009
C,Dean Clough Ltd,"Office Suite D176, Dean Clough Office Park, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",64788758,1650,777.15,12/01/2010
C,West Yorkshire County Scout Council,"Green Withens Reservoir, Oldham Road, Rishworth, Sowerby Bridge       HX6 4RH","88 Thornhill Avenue, Huddersfield, HD3 1TG",77412702,1225,576.98,01/05/2011
I,,"4 Dale Street, Todmorden, OL14 5PX","Margs Bank, Old Town, Hebden Bridge, HX7 8TR",78116004,1550,730.05,01/05/2011
I,,"777 Rochdale Road, Todmorden, OL14 6TG","775 Rochdale Road, Todmorden, OL14 6TG",78400758,1825,859.58,01/05/2011
C,Youth Skills Project,"Part Springwood Mill, Pudsey Road, Todmorden, OL14 8NJ",,78368710,5400,2543.4,01/04/2011
I,,"Stainland Community Centre, Westgate, Stainland, Halifax             HX4 9HN","11 Granville Road, Bradford, BD9 4HL",69404700,7400,3485.4,20/05/2011
I,,"Garage 1, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW","The Paddock, Old Town Mill, Wadsworth, Hebden Bridge, HX7 8SW",76420725,1400,659.4,01/06/2011
C,E.P.I.C Plc,"54a Southgate, Elland, HX5 0DQ","Robin Hood Works, Wakefield Road, Brighouse, HD6 1PE",56224713,5200,2449.2,04/02/2010
I,,"Shelf Library, 11 Wade House Road, Shelf, Halifax             HX3 7PB","P O Box 255, Manchester, M60 1UD",69216708,6700,0.47,01/04/2010
C,Halifax Opportunities Trust,"Parkinson Lane Nursery, Parkinson Lane, Halifax, HX1 3XL","The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",68224717,11250,5298.75,01/04/2009
C,Dean Clough Foundation,"Office Suite D106, Dean Clough Office Park, Halifax, HX3 5AX","Office Suite D182, Dean Clough, Halifax, HX3 5AX",64788706,6800,3202.8,08/03/2010
C,Tubzee Ltd,"Unit 9 (2nd Floor), Queens Road Mills, Gibbet Street, Halifax             HX1 4JX","180 Queens Road, Halifax, HX1 4LN",65164760,1500,706.5,18/03/2010
C,Tubzee Ltd,"Unit 9 (Ground Floor), Queens Road Mills, Gibbet Street, Halifax             HX1 4JX","180 Queens Road, Halifax, HX1 4LN",65164761,3550,1672.05,18/03/2010
I,,"Bowling Alley Terrace, Brighouse, HD6 3EU","Willow Beck, Greenacres, Burley In Wharfedale, Leeds, LS29 7SE",29076700,3600,1695.6,22/02/2010
I,,"Office 21, 11 Owler Ings Road, Brighouse, HD6 1EJ","The Coach House, 11 Owler Ings Road, Brighouse, HD6 1EJ",29452746,2000,942,02/05/2010
C,Atmosphere Bars & Clubs Ltd (In Administration),"17 Alexandra Street, Halifax, HX1 1BS","C/O Deloitte Llp, 1 City Square, Leeds, LS1 2AL",64056017,4150,1954.65,26/02/2010
C,Units To Let ( Northern ) Ltd,"Unit 4 (1st Floor), Mearclough Works, Mearclough Road, Sowerby Bridge      HX6 3LF","Suthers Street, Oldham, OL9 7TQ",77340714,610,287.31,19/12/2009
I,,"13 Hill Crest, Burnley Road, Sowerby Bridge, HX6 2TJ","13 Dalton Street, Sowerby Gridge, HX6 2HE",77108712,2500,1177.5,01/04/2010
C,Age Uk Calderdale & Kirklees,"Harley Street, Todmorden, OL14 5JE","5/6 Park Road, Halifax, HX1 2TS",78208700,7000,3297,10/12/2009
I,,"1/2 Town Hall Buildings, Elland, HX5 9AJ","926 Stockport Road, Manchester, M19 3AB",56236002,6700,3155.7,29/07/2009
C,Calderdale Mbc Land & Property Services,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF","Westgate House, Westgate, Halifax, HX1 1PS",65276709,4550,2143.05,01/04/2007
C,Calderdale Mbc Community Services,"37 The Colonnade, Piece Hall, Halifax, HX1 1RE","Piece Hall Admin Office, The Piece Hall, Halifax, HX1 1RE",68252752,2550,1201.05,04/04/2010
C,Setbray Properties Ltd,"Unit 7 Victoria Works, Victoria Road, Hebden Bridge, HX7 8JX","Suite 1 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",76560717,11000,5181,01/05/2010
I,,"18/20 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ","1 Glen View, Mytholm, Hebden Bridge, HX7 6DB",76408018,970,456.87,01/04/2011
C,Halifax Amateur Operatic Society,"64 Battinson Road, Halifax, HX1 4RW","329 Skircoat Green Road, Halifax, HX3 0LX",64176064,2950,1389.45,19/03/2011
C,Calderdale Mbc Markets Manager,"1ST, 2ND & 3RD Floors, 34 Market Street, Halifax, HX1 1PB","19 Albion Street, Halifax, HX1 1DU",65736739,4450,2095.95,01/04/2010
C,Assn Of Islamic Charitable Projects,"Second Floor, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN","Sunniyy Centre, Francis Street, Halifax, HX1 5JY",65104703,12500,5652,11/06/2010
C,Tia Greyhound & Lurcher Rescue,"3 Wragley House, Valley Road, Hebden Bridge, HX7 7BN","Moorside Farm, Coppy Nook Lane, Cragg Vale, Hebden Bridge, HX7 5RJ",76552747,4000,1884,01/04/2010
C,Units To Let [Northern] Ltd,"Unit 6 First Floor, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF","Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",77340743,620,292.02,16/02/2010
I,,"98 Parkinson Lane, Halifax, HX1 3QH","94 Parkinson Lane, Halifax, HX1 3QH",68224098,2325,1095.08,01/01/2010
C,Tubzee Ltd,"Unit 9 (1st Floor), Queens Road Mills, Gibbet Street, Halifax             HX1 4JX","180 Queens Road, Halifax, HX1 4LN",65164759,2425,1142.18,18/03/2010
C,Tubzee Ltd,"Unit 7/8, Queens Road Mills, Gibbet Street, Halifax             HX1 4JX","180 Queens Road, Halifax, HX1 4LN",65164756,3250,1530.75,18/03/2010
C,Binns & Sons (Greetland) Ltd,"Unit 1 Brian Royd Mills, Brian Royd Lane, Greetland, Halifax              HX4 8PE","Brian Royd Mills, Saddleworth Road, Greetland, Halifax, HX4 8NF",64873704,2075,977.33,01/05/2010
C,Halifax Opprtunities Trust Sure Start Project,"Office 1,2ND Floor Bond Mill, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",64242767,10500,4945.5,01/02/2010
C,Dean Clough Ltd,"Office Suite E 144, Dean Clough Mills, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",64788824,4200,1978.2,15/05/2010
C,Daniel Thwaites Plc,"17 Town Hall Street, Sowerby Bridge, HX6 2EA","Star Brewery, Penny Street, Blackburn, Lancs, BB1 6HL",77600017,3800,1789.8,13/04/2010
C,Humpty Dumpty [Halifax] Pre School,"New Hope Church, Warley Road, Halifax, HX2 0AD","New Hope Church, Warley Road, Halifax, HX2 0AD",69276710,157,73.95,01/02/2010
C,Community Foundation For Calderdale,"1ST Floor Southern End, The 1855 Building, Discovery Road, Halifax              HX1 2NG","The 1855 Building, 1st Floor , Southern End, Discovery Road, Halifax, HX1 2NG",64865701,11500,5416.5,14/05/2010
C,Dean Clough Ltd,"Office Suite T4, Dean Clough Mills, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",64296717,1550,730.05,18/01/2010
C,Bizspace Ltd,"Unit 10A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House,1 Albert Place, Finchley, London, N3 1QB",64628847,1150,541.65,01/04/2013
C,Calderdale Mbc Markets Manager,"3 Borough Market, Halifax, HX1 1DY","19 Albion Street, Halifax, HX1 1DU",64288003,3650,1719.15,01/04/2013
C,Ramesses Ltd,"Golden Lion Hotel, Fielden Square, Todmorden, OL14 6LZ","6 Lion House, 41 York Place, Leeds, West Yorkshire, LS1 2DR",78160700,10250,4669.03,13/04/2013
C,Bizspace Ltd,"Unit 10c, Calderdale Business Park, Club Lane, Halifax             HX2 8AX","Sovereign House, 1 Albert Place, Finchley, London, N3 1QB",64628749,960,452.16,01/04/2013
C,J C Bates & Sons Ltd,"Wellholme Garage, 1ST Floor, 74 Bradford Road, Brighouse            HD6 4AA","Wellholme Garage, Bradford Road, Brighouse, HD6 4AA",29080769,11500,4971.31,01/05/2013
I,,"77 Southgate, Elland, HX5 0EP","Flat Above, 77 Southgate, Elland, HX5 0EP",56224715,6800,2939.56,01/05/2013
C,Trustees Of Blakeboroughs Social And Sports Club,"Albion Bowling Club, R/O 143 Halifax Road, Brighouse, HD6 2ED","C/O 7 Denham Street, Brighouse, HD6 3BA",29296714,2025,953.78,28/11/2012
C,Dean Clough Foundation,"Office Suite D40, Dean Clough, Halifax, HX3 5AX","Office Suite D182, Dean Clough, Halifax, HX3 5AX",64778824,1650,777.15,01/03/2013
C,Dean Clough Ltd,"Office Suite D42, Dean Clough, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",64778825,1600,753.6,01/03/2013
C,Tap Water Project Ltd,"Hebble House, Old Gate, Hebden Bridge, HX7 6EN",,76416701,21500,1526.26,07/05/2013
C,Units To Let [Northern] Ltd,"Unit 11, Asquith Bottom Works, Asquith Bottom, Sowerby Bridge       HX6 3BS","Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",77024779,2500,1177.5,12/03/2013
C,Crossley Heath School Academy Trust Ltd,"Playing Fields, Birdcage Lane, Halifax, HX3 0JQ","Skircoat Moor Road, Halifax, HX3 0HG",64252700,850,400.35,01/01/2013
I,,"Unit 1 Tubend Ltd, Stanley Street, Sowerby Bridge, HX6 2AH","3 Upper Wood Nook, Norland, Sowerby Bridge, HX6 3RY",77544701,8300,1553.01,07/11/2013
C,Royds Properties Ltd,"First Floor, Unit 5 Wellington Mills, Quebec Street, Elland               HX5 9AS","Lea House, Spring Lane, New Mill, Huddersfield, HD9 7EH",56196751,10750,4217.06,01/06/2013
C,Dean Clough Ltd,"Office Suite D140, Dean Clough Mills, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",64778781,3800,1789.8,01/01/2013
C,Kino & Co,"Frmr Part Heritage Cashmere, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN","Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",65344972,6500,3061.5,31/03/2013
C,Hawkhead Bray & Son Ltd,"Unit 25, Phoebe Lane Industrial Est., Halifax, HX3 9EX","Unit 19a, Phoebe Lane Industrial Estate, Siddal, Halifax, HX3 9EX",68248714,950,447.45,01/03/2013
I,,"135 Gibraltar Road, Halifax, HX1 3UH","222 Roils Head Road, Norton Tower, Halifax, HX2 0NH",65168135,3400,1601.4,01/02/2013
I,,"Unit D, Old Fire Station Buildings, Elizabeth Street, Elland              HX5 0LD",,56076711,1675,788.93,01/02/2013
I,,"Peacock Inn, 46 Cote Hill, Burnley Road, Halifax              HX2 7LZ","Peacock Inn, 46 Cote Hill, Burnley Road, Halifax, HX2 7LZ",64692704,1,0.47,01/09/2012
C,Pbb Properties Ltd,"2ND Floor, Westfield, Sowerby New Road, Sowerby Bridge, HX6 3AS","Equitable House, 55 Pellon Lane, Halifax, HX1 5SP",77500717,1025,482.78,14/09/2012
C,Colt Enterprise [Calderdale] Ltd,"Unit 4/4A Bridgefield Mills, Elland Bridge, Elland, HX5 0SG","C/O Project Colt Mill, Bridgefield Mills, Elland, HX5 0SG",56080739,5500,2590.5,01/04/2010
C,Kino & Co,"Office 3.8, 1ST Floor, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN","Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",65344746,630,296.73,01/08/2012
C,Bizspace Ltd,"Unit 16K, Calderdale Buslness Park, Club Lane, Halifax              HX2 8AX","Sovereign House, 1 Albert Place, Finchley, London, N3 1QB",64628824,5200,1838.57,01/07/2013
I,,"161 King Cross Road, Halifax, HX1 3LN","159 King Cross Road, King Cross, Halifax, HX1 3LN",65516161,4800,2543.4,01/04/2013
C,Bizspace Ltd,"Unit 8G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House, 1 Albert Place, Finchley, London, N3 1QB",64628797,2750,972.32,01/07/2013
C,Calderdale Mbc,"2 The Colonnade, Piece Hall, Halifax, HX1 1RE","Land And Property Services, Westgate House, Westgate, Halifax, HX1 1PS",68252760,5000,2355,01/04/2013
C,Calderdale Mbc,"20 The Colonnade, Piece Hall, Halifax, HX1 1RE","Land And Property Services, Westgate House, Westgate, Halifax, HX1 1PS",68252731,2550,1201.05,01/03/2013
C,Calderdale Mbc,"49 Arcade, Piece Hall, Halifax, HX1 1RE","Land And Property Services, Westgate House, Westgate, Halifax, HX1 1PS",68252706,2500,1177.5,01/04/2013
C,Millcraft Associates,"Unit 2b Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ","Bridge Mill, St George's Square, Hebden Bridge, HX7 8ET",76256707,370,101.22,01/09/2013
C,W H Greenwood (Holdings) Ltd,"Telecommunication Mast, Site Ref H X 0002, Square Road, Halifax              HX1 1QG","9 Newlands Crescent, Halifax, HX3 7HU",68708718,7500,3532.5,14/04/2011
C,Standard Life Trustee Company Ltd,"14 Southgate, Elland, HX5 0BW","1 Colmore Squre, Birmingham, B4 6AJ",56224014,7000,3297,01/03/2013
I,,"Units 3A/3B Ripponden Mill, Mill Fold Lane, Ripponden, Sowerby Bridge       HX6 4DH","Pitts Farm, Cragg Vale, Hebden Bridge, HX7 5TX",77348759,2550,845.67,18/07/2013
I,,"Unit 3C Ripponden Mill, Mill Fold Lane, Ripponden, Sowerby Bridge       HX6 4DH","Pitts Farm, Cragg Vale, Hebden Bridge, HX7 5TX",77348760,1475,489.16,18/07/2013
I,,"Unit 4 (1) A, Ripponden Mill, Mill Fold Lane, Ripponden            HX6 4DH","Pitts Farm, Cragg Vale, Hebden Bridge, HX7 5TX",77348744,1100,364.8,18/07/2013
I,,"Unit 4 (I) B Ripponden Mill, Mill Fold Lane, Ripponden, Sowerby Bridge       HX6 4DJ","Pitts Farm, Cragg Vale, Hebden Bridge, HX7 5TX",77348746,1675,555.49,18/07/2013
I,,"Unit 4 (11), Ripponden Mill, Mill Fold Lane, Ripponden            HX6 4DH","Pitts Farm, Cragg Vale, Hebden Bridge, HX7 5TX",77348745,2950,978.33,18/07/2013
C,Millcraft Associates,"Unit 21a Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ","Bridge Mill, St George's Square, Hebden Bridge, HX7 8ET",76256724,1525,417.19,01/09/2013
I,,"342/344 Burnley Road, Todmorden, OL14 8EX","Scaitcliffe Mill House, Scaitcliffe, Todmorden, Lancs, OL14 7DQ",78076785,2125,556.65,10/09/2013
I,,"47/48 Stanningley Green, Hollins Lane, Mixenden, Halifax              HX2 8SJ","136 Skircoat Road, Halifax, HX1 2RE",68800700,2275,578.33,16/09/2013
C,Trustees Of Whiteleys Engineering,"Unit 3, Rishworth Business Complex, Rishworth, Sowerby Bridge       HX6 4EW","Attn Property Management A/C's, C/O Walker Singleton, Property House, Lister Lane, Halifax, HX1 5AS",77412737,3500,1291.7,19/06/2013
C,The Next Step Trust,"Ground Floor, 5B Clare Road, Halifax, HX1 2HX","Ground Floor, 162a King Cross Road, Halifax, HX1 3LN",64584780,9000,2822.13,01/08/2013
C,Calderdale Mbc Markets Manager,"40/42 Borough Market, Halifax, HX1 1DY","19 Albion Street, Halifax, HX1 1DU",64288705,9500,4400.95,07/04/2013
C,Frank Marshall Estates Ltd,"Unit 8 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA","C/O Eddisons, Pennine House, Russell Street, Leeds, LS1 5RN",29084831,5500,1291.7,01/10/2013
C,Calderdale Mbc Markets Manager,"44 Borough Market, Halifax, HX1 1DY","19 Albion Street, Halifax, HX1 1DU",64288044,1250,588.75,01/04/2013
C,J D Wetherspoon Plc,"8 Bethel Street, Brighouse, HD6 1JN","C/O B N P Paribas Real Estate, Attn Rating Support Unit, 9 Colmore Row, Birmingham, B3 2BJ",29048008,8100,1881.42,03/10/2013
C,Symphony Financial Advisors Ltd,"128 Bradford Road, Brighouse, HD6 4AU","126 Bradford Road, Brighouse, HD6 4AU",29080128,2550,799.6,01/08/2013
C,Tia Greyhound & Lurcher Rescue,"Unit 12C, Moderna Business Park, Burnley Road, Mytholmroyd          HX7 5QQ","Moorside Farm, Coppy Nook Lane, Cragg Vale, Hebden Bridge, HX7 5RJ",76088898,7800,2757.87,01/07/2013
C,Qudos Uk Ltd,"Preston House, 9 Clare Road, Halifax, HX1 2HX","Qudos Uk Ltd, Contacio, Leys Hill, Nr Ross On Wye, Herefordshire, HR9 5QU",64584009,9600,2254.61,01/10/2013
C,Calderdale Mbc Markets Manager,"Market Stall 128, Market Hall, Borough Market, Halifax             HX1 1DE","19 Albion Street, Halifax, HX1 1DU",64288806,1975,647.34,21/07/2013
C,Halifax Opportunities Trust,"Office 22, Hansonlane Enterprise Centre, Hanson Lane, Halifax              HX1 5PG","The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",65264791,3050,1078.4,01/07/2013
I,,"2 Martin House, Martin Street, Brighouse, HD6 1DA","457 Wakefield Road, Dalton, Huddersfield, HD5 8DA",29408700,1550,352.02,07/10/2013
C,Edgar Dickinson Properties Ltd,"Unit 71 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD","Walker Singleton, Property House, Lister Lane, Halifax, HX1 5DR",64344756,2900,1365.9,01/04/2013
C,Halifax Opportunities Trust,"Office 31 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","Elsie Whiteley Innovation Cent, Hopwood Lane, Halifax, HX1 5ER",64242728,1825,428.61,01/10/2013
I,,"240 Halifax Road, Ripponden, Sowerby Bridge, HX6 4BG","Brockley Hall, Brockley Green, Hundon, Suffolk, CO10 8DT",77240723,2375,652.79,31/08/2013
C,Polish Catholic Mission,"Stainleigh, Francis Street, Halifax, HX1 5JY","29 Edmund Street, Bradford, BD5 0BH",65104714,3650,1719.15,01/04/2011
I,,"5 Canal Street, Brighouse, HD6 1NR","15 Carlton Terrace, Saville Town, Dewsbury, WF12 9LD",29128005,7500,1625.92,15/10/2013
C,Community Foundation For Calderdale,"Office 2 First Floor, 5B Clare Road, Halifax, HX1 2HX","The 1855 Building, 1st Floor , Southern End, Discovery Road, Halifax, HX1 2NG",64584781,2350,1106.85,28/04/2012
I,,"First Floor, 2 Wards End, Halifax, HX1 1DD","2 Wards End, Halifax, HX1 1DD",69264746,4350,2048.85,06/05/2012
C,Viewstone Ltd,"Office 3, James Street Mills, South Lane, Elland               HX5 0HB","Pellon Lane Saw Mills, Pellon Lane, Pellon, Halifax, HX1 4PX",56220790,1725,812.48,21/01/2012
C,Westfield Properties,"24 Rochdale Road, Todmorden, OL14 7LD","1st Floor, 4 West Street, Todmorden, OL14 5HY",78400024,5600,281.83,21/02/2014
C,A T C Properties Ltd,"Suite 2A First Floor, Fountain Chambers, Fountain Street, Halifax              HX1 1LW","7 Cottage Road, Headingley, Leeds, LS6 4DD",65100715,1200,565.2,31/07/2011
C,Bradford City Centre Project,"2 Hinds Chambers, 18 Crossley Street, Halifax, HX1 1UG",,64748018,2025,953.78,04/04/2011
C,Calderdale Mbc Land & Property Services,"17 Northgate, Halifax, HX1 1UR","Westgate House, Westgate, Halifax, HX1 1PS",68096017,10250,4827.75,07/06/2011
C,Creative Support Ltd,"Iona House, 1 Iona Street, Boothtown, Halifax              HX3 6HX","5th Floor, Dale House, 35 Dale Street, Manchester, M1 2HF",65953001,4400,2072.4,02/05/2011
C,Kino & Co,"Office 3.7 First Floor, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN","Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",65344745,2050,965.55,01/04/2011
C,The Next Step Trust,"Clay House, Greetland, Halifax, HX4 8AN","Ground Floor, 162a King Cross Road, Halifax, HX1 3LN",68392713,7300,3438.3,01/09/2011
C,Director Of Safer & Stronger Communities,"Offices At Ellen Royd Clinic, Westgate, Elland, HX5 0BB","Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",56252704,7700,3626.7,30/09/2011
I,,"Office 8, Church View Office Centre, Elland Road, Ripponden            HX6 4DB","Chapelfield Mills, Elland Road, Ripponden, Sowerby Bridge, HX6 4DB",77196713,2050,965.55,31/03/2012
C,The Boothtown Partnership,"23 Boothtown Road, Halifax, HX3 6EU","15 Woodside View, Boothtown, Halifax, HX3 6EH",64284023,4000,1884,30/11/2011
C,Overgate Hospice,"1 Park Row, Brighouse, HD6 1AB","30 Hullen Edge Road, Elland, HX5 0QY",29456701,10500,4945.5,24/05/2012
C,Calderdale Mbc Community Services,"43 The Colonnade, Piece Hall, Halifax, HX1 1RE","Piece Hall Admin Office, The Piece Hall, Halifax, HX1 1RE",68252743,720,339.12,07/06/2012
C,Calderdale Mbc Community Services,"42 The Colonnade, Piece Hall, Halifax, HX1 1RE","Piece Hall Admin Office, The Piece Hall, Halifax, HX1 1RE",68252758,2550,1201.05,18/04/2012
