Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,CONTRACT TYPE,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44160,ocds-7hge34-NCCF40599,"Bus 6 - Feltwell to Iceni Academy, Methwold ",framework agreement,Children's Services ,,,"Bus 6 - Feltwell to Iceni Academy, Methwold ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,Coach Services Limited,,,67566,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44161,ocds-7hge34-NCCF40599,"Bus 7 - Feltwell to Iceni Academy, Methwold ",framework agreement,Children's Services ,,,"Bus 7 - Feltwell to Iceni Academy, Methwold ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,Coach Services Limited,,,67566,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44162,ocds-7hge34-NCCF40599,"Bus 8 - Foulden and Northwold to Iceni Academy, Methwold ",framework agreement,Children's Services ,,,"Bus 8 - Foulden and Northwold to Iceni Academy, Methwold ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,Coach Services Limited,,,67566,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44423,ocds-7hge34-NCCF40599,"Bus 9 - Northwold to Iceni Academy, Methwold ",framework agreement,Children's Services ,,,"Bus 9 - Northwold to Iceni Academy, Methwold ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,West Norfolk Community Transport Project,,,76197,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44044,ocds-7hge34-NCCF40599,"West Tofts and Lynford to Iceni Academy, Methwold and Mundford Primary School ",framework agreement,Children's Services ,,,"West Tofts and Lynford to Iceni Academy, Methwold and Mundford Primary School ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,A J Taxis PE33 0BF,,,592476,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44110,ocds-7hge34-NCCF40599,"Brandon Bank, Larmans Fen and Wissington to Iceni Academy, Methwold ",framework agreement,Children's Services ,,,"Brandon Bank, Larmans Fen and Wissington to Iceni Academy, Methwold ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,Bobs Taxis,,,66715,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44424,ocds-7hge34-NCCF40599,Foulden to Gooderstone Primary School ,framework agreement,Children's Services ,,,Foulden to Gooderstone Primary School ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,West Norfolk Community Transport Project,,,76197,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44112,ocds-7hge34-NCCF40599,"Brandon Bank and Feltwell to Edmund de Moundeford Primary School, Feltwell ",framework agreement,Children's Services ,,,"Brandon Bank and Feltwell to Edmund de Moundeford Primary School, Feltwell ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,Bobs Taxis,,,66715,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN43636,,Fakenham area to Sheringham Woodfields Special School ,single award contract,Children's Services ,,,Fakenham area to Sheringham Woodfields Special School ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,01/04/2014,31/08/2020,,31/07/2023,#VALUE!,Estimated,,Norse Transport,,,962790,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN43635,,"Reepham, Matlaske and Little Briningham  to Sheringham, Woodfields Special School  ",single award contract,Children's Services ,,,"Reepham, Matlaske and Little Briningham  to Sheringham, Woodfields Special School  ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,01/04/2014,31/08/2020,,31/07/2023,#VALUE!,Estimated,,Norse Transport,,,962790,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN43649,,"Bus 1 Hingham, Scoulton, Hardingham to Hingham Primary School ",single award contract,Children's Services ,,,"Bus 1 Hingham, Scoulton, Hardingham to Hingham Primary School ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,01/04/2014,31/07/2020,,31/12/2099,#VALUE!,Estimated,,Norse Transport,,,962790,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN43643,,"Cromer and Sheringham area to Sheringham, Woodfields Special school ",single award contract,Children's Services ,,,"Cromer and Sheringham area to Sheringham, Woodfields Special school ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,01/04/2014,31/08/2020,,31/07/2023,#VALUE!,Estimated,,Norse Transport,,,962790,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AON34145,ocds-7hge34-NCCT40004,Service 53 Beccles to Easton College ,single award contract,Community and Environmental Services,,,Service 53 Beccles to Easton College ,PASSENGER TRANSPORT.Local Bus,PASSENGER TRANSPORT,60100000,,,01/09/2014,31/07/2020,,05/09/2020,#VALUE!,Estimated,,Ambassador Travel (Anglia) Limited,,,66082,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AQN43687,,Service 58  - Harleston to Easton College ,single award contract,Community and Environmental Services,,,Service 58  - Harleston to Easton College ,PASSENGER TRANSPORT.Local Bus,PASSENGER TRANSPORT,60100000,,,01/09/2014,31/07/2020,,31/07/2020,#VALUE!,Estimated,,Ambassador Travel (Anglia) Limited,,,66082,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44030,ocds-7hge34-NCCF40600,Hilborough and Thetford to Eaton Hall Special School ,framework agreement,Children's Services ,,,Hilborough and Thetford to Eaton Hall Special School ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,Able Taxis Ltd,,,80467,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44403,ocds-7hge34-NCCF40600,Great Yarmouth and Norwich to Eaton Hall Special School ,framework agreement,Children's Services ,,,Great Yarmouth and Norwich to Eaton Hall Special School ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,24 x 7 Ltd,,,412122,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44189,ocds-7hge34-NCCF40600,Norwich (NR5) to Eaton Hall Special School ,framework agreement,Children's Services ,,,Norwich (NR5) to Eaton Hall Special School ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,Enterprise Private Hire Limited,,,68739,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44190,ocds-7hge34-NCCF40600,Taverham and Norwich (NR6 and NR3) to Eaton Hall Special School ,framework agreement,Children's Services ,,,Taverham and Norwich (NR6 and NR3) to Eaton Hall Special School ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,Enterprise Private Hire Limited,,,68739,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44191,ocds-7hge34-NCCF40600,"Warham, Fakenham and Sculthorpe to Eaton Hall Special School ",framework agreement,Children's Services ,,,"Warham, Fakenham and Sculthorpe to Eaton Hall Special School ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,Enterprise Private Hire Limited,,,68739,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44404,ocds-7hge34-NCCF40600,North Walsham and Horsford to Eaton Hall Special School ,framework agreement,Children's Services ,,,North Walsham and Horsford to Eaton Hall Special School ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,24 x 7 Ltd,,,412122,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44405,ocds-7hge34-NCCF40600,"Gimingham, Swafield and Happisburgh to Eaton Hall Special School ",framework agreement,Children's Services ,,,"Gimingham, Swafield and Happisburgh to Eaton Hall Special School ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,24 x 7 Ltd,,,412122,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44243,ocds-7hge34-NCCF40600,Islington and King's Lynn to Eaton Hall Special School ,framework agreement,Children's Services ,,,Islington and King's Lynn to Eaton Hall Special School ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,Goldstar Norwich Ltd,,,1175772,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44031,ocds-7hge34-NCCF40600,Shelfanger and Fritton to Eaton Hall Special School ,framework agreement,Children's Services ,,,Shelfanger and Fritton to Eaton Hall Special School ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2022,#VALUE!,Estimated,,Able Taxis Ltd,,,80467,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44407,ocds-7hge34-NCCF40600,Norwich to Hethersett High School ,framework agreement,Children's Services ,,,Norwich to Hethersett High School ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,24 x 7 Ltd,,,412122,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN43840,ocds-7hge34-NCCF40600,"Wendling, Dereham to Scarning Primary School ",framework agreement,Children's Services ,,,"Wendling, Dereham to Scarning Primary School ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Breckland Travel Ltd,,,177494,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN43852,ocds-7hge34-NCCF40600,"Horstead, Crostwick, Rackheath to Sprowston High ",framework agreement,Children's Services ,,,"Horstead, Crostwick, Rackheath to Sprowston High ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Enterprise Private Hire Limited,,,68739,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN43875,ocds-7hge34-NCCF40600,"Hingham, Suton and  Runhall to Wymondham High Academy and Silfield to Robert Kett Primary ",framework agreement,Children's Services ,,,"Hingham, Suton and  Runhall to Wymondham High Academy and Silfield to Robert Kett Primary ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Tan Cars,,,75273,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN43846,ocds-7hge34-NCCF40600,"North Lopham, Roudham and Bridgham to East Harling Primary School ",framework agreement,Children's Services ,,,"North Lopham, Roudham and Bridgham to East Harling Primary School ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2022,,31/07/2022,#VALUE!,Estimated,,Diss & District Community Trans Assc Limited,,,68270,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN43841,ocds-7hge34-NCCF40600,"Weeting and Hockwold to IES Breckland, Brandon ",framework agreement,Children's Services ,,,"Weeting and Hockwold to IES Breckland, Brandon ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2020,,31/07/2022,#VALUE!,Estimated,,Bobs Taxis,,,66715,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN43868,ocds-7hge34-NCCF40600,"Bus 8 Docking and Sedgeford to Smithdon High School, Hunstanton ",framework agreement,Children's Services ,,,"Bus 8 Docking and Sedgeford to Smithdon High School, Hunstanton ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,C PEELING & SONS,,,70440,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN43844,ocds-7hge34-NCCF40682,"Gorleston to St Andrews School, Aylmerton ",framework agreement,Children's Services ,,,"Gorleston to St Andrews School, Aylmerton ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,25/06/2014,31/07/2019,,31/07/2019,#VALUE!,Estimated,,Compass Travel Drifter Ltd,,,179609,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AUN45700,,Contract for purchase of ticket on OBHS bus from Thetford,single award contract,Children's Services ,,,Contract for purchase of ticket on OBHS bus from Thetford,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,01/06/2014,31/07/2018,,31/07/2099,#VALUE!,Estimated,,Old Buckenham High School,,,85518,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN43848,ocds-7hge34-NCCF40656,Transport for Douglas Bader Short Stay School and associated establishments ,framework agreement,Children's Services ,,,Transport for Douglas Bader Short Stay School and associated establishments ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,01/08/2014,31/07/2020,,31/07/2022,#VALUE!,Estimated,,Elite Cabs (payable to A J Bales),,,193755,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44231,ocds-7hge34-NCCF40601,Crimplesham and  Downham Market to Downham Market Academy and Wimbotsham and Stow School ,framework agreement,Children's Services ,,,Crimplesham and  Downham Market to Downham Market Academy and Wimbotsham and Stow School ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,G J Bishop Minicoach Hire,,,69182,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44361,ocds-7hge34-NCCF40601,West Winch and North Runcton to Middleton Primary School ,framework agreement,Children's Services ,,,West Winch and North Runcton to Middleton Primary School ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Station Taxis (Kings Lynn) Limited,,,74931,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44362,ocds-7hge34-NCCF40601,"King�s Lynn, Gayton and  Marham to Sheridan School, Northwold ",framework agreement,Children's Services ,,,"King�s Lynn, Gayton and  Marham to Sheridan School, Northwold ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2022,,31/07/2022,#VALUE!,Estimated,,Station Taxis (Kings Lynn) Limited,,,74931,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44172,ocds-7hge34-NCCF40601,"King�s Lynn, Hilborough, Swaffham and Gooderstone to The Nicholas Hamond Academy and Swaffham Infant and Junior Schools ",framework agreement,Children's Services ,,,"King�s Lynn, Hilborough, Swaffham and Gooderstone to The Nicholas Hamond Academy and Swaffham Infant and Junior Schools ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Pete's Private Hire,,,132885,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44365,ocds-7hge34-NCCF40601,"St Johns Fen End and Walpole St Andrew to Marshland High School, West Walton ",framework agreement,Children's Services ,,,"St Johns Fen End and Walpole St Andrew to Marshland High School, West Walton ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Station Taxis (Kings Lynn) Limited,,,74931,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44366,ocds-7hge34-NCCF40601,King�s Lynn and Rougham to Terrington St Clement Primary school ,framework agreement,Children's Services ,,,King�s Lynn and Rougham to Terrington St Clement Primary school ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Station Taxis (Kings Lynn) Limited,,,74931,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44102,ocds-7hge34-NCCF40601,"Shipdham to Northgate High School, Dereham ",framework agreement,Children's Services ,,,"Shipdham to Northgate High School, Dereham ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,31/07/2022,#VALUE!,Estimated,,Breckland Travel Ltd,,,177494,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,APN45828,ocds-7hge34-NCCQ40691,"Costessey, Queen's Hills to Ormiston Victory Academy, Costessey. Purchase of season tickets  ",single award contract,Children's Services ,,,"Costessey, Queen's Hills to Ormiston Victory Academy, Costessey. Purchase of season tickets  ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/07/2019,#VALUE!,Estimated,,First Eastern Counties Buses Limited,,,68966,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44140,ocds-7hge34-NCCF40699,"Tuckswood and Sprowston to City Academy, Norwich ",framework agreement,Children's Services ,,,"Tuckswood and Sprowston to City Academy, Norwich ",PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/08/2018,,31/08/2022,#VALUE!,Estimated,,Canary Express Taxis & Couriers Ltd,,,632549,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44195,ocds-7hge34-NCCF40699,Hethersett and Bowthorpe to Ormiston Victory Academy ,framework agreement,Children's Services ,,,Hethersett and Bowthorpe to Ormiston Victory Academy ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2019,,31/08/2019,#VALUE!,Estimated,,Enterprise Private Hire Limited,,,68739,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44346,ocds-7hge34-NCCF40699,Thetford to Norwich City College  Norwich ,framework agreement,Children's Services ,,,Thetford to Norwich City College  Norwich ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,24/08/2014,24/08/2018,,24/08/2022,#VALUE!,Estimated,,Robert Elliott t/a 7 Seater Taxi,,,1276765,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44142,ocds-7hge34-NCCF40699,"Norwich to the Compass Centre, Lingwood ",framework agreement,Children's Services ,,,"Norwich to the Compass Centre, Lingwood ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/07/2018,,24/08/2019,#VALUE!,Estimated,,Canary Express Taxis & Couriers Ltd,,,632549,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44035,ocds-7hge34-NCCF40699,"Diss and Dickleburgh (boarder) to Bramfield House School, Halesworth, Suffolk ",framework agreement,Children's Services ,,,"Diss and Dickleburgh (boarder) to Bramfield House School, Halesworth, Suffolk ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/08/2018,,31/08/2022,#VALUE!,Estimated,,Able Taxis Ltd,,,80467,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44395,ocds-7hge34-NCCF40699,"Great Yarmouth and Gorleston to Bramfield House School, Halesworth, Suffolk ",framework agreement,Children's Services ,,,"Great Yarmouth and Gorleston to Bramfield House School, Halesworth, Suffolk ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/08/2019,,31/08/2022,#VALUE!,Estimated,,SWIFT TAXIS & PRIVATE HIRE LTD,,,75093,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44051,ocds-7hge34-NCCF40699,"Norwich and Loddon to Bramfield House School, Halesworth, Suffolk ",framework agreement,Children's Services ,,,"Norwich and Loddon to Bramfield House School, Halesworth, Suffolk ",PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/08/2019,,31/08/2022,#VALUE!,Estimated,,Albies Ltd,,,2185106,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44229,ocds-7hge34-NCCF40699,Horsey to Martham Primary and Flegg High Schools ,framework agreement,Children's Services ,,,Horsey to Martham Primary and Flegg High Schools ,PASSENGER TRANSPORT.Education Mainstream,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/08/2020,,31/08/2022,#VALUE!,Estimated,,Feline Executive Travel,,,1249773,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44052,ocds-7hge34-NCCF40699,Gorleston and Gt Yarmouth to Lessingham All Saints School  ,framework agreement,Children's Services ,,,Gorleston and Gt Yarmouth to Lessingham All Saints School  ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/08/2018,,31/08/2022,#VALUE!,Estimated,,Albies Ltd,,,2185106,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44326,ocds-7hge34-NCCF40699,Mautby to Runham (feeder) and Runham to Ormesby ,framework agreement,Children's Services ,,,Mautby to Runham (feeder) and Runham to Ormesby ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/08/2020,,31/08/2022,#VALUE!,Estimated,,Reynolds Coaches,,,73902,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/04/2018,AMN44319,ocds-7hge34-NCCF40699,Tunstead and Lessingham (AM only)  to North Walsham and North Walsham to Aylsham High School  ,framework agreement,Children's Services ,,,Tunstead and Lessingham (AM only)  to North Walsham and North Walsham to Aylsham High School  ,PASSENGER TRANSPORT.Education  Special Needs,PASSENGER TRANSPORT,60100000,,,04/09/2014,31/08/2018,,31/08/2022,#VALUE!,Estimated,,Phoenix Taxis (NCH),,,73243,,,,Passenger Transport Procurement Team,ptprocurement@norfolk.gov.uk,
