ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No
ROCHDALE BOROUGH COUNCIL,14/07/2016,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,14/07/2016,1750,FEES / COMMISSION,V001027895
ROCHDALE BOROUGH COUNCIL,13/07/2016,EARLY HELP AND SCHOOLS,COSY TOES CHILDCARE LIMITED,13/07/2016,1240,DAY CARE,V001027900
ROCHDALE BOROUGH COUNCIL,08/07/2016,PHYSICAL DIS & OLDER PEOPLE,PRIESTLEYS JOINERS,08/07/2016,1678.1,ADAPTATIONS,V001027901
ROCHDALE BOROUGH COUNCIL,15/07/2016,BETTER CARE FUND POOLED BUDGET,THE PENNINE ACUTE HOSPITALS NHS TRUST,15/07/2016,460722.18,CONTRACTS,V001027912
ROCHDALE BOROUGH COUNCIL,08/07/2016,BETTER CARE FUND POOLED BUDGET,THE PENNINE ACUTE HOSPITALS NHS TRUST,08/07/2016,460722.18,CONTRACTS,V001027913
ROCHDALE BOROUGH COUNCIL,08/07/2016,BETTER CARE FUND POOLED BUDGET,THE PENNINE ACUTE HOSPITALS NHS TRUST,08/07/2016,921444.36,CONTRACTS,V001027914
ROCHDALE BOROUGH COUNCIL,15/07/2016,FINANCE SERVICES,TRIAD FABRICATIONS LIMITED,15/07/2016,3431,ELECTION MATERIALS,V001027915
ROCHDALE BOROUGH COUNCIL,15/07/2016,ECONOMY AND ENVIRONMENT,ENTERPRISE FLEX-E-RENT,15/07/2016,1120.62,TRANSACTIONS-EXPENDITURE,V001027922
ROCHDALE BOROUGH COUNCIL,08/07/2016,EARLY HELP AND SCHOOLS,WARDLE ACADEMY,08/07/2016,3516.15,SEN COSTS MET BY SCHOOLS,V001027949
ROCHDALE BOROUGH COUNCIL,08/07/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,08/07/2016,556.32,TRAVELLING GENERAL EXPENSES,V001027954
ROCHDALE BOROUGH COUNCIL,08/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,FORENSICS LTD,08/07/2016,3690,TOXICOLOGY PAYMENTS,V001027965
ROCHDALE BOROUGH COUNCIL,08/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,BENATAR CONSULTANTS LIMITED,08/07/2016,871.2,HISTOLOGY PAYMENTS,V001027966
ROCHDALE BOROUGH COUNCIL,08/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,BENATAR CONSULTANTS LIMITED,08/07/2016,1229,HISTOLOGY PAYMENTS,V001027966
ROCHDALE BOROUGH COUNCIL,13/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,KBP SERVICES LIMITED,13/07/2016,968,MEDICAL FEES,V001027969
ROCHDALE BOROUGH COUNCIL,13/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,KBP SERVICES LIMITED,13/07/2016,1583,HISTOLOGY PAYMENTS,V001027969
ROCHDALE BOROUGH COUNCIL,08/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,FORENSICS LTD,08/07/2016,1405,TOXICOLOGY PAYMENTS,V001027970
ROCHDALE BOROUGH COUNCIL,13/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,BARKATH LIMITED,13/07/2016,3376.8,MEDICAL FEES,V001027971
ROCHDALE BOROUGH COUNCIL,13/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,BARKATH LIMITED,13/07/2016,3828,HISTOLOGY PAYMENTS,V001027971
ROCHDALE BOROUGH COUNCIL,08/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,FORENSICS LTD,08/07/2016,650,TOXICOLOGY PAYMENTS,V001027972
ROCHDALE BOROUGH COUNCIL,08/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,BARKATH LIMITED,08/07/2016,2753.2,MEDICAL FEES,V001027973
ROCHDALE BOROUGH COUNCIL,08/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,BARKATH LIMITED,08/07/2016,3509,HISTOLOGY PAYMENTS,V001027973
ROCHDALE BOROUGH COUNCIL,20/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,STEPHEN BURKE,20/07/2016,1700,ENVIRONMENTAL WORKS LANDSCAPE,V001027978
ROCHDALE BOROUGH COUNCIL,20/07/2016,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,20/07/2016,3569.83,VOLUNTARY ASSOCIATIONS,V001027980
ROCHDALE BOROUGH COUNCIL,28/07/2016,CHILDREN’S SOCIAL CARE,CARITAS CARE LTD,28/07/2016,-6285.72,FOSTER PARENTS BASIC ALLOWANCE,V001027982
ROCHDALE BOROUGH COUNCIL,12/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,SSI SCHAEFER LIMITED,12/07/2016,12407.4,PURCHASE OF OTHER EQUIPMENT,V001027991
ROCHDALE BOROUGH COUNCIL,12/07/2016,ECONOMY DIRECTORATE,ROCHDALE ASSOCIATION FOOTBALL CLUB LTD,12/07/2016,1050,ACTIVITIES,V001027992
ROCHDALE BOROUGH COUNCIL,13/07/2016,FINANCE SERVICES,HEALTH MANAGEMENT LIMITED,13/07/2016,3083.93,OCCUPATIONAL HEALTH,V001028018
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,LUCY FAITHFULL FOUNDATION,11/07/2016,531,SERVICE LEVEL AGREEMENTS,V001028031
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,LUCY FAITHFULL FOUNDATION,11/07/2016,1242,SERVICE LEVEL AGREEMENTS,V001028032
ROCHDALE BOROUGH COUNCIL,20/07/2016,PROPERTY AND HIGHWAYS,FAIRWAY LANDSCAPES LTD,20/07/2016,1233.33,IMPROVEMENTS-MODERNISATION,V001028033
ROCHDALE BOROUGH COUNCIL,15/07/2016,PROPERTY AND HIGHWAYS,J C MILLS & SON LIMITED,15/07/2016,4868.66,IMPROVEMENTS-MODERNISATION,V001028034
ROCHDALE BOROUGH COUNCIL,15/07/2016,PROPERTY AND HIGHWAYS,NPOWER LIMITED,15/07/2016,72794.07,ELECTRICITY,V001028035
ROCHDALE BOROUGH COUNCIL,15/07/2016,PROPERTY AND HIGHWAYS,NPOWER LIMITED,15/07/2016,57064.61,ELECTRICITY,V001028036
ROCHDALE BOROUGH COUNCIL,15/07/2016,PROPERTY AND HIGHWAYS,BSI STANDARDS LIMITED,15/07/2016,1629,SUBSCRIPTIONS,V001028039
ROCHDALE BOROUGH COUNCIL,11/07/2016,PROPERTY AND HIGHWAYS,F W SHERRATT LTD,11/07/2016,1180.28,MAINTENANCE,V001028040
ROCHDALE BOROUGH COUNCIL,20/07/2016,PROPERTY AND HIGHWAYS,GROUNDWORK LANDSCAPES LIMITED,20/07/2016,24421.7,IMPROVEMENTS-MODERNISATION,V001028042
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARLTON MINIBUSES,11/07/2016,2070,TAXI HIRE,V001028044
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,DK MINIBUSES LTD,11/07/2016,1406,TAXI HIRE,V001028047
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,DK MINIBUSES LTD,11/07/2016,1415.88,TAXI HIRE,V001028047
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,ANDY HARROP,11/07/2016,2204,TAXI HIRE,V001028048
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,J AND S TRAVEL,11/07/2016,555,TAXI HIRE,V001028049
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,J AND S TRAVEL,11/07/2016,600,TAXI HIRE,V001028049
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,S P EXECUTIVE TRAVEL,11/07/2016,2280,TAXI HIRE,V001028050
ROCHDALE BOROUGH COUNCIL,11/07/2016,PROPERTY AND HIGHWAYS,PATROL,11/07/2016,1530.9,AGENCY,V001028054
ROCHDALE BOROUGH COUNCIL,11/07/2016,PROPERTY AND HIGHWAYS,E ON SUSTAINABLE ENERGY,11/07/2016,1711.52,PROPERTY - WORKS ELEMENT,V001028057
ROCHDALE BOROUGH COUNCIL,14/07/2016,PROPERTY AND HIGHWAYS,SIGNAGE SYSTEMS LTD,14/07/2016,1331.65,REPAIRS & ALTS OF BUILDINGS,V001028058
ROCHDALE BOROUGH COUNCIL,15/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,BAUER RADIO LTD,15/07/2016,1630,EVENTS,V001028061
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HARVEY  HOUSE SOCIAL ENTERPRISES LTD,11/07/2016,5124,CONTRACTED SERVICES,V001028066
ROCHDALE BOROUGH COUNCIL,15/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,INENCO GROUP LTD TA NIFES CONSULTING,15/07/2016,1990,SPECIFIED MAINTENANCE,V001028070
ROCHDALE BOROUGH COUNCIL,11/07/2016,PHYSICAL DIS & OLDER PEOPLE,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,11/07/2016,2179.3,SOCIAL SERVICES OTHER,V001028072
ROCHDALE BOROUGH COUNCIL,11/07/2016,PHYSICAL DIS & OLDER PEOPLE,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,11/07/2016,2339.38,SOCIAL SERVICES OTHER,V001028073
ROCHDALE BOROUGH COUNCIL,11/07/2016,PHYSICAL DIS & OLDER PEOPLE,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,11/07/2016,2220.16,SOCIAL SERVICES OTHER,V001028074
ROCHDALE BOROUGH COUNCIL,11/07/2016,PHYSICAL DIS & OLDER PEOPLE,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,11/07/2016,2298.52,SOCIAL SERVICES OTHER,V001028075
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,OASIS RECOVERY COMMUNITIES LTD,11/07/2016,528,CONTRACTED SERVICES,V001028076
ROCHDALE BOROUGH COUNCIL,15/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,ORCHARD  RECYCLING SERVICE LTD,15/07/2016,531.5,CONTRACTS,V001028077
ROCHDALE BOROUGH COUNCIL,15/07/2016,EARLY HELP AND SCHOOLS,OVER THE BREAK,15/07/2016,1011,EQUIPMENT - GENERAL,V001028079
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROYTON MINIBUSES LIMITED,11/07/2016,2160,TAXI HIRE,V001028081
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROYTON MINIBUSES LIMITED,11/07/2016,2160,TAXI HIRE,V001028081
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROYTON MINIBUSES LIMITED,11/07/2016,2280,TAXI HIRE,V001028081
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROYTON MINIBUSES LIMITED,11/07/2016,2280,TAXI HIRE,V001028081
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROYTON MINIBUSES LIMITED,11/07/2016,2280,TAXI HIRE,V001028081
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROYTON MINIBUSES LIMITED,11/07/2016,2280,TAXI HIRE,V001028081
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROYTON MINIBUSES LIMITED,11/07/2016,2280,TAXI HIRE,V001028081
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROYTON MINIBUSES LIMITED,11/07/2016,2280,TAXI HIRE,V001028081
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROYTON MINIBUSES LIMITED,11/07/2016,2280,TAXI HIRE,V001028081
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROYTON MINIBUSES LIMITED,11/07/2016,2470,TAXI HIRE,V001028081
ROCHDALE BOROUGH COUNCIL,15/07/2016,PHYSICAL DIS & OLDER PEOPLE,PROFESSIONAL PATHWAYS LIMITED,15/07/2016,590,TRAINING,V001028083
ROCHDALE BOROUGH COUNCIL,15/07/2016,ECONOMY DIRECTORATE,QUARTERBRIDGE PROJECT MANAGEMENT LTD,15/07/2016,1800,OTHER SURVEYS,V001028085
ROCHDALE BOROUGH COUNCIL,08/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,LOCO TALENT LTD,08/07/2016,500,PUBLICITY,V001028089
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,-835.24,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,509.9,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,509.92,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,514.04,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,522.99,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,PROPERTY AND HIGHWAYS,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,523.92,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,528.92,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,ECONOMY DIRECTORATE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,530.29,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,533.06,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,533.06,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,534.9,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,536.36,CAPITAL SALARIES,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,546.58,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,593.49,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,600.79,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,PROPERTY AND HIGHWAYS,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,621.68,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,641.58,CAPITAL SALARIES,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,641.59,CAPITAL SALARIES,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,652.3,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,659.23,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,659.71,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,659.71,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,659.71,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,663.64,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,678.09,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,678.23,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,703.14,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,PROPERTY AND HIGHWAYS,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,706.86,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,715.95,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,ECONOMY DIRECTORATE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,719.9,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,ECONOMY DIRECTORATE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,720.13,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,PROPERTY AND HIGHWAYS,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,734.4,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,PROPERTY AND HIGHWAYS,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,765.76,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,PROPERTY AND HIGHWAYS,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,765.77,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,783.94,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,PHYSICAL DIS & OLDER PEOPLE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,813.75,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,821.03,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,PROPERTY AND HIGHWAYS,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,830.83,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,835.39,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,838.48,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,PROPERTY AND HIGHWAYS,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,845.84,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,PROPERTY AND HIGHWAYS,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,845.84,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,870.81,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,902.41,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,PROPERTY AND HIGHWAYS,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,946.92,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,954.36,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,959.43,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,976.41,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1023.05,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1023.07,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1023.07,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1023.07,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1034.13,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1034.14,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1034.15,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1034.15,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1034.15,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1034.15,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1034.15,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,LEARNING DIS & MENTAL HEALTH,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1036.88,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1131,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1179.65,CAPITAL SALARIES,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1207.29,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1236.26,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1341.15,CAPITAL SALARIES,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1341.15,CAPITAL SALARIES,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1468.7,CAPITAL SALARIES,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1503.72,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1577.67,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,11/07/2016,CHILDREN’S SOCIAL CARE,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,1892.2,AGENCY STAFF,V001028102
ROCHDALE BOROUGH COUNCIL,15/07/2016,PROPERTY AND HIGHWAYS,ROAD SAFETY SERVICES LIMITED,15/07/2016,550,ROAD SAFETY,V001028103
ROCHDALE BOROUGH COUNCIL,15/07/2016,PROPERTY AND HIGHWAYS,ROAD SAFETY SERVICES LIMITED,15/07/2016,752,ROAD SAFETY,V001028104
ROCHDALE BOROUGH COUNCIL,15/07/2016,PROPERTY AND HIGHWAYS,ROAD SAFETY SERVICES LIMITED,15/07/2016,520,ROAD SAFETY,V001028106
ROCHDALE BOROUGH COUNCIL,15/07/2016,PROPERTY AND HIGHWAYS,ROAD SAFETY SERVICES LIMITED,15/07/2016,540,ROAD SAFETY,V001028107
ROCHDALE BOROUGH COUNCIL,12/07/2016,PROPERTY AND HIGHWAYS,THOMAS TELFORD LTD,12/07/2016,702,TRAINING,V001028108
ROCHDALE BOROUGH COUNCIL,22/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,J COONEY LTD,22/07/2016,1500,EQUIPMENT - GENERAL,V001028109
ROCHDALE BOROUGH COUNCIL,15/07/2016,ECONOMY DIRECTORATE,LIBERTY PENSIONS,15/07/2016,1984.7,LAND-ACQUISITION,V001028110
ROCHDALE BOROUGH COUNCIL,11/07/2016,NEIGHBOURHOODS AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,11/07/2016,509.9,AGENCY STAFF,V001028112
