UID,Client,Pro Class,Contract Title,Route to Market,Contract Type,Contract Start Date,Initial Contract Term (Months),Potential Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier,Supplier Type,Registered Company/ Charity Number,Postcode,Council Directorate
1175,Stockport Council,320000-  ,Aiming High 2015 Grant ,OJEU,Contract,01/04/2015,12,24,31/03/2016,Yes,31/03/2017,30/09/2016,,"£33,787.50",Stockport CP Together Trust ,VCSE,209782,SK8 1JE,
1175,Stockport Council,320000-  ,Aiming High 2015 Grant ,OJEU,Contract,01/04/2015,12,24,31/03/2016,Yes,31/03/2017,30/09/2016,,"£12,524.00",More Play More Often Community Interest Company,VCSE, 09083995,SK3 9RQ,
1175,Stockport Council,320000-  ,Aiming High 2015 Grant ,OJEU,Contract,01/04/2015,12,24,31/03/2016,Yes,31/03/2017,30/09/2016,"£14,289.93","£26,654.00",Autistic Society of Greater Manchester,SME,04326334,M32 0HL,
1177,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Support for Young Carers ,OJEU,Contract,01/04/2015,24,36,31/03/2017,No,31/03/2017,31/10/2016,"£108,000.00","£324,000.00",Signpost Stockport,SME,4176004,SK4 3LD,Stockport- Services to People
1190,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Budget Planning Software for Schools (Licence and S+M?),RFQ,Contract,01/04/2012,12,12,31/03/2016,No,31/03/2016,01/07/2015,"£45,000.00","£45,000.00",HCSS Education,SME,04863354,CO7 6LZ,Stockport- Corporate & Support Services
1203,Stockport Council,320000-  ,Alliance for Positive Relationships,OJEU,Contract,01/08/2015,36,60,31/07/2018,No,31/07/2018,30/01/2018,"£280,000.00","£1,400,000.00",Stockport Without Abuse Alliance,SME,3890735,SK1 3QP,Stockport- Services to People
1204,Stockport Council,320000-  ,Targeted Prevention Alliance,OJEU,Contract,01/08/2015,36,60,31/07/2018,No,31/07/2018,31/03/2018,"£1,500,000.00","£7,500,000.00",Stockport Homes ,Other,4521257,SK1 1NZ,Stockport- Services to People
1205,Stockport Council,"321010-Social Community Care Supplies & Services - Adult : Advice, Advocacy & Counselling Services : ",Stockport Advocacy Services ,Tender,Contract,01/04/2015,36,60,31/03/2018,No,31/03/2018,31/03/2018,"£200,000.00","£1,000,000.00",Stockport Advocacy Trust,SME,5274481,SK1 1EG,Stockport- Services to People
1207,Stockport Council,111200-Catering : Food & Beverages : ,Supply of Groceries Frozen and Chilled Food for SSK,OJEU,Contract,01/04/2015,24,48,31/03/2017,No,31/03/2019,01/09/2016,"£545,000.00","£2,180,000.00",Hannah Foodservice,SME,4400237,WN8 9UB,Solutions SK
1214,Stockport Council,SOCIAL CARE SERVICES : Adult,Mini comp supported living - 103.6 (Phase 4),Mini Competition,Contract,30/07/2015,36,48,29/07/2018,No,29/07/2019,30/04/2018,"£287,542.00","£1,150,168.00",United Response,VCSE,265249,WN7 3XJ,Stockport- Services to People
1223,Stockport Council,201900-Financial Services : Refund : ,Meridian audit,Call Off,Contract,01/04/2015,12,12,31/03/2016,No,31/03/2016,01/12/2015,TBC by Meridan- based on savings,TBC by Meridan- based on savings,Meridian Cost Benefit Limited (trading as Recovery Audit),SME,04775740,AL4 0PG,Stockport- Corporate & Support Services
1230,Stockport Council,SOCIAL CARE SERVICES : Adult,Babyclear,Exemption,Contract,01/04/2015,12,12,31/03/2016,No,31/03/2016,30/11/2015,"£21,147.52","£21,147.52",Wates Construction Ltd,SME,1977948,KT227SW,Stockport- Services to People
1250,Stockport Council,151510-Healthcare : Public Health : ,Restorative Practice Training for whole Social care Workforce,Tender,Contract,01/06/2015,24,24,31/03/2017,No,31/03/2017,05/07/2016,"£78,000.00","£156,000.00",Mark Finnis Training and Consultancy Ltd,SME,8477529,HU55RY,Stockport- Services to People
1255,Stockport Council,321119-Social Community Care Supplies & Services - Children : Youth Services : Youth Offending Services,Restorative Services to the Youth Offending Service 2016/17,Tender,Contract,01/04/2016,36,36,31/03/2019,No,31/03/2019,31/03/2018,"£39,896.00","£119,688.00",Remedi,SME,1063359,EC4R 2GA,Stockport- Services to People
1258,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,ERP System,RFQ,Contract,02/02/2010,72,72,01/02/2016,No,01/02/2016,31/10/2015,"£104,000.00","£624,000.00",SAP,Other,02152073,TW14 8HD,Stockport- Corporate & Support Services
1259,Stockport Council,"391100-Works - Construction, Repair & Maintenance : Buildings : ",Redrock Stockport Construction Scheme,Mini Competition,Framework Agreement,01/09/2015,18,18,01/10/2016,No,01/10/2016,01/08/2016,"£16,666,666.00","£24,999,999.00",Wates Construction Ltd,Other,1977948,KT227SW,Stockport- Services to Place
1263,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,MIDLAND I TRENT,Tender,Contract,06/01/2010,84,84,05/01/2017,No,05/01/2017,26/01/2015,£0.00,£0.00,Print & Media Certification Ltd,SME,08099611,B79 9DZ,Stockport- Corporate & Support Services
1275,Stockport Council,351000-Street & Traffic Management : Parking : Car Parks,Redrock Car Park Management ,OJEU,Contract,01/11/2015,48,84,31/10/2019,No,31/10/2022,01/07/2019,"£400,000.00","£2,800,000.00",National Car Parks Ltd (NCP),SME,253240,EC1N 8XA,Stockport- Services to Place
1279,Stockport Council,361300-Public Transport : Passenger Transport : ,School Swimming Transport ,Tender,Contract,07/09/2015,12,12,26/07/2016,No,26/07/2016,26/01/2016,"£105,000.00","£105,000.00",Belle Vue Manchester Ltd,SME,3272014,SK4 5DZ,Stockport- Services to Place
1283,Stockport Council,381200-Vehicle Management : Heavy Construction Equipment : Leasing,Specialist Vehicles and Plant,OJEU,Framework Agreement,04/02/2015,24,24,03/02/2017,No,03/02/2018,30/08/2016,"£230,000.00","£460,000.00",Arnold Plant Hire Ltd ,SME,570639918,SK6 2SN,Solutions SK
1303,Stockport Council,"391310-Works - Construction, Repair & Maintenance : Open Spaces : Construction",Alexandra Skate Park Project,Tender,Contract,30/06/2016,6,6,31/12/2016,No,31/12/2016,01/12/2016,"£140,000.00","£70,000.00",Bendcrete Leisure Ltd.,SME,3220846,SK15 1ST,Stockport- Services to Place
1314,Stockport Council,SOCIAL CARE SERVICES : Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 1,OJEU,Contract,01/10/2015,36,60,30/09/2018,Yes,30/09/2019,30/03/2018,"£300,000.00","£1,500,000.00",Age UK,SME,1139547,SK1 3AQ,Stockport- Services to People
1315,Stockport Council,SOCIAL CARE SERVICES : Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 2,OJEU,Contract,01/10/2015,36,60,30/09/2018,Yes,30/09/2019,30/03/2018,"£300,000.00","£1,500,000.00",Pure Innovations,SME,1111252,SK3 0RF ,Stockport- Services to People
1316,Stockport Council,SOCIAL CARE SERVICES : Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 3,OJEU,Contract,01/10/2015,36,60,30/09/2018,Yes,30/09/2019,30/03/2018,"£120,000.00","£600,000.00",Stockport Car Scheme,SME,1091546,SK4 3LD,Stockport- Services to People
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,"£4,000,000.00","£16,000,000.00",Various,Various,Various,Various,Stockport- Services to Place
1324,Stockport Council,271300-Information Communication Technology : Services : Maintenance & Support,SIMS Annual Entiltement (including LA Charge and Additional Module Maintenance),Call Off,Contract,01/04/2015,48,84,31/03/2019,No,31/03/2019,31/10/2018,"£125,176.50","£876,235.50",Capita Business Services Ltd,Other,02299747,SW1H 0XA,Stockport- Corporate & Support Services
1327,Stockport Council,191000-Facilities & Management Services : Advertising : ,Management & Promotion of Stockport Town Centre Managed Sites,Tender,Contract,12/02/2016,12,48,11/02/2017,No,11/02/2020,01/11/2016,"£20,000.00","£80,000.00",PinPointer Ltd ,SME,5196344,M3 5EJ,Stockport- Corporate & Support Services
1330,Stockport Council,191600-Facilities & Management Services : Printing : ,Elections and Registration Printing ,Tender,Contract,08/01/2015,24,48,07/01/2017,No,07/01/2019,01/06/2016,"£26,678.00","£106,712.00",Electoral Reform Services Ltd ,SME,2263092,N8 0NW,Stockport- Corporate & Support Services
1333,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living for Adults with a Learning Disability - Contract 103.5 (Phase 3),Mini Competition,Contract,13/04/2015,36,48,12/04/2018,No,12/04/2019,12/01/2018,"£339,744.76","£1,358,979.04",Creative Support,VCSE,27440R,M1 2HF,Stockport- Services to People
1335,Stockport Council,151000-Consultancy : Business : ,Library Service re-design,RFQ,Contract,01/10/2015,15,15,31/12/2016,No,31/12/2016,01/12/2016,"£30,000.00","£37,500.00",Shared Intelligence,SME,3943980,WC1X 0GB,Stockport- Corporate & Support Services
1352,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with an LD - 103.4 (Phase 2),Mini Competition,Contract,26/01/2015,36,48,25/01/2018,No,25/01/2019,01/09/2017,"£364,853.00","£1,459,412.00",Choice Support,VCSE,298149,SK5 6DA,Stockport- Services to People
1366,Stockport Council,191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,OJEU,Framework Agreement,01/11/2015,24,24,31/10/2017,No,31/10/2019,01/03/2017,"£50,000.00","£100,000.00",Fire Protection Association Firesec NW Ltd             Oakleaf                               BB7,SME,3806681,GL56 ORH,Stockport- Services to Place
1367,Stockport Council,201800-Financial Services : Insurance : ,Insurance Advisory and Broking Service,Call Off (External),Contract,01/01/2016,36,60,31/12/2018,No,31/12/2020,01/08/2018,"£14,000.00","£70,000.00",Arthur J Gallagher ,Other,08887139,M3 5AG,Stockport- Corporate & Support Services
1378,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for Contract 103.7 (Phase 5),Mini Competition,Contract,01/12/2015,36,48,30/11/2018,No,30/11/2019,01/09/2018,"£214,766.76","£859,067.04",Home Focus,VCSE,2147139,M30 0DL,Stockport- Services to People
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,36,28/02/2019,No,28/02/2019,01/03/2018,"£600,000.00","£1,800,000.00",Various,Various,Various,Various,Stockport- Services to People
1415,Stockport Council,191000-Facilities & Management Services : Advertising : ,Provision of an Advertising Service on agreed sites in the Borough of Trafford and/or Stockport,Tender,Contract,01/12/2015,24,48,30/11/2017,No,30/11/2019,30/11/2018,n/a income,n/a income,Marketing Force Limited,Other,3744053,SL9 7PZ,Stockport- Corporate & Support Services
1423,Stockport Council,201800-Financial Services : Insurance : ,Terrorism Insurance Cover - Stockport Council ,RFQ,Contract,29/11/2015,12,12,28/11/2016,No,28/11/2017,01/08/2016,"£42,900.00","£42,900.00",Ark Syndicate Management Ltd,SME,05887810,EC3M 3AD,Stockport- Corporate & Support Services
1444,Stockport Council,371000-Utilities : Electricity : ,"UMS, HH & NHH: 'Electricity for: Houldsworth Business and Arts Centre (HH), Street Lighting (HH-UMS), and Feeder Pillar Station Road (NHH)",Call Off,Contract,01/04/2015,48,48,31/03/2019,No,31/03/2019,01/04/2018,"£454,047.00","£1,816,188.00",Npower,Other,03653277,SN5 6PB,Stockport- Corporate & Support Services
1453,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance", Framework for Construction Works and Highways Maintenace Services and Support,OJEU,Framework Agreement,01/10/2015,24,48,30/09/2017,No,30/09/2017,31/03/2017,"£450,000.00","£1,800,000.00",Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to Place
1453,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance", Framework for Construction Works and Highways Maintenace Services and Support,OJEU,Framework Agreement,02/10/2015,24,48,01/10/2017,No,30/09/2017,31/03/2017,,,JPCS,SME,2776886,SY14 8LU,Stockport- Services to Place
1453,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance", Framework for Construction Works and Highways Maintenace Services and Support,OJEU,Framework Agreement,03/10/2015,24,48,02/10/2017,No,30/09/2017,31/03/2017,,,J Hopkins (contractors) Ltd,SME,1112562,M17 1LP,Stockport- Services to Place
1453,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance", Framework for Construction Works and Highways Maintenace Services and Support,OJEU,Framework Agreement,04/10/2015,24,48,03/10/2017,No,30/09/2017,31/03/2017,,,Eric Wright Civil Engineering Ltd,SME,2565379,PR5 6AW,Stockport- Services to Place
1453,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance", Framework for Construction Works and Highways Maintenace Services and Support,OJEU,Framework Agreement,05/10/2015,24,48,04/10/2017,No,30/09/2017,31/03/2017,,, Dowhigh Limited,SME,1210665, L30 6UH,Stockport- Services to Place
1453,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance", Framework for Construction Works and Highways Maintenace Services and Support,OJEU,Framework Agreement,06/10/2015,24,48,05/10/2017,No,30/09/2017,31/03/2017,,,Bramhall Surfacing Ltd,SME,3703545, SK4 1NN,Stockport- Services to Place
1464,Stockport Council,371100-Utilities : Gas : ,Gas,Call Off,Contract,01/09/2015,12,12,01/09/2016,No,01/09/2016,02/02/2015,"£925,000.00","£925,000.00",Corona Energy,Other,0324 1012,WD17 1JW,Stockport- Corporate & Support Services
1465,Stockport Council,371000-Utilities : Electricity : ,NHH Electricity,Call Off,Contract,01/09/2015,12,12,30/09/2016,No,30/09/2016,01/10/2015,"£1,093,321.00","£1,093,321.00",Scottish & Southern Electric Plc,Other,SC/17/19,PH1 3AQ,Stockport- Corporate & Support Services
1466,Stockport Council,371000-Utilities : Electricity : ,HH Electricity,Call Off,Contract,01/11/2015,10,10,31/08/2016,No,31/08/2016,02/02/2015,"£1,247,507.00","£1,039,589.17",Npower,Other,3653277,SN5 6PB,Stockport- Corporate & Support Services
1571,Stockport Council,152100-Consultancy : Strategic Planning : ,External Provision of Planning Consultancy Services,RFQ,Contract,20/06/2016,36,36,19/06/2019,No,19/06/2019,20/06/2017,"£8,333.00","£24,999.00",Hollissvincent,SME,110580459,M3 1SQ,Place / CSS
1578,Stockport Council,Social Care Services: Adults,Carer Support Service (Supporting MH Recovery),OJEU,Contract,01/11/2015,29,53,31/03/2018,No,31/03/2018,01/03/2017,"£57,245.00","£252,832.08",Stockport & District Mind,VCSE,5879337,SK1 3NP,Stockport- Services to People
1595,Stockport Council,271501-Information Communication Technology : Services : ,Integrated Library Management system,Call Off,Contract,01/04/2013,48,48,31/03/2017,No,31/03/2017,01/09/2016,"£20,500.00","£82,000.00",Civica UK Ltd,Other,01628868,SW15 6AR,Stockport- Corporate & Support Services
1612,Stockport Council,271700-Information Communication Technology : Telecommunications : Fixed,WAN & PSTN Lines,Mini Competition,Contract,01/12/2015,24,24,30/11/2017,No,30/11/2017,30/06/2017,£0.00,£0.00,Virgin Media,Other,01785381,RG27 9UP,Stockport- Corporate & Support Services
1615,Stockport Council,361300-Public Transport : Passenger Transport : ,Adult Social Care Assisted Transport - Ad Hoc,RFQ,Contract,25/01/2016,12,12,16/01/2017,No,16/01/2017,01/09/2017,"£21,000.00","£21,000.00",Metro Taxis,SME,01238781,SK4 1DN,Stockport- Corporate & Support Services
1617,Stockport Council,261520-Human Resources : Training & Conferences : Training,Counter Terrorism Training,Exemption,Contract,14/12/2015,39,39,31/03/2019,No,31/03/2019,31/03/2019,"£5,400.00","£17,550.00",Mobedia,SME,05593917,SK9 7BQ,Stockport- Services to People
1630,Stockport Council,131311-Cleaning & Janitorial : Laundry Service : ,Laundry Service Recommission,RFQ,Contract,18/01/2016,6,6,18/07/2016,No,18/07/2016,15/07/2016,"£20,000.00","£10,000.00",Impressed Laundry,SME,4205228,M29 8DD,Stockport- Corporate & Support Services
1631,Stockport Council,261517-Information Communication Technology : Services : Consultancy,Digital by Design - Programme Direction and Advisory Support,Mini Competition,Contract,11/04/2016,20,20,31/01/2018,No,31/01/2018,31/01/2018,"£400,000.00","£400,000.00",PricewaterhouseCoopers LLP,Other,OC303525,M2 3PW,Stockport- Corporate & Support Services
1634,Stockport Council,201300-Financial Services : Cash Collection : ,Bailiff Services,Call Off,Contract,01/11/2014,36,60,31/10/2017,No,31/10/2019,31/10/2016,nil,nil,Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Corporate & Support Services
1634,Stockport Council,201300-Financial Services : Cash Collection : ,Bailiff Services,Call Off,Contract,01/11/2014,36,60,31/10/2017,No,31/10/2019,31/10/2016,nil,nil,Jacobs,Other,07923864,CH414PE,Stockport- Corporate & Support Services
1634,Stockport Council,201300-Financial Services : Cash Collection : ,Bailiff Services,Call Off,Contract,01/11/2014,36,60,31/10/2017,No,31/10/2019,31/10/2016,nil,nil,Rossendales,Other,05070065,BB4 4NB,Stockport- Corporate & Support Services
1634,Stockport Council,201300-Financial Services : Cash Collection : ,Bailiff Services,Call Off,Contract,01/11/2014,36,60,31/10/2017,No,31/10/2019,31/10/2016,nil,nil,Equita,SME,316 8371,NN1 4BZ,Stockport- Corporate & Support Services
1634,Stockport Council,201300-Financial Services : Cash Collection : ,Bailiff Services,Call Off,Contract,01/11/2014,36,60,31/10/2017,No,31/10/2019,31/10/2016,nil,nil,Phoenix,Other,3753408,CR0 2LX,Stockport- Corporate & Support Services
2241,Stockport Council,152200-Consultancy : Technical & Feasibility : ,"Open Space, sport and recreation assessment and audit",RFQ,Contract,23/03/2016,7,9,31/10/2016,No,31/12/2016,01/10/2016,"£29,650.00","£29,650.00","Knight, Kavanagh & Page ",Other,9145032,BL9 0UF,Stockport- Corporate & Support Services
2261,Stockport Council,211200-Furniture & Soft Furnishings : Office Furniture : ,Furniture Re-Use Scheme ,RFQ,Contract,01/04/2016,12,24,31/03/2017,No,31/03/2018,01/01/2017,"£21,393.00","£42,786.00",The Furniture Station ,SME,4680660,SK7 4EP ,Stockport- Corporate & Support Services
2268,Stockport Council,271400-Information Communication Technology : Office & Reprographics Equipment : ,SAP Maintenance & Support,Exemption,Contract,01/01/2016,12,12,31/12/2016,No,31/12/2016,31/08/2016,"£106,000.00","£106,000.00",SAP UK Ltd,Other,2152073,TW14 8HD,Stockport- Corporate & Support Services
2272,Stockport Council,211100-Furniture & Soft Furnishings : Domestic Furniture : ,Bramall Hall: Display Carpet Case,RFQ,Contract,15/03/2016,4,4,31/07/2016,No,31/07/2016,N/A- One off contract,"£20,000.00","£20,000.00",24 design Ltd,SME,4804214,S11 8TD,Stockport- Services to Place
2282,Stockport Council,181900-Environmental Services : Testing & Inspection : ,Food Hygiene Inspections,Tender,Contract,01/04/2016,8,8,31/12/2016,No,31/12/2016,01/11/2016,"£55,000.00","£36,666.67",Osborne Richardson,SME,8083302,EC3A 5AR,Environmental Health & Trading Standards
2293,Stockport Council,401102-Social Community Care Supplies & Services - Children : Disabled Children : Short Overnight Breaks,Respite Services for Children with Disabilities - Lot 1 ,OJEU,Framework Agreement,01/04/2016,24,36,31/03/2018,No,31/03/2018,31/10/2017,"£500,000.00","£1,500,000.00",EAM - 07910045   Birtenshaw - 02978546 Seashell - 4216714 Fairfield - 03607854 Together Trust - 0301722,VCSE,EAM - 07910045   Birtenshaw - 02978546 Seashell - 4216714 Fairfield - 03607854 Together Trust - 0301722,EAM - M31 4DJ              Together Trust - SK8 1JE Seahsell Trust SK8 6RQ,Stockport- Services to People
2294,Stockport Council,401199-Social Community Care Supplies & Services - Children : Disabled Children : Not Elsewhere Classified,Respite Services for Children with Disabilities - Lot 2,OJEU,Framework Agreement,01/04/2016,24,36,31/03/2018,No,31/03/2018,31/10/2017,"£500,000.00","£1,500,000.00",Various - See Supplier Tab,Various - See Supplier Tab,Various - See Supplier Tab,Various - See Supplier Tab,Stockport- Services to People
2294,Stockport Council,401199-Social Community Care Supplies & Services - Children : Disabled Children : Not Elsewhere Classified,Respite Services for Children with Disabilities - Lot 3,OJEU,Framework Agreement,02/04/2016,24,36,01/04/2018,No,31/03/2018,31/10/2017,na,na,Crossroads Fairfield ,Other,NI030717,M333HP,Stockport- Services to People
2294,Stockport Council,401199-Social Community Care Supplies & Services - Children : Disabled Children : Not Elsewhere Classified,Respite Services for Children with Disabilities - Lot 4,OJEU,Framework Agreement,03/04/2016,24,36,02/04/2018,No,31/03/2018,31/10/2017,na,na,HG Care,SME,04626258,SK43GN,Stockport- Services to People
2294,Stockport Council,401199-Social Community Care Supplies & Services - Children : Disabled Children : Not Elsewhere Classified,Respite Services for Children with Disabilities - Lot 5,OJEU,Framework Agreement,04/04/2016,24,36,03/04/2018,No,31/03/2018,31/10/2017,na,na,Rainbow Trust,VCSE,1070532,OL8 4QQ,Stockport- Services to People
2294,Stockport Council,401199-Social Community Care Supplies & Services - Children : Disabled Children : Not Elsewhere Classified,Respite Services for Children with Disabilities - Lot 6,OJEU,Framework Agreement,05/04/2016,24,36,04/04/2018,No,31/03/2018,31/10/2017,na,na,Stockport CP Together Trust ,VCSE,209782,SK8 1JE,Stockport- Services to People
2294,Stockport Council,401199-Social Community Care Supplies & Services - Children : Disabled Children : Not Elsewhere Classified,Respite Services for Children with Disabilities - Lot 7,OJEU,Framework Agreement,06/04/2016,24,36,05/04/2018,No,31/03/2018,31/10/2017,na,na,INDEPENDENT OPTIONS (NORTH WEST),SME,"Company: 02560910
Charity: 1022680
",SK75PE,Stockport- Services to People
2302,Stockport Council,271510-Information Communication Technology : Services : Application Service Provision,"Provision of a System for Public Safety and Protection, Planning, Building Control and Land Charges’ (Divided into 2 Lots) Utilising the CCS Framework RM1059 Lot 3",Tender,Framework Agreement,01/04/2016,36,48,31/03/2019,No,31/03/2019,01/10/2018,"£42,000.00","£168,000.00",Idox,Other,2933889,RG7 4SA,Stockport- Corporate & Support Services
2303,Stockport Council,271510-Information Communication Technology : Services : Application Service Provision,Provision of a Management Information System for Stockport Continuing Education Service,Tender,Contract,01/04/2016,24,36,31/03/2018,No,31/03/2018,01/10/2017,"£16,100.00","£48,300.00",West March Systems Ltd,SME,6245182,CA1 2SQ,Stockport- Corporate & Support Services
2304,Stockport Council,271510-Information Communication Technology : Services : Application Service Provision,For The Provision of an Education Management Information and Case Management System ,OJEU,Contract,01/04/2016,60,108,31/03/2021,No,31/03/2021,01/10/2020,TBC,TBC,Tribal Education Limited,Other,04163300,BS2 0HQ,Stockport- Corporate & Support Services
2305,Stockport Council,271400-Information Communication Technology : Office & Reprographics Equipment : ,Pecos Support & Maintenance,Exemption,Contract,01/12/2015,13,13,31/12/2016,No,31/12/2016,01/07/2016,"£65,000.00","£70,416.67",Elcom Systems Ltd,Other,2838561,N1C 4AX,Stockport- Corporate & Support Services
2319,Stockport Council,271440-Information Communication Technology : Software : ,Pecos Support & Maintenance,Exemption,Contract,01/12/2015,12,12,31/12/2016,No,31/12/2016,01/06/2016,"£65,000.00","£65,000.00",Elcom Systems Ltd,SME,2838561,N1C 4AX,Stockport- Corporate & Support Services
3007,Stockport Council,271300-Information Communication Technology : Services : Maintenance & Support,Coroner’s case management system,Call Off (External),Framework Agreement,01/04/2016,36,36,31/03/2019,No,31/03/2019,01/10/2018,"£5,200.00","£15,600.00",Civica,Other,1628868,SW15 6AR,Stockport- Corporate & Support Services
3011,Stockport Council,231500-Highway Equipment & Materials : Paving & Kerbstones : ,Kerbs & Flags ,Mini Competition (External),Framework Agreement,14/11/2015,31,31,30/06/2018,No,30/06/2018,31/03/2017,"£41,527.38","£107,279.07",YPO Framework various,Various- See supplier Tab,Various- See supplier Tab,Various- See supplier Tab,Solution SK
3011,Stockport Council,231500-Highway Equipment & Materials : Paving & Kerbstones : ,Kerbs & Flags ,Mini Competition (External),Framework Agreement,15/11/2015,31,31,01/07/2018,No,30/06/2018,31/03/2017,na,na,Marshalls Street Furniture,Other,04780606,HX5 9HT,Solution SK
3011,Stockport Council,231500-Highway Equipment & Materials : Paving & Kerbstones : ,Kerbs & Flags ,Mini Competition (External),Framework Agreement,16/11/2015,31,31,02/07/2018,No,30/06/2018,31/03/2017,na,na,Jewson Ltd,Other,348407,CV3 2TT,Solution SK
3011,Stockport Council,231500-Highway Equipment & Materials : Paving & Kerbstones : ,Kerbs & Flags ,Mini Competition (External),Framework Agreement,17/11/2015,31,31,03/07/2018,No,30/06/2018,31/03/2017,na,na,Aggregate Industries UK Ltd,Other,5655952,LS10 2RJ,Solution SK
3011,Stockport Council,231500-Highway Equipment & Materials : Paving & Kerbstones : ,Kerbs & Flags ,Mini Competition (External),Framework Agreement,18/11/2015,31,31,04/07/2018,No,30/06/2018,31/03/2017,na,na,Travis Perkins Managed Services,Other,00824821,NN5 7UG,Solution SK
3018,Stockport Council,151000-Consultancy : Business : ,CSS Business Development and Marketing Support ,Mini Competition (External),Contract,16/05/2016,6,6,31/10/2016,No,31/10/2016,31/10/2016,"£86,996.00","£86,996.00",KPMG LLP (UK),Other,OC301540,B4 6GH,Stockport- Corporate & Support Services
3019,Stockport Council,261517-Information Communication Technology : Services : Consultancy,Digital by Design - Delivery ,Mini Competition (External),Contract,18/03/2016,6,6,03/01/2017,No,03/01/2017,03/01/2017,"£1,800,000.00","£1,800,000.00",ThoughtWorks Ltd ,Other,4091535,M1 4BD,Stockport- Corporate & Support Services
3020,Stockport Council,321115-Social Community Care Supplies & Services - Children : Community Based Services : Childcare Services,Young People's Youth Club ,RFQ,Contract,01/04/2016,12,24,31/03/2017,No,31/03/2018,30/09/2016,"£8,000.00","£16,000.00",Pure Innovations,Other,1111252,SK3 0RF,Stockport- Services to People
3021,Stockport Council,269999-Human Resources : Not Elsewhere Classified : ,Occupational Health Service,Call Off (External),Contract,01/03/2016,48,48,29/02/2020,No,29/02/2020,01/03/2017,"£100,000.00","£400,000.00",Health Management Ltd,Other,4369949,BN8 5NN,Stockport- Corporate & Support Services
3022,Stockport Council,Animals : Dogs : ,Collection of stray dogs,OJEU,Framework Agreement,01/10/2015,36,48,30/09/2018,Yes,30/09/2019,30/09/2019,"£17,000.00","£51,000.00",Animal Wardens,SME,3078092,BL1 4RA,Stockport- Services to Place
3033,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for Contract 103.9 (Phase 7),Mini Competition,Contract,01/08/2016,36,48,31/07/2019,No,31/07/2020,01/12/2016,"£355,887.62","£1,423,550.48",Royal Mencap Society,VCSE,550457 comp no  222377 charity,EC1Y 0RT,Stockport- Services to People
3036,Stockport Council,331200-Sports & Playground Equipment & Maintenance : Sports Equipment Maintenance : ,Maintenance of Gymnasium / Sports Hall Equipment,OJEU,Contract,01/04/2014,36,48,31/03/2017,No,31/03/2018,01/09/2017,"£23,927.25","£95,709.00",Sportsafe UK Ltd,SME,3370067,C01 2TJ,Stockport- Services to Place
3038,Stockport Council,270000-Information Communication Technology :  ,Updated Audio Visual System to replace existing one at Stockport Town Hall,Exemption,Contract,21/03/2016,12,12,31/03/2017,No,31/03/2017,01/12/2016,"£5,160.00","£5,160.00",CDEC Ltd -  AV Reseller /  Integrator,SME,4102256,WA3 6PN,Stockport- Corporate & Support Services
3039,Stockport Council,271300-Information Communication Technology : Services : Maintenance & Support,"FEM Desktop upgrade from Professional edition to database edition, plus maintenance & and support",Exemption,Contract,16/03/2016,12,12,31/03/2017,No,31/03/2017,01/01/2017,"£6,900.00","£6,900.00",Dotted Eyes,SME,4471760,B3 1TX,Stockport- Corporate & Support Services
3040,Stockport Council,271400-Information Communication Technology : Office & Reprographics Equipment : ,Plotter for Planning and Building,Exemption,Contract,22/02/2016,12,12,31/03/2017,No,31/03/2017,01/12/2016,"£12,175.00","£12,175.00",Canon UK,Other,1264300,RH2 8BF,Stockport- Corporate & Support Services
