Reference Number,Titile of Agreement,Department Responsible,Description of Goods and/or Services,Supplier,Total Contract Value,Start Date,End Date,Award Method,SME
5000005439,Peer to Peer role Model Scheme (CS),Children's Service,,The Barnetgroup,"£169,580.00",01/07/2013,31/03/2017,ITT,N/A
5000005404,Child Placement  (CS),Children's Service,Not a Procurement,Annemount Nursery,"£33,600.00",01/04/2013,31/03/2017,ITT,N/A
5000005315,Social Care Placements (CS),Children's Service,Residential placements to children,Tabularasa UK,"£709,800.00",28/06/2013,01/08/2016,Quote,N/A
5000005313,Community Library Service  (CS),Children's Service,Grant Payments for Lease of Library Services to Community Library,Friern Barnet,"£50,000.00",05/04/2013,31/03/2017,ITT,N/A
5000005291,Frozen Foods (CS),Children's Service,Frozen Food Provider,Brake Bros ,"£129,000.00",01/04/2013,31/12/2016,ITT,N/A
5000005277,Training for Early Years settings  (CS),Children's Service,,Oakleigh School,"£10,000.00",01/04/2013,31/03/2017,ITT,N/A
5000005201,Interlibrary loans at British Museum(CS),Children's Service,PO,British Library,"£12,000.00",01/04/2013,31/03/2017,ITT,N/A
5000005200,Smart SM (CS),Children's Service,SmartSM,Bridgeall Libraries Ltd,"£26,000.00",01/04/2013,31/03/2017,ITT,N/A
5000005122,Library books  (CS),Children's Service,Libraries,AudioGo Ltd,"£28,000.00",28/05/2013,31/03/2017,ITT,N/A
5000004909,Bakery Products,Children's Service,Bakery Products,Raynors,"£600,000.00",01/01/2013,31/03/2017,ITT,N/A
5000004904,Spoken word  (CS),Children's Service,PO,Oakhill Publishing,"£12,100.00",01/04/2012,31/03/2017,ITT,N/A
5000004891,Specialist book supplier  (CS),Children's Service,Awaiting supplier list,Star Books,"£15,000.00",17/04/2013,31/03/2017,ITT,N/A
5000004869,Specialist consultant   (CS),Children's Service,Under 10k - Sub Threshold,Lorimer,"£10,000.00",12/04/2013,31/03/2017,ITT,N/A
5000004594,Residential Children's Home,Children's Service,Residential Children's Home,16-21 Project,"£60,000.00",07/03/2013,31/03/2017,Quote,N/A
5000004568,SEN placement,Children's Service,,Together Trust,"£50,833.00",28/02/2013,31/03/2017,Quote,N/A
5000004567,SEN placement (Blossom House),Children's Service,Special Educational Needs Placement.,Blossom House,"£52,500.00",28/02/2013,31/03/2017,Quote,N/A
5000004540,Audio & Visual,Children's Service,Audio & Visual,The Award Scheme Ltd,"£30,000.00",18/02/2013,01/09/2017,Quote,N/A
5000004432,Residential Children's Home,Children's Service,Residential Children's Home,Alliance Care & Education,"£257,400.00",04/01/2013,31/03/2017,Quote,N/A
5000004369,Child Placement,Children's Service,Child Placement,Hollibrook House LTD,"£145,000.00",14/12/2012,31/03/2017,Quote,N/A
5000004316,Semi Independent Provision,Children's Service,Placement of children in care - mother & baby,The Crescent,"£252,000.00",01/04/2012,31/03/2017,Quote,N/A
5000004293,Child Placement,Children's Service,Child Placement,Children of All Nations,"£124,500.00",01/04/2012,31/03/2017,Quote,N/A
5000004291,Child Placement,Children's Service,Child Placement,Woodhouse Estates,"£280,000.00",01/04/2012,31/03/2017,Quote,N/A
5000004289,Child Placement,Children's Service,Child Placement,Futures for Children,"£316,337.00",01/04/2012,31/03/2017,Quote,N/A
5000004272,Child Placement,Children's Service,Child Placement,Care 2 Share Ltd,"£230,400.00",01/04/2012,31/03/2017,Quote,N/A
5000004208,Form F assessments,Children's Service,Form F assessments,Nick Krivine,"£100,000.00",01/04/2012,31/03/2017,Quote,N/A
5000003625,Child Placement,Children's Service,Child Placement,Integrated Fostering Serv,"£445,817.00",01/04/2012,31/03/2017,Quote,N/A
5000002725,SEN Child Placement (Pield Heath),Children's Service,Child Placement,Pield Heath House School,"£149,500.00",01/09/2012,31/03/2017,Quote,N/A
5000004866,Home Care Service Contract,Children's Service,,Norwood,"£600,000.00",01/10/2013,30/09/2016,Part B,N/A
5000002650,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Barnardo Services Ltd,"£610,245.00",22/11/2012,31/03/2017,Part B,N/A
5000002624,Out Of Hours Emergency Service,Children's Service,Out of Hours Emergency ,London Borough Of Harrow,"£525,000.00",01/04/2012,31/03/2017,ITT,N/A
5000002551,Child Placement,Children's Service,Child Placement,Brighter Futures,"£276,560.00",01/04/2012,31/03/2017,Quote,N/A
5000004056,Training,Children's Service,Variation,Sam Tarling Consultancy Ltd,"£10,800.00",24/09/2012,31/03/2017,Quote,N/A
5000005831,BPSI Associate Advisor,Children's Service,,Natalie Sirett,"£12,000.00",23/08/2013,31/03/2017,Quote,N/A
5000004412,Child Placement,Children's Service,Non-Procurement,The Noam Primary School,"£18,500.00",02/01/2013,31/03/2017,Quote,N/A
5000005858,AAC Communication System,Children's Service,,RSL Steeper,"£13,000.00",01/08/2013,31/07/2016,Quote,N/A
5000005879,Childcare Providers (lot a),Children's Service,Raising standards & quality provision in Childcare providers,Barnet Sub-Committee of the Pre School Learning Alliance,"£305,529.00",01/07/2013,31/03/2017,Quote,N/A
5000005888,IBM IT-Software,Children's Service,Software for statistical analysis,IBM United Kingdom,"£25,000.00",01/10/2013,30/09/2016,ITT,N/A
5000005937,BPSI Associate Advisor,Children's Service,,Mike Horton,"£21,000.00",27/09/2013,31/03/2017,Quote,N/A
5000005984,Young People Drug & Alcohol Service,Children's Service,,Tavistock And Portman Nhs Foundation Trust,"£600,435.00",01/07/2013,31/03/2017,Part B,N/A
5000006019,E-dofe Participation Places,Children's Service,Non- Procurement,The Award Scheme Ltd,"£171,200.00",01/04/2013,31/03/2017,Quote,N/A
5000006020,Accreditation,Children's Service,Non- Procurement,Asdan,"£100,000.00",01/04/2013,31/03/2017,Quote,N/A
5000006021,Accreditation Scheme,Children's Service,Non- Procurement,AQA,"£100,000.00",01/04/2013,31/03/2017,Quote,N/A
5000006022,Accreditation Scheme- Training,Children's Service,Non- Procurement,NCFE,"£100,000.00",01/04/2013,31/03/2017,Quote,N/A
5000006023,D of E Operating Licenses,Children's Service,Non- Procurement,The Award Scheme Ltd,"£11,200.00",01/04/2013,31/03/2017,Quote,N/A
5000000511,SEN (Underley Schools Ltd),Children's Service,,Underley Schools Ltd,"£337,002.00",22/11/2012,04/11/2016,Quote,N/A
5000006088,WLA IFA (Families Fostering Ltd),Children's Service,West London Alliance (WLA) Independent Fostering Agreement,Families Fostering Ltd,"£120,000.00",04/10/2013,14/07/2017,Framework,N/A
5000006107,WLA IFA (Fostering Outcomes),Children's Service,West London Alliance (WLA) Independent Fostering Agreement,Fostering Outcomes,"£249,999.00",01/04/2014,30/06/2017,Framework,N/A
5000004286,Child Placement,Children's Service,Child Placement,Mitsiou,"£357,000.00",01/04/2012,31/03/2017,Quote,N/A
5000002692,Specialist Frozen Supplies For Catering Services,Children's Service,Specialist frozen Supplies for Catering Services,Brake Brothers,"£120,000.00",01/01/2013,31/12/2016,Quote,N/A
5000004142,Consult- Other Prof,Children's Service,,Tracey Reynolds,"£50,000.00",18/10/2012,31/03/2017,Quote,N/A
5000006205,A-Z Expeditions D of E,Children's Service,,A - Z Expeditions,"£125,000.00",01/04/2013,31/03/2017,Quote,N/A
5000005911,Bnos Beis Yaakov SEN - NASS (non-procurement),Children's Service,,Bnos Beis Yaakov Primary School,"£15,899.00",01/09/2013,31/03/2017,Quote,N/A
5000005275,Gas for Leaving Care Tm Woodhouse Rd,Children's Service,Gas supply for a resident. Non -Procurement,British Gas Business,"£13,000.00",13/06/2013,31/03/2017,Quote,N/A
5000002587,SEN Social Care (Loddon School),Children's Service,Non Procurement due to extension of existing contract CPR Rules 14.1,The Loddon School,"£546,512.00",22/11/2012,31/03/2017,Quote,N/A
700018,Independent Review Officers  (IRO) - Kevin Tiplady,Children's Service,,Kevin Tiplady,"£88,000.00",01/04/2014,31/03/2018,Part B,N/A
5000006306,Consortium Agreement,Children's Service,,London Borough of Haringey,"£50,000.00",04/12/2013,03/12/2016,Quote,N/A
700019,Independent Review Officers  (IRO) - Cassie Hudson,Children's Service,,Cassie Hudson,"£60,000.00",01/04/2014,31/03/2018,Part B,N/A
700022,Independent Review Officers  (IRO) - Jon Stroud,Children's Service,,Jon Stroud,"£80,000.00",01/04/2014,31/03/2018,Part B,N/A
5000006310,SEN Therapy,Children's Service,SEN,Whittington Hospital NHS Trust,"£40,500.00",01/10/2013,31/03/2017,Quote,N/A
5000001829,Nicholl Food Packaging,Children's Service,,Nicholl Food Packaging Limited,"£25,000.00",01/04/2012,31/03/2017,Quote,N/A
700021,Independent Review Officers  (IRO) -  Liz Castle,Children's Service,,Liz Castle,"£80,000.00",01/04/2014,31/03/2018,Part B,N/A
700020,Independent Review Officers  (IRO) - David Duncan,Children's Service,,David Duncan Ltd,"£80,000.00",01/04/2014,31/03/2018,Part B,N/A
5000005369,Independent Review Officers  (IRO) - Kay Sargent,Children's Service,,Independent Social Work Services,"£40,000.00",01/04/2014,31/03/2018,Part B,N/A
5000006355,IntegrIT Northgate School,Children's Service,,IntegrIT Systems Ltd,"£19,060.00",01/01/2014,31/12/2017,Quote,N/A
5000006359,Care Place Management Info Systems,Children's Service,,London Borough of Ealing,"£42,672.00",31/01/2014,31/03/2017,Quote,N/A
5000006207,Home Care Service Contract (Allied Healthcare),Children's Service,,Allied Healthcare,"£600,000.00",01/10/2013,30/09/2016,Part B,N/A
5000006208,Home Care Service Contract,Children's Service,,Core Assets,"£600,000.00",01/10/2013,30/09/2016,Part B,N/A
5000006209,Home Care Service Contract (Dynamic People),Children's Service,,Dynamic People,"£600,000.00",01/10/2013,30/09/2016,Part B,N/A
5000006481,SEN education Placement,Children's Service,,Hillcrest Autism Services Ltd,"£50,000.00",01/01/2014,31/03/2017,Quote,N/A
5000004397,Independent Social Work,Children's Service,,Social Work South East Ltd,"£35,000.00",21/12/2012,31/03/2017,Quote,N/A
5000006611,Independent Social Work,Children's Service,,Gabrielle Berelowitz,"£20,000.00",10/03/2014,31/03/2017,Quote,N/A
5000002557,Care Placements Contract,Children's Service,Placement of Children in care.,Children Of Colour Ltd,"£45,468.58",01/04/2010,31/03/2017,Quote,N/A
5000002544,Care Placements Contract,Children's Service,Placement of Children in care.,Anchor Foster Care Services Lt,"£141,681.88",01/04/2010,31/03/2017,Quote,N/A
5000002586,Care Placements Contract,Children's Service,Placement of Children in care.,Supported Fostering Servi,"£147,932.73",01/04/2010,31/03/2017,Quote,N/A
5000002558,Care Placements Contract,Children's Service,Placement of Children in care.,Ethelbert Specialist Homes,"£641,180.50",01/04/2010,31/03/2017,Quote,N/A
5000002574,Care Placements Contract,Children's Service,Placement of Children in care.,Link Fostering Agency Ltd,"£78,014.91",01/04/2010,31/03/2017,Quote,N/A
5000002752,SEN (King Alfred School),Children's Service,SEN Placement - NASS/ NON PROCUREMENT,King Alfred School,"£87,500.00",22/11/2012,31/03/2017,Quote,N/A
5000004774,SEN Palcement (St David s College),Children's Service,SEN Placement - NASS/ NON PROCUREMENT,St Davids College,"£40,000.00",01/04/2014,31/03/2017,Quote,N/A
5000004279,SEN Palcement (Salcombe Prep),Children's Service,SEN Placement - NASS/ NON PROCUREMENT,Salcombe Prep,"£40,000.00",01/04/2014,31/03/2017,Quote,N/A
5000004290,SEN Placement (Haberdashers),Children's Service,SEN Placement - NASS/ NON PROCUREMENT,Haberdashers Aske's School For Girls,"£40,000.00",01/04/2014,31/03/2017,Quote,N/A
5000002764,SEN Placement (Wellgrove),Children's Service,SEN Placement - NASS/ NON PROCUREMENT,Wellgrove School,"£40,000.00",01/04/2014,31/03/2017,Quote,N/A
5000003191,SEN Placement (Stormont),Children's Service,SEN Placement - NASS/ NON PROCUREMENT,Stormont School,"£40,000.00",01/04/2014,31/03/2017,Quote,N/A
5000002769,SEN Placement (Hendon Prep),Children's Service,SEN Placement - NASS/ NON PROCUREMENT,Hendon Preparatory,"£40,000.00",01/04/2014,31/03/2017,Quote,N/A
700041,Premier Partnership Training Framework,Children's Service,,Premier People Ltd,"£500,000.00",01/04/2014,31/07/2017,Framework,N/A
700042,"Child Social Care (Barford Park House, Beech Trees No 6)",Children's Service,,Barford Park House Ltd (Beech Trees House No 6),"£202,000.00",01/04/2014,31/03/2017,Framework,N/A
700047,700047 Child Social Care (Leeds City Council),Children's Service,,Leeds County Council,"£71,050.00",27/05/2014,31/03/2017,SLA,N/A
700052,Advocacy Services,Children's Service,,Barnardos,"£156,000.00",01/07/2013,30/06/2016,OJEU,N/A
700054,Child Social care (Caldecott Fostering ltd),Children's Service,,Caldecott Fostering Ltd,"£95,500.00",19/05/2014,31/03/2017,Framework,N/A
700034,Childrens Occupational Therapy (SEN),Children's Service,,Central London Community Healthcare,"£60,000.00",01/04/2013,31/03/2017,SLA,N/A
700412,700412I- Rational Uk Ltd,Children's Service,,Rational Uk Ltd,"£43,750.00",02/07/2014,31/12/2018,Other,N/A
700701,700701I- SEN Placement (West Thames College),Children's Service,,West Thames College,"£11,000.00",21/07/2014,31/03/2017,Framework,N/A
700732,3- Dimensions Care & School,Children's Service,,3 - Dimensions Care & School,"£250,000.00",01/06/2014,31/07/2016,Framework,N/A
700313,700313 Child Social Care (National Fostering Agency),Children's Service,,National Fostering Agency,"£150,000.00",01/04/2014,31/03/2017,Framework,N/A
700885,700885- Special Educational Needs ( West Herts College),Children's Service,,West Herts College,"£15,000.00",05/08/2014,31/03/2017,Framework,N/A
700848,Child Social Care (Above Beyone Care),Children's Service,,Above Beyond Care,"£35,500.00",30/04/2014,31/03/2017,Framework,N/A
701117,701117- Child Social Care (Esland South Limited),Children's Service,,Esland South Limited,"£10,550.00",09/07/2014,31/03/2017,Other,N/A
700179,700179 SEN Residential Placement (Swalcliffe Parck School Trust),Children's Service,,Swalcliffe Park School Trust,"£40,000.00",01/04/2014,31/03/2017,SLA,N/A
701176,Child Social Care (Rainbow Fostering Services Limited),Children's Service,,Rainbow Fostering Services Ltd,"£80,000.00",10/10/2014,31/03/2017,Framework,N/A
701177,SEN Placement (St Elizabeths),Children's Service,,St Elizabeths,"£360,000.00",01/09/2014,31/07/2016,Other,N/A
700822,SEN Placement (Swalcliffe Park School Trust),Children's Service,,Swalcliffe Park School Trust,"£20,000.00",01/04/2014,31/03/2017,Other,N/A
700072,Subscription Services (Ofsted),Children's Service,,Ofsted,"£25,000.00",01/04/2014,31/03/2017,SLA,N/A
700089,700089 Fleishman Europe Ltd,Children's Service,,fleishman europe ltd,"£199,000.00",01/08/2014,31/07/2018,ITT,N/A
701200,701200 - Kosher Food Services - Bakery Provisions,Children's Service,,The Family Bread,"£80,000.00",02/08/2014,31/07/2018,ITT,N/A
701202,NASS SEN Placement (Hackney Community College),Children's Service,,Hackney Community College,"£24,666.00",27/11/2014,31/03/2017,ITT,N/A
701198,Speech and Language Therapy- Section 75 ( NHS Barnet CCG ),Children's Service,,NHS Barnet CCG,"£880,000.00",01/04/2014,31/08/2016,ITT,N/A
701194,Transport Services (S.P Coaches),Children's Service,,S.P Coaches,"£13,000.00",12/11/2014,31/03/2017,ITT,N/A
701203,701203 Kosher Foods - Grocery Provisions,Children's Service,,sova foods wholesale ltd,"£300,000.00",02/08/2014,31/07/2018,OJEU,N/A
701206,701206i- Semi-Independent Accomodation (Stonham Home),Children's Service,,Stonham Home,"£100,000.00",02/12/2014,31/03/2017,Other,N/A
701222,Child Social Care (West Sussex County Council),Children's Service,,West Sussex County Council,"£40,000.00",28/10/2014,31/03/2017,Other,N/A
701218,College of North West London (NASSB SEN Placement),Children's Service,,College of North West London,"£21,847.00",02/12/2014,31/03/2017,Other,N/A
701210,Sheltered Plus ( Origin Housing Ltd ),Children's Service,,Origin Housing Ltd,"£123,153.33",06/10/2014,31/03/2017,Other,N/A
701208,Special Educational Needs Placement (Fairley House),Children's Service,,Failey House,"£160,000.00",27/11/2014,31/03/2017,Other,N/A
701207,Special Educational Needs Placement (St Marys School),Children's Service,,St Marys School,"£30,000.00",12/11/2014,31/03/2017,Other,N/A
701219,Stanmore College (NASS SEN Placement),Children's Service,,Stanmore College,"£27,000.00",02/12/2014,31/03/2017,Other,N/A
700013,700013 Youth Homelessness,Children's Service,,Centrepoint Soho,"£481,238.55",01/04/2015,31/03/2018,ITT,N/A
701228,701228I - 5000002568i - Hillcrest Childrens Services Limited.,Children's Service,,Hillcrest Childrens Services Ltd,"£466,481.00",02/12/2014,31/03/2017,ITT,N/A
701231,701231i- Fostering For You Ltd,Children's Service,,Fostering For You Ltd,"£40,000.00",12/12/2014,31/03/2017,ITT,N/A
701234,St Piers College (Yound Epilepsy),Children's Service,,St Piers College,"£336,872.00",01/01/2015,31/07/2017,ITT,N/A
701238,"Fresh N Fruity (UK) - Supply of Fresh Fruit, vegetables, potatoes and salad",Children's Service,,Fresh N Fruity (UK),"£1,310,000.00",21/10/2014,20/10/2016,ITT,N/A
701201,701201 Kosher Foods - Frozen Foods,Children's Service,,Hatov,"£180,000.00",02/08/2014,31/07/2018,ITT,N/A
701269,"CAMHS 2014-15 (Barnet, Enfield & Haringey Mental Health Trust)",Children's Service,,Barnet Enfield & Haringey,"£970,000.00",01/04/2014,31/03/2017,ITT,N/A
701270,CLCH (Occupational Therapy) (CS),Children's Service,,Central London Community Healthcare Nhs Trust,"£60,000.00",01/04/2014,31/03/2017,ITT,N/A
701262,Independent Social Work (Tailored Independent Support Ltd),Children's Service,,Tailored Independent Support Ltd,"£20,000.00",07/01/2015,07/01/2018,ITT,N/A
701272,The London Borough of Haringey (MOU),Children's Service,,The London Borough of Haringey,"£122,000.00",13/03/2015,31/03/2017,ITT,N/A
5000005794,The Breslaff Centre (Non-procurement),Children's Service,Court Ordered,The Breslaff Centre,"£41,000.00",06/09/2013,31/03/2017,ITT,N/A
5000005090,Secure Unit (CS) (Non-Procurement),Children's Service,Not a Procurement - Court Ordered Placements. Authorisation required due to value (spot purchasing),Youth Justice Board,"£376,000.00",20/05/2013,31/03/2017,ITT,N/A
5000004716,Care Work,Children's Service,Software licence,Careworks Limited,"£36,000.00",01/04/2011,31/03/2017,ITT,N/A
5000004417,Residential Children's Home,Children's Service, Placement of children in care - therapeutic residential home with education,Heartwood Residential Services,"£358,800.00",01/04/2012,31/03/2017,ITT,N/A
5000004300,Social Care (Amegreen Children),Children's Service,,Amegreen Childrens Services (Barn Owl),"£151,155.00",22/11/2012,31/03/2017,ITT,N/A
5000004284,Care Placements Contract,Children's Service,Placement of children in care,The Adolescent and Children's Trust,"£106,253.00",01/04/2010,31/03/2017,ITT,N/A
5000002635,Social Care (Neo Properties),Children's Service,16+ Providers,Neo Properties,"£232,119.70",22/11/2012,31/03/2017,ITT,N/A
5000000770,Domestic Violence Refuge,Children's Service,Refuge for Domestic Violence victims,Solace Women's Aid,"£564,075.00",01/04/2012,31/03/2017,ITT,N/A
5000000241,Care Placements Contract,Children's Service,Placement of children in care,Turning Point Care Ltd,"£26,320.00",18/10/2012,31/03/2017,ITT,N/A
5000005889,Stonegrove Childrens Centre,Children's Service,,Barnet Pre School Learning Alliance,"£293,040.00",01/04/2013,31/03/2017,ITT,N/A
5000002637,Social Care (Silver Birch),Children's Service,Provision of Semi independent accommodation,Silver Birch Care,"£33,390.00",22/11/2012,31/03/2017,Quote,N/A
5000002634,Social Care (Atlantic Lodge),Children's Service,16+ Providers,Atlantic Lodge,"£183,368.50",22/11/2012,31/03/2017,Quote,N/A
5000002633,16+ Providers,Children's Service,16+ Providers,Purple Pebbles,"£38,728.00",22/11/2012,31/03/2017,Quote,N/A
5000002631,Provision Of Semi Independent Accommodation And Support,Children's Service,Provision of Semi independent accommodation,Housing Plus Ltd,"£473,484.05",22/11/2012,31/03/2017,Quote,N/A
5000006495,Child Placement (Kingdom Care),Children's Service,On the Forward Plan,Kingdom Care,"£178,926.00",12/02/2014,31/03/2017,Quote,N/A
5000002571,Care Placements Contract,Children's Service,Placement of Children in care.,Kasper Ltd,"£83,819.33",01/04/2010,31/03/2017,ITT,N/A
5000004296,Child Palcement Provider (Mulberry Bush : Non- Framework provider),Children's Service,,Mulberry Bush Organisation Ltd,"£556,772.00",22/04/2015,31/03/2017,OJEU,N/A
700007,Short Breaks Children's Services,Children's Service,,Action For Kids,"£92,152.00",01/04/2015,31/03/2019,ITT,N/A
701278,Shortbreak & Respite Services,Children's Service,,Community Focus,"£99,696.00",01/04/2015,31/03/2019,ITT,N/A
701279,Shortbreak & Respite Services,Children's Service,,Fair Play Barnet,"£332,000.00",01/04/2015,31/03/2019,OJEU,N/A
701300,Shortbreak & Respite Services,Children's Service,,Norwood Ravenswood Ltd,"£1,080,000.00",01/04/2015,31/03/2019,OJEU,N/A
701284,Child Social Care (Parkview Care) (CS),Children's Service,,Parkview Care,"£192,000.00",24/03/2015,31/03/2017,OJEU,N/A
701285,Child Social Care (Parkview Care) (CS),Children's Service,,Parkview Care,"£192,000.00",24/03/2015,31/03/2017,OJEU,N/A
700016,700016 Special Escort Services,Children's Service,,Wrixon Care,"£75,000.00",04/05/2015,03/05/2018,ITT,N/A
701156,701156i- The Appropriate Adult Provision (CS),Children's Service,,The Appropriate Adult Service Ltd,"£30,000.00",01/01/2015,31/03/2018,ITT,N/A
701277,701277 Shortbreak & Respite Services,Children's Service,,Barnet Mencap,"£75,000.00",01/04/2015,31/03/2019,ITT,N/A
701282,701282 Shortbreak & Respite Services,Children's Service,,Oakleigh School,"£172,000.00",01/04/2015,31/03/2019,OJEU,N/A
701283,701283 Shortbreak & Respite Services,Children's Service,,Resources for Autism,"£140,000.00",01/04/2015,31/03/2019,ITT,N/A
701314,701314- Jamores Ltd t/a Jamores Homes,Children's Service,,Jamores Limited t/a Jamores Homes,"£212,600.00",23/04/2015,31/03/2017,OJEU,N/A
701315,701315i- Fischer education project,Children's Service,,Fischer Education Project,"£25,272.00",01/04/2015,31/03/2017,ITT,N/A
701327,701327 Shortbreak & Respite Services,Children's Service,,Core Assets Children's Services,"£45,000.00",01/04/2015,31/03/2019,ITT,N/A
701326,NASS SEN (Wentworth College),Children's Service,,Wentworth College,"£35,000.00",01/04/2015,31/03/2017,ITT,N/A
701325,Teen Support Services Ltd (Child Social Care ),Children's Service,,Teen Support Services Ltd,"£25,000.00",25/03/2015,31/03/2017,ITT,N/A
701323,WLA Childrens Efficiency Programme (LB Ealing),Children's Service,,London Borough of Ealing - West London Alliance,"£60,000.00",01/04/2015,31/03/2017,ITT,N/A
701329,Child Social Care ( Neath Port County Borough Council),Children's Service,,Neath Port Talbot County Borough Council,"£70,000.00",18/05/2015,31/03/2017,ITT,N/A
701340,Child Social Care (Amberleigh Care Ltd),Children's Service,,Amberliegh Care Ltd,"£70,000.00",27/05/2015,31/03/2017,ITT,N/A
701349,Child Social Care (Destiny House),Children's Service,,Destiny House,"£40,000.00",01/06/2015,31/03/2017,ITT,N/A
701235,701235 - Provision of Independent Disagreement Resolution and Mediation Services for Children and Young People with Special Educational Needs,Children's Service,,KIDS,"£45,000.00",01/04/2015,31/03/2018,ITT,N/A
701365,Child Social Care (New Options Limited/ Options Central services) (CS),Children's Service,,Options Central Services Ltd,"£165,000.00",02/07/2015,31/03/2017,ITT,N/A
701366,Child Social Care (New Options Limited/ Options Central services) (CS),Children's Service,,Options Central Services Ltd,"£165,000.00",02/07/2015,31/03/2017,ITT,N/A
701376,NASS (New College Worcester) (CS),Children's Service,,New College Worcester,"£110,000.00",01/07/2015,31/03/2018,ITT,N/A
701377,NASS (New College Worcester) (CS),Children's Service,,New College Worcester,"£110,000.00",01/07/2015,31/03/2018,ITT,N/A
701385,701385 Seafields (FS),Children's Service,,Seafields Ltd,"£51,000.00",01/04/2015,31/03/2017,ITT,N/A
701386,701386 Greenfields Adolescent Development,Children's Service,,Greenfields Adolescent Development,"£151,000.00",03/04/2015,31/03/2017,ITT,N/A
701387,701387 Street Support,Children's Service,,Dormwell T/A Street Support Ltd,"£50,000.00",18/08/2015,31/03/2017,ITT,N/A
701383,Acorn Homes UK,Children's Service,,Acorn Homes UK,"£100,000.00",10/08/2015,31/03/2017,ITT,N/A
701372,Child Social Care (Barnardos Water Lane) (CS),Children's Service,,Barnado (Water Lane),"£53,000.00",12/06/2015,31/03/2017,ITT,N/A
701395,Child Social Care (Support & Provide Limited) (CS),Children's Service,,Support & Provide Limited,"£100,000.00",18/08/2015,31/03/2017,ITT,N/A
701397,Child Social Care (Unique Support),Children's Service,,Unique Support,"£50,000.00",11/06/2015,31/03/2017,ITT,N/A
701408,Child Social Care (Northern Community Pathways),Children's Service,,Northern Community Pathways Limited,"£50,000.00",25/09/2015,31/03/2017,ITT,N/A
701416,NASS SEN (Centre Academy),Children's Service,,Centre Academy,"£33,000.00",01/09/2015,31/03/2018,ITT,N/A
701414,NASS SEN Placement (Kisharon Day School),Children's Service,,Kisharon Day School,"£150,000.00",01/09/2015,31/03/2017,ITT,N/A
700080,Independent Visitor Scheme,Children's Service,,Sova,"£43,380.00",01/04/2015,31/03/2017,ITT,N/A
701424,Child Social Care (Nacro),Children's Service,,Nacro,"£50,000.00",27/07/2015,31/03/2017,ITT,N/A
701431,Child Social Care (The Vine Residential Services Ltd),Children's Service,,The Vine Residential Services Ltd,"£50,000.00",19/10/2015,31/03/2017,ITT,N/A
701355,"Drafting Service for Education, Health and Care Plans",Children's Service,,IndePenDent Business Services,"£45,000.00",01/09/2015,31/03/2018,ITT,N/A
701433,Training and Workforce development,Children's Service,,Barnet and Southgate College,"£17,500.00",01/04/2015,31/03/2017,ITT,N/A
701448,Child Social Care (Shyne Together Ltd),Children's Service,,Shyne Together Ltd,"£107,000.00",16/11/2015,31/03/2017,ITT,N/A
701439,Child Social Care (Welcome Foster Care Ltd),Children's Service,,Welcome Foster Care Ltd,"£50,000.00",08/10/2015,31/03/2017,ITT,N/A
701450,Child Social Care (Foster Care Link),Children's Service,,Foster Care Link,"£41,000.00",27/11/2015,31/03/2017,Framework,N/A
701455,Child Social Care (Zodiac Family Assessment Services),Children's Service,,Zodiac Family Assessment Centre,"£50,000.00",18/09/2015,31/03/2017,Other,N/A
701271,701271 The Provision Of a Return Interview Service,Children's Service,,Barnardo's,"£149,796.00",01/09/2015,31/08/2019,ITQ,N/A
701471,Chil Social Care (Compass Childrens Homes Limited) (CS),Children's Service,,Compass Childrens Homes Limited,"£17,000.00",04/01/2016,31/03/2017,Other,N/A
701469,Child Placement (Acorn Homes UK Ltd),Children's Service,,Acorn Homes UK,"£100,000.00",10/08/2015,31/03/2017,Other,N/A
701467,NASS SEN Placement (Bredon School),Children's Service,,Bredon School,"£93,780.00",01/10/2015,31/03/2018,SLA,N/A
701468,NASS SEN placement (Horizon Care and Education),Children's Service,,Horizon Care & Education Ltd,"£114,075.00",19/10/2015,31/07/2018,SLA,N/A
701488,Internet Profile (CS),Children's Service,,Igniyte Limited,"£10,000.00",03/03/2016,02/03/2017,Other,N/A
701474,SEN Placement (Kestral House School t/a Acorn Care & Education),Children's Service,,Kestral House Ltd T/A Acorn Care and Education,"£157,000.00",07/12/2015,31/07/2018,SLA,N/A
5000004123,Inter Auth Agree Joint Legal Serv (CGov),Commissioning Group,Inter Auth Agree Joint Legal Serv (CGov),HP Public Law,"£6,023,000.00",01/09/2012,21/08/2017,Quote,N/A
5000004526,Kent County Council (KCS) Gas(All Users),CSG,,Kent County Council (KCS),"£5,490,576.00",01/10/2012,30/09/2016,ITT,N/A
5000004527,Kent County Council KCS Elec (All Users),CSG,,Kent County Council (KCS),"£9,532,175.00",12/02/2013,30/09/2016,ITT,N/A
5000003605,Energy Supply Contract,CSG,Electricity Supply Contract,Npower (Laser),"£9,532,175.00",01/10/2012,30/09/2016,ITT,N/A
5000003604,"Gas Under 25,000 Therms",CSG,Supply of Gas Unders ,Total Gas And Power (Laser),"£5,490,576.00",01/10/2012,30/09/2016,ITT,N/A
701179,Building Term Maintenance - Mechanical,CSG,,SW Bruce & Co. Ltd,"£2,600,000.00",11/08/2014,10/08/2017,ITT,N/A
