RATEPAYER,RV,Property Address,LIABILITY_START,
Brogan Business Parks Ltd,6200,"Unit B2, Tenterfields Business Park, Burnley Road, Luddendenfoot       HX2 6EQ",05-07-2014,
Apm Site Services Ltd,8300,"Unit 8 Heathfield Ind Estate, Heathfield Street, Elland, HX5 9AE",22-08-2014,
Poundworld Retail Limited,120000,"Unit 1 Arcade Royale, Southgate, Halifax, HX1 1DL",30-09-2014,
,1225,"Unit 4 Washer Lane Works, Washer Lane, Halifax, HX2 7DX",01-10-2013,
Craggs Country Business Park Llp,2325,"Suite 5 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",01-08-2014,
Thornber Chicks Ltd,2650,"Unit 1, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",01-07-2014,
Lime Tree Europe Ltd,1450,"Office 39 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",16-06-2014,
,2225,"Office 2, Church Of St John Evangelist, Calder Street, West Vale            HX4 8AQ",19-07-2014,
,5000,"C/O Car Proud, Gaukroger Lane, Halifax, HX1 2DF",01-08-2014,
Engineering Services Partnership Ltd,1200,"Office H M 2.10, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",01-06-2014,
Torus Environmental Ltd,2175,"Office H M 2.4, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",01-04-2014,
Utilities Covered Ltd,2550,"Office H M 2.1, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",01-09-2013,
Cqrity  Ltd (Fao Mike Woodhead),2500,"Office H M 2.2, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",01-03-2014,
,630,"Unit 1.07, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",01-08-2013,
Provision System Build Ltd,54500,"Bay 1, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",08-09-2014,
,5000,"23 Water Street, Todmorden, OL14 5AB",25-09-2014,
,1575,"Unit 19 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",19-06-2013,
D & J Mattock Ltd,6500,"42/44 Market Street, Hebden Bridge, HX7 6AA",30-08-2014,
Rastrick Constitutional Club,4100,"7 Church Street, Brighouse, HD6 3NF",01-09-2014,
Aspire Crafts Ltd,8500,"Second Floor Unit 5, Wellington Mills, Quebec Street, Elland               HX5 9AS",01-09-2014,
Cromwell Industries Ltd,1200,"Office No T04, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",01-10-2014,
Calderdale Windows Ltd,1775,"7 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",25-06-2014,
,4750,"Unit G2 Tenterfields Bsn Pk, Burnley Road, Luddendenfoot, Halifax              HX2 6EJ",05-07-2014,
Hebden Bridge Community Association,950,"Unit 9 1ST Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",16-12-2013,
,220,"Storeroom 9 Market Hall, Brook Street, Todmorden, OL14 5AJ",01-12-2012,
Units To Let [Northern] Ltd,1350,"Unit 2 Asquith Bottom Works, Asquith Bottom, Ridge Street, Sowerby Bridge       HX6 3BS",01-04-2014,
K D T Accountancy & Taxation Services Ltd,5700,"20 Cow Green, Halifax, HX1 1HX",14-08-2010,
,1975,"23 Roils Head Road, Halifax, HX2 0NQ",01-04-2014,
Perfect 10 Pub Company Ltd,9400,"Turks Head Inn, Back Wharf Street, Sowerby Bridge, HX6 2AD",14-08-2014,
,3700,"Premier House, Holmes Road, Sowerby Bridge, HX6 3LD",01-04-2014,
E.P.I.C Plc,3500,"9 Market Street, Brighouse, HD6 1AP",06-05-2014,
Limegrove Leisure Ltd,4600,"Unit 4 Ground Floor, 535 Bradford Road, Bailiff Bridge, Brighouse            HD6 4DL",14-08-2013,
,3150,"Unit 5, Fairlea Mill, Ellen Holme Lane, Luddendenfoot       HX2 6EP",29-07-2013,
Perfect P A's Ltd,1175,"Office 7 James Street Mills, South Lane, Elland, HX5 0HB",01-03-2014,
Units To Let ( Northern ) Ltd,1375,"Unit 2A Mearclough Works, Mearclough Road, Sowerby Bridge, HX6 3LF",01-09-2012,
,2850,"202 Queens Road, Halifax, HX1 4NE",01-04-2014,
,3300,"Unit 4, Bandwalk Industrial Estate, Saddleworth Road, Greetland            HX4 8BA",01-02-2013,
Calderdale Mbc Markets Manager,1750,"Stalls 39/40 Market Hall, Brook Street, Todmorden, OL14 5AJ",01-01-2013,
,4650,"Market Stall 55-56, Market Hall, Borough Market, Halifax             HX1 1DZ",01-04-2014,
Calderdale Mbc Markets Manager,2325,"Stall 18 Market Hall, Brook Street, Todmorden, OL14 5AJ",01-11-2012,
Warmco Space Heating Ltd,990,"Unit 13, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",31-03-2014,
,3050,"68 Commercial Street, Halifax, HX1 2JE",17-08-2014,
,1850,"19 Carlton Street, Halifax, HX1 2AL",01-07-2014,
,2750,"Unit 1A, Nr Elizabeth House, Shroggs Road, Halifax              HX3 5HA",01-12-2013,
,1800,"Unit 5, Lineholme Industrial Estate, Burnley Road, Todmorden           OL14 7DH",25-10-2013,
,2075,"48 Parkinson Lane, Halifax, HX1 3XL",12-10-2013,
,2125,"Unit 4, Lineholme Industrial Estate, Burnley Road, Todmorden           OL14 7DH",01-01-2014,
Polyframe Trade Ltd,2650,"Adj Lockwoods Carpets, Halifax Road, Elland, HX5 0SH",18-08-2014,
…,,,,
