Body,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale BC,17/02/2014,DEPAUL TRUST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,YOUNG PEOPLES SUPPORT TEAM,"£3,096.00"
Rochdale BC,17/02/2014,DEPAUL TRUST,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,YPST SUPPORTING PEOPLE FUNDING,"£1,360.00"
Rochdale BC,11/02/2014,DERBY STREET NURSERY UNIT,Financial Services,EARLY HELP AND SCHOOLS,MTCE OF INCLUSIVE CHILDCARE PLACES,£605.00
Rochdale BC,19/02/2014,DIOCESE OF SALFORD (DFC),Financial Services,EARLY HELP AND SCHOOLS,RC DIOCESE - PLACE PLANNING,"£12,378.79"
Rochdale BC,26/02/2014,DIOCESE OF SALFORD (DFC),Financial Services,EARLY HELP AND SCHOOLS,RC DIOCESE - PLACE PLANNING,"£42,158.40"
Rochdale BC,07/02/2014,DIRECT HEALTH HOMECARE LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£5,154.98"
Rochdale BC,14/02/2014,DIRECT HEALTH HOMECARE LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£4,660.07"
Rochdale BC,27/02/2014,DIRECT HEALTH HOMECARE LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£5,596.91"
Rochdale BC,06/02/2014,DISCLOSURE & BARRING SERVICE,Public Bodies,ECONOMY AND ENVIRONMENT,REG LIC  GENERAL,"£1,188.00"
Rochdale BC,17/02/2014,DONNY BRYAN,Unclassifiable,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£2,084.00"
Rochdale BC,05/02/2014,DR A U OYEGADE,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,853.15"
Rochdale BC,05/02/2014,DR B BENATAR,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£2,232.00"
Rochdale BC,27/02/2014,DR G STOCKTON & DR L THOMPSON,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,£830.37
Rochdale BC,05/02/2014,DR GUY BETTS,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£706.20
Rochdale BC,06/02/2014,DR JO MCPARTLAND,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£595.90
Rochdale BC,17/02/2014,DR THOMASON & DR MARTIN,Healthcare,CUSTOMERS & CORPORATE SERVICES,LOCAL ENHANCED SERVICES - LES,£540.00
Rochdale BC,27/02/2014,DR THOMASON & MARTIN PMS,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,£960.21
Rochdale BC,27/02/2014,DR Z MOHAMMED,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,£919.35
Rochdale BC,27/02/2014,DRUGMART PHARMACY,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,£588.96
Rochdale BC,18/02/2014,DUNSTER CONSULTING LIMITED,Consultancy,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"£1,605.00"
Rochdale BC,05/02/2014,DYSON INSULATIONS LTD,Vehicle Management,ECONOMY AND ENVIRONMENT,ENERGY EFFICIENCY MEASURE,"£25,419.62"
Rochdale BC,05/02/2014,DYSON INSULATIONS LTD,Vehicle Management,ECONOMY AND ENVIRONMENT,ENERGY EFFICIENCY MEASURE,"£9,653.80"
Rochdale BC,10/02/2014,DYSON INSULATIONS LTD,Vehicle Management,ECONOMY AND ENVIRONMENT,RETROFIT,"£9,720.00"
Rochdale BC,11/02/2014,E MARLAND CHILDRENS RESPITE CARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,£512.00
Rochdale BC,01/02/2014,EARLY BREAK,Social Community Care Supplies & Services,CUSTOMERS & CORPORATE SERVICES,DRUGS & ALCOHOL - SPECIALIST D&A SRVC,"£35,000.00"
Rochdale BC,10/02/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£750.00
Rochdale BC,11/02/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£750.00
Rochdale BC,11/02/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£5,545.00"
Rochdale BC,17/02/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£750.00
Rochdale BC,01/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£3,465.00"
Rochdale BC,01/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£1,442.00"
Rochdale BC,01/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,£990.00
Rochdale BC,18/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,£990.00
Rochdale BC,18/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£1,107.00"
Rochdale BC,18/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,"£1,442.00"
Rochdale BC,27/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,£770.00
Rochdale BC,27/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,£525.00
Rochdale BC,27/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,£768.75
Rochdale BC,27/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,£750.00
Rochdale BC,27/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DISABILITIES RESPITE CARE,£535.00
Rochdale BC,19/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,472.00"
Rochdale BC,19/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,472.00"
Rochdale BC,19/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,472.00"
Rochdale BC,19/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,344.00"
Rochdale BC,19/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,472.00"
Rochdale BC,19/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,472.00"
Rochdale BC,19/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,472.00"
Rochdale BC,19/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,472.00"
Rochdale BC,19/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,472.00"
Rochdale BC,19/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,184.00"
Rochdale BC,19/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"£1,472.00"
Rochdale BC,01/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,£630.00
Rochdale BC,01/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,£630.00
Rochdale BC,27/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,£630.00
Rochdale BC,27/02/2014,EDEN CARE (NORTH WEST) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,£630.00
Rochdale BC,27/02/2014,EDENFIELD ROAD SURGERY,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,£858.06
Rochdale BC,17/02/2014,EDF ENERGY 1 LIMITED,Vehicle Management,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"£32,481.90"
Rochdale BC,11/02/2014,EDF ENERGY 1 LIMITED,Vehicle Management,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,£792.58
Rochdale BC,20/02/2014,EDF ENERGY 1 LIMITED,Vehicle Management,ECONOMY AND ENVIRONMENT,TOWN HALL,"£2,802.11"
Rochdale BC,26/02/2014,EDGE SERVICES,Health & Safety ,EARLY HELP AND SCHOOLS,RANS  MANAGEMENT,£720.00
Rochdale BC,13/02/2014,ELECTRICAL CONTRACTORS ASSOCIATION,Building Construction Materials,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,£692.25
Rochdale BC,28/02/2014,EMAS UK,Education,EARLY HELP AND SCHOOLS,EQUALITIES TEAM RESOURCES,£990.00
Rochdale BC,27/02/2014,EMPLOYEE ADVISORY RESOURCE LTD,Human Resources,CUSTOMERS & CORPORATE SERVICES,MANAGEMENT ADMIN,"£3,250.00"
Rochdale BC,07/02/2014,ENERGIZE RECRUITMENT SOLUTIONS LTD,Human Resources,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,£750.00
Rochdale BC,14/02/2014,ENERGIZE RECRUITMENT SOLUTIONS LTD,Human Resources,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,£750.00
Rochdale BC,20/02/2014,ENERGIZE RECRUITMENT SOLUTIONS LTD,Human Resources,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,£750.00
Rochdale BC,26/02/2014,ERNST & YOUNG LLP,Consultancy,EARLY HELP AND SCHOOLS,BSF DEVELOPMENT (MOD0809),"£2,244.57"
Rochdale BC,26/02/2014,ERNST & YOUNG LLP,Consultancy,EARLY HELP AND SCHOOLS,BSF DEVELOPMENT (MOD0809),"£1,690.50"
Rochdale BC,25/02/2014,EVAC+CHAIR INTERNATIONAL LIMITED,Health & Safety ,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,£805.00
Rochdale BC,18/02/2014,EVAC+CHAIR INTERNATIONAL LIMITED,Health & Safety ,CHILDREN’S SOCIAL CARE,CROSSFIELD MILL,"£5,035.00"
Rochdale BC,13/02/2014,F NEEDHAM,Catering,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"£1,155.00"
Rochdale BC,17/02/2014,F R MONKHOUSE LIMITED,Clothing,EARLY HELP AND SCHOOLS,(TYS) TARGETED YOUTH SUPPORT- EXT FUNDED,£500.00
Rochdale BC,04/02/2014,F R SHARROCK LIMITED,Horticultural,ECONOMY AND ENVIRONMENT,MECHANICS GENERAL MOWER R,£653.01
Rochdale BC,04/02/2014,F R SHARROCK LIMITED,Horticultural,ECONOMY AND ENVIRONMENT,MECHANICS GENERAL MOWER R,£500.00
Rochdale BC,04/02/2014,F R SHARROCK LIMITED,Horticultural,ECONOMY AND ENVIRONMENT,MECHANICS GENERAL MOWER R,£507.95
Rochdale BC,25/02/2014,F R SHARROCK LIMITED,Horticultural,ECONOMY AND ENVIRONMENT,MECHANICS GENERAL MOWER R,£605.93
Rochdale BC,27/02/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,BALDERSTONE DEMOLITION,"£2,225.93"
Rochdale BC,10/02/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,ENERGY EFFICIENCY MEASURE,£500.00
Rochdale BC,19/02/2014,F W SHERRATT LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,TOD RD RETAINING WALL NO 10,"£3,326.08"
Rochdale BC,05/02/2014,F W SHERRATT LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,Wardle Rd retaining wall,"£29,793.18"
Rochdale BC,28/02/2014,F W SHERRATT LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,Wardle Rd retaining wall,"£51,059.25"
Rochdale BC,13/02/2014,FACE RECORDING & MEASUREMENT SYSTEMS LTD,Facilities & Management Services,LEARNING DIS & MENTAL HEALTH,ADULT CARE ADMIN,"£7,460.00"
Rochdale BC,13/02/2014,FACE RECORDING & MEASUREMENT SYSTEMS LTD,Facilities & Management Services,LEARNING DIS & MENTAL HEALTH,ADULT CARE ADMIN,"£27,319.00"
Rochdale BC,05/02/2014,FAISAL S BUTT,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,"£1,440.00"
Rochdale BC,19/02/2014,FAISAL S BUTT,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£800.00
Rochdale BC,10/02/2014,FALINGE PARK BOWLING GREENS MANAGEMENT COMMITTEE,Arts & Leisure Services,CUSTOMERS & CORPORATE SERVICES,CLEAN & GREEN PRIORITY FUND,£610.00
Rochdale BC,24/02/2014,FAMILY ACTION,Financial Services,CHILDREN’S SOCIAL CARE,YOUNG CARERS,"£40,375.00"
Rochdale BC,24/02/2014,FAMILY ACTION,Financial Services,CHILDREN’S SOCIAL CARE,YOUNG CARERS,"£40,375.00"
Rochdale BC,24/02/2014,FAMILY ACTION,Financial Services,CHILDREN’S SOCIAL CARE,YOUNG CARERS,"£40,375.00"
Rochdale BC,10/02/2014,FIRST RESERVE,Financial Services,LEARNING DIS & MENTAL HEALTH,ADULT PLACEMENT SCHEME,£828.64
Rochdale BC,11/02/2014,FIRST STEPS NURSERY,Financial Services,EARLY HELP AND SCHOOLS,MTCE OF INCLUSIVE CHILDCARE PLACES,£715.00
Rochdale BC,11/02/2014,FISHERFIELD FARM NURSERY,Financial Services,EARLY HELP AND SCHOOLS,MTCE OF INCLUSIVE CHILDCARE PLACES,£715.00
Rochdale BC,05/02/2014,FLINT BISHOP LLP,Legal Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£2,242.08"
Rochdale BC,01/02/2014,FOOTSTEPS A PATH TO CHANGE,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"£15,500.00"
Rochdale BC,04/02/2014,FORENSICS LTD,Environmental Services,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£2,735.00"
Rochdale BC,04/02/2014,FORENSICS LTD,Environmental Services,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,160.00"
Rochdale BC,05/02/2014,FORENSICS LTD,Environmental Services,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"£1,340.00"
Rochdale BC,28/02/2014,FREEDOM COMMUNICATIONS,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£3,595.80"
Rochdale BC,04/02/2014,FRIENDS OF OLDER PARENT CARERS,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,CARERS COMMISSIONED SERVICES,"£3,743.16"
Rochdale BC,10/02/2014,FUTURE DIRECTIONS,Financial Services,LEARNING DIS & MENTAL HEALTH,LD SUPPORTED LIVING CLUSTER1  RMBC,"£139,500.00"
Rochdale BC,12/02/2014,FUTURE DIRECTIONS,Financial Services,LEARNING DIS & MENTAL HEALTH,LD SUPPORTED LIVING CLUSTER1  RMBC,"£200,000.00"
Rochdale BC,17/02/2014,G M WASTE DISPOSAL AUTHORITY,Environmental Services,ECONOMY AND ENVIRONMENT,WASTE DISPOSAL LEVY,"£679,000.00"
Rochdale BC,23/02/2014,G M WASTE DISPOSAL AUTHORITY,Environmental Services,ECONOMY AND ENVIRONMENT,WASTE DISPOSAL LEVY,"£1,220,000.00"
Rochdale BC,05/02/2014,GARNER TOWN PLANNING,Consultancy,ECONOMY AND ENVIRONMENT,DEVELOPMENT MANAGEMENT - PLANNING APPS,"£1,814.15"
Rochdale BC,26/02/2014,GATENBY SANDERSON,Consultancy,PHYSICAL DIS & OLDER PEOPLE,MANAGEMENT OP & PD,"£13,051.40"
Rochdale BC,17/02/2014,GEMINI UPVC LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,MISCELLANEOUS ECR,£650.00
Rochdale BC,17/02/2014,GEMINI UPVC LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,MISCELLANEOUS ECR,"£2,924.17"
Rochdale BC,06/02/2014,GEMINI UPVC LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,ROCH VALE CARAVAN SITE,"£1,400.00"
Rochdale BC,11/02/2014,GENESIS DAY CARE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,MTCE OF INCLUSIVE CHILDCARE PLACES,£715.00
Rochdale BC,14/02/2014,GENESIS DAY CARE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£7,500.00"
Rochdale BC,11/02/2014,GENESIS DAY CARE NURSERY LIMITED,Financial Services,EARLY HELP AND SCHOOLS,MTCE OF INCLUSIVE CHILDCARE PLACES,£660.00
Rochdale BC,17/02/2014,GLOBE  CONSTRUCTION SERVICES LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"£16,416.00"
Rochdale BC,21/02/2014,GLOBE  CONSTRUCTION SERVICES LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"£29,081.00"
Rochdale BC,19/02/2014,GMCA,Financial Services,ECONOMY AND ENVIRONMENT,BAILLIE ST WEST/LW YORKSHIRE ST,"£1,162.08"
Rochdale BC,19/02/2014,GMCA,Financial Services,PROPERTY AND HIGHWAYS,TURF HILL RD JUNC SIG,£555.00
Rochdale BC,14/02/2014,GRAVITAS RECRUITMENT GROUP,Human Resources,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£3,750.00"
Rochdale BC,20/02/2014,GRAVITAS RECRUITMENT GROUP,Human Resources,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£1,781.25"
Rochdale BC,07/02/2014,GREAT CARE UK,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£2,538.52"
Rochdale BC,14/02/2014,GREAT CARE UK,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£2,537.30"
Rochdale BC,27/02/2014,GREAT CARE UK,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"£2,128.66"
Rochdale BC,25/02/2014,GUARDIAN NEWS & MEDIA LTD,Human Resources,FINANCE SERVICES,PR MEDIA AND MARKETING,"£3,176.00"
Rochdale BC,11/02/2014,H A BURROW,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£847.00
Rochdale BC,11/02/2014,H A BURROW,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£960.00
Rochdale BC,11/02/2014,H A BURROW,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,£920.00
Rochdale BC,24/02/2014,H BELL & SONS (ROCHDALE) LTD,Building Construction Materials,EARLY HELP AND SCHOOLS,BUILDINGS PROGRAMME/URGENT H&S CONTINGEN,£950.03
Rochdale BC,10/02/2014,H BELL & SONS (ROCHDALE) LTD,Building Construction Materials,CUSTOMERS & CORPORATE SERVICES,MIDDLETON LIBRARY,"£3,853.65"
Rochdale BC,10/02/2014,H BELL & SONS (ROCHDALE) LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,MIDDLETON LIBRARY ROOF 367,"£18,895.25"
Rochdale BC,20/02/2014,HALAROSE LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,REFRESH PROGRAMME,"£6,613.00"
Rochdale BC,25/02/2014,HARWOOD PARK PRIMARY SCHOOL,Public Bodies,EARLY HELP AND SCHOOLS,ADDITIONAL PLACES FOR HEYWOOD TOWNSHIP,"£2,032.05"
Rochdale BC,10/02/2014,HARWOOD PARK PRIMARY SCHOOL,Public Bodies,EARLY HELP AND SCHOOLS,DAY TO DAY REPAIRS & SERVICING OF PLANT,£922.00
Rochdale BC,13/02/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT SOCIAL WORK,"£29,122.69"
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT SOCIAL WORK,"£32,215.60"
Rochdale BC,13/02/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,ADOPTION PAYMENTS,"£1,107.43"
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,ADOPTION PAYMENTS,"£1,107.43"
Rochdale BC,13/02/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,ADULT & CHILD CARE SOLICITORS,"£1,609.12"
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,ADULT & CHILD CARE SOLICITORS,£563.14
Rochdale BC,13/02/2014,HAYS SOCIAL CARE,Human Resources,LEARNING DIS & MENTAL HEALTH,ADULT CARE ADMIN,"£1,293.15"
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,LEARNING DIS & MENTAL HEALTH,ADULT CARE ADMIN,£862.12
Rochdale BC,13/02/2014,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,ASSISTIVE TECHNOLOGY,£508.60
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,ASSISTIVE TECHNOLOGY,£516.85
Rochdale BC,13/02/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,BOROUGHWIDE LIBRARIES,"£1,069.60"
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,BOROUGHWIDE LIBRARIES,"£1,168.44"
Rochdale BC,13/02/2014,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,"£1,405.29"
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,"£2,279.43"
Rochdale BC,13/02/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,"£4,425.68"
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,£544.50
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,ECONOMY AND ENVIRONMENT,CENTRAL HOMELESSNESS,"£7,812.00"
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CIC ADMINISTRATION,"£1,061.14"
Rochdale BC,13/02/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CIC SOCIAL WORK,"£2,185.97"
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CIC SOCIAL WORK,"£3,425.31"
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,COMMITTEE SERVICES,"£1,642.07"
Rochdale BC,13/02/2014,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,COMMUNITY OCCUPATIONAL THERAPY &HANDLING,"£1,529.61"
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,PHYSICAL DIS & OLDER PEOPLE,COMMUNITY OCCUPATIONAL THERAPY &HANDLING,£777.51
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£650.32
Rochdale BC,13/02/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,CORPORATE PROCUREMENT,£605.02
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,CORPORATE PROCUREMENT,"£1,581.56"
Rochdale BC,13/02/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,COUNCIL TAX LIABILITY AND RECOVERY,"£1,111.10"
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,COUNCIL TAX LIABILITY AND RECOVERY,"£1,111.10"
Rochdale BC,13/02/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CP SOCIAL WORK,"£13,561.84"
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,CHILDREN’S SOCIAL CARE,CP SOCIAL WORK,"£7,793.49"
Rochdale BC,13/02/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,CSE RESOURCES,"£5,213.75"
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,CSE RESOURCES,"£4,952.89"
Rochdale BC,13/02/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,CUSTOMER ADVOCACY,"£2,128.59"
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,CUSTOMERS & CORPORATE SERVICES,CUSTOMER ADVOCACY,"£2,600.18"
Rochdale BC,13/02/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,DEBT RECOVERY TEAM,"£1,835.21"
Rochdale BC,19/02/2014,HAYS SOCIAL CARE,Human Resources,FINANCE SERVICES,DEBT RECOVERY TEAM,"£1,835.33"
Rochdale BC,13/02/2014,HAYS SOCIAL CARE,Human Resources,EARLY HELP AND SCHOOLS,DISABILITIES SOCIAL WORK,"£3,556.44"
