organisation id,Effective Date,Service,Supplier Name,Date Paid,Net Amount (£),Purpose,Transaction ID
ROCHDALE BOROUGH COUNCIL,15/07/2015,EARLY HELP AND SCHOOLS,ST CATHERINES RC PRIMARY SCHOOL,15/07/2015,1800,COSTS MET BY SCHOOL,V000920523
ROCHDALE BOROUGH COUNCIL,15/07/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,15/07/2015,802.48,ASSESSMENT CARE,V000920808
ROCHDALE BOROUGH COUNCIL,15/07/2015,CUSTOMERS & CORPORATE SERVICES,STHREE PARTNERSHIP LLP,15/07/2015,1120,CAPITAL SALARIES,V000920768
ROCHDALE BOROUGH COUNCIL,15/07/2015,CUSTOMERS & CORPORATE SERVICES,STHREE PARTNERSHIP LLP,15/07/2015,1400,CAPITAL SALARIES,V000920803
ROCHDALE BOROUGH COUNCIL,15/07/2015,CUSTOMERS & CORPORATE SERVICES,THE BIRTLE TRUST,15/07/2015,573,ACTIVITIES,V000920987
ROCHDALE BOROUGH COUNCIL,15/07/2015,CHILDREN’S SOCIAL CARE,THE FOSTERING NETWORK,15/07/2015,10718,FEES / COMMISSION,V000920733
ROCHDALE BOROUGH COUNCIL,15/07/2015,CHILDREN’S SOCIAL CARE,THE NATIONAL FOSTERING AGENCY LIMITED,15/07/2015,2910,FOSTER PARENTS BASIC ALLOWANCE,V000920487
ROCHDALE BOROUGH COUNCIL,15/07/2015,CHILDREN’S SOCIAL CARE,THE NATIONAL FOSTERING AGENCY LIMITED,15/07/2015,3129,FOSTER PARENTS BASIC ALLOWANCE,V000920486
ROCHDALE BOROUGH COUNCIL,15/07/2015,CHILDREN’S SOCIAL CARE,THE NATIONAL FOSTERING AGENCY LIMITED,15/07/2015,3150,FOSTER PARENTS BASIC ALLOWANCE,V000920488
ROCHDALE BOROUGH COUNCIL,15/07/2015,CHILDREN’S SOCIAL CARE,THE NATIONAL FOSTERING AGENCY LIMITED,15/07/2015,3180.3,FOSTER PARENTS BASIC ALLOWANCE,V000920489
ROCHDALE BOROUGH COUNCIL,15/07/2015,CHILDREN’S SOCIAL CARE,THE NATIONAL FOSTERING AGENCY LIMITED,15/07/2015,3278.4,FOSTER PARENTS BASIC ALLOWANCE,V000920485
ROCHDALE BOROUGH COUNCIL,15/07/2015,FINANCE SERVICES,TOTAL PHYSIOTHERAPY LIMITED,15/07/2015,1404,MEDICAL FEES,V000920559
ROCHDALE BOROUGH COUNCIL,15/07/2015,PHYSICAL DIS & OLDER PEOPLE,TUNSTALL HEALTHCARE (UK) LTD,15/07/2015,749.4,EQUIPMENT - GENERAL,V000920861
ROCHDALE BOROUGH COUNCIL,15/07/2015,PHYSICAL DIS & OLDER PEOPLE,TUNSTALL HEALTHCARE (UK) LTD,15/07/2015,880,EQUIPMENT - GENERAL,V000920863
ROCHDALE BOROUGH COUNCIL,15/07/2015,LEARNING DIS & MENTAL HEALTH,TURNING POINT SERVICES LIMITED,15/07/2015,16876.71,SP BLOCK PAYMENTS - EXTERNAL,V000920818
ROCHDALE BOROUGH COUNCIL,15/07/2015,CUSTOMERS & CORPORATE SERVICES,YOUNG AT HEART,15/07/2015,2200,ACTIVITIES,V000920986
ROCHDALE BOROUGH COUNCIL,16/07/2015,PROPERTY AND HIGHWAYS,A E YATES LTD,16/07/2015,1281.25,ROADWORKS,V000919846
ROCHDALE BOROUGH COUNCIL,16/07/2015,ECONOMY AND ENVIRONMENT,ARC4,16/07/2015,2728.5,CONSULTANT FEES,V000918872
ROCHDALE BOROUGH COUNCIL,16/07/2015,ECONOMY AND ENVIRONMENT,BRAHM FUNDCO 2 LTD,16/07/2015,22691.72,PFI SCHEMES RPI,V000920337
ROCHDALE BOROUGH COUNCIL,16/07/2015,PROPERTY AND HIGHWAYS,BSI STANDARDS LIMITED,16/07/2015,1603,SUBSCRIPTIONS,V000919844
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,16/07/2015,3770.57,FOSTER PARENTS BASIC ALLOWANCE,V000919381
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,16/07/2015,3770.57,FOSTER PARENTS BASIC ALLOWANCE,V000919382
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,16/07/2015,3786.43,FOSTER PARENTS BASIC ALLOWANCE,V000919388
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,16/07/2015,3906,FOSTER PARENTS BASIC ALLOWANCE,V000919385
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,16/07/2015,3969,FOSTER PARENTS BASIC ALLOWANCE,V000919379
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,16/07/2015,3969,FOSTER PARENTS BASIC ALLOWANCE,V000919384
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,16/07/2015,3969,FOSTER PARENTS BASIC ALLOWANCE,V000919393
ROCHDALE BOROUGH COUNCIL,16/07/2015,FINANCE SERVICES,CAPITA TREASURY SOLUTIONS LTD,16/07/2015,3837.5,CONSULTANT FEES,V000921219
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,16/07/2015,2768.7,VOLUNTARY ASSOCIATIONS,V000921007
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,16/07/2015,2811.9,VOLUNTARY ASSOCIATIONS,V000920997
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,16/07/2015,2811.9,VOLUNTARY ASSOCIATIONS,V000921004
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,16/07/2015,2846.7,VOLUNTARY ASSOCIATIONS,V000921000
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,16/07/2015,3053.7,VOLUNTARY ASSOCIATIONS,V000921008
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,16/07/2015,3081.3,VOLUNTARY ASSOCIATIONS,V000921001
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,16/07/2015,3081.3,VOLUNTARY ASSOCIATIONS,V000921005
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,16/07/2015,3081.9,VOLUNTARY ASSOCIATIONS,V000921009
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,16/07/2015,3124.2,VOLUNTARY ASSOCIATIONS,V000921003
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,16/07/2015,3124.2,VOLUNTARY ASSOCIATIONS,V000921006
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,16/07/2015,3162.9,VOLUNTARY ASSOCIATIONS,V000920998
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,16/07/2015,3162.9,VOLUNTARY ASSOCIATIONS,V000920999
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,16/07/2015,3261.3,VOLUNTARY ASSOCIATIONS,V000921002
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,16/07/2015,3312.9,VOLUNTARY ASSOCIATIONS,V000920996
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,16/07/2015,3338.7,VOLUNTARY ASSOCIATIONS,V000920995
ROCHDALE BOROUGH COUNCIL,16/07/2015,CUSTOMERS & CORPORATE SERVICES,DAISY COMMUNICATIONS LTD,16/07/2015,1290.6,SOFTWARE,V000920778
ROCHDALE BOROUGH COUNCIL,16/07/2015,CUSTOMERS & CORPORATE SERVICES,DAISY COMMUNICATIONS LTD,16/07/2015,1836.56,IT MAINTENANCE,V000920785
ROCHDALE BOROUGH COUNCIL,16/07/2015,CUSTOMERS & CORPORATE SERVICES,EMPLOYEE ADVISORY RESOURCE LIMITED,16/07/2015,3250,OFFICE EXPENSES,V000918892
ROCHDALE BOROUGH COUNCIL,16/07/2015,LEARNING DIS & MENTAL HEALTH,FRIENDS OF OLDER PARENT CARERS,16/07/2015,3569.83,VOLUNTARY ASSOCIATIONS,V000919022
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,FUTURE DIRECTIONS CIC,16/07/2015,11133,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V000920484
ROCHDALE BOROUGH COUNCIL,16/07/2015,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,16/07/2015,-7986.34,OTHER EST - SEN PROVISION,V000893104
ROCHDALE BOROUGH COUNCIL,16/07/2015,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,16/07/2015,-3714.33,OTHER EST - SEN PROVISION,V000893105
ROCHDALE BOROUGH COUNCIL,16/07/2015,PHYSICAL DIS & OLDER PEOPLE,HOPWOOD HALL COLLEGE,16/07/2015,500,ROOM HIRE,V000893123
ROCHDALE BOROUGH COUNCIL,16/07/2015,ECONOMY AND ENVIRONMENT,HOPWOOD HALL COLLEGE,16/07/2015,540,TRAINING-QUALIFICATION,V000897153
ROCHDALE BOROUGH COUNCIL,16/07/2015,PHYSICAL DIS & OLDER PEOPLE,HOPWOOD HALL COLLEGE,16/07/2015,600,ROOM HIRE,V000893848
ROCHDALE BOROUGH COUNCIL,16/07/2015,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,16/07/2015,24176.67,OTHER EST - SEN PROVISION,V000920276
ROCHDALE BOROUGH COUNCIL,16/07/2015,PROPERTY AND HIGHWAYS,J C MILLS & SON LIMITED,16/07/2015,700,TRANSACTIONS-EXPENDITURE,V000921605
ROCHDALE BOROUGH COUNCIL,16/07/2015,PROPERTY AND HIGHWAYS,J C MILLS & SON LIMITED,16/07/2015,2382.24,TRANSACTIONS-EXPENDITURE,V000921606
ROCHDALE BOROUGH COUNCIL,16/07/2015,EARLY HELP AND SCHOOLS,MCKEE COLLEGE HOUSE,16/07/2015,1800,COSTS MET BY SCHOOL,V000921602
ROCHDALE BOROUGH COUNCIL,16/07/2015,ECONOMY AND ENVIRONMENT,MR D ROUND,16/07/2015,2107,SITE CLEARANCE -ENVIRONMENTAL WORKS,V000919512
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,NEW HORIZONS STOCKPORT LIMITED,16/07/2015,7954,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V000921011
ROCHDALE BOROUGH COUNCIL,16/07/2015,ECONOMY AND ENVIRONMENT,NILFISK OUTDOOR PRODUCTS,16/07/2015,604.39,EQUIPMENT - GENERAL,V000919725
ROCHDALE BOROUGH COUNCIL,16/07/2015,FINANCE SERVICES,NORTHGATE PUBLIC SERVICES (UK) LTD,16/07/2015,1531.85,EXTERNAL CONTRACTED PRINTING,V000920550
ROCHDALE BOROUGH COUNCIL,16/07/2015,ECONOMY AND ENVIRONMENT,OTIS LTD,16/07/2015,-532.51,PROPERTY - WORKS ELEMENT,V000921603
ROCHDALE BOROUGH COUNCIL,16/07/2015,ECONOMY AND ENVIRONMENT,OTIS LTD,16/07/2015,1619.78,PROPERTY - WORKS ELEMENT,V000921608
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,PARALLEL PARENTS,16/07/2015,2828.7,FOSTER PARENTS BASIC ALLOWANCE,V000920494
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,PARALLEL PARENTS,16/07/2015,2949.3,FOSTER PARENTS BASIC ALLOWANCE,V000920491
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,PARALLEL PARENTS,16/07/2015,4671.3,FOSTER PARENTS BASIC ALLOWANCE,V000920490
ROCHDALE BOROUGH COUNCIL,16/07/2015,LEARNING DIS & MENTAL HEALTH,PETRUS,16/07/2015,23250,SERVICE LEVEL AGREEMENTS,V000913691
ROCHDALE BOROUGH COUNCIL,16/07/2015,LEARNING DIS & MENTAL HEALTH,PETRUS,16/07/2015,23250,SERVICE LEVEL AGREEMENTS,V000913692
ROCHDALE BOROUGH COUNCIL,16/07/2015,EARLY HELP AND SCHOOLS,PULSE HEALTHCARE LTD,16/07/2015,2635.92,HOME CARE - CHILDRENS SERVICES,V000920520
ROCHDALE BOROUGH COUNCIL,16/07/2015,ECONOMY AND ENVIRONMENT,REDACTED-PERSONAL DATA,16/07/2015,521.5,TAXI HIRE,V000921197
ROCHDALE BOROUGH COUNCIL,16/07/2015,EARLY HELP AND SCHOOLS,REDACTED-PERSONAL DATA,16/07/2015,594,GRANTS TO THE NON VOLUNTARY SECTOR,V000921637
ROCHDALE BOROUGH COUNCIL,16/07/2015,ECONOMY AND ENVIRONMENT,REDACTED-PERSONAL DATA,16/07/2015,1515,TAXI HIRE,V000921198
ROCHDALE BOROUGH COUNCIL,16/07/2015,ECONOMY AND ENVIRONMENT,REDACTED-PERSONAL DATA,16/07/2015,26400,TAXI HIRE,V000921196
ROCHDALE BOROUGH COUNCIL,16/07/2015,EARLY HELP AND SCHOOLS,RESPITE NORTH WEST LIMITED,16/07/2015,726.72,HOME CARE - CHILDRENS SERVICES,V000919665
ROCHDALE BOROUGH COUNCIL,16/07/2015,ECONOMY AND ENVIRONMENT,ROCHDALE ASSOCIATION FOOTBALL CLUB LTD,16/07/2015,1050,ACTIVITIES,V000920370
ROCHDALE BOROUGH COUNCIL,16/07/2015,ECONOMY AND ENVIRONMENT,ROCHDALE MEMORIAL SERVICE,16/07/2015,1170.62,MATERIAL - GENERAL,V000921146
ROCHDALE BOROUGH COUNCIL,16/07/2015,CUSTOMERS & CORPORATE SERVICES,ROCHDALE MEMORIAL SERVICE,16/07/2015,2400,ENVIRONMENTAL IMPROVEMENT SCHEMES - ENV,V000921195
ROCHDALE BOROUGH COUNCIL,16/07/2015,CUSTOMERS & CORPORATE SERVICES,SPECIALIST COMPUTER CENTRES PLC,16/07/2015,557.04,PURCHASE OF ICT HARDWARE,V000920751
ROCHDALE BOROUGH COUNCIL,16/07/2015,PUBLIC HEALTH,SUPERDRUG STORES PLC,16/07/2015,871.73,PH LCS PAYMENTS,V000920096
ROCHDALE BOROUGH COUNCIL,16/07/2015,ECONOMY AND ENVIRONMENT,TRAKM8 LIMITED,16/07/2015,2124,EQUIPMENT - GENERAL,V000920447
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,WELCOME FOSTER CARE,16/07/2015,3381.42,FOSTER PARENTS BASIC ALLOWANCE,V000921020
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,WELCOME FOSTER CARE,16/07/2015,4405.71,FOSTER PARENTS BASIC ALLOWANCE,V000921019
ROCHDALE BOROUGH COUNCIL,16/07/2015,CHILDREN’S SOCIAL CARE,WELCOME FOSTER CARE,16/07/2015,4650,FOSTER PARENTS BASIC ALLOWANCE,V000921018
ROCHDALE BOROUGH COUNCIL,16/07/2015,CUSTOMERS & CORPORATE SERVICES,XEROX UK LTD,16/07/2015,45652.91,TRANSACTIONS-EXPENDITURE,V000920780
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,17/07/2015,12470.98,HOME CARE - ADULT SERVICES,V000921759
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,BROADWAY BUILDING CONTRACTORS OLDHAM LTD,17/07/2015,2240,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,V000921705
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,BROADWAY BUILDING CONTRACTORS OLDHAM LTD,17/07/2015,2950,TRANSACTIONS-EXPENDITURE,V000921699
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,CALDERDALE HOMECARE LIMITED,17/07/2015,809.78,HOME CARE - ADULT SERVICES,V000921761
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,CARE 4 U,17/07/2015,7757.42,HOME CARE - ADULT SERVICES,V000921762
ROCHDALE BOROUGH COUNCIL,17/07/2015,ECONOMY AND ENVIRONMENT,CARIBOU GREEN WARMTH LLP,17/07/2015,163443.44,MISCELLANEOUS CAPITAL EXPENDITURE,V000919492
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,CASTLEROCK RECRUITMENT GROUP PLC,17/07/2015,1717.42,HOME CARE - ADULT SERVICES,V000921764
ROCHDALE BOROUGH COUNCIL,17/07/2015,EARLY HELP AND SCHOOLS,CHANNINGS EARLY YEARS SCHOOL,17/07/2015,7000,GRANTS TO OTHER BODIES,V000921647
ROCHDALE BOROUGH COUNCIL,17/07/2015,EARLY HELP AND SCHOOLS,CHANNINGS EARLY YEARS SCHOOL,17/07/2015,10000,GRANTS TO OTHER BODIES,V000921648
ROCHDALE BOROUGH COUNCIL,17/07/2015,EARLY HELP AND SCHOOLS,CHANNINGS EARLY YEARS SCHOOL,17/07/2015,10000,GRANTS TO OTHER BODIES,V000921655
ROCHDALE BOROUGH COUNCIL,17/07/2015,EARLY HELP AND SCHOOLS,CHUBB FIRE AND SECURITY LIMITED,17/07/2015,853.95,SECURITY,V000921794
ROCHDALE BOROUGH COUNCIL,17/07/2015,ECONOMY AND ENVIRONMENT,CIVICA UK LIMITED,17/07/2015,975,IT MAINTENANCE,V000916055
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,CIVICA UK LIMITED,17/07/2015,975,IT MAINTENANCE,V000916055
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,17/07/2015,14226.62,HOME CARE - ADULT SERVICES,V000921766
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,COMMUNITY CARE LINE SERVICES,17/07/2015,4229.93,HOME CARE - ADULT SERVICES,V000921765
ROCHDALE BOROUGH COUNCIL,17/07/2015,FINANCE SERVICES,CO-OP PAYPOINT,17/07/2015,7125.3,FEES/COMMISSIONS,V000921630
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,COTTAGE HOMECARE SERVICES,17/07/2015,2652.05,HOME CARE - ADULT SERVICES,V000921767
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,CROSSROADS CARE IN GREATER MANCHESTER,17/07/2015,1104.19,HOME CARE - ADULT SERVICES,V000921768
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,DIRECT HEALTH UK LTD,17/07/2015,4807.3,HOME CARE - ADULT SERVICES,V000921769
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,DR G A GADEKAR,17/07/2015,890.85,EXPENSES - GENERAL,V000920197
ROCHDALE BOROUGH COUNCIL,17/07/2015,ECONOMY AND ENVIRONMENT,ENVIRONMENT AGENCY,17/07/2015,1026,SEWERAGE,V000921678
ROCHDALE BOROUGH COUNCIL,17/07/2015,PROPERTY AND HIGHWAYS,F BRIERLEY & SON LIMITED,17/07/2015,870,TRANSACTIONS-EXPENDITURE,V000921730
ROCHDALE BOROUGH COUNCIL,17/07/2015,PROPERTY AND HIGHWAYS,F BRIERLEY & SON LIMITED,17/07/2015,1470,TRANSACTIONS-EXPENDITURE,V000921731
ROCHDALE BOROUGH COUNCIL,17/07/2015,ECONOMY AND ENVIRONMENT,FLEET LINE MARKERS LTD,17/07/2015,629.9,EQUIPMENT - GENERAL,V000920882
ROCHDALE BOROUGH COUNCIL,17/07/2015,ECONOMY AND ENVIRONMENT,G4S SECURE SOLUTIONS UK  LTD,17/07/2015,2425.5,SECURITY,V000921676
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,GREAT CARE UK,17/07/2015,3754.73,HOME CARE - ADULT SERVICES,V000921770
ROCHDALE BOROUGH COUNCIL,17/07/2015,ECONOMY AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,508.76,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,512.08,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,ECONOMY AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,516.78,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,529.8,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,ECONOMY AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,536.88,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,543.16,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,558.15,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,580.47,CAPITAL SALARIES,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,ECONOMY AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,607.17,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,ECONOMY AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,632.37,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,635.19,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,638.04,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,ECONOMY AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,654.9,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,ECONOMY AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,654.9,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,659.69,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,659.69,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,ECONOMY AND ENVIRONMENT,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,667.36,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,EARLY HELP AND SCHOOLS,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,673.43,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,678.21,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,678.23,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,678.65,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,PROPERTY AND HIGHWAYS,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,679.32,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,EARLY HELP AND SCHOOLS,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,707.41,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,EARLY HELP AND SCHOOLS,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,731.94,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,732.27,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,735.52,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,PROPERTY AND HIGHWAYS,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,740.74,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,EARLY HELP AND SCHOOLS,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,747.02,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,CUSTOMERS & CORPORATE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,785.7,CAPITAL SALARIES,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,792.6,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,PROPERTY AND HIGHWAYS,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,803.65,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,814.67,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,PHYSICAL DIS & OLDER PEOPLE,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,814.67,AGENCY STAFF,V000921810
ROCHDALE BOROUGH COUNCIL,17/07/2015,FINANCE SERVICES,HAYS SPECIALIST RECRUITMENT LTD,17/07/2015,826.13,AGENCY STAFF,V000921810
