ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT £,PURPOSE,TRANSACTION NO
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BEECH HOUSE,17/03/2017,580.70 ,RESIDENTIAL LONG TERM,V001105963
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001105965
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,17/03/2017,580.98 ,RESIDENTIAL LONG TERM,V001105968
ROCHDALE BOROUGH COUNCIL,17/03/2017,LEARNING DIS & MENTAL HEALTH,REDESDALE COURT,17/03/2017,1052.46 ,RESIDENTIAL LONG TERM,V001105969
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001105972
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,17/03/2017,516.48 ,RESIDENTIAL LONG TERM,V001105973
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ST GEORGES NURSING HOME OLDHAM LTD,17/03/2017,1475.70 ,NURSING LONG TERM,V001105974
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001105975
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001105976
ROCHDALE BOROUGH COUNCIL,17/03/2017,LEARNING DIS & MENTAL HEALTH,FERN BANK REST HOME,17/03/2017,1433.00 ,RESIDENTIAL LONG TERM,V001105977
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,17/03/2017,565.22 ,RESIDENTIAL LONG TERM,V001105978
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,HURSTEAD HOUSE CARE HOME,17/03/2017,565.54 ,RESIDENTIAL LONG TERM,V001105980
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,17/03/2017,580.78 ,RESIDENTIAL LONG TERM,V001105981
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,17/03/2017,859.52 ,NURSING LONG TERM,V001105982
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,17/03/2017,532.40 ,RESIDENTIAL LONG TERM,V001105983
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,DRB HEALTHCARE LTD,17/03/2017,577.70 ,RESIDENTIAL LONG TERM,V001105984
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001105985
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,17/03/2017,598.12 ,NURSING LONG TERM,V001105988
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,17/03/2017,614.12 ,RESIDENTIAL LONG TERM,V001105989
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS,17/03/2017,566.00 ,RESIDENTIAL LONG TERM,V001105990
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,17/03/2017,613.94 ,SHORT TERM CARE - RESIDENTIAL,V001105991
ROCHDALE BOROUGH COUNCIL,17/03/2017,LEARNING DIS & MENTAL HEALTH,CHURCH WALK HEALTH CARE LTD,17/03/2017,7615.74 ,RESIDENTIAL LONG TERM,V001105992
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,17/03/2017,637.68 ,NURSING LONG TERM,V001105993
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,THORNCLIFFE GRANGE NH,17/03/2017,761.10 ,NURSING LONG TERM,V001105994
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,17/03/2017,588.28 ,RESIDENTIAL LONG TERM,V001105995
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/03/2017,502.94 ,RESIDENTIAL LONG TERM,V001105996
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,WIMSLEY CARE HOME,17/03/2017,754.60 ,RESIDENTIAL LONG TERM,V001105998
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,17/03/2017,605.30 ,RESIDENTIAL LONG TERM,V001105999
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,17/03/2017,632.90 ,SELF - FUNDING DEFERRED PAYMENTS,V001106000
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106001
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,HC ONE,17/03/2017,676.60 ,NURSING LONG TERM,V001106002
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,17/03/2017,-555.40 ,RESIDENTIAL LONG TERM,V001106003
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,17/03/2017,-598.12 ,RESIDENTIAL LONG TERM,V001106004
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,17/03/2017,-598.12 ,RESIDENTIAL LONG TERM,V001106005
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,17/03/2017,859.52 ,RESIDENTIAL LONG TERM,V001106006
ROCHDALE BOROUGH COUNCIL,17/03/2017,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,17/03/2017,859.52 ,RESIDENTIAL LONG TERM,V001106007
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/03/2017,659.22 ,NURSING LONG TERM,V001106008
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,17/03/2017,547.78 ,RESIDENTIAL LONG TERM,V001106009
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106010
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,17/03/2017,859.52 ,RESIDENTIAL LONG TERM,V001106012
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,17/03/2017,859.52 ,RESIDENTIAL LONG TERM,V001106013
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,17/03/2017,859.52 ,RESIDENTIAL LONG TERM,V001106014
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,17/03/2017,859.52 ,RESIDENTIAL LONG TERM,V001106015
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,17/03/2017,859.52 ,RESIDENTIAL LONG TERM,V001106016
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,17/03/2017,798.13 ,RESIDENTIAL LONG TERM,V001106017
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,17/03/2017,569.76 ,RESIDENTIAL LONG TERM,V001106020
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,17/03/2017,580.86 ,RESIDENTIAL LONG TERM,V001106022
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,17/03/2017,580.86 ,RESIDENTIAL LONG TERM,V001106023
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,17/03/2017,580.86 ,RESIDENTIAL LONG TERM,V001106024
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/03/2017,560.38 ,RESIDENTIAL LONG TERM,V001106026
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106030
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/03/2017,561.98 ,RESIDENTIAL LONG TERM,V001106031
ROCHDALE BOROUGH COUNCIL,17/03/2017,LEARNING DIS & MENTAL HEALTH,GORSEY CLOUGH NURSING HOME,17/03/2017,841.88 ,NURSING LONG TERM,V001106033
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,17/03/2017,623.30 ,RESIDENTIAL LONG TERM,V001106035
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BELVOIR CARE HOME LIMITED,17/03/2017,610.92 ,SELF - FUNDING DEFERRED PAYMENTS,V001106036
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106037
ROCHDALE BOROUGH COUNCIL,17/03/2017,LEARNING DIS & MENTAL HEALTH,LEIGHTON HOUSE RETIREMENT HOME LIMITED,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106038
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,17/03/2017,580.24 ,RESIDENTIAL LONG TERM,V001106039
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106040
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,17/03/2017,584.62 ,RESIDENTIAL LONG TERM,V001106041
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/03/2017,549.66 ,RESIDENTIAL LONG TERM,V001106042
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106044
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,17/03/2017,519.46 ,RESIDENTIAL LONG TERM,V001106046
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,MONA CLIFFE CARE HOME,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106047
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ASQUITH HALL,17/03/2017,-2254.00 ,RESIDENTIAL LONG TERM,V001106048
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ASQUITH HALL,17/03/2017,-4508.00 ,RESIDENTIAL LONG TERM,V001106049
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ASQUITH HALL,17/03/2017,-4508.00 ,RESIDENTIAL LONG TERM,V001106050
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ASQUITH HALL,17/03/2017,2066.00 ,NURSING LONG TERM,V001106051
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ASQUITH HALL,17/03/2017,2800.00 ,NURSING LONG TERM,V001106052
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ASQUITH HALL,17/03/2017,2800.00 ,NURSING LONG TERM,V001106053
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ASQUITH HALL,17/03/2017,2800.00 ,NURSING LONG TERM,V001106054
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/03/2017,554.68 ,NURSING LONG TERM,V001106055
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,MONA CLIFFE CARE HOME,17/03/2017,557.24 ,RESIDENTIAL LONG TERM,V001106056
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,17/03/2017,672.46 ,NURSING LONG TERM,V001106059
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,17/03/2017,505.54 ,SHORT TERM CARE - RESIDENTIAL,V001106060
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,17/03/2017,884.70 ,SHORT TERM CARE - RESIDENTIAL,V001106061
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,17/03/2017,884.70 ,SHORT TERM CARE - RESIDENTIAL,V001106062
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,17/03/2017,590.30 ,RESIDENTIAL LONG TERM,V001106063
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,17/03/2017,614.12 ,RESIDENTIAL LONG TERM,V001106064
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,DRB HEALTHCARE LTD,17/03/2017,598.12 ,NURSING LONG TERM,V001106066
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106067
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106068
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,17/03/2017,547.88 ,RESIDENTIAL LONG TERM,V001106081
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/03/2017,623.30 ,RESIDENTIAL LONG TERM,V001106083
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,17/03/2017,884.70 ,RESIDENTIAL LONG TERM,V001106085
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106086
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,IDEAL CARE HOMES NUMBER ONE LIMITED,17/03/2017,950.00 ,ASSESSMENT CARE,V001106087
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,IDEAL CARE HOMES NUMBER ONE LIMITED,17/03/2017,950.00 ,ASSESSMENT CARE,V001106088
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,IDEAL CARE HOMES NUMBER ONE LIMITED,17/03/2017,746.43 ,ASSESSMENT CARE,V001106089
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106091
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,17/03/2017,565.92 ,RESIDENTIAL LONG TERM,V001106092
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,STANSFIELD HALL REST HOME,17/03/2017,859.52 ,RESIDENTIAL LONG TERM,V001106093
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,17/03/2017,691.76 ,RESIDENTIAL LONG TERM,V001106097
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,17/03/2017,505.26 ,RESIDENTIAL LONG TERM,V001106098
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/03/2017,623.30 ,RESIDENTIAL LONG TERM,V001106099
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/03/2017,573.74 ,RESIDENTIAL LONG TERM,V001106100
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/03/2017,613.94 ,ASSESSMENT CARE,V001106101
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,17/03/2017,582.60 ,RESIDENTIAL LONG TERM,V001106102
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,HORIZON  RESIDENTIAL HOMES LTD,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106104
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,17/03/2017,653.74 ,RESIDENTIAL LONG TERM,V001106105
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106106
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,DENTAK CARE AND SERVICES LIMITED,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106107
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,DENTAK CARE AND SERVICES LIMITED,17/03/2017,598.12 ,NURSING LONG TERM,V001106108
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/03/2017,666.94 ,RESIDENTIAL LONG TERM,V001106110
ROCHDALE BOROUGH COUNCIL,17/03/2017,LEARNING DIS & MENTAL HEALTH,LIFETIME OPPORTUNITIES,17/03/2017,3902.50 ,RESIDENTIAL LONG TERM,V001106111
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,17/03/2017,572.68 ,RESIDENTIAL LONG TERM,V001106112
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,DRB HEALTHCARE LTD,17/03/2017,567.50 ,NURSING LONG TERM,V001106115
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,17/03/2017,1384.40 ,RESIDENTIAL LONG TERM,V001106117
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/03/2017,598.12 ,NURSING LONG TERM,V001106118
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,17/03/2017,537.20 ,RESIDENTIAL LONG TERM,V001106128
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,17/03/2017,637.30 ,RESIDENTIAL LONG TERM,V001106129
ROCHDALE BOROUGH COUNCIL,17/03/2017,LEARNING DIS & MENTAL HEALTH,DENTAK CARE AND SERVICES LIMITED,17/03/2017,519.98 ,NURSING LONG TERM,V001106130
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,17/03/2017,513.54 ,RESIDENTIAL LONG TERM,V001106131
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,17/03/2017,552.55 ,SHORT TERM CARE - RESIDENTIAL,V001106132
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,17/03/2017,859.52 ,SHORT TERM CARE - RESIDENTIAL,V001106133
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,17/03/2017,859.52 ,SHORT TERM CARE - RESIDENTIAL,V001106134
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,ASQUITH HALL,17/03/2017,2487.50 ,RESIDENTIAL LONG TERM,V001106136
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,DRB HEALTHCARE LTD,17/03/2017,749.32 ,NURSING LONG TERM,V001106138
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/03/2017,588.46 ,RESIDENTIAL LONG TERM,V001106139
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106140
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BELVOIR CARE HOME LIMITED,17/03/2017,859.52 ,RESIDENTIAL LONG TERM,V001106141
ROCHDALE BOROUGH COUNCIL,17/03/2017,LEARNING DIS & MENTAL HEALTH,ATLANTIS MEDICARE LTD,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106142
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BEECH HOUSE,17/03/2017,598.12 ,RESIDENTIAL LONG TERM,V001106143
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,17/03/2017,549.80 ,RESIDENTIAL LONG TERM,V001106145
ROCHDALE BOROUGH COUNCIL,17/03/2017,LEARNING DIS & MENTAL HEALTH,AS CARE SOLUTIONS LTD,17/03/2017,2900.00 ,RESIDENTIAL LONG TERM,V001106146
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,17/03/2017,597.48 ,RESIDENTIAL LONG TERM,V001106147
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,17/03/2017,859.52 ,ASSESSMENT CARE,V001106149
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,17/03/2017,577.18 ,RESIDENTIAL LONG TERM,V001106150
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,17/03/2017,564.28 ,RESIDENTIAL LONG TERM,V001106151
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,17/03/2017,610.66 ,RESIDENTIAL LONG TERM,V001106152
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,17/03/2017,598.12 ,NURSING LONG TERM,V001106153
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,17/03/2017,526.96 ,NURSING LONG TERM,V001106154
ROCHDALE BOROUGH COUNCIL,17/03/2017,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LIMITED,17/03/2017,859.52 ,NURSING LONG TERM,V001106155
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,17/03/2017,544.44 ,RESIDENTIAL LONG TERM,V001106156
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/03/2017,697.40 ,NURSING LONG TERM,V001106157
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,17/03/2017,697.40 ,NURSING LONG TERM,V001106158
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,MONA CLIFFE CARE HOME,17/03/2017,578.00 ,RESIDENTIAL LONG TERM,V001106159
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/03/2017,884.70 ,RESIDENTIAL LONG TERM,V001106160
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,17/03/2017,547.88 ,RESIDENTIAL LONG TERM,V001106161
ROCHDALE BOROUGH COUNCIL,17/03/2017,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,17/03/2017,550.04 ,RESIDENTIAL LONG TERM,V001106162
