PROPERTY_DESCRIPTION,PROPREF,PROPERTY_ADDRESS,RATEPAYER,RV,LIABILITY_START,RELIEF_AS_AT_TODAY
Public House and Premises,68824703,"The Old Brandy Wine, Station Road, Luddendenfoot, Halifax             HX2 6AD",,8250,06/01/1997,DRR MVR
Public House and Premises,68828702,"Pear Tree Inn, Station Road, Norwood Green, Halifax             HX3 8QD",The Bridgehouse Pub Company Ltd,11750,06/11/2015,DRR
Public House and Premises,68872704,"Stump Cross Inn, Stump Cross, Halifax, HX3 7AY",,32250,29/10/2007,DRR
Public House and Premises,68876700,"Three Pigeons Inn, 1 Sun Fold, Halifax, HX1 2LX",Ossett Brewery Pub Co Ltd,10500,07/03/2005,DRR SBR
Public House and Premises,68904700,"New Street Hotel, 38 Sutcliffe Street, Pellon, Halifax             HX2 0HG",,2650,10/02/2014,SBR
Public House and Premises,69004701,"Travellers Inn, Tanhouse Hill, Hipperholme, Halifax             HX3 8HN",Ossett Brewery Pub Co Ltd,3450,28/11/2005,DRR SBR
Public House and Premises,69092700,"Duke Of York Inn, Towngate, Stainland, Halifax             HX4 9HF",Daniel Thwaites Plc,12500,17/02/2016,SBR
Public House and Premises,69136005,"5 Union Cross Yard, Halifax, HX1 1PR",The Beer Emporium Halifax Ltd,8400,04/04/2015,SBR DRR
Public House and Premises,69168700,"Ring 'O' Bells, 3 Upper Kirkgate, Halifax, HX1 1QS",Roadside Taverns Ltd,9100,11/07/2013,DRR SBR
Public House and Premises,69180700,"The Royal, 76 Upper Washer Lane, Halifax, HX2 7DR",,8100,20/10/2014,SBR DRR
Public House and Premises,69192700,"Queen Victoria Inn, 10/12 Victoria Place, Bradford Road, Northowram           HX3 7HY",,9400,30/09/2015,DRR SBR
Public House and Premises,69208701,"Old White Bear, Village Street, Norwood Green, Halifax             HX3 8QG",,51750,01/03/2008,
Public House and Premises,69216700,"Bottomleys Arms, Wade House Road, Shelf, Halifax             HX3 7NU",,26500,01/08/2011,DRR
Public House and Premises,69216701,"Duke William Inn, Wade House Road, Shelf, Halifax             HX3 7PF",Prosperity Inns Ltd,20000,10/09/2015,DRR
Public House and Premises,69240709,"Volunteer Arms, 62 Wakefield Road, Copley, Halifax             HX3 0UA",,15500,09/02/2004,SBR DRR
Public House and Premises,69248702,"Sun Inn, 154 Wakefield Road, Lightcliffe, Halifax             HX3 8TH",Hop & Hide Ltd,58500,23/10/2015,DRR
Public House and Premises,69264715,"The Court Yard, 5/6 Wards End, Halifax, HX1 1BX",Enterprise Inns Plc,22750,15/12/2015,EX
Public House and Premises,69276705,"Horse & Jockey Inn, 301 Warley Road, Halifax, HX2 0AD",,17250,27/09/2013,SBR DRR
Public House and Premises,69280702,"Maypole Inn, 32 Warley Town, Stock Lane, Halifax              HX2 7RZ",Maypole Inn (Halifax) Ltd,19250,20/03/2011,DRR
Public House and Premises,69368700,"Duke Of York Inn, West Street, Shelf, Halifax             HX3 7LN",,25000,17/08/2015,DRR
Public House and Premises,69400703,"The Westgate, 28 Westgate, Halifax, HX1 1PW",Doublebar Ltd,16250,11/05/2015,DRR SBR
Public House and Premises,69404702,"1885 The Pub, Westgate, Stainland, Halifax              HX4 9HN",1885 The Pub Limited,7000,04/09/2012,SBR
Public House and Premises,69428700,"Cross Keys Inn, Whitegate, Siddal, Halifax             HX3 9AE",,2500,30/11/2012,SBR
Public House and Premises,69476704,"The Old Post Office, 55 Winding Road, Halifax, HX1 1SJ",,11750,29/03/2010,SBR DRR
Public House and Premises,69484700,"The Winterburn, 1 Winterburn Hill, Warley, Halifax              HX2 7SQ",,14500,05/08/2015,DRR SBR
Public House and Premises,76012711,"Albert Hotel, 3 Albert Street, Hebden Bridge, HX7 8AH",,12250,24/11/2015,EX
Public House and Premises,76060703,"Shoulder Of Mutton, Bridge Gate, Hebden Bridge, HX7 8EX",,29500,08/07/2015,EX
Public House and Premises,76060704,"White Swan Hotel, Bridge Gate, Hebden Bridge, HX7 8EX",,15500,21/06/1999,EX
Public House and Premises,76088748,"White Lion Hotel, Burnley Road, Mytholmroyd, Hebden Bridge       HX7 5LN",,6250,01/04/2015,SBR DRR
Public House and Premises,76088849,"Dusty Miller Hotel, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5LH",,24250,29/06/2015,EX
Public House and Premises,76108700,"Marshalls Bar, Carlton Street, Hebden Bridge, HX7 8ER",,4500,24/05/2000,DRR SBR
Public House and Premises,76156706,"Robin Hood Inn, Cragg Road, Cragg Vale, Hebden Bridge       HX7 5SQ",,6700,30/09/2009,SBR DRR
Public House and Premises,76164701,"Hinchcliffe Arms, Cragg Vale, Hebden Bridge, HX7 5TA",Mellor And Cross Limited,7300,01/12/2015,SBR DRR
Public House and Premises,76176701,"The Crown Inn, 10 Crown Street, Hebden Bridge, HX7 8EH",Delta Origins Ltd,17000,21/03/2015,EX
Public House and Premises,76176722,"Basement Carlton Hotel, Crown Street, Hebden Bridge, HX7 8EH",,10700,01/04/1997,EX
Public House and Premises,76264706,"Fox & Goose Inn, 9 Heptonstall Road, Hebden Bridge, HX7 6AZ",,11750,28/09/2013,SBR DRR
Public House and Premises,76304700,"New Delight Inn, Blackshawhead, Hebden Bridge, HX7 7HT",,6700,30/03/2014,DRR SBR
Public House and Premises,76316702,"Robin Hood Inn, 26 Keighley Road, Pecket Well, Hebden Bridge       HX7 8QR",,9800,13/04/2004,EX
Public House and Premises,76324700,"Hare & Hounds Inn, Wadsworth, Hebden Bridge, HX7 8TN",Lane Ends Ltd,5900,06/01/2009,DRR MVR
Public House and Premises,76396716,"Railway Inn, 12 New Road, Hebden Bridge, HX7 8AD",,18750,24/11/2015,DRR
Public House and Premises,76408704,"Shoulder Of Mutton Inn, New Road, Mytholmroyd, Hebden Bridge       HX7 5DZ",,17250,09/03/2015,EX
Public House and Premises,76508716,"White Lion Hotel, St Georges Square, Hebden Bridge, HX7 8ET",,56000,19/09/2011,
Public House and Premises,76520700,"Stubbing Wharf Hotel, Hebden Bridge, HX7 6LU",The Stubbing Wharf Hb Ltd,18250,01/04/2012,EX
Public House and Premises,76540712,"Cross Inn, 46 Towngate, Heptonstall, Hebden Bridge       HX7 7NB",,6100,29/08/2014,DRR SBR
Public House and Premises,76540713,"White Lion Inn, 58 Towngate, Heptonstall, Hebden Bridge       HX7 7NB",,2475,25/06/2012,SBR
Public House And Premises,76576721,"Old Gate Bar & Restaurant, 1-5 West End, Hebden Bridge, HX7 8JP",Old Gate Restaurant Ltd,80000,01/04/2015,EX
Public House and Premises,76592700,"Pack Horse Inn, Widdop, Hebden Bridge, HX7 7AT",,16000,01/04/1990,DRR SBR
Public House And Premises,77008700,"Alma Inn, Alma Lane, Ripponden, Sowerby Bridge      HX6 4NS",,15250,01/04/1990,SBR DRR
Public House And Premises,77032713,"Turks Head Inn, Back Wharf Street, Sowerby Bridge, HX6 2AD",Perfect 10 Pub Company Ltd,9400,14/08/2014,SBR DRR
Public House and Premises,77076707,"Shepherd's Rest Inn, 125 Bolton Brow, Sowerby Bridge, HX6 2BD",Izakaya Pub Co Ltd,6000,28/10/2005,DRR SBR
Public House and Premises,77092700,"Ye Olde Bridge Inn, Bridge Road, Ripponden, Sowerby Bridge      HX6 4DT",,26750,01/05/2001,DRR
Public House and Premises,77128703,"The Moorings, Canal Wharf, Sowerby Bridge, HX6 2AG",Mavs 3 Ltd,60000,23/09/2015,EX
Public House and Premises,77144701,"Navigation Inn, 47 Chapel Lane, Sowerby Bridge, HX6 3LF",,14000,27/10/2008,SBR DRR
Public House and Premises,77240705,"The Milestone, Halifax Road, Ripponden, Sowerby Bridge       HX6 4BQ",Boothwood Ltd,6500,01/05/2011,DRR SBR
Public House and Premises,77264700,"The Hobbit, Hob Lane, Norland, Sowerby Bridge       HX6 3QL",Smithy Pubs Ltd,37000,31/01/2013,DRR
Public House and Premises,77268701,"Beehive Inn, 48 Hob Lane, Ripponden, Sowerby Bridge      HX6 4LU",,34000,30/06/2011,DRR
Public House and Premises,77276706,"The Works, 12 Hollins Mill Lane, Sowerby Bridge, HX6 2QG",,60000,30/08/2005,
Public House and Premises,77276723,"Puzzle Hall Inn, 21 Hollins Mill Lane, Sowerby Bridge, HX6 2RF",,8200,16/11/2010,EX
Public House and Premises,77360700,"Moorcock Inn, Moor Bottom Lane, Norland, Sowerby Bridge       HX6 3RP",Moorcock Norland Ltd,7000,06/10/2015,SBR DRR
Public House and Premises,77408717,"The Silk Mill, Oldham Road, Ripponden, Sowerby Bridge       HX6 4EB",Silk Mill (Ripponden) Ltd,7300,16/12/2009,DRR SBR
Public House and Premises,77412701,"The Booth Wood Inn, Oldham Road, Rishworth, Sowerby Bridge       HX6 4QU",The Booth Wood Inn Ltd,4300,20/09/2012,SBR
Public House and Premises,77412711,"The Malt House, 270 Oldham Road, Rishworth, Sowerby Bridge       HX6 4QB",Enterprise Inns Plc,56500,11/11/2015,EX
Public House And Premises,77412731,"The Turnpike, Oldham Road, Rishworth, Sowerby Bridge       HX6 4RH",J W Lees & Co (Brewers) Ltd,46750,01/08/2011,DRR
Public House And Premises,77460724,"Butchers Arms, Rochdale Road, Ripponden, Sowerby Bridge       HX6 4JU",The Farm Ripponden Ltd,3850,01/09/2011,DRR SBR
Public House and Premises,77464704,"Triangle Inn, Rochdale Road, Triangle, Sowerby Bridge      HX6 3NE",Kaberry Building Ltd,7300,25/03/2010,EX
Public House and Premises,77500708,"Church Stile Inn, Sowerby New Road, Sowerby Bridge, HX6 1JZ",,4400,08/01/2016,EX
Public House and Premises,77504700,"Royal Oak Hotel, Sowerby Street, Sowerby Bridge, HX6 3AT",,5000,02/07/2013,SBR
Public House and Premises,77528700,"White Horse Inn, Spring Gardens, Burnley Road, Sowerby Bridge      HX6 2TW",D & V Bars And Inns Ltd,11250,02/05/2015,SBR DRR
Public House and Premises,77552708,"Bridges Cafe Bar, Station Road, Sowerby Bridge, HX6 3LB",Network Rail Ltd,14000,17/04/2013,ER
Public House and Premises,77596716,"4 Tower Hill, Sowerby Bridge, HX6 2EQ",Mbi Asset Management Ltd,8100,16/05/2013,SBR
Public House and Premises,77600018,"18 Town Hall Street, Sowerby Bridge, HX6 2EA",Alley Bar Ltd,12500,30/01/2012,DRR SBR
Public House and Premises,77600710,"Bulls Head Hotel, Town Hall Street, Sowerby Bridge, HX6 2EA",Adw Investments Ltd,8100,25/07/2015,EX
Public House and Premises,77612704,"Waiters Arms, 61 Tuel Lane, Sowerby Bridge, HX6 2EW",,4100,17/12/2009,SBR
Public House and Premises,77648710,"The Long Chimney, 1 West Street, Sowerby Bridge, HX6 3AN",,2600,01/04/1990,EX
Public House And Premises,77652708,"Roxy Bingo & Social Club, Wharf Street, Sowerby Bridge, HX6 2AE",Roxy Venue (Sowerby Bridge) Ltd,24250,16/02/2015,DRR
Public House and Premises,77652711,"The Commercial, Wharf Street, Sowerby Bridge, HX6 2LA",J D Wetherspoon Plc,11250,25/09/2012,SBR
Public House and Premises,77652721,"Williams, 80/82 Wharf Street, Sowerby Bridge, HX6 2LB",,8100,05/10/2009,DRR SBR
Public House and Premises,78012700,"Hare & Hounds Inn, Ashenhurst Road, Todmorden, OL14 8EA",,6000,06/04/2015,SBR
Public House and Premises,78024722,"Masons Arms, 1 Bacup Road, Todmorden, OL14 7PN",Warby Ltd,6900,01/04/2012,EX
Public House and Premises,78040710,"Weavers Arms, 5 Blind Lane, Todmorden, OL14 5HZ",D J P Leisure Ltd,3600,28/04/2014,EX
Public House and Premises,78076728,"Roebuck Inn, Burnley Road, Todmorden, OL14 8PY",,4100,11/03/1995,DRR SBR
Public House and Premises,78076754,"The Polished Knob, 31 Burnley Road, Todmorden, OL14 7BU",,17250,27/06/2010,DRR SBR
Public House and Premises,78076756,"House That Jack Built Inn, 122 Burnley Road, Todmorden, OL14 5JT",Foras Bar Ltd,7200,29/10/2015,EX
Public House and Premises,78076759,"Staff Of Life Inn, 550 Burnley Road, Todmorden, OL14 8JF",,4600,01/04/2011,DRR SBR
Public House and Premises,78076767,"Waggon & Horses Inn, 752 Burnley Road, Todmorden, OL14 8LF",,8100,01/04/1998,EX
Public House and Premises,78076773,"Glen View Inn, 853 Burnley Road, Todmorden, OL14 7EW",,4000,01/04/1990,SBR
Public House and Premises,78160700,"Golden Lion Hotel, Fielden Square, Todmorden, OL14 6LZ",Golden Monkeys Ltd,10250,01/03/2015,EX
Public House and Premises,78192747,"Wellington Inn, 3 Halifax Road, Todmorden, OL14 5AG",Merrie Men Inns Ltd,6800,04/09/2013,SBR DRR
Public House and Premises,78192749,"Duke Of York Inn, 20 Halifax Road, Todmorden, OL14 5AD",Merrie Men Inns Preston Ltd,22750,10/11/2001,DRR
Public House and Premises,78192755,"Rope And Anchor Inn, 132 Halifax Road, Todmorden, OL14 5QR",,7900,01/04/2012,DRR SBR
Public House and Premises,78192757,"Shannon & Chesapeake Inn, 257 Halifax Road, Todmorden, OL14 5RX",,6250,16/07/2014,SBR DRR
Public House and Premises,78292701,"Top Brink Inn, Lumbutts, Lumbutts Road, Todmorden           OL14 6JB",,71500,30/04/1991,
Public House And Premises,78296700,"Shepherds Rest Inn, Lumbutts Road, Todmorden, OL14 6JJ",,21000,01/02/2005,DRR
Public House and Premises,78400746,"Royal George Hotel, 17 Rochdale Road, Todmorden, OL14 5AA",,8100,08/07/2011,EX
Public House and Premises,78400747,"Bramsche Bar, 31 Rochdale Road, Todmorden, OL14 7LA",Pivo Ltd,6600,01/02/2015,EX
Public House and Premises,78400750,"Woodpecker Inn, 224 Rochdale Road, Todmorden, OL14 7NU",,2950,23/10/2014,EX
Public House and Premises,78400753,"Cross Keys Inn, 649 Rochdale Road, Todmorden, OL14 6SX",Mark Routledge Electrical Services Ltd,6600,10/06/2015,ER
Public House and Premises,78400755,"Border Rose, 772 Rochdale Road, Todmorden, OL14 7UA",,5800,26/06/2001,SBR
Public House and Premises,78400760,"Wagon & Horses Inn, 786 Rochdale Road, Todmorden, OL14 7UA",,5400,17/04/2014,SBR
Public House and Premises,78524702,"White Hart Hotel, White Hart Fold, Todmorden, OL14 7BD",J D Wetherspoon Plc,76500,27/04/2011,
Public House and Premises,79003700,"The Ainley Top, Brighouse Road, Ainley Top, Huddersfield        HD2 2LB",Mitchells And Butlers Retail Ltd,148000,02/10/2006,
Public House and Premises,79028701,"Nags Head Inn, New Hey Road, Fixby, Huddersfield         HD2 2EA",Orchid Pubs And Dining Ltd,69000,14/12/2008,
Quarry And Premises,29296705,"Pond Quarry, Halifax Road, Brighouse, HD6 2PB",Pond Quarry Stone Co Ltd,8700,01/04/1990,SBR
Quarry And Premises,29400703,"Lower Edge Road, Brighouse, HD6 3LD",,25250,01/04/1995,
Quarry And Premises,64408704,"Squire Hill Quarries, Brookfoot Lane, Halifax, HX3 9SX",W S Crossley Ltd,490,01/07/1995,SBR
Quarry And Premises,64408707,"Brier Lodge & Grove Quarries, Brookfoot Lane, Southowram, Halifax              HX3 9SX",Marshalls Mono Ltd,55000,01/11/2004,
Quarry And Premises,64448789,"Friendly Quarry, Burnley Road, Luddendenfoot, Halifax             HX2 6BD",Yorkshire Stone Craft Ltd,3400,01/02/2010,SBR
Quarry And Premises,64690700,"Corporal Lane Quarry, Corporal Lane, Halifax, HX3 7TG",,550,01/04/1996,SBR
Quarry And Premises,65160701,"Gibb Lane Quarry, Gibb Lane, Mount Tabor, Halifax             HX2 0UG",Smiths Haulage & Contracting Ltd,12250,01/04/2014,SBR
Quarry And Premises,65212701,"Spring Hill Quarry, Barkisland, Halifax, HX4 8LJ",Springhill Stone Ltd,1250,01/04/1990,SBR
Quarry And Premises,65400700,"Northowram Hill Quarry, Howes Lane, Northowram, Halifax             HX3 7US",Northowram Stone Llp,200,01/04/2012,SBR
Quarry And Premises,65664702,"Beacon Lodge Quarry, Off Long Lane, Southowram, Halifax             HX3 9UD",Envirowaste Services Ltd,1000,02/11/1997,SBR
Quarry And Premises,68068700,"Thumpas Quarry, Norcliffe Lane, Halifax, HX3 8PL",W S Crossley [York Stone] Ltd,15250,01/04/1990,SBR
Quarry And Premises,68256701,"Pinnar Lane Quarries, Pinnar Lane, Southowram, Halifax             HX3 9TY",W S Crossley [York Stone] Ltd,12750,01/04/1990,SBR
Quarry And Premises,68884701,"Quarry, Sunny Bank Farm, Sunny Bank Lane, Southowram, Halifax             HX3 9TF",Mytholm Stone Sales Ltd,10500,01/04/1990,SBR DRR
Quarry And Premises,68908708,"Ringby Quarry, Swales Moor Road, Halifax, HX3 6UF",Ringby Quarry Ltd,5,14/08/2010,SBR
Quarry And Premises,68908710,"Quarry & Premises, Wood Top Quarry, Swales Moor Road, Halifax              HX3 6UL",Ace Recycle Ltd,14251,01/04/2005,SBR
Quarry And Premises,69159727,"Hunters Hill Quarry, Withens Road, Wainstalls, Halifax              HX2 7TZ",Rand & Asquith Ltd,760,01/04/2010,SBR
Quarry And Premises,78460701,"Rock End Moor Delph, Staups Lane, Todmorden, OL14 8RR",,1150,01/04/1995,SBR
Rehearsal Rooms And Premises,68632710,"14 South Parade, Halifax, HX1 2LY",,5800,01/10/1994,DCR MCR
Reservoir,76420700,"Old Town, Hebden Bridge, HX7 8SW",,400,01/04/1990,SBR
Residential Centre and Premises,76352700,"Lumb Bank, Hebden Bridge, HX7 6DF",,18250,01/04/1990,MCR
Restaurant and Premises,29048005,"5 Bethel Street, Brighouse, HD6 1JR",,15750,27/07/2005,DRR SBR
Restaurant and Premises,29080006,"6 Bradford Road, Brighouse, HD6 1RW",,21250,01/04/1990,DRR
Restaurant and Premises,29080025,"25 Bradford Road, Brighouse, HD6 1RW",,14500,29/08/2015,SBR DRR
Restaurant and Premises,29080408,"407 Bradford Road, Brighouse, HD6 4BT",Premium Restaurants Ltd,62000,26/06/2006,
Restaurant and Premises,29080716,"44 Bradford Road, Brighouse, HD6 1RY",Great Wall China Ltd,17500,01/04/2013,DRR SBR
Restaurant And Premises,29080721,"Martins Nest Inn, 219 Bradford Road, Brighouse, HD6 4AS",,17500,01/08/2011,DRR SBR
Restaurant and Premises,29096001,"1 Bridge Road, Brighouse, HD6 1EP",,10750,24/07/1995,EX
Restaurant and Premises,29128702,"Canal Street, Brighouse, HD6 1JX",,10500,01/03/2004,DRR SBR
Restaurant and Premises,29344006,"6 Huddersfield Road, Brighouse, HD6 1JZ",,11250,01/04/1999,SBR
Restaurant And Premises,29452772,"Unit 30, 11 Owler Ings Road, Brighouse, HD6 1EJ",Milry's Ltd,15500,15/10/2012,DRR SBR
Restaurant and Premises,29460010,"10 Park Street, Brighouse, HD6 1AD",Mela The Venue Ltd (Company Dissolved 18/08/15),23250,06/01/2014,ER
Restaurant and Premises,29468701,"Phoenix Street, Brighouse, HD6 1PD",Bellini's Italian Restaurant Ltd,23750,25/01/2010,DRR
Restaurant and Premises,29468707,"Phoenix House, Phoenix Street, Brighouse, HD6 1PD",,10000,27/04/2010,SBR DRR
Restaurant And Premises,29636714,"Jeremy's @ The Boathouse, Wharf Street, Brighouse, HD6 1PP",,22750,16/11/2013,EX
Restaurant and Premises,56024701,"Brook Street, Elland, HX5 9AW",Berties @ La Cachette Ltd,43250,20/06/2013,DRR
Restaurant and Premises,56076710,"Fast Lane Buildings, Elizabeth Street, Elland, HX5 0JH",,6500,21/06/1999,SBR DRR
Restaurant and Premises,56224090,"90 Southgate, Elland, HX5 0EP",,17250,04/10/2015,SBR DRR
Restaurant and Premises,56228008,"8 The Cross, Westgate, Elland, HX5 0BB",,6600,20/04/1995,SBR DRR
Restaurant and Premises,56228701,"2/4 The Cross, Westgate, Elland, HX5 0BB",,20000,14/07/2015,DRR
Restaurant And Premises,56236705,"7/8/9/10 Town Hall Buildings, Elland, HX5 0EU",Indigo (Yorkshire) Limited,20750,13/04/2015,DRR
Restaurant and Premises,64056700,"13/15 Alexandra Street, Halifax, HX1 1BS",Atmosphere Bars & Clubs Ltd (In Administration),18500,26/02/2010,EX
Restaurant And Premises,64296719,"F Mill Gound East B, Dean Clough Mills, Halifax, HX3 5AX",Ricci's Tapas & Chicchetti Ltd,16250,01/03/2013,SBR DRR
Restaurant and Premises,64304707,"3 Waterhouse Street, Halifax, HX1 1XX",Claybar Ltd,29250,01/07/2015,ER
Restaurant And Premises,64400015,"15 Broad Street, Halifax, HX1 1YA",Kashmiri Aroma (Halifax) Llp,45250,01/10/2014,DRR
Restaurant And Premises,64400020,"20 Broad Street, Halifax, HX1 1WD",102 (Halifax) Ltd,90500,02/02/2013,
Restaurant And Premises,64400720,"37/39 Broad Street, Halifax, HX1 1YA",Thai Halifax Limited,8300,08/05/2015,SBR DRR
Restaurant and Premises,64432710,"12 Bull Close Lane, Halifax, HX1 2EF",,18250,01/09/2015,ER
Restaurant and Premises,64436803,"8 Bull Green, Halifax, HX1 5AB",,22000,10/06/2015,DRR
Restaurant And Premises,64436804,"1ST & 2ND Floor, & Roof Terrace, 8 Bull Green, Halifax              HX1 5AB",Coco's Bar Ltd,15250,02/05/2013,DRR SBR
Restaurant and Premises,64484702,"4 Carlton Place, Halifax, HX1 2SB",,8500,01/01/2006,SBR DRR
Restaurant and Premises,64484704,"5 Carlton Place, Halifax, HX1 2SB",,9300,30/06/2014,SBR DRR
Restaurant And Premises,64484710,"8 Carlton Place, Halifax, HX1 2SB",,40000,23/05/2014,ER
Restaurant and Premises,64488019,"19 Carlton Street, Halifax, HX1 2AL",,16750,09/08/1999,DRR SBR
Restaurant and Premises,64524708,"5-7 Central Street, Halifax, HX1 1HU",Eco Windows Ltd,21250,11/04/2015,ER
Restaurant and Premises,64544706,"Pizza Hut, Charlestown Road, Halifax, HX3 6AB",Pizza Hut [Uk] Ltd,73500,01/04/2003,
Restaurant and Premises,64584739,"5 Clare Road, Halifax, HX1 2HX",,23500,19/07/2013,DRR
Restaurant and Premises,64652002,"2 Coleridge Street, Halifax, HX1 2JF",,7700,03/11/2014,SBR DRR
Restaurant and Premises,64748004,"Crossley House, 4 Crossley Street, Halifax, HX1 1UG",Riccis Tappas And Cicchetti Ltd,14250,06/10/2014,SBR DRR
Restaurant And Premises,64756045,"45 Crown Street, Halifax, HX1 1JB",,6000,25/01/2015,EX
Restaurant and Premises,64756722,"1st,2nd & 3rd Floors, 31/33 Crown Street, Halifax, HX1 1TT",,9000,02/11/2001,SBR DRR
Restaurant and Premises,64756738,"10 Crown Street, Halifax, HX1 1TT",,25750,11/07/2010,DRR
Restaurant and Premises,64788778,"Bowling Mill Courtyard No 4, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,33250,15/06/2015,EX
Restaurant And Premises,64885720,"Unit BMG/W1, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,10250,26/04/2015,EX
Restaurant And Premises,64900003,"3 Broad Street Plaza, Halifax, HX1 1UX",Whitbread Restaurants Ltd,102000,22/10/2012,
Restaurant And Premises,64900004,"4 Broad Street Plaza, Halifax, HX1 1UX",Pizza Express (Restaurants) Ltd,47000,10/10/2012,
Restaurant And Premises,64900008,"8 Broad Street Plaza, Halifax, HX1 1UX",The Restaurant Group Plc,73000,24/08/2012,
Restaurant And Premises,64900010,"10 Broad Street Plaza, Halifax, HX1 1UX",Nando's Ltd,57500,28/09/2012,
Restaurant And Premises,64900012,"12 Broad Street Plaza, Halifax, HX1 1UX",Mitchell & Butlers Leisure Retail Ltd,73500,28/08/2012,
Restaurant And Premises,64900014,"14 Broad Street Plaza, Halifax, HX1 1UX",Prezzo Plc,69500,19/12/2012,
Restaurant And Premises,64900020,"20 Broad Street Plaza, Halifax, HX1 1UX",T.G.I. Fridays Uk Ltd,114000,31/08/2012,
Restaurant and Premises,65164095,"95 Gibbet Street, Halifax, HX1 5BP",,4800,01/09/2008,SBR
Restaurant and Premises,65224081,"81 Haley Hill, Halifax, HX3 6ED",Chicken Cabins Ltd,72500,05/09/2009,
Restaurant and Premises,65288704,"Restaurant 1ST Floor, Colonnade Hse, H B Bsn Pk, Hays Lane, Halifax              HX2 8UL",Swinton Group Ltd,13750,22/08/2009,SBR
Restaurant And Premises,65412704,"Chilli Lounge, Huddersfield Road, Halifax, HX3 0NS",,17500,20/04/2015,SBR DRR
Restaurant and Premises,65516194,"194 King Cross Road, Halifax, HX1 3JP",,7800,10/07/2012,DRR SBR
Restaurant and Premises,65624700,"1 Lees Buildings, Halifax Road, Hipperholme, Halifax             HX3 8EW",,8400,21/11/2008,DRR SBR
Restaurant And Premises,65876700,"Lanika Restaurant, Pellon New Road, Pellon, Halifax              HX1 4QE",,23750,30/06/2009,DRR
Restaurant and Premises,68072701,"Spring Rock Inn, Norland Road, Greetland, Halifax             HX4 8PT",J M Leisure Ltd,9800,30/01/2012,DRR SBR
Restaurant and Premises,68096091,"91 Northgate, Halifax, HX1 1XF",El Greco Of Yorkshire Ltd,12000,02/02/2015,SBR DRR
Restaurant and Premises,68140024,"24 Old Market, Halifax, HX1 1TN",Premium Restaurants Ltd,71000,01/07/2006,
Restaurant And Premises,68288010,"10 Princess Street, Halifax, HX1 1TS",,13250,15/12/2012,DRR SBR
Restaurant and Premises,68308741,"288a-292 Queens Road, Halifax, HX1 4NS",,13250,01/03/2013,DRR SBR
Restaurant and Premises,68356713,"Part 1ST Floor, Somerset House, Rawson Street, Halifax              HX1 1NH",Somerset House (Halifax) Ltd (Company Dissolved 23/03/15),13000,01/08/2013,DRR SBR
Restaurant and Premises,68356714,"Somerset House, Rawson Street, Halifax, HX1 1NH",Tessa Leisure Ltd (In Liquidation),24000,01/03/2011,DRR
Restaurant and Premises,68452714,"Salterhebble Hill, Halifax, HX3 0QE",Premium Restaurants Ltd,82500,01/07/2006,
Restaurant and Premises,68652038,"38 Southgate, Halifax, HX1 1DL",Yorkshire Cat Rescue,29000,28/02/2014,DRR MCR
Restaurant And Premises,68704700,"22 Square, Bradford Road, Northowram, HX3 7HW",22 The Square Ltd,18750,22/01/2010,DRR
Restaurant and Premises,68708713,"Square Road, Halifax, HX1 1QG",K F G Quickserve Ltd,59000,17/04/2008,
Restaurant And Premises,68772035,"35 Stainland Road, Greetland, Halifax, HX4 8AD",Cafe Thai Ltd,9700,12/06/2014,SBR DRR
Restaurant and Premises,68780706,"1885 The Restaurant, Recreation Ground, Stainland Road, Halifax              HX4 9HF",,17000,30/09/2000,SBR DRR
Restaurant And Premises,68824728,"The New Moonlight, Station Road, Luddendenfoot, Halifax              HX2 6AD",,5700,01/05/2011,SBR
Restaurant and Premises,68912700,"2 Swine Market, Halifax, HX1 5DT",,24250,24/01/2014,DRR
Restaurant and Premises,69076002,"2 Towngate, Hipperholme, Halifax, HX3 8JB",Towngate Brasserie Ltd,7400,31/07/2012,DRR SBR
Restaurant and Premises,69144705,"27a Union Street, Halifax, HX1 1PR",,9200,01/04/2007,SBR DRR
Restaurant and Premises,69400712,"20 Westgate, Halifax, HX1 1DJ",,11750,01/05/2010,SBR DRR
Restaurant and Premises,69400713,"13/15 Westgate, Halifax, HX1 1DJ",Cafe Luna Ltd,19750,01/09/2009,DRR
Restaurant and Premises,69476017,"17 Winding Road, Halifax, HX1 1UZ",,12750,01/04/1990,DRR SBR
Restaurant and Premises,76012717,"Old Oxford House, Albert Street, Hebden Bridge, HX7 8AH",,5300,11/10/2010,EX
Restaurant And Premises,76060714,"Over 12-16, Bridge Gate, Hebden Bridge, HX7 8EX",,9900,10/06/2014,SBR DRR
Restaurant and Premises,76244709,"Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",,20500,21/10/2010,DRR
Restaurant And Premises,76252824,"13-15 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,5100,19/05/2015,EX
Restaurant and Premises,76360019,"19 Market Street, Hebden Bridge, HX7 6EU",,6400,20/12/1997,EX
Restaurant and Premises,76360052,"52 Market Street, Hebden Bridge, HX7 6AA",,4250,15/02/1991,EX
