Property Reference,Property Description,Rateable Value,Account Name,Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post Code,Mandatory Rate Relief,Mandatory Rate Relief Amount,Discretionary Rate Relief,Discretionary Rate Relief Amount,Additional Relief,Additional Relief Amount,Small Business Rate Relief,Small Business Rate Relief Amount
44280004000005,SHOP AND PREMISES,"£15,250",Sala Thai (UK) Limited,29/01/2015,40 Vivian Avenue,London,,,,NW4 3XP,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44280004300008,SHOP AND PREMISES,"£22,750",Mr S Malhan,25/11/2002,41-43 Vivian Avenue,London,,,,NW4 3UX,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44280004800002,SHOP AND PREMISES,"£15,250",Travelink Group Ltd,01/04/2000,48 Vivian Avenue,London,,,,NW4 3XH,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44280005000003,SHOP AND PREMISES,"£14,750",Travelink Group Ltd,01/04/2000,50 Vivian Avenue,London,,,,NW4 3XH,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44280005200005,SHOP AND PREMISES,"£13,250",Mr S T Shah,01/04/2000,52 Vivian Avenue,London,,,,NW4 3XH,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44280005400007,SHOP AND PREMISES,"£13,250",Mr J Relwani T/a Hendon Interiors,16/04/2000,54 Vivian Avenue,London,,,,NW4 3XH,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44280006000001,SHOP AND PREMISES,"£12,500",Mr Emmanuel James T/A The Gatekeepers Ent Ltd,05/10/2013,60 Vivian Avenue,London,,,,NW4 3XH,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44280006200003,SHOP AND PREMISES,"£14,750",Mr P Phul T/a Splash,01/04/2009,62 Vivian Avenue,London,,,,NW4 3XH,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44280006400024,SHOP AND PREMISES,"£51,000",Sainsbury's Supermarkets Ltd,26/04/2013,64-68 Vivian Avenue,London,,,,NW4 3DP,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44760000100002,SHOP AND PREMISES,"£5,800",Mr P Rees,01/05/2010,1 Watford Way,London,,,,NW4 3JL,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44760000800013,SHOP AND PREMISES,"£17,250",Mr Jakab Tibor,21/11/2016,8 Watford Way,London,,,,NW4 3AD,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44760000900010,SHOP AND PREMISES,"£12,000",Mr O H Sheikh T/A Moneysavers,11/05/2010,9 Watford Way,London,,,,NW4 3JL,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44760001100015,SHOP AND PREMISES,"£12,000",Mr O H Sheikh T/A Moneysavers,23/12/2009,11 Watford Way,London,,,,NW4 3JL,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44760001300002,SHOP AND PREMISES,"£13,250",Demipower Ltd,01/04/2000,13 Watford Way,London,,,,NW4 3JL,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44760001800007,SHOP AND PREMISES,"£17,000",Mr Niaz Wali Jabarkhel,01/05/2016,18 Watford Way,London,,,,NW4 3AD,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44760003100007,SHOP AND PREMISES,"£12,750",Massgrove Limited,09/02/2018,31 Watford Way,London,,,,NW4 3JH,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44760003700002,SHOP AND PREMISES,"£11,000",Mr Grzegorz Racut,11/08/2016,37 Watford Way,London,,,,NW4 3JH,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44760004300007,SHOP AND PREMISES,"£38,500",Mr Viladivar Carlos,26/10/2016,43-45 Watford Way,London,,,,NW4 3JH,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44760024000013,SHOP AND PREMISES,"£100,000",F W Evans Cycles (uk) Ltd,04/05/2007,240 Watford Way,London,,,,NW4 4UB,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44760052410052,SHOP AND PREMISES,"£12,750",Unity Asphalt Co (london) Ltd,01/04/2000,Gnd Fl Front,524 Watford Way,London,,,NW7 4RS,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44760061510029,SHOP AND PREMISES,"£33,250",Medlock Electrical Distributors Limited,17/03/2016,615-619 Watford Way,London,,,,NW7 3JN,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44760062300019,SHOP AND PREMISES,"£17,000",Medivet Group Ltd,01/04/2013,623 Watford Way,London,,,,NW7 3JN,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44760063910014,SHOP AND PREMISES,"£14,500",Ladbrokes Betting & Gaming Ltd (0975),20/07/2007,639 Watford Way,London,,,,NW7 3JR,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44760064700019,SHOP AND PREMISES,"£16,500",Ms Anita Patel,10/11/2017,647 Watford Way,London,,,,NW7 3JR,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800000300015,SHOP AND PREMISES,"£15,250",Greggs Plc,01/04/2000,3 Watling Avenue,Edgware,Middlesex,,,HA8 0LQ,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800001500015,SHOP AND PREMISES,"£21,500",Mr Muhammed Naeem Khan T/A RAJA G NEWSAGENT AND CONFECTIONERY LIMITED,05/09/2017,15 Watling Avenue,Edgware,Middlesex,,,HA8 0LQ,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800001600001,SHOP AND PREMISES,"£14,750",Mr Devendra Mehta,09/11/2015,16 Watling Avenue,Edgware,,,,HA8 0LW,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800002000019,SHOP AND PREMISES,"£19,500",Maxy RoExport (UK) Ltd ,02/09/2013,20 Watling Avenue,Edgware,Middlesex,,,HA8 0LR,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800002200006,SHOP AND PREMISES,"£22,000",Maxy RoExport (UK) Ltd ,24/12/2014,22 Watling Avenue,Edgware,Middlesex,,,HA8 0LQ,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800002410014,SHOP AND PREMISES,"£36,750",Modgift Ltd,01/04/2000,24-26 Watling Avenue,Edgware,Middlesex,,,HA8 0LR,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800003100018,SHOP AND PREMISES,"£19,000",Mr N S Shariffi,19/04/2010,31 Watling Avenue,Edgware,Middlesex,,,HA8 0LF,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800003300005,SHOP AND PREMISES,"£23,500",Hassan (Menswear) Limited,01/04/2000,33 Watling Avenue,Edgware,Middlesex,,,HA8 0LF,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800003400025,SHOP AND PREMISES,"£22,000",Mr Saeed Rehman,25/04/2014,34 Watling Avenue,Edgware,Middlesex,,,HA8 0LR,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800003500011,SHOP AND PREMISES,"£22,000",Mr Jounija,29/11/2013,35 Watling Avenue,Edgware,Middlesex,,,HA8 0LF,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800003600008,SHOP AND PREMISES,"£20,000",Mr Saeed Rehman,01/04/2015,36 Watling Avenue,Edgware,Middlesex,,,HA8 0LR,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800003700013,SHOP AND PREMISES,"£23,000",Ms T Awosika,29/03/2016,37 Watling Avenue,Edgware,Middlesex,,,HA8 0LF,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800004200017,SHOP AND PREMISES,"£16,250",Salang Restaurant Limited,01/04/2017,42 Watling Avenue,Edgware,Middlesex,,,HA8 0LT,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800004600006,SHOP AND PREMISES,"£16,250",Mr T Ragupathirajah,14/07/2010,46 Watling Avenue,Edgware,Middlesex,,,HA8 0LT,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800004900009,SHOP AND PREMISES,"£17,500",Parsa Ltd,01/04/2008,49 Watling Avenue,Edgware,Middlesex,,,HA8 0LF,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800005300016,SHOP AND PREMISES,"£33,500",International Food Bazaar Ltd,01/01/2018,53-55 Watling Avenue,Edgware,Middlesex,,,HA8 0LD,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800005400017,SHOP AND PREMISES,"£20,750",Aran Food Limited T/a Aran Supermarket,01/04/2013,54 Watling Avenue,Edgware,Middlesex,,,HA8 0LT,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800005600019,SHOP AND PREMISES,"£14,250",Aran Food Limited,01/04/2014,56 Watling Avenue,Edgware,Middlesex,,,HA8 0LT,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800005700005,SHOP AND PREMISES,"£11,250",International Food Bazaar Ltd,01/01/2018,57 Watling Avenue,Edgware,Middlesex,,,HA8 0LD,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800005900007,SHOP AND PREMISES,"£15,000",International Food Bazaar Ltd,01/01/2018,59 Watling Avenue,Edgware,,,,HA8 0LD,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800006700018,SHOP AND PREMISES,"£15,250",Isabel'S Salon Ltd,01/04/2014,67 Watling Avenue,Edgware,Middlesex,,,HA8 0LQ,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800007300008,SHOP AND PREMISES,"£11,000",Mr S Odoffin,10/12/2007,73 Watling Avenue,Edgware,Middlesex,,,HA8 0LD,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800007400013,SHOP AND PREMISES,"£40,250",William Hill Organization Limited,16/09/2005,74-76 Watling Avenue,Edgware,Middlesex,,,HA8 0LQ,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44800009200018,SHOP AND PREMISES,"£21,750",Mr Akbar Ali T/a Ali Halal Butchers,01/04/2000,92-94 Watling Avenue,Edgware,Middlesex,,,HA8 0LU,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44801001110019,SHOP AND PREMISES,"£19,500",Mr A Mohamed T/a Starkleen,01/04/2000,11-12 Silkstream Parade,Watling Avenue,Edgware,Middlesex,,HA8 0EL,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
44801001800009,SHOP AND PREMISES,"£9,300",London Supps Limited,23/05/2014,18 Silkstream Parade,Watling Avenue,Edgware,Middlesex,,HA8 0EL,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
45420013700003,SHOP AND PREMISES,"£34,250",Mr G Hussain,01/04/2007,137-139 The Broadway,London,,,,NW9 7DY,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
45420018400016,SHOP AND PREMISES,"£11,000",Mr Zaki Andishmand,01/11/2017,184 The Broadway,London,,,,NW9 7EE,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
45420025200002,SHOP AND PREMISES,"£21,250",William Hill (southern) Limited,04/12/2002,252 The Broadway,London,,,,NW9 6AE,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
45420026400017,SHOP AND PREMISES,"£13,750",La Brasiliana Ltd t/a The Upper Crust Cafe,23/09/2016,264 The Broadway,London,,,,NW9 6AG,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
45760000100005,SHOP AND PREMISES,"£11,750",Zafer Hurum T/A Fresh Fried Ltd,28/05/2008,1 Western Parade,Great North Road,Barnet,Hertfordshire,,EN5 1AD,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
45760001220008,SHOP AND PREMISES,"£33,750",Ladbrokes Betting & Gaming Ltd (0152),20/08/2004,12-13 Western Parade,Great North Road,Barnet,Hertfordshire,,EN5 1AD,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
45760001400006,SHOP AND PREMISES,"£13,750",P2M Coffee Limited,06/05/2015,14 Western Parade,Great North Road,Barnet,Hertfordshire,,EN5 1AD,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
47200000700015,SHOP AND PREMISES,"£14,750",Fresh Food & Halal Meat Ltd,22/03/2014,7 Woodhouse Road,London,,,,N12 9EN,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
47200001100018,SHOP AND PREMISES,"£11,250",Ms H Ghulam-Ali,28/09/2011,11 Woodhouse Road,London,,,,N12 9EN,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
47200020900011,SHOP AND PREMISES,"£13,000",Lloyds Pharmacy Limited,01/04/2000,209 Woodhouse Road,London,,,,N12 9AY,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
47200021800019,SHOP AND PREMISES,"£10,250",One Step (support) Ltd,22/12/2008,218 Woodhouse Road,London,,,,N12 0RS,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
47200030800003,SHOP AND PREMISES,"£62,000",Co-Operative Group Ltd,01/04/2010,308 Woodhouse Road,London,,,,N12 0LH,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
47201000120004,SHOP AND PREMISES,"£15,000",Goddard Veterinary Group,01/04/2000,1 Halliwick Court Parade,Woodhouse Road,London,,,N12 0NB,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
47420007120002,SHOP AND PREMISES,"£10,000",Funeral Partners Limited,14/01/2014,Laurel House,Woodside Lane,London,,,N12 8RG,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0220000190000A,SHOP AND PREMISES,"£56,000",Sharps Bedrooms Limited,06/07/2011,19 Ballards Lane,London,,,,N3 1UX,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0220000570000B,SHOP AND PREMISES,"£21,750",Lloyds Banking Group PLC,01/04/2000,57 Ballards Lane,London,,,,N3 1XP,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0220000602001B,SHOP AND PREMISES,"£50,500",Capital Cash Limited,04/03/2011,60-62 Ballards Lane,,,,,N3 2BU,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0220000630001A,SHOP AND PREMISES,"£26,000",Mr Mohammad Saber Agna,22/08/2016,63 Ballards Lane,London,,,,N3 1XP,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0220000760001B,SHOP AND PREMISES,"£29,500",Paddy Power Plc,11/08/2006,76 Ballards Lane,London,,,,N3 2BU,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
022000105A0007,SHOP AND PREMISES,"£26,750",Superdrug Stores Plc,28/02/2014,105a Ballards Lane,London,,,,N3 1XY,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0220001300001A,SHOP AND PREMISES,"£20,250",London Tokyo Property Services Ltd,13/07/2015,130 Ballards Lane,London,,,,N3 2PA,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0220003060000B,SHOP AND PREMISES,"£15,500",Road Runner Service Centre (finchley) Ltd,08/07/2009,306 Ballards Lane,London,,,,N12 0EY,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0220003300000A,SHOP AND PREMISES,"£16,250",Red Apricot Limited t/a The Indian Orchid,20/11/2017,330 Ballards Lane,London,,,,N12 0EY,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0220003471001B,SHOP AND PREMISES,"£20,500",Vape Hq London Ltd,03/10/2016,345-347 Ballards Lane,London,,,,N12 8LJ,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0220003502000A,SHOP AND PREMISES,"£330,000",Aldi Ltd,12/06/2007,350 Ballards Lane,London,,,,N12 0ER,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0220003610001A,SHOP AND PREMISES,"£23,250",Mr Omer Kirmizigul,21/02/2017,361 Ballards Lane,London,,,,N12 8LN,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0316000130000B,SHOP AND PREMISES,"£8,000",Good-For All C.I.C.,30/08/2011,13 Bell Lane,London,,,,NW4 2BP,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0316000200001B,SHOP AND PREMISES,"£14,250",First Developments Ltd T/a The Grapevine,18/11/2008,20 Bell Lane,London,,,,NW4 2AD,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0316000250000B,SHOP AND PREMISES,"£6,500",London Borough Of Barnet Environment & Regulation Finance,06/10/2014,25 Bell Lane,London,,,,NW4 2BP,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0452000001018A,SHOP AND PREMISES,"£123,000",L'Oreal (uk) Ltd T/a Kiehl'S,25/10/2013,Unit W3b,Brent Cross Regional Shopping Centre,London,,,NW4 3FQ,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0452000001025A,SHOP AND PREMISES,"£1,360,000",Marks & Spencer Plc Supplier No 700006,01/04/2010,Unit Y1,Brent Cross Regional Shopping Centre,London,,,NW4 3FE,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0452000001027B,SHOP AND PREMISES,"£151,000",Vodafone Limited,23/09/2014,Unit W11 Front,Brent Cross Regional Shopping Centre,London,,,NW4 3FB,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0452001012000B,SHOP AND PREMISES,"£72,000",Ben Mirkin Ltd,01/04/2000,Unit V,2 Brent Cross Regional Shopping Centre,London,,,NW4 3FG,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0452002032000A,SHOP AND PREMISES,"£240,000",Kurt Geiger Ltd,06/06/2011,Unit W,4 Brent Cross Regional Shopping Centre,London,,,NW4 3FQ,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0452002162000B,SHOP AND PREMISES,"£188,000",Holland & Barrett Retail Ltd Finance Department,01/04/2000,Unit W,16 Brent Cross Regional Shopping Centre,London,,,NW4 3FQ,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0452005011007A,SHOP AND PREMISES,"£158,000",Yankee Candle (europe) Ltd,11/08/2016,Unit Z,6c Brent Cross Regional Shopping Centre,London,,,NW4 3FD,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0452005101001A,SHOP AND PREMISES,"£51,000",Hasty Tasty Foods Limited,04/11/2016,Adj Unit Z10-Z11,Brent Cross Regional Shopping Centre,London,,,NW4 3FB,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0452006042000A,SHOP AND PREMISES,"£355,000",Vf Northern Europe Services Limited,29/04/2013,Unit Y,7 Brent Cross Regional Shopping Centre,London,,,NW4 3FE,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0452007072000A,SHOP AND PREMISES,"£116,000",Robinson Webster (holdings) Ltd T/a Jigsaw,24/11/2014,Unit N,7 Brent Cross Regional Shopping Centre,London,,,NW4 3FB,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0460001240000B,SHOP AND PREMISES,"£20,000",Sanem Plastic Limited,02/08/2017,124 Brent Street,London,,,,NW4 2DT,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0460001420001A,SHOP AND PREMISES,"£10,000",Hendon Estates Ltd,25/03/2003,142 Brent Street,London,,,,NW4 2DR,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0460001480000A,SHOP AND PREMISES,"£34,500",Mr Adil Habib,01/07/2017,148-150 Brent Street,London,,,,NW4 2DR,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0460001960000B,SHOP AND PREMISES,"£27,750",Kitchens Continental Ltd,01/04/2010,196-198 Brent Street,London,,,,NW4 1BE,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0516000060000B,SHOP AND PREMISES,"£23,000",Zagora NWl Ltd,05/11/2011,6 The Broadway,London,,,,NW7 3LL,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0516000130001B,SHOP AND PREMISES,"£26,250",Wenzels The Bakers Ltd,16/02/2015,13 The Broadway,London,,,,NW7 3LN,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0516000430000B,SHOP AND PREMISES,"£84,000",Iceland Frozen Foods Plc,06/03/2009,43 The Broadway,London,,,,NW7 3DA,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0620001360002A,SHOP AND PREMISES,£0,Gemgain Ltd T/a Tgs Pawnbrokers,05/02/2014,136-138 Burnt Oak Broadway,Edgware,Middlesex,,,HA8 0BB,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0620001381001A,SHOP AND PREMISES,"£38,750",Gemgain Ltd T/a Tgs Pawnbrokers,04/05/2011,138 R/o 134-138,Burnt Oak Broadway,Edgware,Middlesex,,HA8 0BB,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0628000590000B,SHOP AND PREMISES,"£32,500",Mrs Gurpreet Nagpal,16/06/2015,59-61 The Burroughs,London,,,,NW4 4AX,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0752000160000B,SHOP AND PREMISES,"£8,000",Squires Estates Ltd,28/07/2011,16 Central Circus,London,,,,NW4 3AS,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0785300140000B,SHOP AND PREMISES,"£105,000",Sainsburys Supermarkets Ltd,02/03/2017,14 Charcot Road,London,,,,NW9 5WU,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0884000490000A,SHOP AND PREMISES,"£12,750",Prime Doors Uk Limited,03/08/2013,49 Church Road,London,,,,NW4 4DU,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
0884000550001A,SHOP AND PREMISES,"£19,500",Aroma Expresso Bar Ltd,20/09/2005,55-57 Church Road,London,,,,NW4 4DU,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1000000090000B,SHOP AND PREMISES,"£7,800",Mayor's Office for Policing and Crime,01/04/2006,9 The Concourse,London,,,,NW9 5XB,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1000000172000B,SHOP AND PREMISES,"£18,750",Barnet Homes Ltd,01/04/2006,17-19 The Concourse,London,,,,NW9 5XA,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1102000001001A,SHOP AND PREMISES,"£17,000",Zays Local Limited,26/06/2017,1 Burlington Parade,Cricklewood Broadway,London,,,NW2 6QG,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1102001160001A,SHOP AND PREMISES,"£15,000",Beko Burger Limited,15/07/2017,116 Cricklewood Broadway,London,,,,NW2 3EJ,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1102001580000A,SHOP AND PREMISES,"£34,500",Demipower Ltd,01/04/2000,158 Cricklewood Broadway,London,,,,NW2 3ED,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1102001840002A,SHOP AND PREMISES,"£18,750",Hillington Limited,25/04/2016,184 Cricklewood Broadway,London,,,,NW2 3EB,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1104000011003A,SHOP AND PREMISES,"£139,000",The Co-Operative Group Ltd,06/06/2002,1-5 Cricklewood Lane,London,,,,NW2 1ET,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1104000080000B,SHOP AND PREMISES,"£15,750",Amir Mohamad Nazari,26/04/2016,8 Cricklewood Lane,London,,,,NW2 1EX,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
110400009A0003,SHOP AND PREMISES,"£38,750",Ashley Fine Food And Wine Ltd,10/03/2017,9a & 9b,Cricklewood Lane,London,,,NW2 1ET,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1104001840000A,SHOP AND PREMISES,"£10,750",London Borough Of Barnet Property and Valuation Department,31/01/2017,184 Cricklewood Lane,London,,,,NW2 2DX,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1192001490001A,SHOP AND PREMISES,"£12,000",Ladbrokes Betting & Gaming Ltd (0907),01/04/2000,149 Deans Lane,Edgware,Middlesex,,,HA8 9NY,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1192001510001B,SHOP AND PREMISES,"£16,750",G F E Electrical Wholesale Ltd,01/04/2000,151 Deans Lane,Edgware,Middlesex,,,HA8 9NY,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1338000260000A,SHOP AND PREMISES,"£19,500",DTW Associates Limited,01/05/2013,26 East Barnet Road,Barnet,Hertfordshire,,,EN4 8RQ,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1338000990000A,SHOP AND PREMISES,"£45,250",Bodens College of Performing Arts Ltd,18/09/2015,99 East Barnet Road,Barnet,Hertfordshire,,,EN4 8RF,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1338002770001B,SHOP AND PREMISES,"£18,750",Miss J Jan,01/09/2016,277 East Barnet Road,Barnet,Hertfordshire,,,EN4 8SX,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1382000070001A,SHOP AND PREMISES,"£20,000",Arôme Coffee Shop Limited,19/06/2017,7 Edgwarebury Lane,Edgware,Middlesex,,,HA8 8LH,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1382100140001B,SHOP AND PREMISES,"£19,750",Edgware Catering Company Limited,31/07/2015,14 The Promenade,Edgware,Middlesex,,,HA8 7JZ,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1578000090001B,SHOP AND PREMISES,"£15,250",Laports Estate Agencies Limited,01/06/2016,9 Finchley Lane,London,,,,NW4 1BN,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1578000391004B,SHOP AND PREMISES,"£16,250",Ms D Pearlman,01/10/2009,39-41 Finchley Lane,London,,,,NW4 1BX,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1582007500001B,SHOP AND PREMISES,"£23,500",Mr Jafar Khosravani,01/03/2016,750 Finchley Road,London,,,,NW11 7TH,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1582007740001B,SHOP AND PREMISES,"£24,500",Episode Fashions Ltd,01/04/2000,774 Finchley Road,London,,,,NW11 7TH,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1582007920000B,SHOP AND PREMISES,"£27,750",Episode Fashions Ltd,01/04/2004,792 Finchley Road,London,,,,NW11 7TJ,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1582008751001B,SHOP AND PREMISES,"£34,000",Best Investments UK Ltd,01/04/2013,875 Finchley Road,London,,,,NW11 8RR,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
1582010290001A,SHOP AND PREMISES,"£16,000",Mrs V Lipton T/a N A O T Uk,01/04/2000,1029 Finchley Road,London,,,,NW11 7ES,NONE,£0.00,NONE,£0.00,NONE,£0.00,NO,£0.00
