ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,PAID DATE,AMOUNT (£),PURPOSE,TRANSACTION ID
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055339
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055339
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,827.64,PROFESSIONAL FEES,V001055344
ROCHDALE BOROUGH COUNCIL,21/10/16,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,21/10/16,914.96,FOSTER PARENTS BASIC ALLOWANCE,V001055349
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,681.22,FOSTER PARENTS BASIC ALLOWANCE,V001055363
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,681.22,FOSTER PARENTS BASIC ALLOWANCE,V001055371
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,530.6,FOSTER PARENTS BASIC ALLOWANCE,V001055373
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,827.64,PROFESSIONAL FEES,V001055375
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,827.64,PROFESSIONAL FEES,V001055377
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,1200,FOSTER PARENTS BASIC ALLOWANCE,V001055377
ROCHDALE BOROUGH COUNCIL,21/10/16,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,21/10/16,914.96,FOSTER PARENTS BASIC ALLOWANCE,V001055382
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,684.34,SUBSIDISED ADOPTERS PMTS,V001055385
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,684.34,SUBSIDISED ADOPTERS PMTS,V001055385
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,668,FOSTER PARENTS BASIC ALLOWANCE,V001055386
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,668,FOSTER PARENTS BASIC ALLOWANCE,V001055386
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055397
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055397
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,827.64,PROFESSIONAL FEES,V001055398
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,608.62,FOSTER PARENTS BASIC ALLOWANCE,V001055400
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055406
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055406
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,681.22,FOSTER PARENTS BASIC ALLOWANCE,V001055408
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055410
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055410
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055410
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055410
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,608.62,FOSTER PARENTS BASIC ALLOWANCE,V001055412
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,500,SUBSIDISED ADOPTERS PMTS,V001055420
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,500,SUBSIDISED ADOPTERS PMTS,V001055420
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,532.14,FOSTER PARENTS BASIC ALLOWANCE,V001055421
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055425
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055425
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,572.4,FOSTER PARENTS BASIC ALLOWANCE,V001055426
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,572.4,FOSTER PARENTS BASIC ALLOWANCE,V001055434
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055436
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055436
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,608.62,FOSTER PARENTS BASIC ALLOWANCE,V001055438
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,1000,FOSTER PARENTS BASIC ALLOWANCE,V001055451
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,641.86,FOSTER PARENTS BASIC ALLOWANCE,V001055453
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,601.71,EMERGENCY RESPITE,V001055458
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,608.62,FOSTER PARENTS BASIC ALLOWANCE,V001055465
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055482
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055482
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,827.64,FOSTER PARENTS BASIC ALLOWANCE,V001055493
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,608.62,FOSTER PARENTS BASIC ALLOWANCE,V001055495
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,827.64,PROFESSIONAL FEES,V001055495
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,670.5,TRAVELLING GENERAL EXPENSES,V001055499
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,681.22,FOSTER PARENTS BASIC ALLOWANCE,V001055507
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,805,FOSTER PARENTS BASIC ALLOWANCE,V001055512
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,827.64,PROFESSIONAL FEES,V001055518
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,681.22,FOSTER PARENTS BASIC ALLOWANCE,V001055527
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,523.64,FOSTER PARENTS BASIC ALLOWANCE,V001055537
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,761.02,FOSTER PARENTS BASIC ALLOWANCE,V001055540
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,827.64,PROFESSIONAL FEES,V001055552
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,827.64,PROFESSIONAL FEES,V001055555
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055562
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055566
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055570
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,560,FOSTER PARENTS BASIC ALLOWANCE,V001055570
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,653.38,FOSTER PARENTS BASIC ALLOWANCE,V001055572
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,REDACTED - PERSONAL DATA,21/10/16,680.8,CONTRACTS,V001055573
ROCHDALE BOROUGH COUNCIL,21/10/16,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,21/10/16,648.99,CONTRACTS,V001055580
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,516.29,FOSTER PARENTS BASIC ALLOWANCE,V001055583
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,500,SUBSIDISED ADOPTERS PMTS,V001055586
ROCHDALE BOROUGH COUNCIL,21/10/16,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,21/10/16,500,SUBSIDISED ADOPTERS PMTS,V001055587
ROCHDALE BOROUGH COUNCIL,21/10/16,COLLECTION FUND,GREATER MANCHESTER FIRE AND CIVIL DEFENCE,21/10/16,52581,TRANSACTIONS-EXPENDITURE,V001055697
ROCHDALE BOROUGH COUNCIL,21/10/16,COLLECTION FUND,GREATER MANCHESTER FIRE AND CIVIL DEFENCE,21/10/16,255271,TRANSACTIONS-EXPENDITURE,V001055697
ROCHDALE BOROUGH COUNCIL,24/10/16,NEIGHBOURHOODS AND ENVIRONMENT,G M WASTE DISPOSAL AUTHORITY,24/10/16,1249200,WASTE DISPOSAL LEVY,V001055698
ROCHDALE BOROUGH COUNCIL,21/10/16,COLLECTION FUND,POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,21/10/16,683128,TRANSACTIONS-EXPENDITURE,V001055699
ROCHDALE BOROUGH COUNCIL,19/10/16,NEIGHBOURHOODS AND ENVIRONMENT,ENTERPRISE MANCHESTER PARTNERSHIP LTD,19/10/16,725.4,CONTRACTED SERVICES,V001055701
ROCHDALE BOROUGH COUNCIL,19/10/16,NEIGHBOURHOODS AND ENVIRONMENT,PETERS LIMITED,19/10/16,514.19,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V001055717
ROCHDALE BOROUGH COUNCIL,25/10/16,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,25/10/16,592.95,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V001055725
ROCHDALE BOROUGH COUNCIL,25/10/16,NEIGHBOURHOODS AND ENVIRONMENT,ASKEWS AND HOLTS LIBRARY SERVICES LTD,25/10/16,539.95,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V001055727
ROCHDALE BOROUGH COUNCIL,19/10/16,FINANCE SERVICES,REDACTED - PERSONAL DATA,19/10/16,518.7,RENT ALLOWS-PRIVATE TENANTS ST,V001055740
ROCHDALE BOROUGH COUNCIL,19/10/16,FINANCE SERVICES,REDACTED - PERSONAL DATA,19/10/16,600,RENT ALLOWS-PRIVATE TENANTS ST,V001055741
ROCHDALE BOROUGH COUNCIL,19/10/16,FINANCE SERVICES,REDACTED - PERSONAL DATA,19/10/16,1219.51,RENT ALLOWS-PRIVATE TENANTS ST,V001055766
ROCHDALE BOROUGH COUNCIL,19/10/16,FINANCE SERVICES,REDACTED - PERSONAL DATA,19/10/16,986.58,RENT ALLOWS-PRIVATE TENANTS ST,V001055775
ROCHDALE BOROUGH COUNCIL,19/10/16,FINANCE SERVICES,REDACTED - PERSONAL DATA,19/10/16,530.97,RENT ALLOWS-PRIVATE TENANTS ST,V001055777
ROCHDALE BOROUGH COUNCIL,20/10/16,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,20/10/16,1300,CAPITAL SALARIES,V001055781
ROCHDALE BOROUGH COUNCIL,24/10/16,PROPERTY AND HIGHWAYS,BEXAN LTD,24/10/16,1084.1,PROPERTY - WORKS ELEMENT,V001055794
ROCHDALE BOROUGH COUNCIL,24/10/16,PROPERTY AND HIGHWAYS,BEXAN LTD,24/10/16,1196.5,PROPERTY - WORKS ELEMENT,V001055794
ROCHDALE BOROUGH COUNCIL,21/10/16,PHYSICAL DIS & OLDER PEOPLE,THE PRINCESS ALEXANDRA HOME FOR THE BLIND,21/10/16,1244,RESIDENTIAL LONG TERM,V001055795
ROCHDALE BOROUGH COUNCIL,21/10/16,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,21/10/16,576.28,RESIDENTIAL LONG TERM,V001055796
ROCHDALE BOROUGH COUNCIL,21/10/16,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,21/10/16,554.2,RESIDENTIAL LONG TERM,V001055800
ROCHDALE BOROUGH COUNCIL,21/10/16,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,21/10/16,566.14,RESIDENTIAL LONG TERM,V001055801
ROCHDALE BOROUGH COUNCIL,21/10/16,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,21/10/16,601.84,RESIDENTIAL LONG TERM,V001055802
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,21/10/16,1196.24,NURSING LONG TERM,V001055803
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,BELGRAVIA CARE,21/10/16,2016.4,RESIDENTIAL LONG TERM,V001055804
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,LIVING AMBITIONS LTD,21/10/16,4150,RESIDENTIAL LONG TERM,V001055805
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,THE ELMS,21/10/16,1397.24,NURSING LONG TERM,V001055806
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,21/10/16,849.24,PERSONAL BUDGETS - MANAGED,V001055807
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,UNITED RESPONSE,21/10/16,4537.68,RESIDENTIAL LONG TERM,V001055808
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,21/10/16,1004.28,PERSONAL BUDGETS - MANAGED,V001055809
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,21/10/16,930,PERSONAL BUDGETS - MANAGED,V001055810
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,21/10/16,2170,PERSONAL BUDGETS - MANAGED,V001055811
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,21/10/16,632,PERSONAL BUDGETS - MANAGED,V001055814
ROCHDALE BOROUGH COUNCIL,21/10/16,PHYSICAL DIS & OLDER PEOPLE,LEONARD CHESHIRE FOUNDATION WALES & WEST,21/10/16,2723.52,NURSING LONG TERM,V001055815
ROCHDALE BOROUGH COUNCIL,21/10/16,PHYSICAL DIS & OLDER PEOPLE,MCAULEY MOUNT RESIDENTIAL CARE HOME,21/10/16,1236.32,RESIDENTIAL LONG TERM,V001055816
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,THE JOSEPH COX CHARITY,21/10/16,1906.48,RESIDENTIAL LONG TERM,V001055817
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,THE ELMS,21/10/16,1397.24,RESIDENTIAL LONG TERM,V001055818
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,21/10/16,501.84,RESIDENTIAL LONG TERM,V001055820
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,21/10/16,501.84,RESIDENTIAL LONG TERM,V001055821
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,21/10/16,501.84,RESIDENTIAL LONG TERM,V001055822
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,21/10/16,501.84,RESIDENTIAL LONG TERM,V001055823
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,21/10/16,4752.36,RESIDENTIAL LONG TERM,V001055824
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,21/10/16,1024.8,PERSONAL BUDGETS - MANAGED,V001055825
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,21/10/16,620,PERSONAL BUDGETS - MANAGED,V001055826
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,21/10/16,948,PERSONAL BUDGETS - MANAGED,V001055830
ROCHDALE BOROUGH COUNCIL,21/10/16,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,21/10/16,575,RESIDENTIAL LONG TERM,V001055831
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,BURY MBC,21/10/16,1098.8,PERSONAL BUDGETS - MANAGED,V001055832
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,BURY MBC,21/10/16,744.68,PERSONAL BUDGETS - MANAGED,V001055833
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,BURY MBC,21/10/16,1489.36,PERSONAL BUDGETS - MANAGED,V001055834
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,BURY MBC,21/10/16,744.68,PERSONAL BUDGETS - MANAGED,V001055835
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,BURY MBC,21/10/16,558.51,PERSONAL BUDGETS - MANAGED,V001055836
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,HEALYCARE LTD,21/10/16,3476.16,RESIDENTIAL LONG TERM,V001055837
ROCHDALE BOROUGH COUNCIL,21/10/16,PHYSICAL DIS & OLDER PEOPLE,CHADDERTON TOTAL CARE UNIT LTD,21/10/16,2137.08,NURSING LONG TERM,V001055838
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,21/10/16,1200.24,RESIDENTIAL LONG TERM,V001055839
ROCHDALE BOROUGH COUNCIL,21/10/16,PHYSICAL DIS & OLDER PEOPLE,CALTON SYSTEMS LIMITED,21/10/16,715.72,RESIDENTIAL LONG TERM,V001055840
ROCHDALE BOROUGH COUNCIL,21/10/16,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,21/10/16,623.3,RESIDENTIAL LONG TERM,V001055841
ROCHDALE BOROUGH COUNCIL,21/10/16,PHYSICAL DIS & OLDER PEOPLE,THE JOSEPH COX CHARITY,21/10/16,2031.2,RESIDENTIAL LONG TERM,V001055842
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,THE LAKES CARE CENTRE,21/10/16,1522.2,NURSING LONG TERM,V001055843
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,MORNINGTON HOUSE W E F,21/10/16,5367.92,RESIDENTIAL LONG TERM,V001055844
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,BROWFIELD RESIDENTIAL HOME,21/10/16,1333.44,RESIDENTIAL LONG TERM,V001055845
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,21/10/16,756.52,PERSONAL BUDGETS - MANAGED,V001055846
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,ROOKWOOD,21/10/16,1600,RESIDENTIAL LONG TERM,V001055847
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,BROWFIELD RESIDENTIAL HOME,21/10/16,2186.48,RESIDENTIAL LONG TERM,V001055848
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,SUNNYBANK P R S LTD,21/10/16,2297.6,RESIDENTIAL LONG TERM,V001055849
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,SUNNYBANK P R S LTD,21/10/16,1142.4,RESIDENTIAL LONG TERM,V001055850
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,21/10/16,1359.48,RESIDENTIAL LONG TERM,V001055851
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,MORNINGTON HOUSE W E F,21/10/16,3365.2,RESIDENTIAL LONG TERM,V001055858
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,APSLEY HOUSE,21/10/16,3404.92,RESIDENTIAL LONG TERM,V001055865
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,STRATHMORE HOUSE,21/10/16,1325.64,RESIDENTIAL LONG TERM,V001055866
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,STRATHMORE HOUSE,21/10/16,1325.64,RESIDENTIAL LONG TERM,V001055867
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,MR S MUNBODHOWA,21/10/16,1251.68,RESIDENTIAL LONG TERM,V001055868
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,BROWFIELD RESIDENTIAL HOME,21/10/16,2230.2,RESIDENTIAL LONG TERM,V001055869
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,21/10/16,1397.24,RESIDENTIAL LONG TERM,V001055870
ROCHDALE BOROUGH COUNCIL,27/10/16,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,27/10/16,-3838.08,RESIDENTIAL LONG TERM,V001055871
ROCHDALE BOROUGH COUNCIL,27/10/16,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,27/10/16,-4477.76,RESIDENTIAL LONG TERM,V001055872
ROCHDALE BOROUGH COUNCIL,27/10/16,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,27/10/16,-4477.76,RESIDENTIAL LONG TERM,V001055873
ROCHDALE BOROUGH COUNCIL,27/10/16,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,27/10/16,-4477.76,RESIDENTIAL LONG TERM,V001055874
ROCHDALE BOROUGH COUNCIL,27/10/16,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,27/10/16,-4477.76,RESIDENTIAL LONG TERM,V001055875
ROCHDALE BOROUGH COUNCIL,27/10/16,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,27/10/16,-4477.76,RESIDENTIAL LONG TERM,V001055876
ROCHDALE BOROUGH COUNCIL,27/10/16,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,27/10/16,-4477.76,RESIDENTIAL LONG TERM,V001055877
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,21/10/16,1080,PERSONAL BUDGETS - MANAGED,V001055878
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,21/10/16,1464,PERSONAL BUDGETS - MANAGED,V001055879
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,21/10/16,1085,PERSONAL BUDGETS - MANAGED,V001055880
