Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Rateable Value 2010,Property Description,Empty,Empty From,Charity,Disc,Mand,Occupied
1.30821E+13,ROMA PUBLICATIONS LTD           ,                                ,01.11.2005                                               ,                                ,                                ,2ND FLR 1 LIVSEY STREET            ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1SS,13750,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
51045X00060042     ,ROMIDA CRICKET LIMITED          ,                                ,07.11.2012                                               ,                                ,                                ,18 SHAW ROAD                       ,MILNROW                            ,ROCHDALE                        ,LANCASHIRE                      ,OL16 4LT,4650,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.3476E+13,RON CHALKER LIMITED             ,                                ,04.01.2006                                               ,PT GND FLR 1ST FLR & BST        ,                                ,901 MELLOR STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 6AA,17000,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
1.3476E+13,RON CHALKER LIMITED             ,                                ,01.04.2005                                               ,RON CHALKER                     ,                                ,MELLOR STREET                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 6AA,129250,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
1.3476E+13,RON CHALKER LTD                 ,                                ,25.01.2016                                               ,PT GND FLR 901                  ,                                ,MELLOR STREET                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 6AA,10250,OFFICES AND PREMISES                                        ,Y    ,25.01.2016                                               , ,0,0, 
1162734252589B     ,RONTEC WATFORD LTD              ,                                ,07.07.2016                                               ,WOODYARD GARAGE                 ,                                ,EDENFIELD ROAD                     ,NORDEN                             ,ROCHDALE                        ,LANCASHIRE                      ,OL11 5XR,40500,PETROL FILLING STATION AND PREMISES                         ,     ,                                                         , ,0,0, 
1.15347E+13,ROOTS TUITION LTD               ,                                ,01.07.2016                                               ,                                ,                                ,GND FLR 134 DRAKE STREET           ,ROCHDALE                           ,                                ,                                ,OL16 1PN,8500,Offices and Premises                                        ,     ,                                                         , ,0,0, 
1.12409E+13,ROSSENDALE TRANSPORT LTD        ,                                ,01.04.2005                                               ,ROSSENDALE TRANSPORT LTD        ,                                ,CORPORATION ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4EU,36000,Transport Depot and Premises                                ,     ,                                                         , ,0,0, 
1.58008E+13,ROT PHUNG TE TRADING AS SIMPLY  ,CASH LTD                        ,18.10.2013                                               ,                                ,                                ,115 YORKSHIRE STREET               ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DR,9300,Shop and Premises                                           ,     ,                                                         , ,0,0, 
1.13789E+13,ROUTES HEALTHCARE (NORTH)       ,LIMITED                         ,24.10.2016                                               ,"EVANS EASY SPACE LTD, OFFICE 27 ",                                ,DANE STREET                        ,ROCHDALE                           ,                                ,                                ,OL12 6XB,3500,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
1.13789E+13,ROUTES HEALTHCARE (NORTH) LTD   ,                                ,01.03.2014                                               ,EVANS EASYSPACE LTD OFFICE 23   ,                                ,DANE STREET                        ,ROCHDALE                           ,                                ,                                ,OL12 6XB,10250,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
2.01399E+13,ROWANRISE LTD                   ,T/A STERLING DEVELOPMENTS       ,10.08.2012                                               ,                                ,                                ,PT UNIT 5A BIRCH MILL              ,HEYWOOD OLD ROAD                   ,HEYWOOD                         ,                                ,OL10 2QQ,1725,Offices and Premises                                        ,Y    ,10.08.2012                                               , ,0,0, 
3.20689E+13,ROXTEC LTD                      ,                                ,01.12.2006                                               ,UNIT 1C                         ,                                ,WATERFOLD BUSINESS PARK            ,BURY                               ,LANCS                           ,                                ,BL9 7BR ,24750,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
2.18642E+13,ROY & JEAN ATKINSON LTD         ,T/A MINSTER CLEANING SERVICES   ,01.03.2013                                               ,                                ,                                ,HAREWOOD HOUSE OFFICE 3            ,AT 2-4 ROCHDALE ROAD               ,MIDDLETON                       ,MANCHESTER                      ,M24 3DP ,3100,Offices and Premises                                        ,     ,                                                         , ,0,0, 
10844X0010005B     ,ROYAL BANK OF SCOTLAND GROUP PLC,                                ,01.04.2005                                               ,ROYAL BANK OF SCOTLAND CHAMB    ,1ST FL                          ,THE BUTTS                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1EX,5800,OFFICES AND PREMISES                                        ,Y    ,01.04.2005                                               , ,0,0, 
10844X001200XA     ,ROYAL BANK OF SCOTLAND GROUP PLC,                                ,01.04.2005                                               ,ROYAL BANK OF SCOTLAND CHAMB    ,1ST FL                          ,THE BUTTS                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1EX,5200,OFFICES AND PREMISES                                        ,Y    ,01.04.2005                                               , ,0,0, 
2.14836E+13,ROYAL BANK OF SCOTLAND GROUP PLC,                                ,01.04.2005                                               ,                                ,                                ,5 MARKET PLACE                     ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 6AE ,14250,BANK AND PREMISES                                           ,     ,                                                         , ,0,0, 
10844X00080092     ,ROYAL BANK OF SCOTLAND GROUP PLC,                                ,01.04.2005                                               ,ROYAL BANK OF SCOTLAND          ,                                ,THE BUTTS                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1EY,42000,BANK AND PREMISES                                           ,     ,                                                         , ,0,0, 
5039110003376A     ,ROYAL FOX LTD                   ,                                ,01.04.2015                                               ,                                ,                                ,37 DALE STREET                     ,MILNROW                            ,ROCHDALE                        ,LANCASHIRE                      ,OL16 3NJ,3650,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.46441E+13,ROYAL MAIL GROUP LIMITED        ,                                ,14.10.2016                                               ,B&Q WAREHOUSE                   ,                                ,SANDBROOK PARK OFF EDINBURGH WAY   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1SA,1140000,RETAIL WAREHOUSE AND PREMISES                               ,     ,                                                         , ,0,0, 
1003708165442A     ,ROYAL MAIL GROUP PLC            ,                                ,01.04.2005                                               ,PROGRESS HOUSE                  ,                                ,AINSWORTH STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1AA,107000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
2.14626E+13,ROYAL MAIL GROUP PLC            ,                                ,01.04.2005                                               ,                                ,                                ,53 MANCHESTER NEW ROAD             ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1DE ,31000,POST OFFICE AND PREMISES                                    ,     ,                                                         , ,0,0, 
3097970002005B     ,ROYAL MAIL GROUP PLC            ,                                ,01.04.2005                                               ,POST OFFICE COUNTERS LTD        ,                                ,HIND HILL STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1AQ,21500,POST OFFICE AND PREMISES                                    ,     ,                                                         , ,0,0, 
1.37167E+13,ROYAL MENCAP SOCIETY            ,                                ,01.02.2014                                               ,SUITES F 7.1 - 7.3              ,                                ,GLOBE HOUSE                        ,GLOBE PARK                         ,MOSS BRIDGE ROAD                ,ROCHDALE                        ,OL16 5EB,7800,OFFICES AND PREMISES                                        ,     ,                                                         ,Y,0,80, 
1.37167E+13,ROYAL MENCAP SOCIETY            ,                                ,01.02.2014                                               ,SUITE F7.4 GLOBE HOUSE          ,                                ,GLOBE PARK                         ,MOSS BRIDGE ROAD                   ,ROCHDALE                        ,                                ,OL16 5EB,1525,OFFICES AND PREMISES                                        ,     ,                                                         ,Y,0,80, 
1.5362E+13,ROYLE JEWELLERS LTD             ,T/A J & D ALEXANDER             ,13.06.2013                                               ,                                ,                                ,2 THE WALK                         ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1EP,7900,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.44596E+13,ROYTON STEEL STOCK LTD          ,                                ,01.04.2005                                               ,UNIT 5B CALDERSHAW CENTRE       ,                                ,ROOLEY MOOR ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 7LQ,51500,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
2.14687E+13,RPS GROUP PLC                   ,                                ,14.05.2012                                               ,UNIT 4C RHODES BUSINESS PARK    ,                                ,SILBURN WAY                        ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 4PN ,14750,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
1.29087E+13,RRG GROUP LTD                   ,                                ,01.02.2011                                               ,LYTHGOE MOTORS LTD              ,                                ,KINGSWAY                           ,ROCHDALE                           ,LANCS                           ,                                ,OL16 4AP,122000,CAR SHOWROOM AND PREMISES                                   ,     ,                                                         , ,0,0, 
1.25262E+13,RSPCA                           ,                                ,01.04.2005                                               ,R S P C A                       ,                                ,1 REDCROSS STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0NZ,28500,ANIMAL SHELTER AND PREMISES                                 ,     ,                                                         ,Y,0,80, 
5.03946E+13,RSPCA ROCHDALE & DISTRICT BRANCH,                                ,16.03.2009                                               ,                                ,                                ,84 DALE STREET                     ,MILNROW                            ,ROCHDALE                        ,LANCASHIRE                      ,OL16 4HX,5200,SHOP AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
2.17025E+13,RSPCA ROCHDALE & DISTRICT BRANCH,                                ,19.06.2008                                               ,GND FLR                         ,                                ,12 OLD HALL STREET                 ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1AN ,7300,SHOP AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
312198901200X9     ,RSPCA ROCHDALE & DISTRICT BRANCH,                                ,01.04.2005                                               ,                                ,                                ,36 MARKET STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4LY,13000,SHOP AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
40667X001200X3     ,RSPCA ROCHDALE & DISTRICT BRANCH,                                ,01.04.2005                                               ,                                ,                                ,23 HARE HILL ROAD                  ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 9AD,6900,SHOP AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
2.1528E+13,RSPCA ROCHDALE & DISTRICT BRANCH,                                ,01.04.2005                                               ,                                ,                                ,1 MIDDLETON GARDENS                ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1AJ ,13500,SHOP AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
158008003900X3     ,RSPCA ROCHDALE & DISTRICT BRANCH,C/O MRS S WHITTLE               ,01.04.2005                                               ,                                ,                                ,97 YORKSHIRE STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DW,19000,SHOP AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
13298X02570073     ,RSPCA ROCHDALE & DISTRICT BRANCH,                                ,04.09.2013                                               ,                                ,                                ,856 MANCHESTER ROAD                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2SP,5600,SHOP AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
13937X95845631     ,RSPCA ROCHDALE & DISTRICT BRANCH,                                ,03.09.2014                                               ,                                ,                                ,421 OLDHAM ROAD                    ,ROCHDALE                           ,                                ,                                ,OL16 4SZ,5100,SHOP AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
1.42649E+13,RSW INTERNATIONAL LIMITED       ,                                ,01.09.2014                                               ,UNIT 2A COWM TOP BUSINESS PARK  ,                                ,QUEENSWAY                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2PU,47500,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
1.42649E+13,RSW INTERNATIONAL LTD           ,                                ,01.05.2010                                               ,UNIT 2D                         ,                                ,COWM TOP BUSINESS PARK QUEENSWAY   ,ROCHDALE                           ,                                ,                                ,OL11 2PU,15500,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
1.42649E+13,RSW INTERNATIONAL LTD           ,                                ,01.04.2008                                               ,UNIT 2H                         ,                                ,COWM TOP BUSINESS PARK             ,QUEENSWAY                          ,ROCHDALE                        ,                                ,OL11 2PU,20250,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
1.42649E+13,RSW INTERNATIONAL LTD           ,                                ,01.02.2007                                               ,UNIT 2G COWM TOP BUSINESS PARK  ,                                ,QUEENSWAY                          ,ROCHDALE                           ,                                ,                                ,OL11 2PU,19750,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
1.42649E+13,RSW INTERNATIONAL LTD           ,                                ,08.02.2006                                               ,UNIT 4 COWM TOP BUSINESS PARK   ,                                ,QUEENSWAY                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2PU,136000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
1.42649E+13,RSW INTERNATIONAL LTD           ,                                ,08.02.2006                                               ,UNIT 3 COWM TOP BUSINESS PARK   ,                                ,QUEENSWAY                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2PU,78500,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
1455840026003A     ,RUGBY ROAD REC & BOWLING CLUB   ,                                ,01.04.2005                                               ,RUGBY ROAD RECREATION CLUB      ,                                ,RUGBY ROAD                         ,ROCHDALE                           ,                                ,                                ,OL12 0DZ,3400,CLUB AND PREMISES                                           ,     ,                                                         ,Y,20,80, 
1.02777E+13,RUMMA CONSULTING LTD            ,                                ,30.11.2010                                               ,                                ,                                ,2 BAILLIE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,39750,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.42611E+13,RYDALE POLYMERS LTD             ,                                ,08.08.2012                                               ,                                ,                                ,UNIT 10A ENSOR MILL                ,QUEENSWAY                          ,ROCHDALE                        ,                                ,OL11 2NU,7200,Warehouse and Premises                                      ,     ,                                                         , ,0,0, 
2.1528E+13,RYDER & DUTTON LIMITED          ,                                ,04.07.2006                                               ,                                ,                                ,33 MIDDLETON GARDENS               ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1AB ,10750,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.58033E+13,RYDER & DUTTON LIMITED          ,                                ,10.09.2013                                               ,                                ,                                ,2ND FLOOR (FRONT)                  ,132 YORKSHIRE STREET               ,ROCHDALE                        ,                                ,OL16 1LD,1400,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
1.58033E+13,RYDER & DUTTON LTD              ,                                ,20.06.2008                                               ,                                ,                                ,2ND FLR (REAR) 132                 ,YORKSHIRE STREET                   ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1LD,840,OFFICE AND PREMISES                                         ,     ,                                                         , ,0,0, 
1.58032E+13,RYDER & DUTTON LTD              ,                                ,21.06.2008                                               ,                                ,                                ,1ST FLR YORKSHIRE STREET           ,132,ROCHDALE                        ,LANCASHIRE                      ,OL16 1LD,3100,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
1580329916433B     ,RYDER & DUTTON LTD              ,                                ,21.06.2008                                               ,                                ,                                ,132 YORKSHIRE STREET               ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1LD,9600,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.19693E+13,S A AUTO CENTRE LTD             ,                                ,23.01.2009                                               ,WORKSHOP                        ,                                ,FOXHOLES ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 9BS,20250,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
3.12164E+13,S.F.L (YORKSHIRE) LTD           ,                                ,22.10.2007                                               ,                                ,                                ,1 MARKET STREET                    ,HEYWOOD                            ,                                ,                                ,OL10 1HT,6200,HAIRDRESSING SALON AND PREMISES                             ,     ,                                                         , ,0,0, 
1.55618E+13,S.T.U COMMUNICATIONS LTD        ,                                ,01.03.2014                                               ,                                ,                                ,UNIT F6 FF/13                      ,FIELDHOUSE INDUSTRIAL ESTATE       ,ROCHDALE                        ,                                ,OL12 0AA,2125,Offices and Premises                                        ,     ,                                                         , ,0,0, 
3.15288E+13,SACKVILLE UK PROPERTY SELECT II ,(GP) NO.1 LIMITED               ,08.02.2016                                               ,                                ,                                ,UNIT 6                             ,BROADFIELD DISTRIBUTION CENTRE     ,PILSWORTH ROAD                  ,HEYWOOD                         ,OL10 2TA,110000,WAREHOUSE AND PREMISES                                      ,Y    ,08.02.2016                                               , ,0,0, 
104361001200X2     ,SACRED HEART F C FAO TREASURER D,G WEBSTER                       ,01.04.2005                                               ,ROBINSONS RECREATION CLUB       ,                                ,BELFIELD MILL LANE                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2UB,4250,PLAYING FIELD AND PREMISES                                  ,     ,                                                         , ,0,0, 
158154000400X8     ,SACRED HEART RC PRIMARY SCHOOL  ,                                ,01.04.2005                                               ,SACRED HEART RC PRIMARY SCHOOL  ,                                ,KINGSWAY                           ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 4AW,26000,SCHOOL AND PREMISES                                         ,     ,                                                         ,Y,0,80, 
1.25899E+13,SAFEGUARD SECURITY SOLUTIONS    ,LIMITED                         ,01.04.2012                                               ,H3048 1341 16TH FLR             ,                                ,HOLLAND RISE COLLEGE BANK          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 6UA,6700,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
1.46441E+13,SAFWAN BAIG LTD                 ,                                ,06.01.2012                                               ,                                ,                                ,SUBWAY                             ,SANDBROOK PARK                     ,SANDBROOK WAY                   ,ROCHDALE                        ,OL11 1SA,54500,Restaurant and Premises                                     ,     ,                                                         , ,0,0, 
3053531872148B     ,SAFWAN BAIG LTD                 ,                                ,02.01.2013                                               ,UNIT 7 TIMES RETAIL PARK        ,                                ,DAWSON STREET                      ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4ND,11250,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
4067080019000A     ,SAINSBURY SUPERMARKETS LTD      ,                                ,25.03.2008                                               ,SAINSBURYS                      ,                                ,HARE HILL ROAD                     ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 9AD,36750,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
4067089231212C     ,SAINSBURYS BANK PLC             ,                                ,01.04.2010                                               ,                                ,                                ,ATM SITE AT SAINSBURYS             ,HAREHILL ROAD                      ,LITTLEBOROUGH                   ,                                ,OL15 9AD,8300,Site of ATM                                                 ,     ,                                                         , ,0,0, 
2.20447E+13,SAINSBURY'S SUPERMARKETS LTD    ,                                ,09.09.2016                                               ,UNIT 61 STAKEHILL INDUSTRIAL    ,ESTATE                          ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 2FL ,680000,COLD STORE AND PREMISES                                     ,Y    ,09.09.2016                                               , ,0,0, 
1.42662E+13,SAINT-GOBAIN PERFORMANCE        ,PLASTICS TYGAFLOR LTD           ,01.04.2005                                               ,UNIT 3B & 3C                    ,                                ,TRANS PENNINE TRADING ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2NU,72000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
4.05117E+13,SALFORD ROMAN CATHOLIC DIOCESAN ,TRUSTEES                        ,08.12.2014                                               ,ST MARYS CHURCH YARD            ,                                ,FEATHERSTALL ROAD                  ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 8DW,2400,OFFICES AND PREMISES                                        ,Y    ,08.12.2014                                               , ,0,0, 
1.19451E+13,SALT SEPARATION SERVICES LTD    ,                                ,01.02.2009                                               ,                                ,                                ,10 FLETCHER STREET                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1AE,4900,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
1.20957E+13,SALT SEPARATION SERVICES LTD    ,                                ,01.04.2005                                               ,GROSVENOR HOUSE                 ,                                ,GORRELL STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1AP,38250,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
10907X99183891     ,SALT SEPARATION SERVICES LTD    ,                                ,01.03.2012                                               ,PETER KNOWLSON LTD              ,                                ,9 CANAL STREET WORKS               ,CANAL STREET                       ,ROCHDALE                        ,                                ,OL11 1AB,1875,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0, 
1.09045E+13,SALT SEPARATION SERVICES LTD    ,                                ,18.12.2015                                               ,ACACIA PACKAGING LTD (FORMERLY) ,                                ,7 CANAL STREET WORKS               ,CANAL STREET                       ,ROCHDALE                        ,                                ,OL11 1AB,9600,WAREHOUSE AND PREMISES                                      ,Y    ,18.12.2015                                               , ,0,0, 
3.10063E+13,SAMUEL KERSHAW & SONS LIMITED   ,                                ,01.09.2016                                               ,GND FLR                         ,                                ,15 HORNBY STREET                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1AA,3300,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
13937X98161043     ,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,EAGLE HOTEL                     ,                                ,59 OLDHAM ROAD                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5QJ,5000,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
3150430035000A     ,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,GRAPES INN                      ,                                ,PEEL LANE                          ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4PR,5600,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
3.00732E+13,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,ENGINEERS ARMS                  ,                                ,13 ASPINALL STREET                 ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4HN,6600,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
139408021300X3     ,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,YEW TREE HOTEL                  ,                                ,560 OLDHAM ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2AZ,6650,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
1.29087E+13,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,KINGSWAY HOTEL                  ,                                ,145 KINGSWAY                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5HS,9600,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
1.24588E+13,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,BROWN HILL HOTEL 19             ,                                ,HEIGHTS LANE                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0PX,11250,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
1.58008E+13,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,ROEBUCK HOTEL                   ,                                ,YORKSHIRE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1BH,17500,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
1.54766E+13,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,BRIDGE INN                      ,                                ,WELL I'TH LANE                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1BB,2650,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
1547660002005A     ,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,HORSE AND JOCKEY                ,                                ,1-3 WELL I'TH LANE                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1AU,6000,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
1.39408E+13,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,BAY HORSE                       ,                                ,260 OLDHAM ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2ER,7800,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
1.16301E+13,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,WHITE LION                      ,                                ,942 EDENFIELD ROAD                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 7SS,7600,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
1.16301E+13,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,TURF TAVERN                     ,                                ,564 EDENFIELD ROAD                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 7QJ,8400,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
116301009800X8     ,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,STAR INN                        ,                                ,438 EDENFIELD ROAD                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 7PD,22250,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
5.06798E+13,SAMUEL SMITH OLD BREWERY        ,                                ,13.02.2006                                               ,BIRD-IN-HAND                    ,                                ,41 HUDDERSFIELD ROAD               ,MILNROW                            ,ROCHDALE                        ,LANCASHIRE                      ,OL16 3QZ,4300,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
1.55609E+13,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,ALPINE AYINGER BRAU GASTHOF     ,                                ,WHITWORTH ROAD                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0JG,9500,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
1.38984E+13,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,PT GND & PT 1ST FLR NORWICH     ,MILL                            ,NORWICH STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1LF,9800,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
1389836856021A     ,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,PT GND 1ST 2ND 3RD FLRS         ,NORWICH MILL                    ,NORWICH STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1LF,89500,MILL AND PREMISES                                           ,Y    ,01.04.2005                                               , ,0,0, 
5067980068006B     ,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,BIRD-IN-HAND                    ,                                ,113 HUDDERSFIELD ROAD              ,MILNROW                            ,ROCHDALE                        ,LANCASHIRE                      ,OL16 3QG,4750,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
1.22429E+13,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,FLOWER OF THE VALLEY            ,                                ,122 HALIFAX ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2NJ,6250,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
1361930003002A     ,SAMUEL SMITH OLD BREWERY        ,                                ,01.04.2005                                               ,RIFLEMANS ARMS                  ,                                ,11 MIZZY ROAD                      ,ROCHDALE                           ,                                ,                                ,OL12 6HW,6600,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
