Ratepayer,Property Reference,Property Address,Billing Address,RV,Net Debit ,Liability Start Date,Relief Granted
,64778775,"Office Suites D25 & D35, Dean Clough Office Park, Halifax, HX3 5AX",,11250,0,06/06/17,SBR
,64784885,"Unit B1A, Dean Clough Industrial Park, Halifax, HX3 5AX",,3500,0,02/27/03,SBR
,65344816,"Unit HM30 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,3400,0,05/01/16,SBR
,65344792,"Unit HM4 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,4100,0,01/01/16,SBR
Rms One Inc Ltd,68708700,"23 Dispensary Walk, Halifax, HX1 1QR",,2950,0,07/01/13,SBR
Holmfield Cast Stone Ltd,65344968,"Unit 1, Old Elegant Stone Works, Holdsworth Road, Holmfield            HX2 9TN",,11750,0,09/01/15,SBR
Urban Food Ltd,64242827,"First Floor Front, 8 Hopwood Lane, Halifax, HX1 5HW","Registered Office, 71-75 Shelton Street, Covent Garden, London, WC2H 9JQ",3000,0,05/22/15,SBR
,65364044,"44 Hopwood Lane, Halifax, HX1 5ER",,6200,0,04/01/90,SBR
,65364068,"2 Willow Street, Halifax, HX1 4DH",,3550,0,04/01/11,SBR
,65364070,"70 Hopwood Lane, Halifax, HX1 4DG",,3100,0,10/26/15,SBR
,64242076,"76 Hopwood Lane, Halifax, HX1 4DG",,1625,0,10/01/13,SBR
,65364101,"101 Hopwood Lane, Halifax, HX1 4HB",,3750,0,04/06/12,SBR
Group Management Electrical Surveys Ltd,56174790,"Office Unit K1, Lowfields Way, Lowfields Business Park, Elland               HX5 9DA","10 Tything Road West, Alcester, Warwickshire, B49 6EP",9900,4838.06,05/09/12,SBR
Arbe Integrated Engineering Ltd,64516704,"Coal Lane End Farm, Causeway Foot, Halifax, HX2 8YB","Coal Lane End Farm, Causeway Foot, Halifax, HX2 8YB",7800,0,12/09/13,SBR
,64568006,"6 Church Lane, Southowram, Halifax, HX3 9TD",,1275,0,04/01/90,SBR
,65949703,"Unit 2A, Gaukroger Lane, Halifax, HX1 2DF",,5300,0,10/04/16,SBR
Holly Tree Farm Ltd,65160702,"Holly Tree Farm, Gibb Lane, Mount Tabor, Halifax              HX2 0TW",,4850,0,10/01/09,SBR
Grantham House Properties Ltd,65192720,"Unit 4C, Grantham House, Grantham Road, Halifax              HX3 6PL","C/O James Garside & Son Ltd, Grantham Works, Grantham Road, Halifax, HX3 6PL",11250,5242.5,04/01/10,SBR
Grantham House Properties Ltd,65192712,"Unit 5b, Grantham House, Grantham Road, Halifax             HX3 6PL","C/O James Garside & Son Ltd, Grantham Works, Grantham Road, Halifax, HX3 6PL",1325,0,09/17/05,EX
James Garside & Son Ltd,65192718,"Unit 2A, Grantham Works, Grantham Road, Halifax              HX3 6PL","Unit 2 Grantham Works, Grantham Road, Boothtown, Halifax, HX3 6PL",10250,4776.5,04/01/10,SBR
,65947701,"Roseneath, Greenroyd Avenue, Skircoat Green, Halifax              HX3 0JN",,2850,0,04/06/09,SBR
,64712700,"Greystones, Wheatley, Halifax, HX2 8TX",,2900,0,04/01/90,SBR
Cardtronics Uk Ltd,65224735,"Atm Site (Bankmachine) At, Haley Hill Service Station, Haley Hill, Halifax              HX3 6ED","C/O Gerald Eve Llp, 35 Kings Hill Avenue, West Malling, Kent, ME19 4DN",8300,3867.8,10/01/10,SBR
,65224729,"Haley Hill Works, Haley Hill, Halifax, HX3 6EA",,4050,0,07/10/10,EX
,65224107,"107 Haley Hill, Halifax, HX3 6EE",,2950,497.56,10/01/17,SBR
William Wood's Exors Ltd,65560700,"Lambert Street, Greetland, Halifax, HX4 8AA","Lambert Street Works, Lambert Street, West Vale, Halifax, HX4 8AA",8800,0,04/01/90,SBR
,65576013,"13 Lane Ends Green, Hipperholme, Halifax, HX3 8EZ",,4600,0,08/12/03,SBR
Calderdale Mbc Leisure Services,65592703,"Southowram Branch Library, 14 Law Lane, Southowram, Halifax             HX3 9QU","Fao Shabbir Suleman, Westgate House, Westgate, Halifax, HX1 1PS",2500,1114.48,04/01/90,SBR
Ingfield Farm Shop Ltd,65592706,"Ingfield Farm Shop, Law Farm, Law Lane, Southowram, Halifax              HX3 9UG","Law Farm, Law Lane, Southowram, Halifax, HX3 9UG",5000,0,06/17/03,SBR
,65344985,"Unit 1.06, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",,740,430.4,04/01/14,DUR SBR
P. D. S Plastics Warehousing Ltd,65344778,"Unit 7B White Rose Mill, Holdsworth Road, Halifax, HX3 6SN",,3850,0,02/28/11,SBR
,65344918,"Unit 1A South Mill, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",,1875,0,06/01/10,SBR
Side Curtain Services Ltd,65344758,"Unit 6, Grd Floor, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN","50 Bradshaw View, Queensbury, Bradford, BD13 2FF",4950,0,06/01/09,SBR
Obl Contracts Ltd,56132783,"Unit 11, The Ainleys, Huddersfield Road, Elland              HX5 9DW",,2950,0,10/01/14,SBR
,56132819,"Unit 8A The Ainleys, Huddersfield Road, Elland, HX5 9JB",,1375,0,05/01/06,SBR
I.V.S International Ltd,56132822,"Unit 6 The Ainleys, Huddersfield Road, Elland, HX5 9JP","Alpha House, 715 New Hey Road, Outlane, Huddersfield, HD3 3YO",2325,0,08/20/09,SBR
M C M Services Uk Ltd,56220735,"Albert Mill, James Street, Elland, HX5 0HB","Morton Meadow Logistics Ltd, Brookfoot Business Centre, Elland Road, Brighouse, HD6 2RW",9600,4473.6,04/01/12,SBR
,56144718,"James Street Auto Services, James Street, Elland, HX5 0HB",,3050,0,09/01/08,SBR
,56156071,"71A Langdale Street, Elland, HX5 0JE",,4800,0,07/16/08,SBR
Mr Phillip E Jones,56160700,"Garage 2, Lime Tree Avenue, Elland, HX5 9BE","15 Lime Tree Avenue, Elland, West Yorkshire, HX5 9BE",1875,0,04/01/90,SBR
,65276004,"4 Harrison Road, Halifax, HX1 2AG",,7700,0,09/05/14,SBR
,65616002,"2 Leeds Road, Hipperholme, Halifax, HX3 8ND",,8600,0,04/01/11,SBR
The Spire Halifax Ltd,65612708,"Office 16/17 The Spire, Leeds Road, Halifax, HX3 8NU",,4800,2236.8,03/07/16,SBR
,65626705,"Unit 4, Victoria Park, Lightowler Road, Halifax              HX1 5ND",,6500,0,06/30/17,SBR
,65648002,"2 Ling Bob, Pellon, Halifax, HX2 0QE",,4150,0,12/12/15,SBR
,64236712,"Unit 8A Eastfield Mills, Belmont Street, Halifax, HX3 6AT",,2900,0,04/01/14,SBR
Calderdale Mbc Parking Services,64036718,"Car Park, Akroyd Place, Halifax, HX1 1YH","Fao Debbie Calcott, Mulcture House, Mulcture Hall Road, Halifax, HX1 1SP",5500,2280.8,05/05/09,SBR
,64040001,"1 Albert Road, Halifax, HX2 0BY",,2500,0,10/01/12,SBR
,64040746,"Unit 10, Thrum Hall Business Park, Albert Road, Halifax              HX2 0DB",,8500,0,08/01/16,SBR
C S L Commercials Ltd,64040720,"Unit 1 Victoria Terminal, Albert Road, Halifax, HX2 0BY","4 Railway Street, Huddersfield, West Yorkshire, HD1 1JP",2300,0,11/01/12,SBR
,64044710,"Unit 1, 2 Albert Street, Halifax, HX1 5NW",,9100,0,05/01/14,SBR
Fit-Lock Systems Ltd,64044700,"10 Albert Street, Halifax, HX1 5NW","Kenann House, 32 Newby Road Industrial Est, Hazel Grove, Stockport, SK7 5DA",10250,4776.5,08/04/08,SBR
Dowsland Electrical Ltd,64268702,"20a Blackwall, Halifax, HX1 2BE",,3100,0,07/26/13,SBR
The Boothtown Partnership,64284023,"23 Boothtown Road, Halifax, HX3 6EU","15 Woodside View, Boothtown, Halifax, HX3 6EH",5300,413.03,11/30/11,DUR MCR
,64284710,"38 Boothtown Road, Halifax, HX3 6NE",,2550,0,07/30/05,SBR
When Fresh Ltd,64788840,"Office Suite D105, Dean Clough Mills, Halifax, HX3 5AX","20 - 22 Wenlock Road, London, N1 7GU",4000,1711.38,04/24/17,SBR
The Arts Charity At Dean Clough,64788706,"Office Suite D106, Dean Clough Office Park, Halifax, HX3 5AX","D040 D Mill, Dean Clough, Halifax, HX3 5AX",8000,0,04/01/17,DCR MCR
Kino & Co,65344872,"H M 2.0 Holmfield Mill, Holdsworth Road, Halifax, HX3 6SN","Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",5900,0,05/01/11,SBR
,65344914,"Office H M 2.8, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",,1025,0,02/01/12,SBR
,65344884,"Office H M 2.13, Holdsworth Mills, Holdsworth Road, Halifax              HX3 6SN",,5200,0,03/01/17,SBR
Engineering Services Partnership Ltd,65344866,"Office H M 2.2, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN","Lansdowne Building, 2 Lansdowne Road, Croydon, CR0 2BX",2800,1295.91,04/01/17,SBR
Trans Global Freight Management Ltd,65344960,"Suite H M 2.19, Holmfield Mill, Holdsworth Road, Halifax              HX3 6SN","Woodlands, 79 High Street, Greenhithe, Kent, DA9 9RD",2075,814.42,09/24/12,DUR SBR
,65344992,"Unit Hm 21, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SW",,2050,0,02/01/16,SBR
,56132078,"78 Huddersfield Road, Elland, HX5 9AA",,3550,1536.73,01/20/15,ER
The Eyebag Company Ltd,64628851,"Unit 5, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Unit 5, Calderdale Business Park, Club Lane, Halifax, HX2 8AX",6100,0,10/08/12,SBR
,64632001,"1 Co-Operative Buildings, Wheatley Road, Wheatley, Halifax             HX3 5LP",,5700,0,04/01/90,SBR
,68596352,"352 Skircoat Green Road, Halifax, HX3 0RP",,5900,0,09/01/07,SBR
,68596363,"363 Skircoat Green Road, Halifax, HX3 0RP",,9200,0,07/14/17,SBR
,68596365,"365 Skircoat Green Road, Halifax, HX3 0RP",,7600,0,04/01/08,SBR
,76056013,"13 Bridge End, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5DR",,2150,0,04/01/90,SBR
Calan's Micropub Ltd,76060710,"3 The Courtyard, Bridge Gate, Hebden Bridge, HX7 8EX","16 Market Street, Hebden Bridge, HX7 6AA",8700,0,04/01/15,SBR
,76060009,"9 Bridge Gate, Hebden Bridge, HX7 8EX",,10000,0,04/01/14,SBR
,76060021,"21 Bridge Gate, Hebden Bridge, HX7 8EX",,8400,0,06/01/01,SBR
Violet Tattoos Ltd,76060028,"28 Bridge Gate, Hebden Bridge, HX7 8EX",,3400,0,08/12/16,SBR
Sar Food (Uk) Ltd,77600722,"24-26 Town Hall Street, Sowerby Bridge, HX6 2EA",,9400,0,05/15/14,SBR
,77600032,"32 Town Hall Street, Sowerby Bridge, HX6 2EA",,3750,0,02/01/16,SBR
,77604015,"15 Towngate, Sowerby, Sowerby Bridge, HX6 1HT",,2225,0,02/26/10,SBR
,77632707,"Unit 6, Hillas Industrial Estate, Walker Lane, Sowerby Bridge       HX6 2AR",,2850,0,11/29/17,SBR
,77632717,"Unit 8, Hillas Industrial Estate, Walker Lane, Sowerby Bridge       HX6 2AR",,3600,0,04/01/14,SBR
Merseyrail Electrics 2002 Ltd,78310704,"Bike And Go, Todmorden Train Station, Rise Lane, Todmorden           OL14 7AA","Rail House, Lord Nelson Street, Liverpool, L1 1JF",40,31.6,09/30/13,SBR
Todmorden Art Group,78396708,"Todmorden Railway Station, Rise Lane, Todmorden, OL14 7AA","C/O Miss Barbara Daveron, Old Parcels Office, Todmorden Railway Station, Rise Lane, Todmorden, OL14 7AA",650,302.9,04/01/04,SBR
,78400719,"New Barn Garage, Rochdale Road, Todmorden, OL14 7NA",,6200,0,04/01/90,SBR
The Environment Agency,78400849,"Flood Warning Sign, Adjacent Morrisons, Rochdale Road, Todmorden           OL14 6LG","C/O Rating Department, Bilfinger Gva, 3 Brindley Place, Birmingham, B1 2JB",365,51.84,04/01/10,SBR
,78400724,"Square Garage, Rochdale Road, Todmorden, OL14 6SX",,6400,0,06/25/07,SBR
Todpubs Ltd,78400746,"Royal George Hotel, 17 Rochdale Road, Todmorden, OL14 5AA","Anjums Accountants, Unit 9 Sheepscar Way, Gemini Business Park, Leeds, LS7 3JB",8800,1303.27,12/06/17,SBR
,77632715,"Unit 5, Hillas Industrial Estate, Walker Lane, Sowerby Bridge      HX6 2AR",,5400,0,09/01/01,SBR
,77632719,"Unit 12, Hillas Industrial Estate, Walker Lane, Sowerby Bridge       HX6 2AR",,3650,0,07/01/13,SBR
,77632705,"Unit 4, Hillas Industrial Estate, Walker Lane, Sowerby Bridge      HX6 2AR",,2850,0,02/03/16,SBR
,69096006,"6 Trinity Road, Halifax, HX1 2QF",,3100,0,04/01/90,SBR
A P A Ltd,69116093,"93 Turner Avenue South, Illingworth, Halifax, HX2 8EF",,3500,1202.83,03/28/13,DUR SBR
Due West Ltd,69144715,"Part 1ST & 2ND Floor, 16-18 Union Street, Halifax, HX1 1PR","C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",1050,0,04/16/15,EX
,76224709,"Unit 1, George Street, Mytholmroyd, Hebden Bridge        HX7 5DT",,4750,0,07/01/07,SBR
Yorkshire Office Services Ltd,76244735,"Office At Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",,3250,0,12/01/12,SBR
,77340767,"Unit 8A, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",,1850,0,03/01/12,SBR
,77340776,"Unit 18, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",,1175,0,04/01/15,SBR
,77340773,"Unit 19 Mearclough Works, Mearclough Road, Sowerby Bridge, HX6 3LF",,1175,0,04/01/16,SBR
Harley House Ripponden Ltd.,77348780,"Bankside, Harley House, Mill Fold, Ripponden, Sowerby Bridge       HX6 4DJ","Registered Office, 67 Chorley Old Road, Bolton, BL1 3AJ",4650,2111.41,04/01/17,ER
,76576019,"19 West End, Hebden Bridge, HX7 8UQ",,5400,2586.6,10/08/16,
Drew Forsyth Designs Ltd,76576714,"27 West End, Hebden Bridge, HX7 8UQ",,8100,3774.6,11/01/09,SBR
Blazing Saddles Ltd,76576035,"35 West End, Hebden Bridge, HX7 8UQ","35 West End, Hebden Bridge, HX7 8UQ",7200,0,06/07/08,SBR
,76580008,"8 West End Terrace, Mytholmroyd, Hebden Bridge, HX7 5DW",,2400,0,07/22/14,EX
,76588707,"Whiteley Arches, Halifax Road, Hebden Bridge, HX7 2NX",,5200,0,09/25/05,SBR
Ladyship Manufacturing Ltd,68132708,"Unit A2, Lower Ladyship Mills, Old Lane, Halifax              HX3 5QN",,11500,0,04/01/17,SBR
Calderdale Mbc,65625704,"Sponsored Roundabout, (Flower Bed) Jct Shroggs Rd, Ovenden Road, Halifax              HX3 5BU","Fao Deborah Wright, Safer,Cleaner,Greener Manager, Town Hall, Wesley Court, Halifax, HX1 1UJ",300,139.8,06/01/10,SBR
Noah's Ark Community Cafe,65625701,"322/326 Ovenden Road, Halifax, HX3 5TJ","322/326 Ovenden Road, Halifax, HX3 5TJ",6700,0,04/01/03,DCR MCR
Hyline Fabrications Ltd,68632713,"14 South Parade, Halifax, HX1 2LY",,6300,0,08/18/12,SBR
,68632715,"Part Ground Floor, 14 South Parade, Halifax, HX1 2LU",,1875,0,04/01/95,SBR
Halifax Auto Centre Ltd,68632712,"40 South Parade, Halifax, HX1 2LY",,11750,0,04/01/14,SBR
,68640709,"Unit 2, South Street, Halifax, HX1 2EL",,1500,773.25,05/29/15,DUR SBR
,77024741,"4TH Flr Asquith Bottom Works, Water Street, Ridge Street, Sowerby Bridge       HX6 3BS",,4850,0,08/24/11,SBR
,77024715,"Unit 14B, Asquith Bottom Works, Ridge Street, Sowerby Bridge       HX6 3BS",,3950,0,06/15/15,SBR
,77024716,"Unit 14A, Asquith Bottom Works, Ridge Street, Sowerby Bridge       HX6 3BS",,3950,0,01/01/12,SBR
Good Food Lovers Limited,78400747,"Bramsche Bar, 31 Rochdale Road, Todmorden, OL14 7LA",,11500,0,01/18/17,SBR DBR
,78400854,"Basement Rear, 33 Rochdale Road, Todmorden, OL14 7LA",,2600,0,09/25/15,SBR
Site Restaurant Ltd,78400043,"43 Rochdale Road, Todmorden, OL14 6LD",,6700,0,10/25/14,SBR
Studio C Photography Ltd,78400098,"98 Rochdale Road, Todmorden, OL14 7LP",,2300,0,06/24/14,SBR
,78400832,"108/110 Rochdale Road, Todmorden, OL14 7LP",,6600,0,06/01/09,SBR
,78400554,"554 Rochdale Road, Todmorden, OL14 7SL",,2700,0,04/01/05,SBR
,78400643,"643 Rochdale Road, Todmorden, OL14 7SN",,2050,-0.01,03/08/02,MVR DAR
,78400717,"Unit 1A Hollins Mill, Rochdale Road, Todmorden, OL14 6SA",,5200,0,08/01/13,SBR
,78400827,"The Old Fire Station, Rochdale Road, Todmorden, OL14 7NA",,1750,0,02/18/11,EX
Kavia Moulded Products Ltd,78400730,"Unit 1a, Walsden Industrial Estate, Rochdale Road, Todmorden           OL14 6UD","Unit 1c, Walsden Industrial Estate, Rochdale Road, Todmorden, OL14 6UD",10250,4776.5,04/01/16,SBR
,76648757,"Unit 1, Holby Business Park, West Street, Sowerby Bridge       HX6 3BT",,7200,0,10/01/15,SBR
Harley House Ripponden Ltd,77348786,"Suite 2 Harley House, Mill Fold, Ripponden, Sowerby Bridge       HX6 4DJ","67 Chorley Old Road, Bolton, BL1 3AJ",970,0,10/29/16,EX
Harley House Ripponden Ltd.,77348775,"Suite 1 Harley House, Mill Fold, Ripponden, Sowerby Bridge       HX6 4DJ","Registered Office, 67 Chorley Old Road, Bolton, BL1 3AJ",2500,0,12/24/16,EX
,68308831,"16A Queens Road, Halifax, HX1 3NS",,2475,0,12/01/13,SBR
,68308204,"204 Queens Road, Halifax, HX1 4NE",,3150,0,09/27/15,SBR
Columbia Metals Ltd,69324703,"Union Street South, Halifax, HX1 2LD","19 High Street, Earls Barton, Northampton, NN6 0JG",8600,4007.6,04/01/90,SBR
,69196720,"Unit 1 Victoria Autos, Victoria Road, Halifax, HX1 5PT",,3600,0,04/01/17,SBR
Yorkshire Timber Merchants Ltd,69196728,"Yorkshire Timber Ltd, West Central Business Park, Victoria Road, Halifax              HX1 5QH","F.A.O. Mrs Wood, European House, Victoria Road, Halifax, HX1 5PT",5400,2516.4,05/09/16,SBR
West Vale Bakery Limited,69204002,"2 Victoria Street, Greetland, Halifax, HX4 8DF",,3250,0,04/06/12,SBR
,76244722,"Suite 5, 1ST Floor Burlees House, Hangingroyd Lane, Hebden Bridge        HX7 7DD",,5900,0,09/04/17,SBR
,76244733,"Office 2 Suite 1, 1ST Flr Burlees House, Hangingroyd Lane, Hebden Bridge        HX7 7DD",,1250,0,12/01/12,SBR
,76252792,"Unit 3B, Hawksclough Industrial Est, Burnley Road, Mytholmroyd          HX7 5AD",,2475,0,10/01/12,EX
Golden Fish 168 Ltd,76088003,"3 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,2750,0,05/24/05,SBR
,76088007,"7 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,3750,557.56,11/01/17,SBR
,76252017,"17 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,2600,0,07/17/17,EX
,76088019,"19 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,2600,1005.65,02/07/17,DUR SBR
,77024763,"Unit B First Floor, Asquith Bottom Mills, Asquith Bottom, Sowerby Bridge       HX6 3BS",,2000,0,07/01/11,SBR
,77024766,"Unit E First Floor, Asquith Bottom Mills, Asquith Bottom, Sowerby Bridge       HX6 3BS",,2000,0,01/01/15,SBR
D C N Services Limited,77024790,"Unit C 2ND Floor, Asquith Bottom Mills, Asquith Bottom, Sowerby Bridge       HX6 3BS","1 Spring Gardens, Burnley Road, Sowerby Bridge, HX6 2TW",1225,0,11/17/14,SBR
,77024776,"Asquith Yard, Asquith Bottom Works, Sowerby Bridge, HX6 3BT",,2350,1186.1,04/07/13,SBR
,77024706,"Unit 5, Asquith Bottom Works, Ridge Street, Sowerby Bridge       HX6 3BS",,1950,0,07/01/10,SBR
Ladbrokes Betting & Gaming Ltd,68156726,"364 Ovenden Road, Halifax, HX3 5TJ","Montagu Evans Llp, 2nd Floor, Abbey House, 74 Mosley Street, Manchester, M2 3LW",10500,4302.42,06/26/01,SBR
,68160228,"228 Ovenden Way, Ovenden, Halifax, HX3 5NU",,3300,0,05/20/11,SBR
,68160230,"230 Ovenden Way, Ovenden, Halifax, HX3 5NU",,3350,0,09/12/14,SBR
,68168045,"45 Oxford Lane, Siddal, Halifax, HX3 9BJ",,8700,0,07/08/13,SBR
,76648072,"72 West Street, Sowerby Bridge, HX6 3AP",,5400,2480.59,01/01/14,ER
,77648736,"Unit 12, Sdh Industrial Estate, West Street, Sowerby Bridge       HX6 3BS",,4100,0,08/01/14,SBR
S D H Holdings,77648734,"Unit 10, Sdh Industrial Estate, West Street, Sowerby Bridge       HX6 3BS","Unit 13 Sdh Industrial Est, West Street, Sowerby Bridge, HX6 3BT",960,0,06/01/13,EX
,78408703,"Unit 2, Salford Industrial Estate, Salford, Todmorden           OL14 7LF",,3400,0,06/09/17,SBR
,78412701,"19a School Lane, Todmorden, OL14 5AP",,3000,0,04/01/90,SBR
,78416713,"Unit 3, 10A Nanholme Mill, Shaw Wood Road, Todmorden           OL14 6DA",,1750,0,06/07/16,SBR
D S Design Studio Ltd,78416708,"Unit 12 Nanholme Mill, Shaw Wood Road, Todmorden, OL14 6DR",,3350,0,04/01/16,SBR
,78444002,"""Unofficial Address"", 2 Stansfield Road, Todmorden, OL14 5DL",,3400,0,05/09/15,SBR
,78444718,"Parking Spaces, Opp 35 Stansfield Road, Todmorden, OL14 5DL",,250,116.5,09/06/16,SBR
,76648753,"Unit 4, S D H Industrial Estate, West Street, Sowerby Bridge       HX6 3BT",,6900,0,07/01/14,SBR
,76256789,"Unit 1D, Beehive Mills, Hebble End, Hebden Bridge        HX7 6HJ",,320,0,06/01/15,EX
,76256784,"Unit 1A Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",,3350,0,07/01/14,SBR
,76256705,"Units 17 & 18, Hebble End Mill, Hebble End, Hebden Bridge       HX7 6HJ",,1875,0,05/06/16,SBR
The National Trust,76270702,"Hollin Hall Office, Hollin Hall Farm, Wadsworth, Hebden Bridge        HX7 7AP","Transaction Processing Unit, Epsom Court, Epsom Road,, White Horse Business Park, Trowbridge, Wiltshire, BA14 0XF",7300,699.34,01/29/06,MCR
Harley House Ripponden Ltd.,77348782,"Suite 6 Harley House, Mill Fold, Ripponden, Sowerby Bridge       HX6 4DJ","Registered Office, 67 Chorley Old Road, Bolton, BL1 3AJ",4700,2251.3,04/01/17,
Harley House Ripponden Ltd.,77348773,"Suite 4 Harley House, Mill Fold, Ripponden, Sowerby Bridge       HX6 4DJ","Registered Office, 67 Chorley Old Road, Bolton, BL1 3AJ",2075,0,01/27/16,EX
Ryburn Construction Ltd,77352731,"Unit 5b Mill House Works, Mill House Lane, Triangle, HX6 3LN","Fao Andew L Wickham, 208 Brow Foot Gate Lane, Halifax, HX2 7LS",1325,0,10/01/08,SBR
,77352700,"Top Yard, Mill House Works, Mill House Lane, Triangle            HX6 3LN",,3350,0,04/01/90,SBR
,77352737,"Unit 28A Mill House Works, Mill House Lane, Triangle, Sowerby Bridge       HX6 3LN",,1675,0,11/01/01,SBR
Units To Let [Northern] Ltd,77352707,"Unit 16, Mill House Works, Mill House Lane, Triangle            HX6 3LN","Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",1775,0,09/17/05,EX
,77352724,"Unit 8, Mill House Works, Mill House Lane, Triangle            HX6 3LN",,1625,0,11/07/15,SBR
,77352709,"Unit 18, Mill House Works, Mill House Lane, Triangle            HX6 3LN",,1375,0,04/04/11,SBR
,68308274,"274 Queens Road, Halifax, HX1 4NJ",,4050,0,04/01/17,SBR
Primesight Ltd,68308737,"Advertising Right, Board No 289, At 193 Queens Road, Halifax              HX1 4NE","2nd Floor, 3/5 Charlotte Street, Manchester, M1 4HB",740,344.84,09/01/09,SBR
Brearley-Greens,68308732,"296b Queens Road, Halifax, HX1 4NS","12 Horton Street, Halifax, HX1 1PU",2650,0,08/01/11,EX
Sainsbury's Bank Plc,68192703,"Atm Site, 21/23 Park Drive, Halifax, HX2 7NP","C/O Cbre Corporate Outsourcing Ltd, 55 Temple Row, Brimingham, B2 5LS",3750,1747.5,04/01/10,SBR
,68212700,"Windmill Tavern, Park Square, Hough, Northowram           HX3 7BZ",,9700,0,09/23/16,SBR
,68224046,"46 Parkinson Lane, Halifax, HX1 3XL",,4600,0,10/13/90,SBR
,68652039,"39 Southgate, Halifax, HX1 1DL",,7200,0,04/06/14,SBR
,68656700,"3a Southgate House, Southgate, Halifax, HX1 1DE",,9200,0,03/22/10,SBR
,68708719,"Square Road, Halifax, HX1 1QG",,4000,0,02/16/14,SBR
The Slightly Foxed Brewing Company Limited,76088879,"2 Richmond House, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ","Fao Matthew Bell, Higher Underbank House, Charlestown, Hebden Bridge, West Yorkshire, HX7 6PS",5000,0,05/25/16,SBR
,76088872,"Unit 6, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",,2000,0,01/14/08,EX
,76088875,"Unit 4, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",,7600,0,05/01/16,SBR
Wine Cellar Trading Ltd,77652038,"38 Wharf Street, Sowerby Bridge, HX6 2AE","European House, Darlaston Road, Walsall, WS2 9SQ",4750,2213.5,10/01/09,SBR
,77652047,"47 Wharf Street, Sowerby Bridge, HX6 2LB",,2550,0,05/01/15,SBR
Ideal Boats Company Ltd,78500702,"Garage, Vale Street, Todmorden, OL14 5HG","Woodbottom Mill, Hollins Road, Walsden, Todmorden, OL14 6PG",4100,0,04/01/17,SBR
,78500700,"Vale Street, Todmorden, OL14 5HG",,3800,0,04/01/90,SBR
,78508017,"17 Water Street, Todmorden, OL14 5AB",,5300,0,11/01/11,SBR
,78508018,"18 Water Street, Todmorden, OL14 5AB",,2600,0,04/21/17,SBR
S W Allen Optical Ltd,78508019,"19 Water Street, Todmorden, OL14 5AB",,4350,1993.65,07/16/04,DUR SBR
Wrigley Claydon Solicitors,78508704,"2ND Floor, 31/33 Water Street, Todmorden, OL14 5AB","Ground Floor, 31/33 Water Street, Todmorden, OL14 5AB",3000,1398,06/01/07,SBR
,77652749,"59 Wharf Street, Sowerby Bridge, HX6 2AF",,8600,1422.04,10/01/17,ER
Sue Ryder Care,77444706,"1 & 2 Regent Parade, Wharf Street, Sowerby Bridge, HX6 2EH","Capita, 65 Gresham Street, London, EC2V 7NQ",10750,1029.85,09/10/10,MCR
,78076757,"218 Burnley Road, Todmorden, OL14 8EA",,2950,0,02/13/15,SBR
Trufoods (Uk) Limited,78012023,"23 Ashenhurst Road, Todmorden, OL14 8EB","21a Ashenhurst Road, Todmorden, OL14 8EB",2300,0,07/17/17,SBR
Calder Valley Commercial Services Ltd,78016012,"The Wash House, 12 Back North Street, Todmorden, OL14 7BD","Fao Mr Riggs, 12 Back North Street, Todmorden, OL14 7BD",850,0,04/01/04,SBR
,68308830,"Unit 1B Queens Road Works, Queens Road, Halifax, HX1 3XY",,4100,0,07/01/13,SBR
,68316708,"Raglan Street, Halifax, HX1 5QZ",,6900,0,06/15/15,SBR
,68328700,"Ellen Royd Playing Fields, Range Bank, Halifax, HX3 6JR",,1300,50.32,08/01/98,DOR MAR
Rowan Residential Ltd,69216015,"15 Wade House Road, Shelf, Halifax, HX3 7PB",,5300,0,01/02/07,SBR
