Body Name,ONS Body Code,Service Label,Service Code,Service Division,Service Division Code,Organisational Unit,Expenditure Category,Expenditure Code,CIPFA detailed expenditure type,GLCode,CIPFA detailed expenditure code,Narrative,Date,Transaction Number,Net Amount,Capital and Revenue,SupplierNameEdit,SupplierNo
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,WM&L-Parks and Open Spaces,YL0,ELR Parks and Cemeteries (OSY),Premises Expenses,200,Parks Horticultural Services,Y2710.20900,20900,various maintenance works, 28/03/2013,P2 662497,"£1,425.00",REV,Payment to an individual or sole trader,815113
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,WM&L-Parks and Open Spaces,YL0,ELR Parks and Cemeteries (OSY),Premises Expenses,200,Tree Management,Y2720.20940,20940,Colville Square tree works, 28/03/2013,P2 662507,"£1,500.00",REV,Treemasters Ltd,600486
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,YouthSupport&Development Ser,E07,FCS Youth Water Sports (OSF),Employee Expenses,100,Agency Staff-Support Services,E6239.12100,12100,Hours worked during January 2013, 27/03/2013,P2 662522,£765.00,REV,Payment to an individual or sole trader,1285786
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Legal Services,C10,COS Legal Litigation (OSC),Third Party Payments,500,Counsels Fees,P4341.54510.LBTMO/02,54510,"Counsel's fees: *******, 13/02/2013.", 27/03/2013,P2 662524,£555.00,REV,Payment to an individual or sole trader,1283593
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Legal Services,C10,COS Legal Litigation (OSC),Third Party Payments,500,Counsels Fees,P4341.54510.LBHSHH,54510,"Counsel's fees: *******, 13/02/2013.", 27/03/2013,P2 662525,£832.50,REV,Payment to an individual or sole trader,1283593
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Legal Services,C10,COS Legal Litigation (OSC),Third Party Payments,500,Counsels Fees,P4341.54510.LBTMO/02,54510,"Counsel's fees: *******, 13/02/2013.", 27/03/2013,P2 662526,£647.50,REV,Payment to an individual or sole trader,1283593
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Legal Services,C10,COS Legal Litigation (OSC),Third Party Payments,500,Counsels Fees,P4341.54510.LBTMO/02,54510,"Counsel's fees: *******, 13/02/2013.", 27/03/2013,P2 662527,"£1,202.50",REV,Payment to an individual or sole trader,1283593
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Legal Services,C10,COS Legal Litigation (OSC),Third Party Payments,500,Counsels Fees,P4341.54510.LBTMO/26,54510,"Counsel's fees: *******, 13/02/2013.", 27/03/2013,P2 662528,"£1,295.00",REV,Payment to an individual or sole trader,1283593
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Legal Services,C10,COS Legal Litigation (OSC),Third Party Payments,500,Counsels Fees,P4341.54510.LBHSHH,54510,"Counsel's fees: *******, 13/02/2013.", 27/03/2013,P2 662530,"£1,017.50",REV,Payment to an individual or sole trader,1283593
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Public Lighting,YT3,COS FM Energy (OSC),Premises Expenses,200,Electricity Non-Contract,Y7252.22010,22010,CCTV Feb 2013 Electricity, 27/03/2013,P2 662535,"£1,710.96",REV,Edf Energy,608935
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,"Comm Relations, SIT & Public C",C24,COS Consultation & Partnership (OSC),Supplies & Services,400,Annual Programme,P5745.42515,42515,Tri-borough Residents Survey, 27/03/2013,P2 662540,"£9,000.00",REV,City Of Westminster,605447
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Parking On-Street,YT8,TTS Parking Divisional Expend (OSY),Employee Expenses,100,Training Expenses,Y8200.19090,19090,External Auditor Training, 27/03/2013,P2 662592,"£1,110.00",REV,Institute of Quality Assurance,644341
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Legal Services,C10,COS Legal Business Support (OSC),Supplies & Services,400,External Solicitors Fees,P4341.44070.LEELYS,44070,Borough Legal Alliance Elm Youth Service, 27/03/2013,P2 662783,£847.00,REV,Sharpe Pritchard,611200
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Commercial Lettings,C23,COS Commercial Properties (OSC),Third Party Payments,500,Consultants,P5720.54530,54530,Clearings/Depot Site -Professional fees, 27/03/2013,P2 662786,"£10,262.72",REV,Drivers Jonas Deloitte LLP,803559
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Legal Services,C10,COS Legal Contracts (OSC),Third Party Payments,500,Counsels Fees,P4341.54510.LBHSCF,54510,"Counsel's fees: *******, 25/02/2013.", 27/03/2013,P2 662787,"£4,300.00",REV,Payment to an individual or sole trader,601068
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Parking On-Street,YT8,TTS Parking Services (OSY),Supplies & Services,400,Computer Software Purchase,Y8200.43050,43050,On-Street Enforcement Monitoring Software, 28/03/2013,P2 662788,"£6,000.00",REV,Mouchel,1013834
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,LAC and Leaving Care,E18,FCS Leaving Care (OSF),Third Party Payments,500,Supported Living,S1425.54135,54135,support Jan 13, 27/03/2013,P2 662790,£516.15,REV,Metropolitan Support Trust,621216
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Promoting Services,E42,FCS Ladbroke South SWT (OSF),Third Party Payments,500,S17 Assistance,S1741.54390,54390,support and rent for February 13, 28/03/2013,P2 662792,"£1,410.36",REV,Field Lane Foundation,947898
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,LAC and Leaving Care,E18,FCS Leaving Care (OSF),Third Party Payments,500,Supported Living,S1425.54135,54135,rent and support 22/1-30/1/13 18/2/13, 28/03/2013,P2 662795,"£1,283.14",REV,Support Link Services Ltd,1141541
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Legal Services,C10,COS Legal Business Support (OSC),Supplies & Services,400,External Solicitors Fees,P4341.44070.LEELYS,44070,professional legal services - Elm Youth Service, 28/03/2013,P2 662801,"£5,817.70",REV,Sharpe Pritchard,611200
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Property Services,C11,COS FM Energy (OSC),#N/A,#N/A,,P0513.54505.MECM0001,,TEAM Bureau Service Feb 2013, 28/03/2013,P2 662802,"£1,634.51",REV,TEAM (Energy Auditing Agency Ltd),937873
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Non Budget Book Business Unit,001,COS FM Energy (OSC),Holding Code,005,Payments,C1707.00306,00306,EDF HH electricity for corporate sites Feb/March 13, 27/03/2013,P2 662806,"£63,817.39",CAH,Edf Energy,608935
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Governance Services,C09,COS Governance Services (OSC),Third Party Payments,500,Couriers,P4201.54690,54690,Courier costs for February 2013, 28/03/2013,P2 662807,£745.04,REV,Courier Systems,600778
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Commercial Lettings,C23,COS Commercial Properties (OSC),Third Party Payments,500,Consultants,P5720.54530,54530,Appraisal/advice - Munro Mews, 28/03/2013,P2 662809,£775.00,REV,Alliance Environment & Planning Ltd,955593
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,LAC and Leaving Care,E18,FCS Leaving Care (OSF),Third Party Payments,500,Supported Living,S1425.54135,54135,support february13, 28/03/2013,P2 662810,"£1,020.04",REV,Keys 16 Plus Independent Living Services,1230730
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,LAC and Leaving Care,E18,FCS Leaving Care (OSF),Third Party Payments,500,Supported Living,S1425.54135,54135,support february13, 28/03/2013,P2 662812,£600.32,REV,Keys 16 Plus Independent Living Services,1230730
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,Non Budget Book Business Unit,001,ELR OHP Production (OSY),Balance Sheet Code,002,Expenditure,B8147.02626,02626,Production Asst invoice, 27/03/2013,P2 662817,"£1,500.00",CAB,Payment to an individual or sole trader,1300523
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,LAC and Leaving Care,E18,COS Concerto Orders (OSC),Premises Expenses,200,PM Improvement Works,S1520.20200,20200,CP9571- Please carry out redecoration works to the common parts of Creswick Road Hostel as per tende, 27/03/2013,P2 662826,"£19,580.00",REV,Inex Revamp Ltd,1227351
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,WM&L-Holland Park Theatre,YA2,ELR OHP General (OSY),Third Party Payments,500,Consultants,L0309.54530,54530,Consultancy fees for March 2013, 27/03/2013,P2 662833,"£1,235.00",REV,Leave It To Us UK Ltd,1233912
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Supplies & Services,400,Equipment Purchase,S6292.40080,40080,Chair for *******, 27/03/2013,P2 662836,£797.50,REV,Posturite (UK) Ltd,601843
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6123.54135,54135,Supported Living 25.2.13-24.3.13 *******, 27/03/2013,P2 662895,"£1,358.00",REV,Care Tech Community Services Ltd,848248
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6123.54135,54135,Supported Living 28.1.13-24.2.13 *******, 27/03/2013,P2 662896,"£1,358.00",REV,Care Tech Community Services Ltd,848248
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6123.54135,54135,Supported Living 8.10.12-4.11.12 *******, 27/03/2013,P2 662897,"£1,358.00",REV,Care Tech Community Services Ltd,848248
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6123.54135,54135,Supported Living 10.9.12-7.10.12 *******, 27/03/2013,P2 662898,"£1,358.00",REV,Care Tech Community Services Ltd,848248
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6123.54135,54135,Supported Living 16.7.12-12.8.12 *******, 27/03/2013,P2 662900,"£1,358.00",REV,Care Tech Community Services Ltd,848248
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6123.54135,54135,Supported Living 31.12.12-27.1.13 *******, 27/03/2013,P2 662903,"£1,358.00",REV,Care Tech Community Services Ltd,848248
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6123.54135,54135,Supported Living 3.12.12-30.12.12, 27/03/2013,P2 662904,"£1,358.00",REV,Care Tech Community Services Ltd,848248
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6123.54135,54135,Supported Living 5.11.12-2.12.12 *******, 27/03/2013,P2 662905,"£1,358.00",REV,Care Tech Community Services Ltd,848248
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC E Monitoring Team (OSS),Third Party Payments,500,Supported Living,S6123.54135,54135,home care, 27/03/2013,P2 662907,£978.00,REV,3way Services (London) Ltd,1232904
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC E Monitoring Team (OSS),Third Party Payments,500,Home Care,S6123.54452,54452,home care, 27/03/2013,P2 662908,£598.00,REV,3way Services (London) Ltd,1232904
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,"A,I&A Other",E39,FCS Pupil Support Service (OSF),Employee Expenses,100,Training Expenses,E5605.19090,19090,Training for BIT team, 27/03/2013,P2 662925,"£1,000.00",REV,Payment to an individual or sole trader,1308491
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,WM&L-Parks and Open Spaces,YL0,ELR Parks and Cemeteries (OSY),Premises Expenses,200,Parks Horticultural Services,Y2720.20900,20900,aboricultural supplies, 27/03/2013,P2 662928,£684.99,REV,Arbortech Tree Technology Ltd,987749
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,"Comm Relations, SIT & Public C",C24,COS Property Services (OSC),Third Party Payments,500,Consultants,P5758.54530,54530,Technical advisors on TFM project (providing consultancy & technical support), 27/03/2013,P2 662938,"£24,000.00",REV,Comet Advisory Services Ltd,1279950
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,EY Outreach,E24,FCS Early Start (Golborne) (OSF),Employee Expenses,100,Training Expenses,S2236.19090,19090,Sew Friendly workshops, 28/03/2013,P2 662941,"£3,000.00",REV,I Made It Myself,1272850
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,"A,I&A Other",E39,FCS Pupil Support Service (OSF),Supplies & Services,400,Contingency,E5605.47210,47210,Agency, 27/03/2013,P2 662945,"£1,025.00",REV,Protocol Education Ltd,626910
The Royal Borough of Kensington and Chelsea,00AW,Housing Services,HOS,Homelessness & Housing Advice,H07,HOS Temp Accommodation (OSS),Third Party Payments,500,PLA Accommod - Stat Homeless,H6400.54714,54714,"PLA 01-31/03/2013, no VAT", 28/03/2013,P2 662952,"£11,798.60",REV,Altwood Properties Ltd,1264079
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Non Budget Book Business Unit,001,COS Corporate Finance (OSC),Balance Sheet Code,002,Other Sale Expenses,B4402.08456,08456,consultant fee for lease extension, 28/03/2013,P2 663012,"£1,250.00",CAB,Cluttons,603514
The Royal Borough of Kensington and Chelsea,00AW,Housing Services,HOS,Housing Management & Support,H05,HOS Directorate (OSS),Third Party Payments,500,Consultants,H6000.54530,54530,Consultants, 28/03/2013,P2 663016,"£18,563.00",REV,Savills Commercial Ltd,603876
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Property Services,C11,COS FM Print & Mailroom Servic (OSC),Premises Expenses,200,Confidential Waste,P1311.26550,26550,Additional confidential waste collections for dates: 21.01.13/24.01.13/31.01.13 and 07/02.13, 28/03/2013,P2 663017,£560.00,REV,PHS Datashred,777742
The Royal Borough of Kensington and Chelsea,00AW,Planning & Borough Development,PBD,Dc/Plan Info & Land Chgs,P04,PBD Business Support (OST),Supplies & Services,400,Computing Services,T0310.43080,43080,Data Services-Land charges register, 28/03/2013,P2 663042,"£2,375.00",REV,Idox Software Ltd,600475
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,COS FM Energy (OSC),Premises Expenses,200,Water & Sewerage Rates,S3530.24500,24500,EPICS Thames water March/Oct 2012, 28/03/2013,P2 663043,"£3,701.42",REV,Thames Water Utilities Ltd,600917
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Parking On-Street,YT8,TTS Parking Divisional Expend (OSY),Supplies & Services,400,GSM lines,Y8300.43412,43412,PDM's GPRS/GSM Data Line 2012/2013, 28/03/2013,P2 663052,"£3,355.29",REV,O2,622622
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Parking On-Street,YT8,TTS Parking Divisional Expend (OSY),Third Party Payments,500,Consultants,Y8345.54530.MTSDVLA,54530,DVLA Enquiries 2012-2013, 28/03/2013,P2 663053,£870.75,REV,Mouchel,1013834
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Placements & Recoupment,E27,FCS SEN (OSF),Third Party Payments,500,LEA Previous years,E5000.58050.2012/13,58050,sen recoupment independent fees 2012-13, 28/03/2013,P2 663054,"£25,326.95",REV,Kent County Council,600810
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Placements & Recoupment,E27,FCS SEN (OSF),Third Party Payments,500,LEA Previous years,E5000.58050.2011-12,58050,sen recoupment transport costs 2011/12, 28/03/2013,P2 663055,"£41,149.45",REV,Kent County Council,600810
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Placements & Recoupment,E27,FCS SEN (OSF),Third Party Payments,500,LEA Previous years,E5000.58050.2011-12,58050,sen recoupment  placement costs 2011/12, 28/03/2013,P2 663056,"£30,448.10",REV,Kent County Council,600810
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,High Needs Service,E41,FCS Adolescent Service (OSF),Supplies & Services,400,Miscellaneous Expenses,S1590.45000,45000,Vouchers, 28/03/2013,P2 663058,"£1,568.00",REV,Park Retail Ltd,886466
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,"Comm Relations, SIT & Public C",C24,COS Property Services (OSC),Third Party Payments,500,Consultants,P5779.54530,54530,Project manager, 28/03/2013,P2 663069,"£1,150.00",REV,Giant Professional Ltd (PRU),1032205
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,Non Budget Book Business Unit,001,ELR OHP General (OSY),Balance Sheet Code,002,Expenditure,B8147.02626,02626,Consultancy fees 2013, 28/03/2013,P2 663070,"£11,250.00",CAB,Payment to an individual or sole trader,1308333
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,"Comm Relations, SIT & Public C",C24,COS Property Services (OSC),Third Party Payments,500,Consultants,P5779.54530,54530,Project manager, 28/03/2013,P2 663071,"£1,150.00",REV,Giant Professional Ltd (PRU),1032205
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Information Systems,C02,COS ISD Development (OSC),Supplies & Services,400,Computer Supplies-Misc,P4810.43060,43060,RBKC Metadirectory Support 2013 - 2014, 28/03/2013,P2 663080,"£10,000.00",REV,Metaconnections Ltd,824901
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Highway Maintenance,YT2,TTS Highways (OSY),Third Party Payments,500,Non-Programmed Footway Mntce,Y7212.55510,55510,Road preparation of Stonleigh Place and Orchard Place, 28/03/2013,P2 663108,"£3,340.00",REV,Floorblast UK Ltd,1197793
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Children With Disabilities,E43,FCS AHDC & BFST (OSF),Transport Expenses,300,Vehicle Hire Expenses,S1755.31050,31050,Minibus hire for activities and transport w/e 30/12/12, 28/03/2013,P2 663113,"£1,128.00",REV,Silverburn Finance (UK) Ltd,635350
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Property Services,C11,COS Concerto Orders (OSC),Premises Expenses,200,Responsive Building Repairs,P1511.21385,21385,CP10345- Repair and refix the brass handrail on the front steps of the Register Office at COTH, 28/03/2013,P2 663114,"£1,250.00",REV,Trimair Ventilation,842672
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,"Comm Relations, SIT & Public C",C24,COS Consultation & Partnership (OSC),Supplies & Services,400,Annual Programme,P5745.42515,42515,KCP Facilitation, 28/03/2013,P2 663115,£800.00,REV,Mindz In Motion Ltd,1015892
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Family Servs Mment & Supp Serv,E14,COS Procurement (OSC),Supplies & Services,400,Furniture Purchase,S1600.40120,40120,1 X ******* ******* Embody Chair ref: Emb/01, 28/03/2013,P2 663118,£529.99,REV,Cupaz,1091481
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Parking On-Street,YT8,COS Procurement (OSC),Supplies & Services,400,Furniture Purchase,Y8200.40120,40120,2 X Fully Loaded Aeron chairs size B ref: Aero/10, 28/03/2013,P2 663119,£965.90,REV,Cupaz,1091481
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Finance (OSS),Third Party Payments,500,P&V Residential,S6121.54060,54060,Extra Funding April 2013, 28/03/2013,P2 664056,£637.84,REV,Long Furrows,601934
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Finance (OSS),Third Party Payments,500,P&V Residential,S6121.54060,54060,Extra Funding May 2013, 28/03/2013,P2 664057,£656.60,REV,Long Furrows,601934
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Capital Codes,002,HHASC Service Management (OSS),Capital Code,003,Construction-Main Ctrctrs A/C,R4312.00090,00090,Supply of Adult Social Care IT System, 28/03/2013,P2 664058,"£14,787.14",CAP,CoreLogic Ltd,1286709
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Finance (OSS),Third Party Payments,500,P&V Residential,S6123.54060,54060,25/02/13-24/03/13 Day care, 28/03/2013,P2 664059,£524.52,REV,Brigstock Activity Centre,1239631
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Finance (OSS),Third Party Payments,500,Supported Living,S6123.54135,54135,Supp Living 25/02/13-24/03/13, 28/03/2013,P2 664060,£674.40,REV,Newton Dee Camphill Community Ltd,859666
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Finance (OSS),Third Party Payments,500,Supported Living,S6123.54135,54135,Supp Living 18/02-17/03/13, 28/03/2013,P2 664062,"£1,215.52",REV,The Grace Eyre Foundation,600047
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Finance (OSS),Third Party Payments,500,P&V Day Care,S6123.54070,54070,18/02-17/03/13 Fees Daycare+transport, 28/03/2013,P2 664063,"£1,120.00",REV,The Grace Eyre Foundation,600047
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Finance (OSS),Third Party Payments,500,P&V Day Care,S6121.54070,54070,01/04-30/04/13 Day care, 28/03/2013,P2 664065,£729.09,REV,Care Tech Community Services Ltd,848248
The Royal Borough of Kensington and Chelsea,00AW,Housing Revenue Account,HRA,HRA,H19,HHASC Strategy & Regen (OSS),Supplies & Services,400,Resource Accounting Costs,H0200.45300,45300,Silchester Gardens - infrastructure protection work, 28/03/2013,P2 664067,£668.12,REV,London Underground Ltd,917369
The Royal Borough of Kensington and Chelsea,00AW,Housing Revenue Account,HRA,Capital Codes,002,HOS Finance & Support (OSS),Capital Code,003,Salaries-Hsg Dev& Mgment Staff,G5020.00074,00074,Capital programme team Feb 2013, 28/03/2013,P2 664092,"£40,237.96",CAP,RBKC - TMO Ltd,602155
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Non Budget Book Business Unit,001,HHASC Service Management (OSS),Balance Sheet Code,002,Payments,B2157.05471,05471,Equipment costs February 2013, 28/03/2013,P2 664094,"£86,654.52",CAB,Medequip Assistive Technology Ltd,881893
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Fostering and Adoption,E15,FCS Connected Persons (OSF),Third Party Payments,500,Inter country Adoption,S1464.57540,57540,Inter country adoption - reports & fees, 28/03/2013,P2 664095,"£1,476.10",REV,Payment to an individual or sole trader,1057849
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,Non Budget Book Business Unit,001,ELR OHP Production (OSY),Balance Sheet Code,002,Expenditure,B8147.02626,02626,******* model expenses, 28/03/2013,P2 664097,"£1,000.00",CAB,Payment to an individual or sole trader,1277140
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,Non Budget Book Business Unit,001,ELR OHP Production (OSY),Balance Sheet Code,002,Expenditure,B8147.02626,02626,Wardrobe assistance, 28/03/2013,P2 664100,"£1,600.00",CAB,Payment to an individual or sole trader,1307621
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,Non Budget Book Business Unit,001,ELR OHP Production (OSY),Balance Sheet Code,002,Expenditure,B8147.02626,02626,Conducting, 28/03/2013,P2 664106,"£1,500.00",CAB,Payment to an individual or sole trader,1253097
The Royal Borough of Kensington and Chelsea,00AW,Housing Revenue Account,HRA,HRA,H19,HOS Finance & Support (OSS),Third Party Payments,500,TMO Management Fee,H0100.54730,54730,TMO management fee April 2013, 28/03/2013,P2 664115,"£866,771.59",REV,Tenant Management Organisation,1283388
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,P&V HC Spot Purchasing,S6125.54450,54450,Homecare 19.12.12-1.1.13 ******* authorised by *******, 28/03/2013,P2 664128,"£1,070.86",REV,Special People,625778
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Pupil Referral Unit,E29,FCS Pupil Referral Unit (OSF),Employee Expenses,100,Agency Staff-Support Services,E5606.12100,12100,Counselling and supervision, 28/03/2013,P2 664159,£575.00,REV,Tsunami Counselling & Educational Suppor,1277715
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Pupil Referral Unit,E29,FCS Pupil Referral Unit (OSF),Third Party Payments,500,Commissioned Services,E5606.52560,52560,Pupil courses, 28/03/2013,P2 664162,"£9,999.96",REV,Kensington & Chelsea College,603609
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Children With Disabilities,E43,FCS AHDC & BFST (OSF),Transport Expenses,300,Vehicle Hire Expenses,S1755.31050,31050,Minibus for activities and transport for w/e 06/01/13, 28/03/2013,P2 664190,"£1,128.00",REV,Silverburn Finance (UK) Ltd,635350
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Children With Disabilities,E43,FCS AHDC & BFST (OSF),Transport Expenses,300,Vehicle Hire Expenses,S1755.31050,31050,Minibus for transport and activities for w/e 13/01/13, 28/03/2013,P2 664191,"£1,661.00",REV,Silverburn Finance (UK) Ltd,635350
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Children With Disabilities,E43,FCS AHDC & BFST (OSF),Transport Expenses,300,Vehicle Hire Expenses,S1755.31050,31050,Minibus for transport and activities for w/e 20/01/13, 28/03/2013,P2 664192,"£1,661.00",REV,Silverburn Finance (UK) Ltd,635350
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Children With Disabilities,E43,FCS AHDC & BFST (OSF),Transport Expenses,300,Vehicle Hire Expenses,S1755.31050,31050,Minibus for transport and activities for w/e 27/01/13, 28/03/2013,P2 664193,"£1,567.00",REV,Silverburn Finance (UK) Ltd,635350
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Children With Disabilities,E43,FCS AHDC & BFST (OSF),Transport Expenses,300,Vehicle Hire Expenses,S1755.31050,31050,Minibus for transport and activities for w/e 31/01/13, 28/03/2013,P2 664194,"£1,504.00",REV,Silverburn Finance (UK) Ltd,635350
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Children With Disabilities,E43,FCS AHDC & BFST (OSF),Transport Expenses,300,Vehicle Hire Expenses,S1755.31050,31050,Minibus for activities and transport for w/e 03/02/13, 28/03/2013,P2 664195,"£1,128.00",REV,Silverburn Finance (UK) Ltd,635350
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Children With Disabilities,E43,FCS AHDC & BFST (OSF),Transport Expenses,300,Vehicle Hire Expenses,S1755.31050,31050,Minibus for activities and transport for w/e 10/02/13, 28/03/2013,P2 664196,"£2,560.00",REV,Silverburn Finance (UK) Ltd,635350
