Organisation Name (A),Dept (B),Service Cat Label (C),Purpose of Spend (D),Expenditure CIPFA Sub Group Label (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,J DRIVER LTD,A0000884, 09/06/2016,EST0271902,110,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 23/06/2016,COR0272251,75.97,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 23/06/2016,COR0272252,204.63,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 30/06/2016,COR0272384,386.65,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,J HARGREAVES,A0001359, 23/06/2016,OPS0272271,25,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),44,JACOBS,A0016294, 16/06/2016,HED0271995,-487.92,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),44,JACOBS,A0016294, 16/06/2016,HED0271993,-15,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),44,JACOBS,A0016294, 16/06/2016,HED0271993,15,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),44,JACOBS,A0016294, 16/06/2016,HED0271995,487.92,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Passenger Shelter Cleaning,26,JANDON CLEANING SERVICES,A0079028, 09/06/2016,HED0271835,140,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Passenger Shelter Cleaning,26,JANDON CLEANING SERVICES,A0079028, 09/06/2016,HED0271835,100,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Passenger Shelter Cleaning,26,JANDON CLEANING SERVICES,A0079028, 09/06/2016,HED0271835,160,N,N/A,N,N/A
Pendle Borough Council,Revenues Services,Supplies and Services,Consultants Fees,44,JBW GROUP LIMITED,A0088708, 30/06/2016,TRE0272462,110,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,JETCAM CLEANSING COLNE LTD,A0088807, 23/06/2016,EST0272314,125,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,JETCAM CLEANSING COLNE LTD,A0088807, 23/06/2016,EST0272312,125,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,JETCAM CLEANSING COLNE LTD,A0088807, 09/06/2016,EST0271836,125,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,JETCAM CLEANSING COLNE LTD,A0088807, 23/06/2016,EST0272313,75,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,JETCAM CLEANSING COLNE LTD,A0088807, 23/06/2016,HED0272296,52.5,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,JETCAM CLEANSING COLNE LTD,A0088807, 23/06/2016,HED0272296,100,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,JEWSON LIMITED,A0001323, 02/06/2016,PCO0271543,1.99,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,JEWSON LIMITED,A0001323, 02/06/2016,PCO0271543,4.58,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,JEWSON LIMITED,A0001323, 16/06/2016,PCO0271937,3.61,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,JEWSON LIMITED,A0001323, 16/06/2016,PCO0271937,4.68,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,JEWSON LIMITED,A0001323, 16/06/2016,PCO0271937,8.79,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,JEWSON LIMITED,A0001323, 16/06/2016,PCO0271937,10.28,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Supplies and Services,Seminars etc All Costs,46,REDACTED - PERSONAL DATA,A0057968, 30/06/2016,PER0272458,56,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,47,REDACTED - PERSONAL DATA,A0057968, 30/06/2016,DAL0272451,66.08,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Supplies and Services,Seminars etc All Costs,46,JOANNE LEVER,A0088689, 02/06/2016,PER0271675,375,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Cash : Payroll Advances,PB,REDACTED - PERSONAL DATA,A0061800, 22/06/2016,AAS0272409,104,N,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,EFM : Other Equipment,40,REDACTED - PERSONAL DATA,A0090825, 23/06/2016,PBC0272222,10.5,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 23/06/2016,OPS0272246,45,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 09/06/2016,OPS0271716,45,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 09/06/2016,OPS0271827,45,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 16/06/2016,OPS0271948,45,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 30/06/2016,OPS0272401,45,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 02/06/2016,PCO0271612,45,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,47,JOHNSONS TEXICARE LTD,A0002665, 09/06/2016,ENV0271896,99.7,N,N/A,N,N/A
Pendle Borough Council,Directorate,Supplies and Services,Adverts : Statutory Notice,47,JOHNSTON PUBLISHING LIMITED,A0059640, 16/06/2016,MAN0272004,288.42,N,N/A,N,N/A
Pendle Borough Council,Directorate,Supplies and Services,Adverts : Statutory Notice,47,JOHNSTON PUBLISHING LIMITED,A0059640, 16/06/2016,MAN0272003,340.86,N,N/A,N,N/A
Pendle Borough Council,Directorate,Supplies and Services,Adverts : Statutory Notice,47,JOHNSTON PUBLISHING LIMITED,A0059640, 23/06/2016,MAN0272266,393.3,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Adverts : Statutory Notice,47,JOHNSTON PUBLISHING LIMITED,A0059640, 30/06/2016,DAL0272450,419.52,N,N/A,N,N/A
Pendle Borough Council,Directorate,Capital Costs,Capital : Legal Fees,CD,JOHNSTON PUBLISHING LIMITED,A0059640, 16/06/2016,MAN0272006,288.42,N,N/A,N,N/A
Pendle Borough Council,Directorate,Capital Costs,Capital : Legal Fees,CD,JOHNSTON PUBLISHING LIMITED,A0059640, 16/06/2016,MAN0272008,288.42,N,N/A,N,N/A
Pendle Borough Council,Directorate,Capital Costs,Capital : Legal Fees,CD,JOHNSTON PUBLISHING LIMITED,A0059640, 16/06/2016,MAN0272005,340.86,N,N/A,N,N/A
Pendle Borough Council,Directorate,Capital Costs,Capital : Legal Fees,CD,JOHNSTON PUBLISHING LIMITED,A0059640, 16/06/2016,MAN0272007,340.86,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,REDACTED - PERSONAL DATA,A0090836, 30/06/2016,PCO0272414,50,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,KELBROOK AND SOUGH VILLAGE HALL,A0081339, 23/06/2016,AAS0272181,60,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,KEVIN WILKINSON LANDSCAPES LTD,A0085660, 09/06/2016,HED0271912,280,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,EFM : Other Equipment,40,KINGS WASHING MACHINE RENTALS,A0079878, 02/06/2016,HMR0271651,55,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,EFM : Other Equipment,40,KINGS WASHING MACHINE RENTALS,A0079878, 16/06/2016,HMR0272000,55,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Consultants Fees,44,L&A AGENCY SERVICES LIMITED,A0079332, 23/06/2016,DAL0272379,31,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,LAMBDA CALIBRATION LIMITED,A0090316, 23/06/2016,PCO0272159,60.3,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,LANCASHIRE COUNTY COUNCIL,A0001690, 23/06/2016,AAS0272211,100,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Trade Refuse Charges,26,LANCASHIRE COUNTY COUNCIL,A0001690, 09/06/2016,OPS0271717,65509.9,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Search Fees,44,LANCASHIRE COUNTY COUNCIL,A0001690, 23/06/2016,DAL0272331,1017,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Agency Costs,Lancashire C C,51,LANCASHIRE COUNTY COUNCIL,A0001690, 30/06/2016,HED0272421,310.13,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Agency Costs,Lancashire C C,51,LANCASHIRE COUNTY COUNCIL,A0001690, 02/06/2016,HED0271660,2476.76,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,LANCASHIRE COUNTY COUNCIL,A0001690, 16/06/2016,HMR0271952,695,N,N/A,N,115.83
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,LANCASHIRE COUNTY COUNCIL,A0001690, 16/06/2016,HMR0271953,791,N,N/A,N,131.83
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,LANCASHIRE COUNTY COUNCIL,A0001690, 16/06/2016,HMR0272071,1120,N,N/A,N,186.67
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,LANCASHIRE COUNTY COUNCIL,A0001690, 30/06/2016,HMR0272411,1942.61,N,N/A,N,323.77
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,LANCASHIRE COUNTY COUNCIL,A0081342, 23/06/2016,AAS0272182,50,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,47,LANCASHIRE TEACHING HOSPITALS,A0090823, 16/06/2016,ENV0272056,156.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,LANESHAWBRIDGE PRIMARY SCHOOL,A0090261, 23/06/2016,AAS0272183,100,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANLEE SUPPLIES LIMITED,A0001672, 23/06/2016,PCO0272267,4,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANLEE SUPPLIES LIMITED,A0001672, 23/06/2016,PCO0272267,6.86,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANLEE SUPPLIES LIMITED,A0001672, 23/06/2016,PCO0272267,249.95,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANLEE SUPPLIES LIMITED,A0001672, 16/06/2016,PCO0271990,5.12,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANLEE SUPPLIES LIMITED,A0001672, 16/06/2016,PCO0271990,13,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANLEE SUPPLIES LIMITED,A0001672, 16/06/2016,PCO0271990,23.65,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANLEE SUPPLIES LIMITED,A0001672, 09/06/2016,PCO0271735,4.08,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANLEE SUPPLIES LIMITED,A0001672, 09/06/2016,PCO0271735,20.25,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANLEE SUPPLIES LIMITED,A0001672, 16/06/2016,HED0271942,16,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANLEE SUPPLIES LIMITED,A0001672, 16/06/2016,HED0271942,16.97,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANLEE SUPPLIES LIMITED,A0001672, 16/06/2016,HED0271942,33.18,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANLEE SUPPLIES LIMITED,A0001672, 16/06/2016,HED0271942,53.79,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LANLEE SUPPLIES LIMITED,A0001672, 16/06/2016,HED0271942,66.83,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,LANLEE SUPPLIES LIMITED,A0001672, 09/06/2016,PCO0271813,4.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,LANLEE SUPPLIES LIMITED,A0001672, 09/06/2016,PCO0271759,9.98,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,LANLEE SUPPLIES LIMITED,A0001672, 09/06/2016,PCO0271813,31.78,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,40,LANLEE SUPPLIES LIMITED,A0001672, 16/06/2016,OPS0271955,48.2,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LBS WORLDWIDE LIMITED,A0001673, 09/06/2016,HED0271911,76.58,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,LBS WORLDWIDE LIMITED,A0001673, 09/06/2016,PCO0271815,1.9,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,LBS WORLDWIDE LIMITED,A0001673, 09/06/2016,PCO0271815,4.56,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,LBS WORLDWIDE LIMITED,A0001673, 09/06/2016,PCO0271815,22.32,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Miscellaneous : Other,47,LBS WORLDWIDE LIMITED,A0001673, 02/06/2016,HED0271678,19.98,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,0,LES HALMAN NURSERIES LTD,A0046578, 09/06/2016,PCO0271809,5666.26,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,Car Allows : Offs : Lease NI,38,LEX AUTOLEASE LIMITED,A0066530, 23/06/2016,PER0272304,110,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,Car Allows : Offs : Lease Exps,38,LEX AUTOLEASE LIMITED,A0066530, 23/06/2016,PER4005067,-314.76,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,Car Allows : Offs : Lease Exps,38,LEX AUTOLEASE LIMITED,A0066530, 23/06/2016,PER4005066,-44.5,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,Car Allows : Offs : Lease Exps,38,LEX AUTOLEASE LIMITED,A0066530, 23/06/2016,PER4005066,-40.85,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,Car Allows : Offs : Lease Exps,38,LEX AUTOLEASE LIMITED,A0066530, 23/06/2016,PER0272305,207.14,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,Car Allows : Offs : Lease Exps,38,LEX AUTOLEASE LIMITED,A0066530, 23/06/2016,PER0272306,207.14,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,Car Allows : Offs : Lease Exps,38,LEX AUTOLEASE LIMITED,A0066530, 23/06/2016,PER0272305,225.49,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,Car Allows : Offs : Lease Exps,38,LEX AUTOLEASE LIMITED,A0066530, 23/06/2016,PER0272306,225.49,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Reference Books Acts,43,LEXIS NEXIS,A0002634, 09/06/2016,DAL0271893,9250,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Indirect Employee Expenses,Recruitment,12,LIBERATA UK LTD,A0051618, 23/06/2016,PER0272308,85,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,LIBERATA UK LTD,A0051618, 15/06/2016,AAS0272241,1726.04,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 15/06/2016,AAS0272240,10672.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 15/06/2016,AAS0272240,33600.81,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 15/06/2016,AAS0272240,25091.93,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 15/06/2016,AAS0272240,88420.32,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 15/06/2016,AAS0272240,51798.8,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 09/06/2016,AAS0271853,1433.23,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 30/06/2016,AAS0272444,2192.72,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 15/06/2016,AAS0272240,84447.27,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 15/06/2016,AAS0272240,122220.71,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Financing Costs,Lease costs:Computer (Orchard),82,LIBERATA UK LTD,A0051618, 02/06/2016,AAS0271681,14850,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Financing Costs,Lease costs:Computer (Orchard),82,LIBERATA UK LTD,A0051618, 30/06/2016,AAS0272448,14850,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Costs,Capital : Salaries,CD,LIBERATA UK LTD,A0051618, 30/06/2016,AAS0272447,6505.25,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Costs,Capital : Payments,CD,LIBERATA UK LTD,A0051618, 09/06/2016,AAS0271851,2150,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Costs,Capital : Payments,CD,LIBERATA UK LTD,A0051618, 09/06/2016,AAS0271852,10382.54,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Costs,Capital : Payments,CD,LIBERATA UK LTD,A0051618, 02/06/2016,AAS0271680,22275,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Other Expenses,47,LIBRA TEXTILES LTD,A0062627, 16/06/2016,REG0272016,4413.5,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,20,LITE,A0040032, 09/06/2016,HED0271742,143.75,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,LIVESEY BUILDING MAINTENANCE CONTRACTORS,A0066865, 23/06/2016,EST0272319,95,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,LIVESEY BUILDING MAINTENANCE CONTRACTORS,A0066865, 23/06/2016,EST0272319,290,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,20,LIVESEY BUILDING MAINTENANCE CONTRACTORS,A0066865, 23/06/2016,HED0272335,22,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,20,LIVESEY BUILDING MAINTENANCE CONTRACTORS,A0066865, 23/06/2016,HED0272335,180,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : Vandalism Repairs,20,LIVESEY BUILDING MAINTENANCE CONTRACTORS,A0066865, 23/06/2016,EST0272316,200,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : Vandalism Repairs,20,LIVESEY BUILDING MAINTENANCE CONTRACTORS,A0066865, 23/06/2016,EST0272316,250,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : Vandalism Repairs,20,LIVESEY BUILDING MAINTENANCE CONTRACTORS,A0066865, 23/06/2016,EST0272316,750,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LIVESEY BUILDING MAINTENANCE CONTRACTORS,A0066865, 23/06/2016,HED0272336,12.5,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LIVESEY BUILDING MAINTENANCE CONTRACTORS,A0066865, 23/06/2016,HED0272336,225,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LIVESEY BUILDING MAINTENANCE CONTRACTORS,A0066865, 23/06/2016,HED0272340,26.5,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LIVESEY BUILDING MAINTENANCE CONTRACTORS,A0066865, 23/06/2016,HED0272340,145,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LIVESEY BUILDING MAINTENANCE CONTRACTORS,A0066865, 23/06/2016,HED0272337,6.5,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LIVESEY BUILDING MAINTENANCE CONTRACTORS,A0066865, 23/06/2016,HED0272337,75,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,Other Expenses,47,LIVESEY BUILDING MAINTENANCE CONTRACTORS,A0066865, 23/06/2016,EST0272317,7.2,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,Other Expenses,47,LIVESEY BUILDING MAINTENANCE CONTRACTORS,A0066865, 23/06/2016,EST0272317,120,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Support Services,Bank Charges,72,LLOYDS BANKING GROUP,A0072462, 28/06/2016,AAS0272485,0.03,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Support Services,Bank Charges,72,LLOYDS BANKING GROUP,A0072462, 24/06/2016,AAS0272484,45,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Support Services,Bank Charges,72,LLOYDS BANKING GROUP,A0072462, 28/06/2016,AAS0272486,590.7,N,N/A,N,N/A
Pendle Borough Council,Directorate,Supplies and Services,Seminars etc All Costs,46,LOCAL GOVERNMENT ASSOCIATION,A0001752, 16/06/2016,MAN0272009,495,N,N/A,N,N/A
Pendle Borough Council,Directorate,Supplies and Services,Members Conference Expenses,46,LOCAL GOVERNMENT ASSOCIATION,A0001752, 16/06/2016,MAN0272009,495,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,47,LOCAL GOVERNMENT ASSOCIATION,A0001752, 09/06/2016,DAL0271883,566.95,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,LOMESHAYE ROAD COMMUNITY GROUP,A0090818, 16/06/2016,HED0271998,300,Y,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LOOP PUBLISHING LTD,A0047429, 02/06/2016,PCO0271605,165,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,LORD STREET CO PRIMARY SCHOOL,A0001702, 23/06/2016,AAS0272212,100,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,M C & M A STEWART HAULAGE,A0068863, 16/06/2016,PCO0272027,424.29,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,M C & M A STEWART HAULAGE,A0068863, 16/06/2016,PCO0272027,451.58,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Consultants Fees,44,M GARTSIDE T/A DARKSIDE PHOTOGRAPHY,A0075940, 30/06/2016,DAL0272477,150,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,M J RUSHTON,A0043864, 02/06/2016,PCO0271565,75,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,M S BASHAH,A0090809, 09/06/2016,HED0271854,230.46,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,M65 RECRUITMENT,A0090760, 23/06/2016,OPS0272215,66.71,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,M65 RECRUITMENT,A0090760, 23/06/2016,OPS0272217,66.71,N,N/A,N,N/A
