Account Name,Business Address 1,Business Address 2,Business Address 3,Business Address 4,Business Address 5,Business Post Code,Property Description,Rates Payable 17/18,Transitional Amount,Liable From,2017 Rateable Value,Account Type,Small Business Relief,Mandatory Relief,Discretionary Relief,Top Up Discretionary Relief,Exempt Property,VO reference
THE ACCOUNT HOLDER,Manor Lane,Ossett,West Yorkshire,,,WF5  0LJ,Boarding Kennels & Prem(p,£0.00,"-£1,627.83",14/02/2014,9500,Occupied,Yes,,,,,3310059010
THE ACCOUNT HOLDER,Denby Dale Road West,Calder Grove,Wakefield,West Yorkshire,,WF4 3ND,Vehicle Rep W'shop & Prem,£0.00,"-£1,627.83",01/04/2000,9500,Occupied,Yes,,,,,3701709010
THE ACCOUNT HOLDER,531 Denby Dale Road West,Calder Grove,Wakefield,West Yorkshire,,WF4  3ND,Offices & Premises,£0.00,-£229.83,01/04/1991,6500,Occupied,Yes,,,,,3701709853
THE ACCOUNT HOLDER,The Green Room - Unit 6D,First Fl. Sovereign Hous,Trinity Business Park,Waldorf Way,Wakefield,WF2  8EF,Offices & Premises,£0.00,£0.00,09/05/2017,6700,Occupied,Yes,,,,,2477551818
THE ACCOUNT HOLDER,30 Barnsley Road,South Elmsall,Pontefract,West Yorkshire,,WF9  2SA,Shop & Premises,£0.00,,01/04/2009,6000,Occupied,Yes,,,,,0800300300
THE ACCOUNT HOLDER,48 Barnsley Road,South Elmsall,Pontefract,West Yorkshire,,WF9 2RF,Shop & Premises,£0.00,,14/09/2007,6000,Occupied,Yes,,,,,0800300480
THE ACCOUNT HOLDER,13 Shoemarket,Pontefract,West Yorkshire,,,WF8  1AP,Shop & Premises,£0.00,,10/11/2013,6000,Occupied,Yes,,,,,2116950130
THE ACCOUNT HOLDER,41 Station Lane,Featherstone,Pontefract,West Yorkshire,,WF7  5BE,Shop & Premises,£0.00,,21/02/2012,6000,Occupied,Yes,,,,,2207450411
THE ACCOUNT HOLDER,138 Westgate,Wakefield,West Yorkshire,,,WF2  9SR,Shop & Premises,£0.00,,01/01/2016,6000,Occupied,Yes,,,,,2436051381
THE ACCOUNT HOLDER,13 Brook Street,Wakefield,West Yorkshire,,,WF1  1QW,Shop & Premises,£0.00,,11/11/2007,6000,Occupied,Yes,,,,,2404409013
THE ACCOUNT HOLDER,Mall Space Near Unit Msu5,Trinity Walk,Wakefield,West Yorkshire,,WF1  1QS,Mall Space & Premises,£0.00,,28/11/2016,6000,Occupied,Yes,,,,,2418214565
THE ACCOUNT HOLDER,34 Smyth Street,Wakefield,West Yorkshire,,,WF1  1ED,Dance Studio & Premises,£0.00,,02/01/2004,6000,Occupied,Yes,,,,,2429050340
THE ACCOUNT HOLDER,62-62A Beancroft Road,Castleford,West Yorkshire,,,WF10 5BS,Shop & Premises,£0.00,,31/01/2016,6000,Occupied,Yes,,,,,2601200622
THE ACCOUNT HOLDER,Unit 50 The Market Place,Carlton Street,Castleford,West Yorkshire,,WF10 1BE,Shop & Premises,£0.00,,08/03/2014,6000,Occupied,Yes,,,,,2617230500
THE ACCOUNT HOLDER,Unit 58 The Market Place,Carlton Street,Castleford,West Yorkshire,,WF10 1BE,Shop & Premises,£0.00,,26/09/2016,6000,Occupied,Yes,,,,,2617239058
THE ACCOUNT HOLDER,Unit 20 The Market Place,Carlton Street,Castleford,West Yorkshire,,WF10 1BE,Cafe & Premises,£0.00,,01/07/2014,6000,Occupied,Yes,,,,,2617230200
THE ACCOUNT HOLDER,28 Dale Street,Ossett,West Yorkshire,,,WF5 9BT,Shop & Premises,£0.00,,01/04/1990,6000,Occupied,Yes,,,,,3303650280
THE ACCOUNT HOLDER,Unit 8A Wakefield,Commercial Park,Bridge Road,Horbury,Wakefield,WF4  5NW,Warehouse & Premises,£380.49,"-£2,507.47",01/04/2013,12500,Occupied,Yes,,,,,2900801478
THE ACCOUNT HOLDER,Park Road,Glasshoughton,Castleford,West Yorkshire,,WF10 4RW,Showroom & Premises,£0.00,£0.00,03/10/2017,12000,Occupied,Yes,,,,,2612757201
THE ACCOUNT HOLDER,7A The Springs,Wakefield,West Yorkshire,,,WF1  1PU,Shop & Premises,£552.94,,16/03/2014,7100,Occupied,Yes,,,,,2432557070
THE ACCOUNT HOLDER,Pomfret Lodge,2 Slutwell Lane,Pontefract,West Yorkshire,,WF8  1SL,Offices & Premises,"£1,965.46","-£1,457.39",24/10/2016,13250,Occupied,Yes,,,,,2117600202
THE ACCOUNT HOLDER,47/49 Station Lane,Featherstone,Pontefract,West Yorkshire,,WF7  5BJ,Shop & Premises,£0.00,,01/04/1990,5900,Occupied,Yes,,,,,2207450470
THE ACCOUNT HOLDER,91 Station Lane,Featherstone,Pontefract,West Yorkshire,,WF7  5BJ,Shop & Premises,£0.00,,24/02/2014,5900,Occupied,Yes,,,,,2207459467
THE ACCOUNT HOLDER,Adj. 98 Denby Dale Road,Wakefield,West Yorkshire,,,WF2  7AH,Land Used For Car Sales & Premises,£0.00,,17/05/2003,5900,Occupied,Yes,,,,,2409309998
THE ACCOUNT HOLDER,Unit 3 The Market Place,Carlton Street,Castleford,West Yorkshire,,WF10 1BE,Shop & Premises,£0.00,,01/04/1994,5900,Occupied,Yes,,,,,2617230030
THE ACCOUNT HOLDER,Unit 15 The Market Place,Carlton Street,Castleford,,,WF10 1BE,Shop & Premises,£0.00,,01/04/1994,5900,Occupied,Yes,,,,,2617230150
THE ACCOUNT HOLDER,King George V   W.m.c.,Halliwell House,Front Street,Glasshoughton,Castleford,WF10 4RN,Club & Premises,£0.00,,01/04/1990,5900,Occupied,Yes,,,,,2605801240
THE ACCOUNT HOLDER,22 Lumley Street,Castleford,West Yorkshire,,,WF10 5LB,Hairdressing Salon & Prem,£0.00,,25/11/2013,5900,Occupied,Yes,,,,,2610701988
THE ACCOUNT HOLDER,Unit U,Wakefield Commercial Park,Bridge Road,Horbury,Wakefield,WF4  5NW,Workshop & Premises,£0.00,,01/04/2016,5900,Occupied,Yes,,,,,2900807250
THE ACCOUNT HOLDER,2 Barnsley Road,South Elmsall,Pontefract,West Yorkshire,,WF9  2SE,Shop & Premises,£0.00,-£374.87,07/03/2013,6700,Occupied,Yes,,,,,0800300020
THE ACCOUNT HOLDER,The Bungalow,High Well Hill Lane,South Hiendley,Barnsley,,S72 9DF,Workshop & Premises,£0.00,"-£1,400.07",01/04/1995,8900,Occupied,Yes,,,,,0900709370
THE ACCOUNT HOLDER,Common Road Avenue,South Kirkby,Pontefract,West Yorkshire,,WF9  3EE,Car Wash,£0.00,-£141.87,01/06/2012,6200,Occupied,Yes,,,,,1002209874
THE ACCOUNT HOLDER,Units 2A & 4A,Hill Top Garage,Common Road,South Kirkby,Pontefract,WF9  3EE,Vehicle Testing Station,£0.00,"-£1,120.47",18/07/2011,8300,Occupied,Yes,,,,,1002209331
THE ACCOUNT HOLDER,Unit 1C,Steedcourt Business Park,Waggon Lane,Upton,Pontefract,WF9  1JS,Workshop & Premises,£0.00,-£48.67,31/01/2016,6000,Occupied,Yes,,,,,1202303654
THE ACCOUNT HOLDER,48A-48b Kirkby Road,Hemsworth,Pontefract,West Yorkshire,,WF9  4AS,Store & Premises,£0.00,-£561.27,22/10/2015,7100,Occupied,Yes,,,,,15231014824
THE ACCOUNT HOLDER,Unit 4B,Foundry Business Centre,Lamb Inn Road,Knottingley,West Yorkshire,WF11 8AX,Workshop & Premises,£0.00,-£654.47,01/07/2016,7300,Occupied,Yes,,,,,2004057895
THE ACCOUNT HOLDER,7 Pontefract Road,Ferrybridge,Knottingley,West Yorkshire,,WF11 8PN,Shop & Premises,£0.00,-£141.87,01/10/2009,6200,Occupied,Yes,,,,,2008050070
THE ACCOUNT HOLDER,Unit 1A All Saints,Industrial Estate,Baghill Lane,Pontefract,West Yorkshire,WF8  2HA,Workshop & Premises,£0.00,-£607.87,01/11/2013,7200,Occupied,Yes,,,,,2101157038
THE ACCOUNT HOLDER,101 Monkhill Lane,Pontefract,West Yorkshire,,,WF8  1RS,Vehicle Rep W'shop & Prem,£0.00,-£701.07,12/04/2010,7400,Occupied,Yes,,,,,2112901010
THE ACCOUNT HOLDER,Unit 3 Warwick House,Green Lane,Featherstone,Pontefract,West Yorkshire,WF7  6EH,Gymnasium & Premises,£0.00,-£747.67,01/11/2014,7500,Occupied,Yes,,,,,2203008003
THE ACCOUNT HOLDER,37A Lower York Street,Wakefield,West Yorkshire,,,WF1  3LH,Shop & Premises,£0.00,-£2.07,29/03/2003,5900,Occupied,Yes,,,,,2419850372
THE ACCOUNT HOLDER,68 Horbury Road,Wakefield,West Yorkshire,,,WF2  8TU,Shop & Premises,£0.00,-£794.27,01/04/2017,7600,Occupied,Yes,,,,,2416500680
THE ACCOUNT HOLDER,154A Batley Road,Wakefield,West Yorkshire,,,WF2 0AE,Shop & Premises,£0.00,-£887.47,19/11/2016,7800,Occupied,Yes,,,,,2402301541
THE ACCOUNT HOLDER,Unit 1 Church Street,Wakefield,West Yorkshire,,,WF1  5QY,Showroom & Premises,£0.00,-£235.07,01/08/1992,6400,Occupied,Yes,,,,,2406870010
THE ACCOUNT HOLDER,Kirkgate Railway Station,(Cafe Unit),Monk Street,Wakefield,West Yorkshire,WF1  4EL,Shop & Premises,£0.00,-£561.27,16/12/2015,7100,Occupied,Yes,,,,,2493100108
THE ACCOUNT HOLDER,2Ab & C Park Lodge Lane,Wakefield,West Yorkshire,,,WF1  4NL,Shop & Premises,£0.00,-£2.07,01/04/1990,5900,Occupied,Yes,,,,,2424800021
THE ACCOUNT HOLDER,57 Glebe Street,(First Floor),Castleford,West Yorkshire,,WF10 4AJ,Dance Studio & Premises,£0.00,-£794.27,30/09/2002,7600,Occupied,Yes,,,,,2606300570
THE ACCOUNT HOLDER,Over 21/23 Sagar Street,Castleford,West Yorkshire,,,WF10 1AG,Treatment Rooms & Premises,£0.00,-£2.07,02/11/2015,5900,Occupied,Yes,,,,,2615000211
THE ACCOUNT HOLDER,Unit 5,Savile Road,Castleford,West Yorkshire,,WF10 1PB,Workshop & Premises,£0.00,-£607.87,07/01/2017,7200,Occupied,Yes,,,,,2615051236
THE ACCOUNT HOLDER,Unit 2 Thomas Street,Wheldon Road,Castleford,West Yorkshire,,WF10 2SD,Workshop & Premises,£0.00,-£607.87,01/04/2005,7200,Occupied,Yes,,,,,2619157220
THE ACCOUNT HOLDER,214 Batley Road,Kirkhamgate,Wakefield,West Yorkshire,,WF2  0SH,Shop & Premises,£0.00,-£48.67,16/02/2009,6000,Occupied,Yes,,,,,3101102140
THE ACCOUNT HOLDER,Unit 7  (Ground Floor),Enterprise Business Park,Mortimer Way,Ossett,West Yorkshire,WF5  9JH,Gymnasium & Premises,£0.00,-£794.27,01/07/2015,7600,Occupied,Yes,,,,,3310603535
THE ACCOUNT HOLDER,Spa Farm,Spa Street,Ossett,West Yorkshire,,WF5  0HJ,Vehicle Rep W'shop & Prem,£0.00,-£887.47,01/04/2010,7800,Occupied,Yes,,,,,3314157415
THE ACCOUNT HOLDER,2 Dewsbury Road,(Unit 3),Wakefield,West Yorkshire,,WF2  9BS,"Warehouse	 Showroom & Premises",£0.00,-£174.12,29/07/2017,9100,Occupied,Yes,,,,,2409650203
THE ACCOUNT HOLDER,1/3 Barnsley Road,Hemsworth,Pontefract,West Yorkshire,,WF9  4PY,Shop & Premises,£0.00,£115.51,01/04/1990,5600,Occupied,Yes,,,,,1500300010
THE ACCOUNT HOLDER,17 Beancroft Road,Castleford,West Yorkshire,,,WF10 5BN,Shop & Premises,£0.00,£115.51,01/04/2001,5600,Occupied,Yes,,,,,2601200170
THE ACCOUNT HOLDER,18 Wesley Street,Castleford,West Yorkshire,,,WF10 1AE,Offices & Premises,£0.00,£208.71,24/09/2004,5400,Occupied,Yes,,,,,2618450181
THE ACCOUNT HOLDER,17A Barnsley Road,South Elmsall,Pontefract,West Yorkshire,,WF9  2RN,Hairdressing Salon & Prem,£0.00,,18/04/2009,5800,Occupied,Yes,,,,,0800300171
THE ACCOUNT HOLDER,21 Barnsley Road,South Elmsall,Pontefract,West Yorkshire,,WF9  2JN,Shop & Premises,£0.00,,01/04/2003,5800,Occupied,Yes,,,,,0800300210
THE ACCOUNT HOLDER,7 Finkle Street,Pontefract,West Yorkshire,,,WF8  1HE,Hairdressing Salon & Prem,£0.00,,01/05/2016,5800,Occupied,Yes,,,,,2107200070
THE ACCOUNT HOLDER,Unit 4 Horsefair House,Horsefair,Pontefract,West Yorkshire,,WF8  1PE,Barbers Shop & Premises,£0.00,,31/10/2012,5800,Occupied,Yes,,,,,2110250041
THE ACCOUNT HOLDER,Unit C Mauds Yard,Market Place,Pontefract,West Yorkshire,,WF8  1AQ,Shop & Premises,£0.00,,01/04/2002,5800,Occupied,Yes,,,,,2111809110
THE ACCOUNT HOLDER,61 Northgate,(Ground Floor),Wakefield,West Yorkshire,,WF1  3BP,Shop & Premises,£0.00,,25/01/2011,5800,Occupied,Yes,,,,,2423501061
THE ACCOUNT HOLDER,169 Agbrigg Road,Wakefield,West Yorkshire,,,WF1  5BN,Shop & Premises,£0.00,,01/03/2016,5800,Occupied,Yes,,,,,2400401690
THE ACCOUNT HOLDER,94 Barnsley Road,Wakefield,West Yorkshire,,,WF1  5NP,Shop,£0.00,,23/12/1995,5800,Occupied,Yes,,,,,2402050941
THE ACCOUNT HOLDER,17 Bank Street,(Unit 2),Castleford,West Yorkshire,,WF10 1HZ,Hairdressing Salon & Prem,£0.00,,01/04/2015,5800,Occupied,Yes,,,,,2600961236
THE ACCOUNT HOLDER,Unit 19 The Market Place,Carlton Street,Castleford,West Yorkshire,,WF10 1BE,Shop & Premises,£0.00,,15/10/2009,5800,Occupied,Yes,,,,,2617230190
THE ACCOUNT HOLDER,17 Market Place,Normanton,West Yorkshire,,,WF6  2AU,Shop & Premises,£0.00,,01/01/2017,5800,Occupied,Yes,,,,,2707400017
THE ACCOUNT HOLDER,30/32 High Street,Horbury,Wakefield,West Yorkshire,,WF4  5LE,Shop & Premises,£0.00,,01/04/2011,5800,Occupied,Yes,,,,,2903900300
THE ACCOUNT HOLDER,9-13 Westfield Road,Horbury,Wakefield,West Yorkshire,,WF4  6DN,Shop & Premises,£0.00,,22/01/2011,5800,Occupied,Yes,,,,,2908959113
THE ACCOUNT HOLDER,19 Bank Street,Ossett,West Yorkshire,,,WF5  8PS,Shop & Premises,£0.00,,03/09/2016,5800,Occupied,Yes,,,,,3300609019
THE ACCOUNT HOLDER,Fairways,Doncaster Road,Ackworth,Pontefract,West Yorkshire,WF7  7BZ,Garage & Premises,£0.00,-£706.31,01/11/2007,7300,Occupied,Yes,,,,,0101309210
THE ACCOUNT HOLDER,Greystones,Minsthorpe Lane,South Elmsall,Pontefract,West Yorkshire,WF9  2DX,Land Used For Stor'& Prem,£0.00,"-£1,638.31",05/08/2013,9300,Occupied,Yes,,,,,0601709030
THE ACCOUNT HOLDER,Tom Wood Ash Lane,Upton,Pontefract,West Yorkshire,,WF9  1HB,Shop & Premises,£0.00,-£53.91,05/08/2008,5900,Occupied,Yes,,,,,0602809170
THE ACCOUNT HOLDER,117 Barnsley Road,Moorthorpe,Pontefract,West Yorkshire,,WF9  2BP,Shop & Premises,£0.00,-£333.51,01/02/2015,6500,Occupied,Yes,,,,,1000251170
THE ACCOUNT HOLDER,Unit 21 Priory Business,Park,Wentworth Terrace,Fitzwilliam,Pontefract,WF9  5BZ,Warehouse & Premises,£0.00,-£53.91,08/12/2009,5900,Occupied,Yes,,,,,1509351021
THE ACCOUNT HOLDER,Waywest Cafe,Great North Road,Darrington,Pontefract,West Yorkshire,WF8  3HU,Cafe & Premises,£0.00,"-£1,451.91",10/03/2010,8900,Occupied,Yes,,,,,1802109031
THE ACCOUNT HOLDER,Unit 4A,Foundry Business Centre,Lamb Inn Road,Knottingley,West Yorkshire,WF11 8AX,Workshop & Premises,£0.00,-£706.31,01/07/2016,7300,Occupied,Yes,,,,,2004054569
THE ACCOUNT HOLDER,Unit 2 Harropwell Lane,(Formerly Unit 3),Pontefract,West Yorkshire,,WF8  1QY,Workshop & Premises,£0.00,-£659.71,26/11/2013,7200,Occupied,Yes,,,,,2109359054
THE ACCOUNT HOLDER,Southgate,Pontefract,West Yorkshire,,,WF8  1PJ,Shop & Premises,£0.00,-£240.31,06/09/2002,6300,Occupied,Yes,,,,,2117459420
THE ACCOUNT HOLDER,6 Cheapside,(Ground Floor),Wakefield,West Yorkshire,,WF1  2SD,Hairdressing Salon & Prem,£0.00,-£426.71,16/11/2005,6700,Occupied,Yes,,,,,2406507000
THE ACCOUNT HOLDER,179B Batley Road,Wakefield,West Yorkshire,,,WF2  0AH,Hairdressing Salon & Prem,£0.00,-£752.91,25/08/2015,7400,Occupied,Yes,,,,,2402301792
THE ACCOUNT HOLDER,Unit 9B Headway Business Park,Denby Dale Road,Wakefield,West Yorkshire,,WF2  7AZ,Workshop & Premises,£0.00,-£939.31,17/04/2013,7800,Occupied,Yes,,,,,2415287209
THE ACCOUNT HOLDER,Back Garden Street,(Former Clinic Building),Wakefield,West Yorkshire,,WF1  1DX,Rehersal Rooms,£0.00,-£752.91,19/05/2015,7400,Occupied,Yes,,,,,2401529000
THE ACCOUNT HOLDER,15 Carlton Street,Castleford,West Yorkshire,,,WF10 1AX,Shop & Premises,£0.00,-£286.91,01/04/2001,6400,Occupied,Yes,,,,,2602550150
THE ACCOUNT HOLDER,Unit 2 Maltkiln Lane,Castleford,West Yorkshire,,,WF10 4LF,Warehouse & Premises,£0.00,-£752.91,01/04/2009,7400,Occupied,Yes,,,,,2610957002
THE ACCOUNT HOLDER,Unit 30 Raglan Mills,Methley Road,Castleford,West Yorkshire,,WF10 1NX,Store & Premises,£0.00,-£706.31,24/07/2012,7300,Occupied,Yes,,,,,2611509030
THE ACCOUNT HOLDER,Unit 1 Wellington Street,Business Park,Methley Road,Castleford,West Yorkshire,WF10 1NW,Workshop & Premises,£0.00,-£706.31,01/08/2014,7300,Occupied,Yes,,,,,2618408004
THE ACCOUNT HOLDER,Unit 17 Gill Yard,Wood Street,Castleford,West Yorkshire,,WF10 1LJ,Workshop & Premises,£0.00,-£752.91,22/07/2013,7400,Occupied,Yes,,,,,2619801170
THE ACCOUNT HOLDER,15 High Street,Horbury,Wakefield,West Yorkshire,,WF4  5AB,Shop & Premises,£0.00,-£333.51,01/04/1990,6500,Occupied,Yes,,,,,2903900150
THE ACCOUNT HOLDER,Workshop 128 Leeds Road,Newton Hill,Wakefield,West Yorkshire,,WF1 2QD,Workshop & Premises,£0.00,-£659.71,01/04/1990,7200,Occupied,Yes,,,,,3107141280
THE ACCOUNT HOLDER,468 Leeds Road,Outwood,Wakefield,West Yorkshire,,WF1  2DU,Vehicle Rep W'shop & Prem,£0.00,-£939.31,01/02/1997,7800,Occupied,Yes,,,,,3107144680
THE ACCOUNT HOLDER,Unit 1,Ashfield House,Illingworth Street,Ossett,West Yorkshire,WF5  8AL,Dance Studio & Premises,£0.00,-£752.91,01/05/2015,7400,Occupied,Yes,,,,,3308205183
THE ACCOUNT HOLDER,Unit 2,Ashfield House,Illingworth Street,Ossett,West Yorkshire,WF5  8AL,Playgroup,£0.00,-£799.51,28/08/2015,7500,Occupied,Yes,,,,,3308203109
THE ACCOUNT HOLDER,Pildacre Lane,Ossett,West Yorkshire,,,WF5  8HN,Workshop & Premises,£0.00,-£566.51,01/04/1990,7000,Occupied,Yes,,,,,3312259110
THE ACCOUNT HOLDER,28 Station Road,Ossett,West Yorkshire,,,WF5  8AD,Offices & Premises,£0.00,-£53.91,01/05/2015,5900,Occupied,Yes,,,,,3314459028
THE ACCOUNT HOLDER,Unit 2A At The Old Mill,Hollingthorpe Lane,Crigglestone,Wakefield,West Yorkshire,WF4  3NG,Workshop & Premises,£0.00,-£939.31,07/02/2015,7800,Occupied,Yes,,,,,3704851973
THE ACCOUNT HOLDER,202 Barnsley Road,Moorthorpe,Pontefract,West Yorkshire,,WF9  2AL,Shop & Premises,£0.00,-£333.51,03/04/2017,6500,Occupied,Yes,,,,,1000252020
THE ACCOUNT HOLDER,32 Bridge Street,Castleford,West Yorkshire,,,WF10 1JS,Restaurant & Premises,£317.10,"-£2,611.14",01/01/2014,12500,Occupied,Yes,,,,,2601906320
THE ACCOUNT HOLDER,48 Northgate,Wakefield,West Yorkshire,,,WF1  3AN,Shop & Premises,"£3,738.33",,11/11/2015,13750,Occupied,Yes,,,,,2423509480
THE ACCOUNT HOLDER,Bracken Hill Quarry,Wakefield Road,Ackworth,Pontefract,West Yorkshire,WF7  8BJ,Quarry & Premises,£0.00,,01/04/2008,5701,Occupied,Yes,,,,,0105009380
THE ACCOUNT HOLDER,34 Barnsley Road,South Elmsall,Pontefract,West Yorkshire,,WF9  2RF,Shop & Premises,£0.00,,01/04/2010,5700,Occupied,Yes,,,,,0800300322
THE ACCOUNT HOLDER,Unit B Mauds Yard,Market Place,Pontefract,West Yorkshire,,WF8  1AQ,Shop & Premises,£0.00,,20/06/2007,5700,Occupied,Yes,,,,,2111840020
THE ACCOUNT HOLDER,80A Westgate,(1St & 2Nd Floors),Wakefield,West Yorkshire,,WF1  1XQ,Club & Premises,£0.00,,01/01/2015,5700,Occupied,Yes,,,,,2436051180
THE ACCOUNT HOLDER,3 The Springs,Wakefield,West Yorkshire,,,WF1  1PU,Shop & Premises,£0.00,,07/11/2015,5700,Occupied,Yes,,,,,2432550030
THE ACCOUNT HOLDER,8 Bank Street,Castleford,West Yorkshire,,,WF10 1JD,Shop & Premises,£0.00,,23/03/2013,5700,Occupied,Yes,,,,,2600960080
THE ACCOUNT HOLDER,15 Wood Lane,Whitwood,Castleford,West Yorkshire,,WF10 5PQ,Shop & Premises,£0.00,,25/05/2012,5700,Occupied,Yes,,,,,2619750150
THE ACCOUNT HOLDER,Unit 6C Wakefield,Commercial Park,Bridge Road,Horbury,Wakefield,WF4  5NW,Workshop & Premises,£0.00,,01/07/2016,5700,Occupied,Yes,,,,,2900800306
THE ACCOUNT HOLDER,Unit 47C,Poppletons Mill,Engine Lane,Horbury,Wakefield,WF4  5NH,Vehicle Repair W/shop & P,£0.00,,01/05/2015,5700,Occupied,Yes,,,,,2907005323
THE ACCOUNT HOLDER,4-8 Queens Terrace,Horbury,Wakefield,West Yorkshire,,WF4 6LR,Shop & Premises,£0.00,,01/04/1990,5700,Occupied,Yes,,,,,2906610040
THE ACCOUNT HOLDER,13/14 Lancefield House,Potovens Lane,Outwood,Wakefield,West Yorkshire,WF1  2LF,Shop & Premises,£0.00,,01/02/2013,5700,Occupied,Yes,,,,,3106850130
THE ACCOUNT HOLDER,8 Leeds Road,Lofthouse,Wakefield,West Yorkshire,,WF3  3HD,Shop & Premises,£0.00,,28/02/2017,5700,Occupied,Yes,,,,,3107160081
THE ACCOUNT HOLDER,Unit 4 Dickinson House,Bank Street,Ossett,West Yorkshire,,WF5  8NW,Shop & Premises,£0.00,,01/02/2013,5700,Occupied,Yes,,,,,3300600040
THE ACCOUNT HOLDER,44 White Apron Street,South Kirkby,Pontefract,West Yorkshire,,WF9  3LH,Shop & Premises,£0.00,£176.32,01/04/2016,5300,Occupied,Yes,,,,,1007550440
THE ACCOUNT HOLDER,The Magnet Inn,Fishergate,Ferrybridge,Knottingley,West Yorkshire,WF11 8NB,Public House & Premises,£0.00,"£1,690.82",17/09/2013,2050,Occupied,Yes,,,,,2003951122
THE ACCOUNT HOLDER,31 Beancroft Road,Castleford,West Yorkshire,,,WF10 5BW,Shop & Premises,£0.00,£316.12,27/07/2015,5000,Occupied,Yes,,,,,2601200310
THE ACCOUNT HOLDER,20 Bondgate - Unit 4,Pontefract,West Yorkshire,,,WF8 2JJ,Workshop & Premises,£0.00,"-£1,251.62",01/07/2017,10250,Occupied,Yes,,,,,2102457245
THE ACCOUNT HOLDER,Back Duke Of York Street,Wakefield,West Yorkshire,,,WF1  3PF,Vehicle Repair W/shop & P,£0.00,-£525.14,01/04/2003,6800,Occupied,Yes,,,,,2401509000
THE ACCOUNT HOLDER,Unit 4 Millennia Park,(First Floor),Thornes Road,Wakefield,West Yorkshire,WF2  8PL,Offices & Premises,£0.00,-£12.54,01/12/2015,5700,Occupied,Yes,,,,,2432809004
THE ACCOUNT HOLDER,Showroom,Cambridge Street,Castleford,West Yorkshire,,WF10 5BL,Showroom & Premises,£0.00,-£105.74,01/04/2013,5900,Occupied,Yes,,,,,2602357799
THE ACCOUNT HOLDER,121 Leeds Road,Glasshoughton,Castleford,West Yorkshire,,WF10 5JT,Showroom & Premises,£0.00,-£385.34,06/10/1995,6500,Occupied,Yes,,,,,2609770121
THE ACCOUNT HOLDER,Unit 1 Riverside Works,Methley Road,Castleford,West Yorkshire,,WF10 1NX,Workshop & Premises,£0.00,-£338.74,05/07/2012,6400,Occupied,Yes,,,,,2611500101
THE ACCOUNT HOLDER,The Surgery,Patience Lane,Altofts,Normanton,West Yorkshire,WF6  2JZ,Surgery & Premises,£0.00,"-£1,410.54",01/04/2010,8700,Occupied,Yes,,,,,2709109030
THE ACCOUNT HOLDER,Units 21 & 21A Riverside,Industrial Estate,Bridge Road,Horbury,Wakefield,WF4  5PS,Workshop & Premises,£0.00,-£338.74,01/04/1990,6400,Occupied,Yes,,,,,2906930210
THE ACCOUNT HOLDER,The Gatehouse,Skillbeck Mills,Storrs Hill Road,Horbury,Wakefield,WF4 5PB,Workshop & Premises,£0.00,-£944.54,01/04/1990,7700,Occupied,Yes,,,,,2907879010
THE ACCOUNT HOLDER,Adjacent Hill Top Farm,(Unit 2),High Street,Crofton,Wakefield,WF4  1HU,Warehouse & Premises,£0.00,"-£1,923.14",01/04/2008,9800,Occupied,Yes,,,,,3801509922
THE ACCOUNT HOLDER,Unit 29 Langthwaite,Grange Industrial Estate,South Kirkby,Pontefract,West Yorkshire,WF9  3NR,Workshop & Premises,£0.00,"-£1,104.86",30/05/2017,9100,Occupied,Yes,,,,,1004342131
THE ACCOUNT HOLDER,Unit 2 Heritage,Enterprise Acres,Wakefield Road,Fitzwilliam,Pontefract,WF7  7BQ,Warehouse & Premises,£0.00,-£109.39,04/08/2017,8800,Occupied,Yes,,,,,1510599500
THE ACCOUNT HOLDER,7B The Arcade,(First Floor Offices),Hill Top,Knottingley,West Yorkshire,WF11 8EA,Offices & Premises,£0.00,,10/09/2013,5600,Occupied,Yes,,,,,2010257005
THE ACCOUNT HOLDER,75 Westgate End,Wakefield,West Yorkshire,,,WF2  9RL,Hairdressing Salon & Prem,£0.00,,03/12/2014,5600,Occupied,Yes,,,,,2436100750
THE ACCOUNT HOLDER,72 Dewsbury Road,Wakefield,West Yorkshire,,,WF2  9BE,Shop & Premises,£0.00,,01/04/2002,5600,Occupied,Yes,,,,,2409650720
THE ACCOUNT HOLDER,73 High Street,Normanton,West Yorkshire,,,WF6  2AF,Cafe & Premises,£0.00,,22/03/2014,5600,Occupied,Yes,,,,,2706000730
THE ACCOUNT HOLDER,Unit 2 Wellgate Centre,Bank Street,Ossett,West Yorkshire,,WF5  8NL,Shop & Premises,£0.00,,03/08/2015,5600,Occupied,Yes,,,,,3300600021
THE ACCOUNT HOLDER,12A Bank Street,Castleford,West Yorkshire,,,WF10 1HZ,Offices & Premises,£0.00,£672.73,20/12/2013,4150,Occupied,Yes,,,,,2600960120
THE ACCOUNT HOLDER,62 Ash Grove,(Unit 2),South Elmsall,Pontefract,West Yorkshire,WF9 2UP,Shop & Premises,£0.00,-£110.98,15/09/2014,5800,Occupied,Yes,,,,,0600200620
THE ACCOUNT HOLDER,11 Barnsley Road,South Elmsall,Pontefract,West Yorkshire,,WF9  2RJ,Shop & Premises,£0.00,-£343.98,01/01/2010,6300,Occupied,Yes,,,,,0800300110
