establishmentname,establishmentaddressline1,establishmentaddressline2,establishmentaddressline3,establishmentaddressline4,postcode,rating,latitude,longitude,inspectiondate
J Hughes,,,160 Divis Street,Belfast,BT12 4AQ,3,374290,332790,08/11/2015
Vivo,,,17 Highgate Terrace,Belfast,BT13 3RQ,4,374677,330882,08/06/2013
Poilins,,,18-20 Iveagh Street,Belfast,BT12 6AU,3,373326,331878,14/08/2014
Terminus Stores,,,19a Black Mountain Grove,Belfast,BT13 3TU,4,,,30/10/2013
Cooleys Filling Station (Spar),,,200 Andersonstown Road,Belfast,BT11 9EB,4,371235,329854,27/05/2015
Mace,,,222 Shankill Road,Belfast,BT13 2BJ,4,374785,332501,06/09/2015
The Flush,,,230 Springfield Road,Belfast,BT12 7DR,3,374398,331782,22/07/2014
Bobby's,,,29 Brittons Parade,Belfast,BT12 7PJ,5,373339,331034,30/03/2015
Mace (Moneen),Moneen Garage Complex,,337 Finaghy Road North,Belfast,BT11 9EH,3,371215,329727,04/10/2015
Davy's Corner Shop,,,33 Springfield Avenue,Belfast,BT12 7BA,1,374083,331806,10/02/2014
Billys,,,36 Clonfaddan Street,Belfast,BT12 4SG,5,374255,333114,27/07/2015
Kathleens,,,3 Beechmount Street,Belfast,BT12 7NH,5,373674,331600,23/09/2013
McKenna's Day Today,,,477 Falls Road,Belfast,BT12 6DD,4,373165,331333,26/01/2015
Costcutter,,,48 Beechmount Avenue,Belfast,BT12 7NA,4,373586,331690,06/01/2015
N & N's,Quigleys,,57-59 Slievegallion Drive,Belfast,BT11 8JP,5,371630,329685,07/01/2015
Today's Express,,,68 Durham Street,Belfast,BT12 4GB,3,374169,333264,08/07/2015
Tuckers,,,72 Ainsworth Avenue,Belfast,BT13 3EP,5,374826,331819,06/05/2014
Mini Market,,,78 Cavendish Street,Belfast,BT12 7AU,3,373834,331970,27/11/2013
Greenways,,,80 Stewartstown Road,Belfast,BT11 9JP,4,370844,328955,07/01/2014
Keenan's Corner Shop,,,9A Whiterock Drive,Belfast,BT12 7PR,4,373334,330936,29/05/2013
The Busy Bee Shop,Royal Victoria Hospital,,Grosvenor Road,Belfast,BT12 6BA,5,373702,332292,23/03/2015
Russell's,,,406-408 Lisburn Road,Belfast,,5,371207,331954,26/10/2015
Spar,,,27 University Avenue,Belfast,BT7 1GX,4,372673,333954,25/08/2015
Devines,,,29 Springfield Road,Belfast,BT12 7AB,3,373926,332135,02/12/2014
Cliftonville Golf Club - Bar,,,44 Westland Road,Belfast,BT14 6NH,5,376868,332306,31/10/2015
Ormeau Golf Club,,,50 Park Road,Belfast,BT7 2FX,4,372182,334950,23/12/2014
Shandon Park Golf Club,,,73 Shandon Park,Belfast,BT5 6NY,5,372653,338682,02/11/2015
Dunmurray Golf Course,,,91 Dunmurry Lane,Belfast,BT17 9JS,4,368200,330535,24/12/2014
,Castle Buildings,,Upper Newtownards Road,Belfast,BT4 3SR,5,374483,340381,19/01/2015
Tipaza Grocery,,,143 Lisburn Road,Belfast,BT9 7AG,2,372526,332932,10/09/2014
LA FITNESS,,Belfast,117 Milltown Road,,BT8 7XP,5,368864,332857,07/03/2015
DW Sports Fitness Club,Unit 7,,24 Boucher Road,Belfast,BT12 6HR,5,372315,332000,23/07/2014
Fitness First,Connswater Shopping Centre,,115-117 Bloomfield Avenue,Belfast,BT5 5LP,5,374002,336456,12/06/2012
City Centre Gym,Frames Complex,,2-14 Little Donegall Street,Belfast,BT1 2JD,5,374771,333697,18/09/2013
Backhack Fitness Club,,,209 Upper Newtownards Road,Belfast,BT4 3JD,5,373955,337743,26/09/2013
Hench,,,5 College Court,Belfast,BT1 6BS,5,374186,333580,27/03/2014
Simply Class,,,19-21 Bloomfield Avenue,Belfast,BT5 5AA,5,374164,336414,31/10/2013
Outside Health & Leisure Spa,1,,1-5 Donegall Lane,Belfast,BT1 2LZ,5,374917,333759,05/02/2013
Centaur,,,19 Arthur Street,Belfast,BT1 4GA,5,374201,333958,24/07/2015
Pure Gym,,,22 Adelaide Street,Belfast,BT2 8GD,4,373720,333974,03/04/2015
Sculpture,Unit 7 Balmoral Industrial Estate,,Balmoral Road,,BT12 6QA,5,,,09/12/2013
B & M Bargains,Unit 1 Cityside Shopping Centre,,100-150 York Street,Belfast,BT15 1WA,5,375412,334000,10/07/2015
Poundworld,,,11 Donegall Place,Belfast,BT1 5AJ,5,374237,333768,22/01/2014
Poundland,,,5-17 Ann Street,Belfast,BT1 4EJ,5,374265,334032,02/12/2013
Poundland,,,513-517 Lisburn Road,Belfast,BT9 7HN,4,,,03/02/2015
B&M Retail Ltd,,,60-64 Cregagh Road,Belfast,BT6 9EQ,5,372638,335930,19/08/2015
Poundland,"Poundland,  Unit 8 Boucher Retail Park",,Boucher Crescent,Belfast,BT12 6HU,5,372172,331497,20/03/2015
Pound World,Unit 2 Boucher Retail Park,,Boucher Crescent,Belfast,BT12 6HU,5,372172,331497,02/03/2015
Poundstretcher,,,56-70 Castle Street,Belfast,BT1 1HD,4,374279,333610,29/06/2015
Poundstretcher,Connswater Shopping Centre,,51 Bloomfield Avenue,Belfast,BT5 5LP,4,374002,336456,20/08/2014
Poundworld,Connswater Retail Park,,Connswater Link,Belfast,BT5 5DL,4,374137,336324,18/11/2014
B & M Bargains,"Unit 7, Connswater Retail Park",,Factory Street,Belfast,BT5 5AW,5,373980,336276,24/05/2013
Poundland,Connswater Shopping Centre,,Unit 35-36 Connswater Shopping Centre,Bloomfield Avenue,BT5 5DL,4,,,19/11/2014
Poundstretcher,Cityside Retail Park,,100-150 York Street,Belfast,BT15 1WA,5,375412,334000,06/03/2013
Poundworld,Cityside Shopping Centre,,100-150 York Street,Belfast,BT15 1WA,4,375412,334000,19/06/2013
B & M Bargains,,,27 Rosemary Street,Belfast,BT1 1QB,5,374430,333868,06/10/2013
Lakeland,"Unit 4, Balmoral Plaza",,24 Boucher Road,Belfast,BT12 6HR,5,372315,332000,07/06/2015
Poundstretcher (Kennedy),,,564-568 Falls Road,Belfast,BT11 9AB,5,372236,330644,12/04/2015
Poundland,Kennedy Centre,,564-568 Falls Road,Belfast,BT11 9AE,4,372214,330762,06/11/2013
B&M Bargains (Unit 20),Boucher Retail Park,,Boucher Crescent,Belfast,BT12 6HU,4,372172,331497,17/09/2013
B & M Bargains,Park Centre,,Donegall Road,Belfast,BT12 6HN,4,373129,331780,06/10/2013
Poundland,"Unit 42, Park Centre",,Donegall Road,Belfast,BT12 6HN,4,373129,331780,28/04/2015
B & M Bargains,Westwood Shopping Centre,,Kennedy Way,Belfast,BT11 9BQ,5,371764,330712,23/06/2014
Poundland,"Unit 23, Castlecourt",,Royal Avenue,Belfast,BT1 1DD,4,374449,333548,30/05/2012
Food Corner,,,17 Donegall Road,Belfast,BT12 5JJ,2,373208,333510,19/08/2015
The Plaice,,,148 Springfield Road,Belfast,BT12 7DQ,5,374248,331875,08/04/2015
Mannys Traditional Fish and Chips,,,564-568 Falls Road,Belfast,BT11 9AB,5,372236,330644,06/08/2015
O My Cod,,,101 Alliance Avenue,Belfast,BT14 7NT,5,376413,331812,09/02/2015
Golden Sun,,,101 Bloomfield Road,Belfast,BT5 5LS,3,373493,337028,15/04/2014
ROSIE'S TRADITIONAL FISH AND CHIPS,,,105a GILNAHIRK ROAD,Belfast,BT5 7QL,3,,,03/10/2015
Only Codin,,,10 Glenalina Pass,Belfast,BT12 7JZ,5,373614,330429,29/05/2015
Spaghetti Arms,,,10 Union Street,Belfast,BT1 2JF,5,374830,333730,03/07/2014
Turkish Kebab and Pizza House,,,112 Andersonstown Road,Belfast,BT11 9BX,2,371367,330272,17/12/2014
The Chip Yard,,,113 Disraeli Street,Belfast,BT13 3HX,3,375420,331802,26/08/2015
Scoff's Takeaway,,,116 Blacks Road,Belfast,BT10 0NF,5,370249,329223,30/06/2014
MANTA RAY,,Belfast,11 Greenway,,BT6 0DT,5,371787,336077,20/08/2014
Simply Fish and Chips,,,12-20 East Bridge Street,Belfast,BT1 3NQ,5,373950,334353,21/07/2015
Med Mex,,,12-20 East Bridge Street,Belfast,BT1 3NQ,5,373950,334353,31/03/2015
Bojana,"Food Court Unit 3, Castlecourt",,12-56 Royal Avenue,Belfast,BT1 1DD,5,374449,333548,18/11/2015
Nemos,,,122a Upper Lisburn Road,Belfast,BT10 0BD,5,370037,330496,15/09/2014
Galaxy,,,125 Antrim Road,Belfast,BT15 2BL,3,375716,333421,25/03/2015
Lyttle Italy,,,127 Antrim Road,Belfast,BT15 2BL,2,375722,333421,30/03/2015
Elements,,,131 Andersonstown Road,Belfast,BT11 9BU,4,371385,330197,03/04/2015
Chi Chi,,,131 Upper Lisburn Road,Belfast,BT10 0LH,3,370035,330468,25/06/2015
Hot Mix,,,133 Holywood Road,Belfast,BT4 3BE,4,374511,337076,26/03/2015
Gucci Chips,Unit 3,,133 Lisburn Road,Belfast,BT9 7AG,3,372574,332970,19/09/2014
The Chippie,,,133 Stranmillis Road,Belfast,BT9 5AJ,5,372076,333572,19/08/2015
Taco Mex,,,135 Newtownards Road,Belfast,BT4 1AB,5,374394,335428,23/10/2015
Chip Ahoy,,,135 Shankill Road,Belfast,BT13 1FD,4,374805,332773,16/06/2015
Lagan Palace,,,136 Ormeau Road,Belfast,BT7 2EB,3,372776,334343,16/10/2014
Hong Kong Night,,,136 Upper Lisburn Road,Belfast,BT10 0BE,4,369956,330413,23/03/2015
Papa Bens,,,139 Shore Road,Belfast,BT15 3PN,3,377259,334190,29/07/2015
Beatties Traditional Fish & Chips/Pizza Milano,,,140 Cavehill Road,Belfast,BT15 5BU,4,377802,332652,27/01/2015
Jomilas,,,142 Cavehill Road,Belfast,BT15 5BU,2,377803,332647,26/08/2015
China City,,,143 New Lodge Road,Belfast,BT15 2BX,3,375671,333602,16/12/2014
Mekong Oriental,,,145 Lisburn Road,Belfast,BT9 7AG,5,372522,332928,11/12/2013
The Original Istanbul,,,145 Ormeau Road,Belfast,BT7 1SL,4,372850,334286,27/06/2014
BISTRO 5,,Castlereagh,146 Cregagh Road,,BT6 9ET,4,372061,336064,10/07/2015
Monte Carlo,,,147 Lisburn Road,Belfast,BT9 7AG,5,372520.9,332920.9,03/09/2015
Spice Fusion,,,149 Upper Lisburn Road,Belfast,BT10 0LH,5,370003,330396,21/07/2015
Little O's Italian Pizzeria,Avoca Park Shopping Centre,,151 Andersonstown Road,Belfast,BT11 9BW,5,371347,329976,26/02/2015
Pizza Parlour,2,,152b Springfield Road,Belfast,BT12 7DR,5,374392,331783,07/09/2015
Pizza Co,,,153 Upper Lisburn Road,Belfast,BT10 0LH,4,369995,330388,11/12/2013
Kofta,,,154 Oldpark Road,Belfast,BT14 6QU,3,375997,332475,16/10/2014
Jav's,,Dunmurry,155 Kingsway,,BT17 9RY,1,368836,329235,16/01/2015
Pizza Pro,Twin Spires Centre,,155 Northumberland Street,Belfast,BT13 2JF,4,374335,332660,18/06/2014
Roundabout Hot Food Bar,,,156 Glen Road,Belfast,BT11 8BN,5,372114,329909,11/11/2015
Four Star Pizza,,,158a Cavehill Road,Belfast,BT15 5EX,5,377873,332603,27/03/2014
Clementine,,,158 Shankill Road,Belfast,BT13 2BE,5,374785,332690,17/02/2014
Hong Kong Park,,,15d Glen Road,Belfast,BT11 8BA,,372531,330651,
Anna's Kitchen,,,164 North Queen Street,Belfast,BT15 1HQ,3,375816,334005,20/01/2015
Star Kitchen,,,165 Oldpark Road,Belfast,BT14 6QP,3,375896,332611,25/11/2015
YUM YUM,,Dunmurry,171 Kingsway,,BT17 9RY,5,368817,329199,02/05/2014
Good Luck Chinese Take Away,,Dunmurry,173 Kingsway,,BT17 9RY,4,368815,329195,29/01/2014
T Dogs,,,175 Antrim Road,Belfast,BT15 2GW,4,375875,333403,30/11/2015
MR INDIAN,,Dunmurry,178 Kingsway,,BT17 9AD,3,368804,329239,30/07/2015
The Pizza Place,,,178 Lenadoon Avenue,Belfast,BT11 9HF,4,371487,328612,02/04/2015
Obento Japenese Express,,,17 Royal Avenue,Belfast,BT1 1FB,3,374363,333806,18/02/2014
Clementine,,,180 Antrim Road,Belfast,BT15 2AJ,3,375835,333371,11/05/2014
ALI'S,,Dunmurry,180 Kingsway,,BT17 9AD,3,368803,329234,12/11/2014
PESCADO,,,181 Kingsway,Belfast,BT17 9RY,5,368804,329175,02/06/2014
CHILLI HOUSE,,Dunmurry,182 Kingsway,,BT17 9AD,3,368794,329233,11/12/2015
Chick 'n Lick 'n,,,186 Antrim Road,Belfast,BT15 2AJ,3,375840,333370,14/09/2015
Dragon King,,,188 Falls Road,Belfast,BT12 6AG,3,373535,331933,13/11/2015
Golden Phoenix,,,18 Woodvale Road,Belfast,BT13 3BS,3,375026,331824,24/06/2015
Salvezza Pizza (Pulcinella),,,192 Falls Road,Belfast,BT12 6AG,5,373526,331924,25/06/2015
King Kebab,,,195 Falls Road,Belfast,BT12 6FB,3,373523,331870,01/05/2016
Bollywood Spices,,,199 Lisburn Road,Belfast,BT9 7EJ,5,372390,332793,24/07/2015
Spring Fry,,,19 Springfield Road,Belfast,BT12 7AB,4,373912,332171,30/09/2014
JOHN DORY'S,,,1 Ballygowan Road,Belfast,BT5 7LH,5,371984,337612,06/10/2014
Chuck Wagon,,,1 Erinvale Drive,Belfast,BT10 0GE,4,369295,330669,27/05/2014
Marmaris Inn,,,20-24 Donegall Street,Belfast,BT1 2GP,2,374576,333903,19/11/2015
Hungry Monk,,,203 Upper Newtownards Road,Belfast,BT4 3JD,1,373956,337726,24/08/2015
Four Star Pizza,,,205 Lisburn Road,Belfast,BT9 7EJ,5,372381,332785,21/07/2014
Sun Garden,,,207 Newtownards Road,Belfast,BT4 1AD,3,374339,335711,26/03/2014
SURMA INDIAN TAKEAWAY,"Unit 5, Laurel Glen Shopping Centre",,208 Stewartstown Road,Belfast,BT17 0LB,3,369776,327987,27/11/2013
GOLDEN BELL,"Unit 2, Laurel Glen Shopping Centre",,208 Stewartstown Road,Belfast,BT17 0AH,3,369776,327987,12/09/2015
Subway Shandon,,,211 Knock Road,Belfast,BT5 6QD,5,372538,338062,14/09/2015
Kebab House,,,211 Upper Newtownards Road,Belfast,BT4 3JD,4,373955,337743,16/07/2015
Lucky Little Chef,,,219 Falls Road,Belfast,BT12 6FB,3,373480,331801,09/03/2014
The Pizza Cabin,,,219 Shankill Road,Belfast,BT13 1FQ,4,374820,332521,18/03/2015
The Chip Company,,,21 Ardoyne Road,Belfast,BT14 7HX,1,375966,331471,03/03/2015
Brothers,,,21 Clifton Street,Belfast,BT13 1AD,4,375190,333425,15/12/2014
THE PIZZA COMPANY,Shop,,220 Stewartstown Road,Belfast,BT17 0LB,3,369471,327785,22/04/2015
Jacks Honest Food,,Dunmurry,221 Kingsway,,BT17 9SB,3,368706,329010,11/06/2014
SILVER INN,,Dunmurry,222 Stewartstown Road,,BT17 0LB,5,,,15/01/2015
MILANO'S,,Dunmurry,222 Stewartstown Road,,BT17 0LB,5,,,23/10/2014
CURRY COTTAGE,Curry Cottage,,224-228 Knock Road,,BT5 6QD,5,,,07/01/2015
CHINA STAR,Unit 6,Belfast,224 Knock Road,,BT5 6QD,2,372059,337608,28/08/2014
ORIENTAL INN,,Dunmurry,225 Kingsway,,BT17 9SB,4,368697,328998,24/09/2014
DOMINO'S PIZZA,,Belfast,226-228 Knock Road,,BT5 6QD,5,372151,337704,25/02/2014
Red China,,,226 Stewartstown Road,Belfast,BT17 0LB,3,369339,327734,22/12/2015
Happy House,,,227 Falls Road,Belfast,BT12 6FB,3,373473,331792,08/05/2015
THE CHIP COMPANY,,,228a Stewartstown Road,Belfast,BT17 0LB,5,369107,327669,01/06/2016
PIZZA BELLEZZA,,,232 Kingsway,Belfast,BT17 9AE,5,368686,329034,27/02/2014
GOLDEN BOWL,,Dunmurry,234 Kingsway,,BT17 9AE,3,368679,329029,18/11/2015
Kim Fung Happy Choice,,,236 Ballysillan Road,Belfast,BT14 6QZ,2,377361,331383,23/09/2014
Original Elements,,,23 Ardoyne Road,Belfast,BT14 7HX,4,375972,331467,02/12/2015
Choys Asian Kitchen,,,241 Cliftonville Road,Belfast,BT14 6JU,1,376727,332196,03/11/2015
Shalimar Kebab,,,241 Shankill Road,Belfast,BT13 1FR,3,374826,332459,31/03/2015
New China,,,248 Ormeau Road,Belfast,BT7 2FZ,2,371940,334645,21/07/2015
Fish 4 The Bone,,,249 Oldpark Road,Belfast,BT14 6QR,4,376087,332444,10/02/2014
Chick n Lick n,,,25-27 Dublin Road,Belfast,BT2 7HB,4,373526,333691,09/11/2014
Sen Asian Cuisine,The Throne Centre,,250 Whitewell Road,Newtownabbey,BT36 7NH,4,380577,333451,11/05/2015
Lee Dart House,,,251A Woodstock Road,Belfast,BT6 8PQ,3,373481,335567,11/05/2014
Bob's Cod,,,25 Brittons Parade,Belfast,BT12 7PL,3,,,11/04/2014
Istanbul Kebab,,,269 Woodstock Road,Belfast,BT6 8PR,3,373398,335607,05/06/2014
Kings,,,275 Grosvenor Road,Belfast,BT12 4LL,5,373853,332648,23/12/2013
Subway,,,276 Upper Newtownards Road,Belfast,BT4 3EU,5,374031,337590,19/09/2014
John Dory's Traditioonal Fish & Chips,Ballyhackamore Service Station,,276 Upper Newtownards Road,Belfast,BT4 3EU,5,374031,337590,24/07/2015
ZUKOS,,Dunmurry,27 Summerhill Park,,BT17 0RQ,4,368582,328146,18/11/2015
Zeera,,,280 Ormeau Road,Belfast,BT7 2GB,3,371866,334679,24/06/2014
Ketchup,,,281 Albertbridge Road,Belfast,BT5 4PY,5,374057,335947,28/11/2013
Sunshine,,,282 Ormeau Road,Belfast,BT7 2GB,2,371858,334684,29/09/2015
Absolutely Chicken,,,283A Newtownards Road,Belfast,BT4 1AG,,374286,335995,
Hudsons Pizza & Deli,,,286 Cliftonville Road,Belfast,BT14 6LE,4,376646,332232,17/11/2014
Chopsticks,,,299 Holywood Road,Belfast,BT4 2EX,4,375163,337612,03/11/2015
Wok Oriental,"5,Ascot House",,29 Shaftesbury Square,,BT2 7DB,3,,,22/07/2014
Shu Feng Kitchen,,,2a Brompton Park,Belfast,BT14 7LD,2,375855,331604,31/12/2014
Fusco's,,,2 Jasmine Way,Belfast,BT17 0BU,5,,,30/10/2015
Little Caesar's,"Unit 7, Westlink Enterprise Centre",,30-50 Distillery Street,Belfast,BT12 5BJ,5,373689,332867,30/07/2014
Indian Cuisine,,,301 Holywood Road,Belfast,BT4 2EX,4,375168,337614,16/12/2014
JR's BBQ Shack,,,307 Upper Newtownards Road,Belfast,BT4 3JH,4,373934,338092,25/11/2015
Walkers Fresh Cod Bar,,,311 Antrim Road,Belfast,BT15 2HF,3,376340,333249,09/12/2014
Bart's Kebab,,,323 Woodstock Road,Belfast,BT6 8PT,,373213,335703,
Caspian Traditional Fish & Chips,,,325 Ballysillan Road,Belfast,BT14 6RE,1,377548,331559,29/06/2015
Kingfisher,,,331 Finaghy Road North,Belfast,BT11 9EH,4,371207,329720,13/01/2015
Yummy Inn,,,333 Finaghy Road North,Belfast,BT11 9EH,4,371223,329709,12/01/2015
Opera Italian Pizza Ltd,,,33 Dublin Road,Belfast,BT2 7HD,3,373512,333687,21/07/2014
Cafe Fish,,,340 Lisburn Road,Belfast,BT9 6GH,1,371655,332320,07/10/2015
Chef King,,,345 Antrim Road,Belfast,BT15 2HF,3,376406,333240,03/12/2015
Anaz,,,346 Beersbridge Road,Belfast,BT5 5DY,4,373766,336606,07/08/2014
Turkish Kebab Pizza House,,,34 Woodvale Road,Belfast,BT13 3BT,3,375060,331788,07/02/2014
The Chip Bar,,,354 Upper Newtownards Road,Belfast,BT4 3EX,3,373983,337806,07/01/2015
Brothers,,,355 Antrim Road,Belfast,BT15 3BG,5,376482,333235,20/06/2014
Azoul,,,35 Botanic Avenue,Belfast,BT7 1JG,4,373109,333632,05/07/2015
Imperial,,Castlereagh,35 Glen Road,,BT5 7LT,5,372112,338028,12/03/2014
Kebabs Express,,,364a Newtownards Road,Belfast,BT4 1HG,3,374269,336223,13/03/2014
Smyth's Fish & Chips,,,365 Woodstock Road,Belfast,BT6 8PU,5,373094,335750,05/07/2014
Kebabish,,,36 Bradbury Place,Belfast,BT7 1RT,3,373110,333573,06/05/2014
Four Star Pizza,,,36 Kennedy Way,Belfast,BT11 9AP,5,371668,330727,24/02/2015
Four Star Pizza,,,377 Beersbridge Road,Belfast,BT5 5DT,5,373743,336622,02/12/2015
Hong Kong Cottage,,,37a Stewartstown Road,Belfast,BT11 9FZ,4,371084,329196,22/10/2014
Top Chef,,,37 Belmont Road,Belfast,BT4 2AA,3,374527,337250,21/08/2014
Frango,,,37 Bradbury Place,Belfast,BT7 1RR,5,373091,333500,10/09/2014
Lydia's Pizzeria,,,38 Belmont Road,Belfast,BT4 2AN,2,374540,337306,14/12/2015
Superior Palace,Unit 1,,39-53 Bloomfield Avenue,Belfast,BT5 5AA,5,374092,336461,25/06/2015
Pizza The Action,,,391 Ormeau Road,Belfast,BT7 3GP,5,371897,334627,02/07/2014
THE SQUARE,,Belfast,3 Drumart Square,,BT8 7EY,4,368773,334067,18/12/2013
Golden Harvest,,,403 Ormeau Road,Belfast,BT7 3GP,5,371848,334654,24/03/2015
Hungry Hound,,,405 Ormeau Road,Belfast,BT7 3GP,4,371842,334653,30/03/2015
Cuban,,,40 Church Lane,Belfast,BT1 4QN,3,374357,334151,24/03/2015
Hello Beijing,,,40 Cregagh Road,Belfast,BT6 9EQ,3,372710,335898,26/06/2014
Tasty,,,40 Kennedy Way,,BT11 9AP,3,,,03/10/2015
Blue Star,,,417 Ballysillan Road,Belfast,BT14 6RE,3,377746,331729,10/09/2014
Starlight,,,420-422 Ormeau Road,Belfast,BT7 3HY,4,,,20/05/2015
Bamboo House,,,449 Lisburn Road,Belfast,BT9 7EY,3,371909,332457,27/03/2015
MASTER CHEF,,Belfast,44 Gilnahirk Road,,BT5 7DG,3,373263,339221,31/07/2014
Golden Fry,Flat G1,,450 Shore Road,Belfast,BT15 4HD,3,378124,334141,18/03/2015
Pizza Hut Delivery,,,453 Ormeau Road,Belfast,BT7 3GQ,5,371680,334715,06/10/2015
The Charcoal Grill,,,458 Shore Road,Belfast,BT15 4HD,4,378158,334133,12/03/2014
Rocket and Relish,,,479-481 Lisburn Road,Belfast,BT9 7EZ,5,371846,332407,09/02/2014
The Chip Company,,,47 Botanic Avenue,Belfast,BT7 1JJ,2,373029,333658,06/01/2012
Pizza Co,,,47 Botanic Avenue,Belfast,BT7 1JJ,4,373029,333658,09/02/2013
Nemrut,,,49 Dublin Road,Belfast,BT2 7HD,3,373468,333668,15/10/2014
Mum Batie,,,4 York Road,Belfast,BT15 3HE,,375975,334146,
Mito Kebab and Pizza,,,503 Antrim Road,Belfast,BT15 3BP,3,376972,333231,30/09/2014
Big Ceasars,,,50 Bradbury Place,Belfast,BT7 1RU,3,373081,333548,19/11/2014
Willow,,,52-54 Calvin Street,Belfast,BT5 4NS,4,373647,335699,09/11/2014
Cyprus Kebab Bar,,,52 Bradbury Place,Belfast,BT7 1RU,5,373076,333548,17/12/2014
Golden City,,,52 Holywood Road,Belfast,BT4 1NT,3,374288,336603,14/05/2014
Joy King,,,532 Oldpark Road,Belfast,BT14 6QJ,2,376840,331904,16/12/2014
Cafe Fish,,,539 Lisburn Road,Belfast,BT9 7GQ,3,371642,332276,30/11/2015
Subway,Unit 61,,564-568 Falls Road,Belfast,BT11 9AE,5,,,05/06/2014
Burger King,"Unit 59, Kennedy Centre",,564-568 Falls Road,Belfast,BT11 9AE,5,,,28/08/2014
Sea of Stars,,,57 Shore Road,Belfast,BT15 3PL,2,377049,334223,17/12/2015
BO WIN,,,592A Shore Road,Belfast,BT15 4HG,5,378550,334109,17/07/2014
Chilli,,Belfast,59 Rosetta Road,,BT6 0LR,4,371218,335707,10/07/2014
Mc Culloughs,,,59 Sunnyside Street,Belfast,BT7 3EG,3,371754,334355,03/05/2015
Jade House,,,5 Glen Road,Belfast,BT11 8BA,3,372544,330690,09/08/2014
LEE LAM HOUSE,,Belfast,5 Mayfair Avenue,,BT6 9JA,3,372044,336099,30/09/2015
The Chip Company,,,60 Botanic Avenue,Belfast,BT7 1JR,3,373013,333697,18/03/2015
Nico's,,,61 Sunnyside Street,Belfast,BT7 3EG,5,371755,334351,03/06/2014
The Boxing Hare Wood Fired Pizzas,,,65 Union Street,Belfast,BT1 2JG,5,374723,333642,20/02/2015
Cod Almighty,,,687 Oldpark Road,Belfast,BT14 6QY,4,377269,331478,19/11/2014
The Chip House,,,69-71 Cavendish Street,Belfast,BT12 7AW,3,373880,331917,16/11/2015
RED CHILLI,,Belfast,6 Granton Park,,BT5 7AH,4,373352,340263,19/08/2015
Browns,,,6 Woodbourne Crescent,Belfast,BT11 9PH,5,370688,328577,19/06/2014
The Streat & Spar/BP Filling Station,,,70-74 Malone Road,Belfast,BT9 5BU,4,371830,333145,10/06/2015
New Century,,,701 Oldpark Road,Belfast,BT14 6QY,3,377295,331452,19/11/2015
Freddie's Kitchen,,,70a Andersonstown Road,Belfast,BT11 9AN,3,371569,330551,12/09/2014
The Sea Fry,,,70 Knockbreda Road,Belfast,BT6 0JB,4,371282,335421,19/08/2014
Pizza Pro,,,71 Mountview Street,Belfast,BT14 6FW,3,375873,332648,10/07/2014
The Welcome,,,73 Glen Road,Belfast,BT11 8BD,5,372413,330300,23/10/2014
Bella Pizza,,,74 Holywood Road,Belfast,BT4 1NT,5,374328,336675,11/11/2015
EMERALD CITY,,,74 Old Milltown Road,Belfast,BT8 7SW,3,368584,333255,06/09/2014
Sphinx,,,74 Stranmillis Road,Belfast,BT9 5AD,5,372061.6,333610.7,08/11/2015
New China,,,75 Glen Road,Belfast,BT11 8BD,3,372409,330295,07/01/2015
Hardcore Cafe,,,76-78 Donegall Pass,Belfast,BT7 1BU,4,373298,333917,08/06/2014
Spice Inn,,,782-784 Springfield Road,Belfast,BT12 7JD,3,373664,330146,30/03/2015
Raffos,,,786 Springfield Road,Belfast,BT12 7JD,4,373659,330140,23/05/2014
Subway,,,790 Springfield Road,Belfast,BT12 7JD,5,373649,330139,15/09/2015
New Capital,,,792 Shore Road,Newtownabbey,BT36 7DG,2,379302,334222,12/04/2014
Pasha,,,7 Ardoyne Road,Belfast,BT14 7HX,3,375933,331482,17/12/2014
Happy Palace,,,7 Crumlin Road,Belfast,BT14 6AA,5,375239,333327,27/03/2013
Gransha Grill,,,83 Glen Road,Belfast,BT11 8BD,5,372404,330275,22/05/2014
Greencastle Chinese,,,862 Shore Road,Belfast,BT36 7DQ,3,379587,334289,11/12/2015
Herons Country Fried Chicken,Shop,,86 Botanic Avenue,Belfast,BT7 1JR,5,372939,333721,24/03/2015
Feeleys Fish & Chips,,,86 Shaws Road,Belfast,BT11 9QR,4,371581,328977,02/05/2015
The York,,,86 York Road,Belfast,BT15 3HF,3,376290,334132,13/08/2014
MG Chips 'N' Things,,,870 Shore Road,Newtownabbey,BT36 7DQ,4,379610,334285,09/03/2014
Welcome,,,88 Stranmillis Road,Belfast,BT9 5AD,5,372020,333632,20/03/2015
Fryar Tuck,,,89 Bloomfield Road,Belfast,BT5 5LS,4,373519,337015,07/04/2014
Red Dragon,,,8 Cregagh Road,Belfast,BT6 9EP,4,372867,335852,18/09/2014
Mr Kebab,"Unit 4b, Peter Pan Industrial Estate",,90-120 Springfield Road,Belfast,BT12 7AJ,3,374076,331947,15/12/2014
Brothers,,,901 Crumlin Road,Belfast,BT14 8AB,3,376895,330787,10/06/2014
King Wok,,,91 Castlereagh Road,Belfast,BT5 5FE,4,373348,335952,16/12/2014
Birdcage,,,92 Stranmillis Road,Belfast,BT9 5AE,5,372002,333655,18/09/2015
Lucky Dragon,,,94 York Road,Belfast,BT15 3HF,4,376307,334136,30/09/2014
