Publisher Label,Publisher URI,"Contract Reference","Title of the Agreement","Directorate or service responsible","Description of goods and services","Procurement classification: CPV code","Procurement classification: CPV label","Procurement classification: Proclass code","Procurement classification: Proclass label","Start date","End date","Review date","Contract value","Irrecoverable VAT","Supplier name","Supplier registered company number","Supplier registered company number Uri","Supplier registered charity number","Supplier registered charity number Uri","SME supplier","VCSE supplier","Tender type"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLP","Access Agreement Provision of Independent Fostering Agency Placements across the West London Boroughs","Social services","Access Agreement Provision of Independent Fostering Agency Placements across the West London Boroughs","85311300","Welfare services for children and young people","329999","Social Community Care Supplies & Services�",16/07/2013 00:00:00,15/07/2017 00:00:00,01/01/2017 00:00:00,60000,0,"London Borough of Hillingdon","",,"",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJMN","New Westbrook Primary School - Construction","REDE","New Westbrook Primary School - Construction","45210000","Building construction work","391110","Works - Construction, Repair & Maintenance",22/07/2013 00:00:00,19/01/2015 00:00:00,22/07/2014 00:00:00,153043448,0,"Galliford Try Construction Ltd","2472080","https://beta.companieshouse.gov.uk/company/2472080","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJL2","B2 Access Agreement for the Provision of Highways & Transport Services lot 3","REDE","B2 Access Agreement for the Provision of Highways & Transport Services lot 3","71311210","Highways consultancy services","399999","Works - Construction, Repair & Maintenance",23/07/2013 00:00:00,30/06/2016 00:00:00,30/12/2015 00:00:00,312160,0,"JMP Consultants Ltd","8158942","https://beta.companieshouse.gov.uk/company/8158942","",,"Yes","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJJV","Provision of modular buildings under GPS Framework for the 2013 Delivery works at Various sites with the LBH","REDE","Provision of modular buildings under GPS Framework for the 2013 Delivery works at Various sites with the LBH","45210000","Building construction work","391110","Works - Construction, Repair & Maintenance",25/07/2013 00:00:00,20/08/2016 00:00:00,20/08/2015 00:00:00,355386,0,"Elliott Group","",,"",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9YFHN3","G Cloud Services","Corporate Resources","G Cloud Services","72000000","IT services: consulting, software development, Internet and support","151812","Information Communication Technology",01/08/2013 00:00:00,31/07/2016 00:00:00,31/05/2015 00:00:00,155000,0,"Softcat Ltd","2174990","https://beta.companieshouse.gov.uk/company/2174990","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJMQ","Contract For Groceries","DS Catering","Contract For Groceries","15890000","Miscellaneous food products and dried goods","111200","Catering",01/08/2013 00:00:00,31/07/2016 00:00:00,01/08/2014 00:00:00,38000,0,"Thomas Ridley & Son Ltd","148692","https://beta.companieshouse.gov.uk/company/148692","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9CAK48","Hounslow & Richmond Community Healthcare S&L","CS & LL","Hounslow & Richmond Community Healthcare S&L","98000000","Other community, social and personal services","329999","Social Community Care Supplies & Services�",01/09/2013 00:00:00,31/08/2014 00:00:00,01/03/2014 00:00:00,9192960,0,"Hounslow and Richmond Community Healthcare NHS Trust","",,"",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9CAMMN","Room Rental","CS&LL","Room Rental","98000000","Other community, social and personal services","329999","Social Community Care Supplies & Services�",01/09/2013 00:00:00,31/07/2014 00:00:00,01/02/2014 00:00:00,104407.8,0,"Various Schools","",,"",,"","","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJJ6","Agreement in relation to the Raising the Age of Participation (RPA) Support Services","Supply Chain","Agreement in relation to the Raising the Age of Participation (RPA) Support Services","75130000","Supporting services for the government","329999","Social Community Care Supplies & Services�",02/09/2013 00:00:00,01/09/2015 00:00:00,01/03/2015 00:00:00,7200000,0,"GTTET, Gabbitas, Truman & Thring Educational Trust","665963","https://beta.companieshouse.gov.uk/company/665963","",,"Yes","Yes","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJM6","Agreement for the Provision of Pre-School Services for Children Aged 2-4 years.","Childcare Sufficiency Officer","Agreement for the Provision of Pre-School Services for Children Aged 2-4 years.","80110000","Pre-school education services","171011","Education",02/09/2013 00:00:00,01/09/2017 00:00:00,01/04/2017 00:00:00,200000,0,"Tiny Toez Limited","4886516","https://beta.companieshouse.gov.uk/company/4886516","",,"","","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9KWCUW","Agreement for New Shared Pathway De Brome/Pevensey Rd Open Space","Rede","Agreement for New Shared Pathway De Brome/Pevensey Rd Open Space","45210000","Building construction work","391110","Works - Construction, Repair & Maintenance",23/09/2013 00:00:00,13/12/2014 00:00:00,13/06/2014 00:00:00,20000,0,"k&a construction","",,"",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJM3","Memorandum of Participation in relation to stairleifts and Associated work Packages","REDE","Memorandum of Participation in relation to stairleifts and Associated work Packages","44115600","Stairlifts","109999","Building Construction Materials",01/10/2013 00:00:00,31/05/2016 00:00:00,01/12/2015 00:00:00,295000,0,"Royal Borough of Greenwich","",,"",,"","","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJUQ","Framework Agreement for the Provision of Short Breaks for Disabled Children","Childrens & Adults","Framework Agreement for the Provision of Short Breaks for Disabled Children","85311200","Welfare services for the handicapped","329999","Social Community Care Supplies & Services�",01/10/2013 00:00:00,30/09/2017 00:00:00,01/03/2016 00:00:00,1475000,0,"Scope AHDC","520866","https://beta.companieshouse.gov.uk/company/520866","208231","http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=208231","No","Yes","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJUQ","Framework Agreement for the Provision of Short Breaks for Disabled Children","Childrens & Adults","Framework Agreement for the Provision of Short Breaks for Disabled Children","85311200","Welfare services for the handicapped","329999","Social Community Care Supplies & Services�",01/10/2013 00:00:00,30/09/2017 00:00:00,01/03/2016 00:00:00,1475000,0,"Core Assets Children's Services","520866","https://beta.companieshouse.gov.uk/company/520866","208231","http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=208231","No","Yes","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJUQ","Framework Agreement for the Provision of Short Breaks for Disabled Children","Childrens & Adults","Framework Agreement for the Provision of Short Breaks for Disabled Children","85311200","Welfare services for the handicapped","329999","Social Community Care Supplies & Services�",01/10/2013 00:00:00,30/09/2017 00:00:00,01/03/2016 00:00:00,1475000,0,"KIDS","520866","https://beta.companieshouse.gov.uk/company/520866","208231","http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=208231","No","Yes","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJUQ","Framework Agreement for the Provision of Short Breaks for Disabled Children","Childrens & Adults","Framework Agreement for the Provision of Short Breaks for Disabled Children","85311200","Welfare services for the handicapped","329999","Social Community Care Supplies & Services�",01/10/2013 00:00:00,30/09/2017 00:00:00,01/03/2016 00:00:00,1475000,0,"Brentford FC Sports Trust Ltd","520866","https://beta.companieshouse.gov.uk/company/520866","208231","http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=208231","No","Yes","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJUQ","Framework Agreement for the Provision of Short Breaks for Disabled Children","Childrens & Adults","Framework Agreement for the Provision of Short Breaks for Disabled Children","85311200","Welfare services for the handicapped","329999","Social Community Care Supplies & Services�",01/10/2013 00:00:00,30/09/2017 00:00:00,01/03/2016 00:00:00,1475000,0,"Hounslow Arts Trust Ltd","520866","https://beta.companieshouse.gov.uk/company/520866","208231","http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=208231","No","Yes","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJUQ","Framework Agreement for the Provision of Short Breaks for Disabled Children","Childrens & Adults","Framework Agreement for the Provision of Short Breaks for Disabled Children","85311200","Welfare services for the handicapped","329999","Social Community Care Supplies & Services�",01/10/2013 00:00:00,30/09/2017 00:00:00,01/03/2016 00:00:00,1475000,0,"Core Assets Children's Services","520866","https://beta.companieshouse.gov.uk/company/520866","208231","http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=208231","No","Yes","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJUQ","Framework Agreement for the Provision of Short Breaks for Disabled Children","Childrens & Adults","Framework Agreement for the Provision of Short Breaks for Disabled Children","85311200","Welfare services for the handicapped","329999","Social Community Care Supplies & Services�",01/10/2013 00:00:00,30/09/2017 00:00:00,01/03/2016 00:00:00,1475000,0,"KIDS","520866","https://beta.companieshouse.gov.uk/company/520866","208231","http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=208231","No","Yes","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJUQ","Framework Agreement for the Provision of Short Breaks for Disabled Children","Childrens & Adults","Framework Agreement for the Provision of Short Breaks for Disabled Children","85311200","Welfare services for the handicapped","329999","Social Community Care Supplies & Services�",01/10/2013 00:00:00,30/09/2017 00:00:00,01/03/2016 00:00:00,1475000,0,"The Richmond Upon Thames Music Trust Company Limited","520866","https://beta.companieshouse.gov.uk/company/520866","208231","http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=208231","No","Yes","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJJ2","University Of Manchester","Childrens & Adults Services","University Of Manchester","30125130","Toner for data-processing and research and documentation centres","271400","Information Communication Technology",08/10/2013 00:00:00,07/04/2014 00:00:00,08/10/2013 00:00:00,75500000,0,"The University of Manchester","",,"",,"No","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9L6C8K","Licence Relating to Sunday Market & Store Room Western International Market Hayes Road, Southall Middx","Rede","Licence Relating to Sunday Market & Store Room Western International Market Hayes Road, Southall Middx","98390000","Other services","329999","Social Community Care Supplies & Services�",18/10/2013 00:00:00,17/10/2017 00:00:00,17/04/2017 00:00:00,61650,0,"Ritagate","1562914","https://beta.companieshouse.gov.uk/company/1562914","",,"","","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9L6C8K","Licence Relating to Sunday Market & Store Room Western International Market Hayes Road, Southall Middx","Rede","Licence Relating to Sunday Market & Store Room Western International Market Hayes Road, Southall Middx","98390000","Other services","329999","Social Community Care Supplies & Services�",18/10/2013 00:00:00,17/10/2017 00:00:00,17/04/2017 00:00:00,61650,0,"Western International Market Tenants Asociation Limited","1562914","https://beta.companieshouse.gov.uk/company/1562914","",,"","","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJJN","Agreement in Relation to Sunday Market Operation at Western International Maket Hayes. Licence fee","Rede","Agreement in Relation to Sunday Market Operation at Western International Maket Hayes. Licence fee","55900000","Retail trade services","No Match","",18/10/2013 00:00:00,17/10/2017 00:00:00,17/10/2016 00:00:00,78938,0,"Ritagate Limited","1562914","https://beta.companieshouse.gov.uk/company/1562914","",,"","","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLS","Proposed Community Resource Centre & infrastructure replacement, Hounslow Central Library (Treaty Centre)","Supplier Performance","Proposed Community Resource Centre & infrastructure replacement, Hounslow Central Library (Treaty Centre)","71311300","Infrastructure works consultancy services","399999","Works - Construction, Repair & Maintenance",21/10/2013 00:00:00,01/09/2023 00:00:00,01/09/2022 00:00:00,150000,0,"Borras Construction Limited","1520021","https://beta.companieshouse.gov.uk/company/1520021","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJM5","G-Cloud Services Call off Terms","REDE","G-Cloud Services Call off Terms","48000000","Software package and information systems","279999","Information Communication Technology",01/11/2013 00:00:00,31/10/2015 00:00:00,01/04/2015 00:00:00,135000,0,"The Technology Forge","2293004","https://beta.companieshouse.gov.uk/company/2293004","",,"No","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9J6DLD","Letter of Appointment an Call Off Terms for Estates Professional Services","REDE","Letter of Appointment an Call Off Terms for Estates Professional Services","79100000","Legal services","289999","Legal Services",04/11/2013 00:00:00,04/11/2014 00:00:00,04/08/2014 00:00:00,-168917.82,0,"Carter Jonas LLP","OC304417","https://beta.companieshouse.gov.uk/company/OC304417","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJM4","Letter Of Appointment and Call-off Terms for - Estates Professional Services Ref: RM928 Attachement 6","REDE","Letter Of Appointment and Call-off Terms for - Estates Professional Services Ref: RM928 Attachement 6","70000000","Real estate services","191700","Facilities & Management Services",04/11/2013 00:00:00,17/11/2014 00:00:00,01/09/2014 00:00:00,1701332,0,"Carter Jonas LLP","OC304417","https://beta.companieshouse.gov.uk/company/OC304417","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLZ","Agreement in Relation to the Provision of Financial Services","Housing Leisure & Public Health","Agreement in Relation to the Provision of Financial Services","66171000","Financial consultancy services","209999","Financial Services",27/11/2013 00:00:00,26/11/2014 00:00:00,01/09/2014 00:00:00,13037356,0,"Thames Credit Union Ltd and Credit Union Solutions","",,"",,"","","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9KXJDT","Services Concession contract for the provison, installation and Maintainence of Equipment enabling the provision of a wireless network in streets and open spaces within the LBH using Specified Assets","Corporate Resources","Services Concession contract for the provison, installation and Maintainence of Equipment enabling the provision of a wireless network","32510000","Wireless telecommunications system","271699","Information Communication Technology",01/12/2013 00:00:00,30/11/2023 00:00:00,01/05/2022 00:00:00,72000,0,"Arqiva Ltd","2487597","https://beta.companieshouse.gov.uk/company/2487597","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-A2CEFP","Brabazon Site C4","HH","Brabazon Site C4","45000000","Construction work","399999","Works - Construction, Repair & Maintenance",01/01/2014 00:00:00,01/11/2015 00:00:00,01/10/2015 00:00:00,360000,0,"Lovell Partnership","2387333","https://beta.companieshouse.gov.uk/company/2387333","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9KTJAV","Agreement for the Heston Leisure Centre Project","rede","Agreement for the Heston Leisure Centre Project","45212000","Construction work for buildings relating to leisure, sports, culture, lodging and restaurants","391110","Works - Construction, Repair & Maintenance",13/01/2014 00:00:00,25/09/2015 00:00:00,25/02/2015 00:00:00,3457128,0,"Morgan Sindall plc","4273754","https://beta.companieshouse.gov.uk/company/4273754","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9U4GSP","Agreement for the Supply of Products And services LOT3","rede","Agreement for the Supply of Products And services LOT3","51120000","Installation services of mechanical equipment","261500","Human Resources",22/01/2014 00:00:00,27/01/2017 00:00:00,27/01/2016 00:00:00,1584000,0,"Pollock Lifts","NI 18971","https://beta.companieshouse.gov.uk/company/NI 18971","",,"Yes","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9GUDKT","NEC3 Term Services Contract relating to the provision of responsive repairs of door entry system,replacemnts, maintainance ot Automated doors and Associated Equipments","Hounslow Homes","NEC3 Term Services Contract relating to the provision of responsive repairs of door entry system,replacemnts, maintainance ot Automated doors and Associated Equipments","50710000","Repair and maintenance services of electrical and mechanical building installations","391111","Works - Construction, Repair & Maintenance",01/02/2014 00:00:00,31/01/2017 00:00:00,01/10/2016 00:00:00,1942300,0,"OpenView Security Solutions Limited","3376202","https://beta.companieshouse.gov.uk/company/3376202","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-A2CC6C","South Road A","HH","South Road A","45000000","Construction work","399999","Works - Construction, Repair & Maintenance",01/02/2014 00:00:00,10/02/2016 00:00:00,01/11/2015 00:00:00,1707780,0,"United House Ltd","817560","https://beta.companieshouse.gov.uk/company/817560","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-A2CCVB","Brookwood road","HH","Brookwood road","45000000","Construction work","399999","Works - Construction, Repair & Maintenance",01/02/2014 00:00:00,01/06/2017 00:00:00,01/03/2017 00:00:00,2919645,0,"United House Ltd","817560","https://beta.companieshouse.gov.uk/company/817560","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-A2CEBL","Brabazon Site C1","HH","Brabazon Site C1","45000000","Construction work","399999","Works - Construction, Repair & Maintenance",01/02/2014 00:00:00,01/11/2015 00:00:00,01/10/2015 00:00:00,2561663,0,"Lovell Partnership","2387333","https://beta.companieshouse.gov.uk/company/2387333","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-A2CEJV","Harlech gardens Site C7","HH","Harlech gardens Site C7","45000000","Construction work","399999","Works - Construction, Repair & Maintenance",01/02/2014 00:00:00,01/11/2015 00:00:00,01/10/2015 00:00:00,72000,0,"Lovell Partnership","2387333","https://beta.companieshouse.gov.uk/company/2387333","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-A2CEMY","Redwood Estate Site B1 & B2","HH","Redwood Estate Site B1 & B2","45000000","Construction work","399999","Works - Construction, Repair & Maintenance",01/02/2014 00:00:00,01/11/2015 00:00:00,01/10/2015 00:00:00,86506.67,0,"Lovell Partnership","2387333","https://beta.companieshouse.gov.uk/company/2387333","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-A2CET4","NORTHFIELDS ESTATE C9-C10 -C11","HH","NORTHFIELDS ESTATE C9-C10 -C11","45000000","Construction work","399999","Works - Construction, Repair & Maintenance",01/02/2014 00:00:00,01/11/2015 00:00:00,01/10/2015 00:00:00,192000,0,"Lovell Partnership","2387333","https://beta.companieshouse.gov.uk/company/2387333","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","HOUNSLOW-CONTRACT-DNWC-9FDGN3","Provision of Energy Performance Certificates for Hounslow Homes","Chief Executives Department","Provision of Energy Performance Certificates for Hounslow Homes","71314300","Energy-efficiency consultancy services","399999","Works - Construction, Repair & Maintenance",03/02/2014 00:00:00,03/02/2017 00:00:00,16/03/2016 00:00:00,109695.99,0,"LOW CARBON EXCHANGE","7433422","https://beta.companieshouse.gov.uk/company/7433422","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9YFJMP","Intercept Desktop Support","IT","Intercept Desktop Support","72000000","IT services: consulting, software development, Internet and support","151812","Information Communication Technology",11/02/2014 00:00:00,10/10/2016 00:00:00,10/07/2016 00:00:00,16795,0,"Intercept IT","4442332","https://beta.companieshouse.gov.uk/company/4442332","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9KTJ5C","Lease Agreement relating to Provision of goods and services to multifunctional devices and services, managed print services and print audit services","REDE","Lease Agreement relating to Provision of goods and services to multifunctional devices and services, managed print services and print audit services","30121100","Photocopiers","271400","Information Communication Technology",17/02/2014 00:00:00,16/02/2017 00:00:00,16/02/2016 00:00:00,335837,0,"Canon (UK) Ltd","1264300","https://beta.companieshouse.gov.uk/company/1264300","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9LSKXH","Supporting People - St Margarets House (Childrens)","SCM","Supporting People - St Margarets House (Childrens)","98390000","Other services","329999","Social Community Care Supplies & Services�",01/03/2014 00:00:00,01/02/2016 00:00:00,01/11/2015 00:00:00,-141868,0,"Shepherds Bush Housing Association","16442R","https://beta.companieshouse.gov.uk/company/16442R","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","HOUNSLOW-CONTRACT-DNWC-9FRDBW","Tender for:Regular inspection, servicing and maintenance of Dry Risers","Chief Executives Department","Tender for:Regular inspection, servicing and maintenance of Dry Risers","50413200","Repair and maintenance services of firefighting equipment","No Match","",03/03/2014 00:00:00,30/04/2017 00:00:00,08/03/2016 00:00:00,86786.57,0,"M&P DRY RISERS LTD","7296784","https://beta.companieshouse.gov.uk/company/7296784","",,"Yes","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","HOUNSLOW-CONTRACT-DNWC-9FEKT6","Rough Sleepers Outreach","Chief Executives Department","Rough Sleepers Outreach","85000000","Health and social work services","319999","Healthcare",01/04/2014 00:00:00,31/03/2017 00:00:00,16/03/2016 00:00:00,14700,0,"Broadway Homelessness & Support","1299109","https://beta.companieshouse.gov.uk/company/1299109","",,"No","Yes","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9K9HWE","Concession Contract for the Provision of Advertising services to the London Borough of Hounslow","Corporate Resouces","Concession Contract for the Provision of Advertising services to the London Borough of Hounslow","79340000","Advertising and marketing services","191000","Facilities & Management Services",01/04/2014 00:00:00,31/03/2016 00:00:00,31/03/2015 00:00:00,13927.82,0,"Cabbell Publishing Ltd","1243500","https://beta.companieshouse.gov.uk/company/1243500","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9LSKSU","Supporting People - 125- Teen Parent Supported Housing","SCM","Supporting People - 125- Teen Parent Supported Housing","98390000","Other services","329999","Social Community Care Supplies & Services�",01/04/2014 00:00:00,31/01/2017 00:00:00,01/09/2016 00:00:00,40000,0,"RADICLE","3135106","https://beta.companieshouse.gov.uk/company/3135106","",,"No","Yes","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9LSL3X","Equipment and Adaptations - Fees for Equipment Contract","SCM","Equipment and Adaptations - Fees for Equipment Contract","33100000","Medical equipments","311300","Healthcare",01/04/2014 00:00:00,31/03/2015 00:00:00,01/01/2015 00:00:00,1118296,0,"Royal Borough of Kensington and Chelsea","",,"",,"No","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9LSL6A","Professional Support - IMCA DoLS & PRPR (POhWER)","REDE","Professional Support - IMCA DoLS & PRPR (POhWER)","98390000","Other services","329999","Social Community Care Supplies & Services�",01/04/2014 00:00:00,31/03/2015 00:00:00,01/01/2015 00:00:00,50000,0,"City of Westminster","",,"",,"","","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9LSLE8","Professional Support - IMHA (Lakeside)","REDE","Professional Support - IMHA (Lakeside)","98390000","Other services","329999","Social Community Care Supplies & Services�",01/04/2014 00:00:00,31/03/2016 00:00:00,01/01/2016 00:00:00,44630,0,"POhWER","3323040","https://beta.companieshouse.gov.uk/company/3323040","",,"Yes","Yes","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9QSD6R","Contract for the Provision of Public Health Services Community Sexual Health","Rede","Contract for the Provision of Public Health Services Community Sexual Health","85100000","Health services","311600","Healthcare",01/04/2014 00:00:00,31/03/2015 00:00:00,01/01/2015 00:00:00,29995,0,"West Middlesex University Hopsital","",,"",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9QSDBV","Contract for the provision of Public Health Services West London Gay Mens Project CIC","Rede","Contract for the provision of Public Health Services West London Gay Mens Project CIC","85100000","Health services","311600","Healthcare",01/04/2014 00:00:00,31/03/2015 00:00:00,01/01/2015 00:00:00,55909,0,"Living Well","6666612","https://beta.companieshouse.gov.uk/company/6666612","",,"Yes","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJMA","Agreement relating to Hosting Facilities for CACI Childview","Youth Offending Team","Agreement relating to Hosting Facilities for CACI Childview","72260000","Software-related services","279999","Information Communication Technology",01/04/2014 00:00:00,31/03/2017 00:00:00,01/04/2015 00:00:00,335836.8,0,"Prosolve Software Ltd","4777164","https://beta.companieshouse.gov.uk/company/4777164","",,"","","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9M9G5F","Conditions of Contract for the Social Network Anaysis-Stronger Together Cranford Project","CED","Conditions of Contract for the Social Network Anaysis-Stronger Together Cranford Project","98000000","Other community, social and personal services","329999","Social Community Care Supplies & Services�",15/04/2014 00:00:00,14/04/2015 00:00:00,14/10/2014 00:00:00,406193,0,"RSA","",,"212424","http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=212424","Yes","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJLE","Independent NHS Complaints Advocacy Services","Health and Well Being","Independent NHS Complaints Advocacy Services","85312300","Guidance and counselling services","329999","Social Community Care Supplies & Services�",19/04/2014 00:00:00,28/02/2017 00:00:00,28/08/2016 00:00:00,739480,0,"LB Enfield","",,"",,"No","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9LVE4E","West London Housing Related Support Service Contract","rede","West London Housing Related Support Service Contract","98390000","Other services","329999","Social Community Care Supplies & Services�",01/05/2014 00:00:00,30/04/2017 00:00:00,30/04/2016 00:00:00,78452,0,"Broadway Homelessness & Support","1299109","https://beta.companieshouse.gov.uk/company/1299109","",,"No","Yes","ITT"
