UID,Client,Pro Class,Contract Title,Route to Market,Contract Type,Contract Start Date,Initial Contract Term (Months),Potential Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier,Supplier Type,Registered Number,Postcode,Council Directorate
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Community Transport,SME,2118677,HX4 8AQ,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,DMC Travel,SME,Supplier does not have company number,M33 2WD,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Easy Go Community Transport,SME,3285361,SK7 5DA,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Gareth Hoskins,SME,Supplier does not have company number,SK5 8NN,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Gary Beardsell,SME,Supplier does not have company number,M34 7LN,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Ivor Nelson,SME,Supplier does not have company number,SK14 5RF,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,JCT Travel Limited,SME,9124502,M23 2SR,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Kenneth Lee Private Hire,SME,Supplier does not have company number,SK6 1PF,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Lime Travel,SME,Supplier does not have company number,SK4 4LN,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Mcr Blackcabs Ltd,SME,8152458,M22 4NG,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Metro Taxis,SME,1238781,SK4 1ND,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Mr Sharma Kumar,SME,Supplier does not have company number,SK4 2AX,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,P.K. Environmental,SME,Supplier does not have company number,BL8 1HZ,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,P Walker Taxis,SME,Supplier does not have company number,SK8 6AB,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Parklane Minibuses,SME,4671323,OL7 9QX,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,R & C Plant Taxis Ltd,SME,Supplier does not have company number,SK3 0SP,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Sheila Stansfield,SME,Supplier does not have company number,M20 6UU,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,SMBC Cab Owner,SME,Supplier does not have company number,SK8 6SD,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Stuart Dunkerley,SME,Supplier does not have company number,SK6 2EZ,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Taxi-Team,SME,7640627,SK2 7NR,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,TC Travel Services Ltd,SME,5866052,M16 8HN,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Trevor Bunter,SME,Supplier does not have company number,M34 7QA,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Westfield Minibuses,SME,Supplier does not have company number,SK1 2NE,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Youbus,SME,8588545,M32 0AH,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,Jon Cocker Private Hire,SME,Supplier does not have company number,SK5 6BQ,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,CJ Taxis,SME,Supplier does not have company number,SK6 4DL,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,danistravels,SME,Supplier does not have company number,OL11 4HQ,
1321,Stockport Council,361600-Public Transport : Taxi Services : Home to School,Home to School Transport DPS,Tender (OJEU),DPS,01/08/2015,24,48,31/07/2017,No,31/07/2019,01/01/2017,DPS- dependent on demand,DPS- dependent on demand,A & G Duncan Travel,SME,Supplier does not have company number,SK3 8QJ,
1324,Stockport Council,271300-Information Communication Technology : Services : Maintenance & Support,SIMS Annual Entiltement (including LA Charge and Additional Module Maintenance),Call Off (External),Contract,01/04/2015,48,84,31/03/2019,No,31/03/2019,31/10/2018,"œ125,176.50","œ876,235.50",Capita Business Services Ltd,Other,02299747,SW1H 0XA,Stockport- Corporate & Support Services
1327,Stockport Council,191000-Facilities & Management Services : Advertising : ,Management & Promotion of Stockport Town Centre Managed Sites,Tender,Contract,12/02/2016,12,48,11/02/2017,No,11/02/2020,01/11/2016,"œ20,000.00","œ80,000.00",PinPointer Ltd ,SME,5196344,M3 5EJ,Stockport- Corporate & Support Services
1330,Stockport Council,191600-Facilities & Management Services : Printing : ,Elections and Registration Printing ,Tender,Contract,08/01/2015,24,48,07/01/2017,No,07/01/2019,01/06/2016,"œ26,678.00","œ106,712.00",Electoral Reform Services Ltd ,SME,2263092,N8 0NW,Stockport- Corporate & Support Services
1333,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living for Adults with a Learning Disability - Contract 103.5 (Phase 3),Mini Competition,Contract,13/04/2015,36,48,12/04/2018,No,12/04/2019,12/01/2018,"œ339,744.76","œ1,358,979.04",Creative Support,VCSE,27440R,M1 2HF,Stockport- Services to People
1335,Stockport Council,151000-Consultancy : Business : ,Library Service re-design,RFQ,Contract,01/10/2015,15,15,31/12/2016,No,31/12/2016,01/12/2016,"œ30,000.00","œ37,500.00",Shared Intelligence,SME,3943980,WC1X 0GB,Stockport- Corporate & Support Services
1352,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with an LD - 103.4 (Phase 2),Mini Competition,Contract,26/01/2015,36,48,25/01/2018,No,25/01/2019,01/09/2017,"œ364,853.00","œ1,459,412.00",Choice Support,VCSE,298149,SK5 6DA,Stockport- Services to People
1366,Stockport Council,191700-Facilities & Management Services : Property Management : ,Fire Risk Assessments,OJEU,Framework Agreement,01/11/2015,24,24,31/10/2017,No,31/10/2019,01/03/2017,"œ50,000.00","œ100,000.00",Fire Protection Association Firesec NW Ltd             Oakleaf                               BB7,SME,3806681,GL56 ORH,Stockport- Services to Place
1367,Stockport Council,201800-Financial Services : Insurance : ,Insurance Advisory and Broking Service,Call Off (External),Contract,01/01/2016,36,60,31/12/2018,No,31/12/2020,01/08/2018,"œ14,000.00","œ70,000.00",Arthur J Gallagher ,Other,08887139,M3 5AG,Stockport- Corporate & Support Services
1378,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for Contract 103.7 (Phase 5),Mini Competition,Contract,01/12/2015,36,48,30/11/2018,No,30/11/2019,01/09/2018,"œ214,766.76","œ859,067.04",Home Focus,VCSE,2147139,M30 0DL,Stockport- Services to People
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,36,28/02/2019,No,28/02/2019,01/03/2018,"œ600,000.00","œ1,800,000.00",Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to People
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",Acorn Education,SME,"05019430
 
 ",BL2 1BX,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",Agricultural and Rural CIC,SME,"07003228
 ",SK6 4BA ,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",CVS Specialist Tutors,SME,"06153495
 ",SK10 4SZ ,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",Educ8 Liverpool,SME,"07552260
 ",LE3 1HR,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",Groundwork MSSTT,SME,3233208,M17 1TU ,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",In School Out Teaching,SME,Does not have one,SK4 5AB,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",Next Level Learning,SME,"06277818
 ",M28 7DH,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",Nisai Academy,SME,"05030261
 ",HA1 1XB ,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",Norman Mackie,SME,"03889154
 ",SK15 1EB ,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",Professional Learning Systems,SME,"09607876
 ",M3 4EN ,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",Prestige College,SME,"08422831
 ",SK3 0EX,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",Pure Innovations,SME,"05241249
 ",SK3 0RF ,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",SMS Education,SME,"08720021
 ",SK4 5HS ,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",Sport Works,SME,"09213501
 ",WA4 3DU ,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",Starlight ,SME,"L43803000
 ",SK8 4JQ ,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",Teaching Personnel,SME,"03225158
 ",AL7 1GL ,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",The Manchester College,SME,"10139143
 ",M11 2WH ,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",The National Teaching & Advisory Service,SME,"06779537
 ",SK9 2TB ,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",The Prince's Trust,SME,"RC000772
 ",M5 5WG ,
1401,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Alternative Provision and One to One Tutoring Services ,Tender,Framework Agreement,01/03/2016,36,48,28/02/2019,No,28/02/2020,01/03/2018,"œ43,000.00","œ172,000.00",Together Trust,SME,301722,SK8 1JE ,
1408,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,"Stockport Information, advice and support",Tender,Contract,01/04/2016,24,36,31/03/2018,No,31/03/2018,31/10/2017,"œ50,000.00","œ150,000.00",KIDS,VCSE,1346252,N1 8HX,Stockport- Services to People
1415,Stockport Council,191000-Facilities & Management Services : Advertising : ,Provision of an Advertising Service on agreed sites in the Borough of Trafford and/or Stockport,Tender,Contract,01/12/2015,24,48,30/11/2017,No,30/11/2019,30/11/2018,Income,Income,Marketing Force Limited,Other,3744053,SL9 7PZ,Stockport- Corporate & Support Services
1423,Stockport Council,201800-Financial Services : Insurance : ,Terrorism Insurance Cover - Stockport Council ,RFQ,Contract,29/11/2015,12,12,28/11/2016,No,28/11/2017,01/08/2016,"œ42,900.00","œ42,900.00",Ark Syndicate Management Ltd,SME,05887810,EC3M 3AD,Stockport- Corporate & Support Services
1444,Stockport Council,371000-Utilities : Electricity : ,"UMS, HH & NHH: 'Electricity for: Houldsworth Business and Arts Centre (HH), Street Lighting (HH-UMS), and Feeder Pillar Station Road (NHH)",Call Off (External),Contract,01/04/2015,48,48,31/03/2019,No,31/03/2019,01/04/2018,"œ454,047.00","œ1,816,188.00",Npower,Other,03653277,SN5 6PB,Stockport- Corporate & Support Services
1453,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance", Framework for Construction Works and Highways Maintenance Services and Support,OJEU,Framework Agreement,01/10/2015,24,48,30/09/2017,No,30/09/2017,31/03/2017,"œ450,000.00","œ1,800,000.00",Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to Place
1453,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance", Framework for Construction Works and Highways Maintenance Services and Support,OJEU,Framework Agreement,02/10/2015,24,48,01/10/2017,No,30/09/2017,31/03/2017,"œ90,000.00","œ360,000.00",JPCS,SME,2776886,SY14 8LU,
1453,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance", Framework for Construction Works and Highways Maintenance Services and Support,OJEU,Framework Agreement,02/10/2015,24,48,01/10/2017,No,30/09/2017,31/03/2017,"œ90,000.00","œ360,000.00",J Hopkins (contractors) Ltd,SME,1112562,M17 1LP,
1453,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance", Framework for Construction Works and Highways Maintenance Services and Support,OJEU,Framework Agreement,02/10/2015,24,48,01/10/2017,No,30/09/2017,31/03/2017,"œ90,000.00","œ360,000.00",Eric Wright Civil Engineering Ltd,SME,2565379,PR5 6AW,
1453,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance", Framework for Construction Works and Highways Maintenance Services and Support,OJEU,Framework Agreement,02/10/2015,24,48,01/10/2017,No,30/09/2017,31/03/2017,"œ90,000.00","œ360,000.00", Dowhigh Limited,SME,1210665, L30 6UH,
1453,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance", Framework for Construction Works and Highways Maintenance Services and Support,OJEU,Framework Agreement,02/10/2015,24,48,01/10/2017,No,30/09/2017,31/03/2017,"œ90,000.00","œ360,000.00",Bramhall Surfacing Ltd,SME,3703545, SK4 1NN,
1464,Stockport Council,371100-Utilities : Gas : ,Gas,Call Off (External),Contract,01/09/2015,12,12,01/09/2016,No,01/09/2016,01/08/2016,"œ925,000.00","œ925,000.00",Corona Energy,Other,0324 1012,WD17 1JW,Stockport- Corporate & Support Services
1465,Stockport Council,371000-Utilities : Electricity : ,NHH Electricity,Call Off (External),Contract,01/09/2015,12,12,30/09/2016,No,30/09/2016,01/08/2016,"œ1,093,321.00","œ1,093,321.00",Scottish & Southern Electric Plc,Other,SC/17/19,PH1 3AQ,Stockport- Corporate & Support Services
1466,Stockport Council,371000-Utilities : Electricity : ,HH Electricity,Call Off (External),Contract,01/11/2015,10,10,31/08/2016,No,31/08/2016,01/08/2016,"œ1,247,507.00","œ1,039,589.17",Npower,Other,3653277,SN5 6PB,Stockport- Corporate & Support Services
1571,Stockport Council,152100-Consultancy : Strategic Planning : ,External Provision of Planning Consultancy Services,RFQ,Contract,20/06/2016,36,36,19/06/2019,No,19/06/2019,20/06/2017,"œ8,333.00","œ24,999.00",Hollissvincent,SME,110580459,M3 1SQ,Stockport- Services to Place
1578,Stockport Council,Social Care Services: Adults,Carer Support Service (Supporting MH Recovery),OJEU,Contract,01/11/2015,29,53,31/03/2018,No,31/03/2018,01/03/2017,"œ57,245.00","œ252,832.08",Stockport & District Mind,VCSE,5879337,SK1 3NP,Stockport- Services to People
1579,Stockport Council,Social Care Services: Adults,LD Supported Living Contract 103.8 (Phase 6),Mini Tender,Contract,09/05/2016,36,48,08/05/2019,No,08/05/2020,01/11/2018,"œ320,924.25","œ1,283,697.00",Fitzroy Support,VCSE,2699902,GU32 3JY,Stockport- Services to People
1595,Stockport Council,271501-Information Communication Technology : Services : ,Integrated Library Management system,Call Off (External),Contract,01/04/2013,48,48,31/03/2017,No,31/03/2017,01/08/2016,"œ20,500.00","œ82,000.00",Civica UK Ltd,Other,01628868,SW15 6AR,Stockport- Corporate & Support Services
1606,Stockport Council,SOCIAL CARE SERVICES : Adult,Day Care Sevices,OJEU,Framework Agreement,01/04/2016,36,48,31/03/2019,No,31/03/2020,01/04/2017,"œ1,100,000.00","œ4,400,000.00",Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to People
1606,Stockport Council,SOCIAL CARE SERVICES : Adult,Day Care Sevices,OJEU,Framework Agreement,01/07/2016,36,48,30/06/2019,No,30/06/2020,01/04/2017,"œ1,100,000.00","œ4,400,000.00",Altruistic Care t/a plane tree,SME,2916556,UB3 2RR,
1606,Stockport Council,SOCIAL CARE SERVICES : Adult,Day Care Sevices,OJEU,Framework Agreement,01/07/2016,36,48,30/06/2019,No,30/06/2020,01/04/2017,"œ1,100,000.00","œ4,400,000.00",Disability Stockport,VCSE,1133529,SK1 1EG,
1606,Stockport Council,SOCIAL CARE SERVICES : Adult,Day Care Sevices,OJEU,Framework Agreement,01/07/2016,36,48,30/06/2019,No,30/06/2020,01/04/2017,"œ1,100,000.00","œ4,400,000.00",Lifeline Project Ltd,SME,,OL12 9DP,
1606,Stockport Council,SOCIAL CARE SERVICES : Adult,Day Care Sevices,OJEU,Framework Agreement,01/07/2016,36,48,30/06/2019,No,30/06/2020,01/04/2017,"œ1,100,000.00","œ4,400,000.00",NAS Services Ltd,SME,,,
1606,Stockport Council,SOCIAL CARE SERVICES : Adult,Day Care Sevices,OJEU,Framework Agreement,01/07/2016,36,48,30/06/2019,No,30/06/2020,01/04/2017,"œ1,100,000.00","œ4,400,000.00",Pure Innovations,SME,,,
1606,Stockport Council,SOCIAL CARE SERVICES : Adult,Day Care Sevices,OJEU,Framework Agreement,01/07/2016,36,48,30/06/2019,No,30/06/2020,01/04/2017,"œ1,100,000.00","œ4,400,000.00",Step Out Stockport,SME,,,
1606,Stockport Council,SOCIAL CARE SERVICES : Adult,Day Care Sevices,OJEU,Framework Agreement,01/07/2016,36,48,30/06/2019,No,30/06/2020,01/04/2017,"œ1,100,000.00","œ4,400,000.00",Stockport CP Society,SME,,,
1606,Stockport Council,SOCIAL CARE SERVICES : Adult,Day Care Sevices,OJEU,Framework Agreement,01/07/2016,36,48,30/06/2019,No,30/06/2020,01/04/2017,"œ1,100,000.00","œ4,400,000.00",The Weekend Day Centre,SME,,,
1606,Stockport Council,SOCIAL CARE SERVICES : Adult,Day Care Sevices,OJEU,Framework Agreement,01/07/2016,36,48,30/06/2019,No,30/06/2020,01/04/2017,"œ1,100,000.00","œ4,400,000.00",Together Trust ,SME,,,
1612,Stockport Council,271700-Information Communication Technology : Telecommunications : Fixed,WAN & PSTN Lines,Mini Competition,Contract,01/12/2015,24,48,30/11/2017,No,30/11/2019,30/06/2017,"œ150,000.00","œ600,000.00",Virgin Media,Other,01785381,RG27 9UP,Stockport- Corporate & Support Services
1615,Stockport Council,361300-Public Transport : Passenger Transport : ,Adult Social Care Assisted Transport - Ad Hoc,RFQ,Contract,25/01/2016,12,12,16/01/2017,No,16/01/2017,01/09/2017,"œ21,000.00","œ21,000.00",Metro Taxis,SME,01238781,SK4 1DN,Stockport- Corporate & Support Services
1617,Stockport Council,261520-Human Resources : Training & Conferences : Training,Counter Terrorism Training,Exemption,Contract,14/12/2015,39,39,31/03/2019,No,31/03/2019,31/03/2019,"œ5,400.00","œ17,550.00",Mobedia,SME,05593917,SK9 7BQ,Stockport- Services to People
1631,Stockport Council,261517-Information Communication Technology : Services : Consultancy,Digital by Design - Programme Direction and Advisory Support,Mini Competition,Contract,11/04/2016,20,20,31/01/2018,No,31/01/2018,31/01/2018,"œ400,000.00","œ400,000.00",PricewaterhouseCoopers LLP,Other,OC303525,M2 3PW,Stockport- Corporate & Support Services
1633,Stockport Council,361300-Public Transport : Passenger Transport : ,School Swimming Transport,Tender,Contract,01/09/2016,36,48,31/08/2017,No,31/08/2019,01/06/2017,"œ103,409.02","œ413,636.08",Belle Vue Manchester Ltd,Other,3272014,Sk4 5DZ,Stockport- Services to People
1634,Stockport Council,201300-Financial Services : Cash Collection : ,Bailiff Services,Call Off (External),Contract,01/11/2014,36,60,31/10/2017,No,31/10/2019,31/10/2016,nil,nil,Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Corporate & Support Services
1634,Stockport Council,201300-Financial Services : Cash Collection : ,Bailiff Services,Call Off (External),Contract,01/11/2014,36,60,31/10/2017,No,31/10/2019,31/10/2016,nil,#VALUE!,Jacobs,Other,07923864,CH414PE,
1634,Stockport Council,201300-Financial Services : Cash Collection : ,Bailiff Services,Call Off (External),Contract,01/11/2014,36,60,31/10/2017,No,31/10/2019,31/10/2016,nil,#VALUE!,Rossendales,Other,05070065,BB4 4NB,
1634,Stockport Council,201300-Financial Services : Cash Collection : ,Bailiff Services,Call Off (External),Contract,01/11/2014,36,60,31/10/2017,No,31/10/2019,31/10/2016,nil,#VALUE!,Equita,SME,316 8371,NN1 4BZ,
1634,Stockport Council,201300-Financial Services : Cash Collection : ,Bailiff Services,Call Off (External),Contract,01/11/2014,36,60,31/10/2017,No,31/10/2019,31/10/2016,nil,#VALUE!,Phoenix,Other,3753408,CR0 2LX,
2241,Stockport Council,152200-Consultancy : Technical & Feasibility : ,"Open Space, sport and recreation assessment and audit",RFQ,Contract,23/03/2016,7,9,31/10/2016,No,31/12/2016,01/10/2016,"œ29,650.00","œ29,650.00","Knight, Kavanagh & Page ",Other,9145032,BL9 0UF,Stockport- Corporate & Support Services
2259,Stockport Council,Topographical Surveying Framework,Topographical Surveying Framework,Tender,Framework Agreement,,12,12,30/04/2017,,30/04/2018,01/02/2017,"œ75,000.00","œ75,000.00",SEP Ltd,Other,2019070,WN8  8LA,Stockport- Services to Place
