Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate
August,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,274.89,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,274.89,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,37.5,FLYBE BRITISH EUROPEAN,Immigration Group
August,Economy,UK,UK,262.3,BRITISH AIRWAYS,Strategic Director Border
August,Economy,UK,UK,159.29,BRITISH AIRWAYS,Strategic Director Border
August,Economy,UK,UK,166.29,BRITISH AIRWAYS,Strategic Director Border
August,Economy,UK,UK,166.29,BRITISH AIRWAYS,Strategic Director Border
August,Economy,UK,UK,199.29,BRITISH AIRWAYS,Resource Management Group
September,Economy,UK,UK,82.84,BRITISH AIRWAYS,Strategic Director Border
August,Economy,UK,UK,206.04,FLYBE BRITISH EUROPEAN,Immigration Group
September,Economy,UK,UK,82.84,BRITISH AIRWAYS,Resource Management Group
September,Economy,UK,UK,87.84,BRITISH AIRWAYS,Immigration Group
August,Economy,UK,UK,167.28,BRITISH AIRWAYS,Strategic Director Border
August,Economy,UK,UK,167.28,BRITISH AIRWAYS,Strategic Director Border
September,Economy,UK,UK,92.84,BRITISH AIRWAYS,Policy & Strategy
September,Economy,UK,UK,23,FLYBE BRITISH EUROPEAN,Policy & Strategy
September,Economy,UK,UK,37.5,FLYBE BRITISH EUROPEAN,Policy & Strategy
August,Business Class,UK,UK,278.29,BRITISH AIRWAYS,Criminal & Detention Group
August,Economy,UK,UK,219.56,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,229.29,BRITISH AIRWAYS,HROD
September,Economy,UK,UK,89.98,FLYBE BRITISH EUROPEAN,Immigration Group
August,Economy,UK,UK,75.06,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
August,Economy,UK,UK,79.92,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
August,Business Class,UK,UK,351.29,BRITISH AIRWAYS,HROD
August,Economy,UK,UK,116.06,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
August,Economy,UK,UK,270.59,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,75.06,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
August,Economy,UK,UK,79.92,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
August,Economy,UK,UK,60,BRITISH AIRWAYS,Policy & Strategy
August,Economy,UK,UK,93.7,FLYBE BRITISH EUROPEAN,Policy & Strategy
August,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,Policy & Strategy
August,Economy,UK,UK,116.91,FLYBE BRITISH EUROPEAN,Immigration Group
August,Economy,UK,UK,115.7,FLYBE BRITISH EUROPEAN,Crime & Policing Group
August,Business Class,UK,UK,122.99,BRITISH AIRWAYS,Criminal & Detention Group
August,Business Class,UK,UK,122.99,BRITISH AIRWAYS,Criminal & Detention Group
August,Economy,UK,UK,63.99,BRITISH AIRWAYS,Criminal & Detention Group
August,Economy,UK,UK,137.7,FLYBE BRITISH EUROPEAN,Crime & Policing Group
August,Economy,UK,UK,97.91,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
August,Economy,UK,UK,97.91,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
August,Economy,UK,UK,59.5,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
August,Economy,UK,UK,376.22,BRITISH AIRWAYS,Science & Research Group
September,Economy,UK,UK,112.83,BRITISH AIRWAYS,Strategy & Reform Directorate
October,Economy,UK,UK,107.83,BRITISH AIRWAYS,Strategy & Reform Directorate
August,Economy,UK,UK,140,FLYBE BRITISH EUROPEAN,Finance & Commercial Group
August,Economy,UK,UK,65.88,FLYBE BRITISH EUROPEAN,Finance & Commercial Group
August,Economy,UK,UK,113.68,BMI,Criminal & Detention Group
August,Economy,UK,UK,127.83,BRITISH AIRWAYS,Finance & Commercial Group
August,Economy,UK,UK,241.69,BMI,Criminal & Detention Group
August,Business Class,UK,UK,214.83,BRITISH AIRWAYS,Immigration Group
August,Business Class,UK,UK,214.83,BRITISH AIRWAYS,Immigration Group
August,Economy,UK,UK,138.04,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Business Class,UK,UK,107.99,BRITISH AIRWAYS,Criminal & Detention Group
September,Economy,UK,UK,126.29,BRITISH AIRWAYS,Strategic Director Border
August,Business Class,UK,UK,332.18,BMI,Legal Advisors Branch
August,Economy,UK,UK,162.91,FLYBE BRITISH EUROPEAN,HROD
September,Economy,UK,UK,181.29,BRITISH AIRWAYS,Strategic Director Border
August,Economy,UK,UK,131.91,FLYBE BRITISH EUROPEAN,Immigration Group
August,Economy,UK,UK,205.69,FLYBE BRITISH EUROPEAN,Immigration Group
August,Economy,UK,UK,132.91,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,68,BRITISH AIRWAYS,HROD
August,Economy,UK,UK,37.5,FLYBE BRITISH EUROPEAN,Immigration Group
September,Economy,UK,UK,181.29,BRITISH AIRWAYS,Strategic Director Border
August,Economy,UK,UK,132.91,FLYBE BRITISH EUROPEAN,Resource Management Group
August,Economy,UK,UK,60,BRITISH AIRWAYS,HROD
August,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Immigration Group
August,Economy,UK,UK,68,BRITISH AIRWAYS,HROD
September,Economy,UK,UK,112.83,BRITISH AIRWAYS,Strategy & Reform Directorate
September,Business Class,UK,UK,214.83,BRITISH AIRWAYS,Crime & Policing Group
August,Economy,UK,UK,202.28,BRITISH AIRWAYS,Strategic Director Border
August,Economy,UK,UK,171.84,BRITISH AIRWAYS,HROD
August,Business Class,UK,UK,294.83,BRITISH AIRWAYS,Strategy & Reform Directorate
August,Economy,UK,UK,381.18,BMI,Immigration Group
August,Economy,UK,UK,60,BRITISH AIRWAYS,HROD
August,Economy,UK,UK,222.91,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Strategic Director Border
September,Economy,UK,UK,127.04,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,228.91,FLYBE BRITISH EUROPEAN,Policy & Strategy
August,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,Policy & Strategy
August,Economy,UK,UK,147.91,FLYBE BRITISH EUROPEAN,Resource Management Group
November,Economy,UK,UK,125.55,FLYBE BRITISH EUROPEAN,Group HR
August,Economy,UK,UK,199.05,AIR FRANCE,Science & Research Group
August,Economy,UK,UK,93.2,FLYBE BRITISH EUROPEAN,Crime & Policing Group
August,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,Crime & Policing Group
August,Economy,UK,UK,174.94,FLYBE BRITISH EUROPEAN,Immigration Group
August,Economy,UK,UK,212.29,BRITISH AIRWAYS,Criminal & Detention Group
August,Economy,UK,UK,174.94,FLYBE BRITISH EUROPEAN,Immigration Group
October,Economy,UK,UK,74.84,BRITISH AIRWAYS,HROD
October,Business Class,UK,UK,440.3,BMI,Strategic Director Border
August,Economy,UK,UK,375.17,BRITISH AIRWAYS,Strategic Director Border
August,Economy,UK,UK,191.29,BRITISH AIRWAYS,Strategic Director Border
August,Economy,UK,UK,252.18,BMI,Strategic Director Border
August,Economy,UK,UK,202,BMI,Criminal & Detention Group
August,Economy,UK,UK,433.29,BRITISH AIRWAYS,Strategic Director Border
August,Economy,UK,UK,199.05,AIR FRANCE,Group HR
September,Economy,UK,UK,119.06,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
August,Economy,UK,UK,117.53,EASYJET,Strategic Director Border
August,Business Class,UK,UK,234.83,BRITISH AIRWAYS,Policy & Strategy
September,Economy,UK,UK,110.84,BRITISH AIRWAYS,Strategic Director Border
August,Economy,UK,UK,433.29,BRITISH AIRWAYS,Strategic Director Border
September,Economy,UK,UK,100.91,FLYBE BRITISH EUROPEAN,Crime & Policing Group
August,Economy,UK,UK,132.2,FLYBE BRITISH EUROPEAN,Crime & Policing Group
August,Economy,UK,UK,60,BRITISH AIRWAYS,Strategy & Reform Directorate
August,Economy,UK,UK,183.98,FLYBE BRITISH EUROPEAN,Strategic Director Border
September,Economy,UK,UK,168.89,BRITISH AIRWAYS,Immigration Group
September,Economy,UK,UK,168.89,BRITISH AIRWAYS,Immigration Group
August,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,Immigration Group
September,Economy,UK,UK,59.5,FLYBE BRITISH EUROPEAN,Crime & Policing Group
August,Economy,UK,UK,63.53,EASYJET,Strategic Director Border
September,Economy,UK,UK,136.29,BRITISH AIRWAYS,Strategic Director Border
November,Economy,UK,UK,93.28,BRITISH AIRWAYS,Immigration Group
August,Economy,UK,UK,80.85,BRITISH AIRWAYS,Strategic Director Border
August,Business Class,UK,UK,227.84,BRITISH AIRWAYS,HROD
August,Economy,UK,UK,214.91,FLYBE BRITISH EUROPEAN,Crime & Policing Group
September,Economy,UK,UK,4,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
September,Economy,UK,UK,37.5,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
September,Economy,UK,UK,37.5,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
September,Economy,UK,UK,4,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
September,Economy,UK,UK,37.5,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
September,Economy,UK,UK,167.28,BRITISH AIRWAYS,Strategic Director Border
September,Economy,UK,UK,147.77,BRITISH AIRWAYS,Strategy & Reform Directorate
August,Business Class,UK,UK,77,BRITISH AIRWAYS,Criminal & Detention Group
August,Economy,UK,UK,60,BRITISH AIRWAYS,Criminal & Detention Group
September,Economy,UK,UK,37.5,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
September,Economy,UK,UK,4,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
September,Economy,UK,UK,4,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
August,Economy,UK,UK,175.5,BMI,Strategic Director Border
September,Economy,UK,UK,65.85,BRITISH AIRWAYS,Crime & Policing Group
August,Economy,UK,UK,306.4,BMI,Strategic Director Border
August,Economy,UK,UK,223.29,BRITISH AIRWAYS,Strategic Director Border
September,Economy,UK,UK,186,BMI,Strategic Director Border
August,Business Class,UK,UK,401.28,BRITISH AIRWAYS,Immigration Group
August,Economy,UK,UK,181.29,BRITISH AIRWAYS,HROD
September,Economy,UK,UK,132.83,BRITISH AIRWAYS,HROD
August,Business Class,UK,UK,235.29,BRITISH AIRWAYS,HROD
August,Economy,UK,UK,130.98,BRITISH AIRWAYS,Immigration Group
August,Economy,UK,UK,91.85,BRITISH AIRWAYS,Immigration Group
August,Business Class,UK,UK,168.83,BRITISH AIRWAYS,Strategic Director Border
September,Economy,UK,UK,165.29,BRITISH AIRWAYS,HROD
August,Economy,UK,UK,144.77,FLYBE BRITISH EUROPEAN,Immigration Group
August,Economy,UK,UK,105.81,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,100.98,FLYBE BRITISH EUROPEAN,Immigration Group
September,Economy,UK,UK,75,FLYBE BRITISH EUROPEAN,HROD
September,Economy,UK,UK,190.91,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,80.85,BRITISH AIRWAYS,Strategic Director Border
August,Economy,UK,UK,92.85,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,113,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,111.98,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,111.98,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,92.98,FLYBE BRITISH EUROPEAN,Strategic Director Border
September,Business Class,UK,UK,107.98,BRITISH AIRWAYS,Strategic Director Border
August,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,173.91,FLYBE BRITISH EUROPEAN,Immigration Group
August,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Business Class,UK,UK,234.83,BRITISH AIRWAYS,Strategy & Reform Directorate
September,Economy,UK,UK,9,FLYBE BRITISH EUROPEAN,HROD
August,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,Immigration Group
August,Economy,UK,UK,63.5,FLYBE BRITISH EUROPEAN,Immigration Group
August,Business Class,UK,UK,234.83,BRITISH AIRWAYS,Immigration Group
August,Economy,UK,UK,73.99,BRITISH AIRWAYS,Strategic Director Border
August,Business Class,UK,UK,192.3,BRITISH AIRWAYS,Strategic Director Border
September,Economy,UK,UK,120.84,BRITISH AIRWAYS,Immigration Group
September,Economy,UK,UK,132.83,BRITISH AIRWAYS,Immigration Group
September,Economy,UK,UK,159.3,BRITISH AIRWAYS,Immigration Group
August,Economy,UK,UK,114,BMI,Immigration Group
August,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Immigration Group
August,Business Class,UK,UK,264.83,BRITISH AIRWAYS,Immigration Group
September,Economy,UK,UK,208,FLYBE BRITISH EUROPEAN,OSCT
September,Economy,UK,UK,49.28,FLYBE BRITISH EUROPEAN,Science & Research Group
August,Economy,UK,UK,111,FLYBE BRITISH EUROPEAN,Finance & Commercial Group
September,Economy,UK,UK,175.23,BRITISH AIRWAYS,Immigration Group
August,Business Class,UK,UK,283.29,BRITISH AIRWAYS,Strategic Director Border
September,Economy,UK,UK,143.04,FLYBE BRITISH EUROPEAN,Strategic Director Border
September,Economy,UK,UK,182.94,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,60,BRITISH AIRWAYS,Immigration Group
August,Economy,UK,UK,63.22,FLYBE BRITISH EUROPEAN,HROD
August,Economy,UK,UK,151.63,FLYBE BRITISH EUROPEAN,Immigration Group
August,Economy,UK,UK,142.85,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,Strategic Director Border
September,Economy,UK,UK,136.69,FLYBE BRITISH EUROPEAN,Immigration Group
August,Business Class,UK,UK,356.28,BRITISH AIRWAYS,Crime & Policing Group
September,Economy,UK,UK,361.28,BRITISH AIRWAYS,Strategic Director Border
September,Economy,UK,UK,262.3,BRITISH AIRWAYS,Immigration Group
September,Business Class,UK,UK,294.83,BRITISH AIRWAYS,Strategy & Reform Directorate
August,Economy,UK,UK,312.91,FLYBE BRITISH EUROPEAN,Immigration Group
September,Economy,UK,UK,143.77,FLYBE BRITISH EUROPEAN,Immigration Group
August,Economy,UK,UK,151.69,FLYBE BRITISH EUROPEAN,Immigration Group
September,Economy,UK,UK,48.85,BRITISH AIRWAYS,HROD
September,Economy,UK,UK,74.91,FLYBE BRITISH EUROPEAN,Crime & Policing Group
August,Economy,UK,UK,156.85,BRITISH AIRWAYS,Policy & Strategy
October,Economy,UK,UK,87.84,BRITISH AIRWAYS,Immigration Group
September,Economy,UK,UK,159.29,BRITISH AIRWAYS,Strategic Director Border
September,Business Class,UK,UK,294.83,BRITISH AIRWAYS,Criminal & Detention Group
August,Economy,UK,UK,204.29,BRITISH AIRWAYS,HROD
September,Economy,UK,UK,61.99,BRITISH AIRWAYS,HROD
September,Economy,UK,UK,201.4,BMI,Strategic Director Border
September,Economy,UK,UK,130.84,BRITISH AIRWAYS,Immigration Group
September,Business Class,UK,UK,214.83,BRITISH AIRWAYS,Immigration Group
September,Economy,UK,UK,125.84,BRITISH AIRWAYS,Immigration Group
September,Economy,UK,UK,129.29,BRITISH AIRWAYS,Strategic Director Border
October,Economy,UK,UK,90.84,BRITISH AIRWAYS,Resource Management Group
November,Economy,UK,UK,60,BRITISH AIRWAYS,Finance & Commercial Group
August,Economy,UK,UK,187.98,BRITISH AIRWAYS,Finance & Commercial Group
August,Economy,UK,UK,416.1,BMI,Strategic Director Border
September,Economy,UK,UK,95.84,BRITISH AIRWAYS,Criminal & Detention Group
August,Economy,UK,UK,152.53,LIVINGSTON,Science & Research Group
August,Economy,UK,UK,42.5,BRITISH AIRWAYS,Strategic Director Border
August,Business Class,UK,UK,356.28,BRITISH AIRWAYS,Crime & Policing Group
August,Business Class,UK,UK,264.83,BRITISH AIRWAYS,Strategic Director Border
September,Economy,UK,UK,152.83,BRITISH AIRWAYS,Immigration Group
August,Economy,UK,UK,181.06,FLYBE BRITISH EUROPEAN,Strategic Director Border
August,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,Strategic Director Border
September,Business Class,UK,UK,72,BRITISH AIRWAYS,Strategy & Reform Directorate
September,Economy,UK,UK,60,BRITISH AIRWAYS,Strategy & Reform Directorate
September,Economy,UK,UK,117.63,FLYBE BRITISH EUROPEAN,Immigration Group
September,Economy,UK,UK,199.04,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
August,Economy,UK,UK,406.1,BMI,Strategic Director Border
September,Economy,UK,UK,199.04,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
September,Economy,UK,UK,211.91,FLYBE BRITISH EUROPEAN,Strategic Director Border
September,Economy,UK,UK,117.63,FLYBE BRITISH EUROPEAN,Immigration Group
September,Economy,UK,UK,197.8,FLYBE BRITISH EUROPEAN,Strategic Director Border
September,Economy,UK,UK,368.22,BRITISH AIRWAYS,Strategy & Reform Directorate
September,Economy,UK,UK,368.22,BRITISH AIRWAYS,Strategy & Reform Directorate
September,Economy,UK,UK,25,BRITISH AIRWAYS,Strategy & Reform Directorate
September,Economy,UK,UK,60,BRITISH AIRWAYS,Strategy & Reform Directorate
October,Economy,UK,UK,156.28,BRITISH AIRWAYS,Strategic Director Border
September,Economy,UK,UK,184.83,BRITISH AIRWAYS,Strategic Director Border
September,Business Class,UK,UK,264.83,BRITISH AIRWAYS,Strategic Director Border
October,Economy,UK,UK,92.83,BRITISH AIRWAYS,Strategy & Reform Directorate
November,Economy,UK,UK,97.83,BRITISH AIRWAYS,Strategy & Reform Directorate
September,Economy,UK,UK,133.29,BRITISH AIRWAYS,Strategic Director Border
September,Economy,UK,UK,163.83,BRITISH AIRWAYS,Strategic Director Border
October,Economy,UK,UK,138.83,BRITISH AIRWAYS,Strategy & Reform Directorate
October,Economy,UK,UK,92.77,BRITISH AIRWAYS,Strategic Director Border
September,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,Strategic Director Border
September,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Immigration Group
September,Economy,UK,UK,60,BRITISH AIRWAYS,Strategy & Reform Directorate
September,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Immigration Group
August,Economy,UK,UK,0,BRITISH AIRWAYS,IPS
September,Business Class,UK,UK,0,BRITISH AIRWAYS,IPS
August,Economy,UK,UK,0,FLYBE BRITISH EUROPEAN,Immigration Group
August,Economy,UK,UK,0,BRITISH AIRWAYS,Policy & Strategy
August,Economy,UK,UK,0,FLYBE BRITISH EUROPEAN,Immigration Group
August,Business Class,UK,UK,0,BRITISH AIRWAYS,Immigration Group
September,Economy,UK,UK,120,FLYBE BRITISH EUROPEAN,CRB
September,Economy,UK,UK,120,FLYBE BRITISH EUROPEAN,CRB
September,Economy,UK,UK,88.5,FLYBE BRITISH EUROPEAN,CRB
September,Economy,UK,UK,88.5,FLYBE BRITISH EUROPEAN,CRB
September,Economy,UK,UK,50.31,FLYBE BRITISH EUROPEAN,CRB
September,Economy,UK,UK,381.18,BMI,IPS
September,Economy,UK,UK,199.03,FLYBE BRITISH EUROPEAN,IPS
September,Business Class,UK,UK,106.85,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,136.98,BRITISH AIRWAYS,IPS
September,Business Class,UK,UK,446.18,BMI,IPS
October,Economy,UK,UK,128.99,FLYBE BRITISH EUROPEAN,IPS
October,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,262.3,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,178.28,BRITISH AIRWAYS,IPS
September,Business Class,UK,UK,292.28,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,56.98,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,150.24,EASYJET,IPS
September,Economy,UK,UK,146.99,FLYBE BRITISH EUROPEAN,IPS
September,Business Class,UK,UK,264.83,BRITISH AIRWAYS,IPS
September,Business Class,UK,UK,178.98,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,94.24,EASYJET,IPS
September,Economy,UK,UK,146.99,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,93.13,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,269.25,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,186.85,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,137.83,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,88.81,FLYBE BRITISH EUROPEAN,IPS
September,Business Class,UK,UK,356.28,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,92.53,EASYJET,IPS
August,Economy,UK,UK,125.98,BMI BABY,IPS
September,Economy,UK,UK,383.18,BMI,IPS
September,Economy,UK,UK,221.18,BMI,IPS
September,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,IPS
September,Business Class,UK,UK,111.85,BRITISH AIRWAYS,IPS
October,Economy,UK,UK,123.97,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,262.3,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,213.98,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,531.18,BMI,IPS
September,Economy,UK,UK,190.53,EASYJET,IPS
September,Economy,UK,UK,210.53,EASYJET,IPS
October,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
October,Economy,UK,UK,91.5,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,136.48,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,210.53,EASYJET,IPS
September,Economy,UK,UK,210.53,EASYJET,IPS
September,Economy,UK,UK,95.98,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,281.3,BRITISH AIRWAYS,IPS
October,Economy,UK,UK,115.83,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,267.98,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
October,Economy,UK,UK,170.69,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,280.22,EASYJET,IPS
September,Economy,UK,UK,80,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,150.7,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,60,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,185.69,FLYBE BRITISH EUROPEAN,IPS
October,Economy,UK,UK,60,BRITISH AIRWAYS,IPS
November,Economy,UK,UK,170.77,FLYBE BRITISH EUROPEAN,IPS
November,Economy,UK,UK,142.77,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,310.28,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,121.5,FLYBE BRITISH EUROPEAN,IPS
October,Economy,UK,UK,109.05,FLYBE BRITISH EUROPEAN,IPS
August,Economy,UK,UK,137.53,EASYJET,IPS
September,Economy,UK,UK,281.3,BRITISH AIRWAYS,IPS
October,Economy,UK,UK,84.05,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,200.69,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,168.05,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,506.18,BMI,IPS
September,Economy,UK,UK,157.48,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,147.53,EASYJET,IPS
September,Economy,UK,UK,50.31,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
August,Economy,UK,UK,11,EASYJET,IPS
September,Economy,UK,UK,221.18,BMI,IPS
September,Economy,UK,UK,288.25,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,381.18,BMI,IPS
September,Economy,UK,UK,98.88,FLYBE BRITISH EUROPEAN,IPS
October,Economy,UK,UK,69.53,EASYJET,IPS
September,Economy,UK,UK,146.99,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,381.18,BMI,IPS
September,Business Class,UK,UK,401.28,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,85.24,EASYJET,IPS
September,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,157.48,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,190.53,EASYJET,IPS
September,Economy,UK,UK,418.28,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,239.77,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
October,Economy,UK,UK,70.53,EASYJET,IPS
September,Business Class,UK,UK,208.83,BRITISH AIRWAYS,IPS
October,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,235.69,FLYBE BRITISH EUROPEAN,IPS
September,Business Class,UK,UK,127.98,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,37.5,FLYBE BRITISH EUROPEAN,IPS
September,Business Class,UK,UK,214.83,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,106.53,EASYJET,IPS
September,Business Class,UK,UK,202.3,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,146.99,FLYBE BRITISH EUROPEAN,IPS
September,Business Class,UK,UK,407.28,BRITISH AIRWAYS,IPS
October,Economy,UK,UK,254.23,BRITISH AIRWAYS,IPS
October,Economy,UK,UK,69.85,FLYBE BRITISH EUROPEAN,IPS
October,Economy,UK,UK,60,BRITISH AIRWAYS,IPS
November,Economy,UK,UK,140.77,FLYBE BRITISH EUROPEAN,IPS
November,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
October,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,IPS
October,Economy,UK,UK,180.17,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,112.77,FLYBE BRITISH EUROPEAN,IPS
October,Economy,UK,UK,54.24,EASYJET,IPS
September,Business Class,UK,UK,133.85,BRITISH AIRWAYS,IPS
October,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
October,Economy,UK,UK,356.28,BRITISH AIRWAYS,IPS
October,Economy,UK,UK,205.18,BMI,IPS
September,Economy,UK,UK,69.88,FLYBE BRITISH EUROPEAN,IPS
September,Economy,UK,UK,531.18,BMI,IPS
September,Economy,UK,UK,303.98,BRITISH AIRWAYS,IPS
October,Business Class,UK,UK,18,BRITISH AIRWAYS,IPS
October,Economy,UK,UK,179.23,BRITISH AIRWAYS,IPS
September,Economy,UK,UK,157.53,EASYJET,IPS
October,Economy,UK,UK,74.05,FLYBE BRITISH EUROPEAN,IPS
October,Economy,UK,UK,89.53,EASYJET,IPS
October,Economy,UK,UK,358.18,BMI,IPS
October,Economy,UK,UK,176.61,FLYBE BRITISH EUROPEAN,IPS
November,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS
October,Economy,UK,UK,84.71,OJSC AK BARS AERO,IPS
