Organisation,Invoice ID,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced (£)
Rochdale,V000854837,27/11/2014,REDACTED - PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,2350
Rochdale,V000854841,27/11/2014,REDACTED - PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1895.25
Rochdale,V000847743,06/11/2014,REDACTED - PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1710
Rochdale,V000847744,06/11/2014,REDACTED - PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1686.91
Rochdale,V000847745,06/11/2014,REDACTED - PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1615
Rochdale,V000847747,06/11/2014,REDACTED - PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1786.14
Rochdale,V000847748,06/11/2014,REDACTED - PERSONAL DATA,Unclassifiable,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1683
Rochdale,V000847749,06/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,850
Rochdale,V000847750,06/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1190
Rochdale,V000847751,06/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1620
Rochdale,V000847752,06/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1620
Rochdale,V000847753,06/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1530
Rochdale,V000852486,19/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,1224
Rochdale,V000847754,06/11/2014,REDACTED - PERSONAL DATA,Public Transport,ECONOMY AND ENVIRONMENT,EDUCATION HOME TO SCHOOL,21050
Rochdale,V000849819,18/11/2014,PEARSON EDUCATION LIMITED,Education,EARLY HELP AND SCHOOLS,EDUCATIONAL PSYCHOLOGY SERVICE GENERAL,651.75
Rochdale,V000850343,18/11/2014,THE UNIVERSITY OF MANCHESTER,Human Resources,EARLY HELP AND SCHOOLS,EDUCATIONAL PSYCHOLOGY SERVICE GENERAL,1998
Rochdale,V000848984,12/11/2014,DICK WHITTINGTON GUEST HOUSE,Human Resources,ECONOMY AND ENVIRONMENT,EMERGENCY ACCOMMODATION,720
Rochdale,V000848985,12/11/2014,DICK WHITTINGTON GUEST HOUSE,Human Resources,ECONOMY AND ENVIRONMENT,EMERGENCY ACCOMMODATION,720
Rochdale,V000852534,20/11/2014,G AND A TAYLOR HOTELS LTD,Facilities & Management Services,ECONOMY AND ENVIRONMENT,EMERGENCY ACCOMMODATION,952
Rochdale,V000852440,19/11/2014,THE UNIVERSITY OF MANCHESTER,Human Resources,CHILDREN’S SOCIAL CARE,EMERGENCY DUTY TEAM,3325
Rochdale,V000848211,07/11/2014,CASTLEMERE COMMUNITY CENTRE,Unclassifiable,ECONOMY AND ENVIRONMENT,EMPLOYMENTS LINKS,1051.2
Rochdale,V000848212,07/11/2014,CASTLEMERE COMMUNITY CENTRE,Unclassifiable,ECONOMY AND ENVIRONMENT,EMPLOYMENTS LINKS,942.31
Rochdale,V000846717,04/11/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,EMPTY PROPERTY GRANT,7980
Rochdale,V000852538,26/11/2014,HRR SOLUTIONS,Building Construction Materials,ECONOMY AND ENVIRONMENT,EMPTY PROPERTY GRANT,7742.5
Rochdale,V000852539,26/11/2014,HRR SOLUTIONS,Building Construction Materials,ECONOMY AND ENVIRONMENT,EMPTY PROPERTY GRANT,2030
Rochdale,V000854618,26/11/2014,ROCHDALE HOUSING INITIATIVE,Housing Management,ECONOMY AND ENVIRONMENT,EMPTY PROPERTY GRANT,1025
Rochdale,V000847408,05/11/2014,TRAKM8 LIMITED,Vehicle Management,ECONOMY AND ENVIRONMENT,EMS TRANSFORMATION PROJECT PHASE 1 REV,2160
Rochdale,V000854804,27/11/2014,TELEREAL TRILLIUM,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,ENGLISH PARTNERSHIP,8550
Rochdale,V000848621,10/11/2014,BLUE ORCHID MANAGEMENT CONSULTANTS LTD,Consultancy,ECONOMY AND ENVIRONMENT,ENTERPRISE COACHING,25000
Rochdale,V000847384,03/11/2014,PHYSIO CONTROL UK SALES LTD,Healthcare,ECONOMY AND ENVIRONMENT,ENV HEAD OF SERVICE M AND SS,1950
Rochdale,V000852586,20/11/2014,BUREAU VERITAS UK LTD,Environmental Services,ECONOMY AND ENVIRONMENT,ENVIRONMENTAL HEALTH M&S,1679.64
Rochdale,V000846723,03/11/2014,MILNROW CRICKET CLUB,Arts & Leisure Services,CUSTOMERS & CORPORATE SERVICES,EVENTS FUND,2000
Rochdale,V000849374,17/11/2014,PAINS FIREWORKS LIMITED,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,EVENTS GENERAL,1980
Rochdale,V000849779,17/11/2014,PAINS FIREWORKS LIMITED,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,EVENTS GENERAL,1980
Rochdale,V000849780,17/11/2014,PAINS FIREWORKS LIMITED,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,EVENTS GENERAL,1980
Rochdale,V000776781,21/11/2014,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,EWO  GENERAL,1256.21
Rochdale,V000852875,21/11/2014,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,EWO  GENERAL,1405.05
Rochdale,V000854153,25/11/2014,RICOH UK LTD,Facilities & Management Services,EARLY HELP AND SCHOOLS,EWO  GENERAL,1989.34
Rochdale,V000848391,10/11/2014,ADVANCED CHILDCARE LIMITED,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,13285.67
Rochdale,V000848394,10/11/2014,ADVANCED CHILDCARE LIMITED,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,12400
Rochdale,V000848400,10/11/2014,ADVANCED CHILDCARE LIMITED,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,8852.67
Rochdale,V000854684,26/11/2014,ADVANCED CHILDCARE LIMITED,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,3011.34
Rochdale,V000854685,26/11/2014,ADVANCED CHILDCARE LIMITED,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,3155.49
Rochdale,V000854561,26/11/2014,AGR CARE SERVICES,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,10943
Rochdale,V000848578,10/11/2014,ALLIANCE CARE AND EDUCATION,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,13927.85
Rochdale,V000848581,10/11/2014,CARE TODAY CHILDRENS SERVICES,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,12377.99
Rochdale,V000854581,26/11/2014,CARE TODAY CHILDRENS SERVICES,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,12377.99
Rochdale,V000848582,10/11/2014,CHERISH UK LIMITED,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,7971.34
Rochdale,V000854586,26/11/2014,FOOTSTEPS A PATH TO CHANGE,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,15500
Rochdale,V000847851,06/11/2014,ISO TEACHING,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,1100
Rochdale,V000847852,06/11/2014,ISO TEACHING,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,1210
Rochdale,V000847853,06/11/2014,ISO TEACHING,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,1210
Rochdale,V000847854,06/11/2014,ISO TEACHING,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,770
Rochdale,V000848713,11/11/2014,KEYS CHILDCARE,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,11957.01
Rochdale,V000848714,11/11/2014,KEYS CHILDCARE,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,13285.67
Rochdale,V000848715,11/11/2014,KEYS CHILDCARE,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,5571.41
Rochdale,V000854587,26/11/2014,KEYS CHILDCARE,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,15500
Rochdale,V000848716,11/11/2014,LIFETIME OPPORTUNITIES,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,9920
Rochdale,V000848361,10/11/2014,POSSABILITIES CIC TRADING,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,928
Rochdale,V000854588,26/11/2014,PROGRESSIVE FUTURES CARE LTD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,10185.67
Rochdale,V000848723,11/11/2014,ROC NORTHWEST LTD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,16430
Rochdale,V000848535,10/11/2014,SOCIAL CARE SERVICES LIMITED,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,8525
Rochdale,V000848724,11/11/2014,SOCIAL CARE SERVICES LIMITED,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,7700
Rochdale,V000848727,11/11/2014,STEP AHEAD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,850
Rochdale,V000848728,11/11/2014,STEP AHEAD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,850
Rochdale,V000854530,26/11/2014,STEP AHEAD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,850
Rochdale,V000854533,26/11/2014,STEP AHEAD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,900
Rochdale,V000854535,26/11/2014,STEP AHEAD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,900
Rochdale,V000848730,11/11/2014,TRAX CARE LTD,Human Resources,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,19928.57
Rochdale,V000848732,11/11/2014,WHISTLEDAWN LTD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,15190
Rochdale,V000848733,11/11/2014,WHISTLEDAWN LTD,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,11270.72
Rochdale,V000848496,10/11/2014,WINGS SCHOOL,Education,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,36883
Rochdale,V000850556,18/11/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,FAIR ACCESS RESOURCES,1750
Rochdale,V000850558,18/11/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,FAIR ACCESS RESOURCES,1750
Rochdale,V000850559,18/11/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,FAIR ACCESS RESOURCES,1750
Rochdale,V000850560,18/11/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,FAIR ACCESS RESOURCES,1750
Rochdale,V000854613,26/11/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,FAIR ACCESS RESOURCES,1750
Rochdale,V000854614,26/11/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,FAIR ACCESS RESOURCES,1750
Rochdale,V000854615,26/11/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,FAIR ACCESS RESOURCES,1750
Rochdale,V000847659,05/11/2014,ARIEN DISTRIBUTION LIMITED,Mail Services ,CHILDREN’S SOCIAL CARE,FASHION CORNER PREMISES BUDGET,1150
Rochdale,V000848752,11/11/2014,CLICK FIRE AND SECURITY LTD,Health & Safety ,PROPERTY AND HIGHWAYS,FASHION CORNER WORKS TO NEW ACCOMMOD 348,2020
Rochdale,V000854729,27/11/2014,PLP CONSTRUCTION LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,FASHION CORNER WORKS TO NEW ACCOMMOD 348,17686.64
Rochdale,V000847564,04/11/2014,S T HEATINGS SERVICES LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,FASHION CORNER WORKS TO NEW ACCOMMOD 348,3816.55
Rochdale,V000855109,28/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,ECONOMY AND ENVIRONMENT,FIRGROVE PLAYING FIELDS,660.15
Rochdale,V000852405,19/11/2014,POST OFFICE COUNTERS LTD,Clothing,ECONOMY AND ENVIRONMENT,FLEET MAINTENANCE,1999.5
Rochdale,V000850251,18/11/2014,PROTON SOUTHERN LIMITED,Cleaning & Janitorial,ECONOMY AND ENVIRONMENT,FM PRIMARY CATERING OVERH,2895
Rochdale,V000850253,18/11/2014,PROTON SOUTHERN LIMITED,Cleaning & Janitorial,ECONOMY AND ENVIRONMENT,FM PRIMARY CATERING OVERH,3171
Rochdale,V000844333,05/11/2014,SICO EUROPE LTD,Furniture & Soft Furnishings,ECONOMY AND ENVIRONMENT,FM PRIMARY CATERING OVERH,4258.5
Rochdale,V000854657,26/11/2014,AMTOLL LIMITED,Cleaning & Janitorial,ECONOMY AND ENVIRONMENT,FM SCHOOL CLEANING OVERHE,651
Rochdale,V000852348,19/11/2014,REDACTED-PERSONAL DATA,Unclassifiable,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,831.6
Rochdale,V000852177,19/11/2014,ASHWORTH VIEW NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,3950.1
Rochdale,V000852179,19/11/2014,AUNT MARYS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,1871.1
Rochdale,V000852180,19/11/2014,BAMFORD PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,1871.1
Rochdale,V000852181,19/11/2014,BEECH HOUSE SCHOOL LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,11018.7
Rochdale,V000852183,19/11/2014,BRIGHT STARS CHILDCARE,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,5613.3
Rochdale,V000852184,19/11/2014,BUILDING BLOCKS DAY NURSERY NW LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,6860.7
Rochdale,V000852185,19/11/2014,BURNSIDE PRE-SCHOOL ACCOUNT,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,1455.3
Rochdale,V000847614,05/11/2014,BUTTERCUPS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,6523
Rochdale,V000852186,19/11/2014,BUTTERCUPS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,9147.6
Rochdale,V000852187,19/11/2014,BUTTONS & BOWS PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,4158
Rochdale,V000852188,19/11/2014,CABBAGE PATCH PRESCHOOL,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,5405.4
Rochdale,V000852344,19/11/2014,REDACTED-PERSONAL DATA,Unclassifiable,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,1247.4
Rochdale,V000852189,19/11/2014,CHANNINGS EARLY YEARS SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,6029.1
Rochdale,V000852248,19/11/2014,CHANNINGS EARLY YEARS SCHOOL,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,9000
Rochdale,V000852191,19/11/2014,CLOVERLEAF CHILDCARE,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,8939.7
Rochdale,V000852182,19/11/2014,COSY TOES CHILDCARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,15384.6
Rochdale,V000852213,19/11/2014,COSY TOES CHILDCARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,4573.8
Rochdale,V000852244,19/11/2014,COSY TOES CHILDCARE LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,2079
Rochdale,V000852192,19/11/2014,COSY TOES PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,623.7
Rochdale,V000852193,19/11/2014,COTS AND TOTS,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,2494.8
Rochdale,V000852211,19/11/2014,CRECHE N CO LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,14968.8
Rochdale,V000852194,19/11/2014,CRESCENT DAY NURSERY,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,14345.1
Rochdale,V000852195,19/11/2014,CRIMBLE CROFT PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,12474
Rochdale,V000852196,19/11/2014,CUTGATE PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,3534.3
Rochdale,V000852197,19/11/2014,DAISY CHAINS PRIVATE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,7484.4
Rochdale,V000852356,19/11/2014,REDACTED-PERSONAL DATA,Unclassifiable,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,1039.5
Rochdale,V000852190,19/11/2014,EDU PLAY LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,7276.5
Rochdale,V000852358,19/11/2014,REDACTED-PERSONAL DATA,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,1663.2
Rochdale,V000852198,19/11/2014,ELM STREET PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,5613.3
Rochdale,V000852199,19/11/2014,FAIRYFEET PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,14137.2
Rochdale,V000852200,19/11/2014,FIRST STEPS NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,5197.5
Rochdale,V000852202,19/11/2014,FISHERFIELD FARM NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,7692.3
Rochdale,V000852203,19/11/2014,FISHERFIELD FARM NURSERY,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,2910.6
Rochdale,V000852204,19/11/2014,FISHERFIELD FARM NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,9563.4
Rochdale,V000852201,19/11/2014,FISHERFIELD FARM NURSERY LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,5197.5
Rochdale,V000852206,19/11/2014,GENESIS DAY CARE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,28482.3
Rochdale,V000852205,19/11/2014,GENESIS DAY CARE NURSERY LIMITED,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,8316
Rochdale,V000852207,19/11/2014,HAPPY JACKS CHILDREN DAY NURSERY LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,5821.2
Rochdale,V000852210,19/11/2014,HAPPYTOTS,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,2286.9
Rochdale,V000852208,19/11/2014,HAWARDEN HOUSE PRIVATE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,831.6
Rochdale,V000852209,19/11/2014,HOLLINS NURSERY CIC,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,3950.1
Rochdale,V000854963,28/11/2014,HOPWOOD PARK PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,1039.5
Rochdale,V000852366,19/11/2014,REDACTED - PERSONAL DATA,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,831.6
Rochdale,V000854679,26/11/2014,REDACTED - PERSONAL DATA,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,1039.5
Rochdale,V000852231,19/11/2014,KR INVEST LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,5821.2
Rochdale,V000852214,19/11/2014,LAROCHE DAY CARE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,8523.9
Rochdale,V000852215,19/11/2014,LITTLE GEMS PDN,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,1247.4
Rochdale,V000852216,19/11/2014,LITTLE STEPS ROCHDALE LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,7068.6
Rochdale,V000855125,28/11/2014,NATURES NURSERY HUDDERSFIELD LTD,Horticultural,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,5000
Rochdale,V000855126,28/11/2014,NATURES NURSERY HUDDERSFIELD LTD,Horticultural,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,5810.8
Rochdale,V000852218,19/11/2014,NEWBOLD CHILDRENS CENTRE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,8523.9
Rochdale,V000852217,19/11/2014,NEWBOLD COMMUNITY PLAYGROUP,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,16839.9
Rochdale,V000852219,19/11/2014,NEWBOLD COMMUNITY PLAYGROUP,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,1455.3
Rochdale,V000852220,19/11/2014,NORDEN PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,7900.2
Rochdale,V000852221,19/11/2014,OULDER HILL PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,2079
Rochdale,V000852222,19/11/2014,RAINBOWS END PRIVATE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,2079
Rochdale,V000852223,19/11/2014,RHODES PRESCHOOL,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,6029.1
Rochdale,V000852178,19/11/2014,RIGHT START DAY NURSERIES LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,7068.6
Rochdale,V000852224,19/11/2014,ROLY POLEYS PRIVATE DAY NURSERY,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,10810.8
Rochdale,V000852225,19/11/2014,SANDBROOK CC NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,25155.9
Rochdale,V000852579,20/11/2014,REDACTED - PERSONAL DATA,Unclassifiable,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,831.6
Rochdale,V000852226,19/11/2014,SCAMPS PRE-SCHOOL PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,11434.5
Rochdale,V000852227,19/11/2014,SEEROS PRIVATE DAY NURSERY,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,28898.1
Rochdale,V000852690,20/11/2014,SHUTTERS VILLAGE NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,5197.5
Rochdale,V000852228,19/11/2014,SMALL WORLD NURSERIES LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,17879.4
Rochdale,V000852249,19/11/2014,SMALL WORLD NURSERIES LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,30000
Rochdale,V000852229,19/11/2014,SPARTH NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,1247.4
Rochdale,V000852230,19/11/2014,SPRING WILLOWS PLAYGROUP,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,3326.4
Rochdale,V000852232,19/11/2014,ST JOSEPHS PRESCHOOL NURSERY LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,9147.6
Rochdale,V000852250,19/11/2014,ST JOSEPHS PRESCHOOL NURSERY LTD,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,5070
