Organisation name,Organisation code,Effective date,Contract Reference Number,Open Contracting ID,Title of agreement,Contract type,Directorate/service responsible,Service category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: Proclass label,Procurement classification: CPV code,Contract Start Date,End Date,Review date,Last extension date,Contract value,Fixed cost/estimated cost,Irrecoverable VAT,Supplier Name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,545073,,2017/18 annual membership fee for ITSO,,Community and Environmental Services,,,2017/18 annual membership fee for ITSO,PASSENGER TRANSPORT-INFRASTRUCTURE,,,,,,,5275,,0,ITSO LIMITED,,,994831,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,541174,,Mental Health Training Courses for Norfolk Fire and Rescue Service,,Community and Environmental Services,,,Mental Health Training Courses for Norfolk Fire and Rescue Service,HR-TRAINING,,,,,,,5272,,0,CAMBRIDGESHIRE MENTAL WELFARE ASSOCIATION LTD,,,2273280,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544995,,NPLAW locum solicitor - FEB17-MAR17,,Resources,,,NPLAW locum solicitor - FEB17-MAR17,LEGAL.SOLICITORS,,,,,,,5200,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,542284,,Sitecore Software Maintenance & Support- Yr2 of 4 Maintenance for Sitecore Experience Database � Plus Edition (365/365 days) Period: 2016-Jun-30 � 2017-Jun-29,,Community and Environmental Services,,,Sitecore Software Maintenance & Support- Yr2 of 4 Maintenance for Sitecore Experience Database � Plus Edition (365/365 days) Period: 2016-Jun-30 � 2017-Jun-29,ICT-SOFTWARE & SAAS,,,,,,,5060,,0,SITECORE UK LTD,,,1921788,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536226,,E-Learning Provisions for December 2016 + 2 x dongles +1 month of contract each,,Children's Services,,,E-Learning Provisions for December 2016 + 2 x dongles +1 month of contract each,EDUCATION & LEARNING MATERIALS & EQUIPT,,,,,,,5044,,0,E-LEARNING SERVICE LTD,,,2262187,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,543881,,Norfolk Trading Standards March 2017,,Community and Environmental Services,,,Norfolk Trading Standards March 2017,LEGAL.COUNSEL'S FEES,,,,,,,5020.7,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539816,,Phase 1 work on Leadership Programme,,Children's Services,,,Phase 1 work on Leadership Programme,SCHOOLS-PROFESSIONAL,,,,,,,5018.9,,0,IMPACT ASSOCIATES LTD,,,2277277,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,504521,,NPLAW locum solicitor - Apr16-Jun16,,Resources,,,NPLAW locum solicitor - Apr16-Jun16,LEGAL.SOLICITORS,,,,,,,5000,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,504784,,Expert Assessment & Consultancy - SSCTR Cases - This is a call off purchase order for SSCTR cases on behalf of NPLAW from Apr16-Mar17 ,,Resources,,,Expert Assessment & Consultancy - SSCTR Cases - This is a call off purchase order for SSCTR cases on behalf of NPLAW from Apr16-Mar17 ,LEGAL.MEDICAL REPORTS,,,,,,,5000,,0,EXPERT ASSESSMENT AND CONSULTANCY LIMITED,,,602479,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536164,,Wolseley UK LTD - Various heating/bathroom parts - Mar 2017,,Community and Environmental Services,,,Wolseley UK LTD - Various heating/bathroom parts - Mar 2017,FM-BUILDING MAINTENANCE.PLUMBING,,,,,,,5000,,0,WOLSELEY PLC,,,76320,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536961,,Fee For Viking Exhibition Project (1st Installment),,Community and Environmental Services,,,Fee For Viking Exhibition Project (1st Installment),MUSEUMS-EXHIBITS,,,,,,,5000,,0,YORK MUSEUMS TRUST,,,198675,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,537720,,10 Additional Days to Support Raising the Attainment of Looked After Children,,Children's Services,,,10 Additional Days to Support Raising the Attainment of Looked After Children,GRANTS.GRANTS TO BUSINESSES,,,,,,,5000,,0,KANTARA EDUCATION LIMITED,,,2060951,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,538665,,Two Year Old Fund re Eaton Park Nursery - NCF 17/004 - Norfolk Community Foundation dated 18/01/17,,Children's Services,,,Two Year Old Fund re Eaton Park Nursery - NCF 17/004 - Norfolk Community Foundation dated 18/01/17,CHILDREN'S-PLAYGROUPS & NURSERIES,,,,,,,5000,,0,NORFOLK COMMUNITY FOUNDATION,,,1165780,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,540790,,Consultancy costs August - November 2016 (5 days),,Adult Social Care,,,Consultancy costs August - November 2016 (5 days),MANAGEMENT CONSULTANTS,,,,,,,5000,,0,MARKWICK ASSOCIATES,,,2187166,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,542643,,Funds for the development of the Sync in the City event,,Community and Environmental Services,,,Funds for the development of the Sync in the City event,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,5000,,0,UNIVERSITY OF EAST ANGLIA,,,98809,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,543103,,Delivery of Annual Data Survey in East of England,,Community and Environmental Services,,,Delivery of Annual Data Survey in East of England,RESEARCH AND EVALUATION,,,,,,,5000,,0,BRISTOL CITY MUSEUM & ART GALLERY,,,1219763,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544126,,Musical Director for Showstoppers event at Royal Norfolk Show - 6th June,,Children's Services,,,Musical Director for Showstoppers event at Royal Norfolk Show - 6th June,SCHOOLS-PROFESSIONAL,,,,,,,5000,,0,MARK DE-LISSER CR0 4QA,,,2291337,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544891,,Grant payment to: Great Yarmouth Borough Council - 2016/17 Strategic Development Grant to support GYBC Great Place funding award. ,,Community and Environmental Services,,,Grant payment to: Great Yarmouth Borough Council - 2016/17 Strategic Development Grant to support GYBC Great Place funding award. ,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,5000,,0,GREAT YARMOUTH BOROUGH COUNCIL,,,79684,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,504784,,Expert Assessment & Consultancy - SSCTR Cases - This is a call off purchase order for SSCTR cases on behalf of NPLAW from JAN17-Mar17 ,,Resources,,,Expert Assessment & Consultancy - SSCTR Cases - This is a call off purchase order for SSCTR cases on behalf of NPLAW from JAN17-Mar17 ,LEGAL.MEDICAL REPORTS,,,,,,,5000,,0,EXPERT ASSESSMENT AND CONSULTANCY LIMITED,,,602479,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,504521,,NPLAW locum solicitor - FEB17-MAR17,,Resources,,,NPLAW locum solicitor - FEB17-MAR17,LEGAL.SOLICITORS,,,,,,,5000,,0,Redacted,,,Redacted,,Yes,,,,
