ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,PAID DATE,NET AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-598.12,RESIDENTIAL LONG TERM,V001016065
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-598.12,RESIDENTIAL LONG TERM,V001016066
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,598.12,RESIDENTIAL LONG TERM,V001016067
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,598.12,RESIDENTIAL LONG TERM,V001016068
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,598.12,RESIDENTIAL LONG TERM,V001016069
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,623.30,RESIDENTIAL LONG TERM,V001016070
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-588.04,RESIDENTIAL LONG TERM,V001016071
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-588.04,RESIDENTIAL LONG TERM,V001016072
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,588.04,RESIDENTIAL LONG TERM,V001016073
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,588.04,RESIDENTIAL LONG TERM,V001016074
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,588.04,RESIDENTIAL LONG TERM,V001016075
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,-623.30,RESIDENTIAL LONG TERM,V001016076
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,-623.30,RESIDENTIAL LONG TERM,V001016077
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,623.30,RESIDENTIAL LONG TERM,V001016078
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,623.30,RESIDENTIAL LONG TERM,V001016079
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,623.30,RESIDENTIAL LONG TERM,V001016080
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,10/06/2016,-585.02,RESIDENTIAL LONG TERM,V001016081
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,10/06/2016,585.02,RESIDENTIAL LONG TERM,V001016082
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,10/06/2016,585.02,RESIDENTIAL LONG TERM,V001016083
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-551.60,RESIDENTIAL LONG TERM,V001016084
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-551.60,RESIDENTIAL LONG TERM,V001016085
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,551.60,RESIDENTIAL LONG TERM,V001016086
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,551.60,RESIDENTIAL LONG TERM,V001016087
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,551.60,RESIDENTIAL LONG TERM,V001016088
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,10/06/2016,-590.50,RESIDENTIAL LONG TERM,V001016089
ROCHDALE BOROUGH COUNCIL,10/06/2016,LEARNING DIS & MENTAL HEALTH,LEIGHTON HOUSE RETIREMENT HOME LIMITED,10/06/2016,590.50,RESIDENTIAL LONG TERM,V001016090
ROCHDALE BOROUGH COUNCIL,10/06/2016,LEARNING DIS & MENTAL HEALTH,LEIGHTON HOUSE RETIREMENT HOME LIMITED,10/06/2016,590.50,RESIDENTIAL LONG TERM,V001016091
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-859.52,NURSING LONG TERM,V001016095
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-859.52,NURSING LONG TERM,V001016096
ROCHDALE BOROUGH COUNCIL,10/06/2016,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LIMITED,10/06/2016,859.52,NURSING LONG TERM,V001016097
ROCHDALE BOROUGH COUNCIL,10/06/2016,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LIMITED,10/06/2016,859.52,NURSING LONG TERM,V001016098
ROCHDALE BOROUGH COUNCIL,10/06/2016,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LIMITED,10/06/2016,859.52,NURSING LONG TERM,V001016099
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,-623.30,RESIDENTIAL LONG TERM,V001016100
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,-623.30,RESIDENTIAL LONG TERM,V001016101
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,623.30,RESIDENTIAL LONG TERM,V001016102
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,623.30,RESIDENTIAL LONG TERM,V001016103
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,623.30,RESIDENTIAL LONG TERM,V001016104
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-571.70,NURSING LONG TERM,V001016105
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-571.70,NURSING LONG TERM,V001016106
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,571.70,NURSING LONG TERM,V001016107
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,571.70,NURSING LONG TERM,V001016108
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,571.70,NURSING LONG TERM,V001016109
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,10/06/2016,-884.70,RESIDENTIAL LONG TERM,V001016110
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,10/06/2016,884.70,RESIDENTIAL LONG TERM,V001016111
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,10/06/2016,884.70,RESIDENTIAL LONG TERM,V001016112
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,632.74,RESIDENTIAL LONG TERM,V001016113
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-859.52,NURSING LONG TERM,V001016117
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-859.52,NURSING LONG TERM,V001016118
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,859.52,NURSING LONG TERM,V001016119
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,859.52,NURSING LONG TERM,V001016120
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,859.52,NURSING LONG TERM,V001016121
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,802.48,RESIDENTIAL LONG TERM,V001016122
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,859.52,RESIDENTIAL LONG TERM,V001016123
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,859.52,RESIDENTIAL LONG TERM,V001016124
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,859.52,RESIDENTIAL LONG TERM,V001016125
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,859.52,RESIDENTIAL LONG TERM,V001016126
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-728.90,NURSING LONG TERM,V001016127
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-728.90,NURSING LONG TERM,V001016128
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,728.90,NURSING LONG TERM,V001016129
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,728.90,NURSING LONG TERM,V001016130
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,728.90,NURSING LONG TERM,V001016131
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-602.12,RESIDENTIAL LONG TERM,V001016132
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-602.12,RESIDENTIAL LONG TERM,V001016133
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,602.12,RESIDENTIAL LONG TERM,V001016134
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,602.12,RESIDENTIAL LONG TERM,V001016135
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,602.12,RESIDENTIAL LONG TERM,V001016136
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-608.18,RESIDENTIAL LONG TERM,V001016137
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-608.18,RESIDENTIAL LONG TERM,V001016138
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,608.18,RESIDENTIAL LONG TERM,V001016139
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,608.18,RESIDENTIAL LONG TERM,V001016140
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,608.18,RESIDENTIAL LONG TERM,V001016141
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,10/06/2016,-565.88,RESIDENTIAL LONG TERM,V001016142
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,10/06/2016,-565.88,RESIDENTIAL LONG TERM,V001016143
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,10/06/2016,565.88,RESIDENTIAL LONG TERM,V001016144
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,10/06/2016,565.88,RESIDENTIAL LONG TERM,V001016145
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,10/06/2016,565.88,RESIDENTIAL LONG TERM,V001016146
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-598.12,RESIDENTIAL LONG TERM,V001016147
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-598.12,RESIDENTIAL LONG TERM,V001016148
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,598.12,RESIDENTIAL LONG TERM,V001016149
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,598.12,RESIDENTIAL LONG TERM,V001016150
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,598.12,RESIDENTIAL LONG TERM,V001016151
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,10/06/2016,-593.30,RESIDENTIAL LONG TERM,V001016152
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,10/06/2016,593.30,RESIDENTIAL LONG TERM,V001016153
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,10/06/2016,593.30,RESIDENTIAL LONG TERM,V001016154
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,HURSTEAD HOUSE CARE HOME,10/06/2016,598.12,NURSING LONG TERM,V001016155
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,558.78,RESIDENTIAL LONG TERM,V001016159
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,10/06/2016,592.12,RESIDENTIAL LONG TERM,V001016165
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,HURSTEAD HOUSE CARE HOME,10/06/2016,588.68,RESIDENTIAL LONG TERM,V001016169
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,614.12,NURSING LONG TERM,V001016170
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,10/06/2016,-598.12,RESIDENTIAL LONG TERM,V001016172
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,10/06/2016,-598.12,RESIDENTIAL LONG TERM,V001016173
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,10/06/2016,598.12,RESIDENTIAL LONG TERM,V001016174
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,10/06/2016,598.12,RESIDENTIAL LONG TERM,V001016175
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,10/06/2016,598.12,RESIDENTIAL LONG TERM,V001016176
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,599.36,RESIDENTIAL LONG TERM,V001016179
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,10/06/2016,542.56,RESIDENTIAL LONG TERM,V001016180
ROCHDALE BOROUGH COUNCIL,10/06/2016,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LIMITED,10/06/2016,859.52,RESIDENTIAL LONG TERM,V001016181
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,-529.10,RESIDENTIAL LONG TERM,V001016182
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,-529.10,RESIDENTIAL LONG TERM,V001016183
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,529.10,RESIDENTIAL LONG TERM,V001016184
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,529.10,RESIDENTIAL LONG TERM,V001016185
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,10/06/2016,529.10,RESIDENTIAL LONG TERM,V001016186
ROCHDALE BOROUGH COUNCIL,10/06/2016,LEARNING DIS & MENTAL HEALTH,FOUR SEASONS HEALTHCARE,10/06/2016,629.36,RESIDENTIAL LONG TERM,V001016190
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-598.12,RESIDENTIAL LONG TERM,V001016191
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-598.12,RESIDENTIAL LONG TERM,V001016192
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,598.12,RESIDENTIAL LONG TERM,V001016193
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,598.12,RESIDENTIAL LONG TERM,V001016194
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,598.12,RESIDENTIAL LONG TERM,V001016195
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-884.70,RESIDENTIAL LONG TERM,V001016196
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-884.70,RESIDENTIAL LONG TERM,V001016197
ROCHDALE BOROUGH COUNCIL,10/06/2016,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LIMITED,10/06/2016,884.70,RESIDENTIAL LONG TERM,V001016198
ROCHDALE BOROUGH COUNCIL,10/06/2016,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LIMITED,10/06/2016,884.70,RESIDENTIAL LONG TERM,V001016199
ROCHDALE BOROUGH COUNCIL,10/06/2016,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LIMITED,10/06/2016,884.70,RESIDENTIAL LONG TERM,V001016200
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,10/06/2016,-598.12,RESIDENTIAL LONG TERM,V001016201
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,10/06/2016,598.12,RESIDENTIAL LONG TERM,V001016202
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,10/06/2016,598.12,RESIDENTIAL LONG TERM,V001016203
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,10/06/2016,-518.62,RESIDENTIAL LONG TERM,V001016204
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,10/06/2016,518.62,RESIDENTIAL LONG TERM,V001016205
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,10/06/2016,518.62,RESIDENTIAL LONG TERM,V001016206
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-631.30,RESIDENTIAL LONG TERM,V001016210
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-631.30,RESIDENTIAL LONG TERM,V001016211
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,631.30,RESIDENTIAL LONG TERM,V001016212
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,631.30,RESIDENTIAL LONG TERM,V001016213
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,631.30,RESIDENTIAL LONG TERM,V001016214
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,10/06/2016,623.30,RESIDENTIAL LONG TERM,V001016215
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-561.72,RESIDENTIAL LONG TERM,V001016217
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,-561.72,RESIDENTIAL LONG TERM,V001016218
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,561.72,RESIDENTIAL LONG TERM,V001016219
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,561.72,RESIDENTIAL LONG TERM,V001016220
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,10/06/2016,561.72,RESIDENTIAL LONG TERM,V001016221
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,10/06/2016,547.72,RESIDENTIAL LONG TERM,V001016222
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,10/06/2016,-566.04,RESIDENTIAL LONG TERM,V001016223
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,10/06/2016,-566.04,RESIDENTIAL LONG TERM,V001016224
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,10/06/2016,566.04,RESIDENTIAL LONG TERM,V001016225
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,10/06/2016,566.04,RESIDENTIAL LONG TERM,V001016226
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,10/06/2016,566.04,RESIDENTIAL LONG TERM,V001016227
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,10/06/2016,-511.94,RESIDENTIAL LONG TERM,V001016228
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,10/06/2016,511.94,RESIDENTIAL LONG TERM,V001016229
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,10/06/2016,511.94,RESIDENTIAL LONG TERM,V001016230
ROCHDALE BOROUGH COUNCIL,10/06/2016,LEARNING DIS & MENTAL HEALTH,EAGLE CARE HOMES LTD,10/06/2016,547.72,RESIDENTIAL LONG TERM,V001016231
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,10/06/2016,-635.30,RESIDENTIAL LONG TERM,V001016232
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,10/06/2016,635.30,RESIDENTIAL LONG TERM,V001016233
