Ratepayer Name,Property Address,PROPREF,RV
,"214 King Cross Road, Halifax, HX1 3JP",65516214,5200
,"215 King Cross Road, Halifax, HX1 3JL",65516215,7600
,"216 King Cross Road, Halifax, HX1 3JP",65516216,6200
,"219 King Cross Road, Halifax, HX1 3JL",65516219,7300
,"220 King Cross Road, Halifax, HX1 3JP",65516220,7100
,"221 King Cross Road, Halifax, HX1 3JL",65516221,7800
,"222 King Cross Road, Halifax, HX1 3JP",65516222,8100
,"229 King Cross Road, Halifax, HX1 3JL",65516229,8900
,"230 King Cross Road, Halifax, HX1 3JP",65516230,4800
Kitchen Elements Ltd,"231 King Cross Road, Halifax, HX1 3JL",65516231,7800
,"232 King Cross Road, Halifax, HX1 3JP",65516232,5500
,"242 King Cross Road, Halifax, HX1 3JP",65516242,5300
,"243 King Cross Road, Halifax, HX1 3JL",65516243,5700
,"245 King Cross Road, Halifax, HX1 3JL",65516245,4300
Polskie Specjaly Ltd,"246 King Cross Road, Halifax, HX1 3JP",65516246,7800
,"253 King Cross Road, Halifax, HX1 3JL",65516253,7300
,"255 King Cross Road, Halifax, HX1 3JL",65516255,3550
,"6 Edward House, King Cross Road, Halifax, HX1 3JL",65516701,1700
,"251 King Cross Road, & 2 Gledhills Yard, Halifax, HX1 3JL",65516702,5500
,"Palladium Buildings, 165 King Cross Road, Halifax, HX1 3LN",65516713,2200
,"Valeson House, 190 King Cross Road, Halifax, HX1 3LN",65516714,7700
,"Shop (Ground Floor ), 209 King Cross Road, Halifax, HX1 3JL",65516718,7700
,"Feathers Inn, 263 King Cross Road, Halifax, HX1 3JL",65516723,10000
,"224 King Cross Road, Halifax, HX1 3JP",65516728,6700
Birds Nest Halifax Ltd,"227/227a King Cross Road, Halifax, HX1 3JL",65516734,6500
,"Land At, 157 King Cross Road, Halifax, HX1 3LN",65516747,1075
,"Offices 1,2,7 & 8, Edward House, King Cross Road, Halifax             HX1 3JS",65516748,6000
,"238-240 King Cross Road, Halifax, HX1 3JP",65516754,6900
T & C Property Search Ltd,"Offices 6 & 7 2ND Floor, 159 King Cross Road, Halifax, HX1 3LN",65516768,1600
Thor Homecare Ltd,"Rear Of, 159 King Cross Road, Halifax, HX1 3LN",65516775,2550
,"207/207A King Cross Road, Halifax, HX1 3JL",65516777,9000
,"223A King Cross Road, Halifax, HX1 3JL",65516779,5100
,"257 King Cross Road, Halifax, HX1 3JL",65516781,6500
Bcs Detailing Ltd,"Offices 3 - 5, Edward House, 217 King Cross Road, Halifax              HX1 3JL",65516782,3750
,"261 King Cross Road, Halifax, HX1 3JL",65516783,7500
Dpt Consulting Ltd,"Office 1 1ST Floor, 159 King Cross Road, Halifax, HX1 3LN",65516788,1375
,"Front, 159 King Cross Road, Halifax, HX1 3LN",65516790,4900
,"7 King Cross Street, Halifax, HX1 2SH",65520007,5300
,"20 King Cross Street, Halifax, HX1 2SH",65520020,6100
,"22 King Cross Street, Halifax, HX1 2SH",65520022,4550
,"24 King Cross Street, Halifax, HX1 2SH",65520024,4250
,"Beehive & Cross Keys Inn, King Cross Street, Halifax, HX1 2SH",65520700,6000
The Pain & Injury Clinic Ltd,"1st Floor, 8 King Cross Street, Halifax, HX1 2SH",65520723,3200
,"19 King Cross Street, Halifax, HX1 2SH",65520727,5200
,"17 King Cross Street, Halifax, HX1 2SH",65520728,7100
A P N Business Consultants Ltd,"Part First Floor, 8 King Cross Street, Halifax, HX1 2SH",65520729,2050
,"Car Parking Spaces, R/O 17A King Cross Street, Halifax, HX1 2SH",65520738,3500
Card City Retail Ltd,"17 King Edward Street, Halifax, HX1 1BW",65524017,9400
Halifax Jeans Co Ltd,"19 King Edward Street, Halifax, HX1 1BW",65524019,8600
,"1 Kingsley Place, Halifax, HX1 3YQ",65532700,1750
,"5 Lane Ends, Shibden, Halifax, HX3 7UW",65566005,1500
,"13 Lane Ends Green, Hipperholme, Halifax, HX3 8EZ",65576013,3800
,"13A Lane Ends Green, Hipperholme, Halifax, HX3 8EZ",65576701,2650
,"9 Lane Ends Terrace, Halifax Road, Hipperholme, Halifax              HX3 8HJ",65580009,4950
,"Laurel Crescent, Halifax, HX2 8DF",65588700,1075
,"14 Law Lane, Southowram, Halifax, HX3 9QU",65592014,2400
,"Ground Floor, 16 Law Lane, Southowram, Halifax              HX3 9QU",65592016,3200
,"18 Law Lane, Southowram, Halifax, HX3 9QU",65592018,2400
,"20 Law Lane, Southowram, Halifax, HX3 9QU",65592020,3750
Ingfield Farm Shop Ltd,"Ingfield Farm Shop, Law Farm, Law Lane, Southowram, Halifax              HX3 9UG",65592706,4250
Ingfield Farm Shop Ltd,"Ingfield Farm Shop, Law Farm, Law Lane, Southowram           HX3 9UG",65592707,11250
M R G Fabrications (Yorkshire) Ltd,"Lee Mills, Lee Bridge, Halifax, HX3 5AT",65600700,11500
,"Unit 4, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",65600703,8100
,"1904 @ Dean Clough, 36 Lee Bridge, Halifax, HX3 5AT",65600705,5500
Eurofill Ltd,"Unit 14, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",65600713,3500
J & R Electrical Ltd,"Unit 6, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",65600716,8000
,"Unit 20, Lee Bridge Industrial Estate, 4 Lee Bridge, Halifax             HX3 5AT",65600718,5900
Hi-Tech Security And Fire Systems (Halifax) Ltd,"Unit 17, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 6RE",65600721,7500
Reynard Electronics Ltd,"Unit 18, Lee Bridge Industrial Estate, Lee Bridge, Halifax              HX3 5AT",65600722,6300
,"47 Lee Mount Road, Lee Mount, Halifax, HX3 5BQ",65608047,1825
,"11 Leeds Road, Hipperholme, Halifax, HX3 8ND",65612011,6100
,"Leeds Road, Halifax, HX3 7AE",65612701,2125
Holmeward Car Sales Ltd,"Leeds Road, Halifax, HX3 7AE",65612707,6100
Brighouse Upvc Windows Ltd,"Unit 2 Lower Brear, Leeds Road, Halifax, HX3 7AG",65612713,8600
Taylor Art Stone Ltd,"Unit 3 Lower Brea, Leeds Road, Halifax, HX3 7AQ",65612717,6300
B & C Electrical Ltd,"Unit 8 Lower Brea, Leeds Road, Halifax, HX3 7AQ",65612722,1875
W W Leese [Hx] Ltd,"Lower Brea, Leeds Road, Halifax, HX3 7AQ",65612723,4750
,"Unit 3 Lower Brear, Leeds Road, Halifax, HX3 7AG",65612725,6400
,"Unit 4 Lower Brear, Leeds Road, Halifax, HX3 7AG",65612727,1950
,"Unit 5 Lower Brear, Leeds Road, Halifax, HX3 7AG",65612728,1700
,"2 Leeds Road, Hipperholme, Halifax, HX3 8ND",65616002,6200
,"3 Leeds Road, Hipperholme, Halifax, HX3 8ND",65616003,4600
,"4 Leeds Road, Hipperholme, Halifax, HX3 8ND",65616004,7000
,"5 Leeds Road, Hipperholme, Halifax, HX3 8ND",65616005,7000
,"7 Leeds Road, Hipperholme, Halifax, HX3 8ND",65616007,4800
,"9 Leeds Road, Hipperholme, Halifax, HX3 8ND",65616009,4700
Alfie's Good Food Company Ltd,"12 Leeds Road, Hipperholme, Halifax, HX3 8ND",65616012,7000
,"13 Leeds Road, Hipperholme, Halifax, HX3 8ND",65616700,3900
,"Heavenly Harvest, Leeds Road, Hipperholme, Halifax              HX3 8ND",65616701,2400
Celebration Of Life Ltd,"Council Offices, Leeds Road, Hipperholme, Halifax             HX3 8ND",65616703,2700
,"Adj Whitehall Hotel, Leeds Road, Hipperholme, Halifax             HX3 8ND",65616708,4400
,"1a Leeds Road, Hipperholme, Halifax, HX3 8ND",65616710,2850
,"6 Leeds Road, Hipperholme, Halifax, HX3 8ND",65616715,8800
,"R/O Newsagents, Leeds Road, Hipperholme, Halifax              HX3 8ND",65616716,1150
,"Knowle Garage, Leeds Road, Lightcliffe, Halifax             HX3 8SX",65620701,3000
,"White Horse Inn, Leeds Road, Lightcliffe, Halifax             HX3 8SX",65620702,7450
Hemsworth And Co Ltd,"Offices 5 & 13 The Spire, Leeds Road, Lightcliffe, Halifax              HX3 8NU",65620709,3450
,"28 Lees Buildings, Halifax Road, Hipperholme, Halifax             HX3 8EW",65624028,3100
,"1 Lees Buildings, Halifax Road, Hipperholme, Halifax             HX3 8EW",65624700,8400
A & B Antiques Ltd,"9A/10A &11A, Lees Buildings, Halifax Road, Hipperholme",65624706,7000
Antique & Classic Interiors Ltd,"7 & 8 Lees Buildings, Halifax Road, Hipperholme, Halifax              HX3 8EW",65624707,6100
,"6A Lees Buildings, Halifax Road, Hipperholme, Halifax              HX3 8EW",65624708,2850
,"25 Ovenden Road, Halifax, HX3 5QG",65625025,5100
,"72 Ovenden Road, Halifax, HX3 5PN",65625072,7100
,"Enterprise House, 320 Ovenden Road, Halifax, HX3 5TJ",65625320,2650
,"352 Ovenden Road, Halifax, HX3 5TJ",65625352,3550
,"Ovenden Road, Halifax, HX3 5QG",65625702,8400
,"358, 360, 362 Ovenden Road, Halifax, HX3 5TJ",65625708,10000
Cuttin Edge Carpets Ltd,"1 Ovenden Road, Halifax, HX3 5PN",65625710,8600
,"7-9 Ovenden Road, Halifax, HX3 5PN",65625712,4400
Ys Parcels Ltd,"Unit 6 Victoria Park, Lightowler Road, Pellon, Halifax              HX1 5ND",65626703,7600
Core Distribution Ltd,"Unit 4, Victoria Park, Lightowler Road, Halifax              HX1 5ND",65626705,7600
Stone Square Ltd,"Unit 5 Victoria Park, Lightowler Road, Halifax, HX1 5ND",65626707,7500
,"Unit 7 Victoria Park, Lightowler Road, Halifax, HX1 5ND",65626708,7600
,"Unit 10 Victoria Park, Lightowler Road, Halifax, HX1 5ND",65626709,8000
T.B.T Joinery Ltd,"Unit 9 Victoria Park, Lightowler Road, Halifax, HX1 5ND",65626712,8300
,"Unit 11 Victoria Park, Lightowler Road, Pellon, Halifax              HX1 5ND",65626719,7600
,"Star Inn, 1 Lindwell, Greetland, Halifax             HX4 8HH",65644700,3500
,"Lister Lane, Halifax, HX1 5DN",65652700,7000
Willand Engineering Company (Halifax) Ltd,"Unit G Craven Edge Ent. Cntr, Hopwood Lane, Halifax, HX1 5EH",65652709,11750
,"10 Lord Street, Halifax, HX1 5AE",65676010,11250
,"12 Lord Street, Halifax, HX1 5AE",65676012,3250
,"20 Lord Street, Halifax, HX1 5AE",65676020,2550
Planet Personnel Ltd,"9 Lord Street, Halifax, HX1 5AE",65676708,4300
,"6 Lord Street, Halifax, HX1 5AE",65676709,6250
,"Cat I'Th' Well Inn, Lower Saltonstall, Saltonstall Lane, Wainstalls",65700700,5600
,"Luddenden Lane, Luddendenfoot, Halifax, HX2 6NH",65716700,4000
,"1 Lydgate, Northowram, Halifax, HX3 7EJ",65728001,3550
,"33 Lydgate, Northowram, Halifax, HX3 7EJ",65728033,3950
Anna's Beauty Centre Ltd,"18c Lydgate, Northowram, Halifax, HX3 7EJ",65728704,4500
,"18d Lydgate, Northowram, Halifax, HX3 7EJ",65728705,4750
,"18e Lydgate, Northowram, Halifax, HX3 7EJ",65728706,4350
,"18f Lydgate, Northowram, Halifax, HX3 7EJ",65728707,4600
,"18g Lydgate, Northowram, Halifax, HX3 7EJ",65728708,5000
J L Daynes Ltd,"18A &18B Lydgate, Northowram, Halifax, HX3 7EJ",65728709,10000
,"13 Manor Drive, Halifax, HX3 0DN",65732013,2350
,"Rooms 1 & 4 1st Floor, 6 Market Street, Halifax, HX1 1RW",65736712,3050
,"30 Marsh Lane, Southowram, Halifax, HX3 9UF",65748030,3950
Performance Glass Processing  Ltd,"Unit 10, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",65752701,8500
C & S Electrical Wholesalers Ltd,"Unit 4, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",65752706,8800
HX1 Window Supplies Ltd,"Unit 7, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",65752709,7900
Crj Holdings Ltd,"Unit 9, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",65752717,7000
Northern Municipal Spares Ltd,"Unit 17, Halifax Industrial Centre, Marshway, Halifax              HX1 5RW",65752719,10750
,"Queens Head Inn, 13 Mason Green, Illingworth, Halifax             HX2 8HG",65756700,10000
Wrought Worx Welding Ltd,"Maude Street, Greetland, Halifax, HX4 8AJ",65764700,5100
,"N/R 9 Maude Street, Greetland, Halifax, HX4 8AJ",65764702,3300
,"Cherry Tr & Heather Bk Cott, Mawson Place, Barkisland, Halifax              HX4 0BL",65766702,2900
,"2 Mayfield Grove, Halifax, HX1 3XH",65768002,2375
St Michaels Pre School,"St Michaels Pre School, Meadow Close, Shelf, Halifax              HX3 7QU",65776702,5000
,"42 Meadow Lane, Wheatley, Halifax, HX3 5JR",65780042,4000
,"44 Meadow Lane, Wheatley, Halifax, HX3 5JR",65780044,1775
Pathway Software (Uk) Ltd,"Office Suite E323, Dean Clough Mills, Halifax, HX3 5AX",65784843,5200
Floor-Rite Carpets Ltd,"Units 2 & 3, Miall Street, Halifax, HX1 4AE",65788706,9100
,"Miall Street Mills, Miall Street, Halifax, HX1 4AE",65788707,7000
Coton & Ellis Autos Ltd,"Miall Street Mills, Miall Street, Halifax, HX1 4AE",65788713,7700
,"2 Mile Cross Terrace, Halifax, HX1 4HP",65804002,2275
,"Mill Lane, Boothtown, Halifax, HX3 6TN",65808700,7700
,"Unit 5 Mill Lane, Boothtown, Halifax, HX3 6TR",65808705,5000
,"Mill Lane, Boothtown, Halifax, HX3 6TR",65808708,6100
,"Unit 4, Mill Lane, Halifax, HX3 6TR",65808714,2500
,"Unit 7, Mill Lane, Halifax, HX3 6TR",65808715,4650
V1 Engineering Ltd,"Unit 12, Mill Lane, Boothtown, Halifax              HX3 6TR",65808722,5000
Francis Moore (Specialist Weavers) Ltd,"Unit 14 Mill Lane, Boothtown, Halifax, HX3 6TR",65808728,4550
Fletcher Contracting Ltd,"Unit 2A, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",65808735,10500
Caldan Industrial Insulation Ltd,"Unit 1B, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",65808736,5700
,"Unit 2F, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",65808740,5900
H B K Ltd,"Unit 3C, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",65808741,8300
Cool-Lec Ltd,"Unit 1E, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",65808742,5700
Fast Doors Direct Ltd,"Unit 3A, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",65808745,8300
Automotive Paint Supplies Ltd,"Unit 3B, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",65808746,8300
,"Unit 18, Mill Lane, Boothtown, Halifax              HX3 6TR",65808750,1700
Queensbury Van Hire Ltd,"Land Rear Of, New Delight Works, Mill Lane, Boothtown            HX3 6TU",65808754,2550
,"Units 2D & 2E, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",65808755,10500
,"Unit 8, Mill Lane, Boothtown, Halifax              HX3 6TR",65808762,5100
,"Unit 1 Reflecting Roadstuds, Mill Lane, Boothtown, Halifax              HX3 6TR",65808764,6900
,"Unit 2 Reflecting Roadstuds, Mill Lane, Boothtown, Halifax              HX3 6TR",65808765,6300
,"16 Mill Lane, Mixenden, Halifax, HX2 8SE",65812703,1775
Magic Carpets (Halifax) Ltd,"4 Milner Street, Halifax, HX1 5NU",65816004,9800
,"19 Mixenden Road, Mixenden, Halifax, HX2 8PE",65824700,2850
R.Yung Ltd,"Mixenden Pharmacy, Mixenden Stones, Mixenden, Halifax              HX2 8RQ",65828701,6800
,"394 Moor End Road, Halifax, HX2 0RD",65844394,4800
,"Moorfield Street, Halifax, HX1 3AY",65848700,2900
M & R Bachra Ltd,"1 Morley View, Siddal, Halifax, HX3 9DJ",65868001,3500
,"15 Mostyn Mount, Ovenden, Halifax, HX3 5RJ",65872015,3000
,"Wheatsheaf Hotel, 42 Mount Pellon, Pellon, Halifax             HX2 0EE",65876705,9100
,"Fountain Head Inn, 45 Mount Pellon, Pellon, Halifax             HX2 0EE",65876706,4800
K Skips Ltd,"Haulage Yard, Balkram Edge Farm, Mount Tabor, Halifax              HX2 0UB",65888701,3700
Bostocks Chartered Accountants,"Empire House, 15 Mulcture Hall Road, Halifax, HX1 1SP",65900705,3650
,"Empire House, Mulcture Hall Road, Halifax, HX1 1SP",65900711,3800
,"23 Hud Hill, Northowram, Halifax, HX3 7LH",65909023,650
,"Lower Brockholes Farm, Lane Head Lane, Ogden, Halifax              HX2 8XQ",65921702,3050
,"Lower Fold Barn, Green Lane, Shelf, Halifax              HX3 7TR",65934701,5100
,"Brow Side Farm, Medley Lane, Northowram, Halifax              HX3 7SX",65935701,11000
Long Lover Livery Ltd,"Long Lover Farm, Giles Hill Lane, Shelf, Halifax              HX3 7TJ",65944701,3950
,"Office,  3 Marsden Gate Farm, Marsden Gate, Sowood, Stainland, Halifax              HX4 9LD",65946701,810
,"Roseneath, Greenroyd Avenue, Skircoat Green, Halifax              HX3 0JN",65947701,2550
,"Car Proud, Gaukroger Lane, Halifax, HX1 2DF",65949702,5200
,"C/O Car Proud, Gaukroger Lane, Halifax, HX1 2DF",65949703,5000
Halifax Plumbers Merchants Ltd,"150 Jubilee Road, Halifax, HX3 9LL",65958150,9200
,"6 Thorn View, New Road, Luddenden, Halifax              HX2 6QX",65961006,1200
,"2 Franklin Street, Halifax, HX1 4LH",65964002,3100
Advanced Auto Services [Halifax] Ltd,"Unit 4 Royal Industrial Park, New Bond Street, Halifax, HX1 5HA",68012703,7800
A M T Ltd,"New Bond Works, New Bond Street, Halifax, HX1 2NB",68012711,7500
Cheeky Monkeys [Northowram] Ltd,"28 Newlands View, Bradford Road, Northowram, Halifax              HX3 7HT",68018700,6100
,"54 New Lane, Siddal, Halifax, HX3 9AL",68024054,2000
,"Farthing Wood Nursery, New Lane, Skircoat Green, Halifax             HX3 0TE",68024701,11500
,"2 New Road, Halifax, HX1 2LH",68028002,3550
,"13 New Road, Halifax, HX1 2LH",68028013,5900
,"48 New Road, Halifax, HX1 2LH",68028048,6600
,"56 New Road, Halifax, HX1 2LH",68028056,6700
Gingerbread House Ltd,"100 New Street, Southowram, Halifax, HX3 9SN",68044700,6300
,"42/42A Newstead Avenue, Halifax, HX1 4TE",68056703,3200
J M Leisure Ltd,"Spring Rock Inn, Norland Road, Greetland, Halifax             HX4 8PT",68072701,9800
North Bridge Motors Ltd,"1 Old Lane, North Bridge, Halifax, HX3 6TD",68080701,3900
,"1 North Bridge, Halifax, HX1 1XH",68080703,3800
,"3 North Bridge, Halifax, HX1 1XH",68080704,4800
,"Lower Winter Edge Farm, Northedge Lane, Hipperholme, Halifax             HX3 8JG",68085700,920
Srw Ventures Ltd,"6 North Parade, Halifax, HX1 1YQ",68086006,7900
H & J Hitchens Electronics Ltd,"9 North Street, Greetland, Halifax, HX4 8DQ",68088009,2425
Express Office Solutions Ltd,"North Street, Greetland, Halifax, HX4 8DQ",68088702,890
,"7 Northgate, Halifax, HX1 1UR",68096007,7500
,"15 Northgate, Halifax, HX1 1UR",68096015,9200
,"87 Northgate, Halifax, HX1 1XF",68096087,4550
,"89 Northgate, Halifax, HX1 1XF",68096089,2650
,"99 Northgate, Halifax, HX1 1XF",68096099,4250
,"101 Northgate, Halifax, HX1 1XF",68096101,4600
,"103 Northgate, Halifax, HX1 1XF",68096103,4100
,"105 Northgate, Halifax, HX1 1XF",68096105,8600
,"9 Northowram Green, Northowram, Halifax, HX3 7JE",68100009,4400
,"56 Nursery Lane, Ovenden, Halifax, HX3 5SW",68104056,2800
,"Boggart Brig, Ogden Lane, Halifax, HX2 8XZ",68128705,1750
Red Eagle Motors Ltd,"360 Old Lane, Halifax, HX3 5QN",68132360,3700
,"Atlas Garage, Old Lane, Halifax, HX3 6TF",68132704,2225
Master Matting Co Ltd,"Units 2 & 6, Emstead Works, Old Lane, Halifax             HX3 5QN",68132706,11750
Testrite Ltd,"Woodfield Works, Old Lane, Halifax, HX3 6TF",68132714,5300
Specialist Controls Installations Ltd,"Unit 1, Emstead Works, Old Lane, Halifax             HX3 5QN",68132722,5900
.:Oomlout:. Ltd,"Unit 3, Emstead Works, Old Lane, Halifax             HX3 5QN",68132723,8000
Greenfield Controls Ltd,"Unit 4 Emstead Works, Old Lane, Halifax, HX3 5QN",68132727,11750
,"Unit 8 Emstead Works, Old Lane, Halifax, HX3 5QN",68132738,1425
,"Units 9/10 Emstead Works, Old Lane, Halifax, HX3 5QN",68132764,3850
,"Unit B1 (B) & B12, Lower Ladyship Mills, Old Lane, Halifax              HX3 5QN",68132768,5500
,"Unit B1 (A), Lower Ladyship Mills, Old Lane, Halifax              HX3 5QN",68132769,2400
,"Diamond House, Old Lane, Luddenden, Halifax             HX2 6QA",68136700,1425
Martins Mill Packaging Ltd,"Unit 4A Ladyship Business Pk, Mill Lane, Halifax, HX3 6TA",68136702,11750
Gasket Solutions Technology Ltd,"Unit 4B, Ladyship Industrial Park, Old Lane, Halifax              HX3 6TA",68136703,8100
Cjrs  (Halifax) Ltd,"1a Old Market, Halifax, HX1 1TN",68140001,5500
North Central Tyres Ltd,"Unit 1 Station Industrial Pk, Station Road, Luddendenfoot, HX2 6AD",68144701,5100
Metropolis Transport Ltd,"Unit 2 Station Industrial Pk, Station Road, Luddendenfoot, HX2 6AD",68144703,5000
,"Unit 9 Station Ind Estate, Old Station Road, Luddendenfoot, Halifax              HX2 6AD",68144714,7400
,"Unit 10 Station Ind Estate, Old Station Road, Luddendenfoot, Halifax              HX2 6AD",68144715,7400
,"3 Ovenden Road, Halifax, HX3 5PN",68156003,4050
,"5 Ovenden Road, Halifax, HX3 5PN",68156005,2500
,"15 Ovenden Road, Halifax, HX3 5PN",68156015,3100
,"23 Ovenden Road, Halifax, HX3 5PN",68156023,2200
,"98 Ovenden Road, Halifax, HX3 5QG",68156098,2025
Friendly Framing Ltd,"310 Ovenden Road, Halifax, HX3 5TJ",68156310,2100
,"350 Ovenden Road, Halifax, HX3 5TJ",68156350,2400
,"1a Ovenden Road, Halifax, HX3 5PN",68156705,5100
D & V Bars And Inns Ltd,"Friendly Inn, 39 Ovenden Road, Halifax, HX3 5QG",68156707,8900
Ovenden Private Day Nursery Ltd,"147 Ovenden Road, Halifax, HX3 5SA",68156708,9000
,"Adj 158 Ovenden Road, Halifax, HX3 5QG",68156715,11250
,"356 Ovenden Road, Halifax, HX3 5TJ",68156723,4250
,"11/13 Ovenden Road, Halifax, HX3 5PN",68156724,4200
,"23B Ovenden Road, Halifax, HX3 5PN",68156729,3100
,"23A Ovenden Road, Halifax, HX3 5PN",68156730,1900
,"228 Ovenden Way, Ovenden, Halifax, HX3 5NU",68160228,3300
,"230 Ovenden Way, Ovenden, Halifax, HX3 5NU",68160230,3350
,"234/236 Ovenden Way, Ovenden, Halifax, HX3 5NU",68160703,5600
1Tonne.Com.Ltd,"Grange Farm, (Richards Farm), Ovenden Wood, Halifax             HX2 0TG",68164702,6700
Firth Joinery Services Ltd,"Unit 5 Grange Farm, Ovenden Wood Road, Halifax, HX2 0TQ",68164706,5200
,"Unit 4 Grange Farm, Ovenden Wood Road, Halifax, HX2 0TQ",68164707,4000
,"Unit 3 Grange Farm, Ovenden Wood Road, Halifax, HX2 0TQ",68164712,5900
,"Unit 1 Grange Farm, Ovenden Wood Road, Halifax, HX2 0TQ",68164713,3400
,"Unit 2 Grange Farm, Ovenden Wood Road, Halifax, HX2 0TQ",68164714,3350
,"45 Oxford Lane, Siddal, Halifax, HX3 9BJ",68168045,5900
,"50 Oxford Lane, Siddal, Halifax, HX3 9BJ",68168050,3250
,"54 Oxford Lane, Siddal, Halifax, HX3 9BJ",68168054,1475
,"58 Oxford Lane, Siddal, Halifax, HX3 9BJ",68168058,1175
,"115 Oxford Lane, Siddal, Halifax, HX3 9BJ",68168115,2100
,"98a Oxford Lane, Siddal, Halifax, HX3 9BJ",68168706,4850
,"Cemetery Lodge, Paradise Lane, Warley, Halifax             HX2 7SH",68176700,1025
,"160 Park Dene, Hopwood Lane, Halifax, HX1 4DF",68190160,1625
,"2 Park Lane, Siddal, Halifax, HX3 9ED",68196002,4850
,"Exley Park, Park Lane, Siddal, Halifax              HX3 9ED",68196700,4050
,"Windmill Tavern, Park Square, Hough, Northowram           HX3 7BZ",68212700,11250
,"7 Park View, Stainland, Halifax, HX4 9HJ",68220005,2800
,"44 Parkinson Lane, Halifax, HX1 3XL",68224044,2150
,"46 Parkinson Lane, Halifax, HX1 3XL",68224046,3650
,"86 Parkinson Lane, Halifax, HX1 3QH",68224086,2750
,"94 Parkinson Lane, Halifax, HX1 3QH",68224094,3300
H.Bottomley [Tv] Ltd,"117 Parkinson Lane, Halifax, HX1 3QQ",68224117,1800
,"129 Parkinson Lane, Halifax, HX1 3QQ",68224129,6500
,"170 Parkinson Lane, Halifax, HX1 3UB",68224170,3350
,"172 Parkinson Lane, Halifax, HX1 3UB",68224172,2050
,"48 Parkinson Lane, Halifax, HX1 3XL",68224708,2075
,"163 Parkinson Lane, Halifax, HX1 3RA",68224734,4050
,"Northern Filter Supplies, Pear Street, Halifax, HX1 3UA",68232703,5000
,"Unit U2, Pear Street, Halifax, HX1 3UA",68232707,2750
,"Unit B2, 49 Pear Street, Halifax, HX1 3UA",68232711,2950
Maries Hair Studio Ltd,"192 Pellon Lane, Halifax, HX1 5RD",68236192,3300
,"196 Pellon Lane, Halifax, HX1 5RD",68236196,2150
,"198 Pellon Lane, Halifax, HX1 5RG",68236198,1950
,"226 Pellon Lane, Halifax, HX1 5RU",68236226,3350
,"36 Pellon Lane, Halifax, HX1 5SP",68236726,2650
,"Running Man Hotel, 84 Pellon Lane, Halifax, HX1 5QN",68236727,4500
,"Security House, 248 Pellon Lane, Halifax, HX1 4PZ",68236729,8300
,"Adj 300 Pellon Lane, Halifax, HX1 4PZ",68236731,6200
Rms Carpets Ltd,"Ground Floor, 354 Pellon Lane, Halifax, HX1 4QD",68236780,5800
,"30 Pellon Lane, Halifax, HX1 5SP",68236787,2600
,"1 Spring Hall House, Pellon New Road, Halifax, HX1 4GQ",68240704,5500
,"2 Spring Hall House, Pellon New Road, Halifax, HX1 4GQ",68240705,5600
,"Stables Fly Laithe Farm, Pepper Hill, Cock Hill Lane, Shelf                HX3 7TH",68244702,6300
,"Unit 4 Hill Top Farm, Pepper Hill, Cock Hill Lane, Shelf                HX3 7TH",68244705,3650
,"54 New Lane, Halifax, HX3 9AL",68248700,3750
,"Unit 29, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248702,2300
Seymour Engineering Ltd,"Siddal Hall Works, Phoebe Lane, Halifax, HX3 9AS",68248709,9700
,"Unit 15, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248713,3900
,"Unit 26, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248715,950
,"Unit 27, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248716,950
,"Unit 28, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248717,990
,"Unit 8, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248723,260
,"Unit 10, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248724,3800
P.O.S Ltd,"Unit 14, North Phoebe Lane Mills, Halifax, HX3 9EX",68248725,5500
,"Unit 16, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248732,4050
Hawkhead Bray & Son Ltd,"Unit 19A, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248736,570
Merit Projects Ltd,"Units 19,19B & 20, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248737,3700
,"Unit 35, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248745,4100
