Property Address,PROPREF,DATE_START,RV as at March 2014
"Unit 2A, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",65808735,01/04/2009,10500
"Unit 1B, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",65808736,02/02/2011,5700
"Unit 1A, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",65808737,01/07/2009,9400
"Unit 2F, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",65808740,14/10/2013,5900
"Unit 3C, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",65808741,01/04/2013,8300
"Unit 1E, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",65808742,01/04/2010,5700
"Unit 3A, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",65808745,25/07/2012,8300
"Unit 3B, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",65808746,04/01/2011,8300
"Unit 18, Mill Lane, Boothtown, Halifax              HX3 6TR",65808750,01/04/2013,1700
"16 Mill Lane, Mixenden, Halifax, HX2 8SE",65812703,01/04/2010,1775
"4 Milner Street, Halifax, HX1 5NU",65816004,01/04/2007,9800
"Mixenden Pharmacy, Mixenden Stones, Mixenden, Halifax              HX2 8RQ",65828701,01/04/2007,6800
"Junction Inn, 133 Moor Bottom Road, Illingworth, Halifax             HX2 9SX",65836701,28/08/2013,5300
"148 Moor End Road, Halifax, HX2 0SF",65844148,01/04/2007,1650
"394 Moor End Road, Halifax, HX2 0RD",65844394,01/04/2007,4800
"Moorfield Street, Halifax, HX1 3AY",65848700,01/04/2007,2900
"1 Morley View, Siddal, Halifax, HX3 9DJ",65868001,12/01/2013,3500
"15 Mostyn Mount, Ovenden, Halifax, HX3 5RJ",65872015,01/04/2007,3000
"Wheatsheaf Hotel, 42 Mount Pellon, Pellon, Halifax             HX2 0EE",65876705,25/07/2013,9100
"Fountain Head Inn, 45 Mount Pellon, Pellon, Halifax             HX2 0EE",65876706,01/04/2011,4800
"Haulage Yard, Balkram Edge Farm, Mount Tabor, Halifax              HX2 0UB",65888701,01/04/2009,3700
"Empire House, 15 Mulcture Hall Road, Halifax, HX1 1SP",65900705,01/04/2007,3650
"Empire House, Mulcture Hall Road, Halifax, HX1 1SP",65900711,01/10/2012,3800
"23 Hud Hill, Northowram, Halifax, HX3 7LH",65909023,01/04/2007,650
"Lower Brockholes Farm, Lane Head Lane, Ogden, Halifax              HX2 8XQ",65921702,01/04/2007,3050
"27 Kell Butts, Wainstalls Road, Wainstalls, Halifax              HX2 7TW",65928027,01/04/2009,2200
"Lower Fold Barn, Green Lane, Shelf, Halifax              HX3 7TR",65934701,01/04/2007,5100
"Brow Side Farm, Medley Lane, Northowram, Halifax              HX3 7SX",65935701,01/04/2010,11000
"Long Lover Farm, Giles Hill Lane, Shelf, Halifax              HX3 7TJ",65944701,01/04/2008,3950
"Office,  3 Marsden Gate Farm, Marsden Gate, Sowood, Stainland, Halifax              HX4 9LD",65946701,01/04/2008,810
"Roseneath, Greenroyd Avenue, Skircoat Green, Halifax              HX3 0JN",65947701,06/04/2009,2550
"High Cross Barn, High Cross Lane, Shelf, Halifax              HX3 7TH",65948701,01/04/2010,9700
"Car Proud, Gaukroger Lane, Halifax, HX1 2DF",65949702,28/01/2013,5200
"C/O Car Proud, Gaukroger Lane, Halifax, HX1 2DF",65949703,28/01/2013,5000
"150 Jubilee Road, Halifax, HX3 9LL",65958150,12/01/2014,9200
"Unit 4 Royal Industrial Park, New Bond Street, Halifax, HX1 5HA",68012703,01/04/2007,7800
"New Bond Works, New Bond Street, Halifax, HX1 2NB",68012711,01/04/2009,7500
"28 Newlands View, Bradford Road, Northowram, Halifax              HX3 7HT",68018700,01/04/2007,6100
"54 New Lane, Siddal, Halifax, HX3 9AL",68024054,01/04/2010,2000
"Farthing Wood Nursery, New Lane, Skircoat Green, Halifax             HX3 0TE",68024701,01/04/2007,11500
"2 New Road, Halifax, HX1 2LH",68028002,01/04/2010,3550
"13 New Road, Halifax, HX1 2LH",68028013,01/04/2007,5900
"48 New Road, Halifax, HX1 2LH",68028048,01/03/2012,6600
"56 New Road, Halifax, HX1 2LH",68028056,01/04/2007,6700
"The Pump Room, 35 New Road, Halifax, HX1 2LH",68028707,01/04/2010,8100
"New Road Business Park, New Road, Halifax, HX1 2LH",68028714,01/05/2012,10500
"New Road Bus Park (Empty), New Road, Halifax, HX1 2LH",68028715,01/09/2012,4600
"100 New Street, Southowram, Halifax, HX3 9SN",68044700,15/11/2009,6300
"42/42A Newstead Avenue, Halifax, HX1 4TE",68056703,01/02/2013,3200
"Spring Rock Inn, Norland Road, Greetland, Halifax             HX4 8PT",68072701,30/01/2012,9800
"1 Old Lane, North Bridge, Halifax, HX3 6TD",68080701,01/04/2007,3900
"1 North Bridge, Halifax, HX1 1XH",68080703,01/04/2010,3800
"3 North Bridge, Halifax, HX1 1XH",68080704,01/04/2010,4800
"Lower Winter Edge Farm, Northedge Lane, Hipperholme, Halifax             HX3 8JG",68085700,01/04/2007,920
"6 North Parade, Halifax, HX1 1YQ",68086006,01/04/2007,7900
"7 Northgate, Halifax, HX1 1UR",68096007,01/03/2011,7500
"15 Northgate, Halifax, HX1 1UR",68096015,15/02/2009,9200
"87 Northgate, Halifax, HX1 1XF",68096087,01/08/2008,4550
"89 Northgate, Halifax, HX1 1XF",68096089,01/04/2007,2650
"99 Northgate, Halifax, HX1 1XF",68096099,08/10/2012,4250
"101 Northgate, Halifax, HX1 1XF",68096101,01/04/2007,4600
"105 Northgate, Halifax, HX1 1XF",68096105,01/04/2007,8600
"9 Northowram Green, Northowram, Halifax, HX3 7JE",68100009,15/05/2011,4000
"Boggart Brig, Ogden Lane, Halifax, HX2 8XZ",68128705,01/04/2013,1750
"360 Old Lane, Halifax, HX3 5QN",68132360,06/01/2013,3700
"Atlas Garage, Old Lane, Halifax, HX3 6TF",68132704,01/04/2007,2225
"Units 2 & 6, Emstead Works, Old Lane, Halifax             HX3 5QN",68132706,01/04/2012,11750
"Woodfield Works, Old Lane, Halifax, HX3 6TF",68132714,01/04/2007,5300
"Unit 1, Emstead Works, Old Lane, Halifax             HX3 5QN",68132722,26/02/2010,5900
"Unit 3, Emstead Works, Old Lane, Halifax             HX3 5QN",68132723,01/01/2011,8000
"Unit 4 Emstead Works, Old Lane, Halifax, HX3 5QN",68132727,03/12/2013,11750
"Unit 8 Emstead Works, Old Lane, Halifax, HX3 5QN",68132738,01/04/2007,1425
"Units 9/10 Emstead Works, Old Lane, Halifax, HX3 5QN",68132764,02/12/2012,3850
"Unit B1 (A), Ladyship Industrial Estate, Old Lane, Halifax              HX3 5QN",68132765,01/02/2014,3350
"Diamond House, Old Lane, Luddenden, Halifax             HX2 6QA",68136700,01/04/2010,1425
"Unit 4A Ladyship Business Pk, Mill Lane, Halifax, HX3 6TA",68136702,01/01/2013,11750
"Unit 4B, Ladyship Industrial Park, Old Lane, Halifax              HX3 6TA",68136703,01/07/2013,8100
"1a Old Market, Halifax, HX1 1TN",68140001,24/02/2014,5600
"Unit 1 Station Industrial Pk, Station Road, Luddendenfoot, HX2 6AD",68144701,01/04/2007,5100
"Unit 9 Station Ind Estate, Old Station Road, Luddendenfoot, Halifax              HX2 6AD",68144714,03/08/2012,7400
"Unit 10 Station Ind Estate, Old Station Road, Luddendenfoot, Halifax              HX2 6AD",68144715,01/04/2012,7400
"5 Ovenden Road, Halifax, HX3 5PN",68156005,21/12/2007,2500
"7 Ovenden Road, Halifax, HX3 5PN",68156007,18/03/2009,4650
"15 Ovenden Road, Halifax, HX3 5PN",68156015,11/06/2012,3100
"23 Ovenden Road, Halifax, HX3 5PN",68156023,01/04/2007,2200
"98 Ovenden Road, Halifax, HX3 5QG",68156098,01/04/2007,2025
"310 Ovenden Road, Halifax, HX3 5TJ",68156310,01/04/2007,2100
"350 Ovenden Road, Halifax, HX3 5TJ",68156350,04/07/2010,2400
"354 Ovenden Road, Halifax, HX3 5TJ",68156354,01/04/2013,4000
"1a Ovenden Road, Halifax, HX3 5PN",68156705,01/04/2007,5100
"Adj 158 Ovenden Road, Halifax, HX3 5QG",68156715,01/04/2007,11250
"356 Ovenden Road, Halifax, HX3 5TJ",68156723,01/11/2013,4250
"11/13 Ovenden Road, Halifax, HX3 5PN",68156724,10/06/2010,4200
"23B Ovenden Road, Halifax, HX3 5PN",68156729,01/05/2011,3100
"R/O 1 Ovenden Road, Halifax, HX3 5PN",68156733,16/02/2013,2750
"228 Ovenden Way, Ovenden, Halifax, HX3 5NU",68160228,20/05/2011,3300
"230 Ovenden Way, Ovenden, Halifax, HX3 5NU",68160230,08/12/2008,3350
"232 Ovenden Way, Ovenden, Halifax, HX3 5NU",68160702,24/06/2011,3250
"234/236 Ovenden Way, Ovenden, Halifax, HX3 5NU",68160703,01/04/2007,5600
"Grange Farm, (Richards Farm), Ovenden Wood, Halifax             HX2 0TG",68164702,01/04/2007,6700
"Unit 5 Grange Farm, Ovenden Wood Road, Halifax, HX2 0TQ",68164706,01/03/2008,5200
"Unit 4 Grange Farm, Ovenden Wood Road, Halifax, HX2 0TQ",68164707,01/04/2007,4000
"Unit 3 Grange Farm, Ovenden Wood Road, Halifax, HX2 0TQ",68164712,06/11/2009,5900
"Unit 1 Grange Farm, Ovenden Wood Road, Halifax, HX2 0TQ",68164713,02/12/2008,3400
"Unit 2 Grange Farm, Ovenden Wood Road, Halifax, HX2 0TQ",68164714,01/07/2009,3350
"45 Oxford Lane, Siddal, Halifax, HX3 9BJ",68168045,08/07/2013,5900
"50 Oxford Lane, Siddal, Halifax, HX3 9BJ",68168050,11/09/2013,3250
"54 Oxford Lane, Siddal, Halifax, HX3 9BJ",68168054,13/07/2012,1475
"58 Oxford Lane, Siddal, Halifax, HX3 9BJ",68168058,01/04/2007,1175
"115 Oxford Lane, Siddal, Halifax, HX3 9BJ",68168115,01/04/2007,2100
"98a Oxford Lane, Siddal, Halifax, HX3 9BJ",68168706,09/12/2011,4850
"50A Oxford Lane, Siddal, Halifax, HX3 9BJ",68168711,01/04/2007,7600
"Cemetery Lodge, Paradise Lane, Warley, Halifax             HX2 7SH",68176700,01/04/2007,1025
"160 Park Dene, Hopwood Lane, Halifax, HX1 4DF",68190160,01/04/2010,1625
"2 Park Lane, Siddal, Halifax, HX3 9ED",68196002,01/04/2007,4850
"Exley Park, Park Lane, Siddal, Halifax              HX3 9ED",68196700,30/09/2012,4050
"7 Park View, Stainland, Halifax, HX4 9HJ",68220005,01/04/2007,2800
"46 Parkinson Lane, Halifax, HX1 3XL",68224046,01/04/2007,3650
"86 Parkinson Lane, Halifax, HX1 3QH",68224086,11/08/2011,2750
"90 Parkinson Lane, Halifax, HX1 3QH",68224090,01/12/2010,1875
"94 Parkinson Lane, Halifax, HX1 3QH",68224094,01/03/2013,3300
"117 Parkinson Lane, Halifax, HX1 3QQ",68224117,01/04/2007,1800
"129 Parkinson Lane, Halifax, HX1 3QQ",68224129,01/04/2007,6500
"170 Parkinson Lane, Halifax, HX1 3UB",68224170,01/04/2008,3350
"48 Parkinson Lane, Halifax, HX1 3XL",68224708,01/10/2008,2075
"Northern Filter Supplies, Pear Street, Halifax, HX1 3UA",68232703,01/04/2007,5000
"Unit U2, Pear Street, Halifax, HX1 3UA",68232707,01/04/2011,2750
"Unit B2, 49 Pear Street, Halifax, HX1 3UA",68232711,01/04/2011,2950
"192 Pellon Lane, Halifax, HX1 5RD",68236192,01/04/2007,3300
"196 Pellon Lane, Halifax, HX1 5RD",68236196,23/03/2012,2150
"198 Pellon Lane, Halifax, HX1 5RG",68236198,01/04/2011,1950
"226 Pellon Lane, Halifax, HX1 5RU",68236226,01/04/2007,3350
"36 Pellon Lane, Halifax, HX1 5SP",68236726,01/04/2007,2650
"Running Man Hotel, 84 Pellon Lane, Halifax, HX1 5QN",68236727,01/04/2007,4500
"Security House, 248 Pellon Lane, Halifax, HX1 4PZ",68236729,01/04/2007,8300
"Adj 300 Pellon Lane, Halifax, HX1 4PZ",68236731,01/04/2007,6200
"Ground Floor, 354 Pellon Lane, Halifax, HX1 4QD",68236780,01/06/2011,5800
"28 Pellon Lane, Halifax, HX1 5SP",68236786,20/08/2012,2250
"30 Pellon Lane, Halifax, HX1 5SP",68236787,25/11/2013,2600
"1 Spring Hall House, Pellon New Road, Halifax, HX1 4GQ",68240704,01/11/2010,5500
"Stables Fly Laithe Farm, Pepper Hill, Cock Hill Lane, Shelf                HX3 7TH",68244702,01/04/2007,6300
"Unit 3 Hill Top Farm, Pepper Hill, Cock Hill Lane, Shelf                HX3 7TH",68244704,15/04/2011,1450
"Unit 4 Hill Top Farm, Pepper Hill, Cock Hill Lane, Shelf                HX3 7TH",68244705,01/06/2011,3650
"54 New Lane, Halifax, HX3 9AL",68248700,01/04/2007,3750
"Siddal Hall Works, Phoebe Lane, Halifax, HX3 9AS",68248709,01/04/2009,9700
"Unit 15, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248713,15/12/2010,3900
"Unit 26, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248715,01/04/2007,950
"Unit 27, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248716,17/11/2012,950
"Unit 28, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248717,16/12/2010,990
"Unit 8, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248723,11/05/2010,260
"Unit 10, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248724,01/02/2013,3800
"Unit 14, North Phoebe Lane Mills, Halifax, HX3 9EX",68248725,01/04/2007,5500
"Unit 16, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248732,01/04/2007,4050
"Units 3 & 4, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248734,03/11/2011,670
"Unit 19A, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248736,01/04/2011,570
"Units 19,19B & 20, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248737,01/04/2012,3700
"Unit 17, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248744,01/05/2011,1775
"Unit 35, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248745,01/04/2007,4100
"Unit 34, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248746,01/04/2007,7700
"Unit 15A, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248747,01/10/2013,3750
"Unit 36, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248748,01/04/2007,2950
"Unit 36A, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248749,01/04/2007,7000
"Ground Floor Unit 5A, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248750,22/07/2010,850
"First Floor Unit 5B, Phoebe Lane Industrial Est., Halifax, HX3 9EX",68248751,01/06/2012,840
"64 Rustic, Piece Hall, Halifax, HX1 1RE",68252715,01/06/2012,2600
"65 Rustic, Piece Hall, Halifax, HX1 1RE",68252717,07/03/2012,1675
"66 Rustic, Piece Hall, Halifax, HX1 1RE",68252718,01/04/2007,1700
"60 Rustic, Piece Hall, Halifax, HX1 1RE",68252720,01/04/2007,2600
"61 Rustic, Piece Hall, Halifax, HX1 1RE",68252721,01/04/2007,2550
"12/13 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252741,01/04/2007,5100
"22 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252749,01/04/2007,2475
"31/32 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252753,04/03/2011,5000
"15 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252754,01/04/2012,2550
"53 Arcade, Piece Hall, Halifax, HX1 1RE",68252770,01/04/2007,3300
"6 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252773,01/05/2009,2500
"Unit 59 The Bradley Room, Piece Hall, Halifax, HX1 1RE",68252774,01/04/2007,5300
"68 Rustic, Piece Hall, Halifax, HX1 1RE",68252777,07/02/2011,830
"67 Rustic, Piece Hall, Halifax, HX1 1RE",68252778,01/07/2009,2500
"69 Rustic, Piece Hall, Halifax, HX1 1RE",68252779,01/04/2011,1725
"4 Powell Street, Halifax, HX1 1LN",68276004,01/10/2012,7900
"6 Powell Street, Halifax, HX1 1LN",68276006,01/04/2007,7800
"18 Prescott Street, Halifax, HX1 2LG",68280018,01/04/2007,6600
"32 Prescott Street, Halifax, HX1 2QW",68280032,01/04/2007,7900
"Mozart House, 34 & 34a Prescott Street, Halifax, HX1 2QW",68280034,01/04/2007,4300
"36 Prescott Street, Halifax, HX1 2QW",68280036,01/04/2007,4500
"38 Prescott Street, Halifax, HX1 2QW",68280038,01/04/2007,10500
"Ground Floor, 46 Prescott Street, Halifax, HX1 2QW",68280046,13/10/2013,4700
"56 Prescott Street, Halifax, HX1 2QW",68280056,01/04/2011,1500
"Adj 1 Clare Street, Halifax, HX1 2LF",68280700,01/04/2007,2850
"3 Coleridge Street, Halifax, HX1 2JF",68280701,01/04/2009,6800
"2nd Floor Prescott House, 26 Prescott Street, Halifax, HX1 2LG",68280710,03/04/2007,4050
"Lower Ground Floor, 26 Prescott Street, Halifax, HX1 2LG",68280719,01/04/2007,3150
"1ST & 2ND Floor, 46 Prescott Street, Halifax, HX1 2QW",68280729,13/10/2013,7700
"Part Gg & Ff Prescott House, 26 Prescott Street, Halifax, HX1 2LG",68280735,08/07/2011,6800
"Unit 25 Washer Lane Works, Washer Lane, Halifax, HX2 7DX",68296727,01/04/2007,1025
"Unit 22 Washer Lane Works, Washer Lane, Halifax, HX2 7DX",68296729,01/04/2008,1550
"Unit 14 Washer Lane Works, Washer Lane, Halifax, HX2 7DX",68296731,01/09/2010,4850
"Part Unit 24, Washer Lane Works, Washer Lane, Halifax              HX2 7DX",68296737,01/03/2008,1500
"Unit 16, Washer Lane Works, Washer Lane, Halifax              HX2 7DX",68296741,01/04/2009,3350
"16 Queens Road, Halifax, HX1 3NS",68308016,01/04/2007,9300
"19-21 Queens Road, Halifax, HX1 3NS",68308019,01/08/2012,5900
"27 Queens Road, Halifax, HX1 3NS",68308027,16/09/2010,3000
"112 Queens Road, Halifax, HX1 3XY",68308112,18/03/2012,5300
"114 Queens Road, Halifax, HX1 3XY",68308114,01/04/2010,2750
"124 Queens Road, Halifax, HX1 3XY",68308124,01/04/2007,3600
"138 Queens Road, Halifax, HX1 3XY",68308138,01/04/2007,5000
"192 Queens Road, Halifax, HX1 4NE",68308192,01/01/2012,4100
"193 Queens Road, Halifax, HX1 4NE",68308193,01/04/2013,4450
"194 Queens Road, Halifax, HX1 4NE",68308194,13/12/2010,5400
"196 Queens Road, Halifax, HX1 4NE",68308196,25/02/2008,5100
"198 Queens Road, Halifax, HX1 4NE",68308198,14/03/2008,3800
"201 Queens Road, Halifax, HX1 4NE",68308201,15/09/2010,2400
"202 Queens Road, Halifax, HX1 4NE",68308202,01/04/2007,2850
"204 Queens Road, Halifax, HX1 4NE",68308204,01/04/2013,2950
"206 Queens Road, Halifax, HX1 4NE",68308206,01/04/2010,10000
"210 Queens Road, Halifax, HX1 4NE",68308210,18/11/2013,3700
"218 Queens Road, Halifax, HX1 4NE",68308218,01/04/2007,3000
"224 Queens Road, Halifax, HX1 4NE",68308224,01/10/2012,3800
"229 Queens Road, Halifax, HX1 4NJ",68308229,01/04/2007,2700
"232 Queens Road, Halifax, HX1 4NE",68308232,01/04/2007,2950
"234 Queens Road, Halifax, HX1 4NE",68308234,01/04/2007,3800
"237 Queens Road, Halifax, HX1 4NJ",68308237,01/04/2010,3400
"238 Queens Road, Halifax, HX1 4NE",68308238,26/09/2011,10250
"239 Queens Road, Halifax, HX1 4NJ",68308239,01/04/2011,5800
"246 Queens Road, Halifax, HX1 4NJ",68308246,01/04/2007,5600
"263 Queens Road, Halifax, HX1 4NS",68308263,01/04/2013,5500
"265 Queens Road, Halifax, HX1 4NS",68308265,01/10/2011,5100
"267 Queens Road, Halifax, HX1 4NS",68308267,01/04/2007,5600
"268 Queens Road, Halifax, HX1 4NJ",68308268,01/04/2007,3650
"269/271 Queens Road, Halifax, HX1 4NS",68308269,01/04/2007,10750
"272 Queens Road, Halifax, HX1 4NJ",68308272,01/04/2007,5000
"274 Queens Road, Halifax, HX1 4NJ",68308274,06/07/2008,3800
"275 Queens Road, Halifax, HX1 4NS",68308275,04/10/2008,3300
"276 Queens Road, Halifax, HX1 4NJ",68308276,06/02/2014,4950
"278 Queens Road, Halifax, HX1 4NJ",68308278,27/03/2012,7000
"284 Queens Road, Halifax, HX1 4NJ",68308284,20/12/2010,5000
"286 Queens Road, Halifax, HX1 4NJ",68308286,01/04/2007,5600
"298 Queens Road, Halifax, HX1 4PJ",68308298,01/04/2007,4100
"Unit 1 Copperwood Court, Queens Road, Halifax, HX1 3NS",68308701,01/04/2009,8100
"Unit 2 Copperwood Court, Queens Road, Halifax, HX1 3NS",68308705,25/01/2013,8700
"The Wilroyd, 175 Queens Road, Halifax, HX1 4LN",68308724,29/11/2010,2475
"227 Queens Road, Halifax, HX1 4NJ",68308726,01/04/2008,3900
"296a Queens Road, Halifax, HX1 4NS",68308731,01/04/2007,2750
"296b Queens Road, Halifax, HX1 4NS",68308732,01/04/2010,2475
"296c Queens Road, Halifax, HX1 4NS",68308733,01/04/2007,2750
"228/230 Queens Road, Halifax, HX1 4NE",68308738,01/04/2007,8600
"294-296 Queens Road, Halifax, HX1 4NS",68308740,18/03/2011,5500
"Adj Queens Road Works, Queens Road, Halifax, HX1 3XY",68308744,29/03/2008,9000
"279 Queens Road, Halifax, HX1 4NS",68308750,01/12/2010,2900
"200 Queens Road, Halifax, HX1 4NE",68308757,04/04/2013,5400
"1st Floor, 238 Queens Road, Halifax, HX1 4NE",68308758,01/08/2012,5000
"233 Queens Road, Halifax, HX1 4NJ",68308759,26/06/2012,2550
"212 Queens Road, Halifax, HX1 4NE",68308768,14/12/2008,5900
"Unit 3/4 Queens Road Works, Queens Road, Halifax, HX1 3XX",68308773,11/10/2012,11500
"Queens Road Works, Queens Road, Halifax, HX1 3XY",68308784,01/04/2009,4900
"238C Queens Road, Halifax, HX1 3NS",68308792,01/06/2009,3450
"270 Queens Road, Halifax, HX1 4NJ",68308807,01/04/2013,3200
"214 Queens Road, Halifax, HX1 4NE",68308808,15/03/2012,4550
"216 Queens Road, Halifax, HX1 4NE",68308809,15/10/2010,2900
"First Floor Offices, 43-51 Queens Road, Halifax, HX1 3NS",68308810,01/04/2008,3100
"First Floor Store Above, 43/45 Queens Road, Halifax, HX1 3NS",68308816,01/08/2011,3050
"29 Queens Road, Halifax, HX1 3NS",68308819,25/07/2011,3600
"Unit 2, Queens Road Works, Queens Road, Halifax              HX1 3XY",68308823,01/04/2012,3850
"Unit 1A, Queens Road Works, Queens Road, Halifax              HX1 3XY",68308825,01/04/2012,5400
"Unit 1 Queens Road Works, Queens Road, Halifax, HX1 3XY",68308829,01/07/2013,4250
"Unit 1B Queens Road Works, Queens Road, Halifax, HX1 3XY",68308830,01/07/2013,4450
"Centenary Works, Ramsden Street, Wheatley, Halifax             HX3 5JB",68324700,01/04/2007,2700
"2/4 Ramsden Street, Wheatley, Halifax, HX3 5JE",68324702,11/07/2011,10250
"5 Raven Street, Halifax, HX1 4NB",68340005,01/04/2007,5300
"3 Raven Street, Halifax, HX1 4NB",68340706,01/04/2008,4400
"Springwood Lodge, Rawroyds Road, Holywell Green, Halifax              HX4 9BJ",68352708,01/04/2007,4850
"20 Rawson Street, Halifax, HX1 1NH",68356020,01/04/2007,6700
"4 Rawson Street, Halifax, HX1 1NH",68356700,19/11/2009,8800
"Rawson Arcade, 13 Rawson Street, Halifax, HX1 1NH",68356701,18/01/2014,11500
"First Floor, 18 Rawson Street, Halifax, HX1 1NH",68356708,01/04/2007,5900
"6 Regent Street, Halifax, HX1 2SE",68364006,01/10/2011,8600
"Reservoir Road, Pellon, Halifax, HX2 0ET",68368700,01/04/2007,9800
"Reservoir Road, Pellon, Halifax, HX2 0ET",68368701,01/04/2007,4850
"Martins Mill Yard, Richmond Road, Halifax, HX1 5SZ",68376701,01/04/2007,3500
"The Little Mill, Richmond Road, Halifax, HX1 5SZ",68376702,10/05/2010,4100
"Nomis Works, Richmond Road, Halifax, HX1 5SZ",68376703,01/04/2007,5400
"1 Ryders Court, Denholmegate Road, Hipperholme, Halifax             HX3 8JQ",68378001,13/05/2008,2650
"Perry's Cafe Bar, 66 Rochdale Road, Halifax, HX2 7HB",68388700,12/01/2013,7100
"46 Rochdale Road, Greetland, Halifax, HX4 8AX",68392046,01/04/2008,2650
"58 Rochdale Road, Greetland, Halifax, HX4 8AX",68392058,15/05/2012,1950
"213 Rochdale Road, Greetland, Halifax, HX4 8JE",68392213,01/04/2007,3050
"222/224 Rochdale Road, Greetland, Halifax, HX4 8JE",68392222,01/04/2007,6000
"16 Rochdale Road, Greetland, Halifax, HX4 8AL",68392706,01/04/2007,3550
"14 Rochdale Road, Greetland, Halifax, HX4 8AL",68392708,01/03/2011,8100
"Park Garage, Rochdale Road, Greetland, Halifax             HX4 8AL",68392721,01/04/2007,4300
"Savile Masonic Lodge, Rochdale Road, Greetland, Halifax             HX4 8AH",68392722,01/04/2007,9900
"Opp 162 Rochdale Road, Greetland, Halifax, HX4 8JE",68392726,01/04/2007,930
"68a Rochdale Road, Greetland, Halifax, HX4 8HE",68392728,05/04/2011,4750
"220a Rochdale Road, Greetland, Halifax, HX4 8JE",68392733,01/04/2009,2275
"Rose & Crown Hotel, 96/98 Rochdale Road, Greetland, Halifax             HX4 8HR",68392735,01/04/2007,6400
"Adj 40 Rochdale Road, Greetland, Halifax, HX4 8AX",68392736,01/04/2007,3550
"Crawstone Knowle Farm, Rochdale Road, Greetland, Halifax             HX4 8PX",68392742,01/04/2007,1650
"15 Roils Head Road, Halifax, HX2 0NQ",68396015,01/04/2010,1500
"17 Roils Head Road, Halifax, HX2 0NQ",68396017,01/05/2008,1800
"19 Roils Head Road, Halifax, HX2 0NQ",68396019,01/04/2007,1825
"21 Roils Head Road, Halifax, HX2 0NQ",68396021,01/04/2010,1950
"23 Roils Head Road, Halifax, HX2 0NQ",68396023,01/04/2007,1975
"25 Roils Head Road, Halifax, HX2 0NQ",68396025,01/04/2007,1950
"Masonic Lodge, Roydlands Street, Hipperholme, Halifax             HX3 8AF",68412700,01/04/2007,6500
"1 Roydlands Terrace, Hipperholme, Halifax, HX3 8NG",68416001,01/04/2007,3250
"Unit 5 Windsor Business Park, Ryburn Terrace, Halifax, HX1 4SE",68432724,14/04/2008,2325
"11 Saddleworth Road, Greetland, Halifax, HX4 8AG",68444011,01/04/2007,3800
"70 Saddleworth Road, Greetland, Halifax, HX4 8AG",68444070,01/04/2007,3550
"76 Saddleworth Road, Greetland, Halifax, HX4 8AG",68444076,01/04/2007,2900
"77 Saddleworth Road, Greetland, Halifax, HX4 8AG",68444077,01/04/2007,2150
"80 Saddleworth Road, Greetland, Halifax, HX4 8AG",68444080,01/04/2007,7300
"Saddleworth Road, Greetland, Halifax, HX4 8LZ",68444701,01/04/2007,4100
"Railway Arch No. 2, Saddleworth Road, Greetland, Halifax              HX4 8BA",68444702,01/11/2009,2500
"Brian Royd Mills, Saddleworth Road, Greetland, Halifax              HX4 8NF",68444704,01/04/2007,8300
"Brook Mills, Saddleworth Road, Greetland, Halifax             HX4 8LZ",68444707,01/04/2010,3700
"The Holme, Saddleworth Road, Greetland, Halifax             HX4 8AL",68444714,01/04/2012,5000
"West Vale Garage, Saddleworth Road, Greetland, Halifax             HX4 8BA",68444717,01/04/2007,2500
"Brian Royd Mills, Brian Royd Lane, Greetland, Halifax             HX4 8NF",68444724,01/04/2009,2600
