Reference Number,Titile of Agreement,Department Responsible,Description of Goods and/or Services,Supplier,Total Contract Value,Start Date,End Date,End Date (including extension),Review Date,Award Method,SME?
5000004849,Procurement Insurance Advise,Commissioning Group,Procurement Insurance Advise,JLT Specality Ltd,"£17,000.00",01/04/2012,31/03/2014,,30/06/2013,ITT,N/A
5000004205,Consult other Prof,Commissioning Group,Consult other Prof,The Barnet Group Ltd,"£128,000,000.00",01/04/2012,31/03/2014,,30/06/2013,ITT,N/A
5000004417,Residential Children's Home,Children's Service, Placement of children in care - therapeutic residential home with education,Heartwood Residential Services,"£358,800.00",01/04/2012,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000004297,Residential Children's Home,Children's Service, Placement of children in care - therapeutic residential home with education,Prestige Adolescent Care & Education Ltd,"£257,400.00",01/04/2012,31/03/2017,30/05/2014,30/06/2016,ITT,N/A
5000002693,PCT Speech & Language Therapy Sla (non-procurement),Children's Service,SLA for a service to schools and group and /or individual therapy for specific pupils,Central London Community Healthcare Nhs Trust,"£189,750.00",01/04/2012,30/06/2014,30/05/2014,30/09/2013,ITT,N/A
5000002642,Safe Start Foyer,Children's Service,24 bed Youth homelessness provision ,Safe Start Foundation,"£631,200.00",01/04/2012,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000000755,Child Placement,Children's Service,"Contract Extension Currently with legal, Variation of £65844.00 requested to cover current placement with the provider.",Park Lane residential Home,"£328,589.31",01/04/2012,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000002541,Camhs,Children's Service,Child & Adolescent Mental Health Services.,Barnet Enfield & Haringey,"£943,000.00",01/04/2012,31/03/2015,,30/06/2014,ITT,N/A
5000000770,Domestic Violence Refuge,Children's Service,Refuge for Domestic Violence victims,Solace Women's Aid,"£564,075.00",01/04/2012,31/03/2015,,30/06/2014,ITT,N/A
5000003298,Westminster Education Forum (CS),Children's Service,Westminster Education Forum (CS),Westminster Education Forum,"£10,000.00",01/04/2012,31/03/2016,,30/06/2015,ITT,N/A
5000004904,Spoken word (CS),Children's Service,PO,Oakhill Publishing,"£12,100.00",01/04/2012,31/03/2016,,30/06/2015,ITT,N/A
5000004316,Semi Independent Provision,Children's Service,Placement of children in care - mother & baby,The Crescent,"£252,000.00",01/04/2012,31/03/2016,,30/06/2015,Quote,N/A
5000004293,Child Placement,Children's Service,Child Placement,Children of All Nations,"£124,500.00",01/04/2012,31/03/2016,,30/06/2015,Quote,N/A
5000004291,Child Placement,Children's Service,Child Placement,Woodhouse Estates,"£280,000.00",01/04/2012,31/03/2016,,30/06/2015,Quote,N/A
5000004289,Child Placement,Children's Service,Child Placement,Futures for Children,"£316,337.00",01/04/2012,31/03/2016,,30/06/2015,Quote,N/A
5000004272,Child Placement,Children's Service,Child Placement,Care 2 Share Ltd,"£230,400.00",01/04/2012,31/03/2016,,30/06/2015,Quote,N/A
5000004208,Form F assessments,Children's Service,Form F assessments,Nick Krivine,"£100,000.00",01/04/2012,31/03/2016,,30/06/2015,Quote,N/A
5000003625,Child Placement,Children's Service,Child Placement,Integrated Fostering Serv,"£445,817.00",01/04/2012,31/03/2016,,30/06/2015,Quote,N/A
5000002624,Out Of Hours Emergency Service,Children's Service,Out of Hours Emergency ,London Borough Of Harrow,"£525,000.00",01/04/2012,31/03/2015,,30/06/2014,ITT,N/A
5000002551,Child Placement,Children's Service,Child Placement,Brighter Futures,"£276,560.00",01/04/2012,31/03/2016,,30/06/2015,Quote,N/A
5000004286,Child Placement,Children's Service,Child Placement,Mitsiou,"£357,000.00",01/04/2012,31/03/2016,,30/06/2015,Quote,N/A
5000001829,Nicholl Food Packaging,Children's Service,Nicholl Food Packaging,Nicholl Food Packaging Limited,"£25,000.00",01/04/2012,31/03/2016,,30/06/2015,Quote,N/A
700184,Child Social Care (Heath Farm Family Services),Children's Service,Child Social Care (Heath Farm Family Services),Heath Farm Family Services,"£120,000.00",01/04/2012,31/03/2015,,30/06/2014,Framework,N/A
5000000838,Danwood Group Ltd(All Directorates),CSG,Danwood Group Ltd(All Directorates),Danwood Group Ltd,"£19,000.00",01/04/2012,31/03/2016,,30/06/2015,ITT,N/A
5000002242,Off The Wall Marketing Ltd(Comm Srvcs),CSG,Off The Wall Marketing Ltd(Comm Srvcs),Off The Wall Marketing Ltd,"£20,000.00",01/04/2012,31/03/2016,,30/06/2015,ITT,N/A
5000002259,Tribal Technology Ltd(Comm Srvcs),CSG,Tribal Technology Ltd(Comm Srvcs),Tribal Technology Ltd,"£48,637.00",01/04/2012,31/03/2016,,30/06/2015,ITT,N/A
5000002270,KAS Paper Systems Ltd(Comm Srvcs),CSG,KAS Paper Systems Ltd(Comm Srvcs),KAS Paper Systems Ltd,"£10,000.00",01/04/2012,31/03/2016,,30/06/2015,ITT,N/A
5000003578,Kingsborough UK Srv Ltd (All Directorate,CSG,Kingsborough UK Srv Ltd (All Directorate,Kingsborough UK Services Ltd,"£41,057.70",01/04/2012,31/03/2016,,30/06/2015,ITT,N/A
5000001555,Transcribing Ctax bills to Braille,CSG,Transcribing Ctax bills to Braille,Disability Resource Team Ltd,"£24,999.00",01/04/2012,31/01/2016,,30/04/2015,ITT,N/A
5000001463,Provision of Mobile Solutions,CSG,Provision of Mobile Solutions,Vodafone Ltd (Bills only),"£444,000.00",01/04/2012,31/03/2014,,30/06/2013,ITT,N/A
5000000814,Provision of Software & Licensing,CSG,Provision of Software & Licensing,Insight ,"£1,296,362.25",01/04/2012,31/03/2014,,30/06/2013,ITT,N/A
5000000666,Acturial Service,CSG,Actuarial service,Barnett Waddingham,"£85,000.00",01/04/2012,31/03/2014,,30/06/2013,ITT,N/A
5000002236,Acculith 76 Ltd Print Framework,CSG,Print Framework,Acculith 76 Ltd,"£50,000.00",01/04/2012,31/12/2014,,31/03/2014,ITT,N/A
5000002237,Paragon Group UK Limited,CSG,Print Framework,Paragon Group UK Limited,"£90,000.00",01/04/2012,31/12/2014,,31/03/2014,ITT,N/A
5000000096,Printing Services,CSG,Print Framework,Falder Matthews Ltd,"£100,000.00",01/04/2012,31/12/2014,,31/03/2014,ITT,N/A
5000001650,Personal Protective Clothing (Greenham),CSG,Personal Protective Clothing,Greenham Trading Limited (Bunzl),"£24,999.00",01/04/2012,31/03/2016,,30/06/2015,ITT,N/A
5000004974,Management fees Pension Fund (DCE),CSG,Management fees Pension Fund  (DCE),Legal & General,"£90,000.00",01/04/2012,31/03/2014,,30/06/2013,ITT,N/A
5000003690,Printing (Document Centre),CSG,Print Framework,Financial Data Management,"£158,500.00",01/04/2012,31/12/2014,,31/03/2014,ITT,N/A
700463,London Energy Project Membership Fee,CSG,London Energy Project Membership Fee,Pre-contract award supplier,"£34,500.00",01/04/2012,31/03/2016,,30/06/2015,SLA,N/A
5000001933,Annual Subs & Training,Re,Annual Subs & Training,District Surveyors Association,"£10,150.00",01/04/2012,31/03/2016,,30/06/2015,ITT,N/A
5000005264,Supply & Dist. Waste Recycling Bins,Street Scene,Supply & Distribution of West Recycling Bins,SSI Schaefer,"£3,251,840.00",01/04/2012,31/03/2015,,30/06/2014,ITT,N/A
5000004955,Stray Dog SLA (EPR),Street Scene,Stray Dog SLA,London Borough of Islington,"£45,000.00",01/04/2012,31/03/2015,,30/06/2014,ITT,N/A
5000001590,Refurbished Bin Spares,Street Scene,Refurbished bin spares,Storm,"£42,762.80",01/04/2012,31/03/2015,,30/06/2014,ITT,N/A
5000000800,Logrhythm,CSG,Provide security monitoring logs for IS infrastructure,Caretower,"£31,860.00",04/04/2012,03/04/2014,,03/07/2013,ITT,N/A
5000005087,Logica Legacy Applications,CSG,Logica Legacy Applications,CGI IT UK Limited,"£84,600.00",04/04/2012,03/04/2014,,03/07/2013,ITT,N/A
5000001582,West Hendon Legal Advice,Re,"Legal Advice on Planning, CPO ",Paul McDermott,"£21,200.00",04/04/2012,31/03/2014,,30/06/2013,ITT,N/A
5000005376,Agency Prof (DCE),CSG,Agency Prof  (DCE),Advantage Resourcing UK Limited,"£340,000.00",30/04/2012,30/04/2014,,30/07/2013,ITT,N/A
5000002608,Food Packaging,Children's Service,Biodegradable food and drink packaging,London Bio Packaging,"£35,497.00",01/05/2012,30/04/2015,,30/07/2014,ITT,N/A
700308,SWIFT Glebelands,Adults and Communities,Residential & Nursing Care,Liaise Loddon Limited,"£156,000.00",16/05/2012,31/03/2015,,30/06/2014,ITT,N/A
700156,SWIFT Wensley House,Adults and Communities,Residential & Nursing Care,Beling & Co Ltd,"£31,200.00",08/06/2012,31/03/2015,,30/06/2014,ITT,N/A
5000005805,Family Nurse Partnership,Children's Service,Provision of Family Nurses in partnership with the CLCH - awaiting contract,Central London Community Healthcare,"£150,000.00",08/06/2012,31/03/2015,,30/06/2014,ITT,N/A
5000003566,"Prop Lease, Sec Serv,Gas & Insure (DCE)",CSG,"Prop Lease, Sec Serv,Gas & Insure  (DCE)",Comer Property Management,"£17,857,950.50",28/06/2012,31/03/2015,,30/06/2014,ITT,N/A
700369,SWIFT Carers Support,Adults and Communities,Voluntary sector preventative services,Barnet Carers Centre,"£1,539,760.00",01/07/2012,30/03/2015,,30/06/2014,ITT,N/A
5000004079,Soc Serv Indv Care Paymts (AD),Adults and Communities,Soc Serv Indv Care Paymts (AD),Barnet Carers Centre,"£578,000.00",01/07/2012,30/06/2015,,30/09/2014,ITT,N/A
700587,Non Ldd (Learning Difficulties And Disabilities),Children's Service,Non Ldd (Learning Difficulties And Disabilities),Prospects For You,"£748,471.00",02/07/2012,30/06/2015,,30/09/2014,Other,N/A
700117,SWIFT Homecare,Adults and Communities,Homecare,Plan Care Ltd,"£10,250.24",03/07/2012,06/11/2015,,06/02/2015,ITT,N/A
5000005385,Independent Social Worker (CS),Children's Service,Independent Social Worker  (CS),Farrukh Akhtar,"£20,000.00",03/07/2012,03/07/2015,,03/10/2014,ITT,N/A
5000003619,MTI Technology (DCE),CSG,MTI Technology (DCE),M T I Technology Ltd,"£37,040.00",11/07/2012,31/03/2016,,30/06/2015,ITT,N/A
5000003633,Parking Control Services (E&D),Street Scene,Parking Control Services,NSL Ltd,"£22,200,000.00",11/07/2012,31/03/2016,,30/06/2015,ITT,N/A
5000003659,Funeral Services (EPR),Re,Procurement will be undertaken by Re,Nicholas Hare,"£20,000.00",13/07/2012,31/03/2016,,30/06/2015,ITT,N/A
5000003673,Music Therapy (Childrens),Children's Service,Music Therapy (Childrens),Mapledown School,"£10,000.00",17/07/2012,31/03/2016,,30/06/2015,ITT,N/A
5000003714,Property Service Charges(DCE Commercial),CSG,Property Service Charges(DCE Commercial),Middlesex University,"£690,417.00",30/07/2012,31/03/2015,,30/06/2014,ITT,N/A
5000003718,Water Supply,Re,Water supply at Hendon Crematorium,JT Edwards Ltd,"£58,631.00",30/07/2012,31/12/2014,,31/03/2014,ITT,N/A
5000004569,Security Services,CSG,Security Services (All Directorates),Blue 9 Security,"£2,349,734.75",02/08/2012,02/07/2015,,02/10/2014,ITT,N/A
5000003876,Home and Community Enablement (adults),Adults and Communities,Home and Community Enablement (adults),Housing 21 (Barnet),"£1,171,000.00",13/08/2012,31/10/2015,,31/01/2015,ITT,N/A
5000003906,Positive Activities (Childrens),Children's Service,Positive Activities (Childrens),Phoenix Canoe Club Limited,"£10,000.00",15/08/2012,31/03/2016,,30/06/2015,ITT,N/A
5000003908,Positive Activities (Childrens),Children's Service,Positive Activities (Childrens),London Academy,"£10,000.00",15/08/2012,31/03/2016,,30/06/2015,ITT,N/A
5000003909,Positive Activiities (Childrens),Children's Service,Positive Activiities  (Childrens),Whitefield School Academy Trust Co.,"£10,000.00",15/08/2012,31/03/2016,,30/06/2015,ITT,N/A
5000003911,Outings&Holidays (CS),Children's Service,Outings&Holidays    (CS),Danegrove School,"£19,495.00",16/08/2012,31/03/2016,,30/06/2015,ITT,N/A
5000003916,Disclosure & Barring Service (DCE),CSG,Disclosure & Barring Service (DCE),Criminal Records Bureau,"£100,000.00",16/08/2012,31/03/2015,,30/06/2014,ITT,N/A
700182,SWIFT Hillside Avenue,Adults and Communities,Supported Living,Consensa Care Ltd,"£40,508.00",30/08/2012,29/08/2015,,29/11/2014,ITT,N/A
5000004556,Child Placement,Children's Service,Child Placement,Hampstead Fine Arts College,"£37,200.00",01/09/2012,30/09/2014,,30/12/2013,Quote,N/A
5000002725,SEN Child Placement (Pield Heath),Children's Service,Child Placement,Pield Heath House School,"£149,500.00",01/09/2012,31/03/2016,,30/06/2015,Quote,N/A
5000004123,Inter Auth Agree Joint Legal Serv (CGov),HB Public Law,Inter Auth Agree Joint Legal Serv (CGov),HP Public Law,"£6,023,000.00",01/09/2012,21/08/2017,,21/11/2016,Quote,N/A
5000003727,Xerox Finance (HVC Copying) (DCE),CSG,Xerox Finance (HVC Copying) (DCE),Xerox Finance Ltd,"£25,000.00",01/09/2012,01/09/2015,,01/12/2014,ITT,N/A
5000004001,LegalServices&Costs (Childrens),Children's Service,LegalServices&Costs (Childrens),Carter Brown Associates Ltd:,"£10,000.00",05/09/2012,31/03/2016,,30/06/2015,ITT,N/A
5000004012,Training,Adults and Communities,Training,The Knowledge Academy,"£12,100.00",06/09/2012,31/03/2016,,30/06/2015,ITT,N/A
5000004035,Cons-Other Prof (CS),Children's Service,Cons-Other Prof  (CS),Barnfield School,"£10,000.00",17/09/2012,31/03/2016,,30/06/2015,ITT,N/A
5000004036,Cons - Other Prof (CS),Children's Service,Cons - Other Prof  (CS),Mapledown School,"£15,000.00",17/09/2012,31/03/2016,,30/06/2015,ITT,N/A
700304,SWIFT Home care,Adults and Communities,Home care,Individualised care,"£152,276.00",18/09/2012,31/03/2015,,30/06/2014,ITT,N/A
5000004056,Training,Children's Service,Variation,Sam Tarling Consultancy Ltd,"£10,800.00",24/09/2012,31/03/2016,,30/06/2015,Quote,N/A
700188,SWIFT Learn To Earn,Adults and Communities,Voluntary sector preventative services,Dimensions Ltd,"£44,043.98",01/10/2012,31/03/2015,,30/06/2014,ITT,N/A
700985,Xerox High Volume Machines,CSG,"Supply and Maintain HV machines within the Document Centre and
Extend the existing 4110",Xerox,"£195,000.00",01/10/2012,01/10/2015,,01/01/2015,Other,N/A
5000004526,Kent County Council (KCS) Gas(All Users),CSG,Kent County Council (KCS) Gas(All Users),Kent County Council (KCS),"£5,490,576.00",01/10/2012,30/09/2016,,30/12/2015,ITT,N/A
5000003605,Energy Supply Contract,CSG,Electricity Supply Contract,Npower (Laser),"£9,532,175.00",01/10/2012,30/09/2016,,30/12/2015,ITT,N/A
5000003604,"Gas Under 25,000 Therms",CSG,Supply of Gas Unders ,Total Gas And Power (Laser),"£5,490,576.00",01/10/2012,30/09/2016,,30/12/2015,ITT,N/A
700415,Provision of Managed Temporary Agency Resources Services,CSG,Provision of Managed Temporary Agency Resources Services,Comensura Ltd,"£36,700,000.00",01/10/2012,30/09/2015,,30/12/2014,Framework,N/A
5000004081,Consult-Other Prof (CS),Children's Service,Consult-Other Prof  (CS),Meral Mehmet Ltd,"£20,000.00",02/10/2012,31/03/2016,,30/06/2015,ITT,N/A
701119,SWIFT Allonsfield House,Adults and Communities,Residential & Nursing Care,Kingsley Care Homes Ltd,"£24,840.33",04/10/2012,31/03/2015,,30/06/2014,ITT,N/A
700264,SWIFT St John's School and College,Adults and Communities,Residential & Nursing Care,St John's School and College,"£89,372.00",10/10/2012,31/03/2015,,30/06/2014,ITT,N/A
5000000241,Care Placements Contract,Children's Service,Placement of children in care,Turning Point Care Ltd,"£26,320.00",18/10/2012,31/03/2015,,30/06/2014,ITT,N/A
5000004145,Cleaning Serv (CS),Children's Service,Cleaning Serv   (CS),Rainbow Cleaning Ltd,"£22,000.00",18/10/2012,31/03/2016,,30/06/2015,ITT,N/A
5000004142,Consult- Other Prof,Children's Service,Consult- Other Prof,Tracey Reynolds,"£50,000.00",18/10/2012,31/03/2016,,30/06/2015,Quote,N/A
700139,SWIFT Calway house,Adults and Communities,Residential & Nursing Care,Somerset Care Ltd,"£27,030.00",19/10/2012,18/10/2016,,18/01/2016,ITT,N/A
5000004183,Training (AD),Adults and Communities,Training (AD),Middlesex University,"£20,000.00",30/10/2012,31/03/2016,,30/06/2015,ITT,N/A
5000004210,Admin Costs & Staff Salaries (DCE),CSG,Admin Costs & Staff Salaries (DCE),London Borough of Barnet Pension Fund,"£8,081,000.00",06/11/2012,31/03/2016,,30/06/2015,ITT,N/A
5000004212,Rent For Premises (DCE),CSG,Rent For Premises   (DCE),Canal & River Trust,"£10,000.00",08/11/2012,31/03/2016,,30/06/2015,ITT,N/A
Non,Provision of play areas,Street Scene,supply and install play areas,SMP (playgrounds) Ltd,"£500,000.00",10/11/2012,09/11/2016,,09/02/2016,ITT,N/A
700700,NON Provision of play areas,Street Scene,NON Provision of play areas,SMP (playgrounds) Ltd,"£500,000.00",10/11/2012,09/11/2016,,09/02/2016,Other,N/A
5000004232,Hire of Venue (CS),Children's Service,Hire of Venue  (CS),Dollis Junior School,"£15,000.00",13/11/2012,31/03/2016,,30/06/2015,ITT,N/A
5000004234,Soc Serv Indv Care Payments (CS),Children's Service,Soc Serv Indv Care Payments (CS),Northway School,"£10,000.00",13/11/2012,31/03/2016,,30/06/2015,ITT,N/A
5000004244,Leisure & Sports (CS),Children's Service,Leisure & Sports (CS),Studio Seven,"£22,000.00",15/11/2012,31/03/2016,,30/06/2015,ITT,N/A
5000004303,Child Placement,Children's Service,Child Placement,Advanced Childcare Ltd,"£205,400.00",22/11/2012,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000004300,Social Care (Amegreen Children),Children's Service,Social Care (Amegreen Children),Amegreen Childrens Services (Barn Owl),"£151,155.00",22/11/2012,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000002765,Social Care,Children's Service,Social Care,Kindercare Fostering Limited,"£70,779.00",22/11/2012,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000002635,Social Care (Neo Properties),Children's Service,16+ Providers,Neo Properties,"£232,119.70",22/11/2012,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000002632,Social Care (Themi Care Ltd),Children's Service,Provision of Semi independent accommodation,Themi Care Ltd,"£355,491.10",22/11/2012,31/03/2015,31/03/2014,30/06/2014,ITT,N/A
5000002567,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Heath Farm Family Services ( The Old School),"£112,825.61",22/11/2012,31/03/2015,30/05/2014,30/06/2014,ITT,N/A
5000002684,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Tavistock And Portman Nhs Foundation Trust,"£382,950.00",22/11/2012,31/03/2015,,30/06/2014,ITT,N/A
5000002723,SEN (Abingdon House School),Children's Service,SEN   (Abingdon House School),Abingdon House School,"£161,171.00",22/11/2012,21/11/2014,,21/02/2014,ITT,N/A
5000002726,SEN (The Moat School),Children's Service,SEN  (The Moat School),The Moat School,"£73,525.00",22/11/2012,21/11/2014,,21/02/2014,ITT,N/A
5000003302,SEN (Pardes House Grammar Sch),Children's Service,SEN    (Pardes House Grammar Sch),The Pardes House Grammar School,"£24,891.00",22/11/2012,21/11/2014,,21/02/2014,ITT,N/A
5000004077,Social Care (Lancashire C C ),Children's Service,Social Care  (Lancashire C C ),Lancashire County Council,"£26,963.23",22/11/2012,21/11/2014,,21/02/2014,ITT,N/A
5000004275,Social Care (Stone Lodge Hotels),Children's Service,Social Care (Stone Lodge Hotels),Stone Lodge Hotels,"£67,176.00",22/11/2012,21/11/2014,,21/02/2014,ITT,N/A
5000004292,Social Care (L B Hackney),Children's Service,Social Care   (L B Hackney),London Borough of Hackney,"£73,016.00",22/11/2012,21/11/2014,,21/02/2014,ITT,N/A
5000004294,Social Care (Cornerstone Care Homes Ltd),Children's Service,Social Care (Cornerstone Care Homes Ltd),Cornerstone Care Homes Ltd:,"£293,071.00",22/11/2012,21/11/2014,,21/02/2014,ITT,N/A
5000005008,London Centre for Children With Cerebral,Children's Service,London Centre for Children With Cerebral,The Peter Rigby Trust,"£206,374.00",22/11/2012,21/11/2014,,21/02/2014,ITT,N/A
5000004278,Social Care(Capstone Vision),Children's Service,Social Care(Capstone Vision),Capstone Foster Care (South) Ltd,"£201,688.14",22/11/2012,21/11/2014,,21/02/2014,ITT,N/A
5000004276,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Immanuel College,"£83,890.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002757,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Torah Vodaas School,"£32,370.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002695,Stonham Home,Children's Service,Provision of Semi independent accommodation,Stonham Home,"£30,000.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002688,SEN (London Jewish Girls High),Children's Service,Special Educational Needs Placement.,London Jewish Girls High,"£31,590.87",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002686,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,I Can Services Ltd,"£91,254.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002685,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Fairley House School,"£152,710.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002683,SEN (Menorah Grammar School),Children's Service,Special Educational Needs Placement.,Menorah Grammar School,"£361,616.19",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002682,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,The North London International School,"£47,931.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002681,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,"Red Balloon Learner Centre, Harrow","£43,848.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002679,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Parayhouse,"£44,790.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002678,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Nancy Reuben Primary,"£32,810.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002676,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Kisharon,"£922,306.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002675,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Cruckton Hall School,"£98,130.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002674,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Beis Soroh Schneirer Primary,"£30,206.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002673,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,International Community School,"£45,685.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002672,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,The Treehouse Trust,"£604,470.50",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002671,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Treloar School,"£78,096.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002670,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Transitional Care Ltd,"£166,614.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002669,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,The Southover Partnership,"£169,910.88",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002668,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,The Mount School,"£53,235.93",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002667,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,CBRE,"£177,714.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002666,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,St Mary'S Wrestwood Child,"£31,654.50",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002665,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Senad Limited,"£413,299.32",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002664,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Scope,"£101,145.12",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002662,SEN / Soc Care (Nas Services Ltd),Children's Service,Special Educational Needs Placement.,Nas Services Ltd,"£1,014,783.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002660,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,The Mill Hill School Foundation,"£157,995.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002659,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,The Mary Hare Grammar School,"£105,272.20",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002658,SEN (Menorah High School For Girls ),Children's Service,Special Educational Needs Placement.,Menorah High School For Girls,"£70,092.40",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002657,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Insights Esc Ltd,"£94,320.32",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002656,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Hillingdon Manor School,"£115,197.09",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002655,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Egerton-Rothesay School,"£78,973.91",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002653,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Cambian Autism Services Ltd,"£723,631.62",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002652,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Cambian Asperger Syndrome Service,"£85,864.42",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002651,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Beth Jacob Grammer School For,"£216,388.53",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002650,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Barnardo Services Ltd,"£610,245.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002637,Social Care (Silver Birch),Children's Service,Provision of Semi independent accommodation,Silver Birch Care,"£33,390.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002634,Social Care (Atlantic Lodge),Children's Service,16+ Providers,Atlantic Lodge,"£183,368.50",22/11/2012,31/03/2015,,30/06/2014,Quote,N/A
5000002633,16+ Providers,Children's Service,16+ Providers,Purple Pebbles,"£38,728.00",22/11/2012,31/03/2015,,30/06/2014,Quote,N/A
5000002631,Provision Of Semi Independent Accommodation And Support,Children's Service,Provision of Semi independent accommodation,Housing Plus Ltd,"£473,484.05",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002387,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Kisimul School,"£196,444.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000000511,SEN (Underley Schools Ltd),Children's Service,SEN (Underley Schools Ltd),Underley Schools Ltd,"£337,002.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002590,Social Care - Vitality Foster,Children's Service,Social Care - Vitality Foster,Vitality Fostering Agency,"£60,000.00",22/11/2012,11/11/2014,,11/02/2014,Quote,N/A
5000002677,Special Educational Needs Placement,Children's Service,Special Educational Needs Placement.,Loddon School,"£372,080.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
5000002587,SEN Social Care (Loddon School),Children's Service,Non Procurement due to extension of existing contract CPR Rules 14.1,The Loddon School,"£546,512.00",22/11/2012,31/03/2016,,30/06/2015,Quote,N/A
5000002747,SEN (Holmewood School),Children's Service,SEN (Holmewood School),The Holmewood School,"£185,099.00",22/11/2012,21/11/2014,,21/02/2014,Quote,N/A
