Organisation Name (A),Dept (B),Service Cat Label (C),Purpose of Spend (D),Expenditure CIPFA (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,NPOWER LTD,A0044051, 25/02/2016,EST0269083,1077.93,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268889,20.62,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268851,53.4,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268870,71.78,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268812,87,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268887,111.15,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268890,197.93,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268876,212,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268816,604.93,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268869,365.82,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 04/02/2016,OPS0268559,414.78,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268845,92.84,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268882,275.51,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268880,280.68,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268848,599.03,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 04/02/2016,OPS0268560,122.2,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268885,95.85,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 04/02/2016,OPS0268507,303.31,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268857,67.55,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268873,104.53,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268858,39.75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268842,67.68,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268850,486.82,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268817,44.21,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268886,115.8,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 04/02/2016,OPS0268564,27.51,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268883,41.83,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268859,81.26,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268841,141.03,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268855,198.2,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268872,447.05,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268840,344.3,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268881,67.96,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 04/02/2016,OPS0268514,29.71,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268846,31.13,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 25/02/2016,OPS0268988,48.45,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268824,312.45,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268843,91.35,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268888,40.75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268875,113.35,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268815,102.35,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268813,91.33,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268814,96.83,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 04/02/2016,OPS0268506,85.83,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268847,85.83,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268880,45.13,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268838,51.75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268854,107.85,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 04/02/2016,OPS0268507,85.83,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268874,85.83,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268853,90.25,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268884,193.7,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 04/02/2016,OPS0268563,41.83,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268844,84.75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268877,61.7,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268860,41.83,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268839,105.7,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268871,77.03,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268852,154.06,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268818,58.33,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 04/02/2016,OPS0268514,22,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268878,20,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268819,100,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268822,100,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268879,100,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,GO PLANT LIMITED,A0045105, 04/02/2016,OPS0268561,200,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268821,200,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,GO PLANT LIMITED,A0045105, 18/02/2016,OPS0268823,9380.85,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,GO PLANT LIMITED,A0045105, 04/02/2016,OPS0268562,80,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Annual Hire Charge,36,GO PLANT LIMITED,A0045105, 18/02/2016,PCO0268804,4373.6,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Meeting Expenses,46,APPETITE,A0046890, 25/02/2016,DAL0269097,149.5,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Office and computer equipment,40,TWOFOLD LIMITED,A0047099, 11/02/2016,DAL0268734,211,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,LOOP PUBLISHING LTD,A0047429, 04/02/2016,PCO0268572,225,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM Materials,40,LOOP PUBLISHING LTD,A0047429, 18/02/2016,HED0268914,38.61,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BRUSHWOOD DESIGN LTD,A0048828, 25/02/2016,HED0269116,301.23,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Subscriptions & Donations,47,NATIONAL ASSOC OF MEMORIAL MASONS,A0050779, 11/02/2016,PCO0268692,205,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,32,ROSSENDALE VULCANISING (SALES LTD),A0051239, 11/02/2016,PCO0268684,20,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Premises Related Expense,Premises Cleaning,26,ROACH CLEANING & MAINTENANCE SERVICES LTD,A0051553, 11/02/2016,HMR0268689,40,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Premises Related Expense,Premises Cleaning,26,ROACH CLEANING & MAINTENANCE SERVICES LTD,A0051553, 11/02/2016,HMR0268691,40,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Indirect Employee Expenses,Recruitment,12,LIBERATA UK LTD,A0051618, 25/02/2016,PER0269063,30,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,LIBERATA UK LTD,A0051618, 11/02/2016,AAS0268726,1726.04,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/02/2016,AAS0268729,2158,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/02/2016,AAS0268728,10672.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/02/2016,AAS0268728,33026.8,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/02/2016,AAS0268728,24663.28,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/02/2016,AAS0268728,86909.83,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/02/2016,AAS0268728,50913.92,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 25/02/2016,AAS0269072,478.26,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 25/02/2016,AAS0269070,2155.26,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/02/2016,AAS0268728,83004.65,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Agency Costs,Liberata,53,LIBERATA UK LTD,A0051618, 11/02/2016,AAS0268728,120132.8,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Costs,Capital : Salaries,CD,LIBERATA UK LTD,A0051618, 25/02/2016,AAS0269071,2636.25,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Costs,Capital : Payments,CD,LIBERATA UK LTD,A0051618, 11/02/2016,AAS0268725,4925,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,SOUTHERN ELECTRIC,A0051726, 11/02/2016,EST0268748,115.09,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Supplies and Services,Other Expenses,47,FIDELITI LIMITED,A0052058, 11/02/2016,PER0268704,84.01,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,ALERT FIRE AND SECURITY LIMITED,A0052065, 04/02/2016,PCO0268571,53.2,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,C B PRICE & SONS BUILDERS,A0052117, 25/02/2016,PCO0268999,550,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C B PRICE & SONS BUILDERS,A0052117, 18/02/2016,PCO0268803,650,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,MANDALEIGH PLANTS LTD,A0052982, 18/02/2016,PCO0268863,188.75,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,NEIL WILLSON,A0053659, 11/02/2016,PCO0268685,185,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,NEIL WILLSON,A0053659, 18/02/2016,PCO0268865,48,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Daywork,21,NEIL WILLSON,A0053659, 18/02/2016,PCO0268864,225,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/02/2016,AAS0268933,9,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/02/2016,AAS0268933,9,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/02/2016,AAS0268933,10,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/02/2016,AAS0268933,13.35,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/02/2016,AAS0268933,11.55,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/02/2016,AAS0268933,13.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/02/2016,AAS0268933,9.35,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/02/2016,AAS0268933,11.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/02/2016,AAS0268933,21.03,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/02/2016,AAS0268933,9.41,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/02/2016,AAS0268933,9,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/02/2016,AAS0268933,9.18,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/02/2016,AAS0268933,9,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Mobile Phones,45,O2 (UK) LIMITED,A0053660, 18/02/2016,AAS0268933,10.69,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Financing Costs,Lease costs:Computer (Orchard),82,O2 (UK) LIMITED,A0053660, 18/02/2016,AAS0268933,7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Capital Financing Costs,Lease costs:Computer (Orchard),82,O2 (UK) LIMITED,A0053660, 18/02/2016,AAS0268933,7,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268900,-207.06,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268892,-100,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268893,-100,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268894,-100,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268897,-100,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268899,-100,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268897,-95.64,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268899,-79.3,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268892,-39.81,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268894,-38.53,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268900,16.12,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268892,84.85,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268892,213.99,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268897,263.06,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 11/02/2016,HMR0268695,297.37,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268893,304.62,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268894,374.31,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268897,577.92,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268899,869.25,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,NPOWER,A0054545, 18/02/2016,HMR0268900,1130.63,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,"Monitoring, Console etc",45,HOUSING PENDLE LIMITED,A0055008, 18/02/2016,HED0268922,24.37,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Indirect Employee Expenses,Training,12,BEN SHAW TRAINING LIMITED,A0055722, 18/02/2016,PCO0268800,115,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Indirect Employee Expenses,Training,12,BEN SHAW TRAINING LIMITED,A0055722, 18/02/2016,PCO0268800,275,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,ARTHUR PADGETT LTD,A0056366, 25/02/2016,HMR0269013,4560,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0057202, 11/02/2016,AAS0268709,29.83,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,47,FITZPATRICK WOOLMER DESIGN & PUBLISHING LTD,A0057577, 04/02/2016,HED0268594,445,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,47,P LEE WASTE OIL LIMTED,A0058412, 04/02/2016,OPS0268505,820,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Agency Costs,Lancashire C C,51,NSL LIMITED,A0059256, 04/02/2016,HED0268622,1406.25,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Seminars etc All Costs,46,JOHNSTON PUBLISHING LIMITED,A0059640, 25/02/2016,REG0269102,20,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Seminars etc All Costs,46,JOHNSTON PUBLISHING LIMITED,A0059640, 25/02/2016,REG0269103,305,N,N/A,N,N/A
Pendle Borough Council,Directorate,Supplies and Services,Adverts : Statutory Notice,47,JOHNSTON PUBLISHING LIMITED,A0059640, 11/02/2016,MAN0268702,235.98,N,N/A,N,N/A
Pendle Borough Council,Directorate,Supplies and Services,Adverts : Statutory Notice,47,JOHNSTON PUBLISHING LIMITED,A0059640, 18/02/2016,MAN0268837,314.64,N,N/A,N,N/A
Pendle Borough Council,Directorate,Supplies and Services,Other Expenses,47,JOHNSTON PUBLISHING LIMITED,A0059640, 11/02/2016,MAN0268700,78.66,N,N/A,N,N/A
Pendle Borough Council,Directorate,Supplies and Services,Other Expenses,47,JOHNSTON PUBLISHING LIMITED,A0059640, 11/02/2016,MAN0268701,78.66,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DEANFIELD TEST CENTRE LIMITED,A0059749, 25/02/2016,PCO0268994,40,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DEANFIELD TEST CENTRE LIMITED,A0059749, 25/02/2016,PCO0268994,262.82,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DEANFIELD TEST CENTRE LIMITED,A0059749, 25/02/2016,PCO0268995,40,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DEANFIELD TEST CENTRE LIMITED,A0059749, 25/02/2016,PCO0268995,262.82,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,32,DEANFIELD TEST CENTRE LIMITED,A0059749, 25/02/2016,PCO0268995,360,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,EXCELSIOR ROTO MOULDING LIMITED,A0059849, 11/02/2016,HED0268698,110,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,MAXIGIENE ENVIRONMENTAL SERVICES LTD,A0060911, 18/02/2016,EST0268951,105,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,MAXIGIENE ENVIRONMENTAL SERVICES LTD,A0060911, 18/02/2016,EST0268942,325,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD,MAXIGIENE ENVIRONMENTAL SERVICES LTD,A0060911, 18/02/2016,EST0268946,480,N,N/A,N,N/A
