Organisation Name (A),Dept (B),Service Cat Label (C),Purpose of Spend (D),Expenditure CIPFA Sub Group Label (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,124.12,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,130.18,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,132.27,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,144.79,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,26.85,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,65.77,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,86.3,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,111.41,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,60.17,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,108.96,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,127,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,152.03,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,29.8,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,129.28,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,134.33,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,136.17,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,21.77,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,88.7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,117.75,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,153.63,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,59.03,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,35.07,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,57.16,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,46.29,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,38.87,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,43.92,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,52.79,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,62.32,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,63.31,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,63.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,13.2,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,37.9,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,58.62,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,30.61,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,38.71,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,41.47,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,37.94,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,40.35,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,43.31,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,29.16,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,65.07,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,69.87,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,105.86,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,40.67,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,44.22,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,45.4,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,80.08,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,29.4,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,32.7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,44.53,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,49.69,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,42.22,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,43.63,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,34.51,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,37.72,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,33.62,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,34.4,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,43.98,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,69.28,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,41.76,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,44.45,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,46.44,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,47.9,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,52.31,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,47.04,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,48.92,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,51.4,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,59.41,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,44.61,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,27.65,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,27.88,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 26/04/2016,AAS0270717,27.93,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 12/04/2016,AAS0270485,33.04,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 20/04/2016,AAS0270679,59.88,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 05/04/2016,AAS0270484,62.56,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,G POOL,A0048441, 28/04/2016,HMR0270786,2796,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Support Services,Bank Charges,72,G4S CASH SOLUTIONS (UK) LIMITED,A0002616, 21/04/2016,AAS0270534,144.18,N,N/A,N,N/A
Pendle Borough Council,Human Resources,,Cash : Payroll Advances,PB,REDACTED - PERSONAL DATA,A0001507, 21/04/2016,PER0270618,48.65,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,GEORGE ROMNEY LIMITED,A0075747, 28/04/2016,REG0270775,111.92,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,47,GGP SYSTEMS LTD,A0042243, 14/04/2016,OPS0270293,1689.21,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,GIBSONS GARDEN MACHINERY LTD,A0001201, 07/04/2016,PCO0269990,25.23,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,GIBSONS GARDEN MACHINERY LTD,A0001201, 07/04/2016,PCO0269990,181.26,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,GIBSONS GARDEN MACHINERY LTD,A0001201, 07/04/2016,PCO0269991,121.54,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,GIBSONS GARDEN MACHINERY LTD,A0001201, 07/04/2016,PCO0269991,127.5,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Other Equipment,40,GLASDON UK LIMITED,A0078667, 07/04/2016,OPS0269921,559.4,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Other Equipment,40,GLASDON UK LIMITED,A0078667, 14/04/2016,OPS0270310,671.28,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Other Equipment,40,GLASDON UK LIMITED,A0078667, 14/04/2016,OPS0270310,865.2,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,44,GLOBAL PAYMENTS,A0072461, 18/04/2016,AAS0270685,7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Credit card and online charges,44,GLOBAL PAYMENTS,A0072461, 18/04/2016,AAS0270681,7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Credit card and online charges,44,GLOBAL PAYMENTS,A0072461, 18/04/2016,AAS0270682,7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Credit card and online charges,44,GLOBAL PAYMENTS,A0072461, 18/04/2016,AAS0270681,665.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Credit card and online charges,44,GLOBAL PAYMENTS,A0072461, 18/04/2016,AAS0270685,836.91,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Credit card and online charges,44,GLOBAL PAYMENTS,A0072461, 18/04/2016,AAS0270682,1231.77,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270623,61.7,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270639,119.46,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270625,171.45,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 14/04/2016,OPS0270222,183.68,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 14/04/2016,OPS0270223,92.75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270649,444.28,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 14/04/2016,OPS0270218,557.22,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270637,22.55,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 14/04/2016,OPS0270220,64.38,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270630,135.07,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 21/04/2016,OPS0270516,40.79,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 21/04/2016,OPS0270513,78.68,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270620,26.95,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270621,45.37,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270631,340.94,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270628,133.2,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270634,259.38,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270622,62.88,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270624,39.75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270626,24.32,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 21/04/2016,OPS0270519,84.8,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270632,489.75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270636,51.75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 14/04/2016,OPS0270219,107.85,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 14/04/2016,OPS0270224,51.75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270635,51.75,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270650,118.85,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 21/04/2016,OPS0270518,83.63,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 21/04/2016,OPS0270520,118.85,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270632,155.2,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 14/04/2016,OPS0270221,129.2,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 21/04/2016,OPS0270513,118.85,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270627,237.7,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270631,85.83,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270633,41.83,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 21/04/2016,OPS0270517,35.2,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270638,41.83,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270629,58.33,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 21/04/2016,PCO0270464,48.43,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tyres,32,GO PLANT LIMITED,A0045105, 21/04/2016,PCO0270463,28.63,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270640,100,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,GO PLANT LIMITED,A0045105, 28/04/2016,OPS0270652,750,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,GO PLANT LIMITED,A0045105, 21/04/2016,OPS0270515,50,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,GO PLANT LIMITED,A0045105, 07/04/2016,OPS0269940,200,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,GO PLANT LIMITED,A0045105, 14/04/2016,OPS0270285,64720.38,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Precept Parish & T Council,3,GOLDSHAWBOOTH PARISH COUNCIL,A0080533, 28/04/2016,AAS0270754,5237,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,GOLDSHAWBOOTH PARISH COUNCIL,A0080533, 07/04/2016,HED0269939,150,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,GOLDSHAWBOOTH PARISH COUNCIL,A0080533, 07/04/2016,HED0269942,471,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,GOLDSHAWBOOTH PARISH COUNCIL,A0080533, 07/04/2016,HED0269943,663,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,47,GRADKO INTERNATIONAL LTD,A0025806, 28/04/2016,ENV0270782,3.75,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,47,GRADKO INTERNATIONAL LTD,A0025806, 28/04/2016,ENV0270782,213,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,GREEN CLEAN RESTORATION,A0090368, 28/04/2016,HED0270731,685,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Seminars etc All Costs,46,GREGORY AUDIO VISUAL LIMITED,A0088934, 07/04/2016,REG0270024,6895,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,GUY MACHINERY LIMITED,A0070711, 07/04/2016,PCO0269933,38.6,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,GUY MACHINERY LIMITED,A0070711, 07/04/2016,PCO0269933,30,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,GUY MACHINERY LIMITED,A0070711, 07/04/2016,PCO0269989,37.52,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,HAGS - SMP LIMITED,A0090707, 21/04/2016,PCO0270461,462,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Reference Books Acts,43,HAMMICKS LEGAL INFORMATION SERVICES,A0045271, 07/04/2016,DAL0270170,220,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Printing & Stationery,43,HBINFO LTD,A0066405, 07/04/2016,AAS0270101,399,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Miscellaneous : Other,47,HENRY CHRISTOPHER COMMERCIAL PRINTERS LTD,A0081256, 14/04/2016,OPS0270312,167,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,HERITAGE CARDS & SOUVENIRS LTD,A0077997, 28/04/2016,REG0270708,30,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,HERITAGE CARDS & SOUVENIRS LTD,A0077997, 14/04/2016,REG0270424,129.9,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,HERITAGE CARDS & SOUVENIRS LTD,A0077997, 28/04/2016,REG0270710,258.11,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Precept Parish & T Council,3,HIGHAM WITH WEST CLOSE BOOTH PC,A0090493, 28/04/2016,AAS0270757,13657,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,47,HIGHER UP LIMITED,A0080959, 07/04/2016,HED0270143,41,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Court Fees,44,HM COURTS & TRIBUNALS SERVICE,A0083319, 18/04/2016,AAS0270680,485,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,44,HM COURTS & TRIBUNALS SERVICE,A0090353, 28/04/2016,AAS0270995,63,N,N/A,N,N/A
Pendle Borough Council,Revenues Services,Supplies and Services,Consultants Fees,44,HM COURTS & TRIBUNALS SERVICE,A0090353, 07/04/2016,TRE0270140,525,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Consultants Fees,44,HM COURTS & TRIBUNALS SERVICE,A0090353, 28/04/2016,AAS0270995,1236,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,"Monitoring, Console etc",45,HOUSING PENDLE LIMITED,A0055008, 07/04/2016,OPS0269977,5562,N,N/A,N,N/A
