ORGANISATION NAME,EFFECTIVE    DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1267.2,INDIVIDUAL SERVICE FUND,V001047047
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1809.24,INDIVIDUAL SERVICE FUND,V001047048
ROCHDALE BOROUGH COUNCIL,23/09/2016,PHYSICAL DIS & OLDER PEOPLE,ROYAL MENCAP SOCIETY,23/09/2016,4083.2,INDIVIDUAL SERVICE FUND,V001047049
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1373.2,INDIVIDUAL SERVICE FUND,V001047050
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,2071.92,INDIVIDUAL SERVICE FUND,V001047051
ROCHDALE BOROUGH COUNCIL,23/09/2016,PHYSICAL DIS & OLDER PEOPLE,BESPOKE SUPPORTED LIVING LTD,23/09/2016,3325,SUPPORTED LIVING,V001047052
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,558.8,INDIVIDUAL SERVICE FUND,V001047054
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,762,INDIVIDUAL SERVICE FUND,V001047055
ROCHDALE BOROUGH COUNCIL,23/09/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,23/09/2016,1036,INDIVIDUAL SERVICE FUND,V001047056
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,558.8,INDIVIDUAL SERVICE FUND,V001047057
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1056,INDIVIDUAL SERVICE FUND,V001047059
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,644,INDIVIDUAL SERVICE FUND,V001047060
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,23/09/2016,2496,INDIVIDUAL SERVICE FUND,V001047061
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,507.68,INDIVIDUAL SERVICE FUND,V001047062
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,23/09/2016,556.6,INDIVIDUAL SERVICE FUND,V001047063
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,762,INDIVIDUAL SERVICE FUND,V001047064
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,3113.32,INDIVIDUAL SERVICE FUND,V001047065
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,23/09/2016,520,INDIVIDUAL SERVICE FUND,V001047066
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,23/09/2016,3903.28,INDIVIDUAL SERVICE FUND,V001047067
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1278.4,INDIVIDUAL SERVICE FUND,V001047068
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1404.12,INDIVIDUAL SERVICE FUND,V001047069
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,509.52,INDIVIDUAL SERVICE FUND,V001047070
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1082.36,INDIVIDUAL SERVICE FUND,V001047071
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1572.6,INDIVIDUAL SERVICE FUND,V001047072
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,780,INDIVIDUAL SERVICE FUND,V001047073
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,BLUE PITS HOUSING ACTION,23/09/2016,560,SUPPORTED LIVING,V001047075
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,23/09/2016,3136,SUPPORTED LIVING,V001047076
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1371.6,INDIVIDUAL SERVICE FUND,V001047077
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,23/09/2016,1582,SUPPORTED LIVING,V001047078
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1280.76,INDIVIDUAL SERVICE FUND,V001047080
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,23/09/2016,672,SUPPORTED LIVING,V001047081
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,5274.08,INDIVIDUAL SERVICE FUND,V001047082
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,2483.32,INDIVIDUAL SERVICE FUND,V001047083
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,23/09/2016,1203.51,PERSONAL BUDGETS - MANAGED,V001047084
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,989.16,INDIVIDUAL SERVICE FUND,V001047085
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,23/09/2016,2306.52,INDIVIDUAL SERVICE FUND,V001047086
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,813.68,INDIVIDUAL SERVICE FUND,V001047088
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,PROTEA CARE MANCHESTER LTD,23/09/2016,3066.64,SUPPORTED LIVING,V001047089
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,2128,INDIVIDUAL SERVICE FUND,V001047090
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,849.24,INDIVIDUAL SERVICE FUND,V001047091
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,UNITED RESPONSE,23/09/2016,1591,INDIVIDUAL SERVICE FUND,V001047092
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,849.24,INDIVIDUAL SERVICE FUND,V001047093
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,2446.96,INDIVIDUAL SERVICE FUND,V001047094
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1224.4,INDIVIDUAL SERVICE FUND,V001047095
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,849.24,INDIVIDUAL SERVICE FUND,V001047096
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1280.76,INDIVIDUAL SERVICE FUND,V001047097
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,2067.96,INDIVIDUAL SERVICE FUND,V001047098
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1280.76,INDIVIDUAL SERVICE FUND,V001047099
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1585.24,INDIVIDUAL SERVICE FUND,V001047100
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,849.24,INDIVIDUAL SERVICE FUND,V001047101
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1280.76,INDIVIDUAL SERVICE FUND,V001047102
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1667.52,INDIVIDUAL SERVICE FUND,V001047103
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,3485.8,INDIVIDUAL SERVICE FUND,V001047104
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,23/09/2016,1618,INDIVIDUAL SERVICE FUND,V001047105
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,520.4,INDIVIDUAL SERVICE FUND,V001047106
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1151.96,INDIVIDUAL SERVICE FUND,V001047107
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,849.24,INDIVIDUAL SERVICE FUND,V001047109
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,669.95,INDIVIDUAL SERVICE FUND,V001047110
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1544,INDIVIDUAL SERVICE FUND,V001047111
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,2639.16,INDIVIDUAL SERVICE FUND,V001047112
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,849.24,INDIVIDUAL SERVICE FUND,V001047113
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,849.24,INDIVIDUAL SERVICE FUND,V001047114
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,849.24,INDIVIDUAL SERVICE FUND,V001047115
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1110.92,INDIVIDUAL SERVICE FUND,V001047116
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,507.68,INDIVIDUAL SERVICE FUND,V001047117
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,23/09/2016,4429.76,INDIVIDUAL SERVICE FUND,V001047118
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,23/09/2016,2314.84,INDIVIDUAL SERVICE FUND,V001047119
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,SELECT SUPPORT PARTNERSHIPS,23/09/2016,1935.48,SUPPORTED LIVING,V001047123
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1609,INDIVIDUAL SERVICE FUND,V001047126
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,23/09/2016,2028,SUPPORTED LIVING,V001047127
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,23/09/2016,3299.65,PERSONAL BUDGETS - MANAGED,V001047128
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,23/09/2016,2175.14,SUPPORTED LIVING,V001047129
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,PROTEA CARE MANCHESTER LTD,23/09/2016,2618,SUPPORTED LIVING,V001047130
ROCHDALE BOROUGH COUNCIL,23/09/2016,PHYSICAL DIS & OLDER PEOPLE,POSSABILITIES CIC ISF,23/09/2016,2743.72,INDIVIDUAL SERVICE FUND,V001047132
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,849.24,INDIVIDUAL SERVICE FUND,V001047133
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,849.24,INDIVIDUAL SERVICE FUND,V001047134
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,23/09/2016,1110.76,INDIVIDUAL SERVICE FUND,V001047135
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1104.28,INDIVIDUAL SERVICE FUND,V001047136
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,23/09/2016,998,SUPPORTED LIVING,V001047137
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,CARETECH COMMUNITY SERVICES LTD,23/09/2016,668.64,SUPPORTED LIVING,V001047138
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,CARETECH COMMUNITY SERVICES LTD,23/09/2016,1337.28,SUPPORTED LIVING,V001047139
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,CARETECH COMMUNITY SERVICES LTD,23/09/2016,1337.28,SUPPORTED LIVING,V001047140
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,CARETECH COMMUNITY SERVICES LTD,23/09/2016,1337.28,SUPPORTED LIVING,V001047141
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,CARETECH COMMUNITY SERVICES LTD,23/09/2016,1337.28,SUPPORTED LIVING,V001047142
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,CARETECH COMMUNITY SERVICES LTD,23/09/2016,1337.28,SUPPORTED LIVING,V001047143
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,CARETECH COMMUNITY SERVICES LTD,23/09/2016,1337.28,SUPPORTED LIVING,V001047144
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,CARETECH COMMUNITY SERVICES LTD,23/09/2016,1337.28,SUPPORTED LIVING,V001047145
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,CARETECH COMMUNITY SERVICES LTD,23/09/2016,7888.36,SUPPORTED LIVING,V001047146
ROCHDALE BOROUGH COUNCIL,23/09/2016,PHYSICAL DIS & OLDER PEOPLE,POSSABILITIES CIC ISF,23/09/2016,1900.8,INDIVIDUAL SERVICE FUND,V001047147
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,23/09/2016,832,SUPPORTED LIVING,V001047148
ROCHDALE BOROUGH COUNCIL,23/09/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,23/09/2016,609.48,INDIVIDUAL SERVICE FUND,V001047153
ROCHDALE BOROUGH COUNCIL,23/09/2016,PHYSICAL DIS & OLDER PEOPLE,SEVA SUPPORT LTD,23/09/2016,5872.16,SUPPORTED LIVING,V001047154
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,PROTEA CARE MANCHESTER LTD,23/09/2016,3248,SUPPORTED LIVING,V001047155
ROCHDALE BOROUGH COUNCIL,23/09/2016,PHYSICAL DIS & OLDER PEOPLE,VOYAGE CARE,23/09/2016,7802.6,SUPPORTED LIVING,V001047156
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,23/09/2016,5415.48,INDIVIDUAL SERVICE FUND,V001047158
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,23/09/2016,4928.2,INDIVIDUAL SERVICE FUND,V001047159
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,3643.88,INDIVIDUAL SERVICE FUND,V001047160
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,23/09/2016,1040,INDIVIDUAL SERVICE FUND,V001047162
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,749.32,INDIVIDUAL SERVICE FUND,V001047163
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,23/09/2016,2590.16,INDIVIDUAL SERVICE FUND,V001047164
ROCHDALE BOROUGH COUNCIL,23/09/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,23/09/2016,1368,INDIVIDUAL SERVICE FUND,V001047165
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,23/09/2016,2391.72,SUPPORTED LIVING,V001047166
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,BLUE PITS HOUSING ACTION,23/09/2016,700,SUPPORTED LIVING,V001047167
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1056,INDIVIDUAL SERVICE FUND,V001047168
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,679.4,INDIVIDUAL SERVICE FUND,V001047169
ROCHDALE BOROUGH COUNCIL,23/09/2016,PHYSICAL DIS & OLDER PEOPLE,ROYAL MENCAP SOCIETY,23/09/2016,3796.96,INDIVIDUAL SERVICE FUND,V001047170
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,23/09/2016,4170.48,SUPPORTED LIVING,V001047171
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1922.8,INDIVIDUAL SERVICE FUND,V001047172
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1950.44,INDIVIDUAL SERVICE FUND,V001047173
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,23/09/2016,1057.05,PERSONAL BUDGETS - MANAGED,V001047175
ROCHDALE BOROUGH COUNCIL,23/09/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,23/09/2016,836,INDIVIDUAL SERVICE FUND,V001047176
ROCHDALE BOROUGH COUNCIL,23/09/2016,PHYSICAL DIS & OLDER PEOPLE,SELECT SUPPORT PARTNERSHIPS,23/09/2016,1176,SUPPORTED LIVING,V001047180
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,23/09/2016,8855,INDIVIDUAL SERVICE FUND,V001047181
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,2534.4,INDIVIDUAL SERVICE FUND,V001047183
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,2686.64,INDIVIDUAL SERVICE FUND,V001047184
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,23/09/2016,1051.76,INDIVIDUAL SERVICE FUND,V001047185
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,23/09/2016,6321,INDIVIDUAL SERVICE FUND,V001047188
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,23/09/2016,3946.4,INDIVIDUAL SERVICE FUND,V001047189
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,23/09/2016,1825.32,INDIVIDUAL SERVICE FUND,V001047190
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,2969.12,INDIVIDUAL SERVICE FUND,V001047191
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,STEPPING STONES SERVICES LTD,23/09/2016,5260,INDIVIDUAL SERVICE FUND,V001047192
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,23/09/2016,2910,INDIVIDUAL SERVICE FUND,V001047193
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,23/09/2016,4539.44,INDIVIDUAL SERVICE FUND,V001047195
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,PENDLETON CARE LTD,23/09/2016,2100,INDIVIDUAL SERVICE FUND,V001047196
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,23/09/2016,3690.2,INDIVIDUAL SERVICE FUND,V001047198
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,792,INDIVIDUAL SERVICE FUND,V001047199
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,23/09/2016,3558.08,INDIVIDUAL SERVICE FUND,V001047201
ROCHDALE BOROUGH COUNCIL,23/09/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,23/09/2016,660,INDIVIDUAL SERVICE FUND,V001047203
ROCHDALE BOROUGH COUNCIL,23/09/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,23/09/2016,548,INDIVIDUAL SERVICE FUND,V001047204
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,558.8,INDIVIDUAL SERVICE FUND,V001047205
ROCHDALE BOROUGH COUNCIL,23/09/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,23/09/2016,696.4,INDIVIDUAL SERVICE FUND,V001047206
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,558.8,INDIVIDUAL SERVICE FUND,V001047208
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,755.96,INDIVIDUAL SERVICE FUND,V001047211
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,539.44,INDIVIDUAL SERVICE FUND,V001047212
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,5607.96,INDIVIDUAL SERVICE FUND,V001047216
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,-5405.4,INDIVIDUAL SERVICE FUND,V001047219
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,-7207.2,INDIVIDUAL SERVICE FUND,V001047220
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,23/09/2016,2193.71,INDIVIDUAL SERVICE FUND,V001047221
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1168.4,INDIVIDUAL SERVICE FUND,V001047222
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LIMITED ISF PAYMENTS,23/09/2016,1591.52,INDIVIDUAL SERVICE FUND,V001047223
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,2423.28,INDIVIDUAL SERVICE FUND,V001047224
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,23/09/2016,1012.2,INDIVIDUAL SERVICE FUND,V001047225
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,23/09/2016,1560,INDIVIDUAL SERVICE FUND,V001047226
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,23/09/2016,3806.4,INDIVIDUAL SERVICE FUND,V001047227
ROCHDALE BOROUGH COUNCIL,23/09/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,23/09/2016,1711.8,DIRECT PAYMENTS,V001047228
