Customer,Number of Travellers, Total Cost ex VAT ,Travel Class,Ticket Single or Return,Travel Date,Journey Start Point,Journey Finish Point,Air Carrier
Maritime and Coastguard Agency,1,£64.05,ECONOMY,Return,22/5/2011,LONDON - LGW,NULL,EASYJET
Maritime and Coastguard Agency,1,£14.50,ECONOMY,Single,22/5/2011,EDINBURGH,EDINBURGH,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£32.50,ECONOMY,Single,23/5/2011,INVERNESS,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£274.50,ECONOMY,Return,24/5/2011,LONDON - LHR,GOTHENBURG,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£210.48,ECONOMY,Return,24/5/2011,GLASGOW,LERWICK,FLYBE
Maritime and Coastguard Agency,1,"£1,046.40",BUSINESS,Return,25/5/2011,NEWCASTLE,ROME,KLM
Maritime and Coastguard Agency,1,"£1,002.00",BUSINESS,Return,25/5/2011,LONDON - LHR,ATHENS,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£370.24,ECONOMY,Return,25/5/2011,GLASGOW,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£344.50,ECONOMY,Return,25/5/2011,LONDON - LHR,COPENHAGEN,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£344.50,ECONOMY,Return,25/5/2011,LONDON - LHR,COPENHAGEN,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£325.34,ECONOMY,Return,25/5/2011,EDINBURGH,AMSTERDAM,KLM
Maritime and Coastguard Agency,1,£323.10,ECONOMY,Return,25/5/2011,LONDON - LHR,HAMBURG,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£321.62,ECONOMY,Return,25/5/2011,GLASGOW,STORNOWAY,FLYBE
Maritime and Coastguard Agency,1,£287.87,ECONOMY,Return,25/5/2011,BELFAST CITY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£287.24,ECONOMY,Return,25/5/2011,SOUTHAMPTON,GLASGOW,FLYBE
Maritime and Coastguard Agency,1,£282.24,ECONOMY,Return,25/5/2011,GLASGOW,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£272.50,ECONOMY,Return,25/5/2011,LONDON - LGW,OSLO,NORWEGIAN AIR SHUTTLE A.
Maritime and Coastguard Agency,1,£263.87,ECONOMY,Return,25/5/2011,BELFAST CITY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£243.30,BUSINESS,Return,25/5/2011,ABERDEEN,SOUTHAMPTON,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£191.30,ECONOMY,Single,25/5/2011,SOUTHAMPTON,ABERDEEN,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£191.30,ECONOMY,Single,25/5/2011,SOUTHAMPTON,ABERDEEN,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£179.24,ECONOMY,Return,25/5/2011,GLASGOW,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£172.80,ECONOMY,Return,25/5/2011,LONDON - LHR,LISBON,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£169.15,ECONOMY,Return,25/5/2011,BELFAST CITY,GLASGOW,FLYBE
Maritime and Coastguard Agency,1,£164.04,ECONOMY,Return,25/5/2011,ABERDEEN,LONDON - LHR,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£161.95,ECONOMY,Return,25/5/2011,LEEDS,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£112.52,ECONOMY,Return,25/5/2011,MANCHESTER,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£71.92,ECONOMY,Single,25/5/2011,EDINBURGH,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£10.99,ECONOMY,Single,25/5/2011,EDINBURGH,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,"£1,002.00",BUSINESS,Return,25/5/2011,LONDON - LHR,ATHENS,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,"£1,046.40",BUSINESS,Return,25/5/2011,NEWCASTLE,ROME,KLM
Maritime and Coastguard Agency,1,"£1,183.40",BUSINESS,Return,26/5/2011,TEES SIDE,ISTANBUL,KLM
Maritime and Coastguard Agency,1,£413.23,ECONOMY,Return,26/5/2011,ABERDEEN,LERWICK,FLYBE
Maritime and Coastguard Agency,1,£413.23,ECONOMY,Return,26/5/2011,ABERDEEN,LERWICK,FLYBE
Maritime and Coastguard Agency,1,£365.92,ECONOMY,Return,26/5/2011,EDINBURGH,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£267.87,ECONOMY,Return,26/5/2011,BELFAST CITY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£213.15,ECONOMY,Return,26/5/2011,GLASGOW,BELFAST CITY,FLYBE
Maritime and Coastguard Agency,1,£209.98,ECONOMY,Return,26/5/2011,LONDON - LGW,ABERDEEN,FLYBE
Maritime and Coastguard Agency,1,£180.96,ECONOMY,Return,26/5/2011,LONDON - LGW,ABERDEEN,FLYBE
Maritime and Coastguard Agency,1,"£1,183.40",BUSINESS,Return,26/5/2011,TEES SIDE,ISTANBUL,KLM
Maritime and Coastguard Agency,1,£321.26,ECONOMY,Return,27/5/2011,GLASGOW,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£310.87,ECONOMY,Return,27/5/2011,BELFAST CITY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£305.00,ECONOMY,Return,27/5/2011,AARHUS,COPENHAGEN,SCANDINAVIAN AIRLINES
Maritime and Coastguard Agency,1,£216.30,ECONOMY,Single,27/5/2011,SOUTHAMPTON,ABERDEEN,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£216.30,ECONOMY,Single,27/5/2011,SOUTHAMPTON,ABERDEEN,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£205.14,ECONOMY,Single,27/5/2011,LERWICK,EDINBURGH,FLYBE
Maritime and Coastguard Agency,1,£177.00,ECONOMY,Single,28/5/2011,SOUTHAMPTON,GLASGOW,FLYBE
Maritime and Coastguard Agency,1,£157.98,ECONOMY,Return,28/5/2011,NEWCASTLE,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£208.50,ECONOMY,Return,29/5/2011,AARHUS,COPENHAGEN,SCANDINAVIAN AIRLINES
Maritime and Coastguard Agency,1,£208.50,ECONOMY,Return,29/5/2011,AARHUS,COPENHAGEN,SCANDINAVIAN AIRLINES
Maritime and Coastguard Agency,1,£99.20,ECONOMY,Single,29/5/2011,EDINBURGH,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£99.20,ECONOMY,Single,29/5/2011,EDINBURGH,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£95.49,ECONOMY,Single,29/5/2011,NEWCASTLE,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£585.24,ECONOMY,Return,1/6/2011,EDINBURGH,AMSTERDAM,KLM
Maritime and Coastguard Agency,1,£410.56,ECONOMY,Return,1/6/2011,EDINBURGH,KIRKWALL,FLYBE
Maritime and Coastguard Agency,1,£123.93,ECONOMY,Return,1/6/2011,LONDON - LGW,AMSTERDAM,EASYJET
Maritime and Coastguard Agency,1,£47.15,ECONOMY,Return,1/6/2011,LONDON - LGW,AMSTERDAM,EASYJET
Maritime and Coastguard Agency,1,£40.00,BUSINESS,Return,1/6/2011,LONDON - LHR,PISA,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£18.00,ECONOMY,Return,1/6/2011,LONDON - LGW,AMSTERDAM,EASYJET
Maritime and Coastguard Agency,1,£562.20,BUSINESS,Return,2/6/2011,LONDON - LHR,PISA,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£557.64,ECONOMY,Return,2/6/2011,STORNOWAY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£479.90,ECONOMY,Return,2/6/2011,NEWCASTLE,NICE,AIR FRANCE
Maritime and Coastguard Agency,1,£383.30,ECONOMY,Return,2/6/2011,ABERDEEN,SOUTHAMPTON,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£353.87,ECONOMY,Return,2/6/2011,BELFAST CITY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£334.26,ECONOMY,Return,2/6/2011,GLASGOW,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£319.92,ECONOMY,Return,2/6/2011,EDINBURGH,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£303.92,ECONOMY,Return,2/6/2011,EDINBURGH,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£273.30,ECONOMY,Return,2/6/2011,ABERDEEN,SOUTHAMPTON,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£266.69,ECONOMY,Return,2/6/2011,NEWCASTLE,PALMA MALLORCA,JET 2
Maritime and Coastguard Agency,1,£232.50,ECONOMY,Return,2/6/2011,SOUTHAMPTON,PARIS - ORLY,FLYBE
Maritime and Coastguard Agency,1,£203.07,ECONOMY,Return,2/6/2011,EDINBURGH,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£141.06,ECONOMY,Return,2/6/2011,SOUTHAMPTON,LEEDS,FLYBE
Maritime and Coastguard Agency,1,£132.00,PREMIUM ECONOMY,Single,2/6/2011,BRUSSELS,COPENHAGEN,SN BRUSSELS AIRLINES
Maritime and Coastguard Agency,1,£98.48,ECONOMY,Single,2/6/2011,SOUTHAMPTON,BRUSSELS,FLYBE
Maritime and Coastguard Agency,1,£65.00,ECONOMY,Return,2/6/2011,LEEDS,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£65.00,ECONOMY,Return,2/6/2011,LEEDS,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£25.98,ECONOMY,Return,2/6/2011,SOUTHAMPTON,LEEDS,FLYBE
Maritime and Coastguard Agency,1,£21.98,ECONOMY,Return,2/6/2011,STORNOWAY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£10.99,ECONOMY,Return,2/6/2011,EDINBURGH,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£757.90,BUSINESS,Return,3/6/2011,LONDON - LHR,BARCELONA,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£300.24,ECONOMY,Return,3/6/2011,GLASGOW,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£154.97,ECONOMY,Return,3/6/2011,STORNOWAY,INVERNESS,FLYBE
Maritime and Coastguard Agency,1,£40.00,BUSINESS,Single,3/6/2011,PISA,LONDON - LHR,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£441.75,ECONOMY,Return,4/6/2011,NORWICH,AMSTERDAM,KLM
Maritime and Coastguard Agency,1,£120.20,ECONOMY,Single,4/6/2011,COPENHAGEN,AMSTERDAM,CIMBER STERLING
Maritime and Coastguard Agency,1,£89.77,ECONOMY,Single,4/6/2011,AMSTERDAM,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,"£4,002.43",BUSINESS,Return,5/6/2011,LONDON - LHR,MELBOURNE,QANTAS
Maritime and Coastguard Agency,1,£103.72,ECONOMY,Single,5/6/2011,SOUTHAMPTON,GLASGOW,FLYBE
Maritime and Coastguard Agency,1,£75.83,ECONOMY,Single,5/6/2011,SOUTHAMPTON,EDINBURGH,FLYBE
Maritime and Coastguard Agency,1,£69.00,ECONOMY,Single,5/6/2011,SOUTHAMPTON,ABERDEEN,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£50.00,ECONOMY,Single,5/6/2011,SOUTHAMPTON,ABERDEEN,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£27.50,ECONOMY,Single,5/6/2011,SOUTHAMPTON,BELFAST CITY,FLYBE
Maritime and Coastguard Agency,1,"£4,002.43",BUSINESS,Return,5/6/2011,LONDON - LHR,MELBOURNE,QANTAS
Maritime and Coastguard Agency,1,"£1,153.18",BUSINESS,Return,7/6/2011,NEWCASTLE,ROME,KLM
Maritime and Coastguard Agency,1,£551.60,BUSINESS,Return,7/6/2011,LONDON - LGW,PISA,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£289.22,BUSINESS,Return,7/6/2011,EDINBURGH,LONDON - LHR,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£270.24,ECONOMY,Return,7/6/2011,GLASGOW,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£259.60,ECONOMY,Single,7/6/2011,STORNOWAY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£236.81,ECONOMY,Return,7/6/2011,LONDON - LGW,INVERNESS,FLYBE
Maritime and Coastguard Agency,1,£230.87,ECONOMY,Return,7/6/2011,BELFAST CITY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£217.00,ECONOMY,Single,7/6/2011,ABERDEEN,SOUTHAMPTON,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£210.48,ECONOMY,Single,7/6/2011,GLASGOW,LERWICK,FLYBE
Maritime and Coastguard Agency,1,£172.87,ECONOMY,Return,7/6/2011,BELFAST CITY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£154.30,ECONOMY,Single,7/6/2011,INVERNESS,MANCHESTER,FLYBE
Maritime and Coastguard Agency,1,£42.53,ECONOMY,Single,7/6/2011,BOURNEMOUTH,PALMA MALLORCA,BRITANNIA AIRWAYS
Maritime and Coastguard Agency,1,£4.00,ECONOMY,Single,7/6/2011,INVERNESS,MANCHESTER,FLYBE
Maritime and Coastguard Agency,1,"£1,153.18",BUSINESS,Return,7/6/2011,NEWCASTLE,ROME,KLM
Maritime and Coastguard Agency,1,"£3,736.23",BUSINESS,Return,8/6/2011,LONDON - LHR,LOS ANGELES,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,"£3,735.93",BUSINESS,Return,8/6/2011,LONDON - LHR,LOS ANGELES,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£579.52,ECONOMY,Return,8/6/2011,SOUTHAMPTON,LERWICK,FLYBE
Maritime and Coastguard Agency,1,£579.52,ECONOMY,Return,8/6/2011,SOUTHAMPTON,LERWICK,FLYBE
Maritime and Coastguard Agency,1,£313.30,ECONOMY,Return,8/6/2011,SOUTHAMPTON,ABERDEEN,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£292.50,ECONOMY,Return,8/6/2011,STORNOWAY,ABERDEEN,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£288.97,ECONOMY,Return,8/6/2011,BELFAST CITY,ABERDEEN,FLYBE
Maritime and Coastguard Agency,1,£206.87,ECONOMY,Return,8/6/2011,SOUTHAMPTON,BELFAST CITY,FLYBE
Maritime and Coastguard Agency,1,£206.87,ECONOMY,Return,8/6/2011,SOUTHAMPTON,BELFAST CITY,FLYBE
Maritime and Coastguard Agency,1,£188.14,ECONOMY,Single,8/6/2011,LERWICK,ABERDEEN,FLYBE
Maritime and Coastguard Agency,1,£176.96,ECONOMY,Return,8/6/2011,LONDON - LGW,ABERDEEN,FLYBE
Maritime and Coastguard Agency,1,£98.99,ECONOMY,Single,8/6/2011,LEEDS,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£50.00,ECONOMY,Return,8/6/2011,EDINBURGH,AMSTERDAM,KLM
Maritime and Coastguard Agency,1,"£3,736.23",BUSINESS,Return,8/6/2011,LONDON - LHR,LOS ANGELES,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,"£3,735.93",BUSINESS,Return,8/6/2011,LONDON - LHR,LOS ANGELES,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£675.79,ECONOMY,Return,9/6/2011,NEWCASTLE,NICE,AIR FRANCE
Maritime and Coastguard Agency,1,£656.70,BUSINESS,Return,9/6/2011,LONDON - LGW,MARSEILLE,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£362.62,ECONOMY,Return,9/6/2011,GLASGOW,LERWICK,FLYBE
Maritime and Coastguard Agency,1,£195.00,ECONOMY,Single,9/6/2011,ABERDEEN,SOUTHAMPTON,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£183.50,ECONOMY,Return,9/6/2011,LONDON - LGW,PISA,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£134.87,ECONOMY,Return,9/6/2011,BELFAST CITY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£523.60,BUSINESS,Return,10/6/2011,LONDON - LHR,GOTHENBURG,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£323.30,ECONOMY,Return,10/6/2011,SOUTHAMPTON,ABERDEEN,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£313.24,ECONOMY,Return,10/6/2011,GLASGOW,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£304.16,ECONOMY,Return,10/6/2011,SOUTHAMPTON,DUBLIN,FLYBE
Maritime and Coastguard Agency,1,£264.58,ECONOMY,Return,10/6/2011,LONDON - LHR,HAMBURG,LUFTHANSA
Maritime and Coastguard Agency,1,£192.00,ECONOMY,Single,10/6/2011,ABERDEEN,SOUTHAMPTON,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£180.89,ECONOMY,Return,10/6/2011,SOUTHAMPTON,BELFAST CITY,FLYBE
Maritime and Coastguard Agency,1,£164.47,ECONOMY,Return,10/6/2011,CARDIFF,DUBLIN,AER LINGUS
Maritime and Coastguard Agency,1,£156.20,ECONOMY,Return,10/6/2011,GLASGOW,BARRA,FLYBE
Maritime and Coastguard Agency,1,£147.96,ECONOMY,Return,10/6/2011,SOUTHAMPTON,NEWCASTLE,FLYBE
Maritime and Coastguard Agency,1,£82.98,ECONOMY,Return,10/6/2011,LIVERPOOL,DUBLIN,RYANAIR
Maritime and Coastguard Agency,1,£68.90,ECONOMY,Single,10/6/2011,PALMA MALLORCA,ALICANTE,AIR BERLIN
Maritime and Coastguard Agency,1,£55.00,ECONOMY,Single,10/6/2011,SOUTHAMPTON,LEEDS,FLYBE
Maritime and Coastguard Agency,1,£234.33,ECONOMY,Return,11/6/2011,SOUTHAMPTON,DUBLIN,FLYBE
Maritime and Coastguard Agency,1,£217.98,ECONOMY,Return,11/6/2011,SOUTHAMPTON,NEWCASTLE,FLYBE
Maritime and Coastguard Agency,1,£197.98,ECONOMY,Return,11/6/2011,SOUTHAMPTON,NEWCASTLE,FLYBE
Maritime and Coastguard Agency,1,£140.80,BUSINESS,Single,11/6/2011,LA CORUNA,LONDON - LHR,IBERIA
Maritime and Coastguard Agency,1,£105.88,ECONOMY,Return,11/6/2011,GLASGOW,LONDON -CITY,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£103.48,ECONOMY,Single,11/6/2011,SOUTHAMPTON,GLASGOW,FLYBE
Maritime and Coastguard Agency,1,£74.48,ECONOMY,Single,11/6/2011,SOUTHAMPTON,LEEDS,FLYBE
Maritime and Coastguard Agency,1,£327.24,ECONOMY,Return,12/6/2011,SOUTHAMPTON,GLASGOW,FLYBE
Maritime and Coastguard Agency,1,£303.30,ECONOMY,Return,12/6/2011,ABERDEEN,SOUTHAMPTON,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£152.48,ECONOMY,Single,12/6/2011,SOUTHAMPTON,GLASGOW,FLYBE
Maritime and Coastguard Agency,1,£94.48,ECONOMY,Single,12/6/2011,GLASGOW,STORNOWAY,FLYBE
Maritime and Coastguard Agency,1,"£3,775.00",BUSINESS,Return,13/6/2011,TEES SIDE,HONG KONG,KLM
Maritime and Coastguard Agency,1,£341.60,ECONOMY,Return,13/6/2011,STORNOWAY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£174.21,ECONOMY,Return,13/6/2011,LONDON -CITY,ANTWERP,AIR FRANCE
Maritime and Coastguard Agency,1,£68.97,ECONOMY,Single,13/6/2011,ALICANTE,BOURNEMOUTH,RYANAIR
Maritime and Coastguard Agency,1,£25.98,ECONOMY,Return,13/6/2011,STORNOWAY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,"£3,775.00",BUSINESS,Return,13/6/2011,TEES SIDE,HONG KONG,KLM
Maritime and Coastguard Agency,1,"£6,415.33",BUSINESS,Return,14/6/2011,LONDON - LHR,BRISBANE,SINGAPORE AIRLINES
Maritime and Coastguard Agency,1,"£6,415.33",BUSINESS,Return,14/6/2011,LONDON - LHR,BRISBANE,SINGAPORE AIRLINES
Maritime and Coastguard Agency,1,£232.90,ECONOMY,Return,14/6/2011,ABERDEEN,BRISTOL,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£180.87,ECONOMY,Return,14/6/2011,BELFAST CITY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,"£6,415.33",BUSINESS,Return,14/6/2011,LONDON - LHR,BRISBANE,SINGAPORE AIRLINES
Maritime and Coastguard Agency,1,"£6,415.33",BUSINESS,Return,14/6/2011,LONDON - LHR,BRISBANE,SINGAPORE AIRLINES
Maritime and Coastguard Agency,1,£579.59,ECONOMY,Return,15/6/2011,NEWCASTLE,PISA,AIR FRANCE
Maritime and Coastguard Agency,1,£360.00,ECONOMY,Return,15/6/2011,LONDON - LHR,NICE,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£251.17,ECONOMY,Return,15/6/2011,GLASGOW,BELFAST CITY,FLYBE
Maritime and Coastguard Agency,1,£246.90,ECONOMY,Return,15/6/2011,LONDON - LHR,HAMBURG,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£183.46,ECONOMY,Return,15/6/2011,MANCHESTER,DUBLIN,RYANAIR
Maritime and Coastguard Agency,1,£183.07,ECONOMY,Return,15/6/2011,LUTON,HAMBURG,EASYJET
Maritime and Coastguard Agency,1,£82.48,ECONOMY,Single,15/6/2011,LONDON - LGW,ABERDEEN,FLYBE
Maritime and Coastguard Agency,1,£450.80,ECONOMY,Return,16/6/2011,LONDON - LHR,MADRID,IBERIA
Maritime and Coastguard Agency,1,£349.80,BUSINESS,Return,16/6/2011,SOUTHAMPTON,ABERDEEN,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£349.80,BUSINESS,Return,16/6/2011,SOUTHAMPTON,ABERDEEN,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£322.97,ECONOMY,Return,16/6/2011,BELFAST CITY,ABERDEEN,FLYBE
Maritime and Coastguard Agency,1,£260.17,BUSINESS,Return,16/6/2011,EDINBURGH,LONDON -CITY,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£248.62,ECONOMY,Return,16/6/2011,GLASGOW,STORNOWAY,FLYBE
Maritime and Coastguard Agency,1,£298.30,ECONOMY,Return,17/6/2011,SOUTHAMPTON,ABERDEEN,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£246.87,ECONOMY,Return,17/6/2011,BELFAST CITY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£228.10,ECONOMY,Return,17/6/2011,LONDON - LGW,MARSEILLE,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£218.26,ECONOMY,Return,17/6/2011,SOUTHAMPTON,GLASGOW,FLYBE
Maritime and Coastguard Agency,1,£203.40,ECONOMY,Return,17/6/2011,LONDON - LHR,LISBON,TAP - AIR PORTUGAL
Maritime and Coastguard Agency,1,£78.94,ECONOMY,Single,17/6/2011,GIBRALTAR,LONDON - LGW,EASYJET
Maritime and Coastguard Agency,1,£60.00,BUSINESS,Return,17/6/2011,EDINBURGH,LONDON -CITY,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£54.48,ECONOMY,Single,17/6/2011,SOUTHAMPTON,NEWCASTLE,FLYBE
Maritime and Coastguard Agency,1,£35.88,ECONOMY,Single,17/6/2011,GIBRALTAR,LONDON - LGW,EASYJET
Maritime and Coastguard Agency,1,£29.00,ECONOMY,Single,17/6/2011,LONDON - LHR,EDINBURGH,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£2.00,ECONOMY,Single,17/6/2011,SOUTHAMPTON,NEWCASTLE,FLYBE
Maritime and Coastguard Agency,1,£622.30,ECONOMY,Return,18/6/2011,LONDON - LHR,MADRID,IBERIA
Maritime and Coastguard Agency,1,£504.35,ECONOMY,Return,18/6/2011,NORWICH,AMSTERDAM,KLM
Maritime and Coastguard Agency,1,£324.26,ECONOMY,Return,18/6/2011,GLASGOW,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£212.24,ECONOMY,Return,18/6/2011,GLASGOW,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£201.96,ECONOMY,Return,18/6/2011,EDINBURGH,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£201.96,ECONOMY,Return,18/6/2011,EDINBURGH,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£180.87,ECONOMY,Return,18/6/2011,SOUTHAMPTON,BELFAST CITY,FLYBE
Maritime and Coastguard Agency,1,£86.00,ECONOMY,Return,18/6/2011,BELFAST CITY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£247.14,ECONOMY,Return,19/6/2011,LERWICK,STORNOWAY,FLYBE
Maritime and Coastguard Agency,1,£231.96,ECONOMY,Return,19/6/2011,ABERDEEN,LONDON - LGW,FLYBE
Maritime and Coastguard Agency,1,£156.50,ECONOMY,Return,19/6/2011,SOUTHAMPTON,STORNOWAY,FLYBE
Maritime and Coastguard Agency,1,£60.00,ECONOMY,Return,19/6/2011,GLASGOW,LONDON - LGW,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£124.00,BUSINESS,Return,20/6/2011,VIGO,MADRID,IBERIA
Maritime and Coastguard Agency,1,£34.00,ECONOMY,Single,20/6/2011,ABERDEEN,BELFAST CITY,FLYBE
Maritime and Coastguard Agency,1,£520.64,ECONOMY,Return,21/6/2011,STORNOWAY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£266.84,ECONOMY,Return,21/6/2011,LERWICK,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£200.24,ECONOMY,Return,21/6/2011,GLASGOW,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£200.24,ECONOMY,Return,21/6/2011,GLASGOW,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£182.23,ECONOMY,Return,21/6/2011,GLASGOW,LONDON - LGW,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£142.93,ECONOMY,Return,21/6/2011,LONDON - LGW,GENEVA,EASYJET
Maritime and Coastguard Agency,1,£77.00,ECONOMY,Return,21/6/2011,GLASGOW,LONDON - LGW,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£43.96,ECONOMY,Return,21/6/2011,STORNOWAY,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£543.90,ECONOMY,Return,22/6/2011,TEES SIDE,AMSTERDAM,KLM
Maritime and Coastguard Agency,1,£346.70,ECONOMY,Return,22/6/2011,LIVERPOOL,ABERDEEN,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£323.50,ECONOMY,Return,22/6/2011,LONDON - LHR,PARIS,BRITISH AIRWAYS
Maritime and Coastguard Agency,1,£313.30,ECONOMY,Return,22/6/2011,ABERDEEN,SOUTHAMPTON,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£303.30,ECONOMY,Return,22/6/2011,ABERDEEN,SOUTHAMPTON,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£303.30,ECONOMY,Return,22/6/2011,ABERDEEN,SOUTHAMPTON,EASTERN AIRWAYS
Maritime and Coastguard Agency,1,£260.26,ECONOMY,Return,22/6/2011,GLASGOW,SOUTHAMPTON,FLYBE
Maritime and Coastguard Agency,1,£259.52,ECONOMY,Return,22/6/2011,BIRMINGHAM,CORK,AER LINGUS
