Organisation Name,EffectiveDate,Service,Supplier Name,paidDate,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEONARD CHESHIRE FOUNDATION WALES & WEST,13/03/2015,1834.96,NURSING LONG TERM,V000883381
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEONARD CHESHIRE FOUNDATION WALES & WEST,13/03/2015,2227.72,NURSING LONG TERM,V000883383
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEONARD CHESHIRE FOUNDATION WALES & WEST,13/03/2015,1951.4,NURSING LONG TERM,V000883385
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LEONARD CHESHIRE FOUNDATION WALES & WEST,13/03/2015,5346.04,NURSING LONG TERM,V000883640
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEONARD CHESHIRE FOUNDATION WALES & WEST,13/03/2015,2129.8,NURSING LONG TERM,V000883826
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEONARD CHESHIRE FOUNDATION WALES & WEST,13/03/2015,1780.64,NURSING LONG TERM,V000884209
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEONARD CHESHIRE FOUNDATION WALES & WEST,13/03/2015,2375.76,NURSING LONG TERM,V000884267
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEONARD CHESHIRE FOUNDATION WALES & WEST,13/03/2015,953.68,RESIDENTIAL LONG TERM,V000883386
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEONARD CHESHIRE FOUNDATION WALES & WEST,13/03/2015,1813.44,RESIDENTIAL LONG TERM,V000884321
ROCHDALE BOROUGH COUNCIL,03/03/2015,ECONOMY AND ENVIRONMENT,LEX AUTOLEASE,03/03/2015,523.44,TRANSACTIONS-EXPENDITURE,V000879882
ROCHDALE BOROUGH COUNCIL,02/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,02/03/2015,786.74,ASSESSMENT CARE,V000879363
ROCHDALE BOROUGH COUNCIL,11/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,11/03/2015,2360.22,ASSESSMENT CARE,V000881411
ROCHDALE BOROUGH COUNCIL,27/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,27/03/2015,2360.22,ASSESSMENT CARE,V000888177
ROCHDALE BOROUGH COUNCIL,30/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,30/03/2015,1703.02,JOINTLY FINANCED,V000889274
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1397.4,NURSING LONG TERM,V000883409
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1440.8,NURSING LONG TERM,V000883412
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1077.68,NURSING LONG TERM,V000883677
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,923.6,NURSING LONG TERM,V000883715
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1425.2,NURSING LONG TERM,V000883764
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1077.68,NURSING LONG TERM,V000883775
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1137.4,NURSING LONG TERM,V000883803
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1081.68,NURSING LONG TERM,V000883842
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1077.68,NURSING LONG TERM,V000883874
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1054.2,NURSING LONG TERM,V000883903
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1030,NURSING LONG TERM,V000883949
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1363,NURSING LONG TERM,V000883979
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1074.36,NURSING LONG TERM,V000884537
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1363,NURSING LONG TERM,V000884596
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1440.8,NURSING LONG TERM,V000884742
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1096.68,NURSING LONG TERM,V000884743
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,983.32,NURSING LONG TERM,V000884822
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1348.7,NURSING LONG TERM,V000884876
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1573.48,NURSING LONG TERM,V000884877
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1077.68,RESIDENTIAL LONG TERM,V000883502
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,954.16,RESIDENTIAL LONG TERM,V000883713
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1077.68,RESIDENTIAL LONG TERM,V000883727
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1077.68,RESIDENTIAL LONG TERM,V000883742
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1077.68,RESIDENTIAL LONG TERM,V000883772
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1077.68,RESIDENTIAL LONG TERM,V000883939
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,993.56,RESIDENTIAL LONG TERM,V000884072
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1077.68,RESIDENTIAL LONG TERM,V000884185
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1176.28,RESIDENTIAL LONG TERM,V000884289
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1077.68,RESIDENTIAL LONG TERM,V000884348
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1077.68,RESIDENTIAL LONG TERM,V000884362
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1088.04,RESIDENTIAL LONG TERM,V000884492
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1254.08,RESIDENTIAL LONG TERM,V000884591
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,1077.68,RESIDENTIAL LONG TERM,V000884600
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/03/2015,618.8,RESIDENTIAL LONG TERM,V000884727
ROCHDALE BOROUGH COUNCIL,02/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,02/03/2015,786.74,SHORT TERM CARE - RESIDENTIAL,V000879364
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1466.6,NURSING LONG TERM,V000883384
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1186.56,NURSING LONG TERM,V000883388
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1212.44,NURSING LONG TERM,V000883392
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1300.4,NURSING LONG TERM,V000883438
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1405.4,NURSING LONG TERM,V000883477
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,3163.96,NURSING LONG TERM,V000883480
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1456.8,NURSING LONG TERM,V000883510
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1466.6,NURSING LONG TERM,V000883570
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1280.4,NURSING LONG TERM,V000883571
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1776.2,NURSING LONG TERM,V000883594
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,3160,NURSING LONG TERM,V000883627
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1760.6,NURSING LONG TERM,V000883687
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1093.68,NURSING LONG TERM,V000883790
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1379,NURSING LONG TERM,V000884011
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1413.4,NURSING LONG TERM,V000884071
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1297.2,NURSING LONG TERM,V000884532
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1280.4,NURSING LONG TERM,V000884618
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1093.68,NURSING LONG TERM,V000884650
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1379,NURSING LONG TERM,V000884760
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,570.92,PERSONAL BUDGETS - MANAGED,V000883724
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1078.41,PERSONAL BUDGETS - MANAGED,V000884027
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LEYTON HEALTHCARE NO 2 LTD,13/03/2015,1205.28,PERSONAL BUDGETS - MANAGED,V000884028
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO2 LTD,13/03/2015,-1090.1,NURSING LONG TERM,V000883662
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO2 LTD,13/03/2015,-968.84,NURSING LONG TERM,V000884107
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO2 LTD,13/03/2015,-1096.6,NURSING LONG TERM,V000884108
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO2 LTD,13/03/2015,-1096.6,NURSING LONG TERM,V000884109
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO2 LTD,13/03/2015,-1096.6,NURSING LONG TERM,V000884110
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO2 LTD,13/03/2015,-1096.6,NURSING LONG TERM,V000884111
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO2 LTD,13/03/2015,-1096.6,NURSING LONG TERM,V000884112
ROCHDALE BOROUGH COUNCIL,06/03/2015,CHILDREN’S SOCIAL CARE,LIFETIME OPPORTUNITIES,06/03/2015,7741.14,EDB PLACEMENTS,V000878766
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,LIFETIME OPPORTUNITIES,10/03/2015,9920,EDB PLACEMENTS,V000881577
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,LIFETIME OPPORTUNITIES,10/03/2015,9424,EDB PLACEMENTS,V000881578
ROCHDALE BOROUGH COUNCIL,10/03/2015,CHILDREN’S SOCIAL CARE,LIFETIME OPPORTUNITIES,10/03/2015,9424,EDB PLACEMENTS,V000881579
ROCHDALE BOROUGH COUNCIL,06/03/2015,EARLY HELP AND SCHOOLS,LIFETIME OPPORTUNITIES,06/03/2015,978.75,HOME CARE - CHILDRENS SERVICES,V000878766
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,13/03/2015,3522.52,LD SUPPORTED LIVING,V000882914
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,13/03/2015,1608.26,LD SUPPORTED LIVING,V000882915
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,13/03/2015,1584.52,LD SUPPORTED LIVING,V000882916
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,13/03/2015,1329.52,LD SUPPORTED LIVING,V000882917
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,13/03/2015,1431.52,LD SUPPORTED LIVING,V000882918
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,13/03/2015,3420.52,LD SUPPORTED LIVING,V000882919
ROCHDALE BOROUGH COUNCIL,30/03/2015,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,30/03/2015,1646.25,JOINTLY FINANCED,V000889183
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,13/03/2015,908.27,PERSONAL BUDGETS - MANAGED,V000884198
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,13/03/2015,1023.84,RESIDENTIAL LONG TERM,V000883399
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,13/03/2015,995.6,RESIDENTIAL LONG TERM,V000883623
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,13/03/2015,1093.68,RESIDENTIAL LONG TERM,V000884407
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,13/03/2015,1049.72,RESIDENTIAL LONG TERM,V000884448
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,13/03/2015,712.84,RESIDENTIAL LONG TERM,V000884804
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,13/03/2015,633.83,RESIDENTIAL LONG TERM,V000884866
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,13/03/2015,1043.96,RESIDENTIAL LONG TERM,V000884867
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,13/03/2015,1043.96,RESIDENTIAL LONG TERM,V000884868
ROCHDALE BOROUGH COUNCIL,02/03/2015,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,02/03/2015,1589.48,SHORT TERM CARE - RESIDENTIAL,V000879359
ROCHDALE BOROUGH COUNCIL,25/03/2015,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,25/03/2015,794.74,SHORT TERM CARE - RESIDENTIAL,V000887268
ROCHDALE BOROUGH COUNCIL,18/03/2015,ECONOMY AND ENVIRONMENT,LIMB TO LIMB TREE SERVICES LTD,18/03/2015,700,SITE CLEARANCE -ENVIRONMENTAL WORKS,V000881759
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,1195.2,INDIVIDUAL SERVICE FUND,V000882467
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,1743,INDIVIDUAL SERVICE FUND,V000882517
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,2975.56,INDIVIDUAL SERVICE FUND,V000882653
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,3817.24,INDIVIDUAL SERVICE FUND,V000882664
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,7270.8,INDIVIDUAL SERVICE FUND,V000882666
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,2597.24,INDIVIDUAL SERVICE FUND,V000882668
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,3859.52,INDIVIDUAL SERVICE FUND,V000882670
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,2597.24,INDIVIDUAL SERVICE FUND,V000882671
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,634.96,INDIVIDUAL SERVICE FUND,V000882672
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,3120.12,INDIVIDUAL SERVICE FUND,V000882673
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,522.92,INDIVIDUAL SERVICE FUND,V000882682
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,4380.4,INDIVIDUAL SERVICE FUND,V000882790
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,1825.32,INDIVIDUAL SERVICE FUND,V000882811
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,4539.44,INDIVIDUAL SERVICE FUND,V000882817
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,6223,LD SUPPORTED LIVING,V000882615
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,697.2,PERSONAL BUDGETS - MANAGED,V000883792
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,1743,PERSONAL BUDGETS - MANAGED,V000883805
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,1543.8,PERSONAL BUDGETS - MANAGED,V000884089
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,1494,PERSONAL BUDGETS - MANAGED,V000884122
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,647.4,PERSONAL BUDGETS - MANAGED,V000884477
ROCHDALE BOROUGH COUNCIL,13/03/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/03/2015,1245,PERSONAL BUDGETS - MANAGED,V000884542
ROCHDALE BOROUGH COUNCIL,30/03/2015,FINANCE SERVICES,LINK4LIFE (CHARITY),30/03/2015,146960.83,LINK 4 LIFE CONTRACT,V000889266
ROCHDALE BOROUGH COUNCIL,04/03/2015,PUBLIC HEALTH,LINK4LIFE (CHARITY),04/03/2015,696,PROJECT & ACTIVITIES,V000873236
ROCHDALE BOROUGH COUNCIL,11/03/2015,CUSTOMERS & CORPORATE SERVICES,LINK4LIFE (CHARITY),11/03/2015,3695,PROJECT & ACTIVITIES,V000882866
ROCHDALE BOROUGH COUNCIL,11/03/2015,CUSTOMERS & CORPORATE SERVICES,LINK4LIFE (CHARITY),11/03/2015,4805,PROJECT & ACTIVITIES,V000882866
ROCHDALE BOROUGH COUNCIL,12/03/2015,CUSTOMERS & CORPORATE SERVICES,LINK4LIFE (TRADING),12/03/2015,3897.2,ROOM HIRE,V000883279
ROCHDALE BOROUGH COUNCIL,27/03/2015,EARLY HELP AND SCHOOLS,LINK4LIFE (TRADING),27/03/2015,550.4,ROOM HIRE,V000885220
ROCHDALE BOROUGH COUNCIL,12/03/2015,PUBLIC HEALTH,LINXS CONSULTANCY LIMITED,12/03/2015,2800,AGILISYS CONTRACT,V000881280
ROCHDALE BOROUGH COUNCIL,06/03/2015,CUSTOMERS & CORPORATE SERVICES,LIQUIDLOGIC LTD,06/03/2015,9529.32,SOFTWARE,V000880937
ROCHDALE BOROUGH COUNCIL,23/03/2015,PROPERTY AND HIGHWAYS,LITE LTD,23/03/2015,2920,CHRISTMAS DECORATIONS,V000887180
ROCHDALE BOROUGH COUNCIL,30/03/2015,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,30/03/2015,1192.11,JOINTLY FINANCED,V000889203
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,13/03/2015,1093.68,RESIDENTIAL LONG TERM,V000883501
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,13/03/2015,1080.48,RESIDENTIAL LONG TERM,V000883562
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,13/03/2015,1093.68,RESIDENTIAL LONG TERM,V000883692
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,13/03/2015,1231.48,RESIDENTIAL LONG TERM,V000883776
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,13/03/2015,875.56,RESIDENTIAL LONG TERM,V000883877
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,13/03/2015,1207.2,RESIDENTIAL LONG TERM,V000883894
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,13/03/2015,848.72,RESIDENTIAL LONG TERM,V000884682
ROCHDALE BOROUGH COUNCIL,11/03/2015,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,11/03/2015,2384.22,ASSESSMENT CARE,V000881408
ROCHDALE BOROUGH COUNCIL,11/03/2015,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,11/03/2015,2384.22,ASSESSMENT CARE,V000881433
ROCHDALE BOROUGH COUNCIL,13/03/2015,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,13/03/2015,1047.48,RESIDENTIAL LONG TERM,V000883367
