Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
,"35 Market Street, Hebden Bridge, HX7 6EU",76360035,,5200,Shop and Premises,Flood Relief Application 2015/16
Bizspace Ltd,"Unit 8D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628811,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",1725,Offices and Premises,Rateable Value below threshold
Benjamin Whiteley & Sons Ltd,"Former Messroom, Park Road Mills, Park Road, Elland               HX5 9HX",56192767,"Park Road Mills, Park Road, Elland, HX5 9HX",1025,Store,Rateable Value below threshold
,"6 Carlton Street, Hebden Bridge, HX7 8ER",76108006,,2700,Hairdressing Salon and Premises,Flood Relief Application 2015/16
,"23 West End, Hebden Bridge, HX7 8UQ",76576023,,5600,Shop and Premises,Flood Relief Application 2015/16
,"Adj Central Ironworks, Gordon Street, Boothtown, Halifax              HX3 6NU",65188704,,1800,Workshop And Premises,Rateable Value below threshold
Calderdale Mbc Land & Property Services,"Former Music School, Wellesley Park, Gibbet Street, Halifax              HX2 0BA",65164854,"Building Consultancy, Westgate House, Westgate, Halifax, HX1 1PS",5900,Offices and Premises,Listed Building
Riverstones Fine Jewellery Ltd,"27 Crown Street, Hebden Bridge, HX7 8EH",76176027,,7400,Shop and Premises,Flood Relief Application 2015/16
Calderdale Mbc,"5 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252736,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",810,Shop and Premises,Listed Building
Wharfedale Finance Co Ltd,"Car Park, Water Lane, Halifax, HX3 9HG",69300702,"Wharfedale House, Smithies Lane, Birstall, WF17 9HR",2200,Car Park,Rateable Value below threshold
Due West Ltd,"Part Ground Floor, 14 Horton Street, Halifax, HX1 1PU",65388014,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",730,Store And Premises,Rateable Value below threshold
Hutchinson Construction [Northern] Ltd,"Empire House, 11 Mulcture Hall Road, Halifax, HX1 1SP",65900704,"C/O Mr P Hutchinson, 5 Lydgate Park, Lightcliffe, Halifax, HX3 8TB",4000,Warehouse And Premises,Empty Relief - Post 01/04/2008
Just Books [Yorkshire] Ltd,"34 Bridge Gate, Hebden Bridge, HX7 8EX",76060034,"11 Commercial Street, Brighouse, HD6 1AF",9400,Shop and Premises,Flood Relief Application 2015/16
Atmosphere Bars & Clubs Ltd (In Administration),"17 Alexandra Street, Halifax, HX1 1BS",64056017,"F.A.O.Craig  Florence, C/O Deloitte Llp, 1 City Square, Leeds, LS1 2AL",4150,Shop and Premises,Listed Building
,"18/20 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",76408018,,970,Store And Premises,Rateable Value below threshold
Daniel Thwaites Plc,"17 Town Hall Street, Sowerby Bridge, HX6 2EA",77600017,"Star Brewery, Penny Street, Blackburn, Lancs, BB1 6HL",3800,Offices and Premises,Empty Relief - Post 01/04/2008
,"77 Southgate, Elland, HX5 0EP",56224715,,6800,Post Office And Premises,Listed Building
,"135 Gibraltar Road, Halifax, HX1 3UH",65168135,,3400,Garage And Premises,Empty Relief - Post 01/04/2008
W H Greenwood (Holdings) Ltd,"Telecommunication Mast, Site Ref H X 0002, Square Road, Halifax              HX1 1QG",68708718,"9 Newlands Crescent, Halifax, HX3 7HU",7500,Communication Station and Premises,Unoccupied Land
Rokt Ltd,"Rokt Ltd, Mill Royd Street, Brighouse, HD6 1EY",29424726,"Climbing Gym, The Old Flour Mill, Mill Royd Street, Brighouse, HD6 1EY",13750,Indoor Climbing Centre And Premises,Flood Relief Application 2015/16
Naylor Myers Ltd,"Allan House, Norland Road, Sowerby Bridge, HX6 3AD",77388703,"Fao Joy, Bar Street, Leeds Road, Huddersfield, HD1 6PB",22000,Builders Merchants And Premises,Flood Relief Application 2015/16
Ladyship Estates Ltd,"David Beck Stone Yard, Ladyship Mills, Old Lane, Halifax              HX3 5QN",68132743,"C/O John Crossley Carpets Ltd, Bankfield Works, Haley Hill, Halifax, HX3 6ED",2025,Land Used For Vehicle Training,Rateable Value below threshold
,"4 Savile Park Street, Halifax, HX1 3DX",68476004,,2500,Shop and Premises,Rateable Value below threshold
Max Bars Lp,"Abc Cinema, Commercial Street, Halifax, HX1 1BX",64660702,"Cavendish House, 18 Cavendish Square, London, W1G 0PJ",72000,Club and Premises,Listed Building
Dean Clough Ltd,"Office Suite E328, Dean Clough Mills, Halifax, HX3 5AX",64778818,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",6000,Office,Listed Building
,"4 Lees Yard, Hollins Place, Hebden Bridge, HX7 8EU",76280004,,5700,Shop and Premises,Flood Relief Application 2015/16
,"The Pump House, Broad Hollin Farm, Hollins Lane, Ripponden           HX6 4LE",77102700,,1250,Store And Premises,Empty Property - RV < 15000
,"Office 10 The Spire, Leeds Road, Lightcliffe, Halifax              HX3 8NU",65620707,,6000,Office,Listed Building
Blackshaw Holdings Ltd,"Swales Moor Yard, Swales Moor Road, Halifax, HX3 6UF",68908712,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",3900,Stone Yard And Premises,Unoccupied Land
,"9 Bridge Gate, Hebden Bridge, HX7 8EX",76060009,,11500,Cafe and Premises,Flood Relief Application 2015/16
Calderdale Mbc Land & Property Services,"60 Rustic, Piece Hall, Halifax, HX1 1RE",68252720,"Northgate House, Northgate, Halifax, HX1 1UN",2600,Shop and Premises,Listed Building
The Original Wholesale Liquor Store Ltd (In Liquidation),"9-11 King Street, Brighouse, HD6 1NX",29372713,,28500,Shop And Premises,Empty Relief - Post 01/04/2008
,"Units 24-26, Asquith Bottom Mills, Sowerby Bridge, HX6 3BS",77024775,,5000,Warehouse And Premises,Flood Relief Application 2015/16
,"9 Carlton Street, Halifax, HX1 2AL",64488709,,5300,Offices and Premises,Empty Relief - Post 01/04/2008
Halifax Chiropractic Centre Ltd,"First Floor, 20 Clare Road, Halifax, HX1 2HX",64584787,"20 Clare Road, Halifax, HX1 2HX",3800,Offices And Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Unit 304 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212743,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",187,Store And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 101 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212722,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",355,Store And Premises,Listed Building
,"Car Sales Site, Junction Of Trimmingham Lane, Burnley Road, Halifax              HX2 7JG",64444707,,1800,Car Sales Site and Premises,Empty Property - RV < 15000
Royal London Mutual Insurance Society Ltd,"Church St Filling Station, Church Street, Halifax, HX1 1QY",64572703,"C/O Capita Fao C Grose, 65 Gresham Street, London, EC2V 7NQ",3000,Store And Premises,Empty Relief - Post 01/04/2008
,"100A Briggate, Brighouse, HD6 1EL",29100715,,2750,Shop and Premises,Flood Relief Application 2015/16
The Administrators Of Unibrook Ltd,"62 Horton Street, Halifax, HX1 1QE",65388062,"Capa Audit & Property Advisors, Audit Department, Po Box 29416, Glasgow, G67 1XU",41500,Showroom And Premises,Company in Administration (Empty)
,"32 Pellon Lane, Halifax, HX1 5SP",68236032,,390,Store and Premises,Empty Property - RV < 15000
,"8,10 ,12 Crossley Street, Halifax, HX1 1UG",64748714,,36000,Offices and Premises,Listed Building
,"Offices 2,3,6,9,14&15, The Spire, Leeds Road, Lightcliffe          HX3 8NU",65620716,,12000,Offices And Premises,Listed Building
S Sheard & Sons Ltd,"Calder Street, West Vale, Halifax, HX4 8AQ",64480703,,9600,Workshop And Premises,Empty Relief - Post 01/04/2008
,"14 Square, Halifax, HX1 1RJ",68700014,,10000,Shop and Premises,Empty Relief - Post 01/04/2008
,"900 Burnley Road, Todmorden, OL14 8PJ",78076777,,3100,Shop and Premises,Flood Relief Application 2015/16
Calderdale Mbc Land & Property Services,"66 Rustic, Piece Hall, Halifax, HX1 1RE",68252718,"Northgate House, Northgate, Halifax, HX1 1UN",1700,Shop and Premises,Listed Building
Calderdale Mbc Land & Property Services,"67 Rustic, Piece Hall, Halifax, HX1 1RE",68252778,"Northgate House, Northgate, Halifax, HX1 1UN",2500,Shop and Premises,Listed Building
Firth Steels Ltd,"Firth Steels, Calderbank, River Street, Brighouse            HD6 1LU",29492722,"Unit 2, Calder Bank, River Street, Brighouse, HD6 1LJ",197000,Warehouse And Premises,Flood Relief Application 2015/16
,"Part Basement, 2 Wards End, Halifax, HX1 1DD",69264744,,1650,Store And Premises,Rateable Value below threshold
,"75 Southgate, Elland, HX5 0DQ",56224736,,3500,Offices and Premises,Empty Relief - Post 01/04/2008
,"2 Trinity Place, Halifax, HX1 2BD",69094002,,8200,Offices and Premises,Listed Building
,"Part 3rd Floor, Mount Pleasant Mill, Mytholmroyd, Hebden Bridge       HX7 5NR",76444706,,1925,Workshop And Premises,Listed Building
,"Unit 4B, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",77340768,,1850,Workshop And Premises,Flood Relief Application 2015/16
C F K Developments (Croft Myl) Llp,"Croftmyl, Gf Office A1, West Parade, Halifax              HX1 2EQ",69360756,"Unit 1 Rudgate Court, Walton, Near Wetherby, West Yorks, LS23 7BF",1500,Offices And Premises,Rateable Value below threshold
Royds Properties Ltd,"Ground Floor Unit B8, Warhurst Road, Lowfields Business Park, Elland               HX5 9DF",56174802,"Estate Office, Gledholt Business Park, Allen Row, Paddock, Huddersfield, HD1 4SB",25250,Offices And Premises,Empty Relief - Post 01/04/2008
Fat Face Ltd,"18/20 Bridge Gate, Hebden Bridge, HX7 8EX",76060020,"1 Ridgway, Havant, Hampshire, PO9 1QJ",24500,Shop And Premises,Flood Relief Application 2015/16
Bizspace Ltd,"Unit 16E, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628791,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",1250,Offices and Premises,Rateable Value below threshold
J & M Estates Ltd,"7 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",76088007,,2600,Estate Agents,Flood Relief Application 2015/16
Whittingtons & Sylvester (Pension Fund),"Music 3, 7 Martin Street, Brighouse, HD6 1DA",29408718,"32 High Street, Brighouse, HD6 1DE",2025,Offices And Premises,Rateable Value below threshold
R E Dickie Ltd,"West End Works, Parkinson Lane, Halifax, HX1 3UB",68224730,"West End Works, Parkinson Lane, Halifax, HX1 3UW",15750,Workshop And Premises,Empty Relief - Post 01/04/2008
Gallyville Ltd,"11 Southgate House, Southgate, Halifax, HX1 1DE",68656011,"F.A.O. Mr Clifford D Wing, Parkside House, 41 Walsingham Road, Enfield, Middlesex, EN2 6EY",9800,Office and Premises,Empty Relief - Post 01/04/2008
Unitward Ltd,"Sedburgh Road, Halifax, HX3 9HB",68520710,"Atlas Works, Sedburgh Road, Halifax, West Yorkshire, HX3 9HB",8100,Land Used For Storage and Premises,Empty Relief - Post 01/04/2008
,"Office 3 First Floor, Linden Works, Linden Road, Hebden Bridge        HX7 7DP",76340721,,1225,Offices and Premises,Rateable Value below threshold
Dean Clough Ltd,"Office Suite E240, Dean Clough Mills, Halifax, HX3 5AX",64296747,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",3200,Offices And Premises,Listed Building
,"Arundel Street, Halifax, HX1 4LE",64084704,,2450,Warehouse And Premises,Rateable Value below threshold
,"2nd Floor, Arundel Street, Halifax, HX1 4LE",64084707,,1025,Store And Premises,Rateable Value below threshold
,"Lever Street, Todmorden, OL14 5QF",78284702,,3000,Garage And Premises,Awaiting occupation
Golden Monkeys Ltd,"Golden Lion Hotel, Fielden Square, Todmorden, OL14 6LZ",78160700,"21 Hyde Park Road, Leeds, LS6 1PY",10250,Public House and Premises,Flood Relief Application 2015/16
,"Millys, Grange Dene Yard, Burnley Road, Mytholmroyd          HX7 5LL",76088811,,1725,Shop and Premises,Flood Relief Application 2015/16
Alco Valves Group Ltd,"York Mill Ltd, Gooder Lane, Brighouse, HD6 1HF",29272712,"Mission Works, Birds Royd Lane, Brighouse, HD6 1LQ",124000,Warehouse And Premises,Qualifying industrial hereditament
Hebden Cook & Coffee Company Ltd,"3 Carlton House, Crown Street, Hebden Bridge, HX7 8ES",76176705,,12000,Shop and Premises,Flood Relief Application 2015/16
C2 (General Partner Two) Lp,"Unit 6 Victoria Park, Lightowler Road, Pellon, Halifax              HX1 5ND",65626703,"C/O Ryden Llp, Carlton Tower, 34 St Paul's Street, Leeds, LS1 2QB",7600,Warehouse And Premises,Qualifying industrial hereditament
,"4/8 Bridge End, Brighouse, HD6 3DH",29092004,,990,Store And Premises,Flood Relief Application 2015/16
Fennor Exterior Works Ltd,"Unit 13C Asquith Yard, Asquith Bottom Works, Sowerby Bridge, HX6 3BT",77024777,"44 Dean Lane, Sowerby, Sowerby Bridge, HX6 1HE",3500,Workshop And Premises,Flood Relief Application 2015/16
Valley Kitchens Ltd,"Unit 2, Burnley Road Garage, Mytholmroyd, Hebden Bridge       HX7 5AD",76088729,,5600,Showroom And Premises,Flood Relief Application 2015/16
,"119 Hopwood Lane, Halifax, HX1 4HB",65364119,,3200,Garage And Premises,Awaiting occupation
,"Unit 2, 32 Charles Street, Elland, HX5 0NF",56040711,,1900,Store And Premises,Rateable Value below threshold
,"Unit 1F Beehive Mills, Hebble End, Hebden Bridge, HX7 6JH",76256779,,520,Offices And Premises,Flood Relief Application 2015/16
,"213 Rochdale Road, Greetland, Halifax, HX4 8JE",68392213,,3050,Shop and Premises,Empty Relief - Post 01/04/2008
,"Old Town Mill, Wadsworth, Hebden Bridge, HX7 8TE",76420718,,5500,Workshop And Premises,Listed Building
Valley Hall Developments Ltd,"Suite 6, The Wellbeing Centre, 2 Briggate, Elland               HX5 9DP",56020721,"49 - 51 Shibden Head Lane, Queensbury, Bradford, BD13 2NH",830,Offices And Premises,Empty Property - RV < 15000
E.P.I.C Plc,"1ST & 2ND Floors, 19 Commercial Street, Brighouse, HD6 1AF",29196732,"Robin Hood Works, Wakefield Road, Brighouse, HD6 1PE",4450,Offices And Premises,Empty Relief - Post 01/04/2008
Ifonez Ltd,"21a West End, Hebden Bridge, HX7 8UQ",76576700,,6500,Shop and Premises,Flood Relief Application 2015/16
,"Ground Floor, 11 Ryburn Buildings, West Street, Sowerby Bridge       HX6 3AH",77476011,,2550,Shop and Premises,Awaiting occupation
,"Office 15, 11 Owler Ings Road, Brighouse, HD6 1EJ",29452737,,1075,Offices and Premises,Empty Property - RV < 15000
,"Unit B4, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",64448741,,3750,Cafe and Premises,Flood Relief Application 2015/16
Anglo American (Manchester) Ltd,"Unit A, Nanholme Mills, Halifax Road, Todmorden           OL14 6DA",78192700,,3900,Warehouse And Premises,Flood Relief Application 2015/16
,"The Railway Arch, Walton Street, Sowerby Bridge, HX6 1AN",77636714,,2325,Car Valeting Premises,Flood Relief Application 2015/16
,"Ground Floor, 259/261 Queens Road, Halifax, HX1 4NS",68308828,,14000,Shop and Premises,Empty Relief - Post 01/04/2008
Cn Trading Llp,"Perseverance Mill, Halifax Road, Todmorden, OL14 6EG",78192825,"Calderside Nurseries, Oakville Road, Hebden Bridge, HX7 6NG",25250,Factory And Premises,Flood Relief Application 2015/16
Taylors Trailers Ltd,"Unit 4, Park Road Mills, Park Road, Elland               HX5 9HX",56192756,,16750,Warehouse And Premises,Flood Relief Application 2015/16
,"Part Ground Floor, Machpelah Works, Machpelah, Hebden Bridge       HX7 8AU",76356705,,1500,Workshop And Premises,Listed Building
Kino & Co,"Office H M 3.0, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344854,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1050,Offices and Premises,Rateable Value below threshold
Gouranga Properties Limited,"Elland Fire Station, South Lane, Elland, HX5 0HQ",56220704,"16 Hullen Edge Road, Elland, HX5 0QY",30750,Fire Station And Premises,Empty Relief - Post 01/04/2008
,"10 Bull Green, Halifax, HX1 5AB",64436010,,7300,Shop and Premises,Empty Relief - Post 01/04/2008
,"Unit 3 Culver Works, Hopwood Lane, Halifax, HX1 5EZ",64242813,,4600,Warehouse And Premises,Empty Relief - Post 01/04/2008
Swinton Group Ltd,"Fieldhead House, Hebble Brook Business Park, Hays Lane, Halifax              HX2 8UL",65288708,"Attn Andrew Mellor, Swinton House, 6 Great Marlborough Street, Manchester, M1 5SW",30500,Offices and Premises,Empty Relief - Post 01/04/2008
,"19 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",76088019,,1825,Shop and Premises,Flood Relief Application 2015/16
Finestreet Ltd,"21B Back Halifax Road, Todmorden, OL14 5AG",78192770,"21a Halifax Road, Bramsche Square, Todmorden, OL14 5AG",2275,Offices and Premises,Empty Property - RV < 15000
Singletrack Media Ltd,"23 Dale Street, Todmorden, OL14 5PX",78116023,"Barclays Bank Chambers, Market Street, Hebden Bridge, HX7 6AD",2250,Offices And Premises,Rateable Value below threshold
,"Ground Floor, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW",76420729,,6000,Warehouse And Premises,Listed Building
,"Unit 1 Birds Royd Works, Birds Royd Lane, Brighouse, HD6 1NG",29052766,,37750,Workshop And Premises,Empty Relief - Post 01/04/2008
Halifax Opportunities Trust,"Office 1 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242754,"Elsie Whiteley Innovation Cent, Hopwood Lane, Halifax, HX1 5ER",4100,Offices and Premises,Empty Relief - Post 01/04/2008
,"51 Halifax Road, Todmorden, OL14 5BB",78192791,,5400,Physiotherapy Rooms And Premises,Flood Relief Application 2015/16
,"Unit 13A Mearclough Works, Mearclough Road, Sowerby Bridge, HX6 3LF",77340741,,1375,Workshop And Premises,Flood Relief Application 2015/16
,"10 Bridge End, Brighouse, HD6 3DH",29092010,,2650,Shop and Premises,Flood Relief Application 2015/16
Shaw Lodge Mills Ltd,"Level 2 The 1830 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526707,"Sunrise House, Hulley Road, Macclesfield, Cheshire, SK10 2LP",2250,Warehouse And Premises,Listed Building
,"23 Roils Head Road, Halifax, HX2 0NQ",68396023,,1975,Shop and Premises,Rateable Value below threshold
Shaw Lodge Mills Ltd,"The Engine House (A), Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526712,"Sunrise House, Hulley Road, Macclesfield, Cheshire, SK10 2LP",2425,Vehicle Repair Workshop And Premises,Rateable Value below threshold
,"19 Halifax Road, Todmorden, OL14 5AG",78192019,,5000,Shop and Premises,Empty Relief - Post 01/04/2008
,"Land Adj. Hartsoil House, Highmoor Lane, Cleckheaton, BD19 6LL",79048704,,7900,Empty Garden Centre and Premises,Empty Relief - Post 01/04/2008
Habitat Unique Ltd,"Unit 30 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344711,,2025,Store And Premises,Flood Relief Application 2015/16
,"48-50 Market Street, Hebden Bridge, HX7 6AA",76360720,,4450,Shop and Premises,Flood Relief Application 2015/16
Dean Clough Ltd,"Part 4TH Floor F Mill, Dean Clough Mills, Halifax, HX3 5AX",64778797,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",128000,Offices and Premises,Listed Building
Warmco Space Heating Ltd,"Unit 301 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212741,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",177,Store And Premises,Rateable Value below threshold
,"Unit 21, Mill House Works, Mill House Lane, Triangle            HX6 3LN",77352713,,2450,Garage And Premises,Flood Relief Application 2015/16
,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276706,,1150,Offices and Premises,Listed Building
Hawkhead Bray & Son Ltd,"Units 3 & 4, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",68248734,"Unit 19a, Phoebe Lane Industrial Estate, Siddal, Halifax, HX3 9EX",670,Workshop And Premises,Rateable Value below threshold
Westfield Properties,"Unit 1, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",65164729,"2 Stansfield Road, Todmorden, Lancs, OL14 5DL",2350,Workshop And Premises,Empty Property - RV < 15000
,"First Floor, 32 Fenton Road, Halifax, HX1 3PP",65072724,,1250,Store And Premises,Empty Property - RV < 15000
,"Unit 2, George Street, Mytholmroyd, Hebden Bridge        HX7 5DT",76224710,,1950,Workshop And Premises,Flood Relief Application 2015/16
Blackshaw Holdings Ltd,"Unit 22 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056751,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",2000,Offices And Premises,Rateable Value below threshold
Calderdale Mbc,"Art Galleries, Piece Hall, Halifax, HX1 1RE",68252795,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",7600,Art Gallery And Premises,Listed Building
Younger Homes (Northern) Ltd,"Stand Lane, Brookfoot, Brighouse, HD6 2RG",29552700,"P.O Box 25, Brighouse, HD6 1WR",2350,Store And Premises,Empty Property - RV < 15000
Marrtree Investments Limited,"Unit 23, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",29080777,"4a Greengate, Cadale Park, Harrogate, HG3 1GY",1325,Land Used For Storage and Premises,Rateable Value below threshold
Units To Let [Northern] Ltd,"Storage Land At, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",77340703,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",1725,Car Park,Empty Property - RV < 15000
Burnley Road Ltd,"Stubley Lane Works, Burnley Road, Todmorden, OL14 7EF",78076897,"P O Box 62, Todmorden, OL14 8WS",5000,Land Used For Storage And Premises,Unoccupied Land
Blackshaw Holdings Ltd,"Unit 27 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056750,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1975,Offices And Premises,Rateable Value below threshold
,"Unit C2, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",64448773,,1525,Workshop And Premises,Flood Relief Application 2015/16
Birds Royd Property Co Ltd,"Office 3 First Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH",29052747,"C/O R A S Sports, Princess Works, Bird Royd Lane, Brighouse, HD6 1LJ",1700,Offices,Empty Property - RV < 15000
,"Lacy Mill, Lacy Avenue, Todmorden, OL14 6RP",78276700,,2600,Workshop And Premises,Flood Relief Application 2015/16
Old Gate Restaurant Ltd,"Old Gate Bar & Restaurant, 1-5 West End, Hebden Bridge, HX7 8JP",76576721,,80000,Public House And Premises,Flood Relief Application 2015/16
Kino & Co,"Unit HM30 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",65344816,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",3400,Workshop And Premises,Empty Relief - Post 01/04/2008
Blackshaw Holdings Ltd,"Office 3 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084822,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1825,Office,Empty Property - RV < 15000
Trade Car Outlet Limited,"Mill Royd Street, Brighouse, HD6 1EY",29424718,,5100,Land Used For Storage And Premises,Flood Relief Application 2015/16
,"Unit 3, Nanholme Workshops, Halifax Road, Todmorden           OL14 6DA",78192740,,890,Store And Premises,Flood Relief Application 2015/16
Kino & Co,"Office H M 2.10, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344881,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1200,Office,Rateable Value below threshold
Units To Let [Northern] Ltd,"Part 1ST & 2ND Floor, Unit 18 Mill House Works, Triangle, Sowerby Bridge       HX6 3LN",77352751,"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",940,Store And Premises,Empty Property - RV < 15000
,"Hare & Hounds Inn, Ashenhurst Road, Todmorden, OL14 8EA",78012700,,6000,Public House and Premises,Flood Relief Application 2015/16
Calderdale Mbc,"Calder College Pt Grd Fl, Todmorden Community College, Burnley Road, Todmorden           OL14 7BX",78076513,"Asset Management Cafm, 1st Floor, Northgate House, HX1 1UN",10750,College And Premises,Empty Relief - Post 01/04/2008
Industrials Uk Ltd Partnership,"White Lee Estates Office, Caldene Business Park, Burnley Road, Mytholmroyd          HX7 5QJ",76088829,"C/O Ryden Llp, 3rd Floor Carlton Tower, 34 St Paul's Street, Leeds, LS1 2QB",2075,Office,Empty Property - RV < 15000
Calderdale Mbc Markets Manager,"Market Stall 101-103, Market Hall, Borough Market, Halifax             HX1 1DZ",64288753,"19 Albion Street, Halifax, HX1 1DU",3850,Market Stall And Premises,Listed Building
Bramleys Estate Agents,"9 Russell Street, Halifax, HX1 1RL",68424009,"14 St Georges Square, Huddersfield, HD1 1JF",24500,Shop and Premises,Listed Building
Coal Pension Properties Ltd,"25 Woolshops, Halifax, HX1 1RU",69536025,"C/O Capita Property &, Infrastructure Ltd, 65 Gresham Street, London, EC2V 7NQ",41000,Shop and Premises,Listed Building
,"Battinson Road Mills, Battinson Road, Halifax, HX1 5PR",64176704,,35500,Warehouse And Premises,Empty Relief - Post 01/04/2008
Kino & Co,"Unit Hm 1.04, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SW",65344501,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1125,Store &  Premises,Empty Property - RV < 15000
Vulkan Industries Ltd,"Archer Road, Brighouse, HD6 1XF",29016700,,28250,Warehouse And Premises,Flood Relief Application 2015/16
,"S/0 14 Bottomley Street, Brighouse, HD6 4AR",29072700,,1850,Store And Premises,Rateable Value below threshold
Marshalls Mono Ltd,"Hall Ings, Southowram, Halifax, HX3 9RQ",65240700,"A Johnson - Group Prop Manager, Marshalls Plc, Landscape House, Premier Way, Lowfields Business Park, Elland, HX5 9HT",2425,Store And Premises,Rateable Value below threshold
J & R Electrical Ltd,"Unit 6, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",65600716,,8000,Warehouse And Premises,Flood Relief Application 2015/16
A & J Motors (Todmorden) Ltd,"Crescent Mill, Rochdale Road, Todmorden, OL14 7LR",78164700,,6300,Garage And Premises,Flood Relief Application 2015/16
,"Trades Club, Holme Street, Hebden Bridge, HX7 8EE",76292702,,4200,Club House And Premises,Flood Relief Application 2015/16
,"Unit 10 Nanholme Mill, Halifax Road, Todmorden, OL14 5QN",78192721,,7600,Workshop And Premises,Flood Relief Application 2015/16
Todmorden Amateur Operatic & Dramatic Society,"The Hippodrome, Halifax Road, Todmorden, OL14 5BB",78192733,"C/O Mrs Barbara Evans, 44 Mons Road, Todmorden, OL14 8EF",4500,Theatre And Premises,Flood Relief Application 2015/16
,"52 Market Street, Hebden Bridge, HX7 6AA",76360052,,4250,Restaurant and Premises,Flood Relief Application 2015/16
,"Back 32 Rochdale Road, Todmorden, OL14 7LD",78400772,,1800,Garage And Premises,Flood Relief Application 2015/16
,"The Long Chimney, 1 West Street, Sowerby Bridge, HX6 3AN",77648710,,2600,Public House and Premises,Flood Relief Application 2015/16
Coffee Cali Ltd,"19 Bridge Gate, Hebden Bridge, HX7 8EX",76060019,"24 Stoodley Grange, Stoodley, Todmorden, Lancs, OL14 6JR",10750,Shop and Premises,Flood Relief Application 2015/16
,"21 Bridge Gate, Hebden Bridge, HX7 8EX",76060021,,9800,Launderette And Premises,Flood Relief Application 2015/16
,"White Swan Hotel, Bridge Gate, Hebden Bridge, HX7 8EX",76060704,,15500,Public House and Premises,Flood Relief Application 2015/16
