Property Reference Number,Full Property Address,Current Rateable Value,Primary Liable party name,Account Start Date,Occupied relief,Empty relief,Empty relief start date,Empty exemption,Exemption start date
M20003A0210001,"Car Space No 21 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A0220003,"Car Space No 22 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A0240007,"Car Space No 24 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A0250009,"Car Space No 25 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A026000B,"Car Space No 26 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A0270002,"Car Space No 27 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A0280004,"Car Space No 28 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A0290006,"Car Space No 29 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A030000B,"Car Space No 30 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,27/11/2013,,,,Empty,27/11/2013
M20003A0310002,"Car Space No 31 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A0320004,"Car Space No 32 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A0330006,"Car Space No 33 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A0340008,"Car Space No 34 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A035000A,"Car Space No 35 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A0360001,"Car Space No 36 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A0370003,"Car Space No 37 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A0380005,"Car Space No 38 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A0390007,"Car Space No 39 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A0400001,"Car Space No 40 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A0410003,"Car Space No 41 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A0420005,"Car Space No 42 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A0430007,"Car Space No 43 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20003A230005A,"Car Space No 23 Level 3a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000400490007,"Car Space No 49 Level 4, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000400500001,"Car Space No 50 Level 4, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000400510003,"Car Space No 51 Level 4, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000400520005,"Car Space No 52 Level 4, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,27/11/2013,,,,Empty,27/11/2013
M2000400530007,"Car Space No 53 Level 4, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,27/11/2013,,,,Empty,27/11/2013
M2000400540009,"Car Space No 54 Level 4, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000400550066,"Car Spaces No, 55-66, Level 4 Multistorey Car Park Building 2, Exchange Quay, Trafford Road, Salford, M5 3EE",5000,Exchange Quay Salford Uk Sarl,26/11/2013,,,,,
M200040074000B,"Car Space No 74 Level 4, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/12/2014,,,,Empty,01/12/2014
M2000400750002,"Car Space No 75 Level 4, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/12/2014,,,,Empty,01/12/2014
M2000400760004,"Car Space No 76 Level 4, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/12/2014,,,,Empty,01/12/2014
M2000400770006,"Car Space No 77 Level 4, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/12/2014,,,,Empty,01/12/2014
M2000400780008,"Car Space No 78 Level 4, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/12/2014,,,,Empty,01/12/2014
M200040079000A,"Car Space No 79 Level 4, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/12/2014,,,,Empty,01/12/2014
M2000400800004,"Car Space No 80 Level 4, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/12/2014,,,,Empty,01/12/2014
M2000400810006,"Car Space No 81 Level 4, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/12/2014,,,,Empty,01/12/2014
M20004A0020008,"Car Space No 2 Level 4a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,25/11/2013,,,,Empty,25/11/2013
M20004A003000A,"Car Space No 3 Level 4a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20004A0040001,"Car Space No 4 Level 4a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20004A0050003,"Car Space No 5 Level 4a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,27/11/2013,,,,Empty,27/11/2013
M20004A0060005,"Car Space No 6 Level 4a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,27/11/2013,,,,Empty,27/11/2013
M20004A0070007,"Car Space No 7 Level 4a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20004A0080009,"Car Space No 8 Level 4a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20004A009000B,"Car Space No 9 Level 4a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20004A0100011,"Car Spaces No, 10/11, Level 4a Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EE",1000,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000500560009,"Car Space No 56 Level 5, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M200050057000B,"Car Space No 57 Level 5, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000500580002,"Car Space No 58 Level 5, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000500590004,"Car Space No 59 Level 5, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000500600009,"Car Space No 60 Level 5, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M200050061000B,"Car Space No 61 Level 5, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000500620002,"Car Space No 62 Level 5, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000500630004,"Car Space No 63 Level 5, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/04/2014,,,,Empty,01/04/2014
M2000500640006,"Car Space No 64 Level 5, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/04/2014,,,,Empty,01/04/2014
M2000500650008,"Car Space No 65 Level 5, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/04/2015,,,,Empty,01/04/2015
M2000500730005,"Car Space No 73 Level 5, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/01/2014,,,,Empty,01/01/2014
M2000500740007,"Car Space No 74 Level 5, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/01/2014,,,,Empty,01/01/2014
M2000500750009,"Car Space No 75 Level 5, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/01/2014,,,,Empty,01/01/2014
M200050076000B,"Car Space No 76 Level 5, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/01/2014,,,,Empty,01/01/2014
M2000540370008,"Car Space No 37 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0010002,"Car Space No 1 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/12/2014,,,,Empty,01/12/2014
M20005A0020004,"Car Space No 2 Level 5a, Multistorey Car No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/12/2014,,,,Empty,01/03/2015
M20005A0030006,"Car Space No 3 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/12/2014,,,,Empty,01/12/2014
M20005A0042003,"Car Space No 42 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,27/11/2013,,,,Empty,27/11/2013
M20005A005000A,"Car Space No 5 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/12/2014,,,,Empty,01/12/2014
M20005A0060001,"Car Space No 6 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0070003,"Car Space No 7 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0080005,"Car Space No 8 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0090007,"Car Space No 9 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0100001,"Car Space No 10 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,27/11/2013,,,,Empty,27/11/2013
M20005A0110003,"Car Space No 11 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0120005,"Car Space No 12 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0130007,"Car Space No 13 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0140009,"Car Space No 14 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0150001,"Car Spaces 15-19 Level 5a , Multi Storey Car Park, Exchange Quay, Trafford Road, Salford, M5 3EF",2500,Exchange Quay Salford Uk Sarl,26/01/2015,,EPRN,26/04/2015,,
M20005A0210004,"Car Space No 21 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,27/11/2013,,,,Empty,27/11/2013
M20005A0220006,"Car Space No 22 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0230008,"Car Space No 23 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,27/11/2013,,,,Empty,27/11/2013
M20005A024000A,"Car Space No 24 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0250001,"Car Space No 25 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0260003,"Car Space No 26 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,27/11/2013,,,,Empty,27/11/2013
M20005A0300032,"Car Spaces No, 30-32, Level 5a Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EE",1500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0330009,"Car Space No 33 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A034000B,"Car Space No 34 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0350002,"Car Space No 35 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0360004,"Car Space No 36 Level 5a, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0380008,"Car Space No 38 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,27/11/2013,,,,Empty,27/11/2013
M20005A039000A,"Car Space No 39 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0400004,"Car Space No 40 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20005A0410006,"Car Space No 41 Level 5a, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000600510006,"Car Space No 51 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M200060053000A,"Car Space No 53 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000600540001,"Car Space No 54 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,27/11/2013,,,,Empty,27/11/2013
M2000600550003,"Car Space No 55 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000600560005,"Car Space No 56 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,27/11/2013,,,,Empty,27/11/2013
M2000600570007,"Car Space No 57 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,27/11/2013,,,,Empty,27/11/2013
M2000600580009,"Car Space No 58 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,27/11/2013,,,,Empty,27/11/2013
M200060059000B,"Car Space No 59 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000600600005,"Car Space No 60 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000600610007,"Car Space No 61 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,27/11/2013,,,,Empty,27/11/2013
M2000600620009,"Car Space No 62 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M200060063000B,"Car Space No 63 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000600640002,"Car Space No 64 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000600650004,"Car Space No 65 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000600660006,"Car Space No 66 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000600690001,"Car Space No 69 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000600700006,"Car Space No 70 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000600710008,"Car Space No 71 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M200060072000A,"Car Space No 72 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000600730001,"Car Space No 73 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000600740003,"Car Space No 74 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, ",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M2000600750005,"Car Space No 75 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/04/2015,,,,Empty,01/04/2015
M2000600760007,"Car Space No 76 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/04/2015,,,,Empty,01/04/2015
M2000600770009,"Car Space No 77 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/04/2015,,,,Empty,01/04/2015
M200060078000B,"Car Space No 78 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/04/2015,,,,Empty,01/04/2015
M2000600790002,"Car Space No 79 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/04/2015,,,,Empty,01/04/2015
M2000600800007,"Car Space No 80 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/04/2015,,,,Empty,01/04/2015
M2000600810009,"Car Space No 81 Level 6, Multistorey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/04/2015,,,,Empty,01/04/2015
M20006A0040004,"Car Space No 4 Level 6a, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,01/12/2014,,,,Empty,01/12/2014
M20006A0140019,"Car Space 14 Level 6a , Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20006A0140020,"Car Space 15 Level 6a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20006A0140021,"Car Space 16 Level 6a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20006A0140022,"Car Space 17 Level 6a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20006A0140023,"Car Space 18 Level 6a, Multi Storey Car Park No 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20006A0190004,"Car Space No 19 Level 6a, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,25/11/2013,,,,Empty,25/11/2013
M20006A0200009,"Car Space No 20 Level 6a, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,25/11/2013,,,,Empty,25/11/2013
M20006A0240006,"Car Space No 24 Level 6a, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20006A0250008,"Car Space No 25 Level 6a, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20006A026000A,"Car Space No 26 Level 6a, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20006A0270001,"Car Space No 27 Level 6a, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20006A0280003,"Car Space No 28 Level 6a, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20006A0290005,"Car Space No 29 Level 6a, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20006A030000A,"Car Space No 30 Level 6a, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
M20006A0310001,"Car Space No 31 Level 6a, Multistorey Car Park 2, Exchange Quay, Trafford Road, Salford, M5 3EF",500,Exchange Quay Salford Uk Sarl,26/11/2013,,,,Empty,26/11/2013
