Organisation Name,Effective Date,Service,Supplier Name,Payment Date,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,13/02/2015,760,PERSONAL BUDGETS - MANAGED,V000875139
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BEECH HOUSE,13/02/2015,-820.26,RESIDENTIAL LONG TERM,V000875140
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/02/2015,1093.68,RESIDENTIAL LONG TERM,V000875141
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,13/02/2015,736.56,RESIDENTIAL LONG TERM,V000875142
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,STEPPING STONES SERVICES LTD,13/02/2015,812,PERSONAL BUDGETS - MANAGED,V000875143
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,STEPPING STONES SERVICES LTD,13/02/2015,3643.64,HOME CARE SPOT PURCHASES,V000875144
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,HALF ACRE HOUSE,13/02/2015,1093.68,SELF - FUNDING DEFERRED PAYMENTS,V000875145
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,FOUR SEASONS HEALTHCARE,13/02/2015,1589.48,RESIDENTIAL LONG TERM,V000875146
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,13/02/2015,1073.16,RESIDENTIAL LONG TERM,V000875147
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,HURSTEAD HOUSE CARE HOME,13/02/2015,1072.76,NURSING LONG TERM,V000875148
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,FREEHOLD COTTAGE,13/02/2015,2368,RESIDENTIAL LONG TERM,V000875149
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,13/02/2015,760,PERSONAL BUDGETS - MANAGED,V000875150
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,13/02/2015,1155,PERSONAL BUDGETS - MANAGED,V000875151
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,1093.68,NURSING LONG TERM,V000875152
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,13/02/2015,1010.08,RESIDENTIAL LONG TERM,V000875153
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,SILVERDALE CARE HOMES LIMITED,13/02/2015,1573.48,NURSING LONG TERM,V000875154
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,13/02/2015,936.64,NURSING LONG TERM,V000875156
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BONDCARE,13/02/2015,1093.68,RESIDENTIAL LONG TERM,V000875157
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,13/02/2015,1093.68,RESIDENTIAL LONG TERM,V000875158
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,13/02/2015,994.68,RESIDENTIAL LONG TERM,V000875159
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,13/02/2015,1093.68,RESIDENTIAL LONG TERM,V000875160
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,ROSEMARY CARE HOME,13/02/2015,661.28,RESIDENTIAL LONG TERM,V000875161
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,13/02/2015,933.6,RESIDENTIAL LONG TERM,V000875162
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,13/02/2015,760,PERSONAL BUDGETS - MANAGED,V000875163
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,636.93,PERSONAL BUDGETS - MANAGED,V000875169
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,HURSTEAD HOUSE CARE HOME,13/02/2015,1037.16,RESIDENTIAL LONG TERM,V000875170
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,13/02/2015,760,PERSONAL BUDGETS - MANAGED,V000875171
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,BROOKVALE RESIDENTIAL CARE,13/02/2015,3209.2,RESIDENTIAL LONG TERM,V000875173
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/02/2015,1413.4,NURSING LONG TERM,V000875174
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/02/2015,993.56,RESIDENTIAL LONG TERM,V000875175
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,636.93,PERSONAL BUDGETS - MANAGED,V000875176
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,988.53,PERSONAL BUDGETS - MANAGED,V000875177
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,13/02/2015,1291.68,PERSONAL BUDGETS - MANAGED,V000875178
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,13/02/2015,1133.4,RESIDENTIAL LONG TERM,V000875179
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS,13/02/2015,1077.68,RESIDENTIAL LONG TERM,V000875180
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,13/02/2015,672,PERSONAL BUDGETS - MANAGED,V000875181
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,1589.48,NURSING LONG TERM,V000875184
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,1154.84,RESIDENTIAL LONG TERM,V000875185
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,13/02/2015,1030.8,RESIDENTIAL LONG TERM,V000875186
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,13/02/2015,1090.4,RESIDENTIAL LONG TERM,V000875187
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,13/02/2015,1081.2,RESIDENTIAL LONG TERM,V000875188
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,1006.12,RESIDENTIAL LONG TERM,V000875189
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,684.19,RESIDENTIAL LONG TERM,V000875190
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,1008.28,RESIDENTIAL LONG TERM,V000875191
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,13/02/2015,1042.88,RESIDENTIAL LONG TERM,V000875192
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,13/02/2015,1050.52,RESIDENTIAL LONG TERM,V000875193
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/02/2015,1543.8,PERSONAL BUDGETS - MANAGED,V000875194
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,862.91,RESIDENTIAL LONG TERM,V000875196
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,929.28,RESIDENTIAL LONG TERM,V000875197
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,929.28,RESIDENTIAL LONG TERM,V000875198
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,13/02/2015,6000,RESIDENTIAL LONG TERM,V000875199
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,13/02/2015,760,PERSONAL BUDGETS - MANAGED,V000875200
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,13/02/2015,1238.92,RESIDENTIAL LONG TERM,V000875201
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,13/02/2015,1093.68,RESIDENTIAL LONG TERM,V000875202
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,HURSTEAD HOUSE CARE HOME,13/02/2015,891.96,SELF - FUNDING DEFERRED PAYMENTS,V000875204
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,13/02/2015,1266.44,RESIDENTIAL LONG TERM,V000875205
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,MARSHMEAD LIMITED,13/02/2015,1416.56,RESIDENTIAL LONG TERM,V000875206
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 2 LTD,13/02/2015,1096.6,NURSING LONG TERM,V000875208
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,13/02/2015,1238.92,RESIDENTIAL LONG TERM,V000875209
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,ELDERCARE HALIFAX LTD,13/02/2015,1601.16,RESIDENTIAL LONG TERM,V000875210
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,ELDERCARE HALIFAX LTD,13/02/2015,2637.2,RESIDENTIAL LONG TERM,V000875211
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,AKARI CARE LTD,13/02/2015,1046.88,RESIDENTIAL LONG TERM,V000875212
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,13/02/2015,760,PERSONAL BUDGETS - MANAGED,V000875213
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,13/02/2015,760,PERSONAL BUDGETS - MANAGED,V000875214
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,LINK ABILITY,13/02/2015,1494,PERSONAL BUDGETS - MANAGED,V000875217
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,724.86,PERSONAL BUDGETS - MANAGED,V000875219
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,636.93,PERSONAL BUDGETS - MANAGED,V000875220
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,BELGRAVIA CARE,13/02/2015,1730,RESIDENTIAL LONG TERM,V000875221
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,636.93,PERSONAL BUDGETS - MANAGED,V000875222
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,13/02/2015,1254.92,RESIDENTIAL LONG TERM,V000875223
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,13/02/2015,760,PERSONAL BUDGETS - MANAGED,V000875224
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,13/02/2015,948.36,RESIDENTIAL LONG TERM,V000875226
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,900.69,PERSONAL BUDGETS - MANAGED,V000875227
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,13/02/2015,608,PERSONAL BUDGETS - MANAGED,V000875228
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,812.12,RESIDENTIAL LONG TERM,V000875229
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,13/02/2015,760,PERSONAL BUDGETS - MANAGED,V000875230
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,13/02/2015,1093.68,RESIDENTIAL LONG TERM,V000875231
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,636.93,PERSONAL BUDGETS - MANAGED,V000875233
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,13/02/2015,760,PERSONAL BUDGETS - MANAGED,V000875234
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,13/02/2015,1077.68,RESIDENTIAL LONG TERM,V000875235
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,951.48,RESIDENTIAL LONG TERM,V000875237
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,750.8,RESIDENTIAL LONG TERM,V000875238
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,HC ONE LTD,13/02/2015,1589.48,RESIDENTIAL LONG TERM,V000875239
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BELVOIR CARE HOME LIMITED,13/02/2015,-924.66,RESIDENTIAL LONG TERM,V000875240
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,13/02/2015,608,PERSONAL BUDGETS - MANAGED,V000875241
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,13/02/2015,760,PERSONAL BUDGETS - MANAGED,V000875242
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,13/02/2015,660,PERSONAL BUDGETS - MANAGED,V000875243
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,13/02/2015,1011.84,RESIDENTIAL LONG TERM,V000875248
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,13/02/2015,1242.92,RESIDENTIAL LONG TERM,V000875249
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,DENTAK CARE AND SERVICES LIMITED,13/02/2015,981.8,NURSING LONG TERM,V000875250
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,13/02/2015,1254.92,RESIDENTIAL LONG TERM,V000875251
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,13/02/2015,851.8,RESIDENTIAL LONG TERM,V000875252
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BELVOIR CARE HOME LIMITED,13/02/2015,1079.84,RESIDENTIAL LONG TERM,V000875253
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,13/02/2015,1097.68,RESIDENTIAL LONG TERM,V000875254
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/02/2015,1270.08,RESIDENTIAL LONG TERM,V000875255
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,13/02/2015,3884.4,PERSONAL BUDGETS - MANAGED,V000875256
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,SILVERDALE CARE HOMES LIMITED,13/02/2015,1734.72,RESIDENTIAL LONG TERM,V000875257
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,873.88,RESIDENTIAL LONG TERM,V000875258
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,1093.68,RESIDENTIAL LONG TERM,V000875259
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HIGHFIELD HALL,13/02/2015,976.28,SELF - FUNDING DEFERRED PAYMENTS,V000875262
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,HURSTEAD HOUSE CARE HOME,13/02/2015,1022,RESIDENTIAL LONG TERM,V000875263
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,1055.6,RESIDENTIAL LONG TERM,V000875264
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,13/02/2015,1254.92,RESIDENTIAL LONG TERM,V000875265
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,ST GEORGES NURSING HOME OLDHAM LTD,13/02/2015,3665,NURSING LONG TERM,V000875266
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,13/02/2015,1146.68,RESIDENTIAL LONG TERM,V000875267
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,MONA CLIFFE CARE HOME,13/02/2015,819.48,RESIDENTIAL LONG TERM,V000875268
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,981.72,RESIDENTIAL LONG TERM,V000875270
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LTD,13/02/2015,1077.68,RESIDENTIAL LONG TERM,V000875271
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,1093.68,NURSING LONG TERM,V000875272
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,13/02/2015,789.4,PERSONAL BUDGETS - MANAGED,V000875274
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,AVERY HOMES MOSTON LIMITED,13/02/2015,1055.36,RESIDENTIAL LONG TERM,V000875275
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,13/02/2015,1043.24,RESIDENTIAL LONG TERM,V000875277
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,ASQUITH HALL,13/02/2015,1700,NURSING LONG TERM,V000875278
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,502.76,NURSING LONG TERM,V000875280
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,1589.48,NURSING LONG TERM,V000875281
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,13/02/2015,1093.68,RESIDENTIAL LONG TERM,V000875282
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS,13/02/2015,951.2,RESIDENTIAL LONG TERM,V000875283
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,13/02/2015,996.24,RESIDENTIAL LONG TERM,V000875284
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/02/2015,1093.68,RESIDENTIAL LONG TERM,V000875286
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,13/02/2015,1254.92,RESIDENTIAL LONG TERM,V000875287
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,EAST & WEST HEALTHCARE LIMITED,13/02/2015,1007.48,RESIDENTIAL LONG TERM,V000875288
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,PURE INNOVATIONS LIMITED,13/02/2015,760,PERSONAL BUDGETS - MANAGED,V000875289
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,LEONARD CHESHIRE FOUNDATION WALES & WEST,13/02/2015,1780.64,NURSING LONG TERM,V000875290
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,13/02/2015,1017.2,RESIDENTIAL LONG TERM,V000875291
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,13/02/2015,1011,RESIDENTIAL LONG TERM,V000875293
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,1093.68,NURSING LONG TERM,V000875294
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,13/02/2015,1163.96,SELF - FUNDING DEFERRED PAYMENTS,V000875295
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,13/02/2015,1734.72,RESIDENTIAL LONG TERM,V000875296
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BONDCARE,13/02/2015,664.02,RESIDENTIAL LONG TERM,V000875297
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BONDCARE,13/02/2015,1093.68,RESIDENTIAL LONG TERM,V000875298
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BEECH HOUSE,13/02/2015,1093.68,RESIDENTIAL LONG TERM,V000875299
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,13/02/2015,1025.24,PERSONAL BUDGETS - MANAGED,V000875300
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,13/02/2015,883.11,PERSONAL BUDGETS - MANAGED,V000875301
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,13/02/2015,865.36,RESIDENTIAL LONG TERM,V000875302
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,13/02/2015,840,RESIDENTIAL LONG TERM,V000875304
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,13/02/2015,1033.08,NURSING LONG TERM,V000875305
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,1589.48,NURSING LONG TERM,V000875306
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,1246.08,NURSING LONG TERM,V000875307
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,ROSEMARY CARE HOME,13/02/2015,1077.68,RESIDENTIAL LONG TERM,V000875308
ROCHDALE BOROUGH COUNCIL,13/02/2015,LEARNING DIS & MENTAL HEALTH,STEPPING STONES SERVICES LTD,13/02/2015,1054,PERSONAL BUDGETS - MANAGED,V000875309
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BONDCARE,13/02/2015,827.52,NURSING LONG TERM,V000875311
ROCHDALE BOROUGH COUNCIL,13/02/2015,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,13/02/2015,1101.68,RESIDENTIAL LONG TERM,V000875312
